以下是重排後的段落式逐字稿：。这个运费的提高。[1505.52-1507.32] 这个运费的提高。[1507.32-1510.32] 那但是如果原物料涨是来自于需求上升。[1510.32-1510.52] 啊。[1510.52-1511.48] 各位了解到。

[1511.48-1513.32] 因为这个价格上升有两种。[1513.32-1514.76] 一种是这个里面破。[1514.76-1518.16] 这个是那个是那个是supply supply的关系。[1518.16-1520.36] 如果是因为需求减少。[1520.36-1522.04] 造成价格上升。[1522.04-1523.68] 那对我们是没好处的。

[1523.68-1525.92] 但如果是因为需求增加。[1525.92-1527.00] 把价格推升了。[1527.00-1528.16] 那对我们就有好处。[1528.16-1529.36] 大概来讲是这样子。[1529.36-1530.44] 所以呢。[1530.44-1533.20] 这个先要讲的是我们这个产业的。
[1616.20-1619.56] 今天到底大家还要不要加强投资墨西哥。[1619.56-1621.56] 还要不要加强投资加拿大。[1621.56-1623.60] 这会是一个很重要的关键。[1623.60-1624.48] 那各位大概知道。[1624.48-1626.88] 那有些公司那就直接投资美国了。[1626.88-1628.32] 这也是一种做法。

[1628.32-1629.68] 但是呢。[1629.68-1631.68] 不知道要去哪里投资的时候。[1631.68-1634.72] 其实对省庄船市场就是一个影响。[1634.72-1635.28] 因为呢。[1635.28-1639.48] 我们其实在运蛮多东西是跟固定资本形成是有关的。[1639.48-1640.52] 像这些水泥啊。

[1640.52-1642.16] 钢材这类的。[1642.16-1643.96] 这类的这个原物料。[1643.96-1647.12] 它其实跟建设建造生产线有关系。[1647.12-1648.12] 机器设备。[1648.12-1651.44] 这也是省庄城会载运的货物。[1651.44-1652.40] 那这类的东西呢。

[1652.40-1653.44] 就跟呃。[1653.44-1656.76] 侦探线的移动配置投资会有关系。[1656.76-1661.88] 那在一个经济情况比较不确定的情况下。[1661.88-1662.40] 嗯。[1662.40-1665.12] 一般来讲对省庄航船不会什么好消息。[1665.12-1669.36] 所以我们认为去年到下半从下半年开始的一个。

[1669.48-1670.48] 景气低迷。[1670.48-1673.40] 多多少少跟美国的经济政策不稳定。[1673.40-1674.20] 有关系。[1674.20-1676.04] 所以大家认为没办法预测。[1676.04-1678.40] 那现在有没有比较好办法预测呢。[1678.40-1679.08] 这很难说。

[1679.08-1683.84] 但是至少大家就是市场就是必须要做出决定。[1683.84-1684.84] 所以呢。[1684.84-1688.04] 我们从二月多多少少看到景气有些回升。[1688.04-1691.44] 那我想这个除了反映呃总体经济的。[1691.44-1694.28] 或是对政治情势的一个期待以外。[1694.28-1696.88] 它同时也是市场的特色啦。

[1696.88-1698.64] 因为闪庄航运就是。[1698.64-1699.08] 你。[1699.08-1701.04] 你如果看到他很好啊。[1701.04-1702.32] 过段时间就会跌。[1702.32-1704.32] 然后你跌太久就会好。[1704.32-1707.64] 所以为什么疫情后大会航海王是怎样。

[1707.64-1709.68] 为什么疫情后这么好。[1709.68-1712.04] 没有就是之前一段时间没有在。[1712.04-1716.04] 最后有一些就是一些贸易需要回来的时候呢。[1716.04-1717.76] 这个过渡的时期。[1717.76-1720.00] 其实我认为是会在的比较多的。[1720.00-1722.04] 就变成是在院集中了。

[1722.04-1723.04] 对闪庄船是这样。[1723.04-1725.60] 我有时候讲一个像一个便当店的比喻。[1725.60-1728.20] 我这便当店就是只能卖十个人。[1728.20-1728.52] 那你。[1728.52-1730.80] 如果今天是十一点半十二点十点半。[1730.80-1731.80] 各五十个人来吃。

[1731.80-1732.48] 那没有问题。[1732.48-1733.96] 就顺顺的产生很顺。[1733.96-1736.16] 但今天如果刚刚大家刚好是哎。[1736.16-1737.60] 在参加法国会十一点半。[1737.60-1739.32] 这没办法出来还在听吗。[1739.32-1741.24] 大家都挤在十二点。

[1741.24-1742.72] 那一来一百五十个人。[1742.72-1744.36] 便当便当店都塞不下了。[1744.36-1746.36] 那正常的便当店当然就叫你排队。[1746.36-1749.52] 那有些像我们的闪庄便当店就是叫你喊价啦。[1749.52-1751.56] 喊价的时候有些人就愿意高价。[1751.56-1753.76] 所以我们觉得这种price hike。

[1753.76-1757.44] 跟这样的运运输需求的集中。[1757.44-1758.36] 其实蛮有关系的。[1758.52-1761.84] 那所以在一段时间没有在在院的时候。[1761.84-1764.28] 有时候我们会看到这样的跳起来。[1764.28-1765.80] 当然不是绝对。[1765.80-1768.12] 所以呢各位看到像金融海啸之后。

[1768.12-1771.28] 有一个长达一两年的这种这种萧条。[1771.28-1774.92] 那甚至于这个东西是到2015左右又来一次。[1774.92-1777.84] 那其实这种东西就跟产能过剩有关。[1777.84-1779.00] 那产能过剩的话。[1779.00-1781.72] 因为产能过剩的是传播一照出来。[1781.72-1782.68] 可能他就要营运。

[1782.68-1784.92] 他的目标是营运二十年二十五年。[1784.92-1786.08] 可能他做不到那么久。[1786.08-1788.28] 但起码也可能有十年十五年。[1788.28-1789.44] 那这种过剩的产能。[1789.44-1792.36] 他在市场上都会烧低价。[1792.36-1796.00] 所以其实呢在金融海啸这一波前跟着。

[1796.00-1798.32] 那金融海啸前这一波super cycle。[1798.32-1801.88] 整个因为中国的关系产装很大好。[1801.88-1804.20] 造成了很多造船厂进入市场。[1804.20-1806.56] 之后的这一波其实就是。[1806.56-1809.00] 长期就是在消化这些过多的产。[1809.00-1811.08] 这是产装船的状况。

[1811.08-1813.08] 那么我们现在来讲的话。[1813.08-1814.88] 我们对产装船的中长期。[1814.88-1816.80] 就是认为是比较健康乐观的。[1816.80-1817.84] 因为呢。[1818.28-1819.20] 船舶运力并没有增加很多。[1819.20-1820.92] 船舶运力并没有增加很多。

[1820.92-1822.36] 所以我们觉得在这情形下。[1822.36-1823.32] 我们觉得是健康。[1823.32-1825.20] 所谓的健康就是我们应该可以。[1825.20-1827.00] 期待一个普通的景气循环。[1827.00-1830.08] 不会说有一下烧的很低。[1830.08-1831.36] 因为产能过剩。

[1831.36-1832.96] 那你要说一下减的很少。[1832.96-1835.40] 这个有一些因素可能会造成这个情形。[1835.40-1838.80] 那个我们稍后会再跟大家分享。[1838.80-1839.60] 那所以呢。[1839.60-1841.72] 我们想要产业再回到产业境况。[1841.72-1843.44] 就比较近期中期的情形。
