## 增鼎科技 2023 年法說會逐字稿。**主持人:**。[3247.10-3248.64] 整個公司一個。[3248.88-3249.92] 大的成長的。[3250.22-3254.56] 領域那我想我們也樂觀跟積極去面對這一。[3254.82-3256.62] 這一塊的產品的開發。

[3256.88-3257.38] 謝謝。[3258.16-3264.30] 那整個它的單價的部分我想它的單價基本上ASP是比手機高因為它的複雜度。[3264.56-3267.36] 各片因為各片不太一樣。[3267.62-3271.72] 它有一些設計比較複雜基本上它的ASP是比手機高。[3274.28-3275.82] 好謝謝營運長說明。[3276.58-3278.12] 下一個投資人提問是。
[3404.26-3407.08] 那如何運用我們過去在半導體。[3407.32-3413.48] 方面用EAPS SACE智能工廠還有自動化相關的Technology。[3420.38-3422.18] 用在未來在矽光子方面。[3422.44-342.32] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。[342.98-342.98] 方面。

[342.
