<think> 好的，用户需要将逐句切开的逐字稿整理成段落式，不能删减任何内容。首先，我需要仔细检查提供的每个时间戳对应的内容，确保没有遗漏。然后，要分析这些句子之间的逻辑关系，看看如何合理分段。比如，介绍同事的部分应该连贯，接着是公司概况，然后是财务数据的讨论。要注意时间戳可能存在重复或跳跃，比如有些时间点之间有空隙，可能需要确认是否属于同一内容。还要注意专业术语是否正确，比如“儀二醇”是否要统一用繁体字。

另外，有些句子可能因为口误或重复需要调整顺序，但用户强调不能改写或删除，所以只能按原文顺序排列。同时，要注意数字和单位的准确性，例如“新台幣3,248億元”是否正确。最后，确保段落之间转换自然，符合口语表达的流畅性。处理过程中如果有不确定的地方，可能需要进一步确认，但根据现有信息尽量按照规则完成。</think> 【段落式逐字稿】：。(0.00-3.00) 民進控制展望 看法先交給公司。

(21.00-22.00) 大家好。(22.00-26.00) 在還沒有正式跟各位做報告之前。(26.00-29.00) 我先介紹一下跟我一起來的一位同仁。(30.00-33.00) 這是南亞公司會計處處長。(33.00-35.00) 蘇啟元蘇處長。(35.00-38.00) 也是我們公司的會計主管。

(139.00-143.00) 基本上這四個產品的營收佔比的比重。(143.00-146.00) 在短期內我想應該大概都是為此。(146.00-150.00) 這種大小的比例的關係。(151.00-153.00) 至於在全球布局方面。(153.00-157.00) 當然我們現在主要的生產基地還是在台灣。(157.00-160.00) 在台灣我們有59個生產場。

(160.00-163.00) 另外中國大陸地區也是我們一個。(163.00-165.00) 重要的生產地區。(165.00-168.00) 目前的生產場有34個。(168.00-172.00) 此外在美國我們也有8個生產場。(172.00-176.00) 所以加起來總共是101個生產場。(176.00-181.00) 員工人數大概是29000多人。

(185.00-189.00) 在我們目前這四個主要產品大類裡面。(189.00-195.00) 以產能的排名到2024年底。(196.00-200.00) 我們是全世界最大的塑膠二次加工廠。(200.00-203.00) 至於在電子材料方面。(203.00-209.00) 有三項包括銅箔、CCL、電子級的撥纖絲。(209.00-214.00) 我們的產能在全球排名是第二。

(214.00-219.00) 此外在環氧樹脂、撥纖布的部分。(219.00-222.00) 我們的全球產能排名是第三。(222.00-228.00) 化妝部分包括PA、BPA、EG。(228.00-231.00) 我們的全球產能排名是第四。(231.00-235.00) 其他的產品就陸陸續續擺在後面。(235.00-238.00) 給大家參考一下。

(238.00-245.00) 這是我們南亞公司歷年來的產業發展歷程。(245.00-247.00) 在以往也都有介紹過。(247.00-250.00) 在這邊不再贅述。(252.00-257.00) 在2024年我們的營收佔比裡面。(258.00-260.00) 這一頁主要是讓各位了解。(260.00-262.00) 在我們四個產品大類裡面。

(262.00-266.00) 目前所涵蓋的一些產品種類。(266.00-272.00) 還有在台灣、大陸、美國地區等等。(272.00-275.00) 目前營收佔比的比重。(275.00-278.00) 我們可以看到在塑膠加工以及化工產品。(278.00-285.00) 左邊這一塊主要的營收佔比還是以台灣為主。(285.00-288.00) 至於在右手邊這邊。

(288.00-292.00) 電子材料目前是以大陸地區。(292.00-295.00) 營收佔比相對比較高一點。(295.00-299.00) 跟台灣的營收佔比大概是六四比。(299.00-305.00) 鋸子產品主要的營收是從美國地區所貢獻。(305.00-307.00) 其次是台灣。(311.00-315.00) 在我們合併營業收入來看。

(315.00-319.00) 2025年上半年的合併營收。(319.00-324.00) 是比2024年小幅增加了63億元。(324.00-328.00) 最主要是在電子材料方面。(328.00-333.00) 受惠於AI產業的一些投資。(333.00-338.00) 還有通訊以及車用的需求相對也實況不錯。(338.00-343.00) 所以整體來講電子材料的接單在2024年有一些成長。

(343.00-348.00) 再加上我們在美國的德州。(348.00-352.00) 有那個儀二醇這個產品。(352.00-354.00) 還有在台灣的麥寮。(354.00-360.00) 我們的儀二醇這兩個地區的儀二醇的產能利用率。(360.00-366.00) 在2024年相對2023年是有比較明顯的成長。(366.00-368.00) 所以整體營收。

(368.00-375.00) 我們2025年上半年是比去年的2024年來流覽的增加。(375.00-382.00) 至於在今年的上半年的QOQ的比較方面。(382.00-387.00) 第二季的合併營收是657億元。(387.00-392.00) 跟第一季的656億元是相當的。(392.00-396.00) 最主要在其實整個大蠻地來講的話。(396.00-398.00) 大家也都清楚。

(398.00-403.00) 在我們跟美國的對等關稅的談判。(403.00-407.00) 目前還沒有完全確定之前。(407.00-412.00) 再加上中東的一個局勢的一些動盪。(412.00-415.00) 還有油價以及海運費的一些波動。(415.00-418.00) 新台幣匯率等等的因素。(418.00-421.00) 造成我們整個商業的活動。

(421.00-423.00) 做到很嚴重的一個干擾。(423.00-429.00) 所以再加上第二季因為沒有春節假期的因素。(429.00-431.00) 工作天數比較多。(431.00-434.00) 這些因素加起來。(434.00-438.00) 造成我們在整體第二季的合併營收。(438.00-442.00) 只比第一季稍微好一點點。

(446.00-450.00) 至於在稅前經歷的部分。(450.00-452.00) 今年上半年的稅前經歷。(452.00-457.00) 是比去年上半年要來得少。(457.00-459.00) 其實在本業的部分。(459.00-462.00) 我們的營業利益是比去年同期。(462.00-466.00) 增加了新台幣16.2億元。

(466.00-468.00) 但是在其他的。(468.00-470.00) 包括權益版的投資。(470.00-474.00) 還有外幣的兌換水。(474.00-476.00) 相對是不利的。(476.00-478.00) 在權益版投資的部分。(478.00-480.00) 包括台出石化、麥寮氣電。

(480.00-482.00) 還有南亞科技。(482.00-486.00) 對於我們的稅前經歷。(486.00-488.00) 影響了大概。(488.00-490.00) 個別是26.8億元。(490.00-494.00) 13.4億元還有11.8億元。(494.00-497.00) 另外在5月份。

(497.00-500.00) 因為台幣的急速大幅升值。(500.00-503.00) 造成我們第二季的兌換水益。(503.00-506.00) 跟去年上半年比較。(506.00-509.00) 是不利的30億元。(509.00-511.00) 所以這兩個加起來。(511.00-513.00) 造成我們稅前經歷。

(513.00-515.00) 在今年上半年。(515.00-518.00) 是處於一個虧損的情況。(518.00-521.00) 至於在第二季的稅前經歷。(521.00-524.00) 跟第一季的稅前經歷比較方面。(524.00-526.00) 也是類似的情況。(526.00-529.00) 本業的營業利益是有增加的。

(529.00-531.00) 增加12.6億元。(531.00-533.00) 但是在權益版投資的部分。(533.00-536.00) 包括台出石化、南亞科技。(536.00-539.00) 都個別減少了25.9億元。(539.00-541.00) 以及6.3億元。(541.00-543.00) 還有外幣兌換水益的。

(543.00-545.00) 不利的27.6億元。(545.00-548.00) 所以也造成我們第二季。(548.00-551.00) 也是處於一個虧損的情況。(559.00-561.00) 不好意思。(569.00-571.00) 在EPS的部分。(571.00-574.00) 我們今年上半年的EPS。

(574.00-578.00) 稅後的部分是0.46%。(578.00-581.00) 虧損的0.46%。(581.00-584.00) 相對於去年上半年的。(584.00-587.00) 有不利的0.46%。(
