[0.00-8.00] 感謝各位同志先進來參加碧英創造主辦有限公司的法說會
[976.24-979.06] 那今年的狀態之下
[979.06-984.18] 跟去年的場次來講其實不會低於去年的場次
[984.18-986.48] 那再加上去年
[986.48-987.26] 去年
[987.26-990.08] 去年底大巨蛋的啟用
[990.08-995.44] 所以以今年的狀態來講以畢應從第二季開始陸陸續續
[995.44-998.78] 我們的營運的量能
[998.78-1002.10] 應該是講說我們的承接的案量會
[1002.10-1002.88] 更大
[1002.92-1003.94] 但是
[1003.94-1006.00] 案量的部分
[1006.00-1008.30] 也會持續跟著增加
[1008.30-1013.42] 你看到我們手邊的剛剛所提到的那一些演唱會的
[1013.42-1016.74] 藝人的巡迴程式這個只是其中的一部分
[1016.74-1019.82] 那還有一些新的藝人的巡迴還沒有
[1019.82-1021.36] 公佈的部分
[1021.36-1023.40] 對
[1023.40-1026.48] 所以以今年的狀態來講
[1026.48-1028.26] 場次跟
[1028.26-1031.08] 營收的部分會比去年來得好
[1032.92-1035.48] 那現在是怎樣的
[1035.48-1037.52] 我們現在看到很多
[1037.52-1040.08] 現在看到很多演唱會的標準還是需要用超幅
[1040.08-1041.36] 就是說
[1041.36-1042.90] 市場還是比較一個
[1042.90-1044.70] 動力有重
[1044.70-1047.52] 那同時會有去看待就是說
[1047.52-1050.32] 就是說今年或者是今年
[1050.32-1052.88] 這樣的一個趨勢的發展
[1052.88-1055.44] 演唱會的趨勢發展嗎
[1055.44-1056.98] 就是它的市場
[1056.98-1058.78] 就是市場的
[1058.78-1060.82] 其實從一開始
[1060.82-1061.84] 從一開始
[1061.84-1062.88] 就是從一開始
[1062.92-1064.20] 疫情之後
[1064.20-1066.24] 在看演唱會市場裡面
[1066.24-1068.56] 其實你會發現就是
[1068.56-1071.88] 疫情之後那
[1071.88-1073.42] 不論是台灣
[1073.42-1077.26] 中國或者是任何就是其他的地方
[1077.26-1081.10] 以去年來講演唱會經濟這個部分是大家都
[1081.10-1083.92] 就是大家都知道的
[1083.92-1086.72] 然後像以去年來講
[1086.72-1088.00] 泰勒斯
[1088.00-1092.88] 就是新加坡他獨拿了泰勒斯的新加坡演唱會
[1092.92-1097.02] 那今年新加坡又拿了Lady Gaga的
[1097.02-1099.32] 亞洲唯一的演唱會
[1099.32-1100.60] 為什麼要做這件事情
[1100.60-1101.36] 因為
[1101.36-1103.16] 其實就是為了要
[1103.16-1104.18] 演唱會經濟
[1104.18-1107.52] 拿他的觀光收入以及
[1107.52-1109.04] 旅遊的紅利
[1109.04-1109.56] 所以
[1109.56-1111.36] 以這個狀態來講
[1111.36-1112.88] 以台灣來講那
[1112.88-1114.16] 高雄
[1114.16-1116.72] 他的私運主場館他可以免
[1116.72-1117.76] 免場租
[1117.76-1119.80] 他免門票抽成
[1119.80-1122.36] 那甚至有一些政府單位的一起出行的那些人呢
[1122.36-1124.92] 他們也會在那些單位的一起協助
[1124.92-1125.68] 所以
[1125.68-1128.50] 看到去年的狀態COPRATE
[1128.50-1129.52] 火星人
[1129.52-1130.56] 還有
[1130.56-1132.08] 還有王宏K-ROCK
[1132.08-1133.88] 這些國際藝人會來
[1133.88-1136.44] 私運主場館這邊辦演出
[1136.44-1138.48] 那其實都是為了演唱會的
[1138.48-1139.52] 經濟
[1139.52-1140.54] 就是
[1140.54-1142.08] 經濟紅利
[1142.08-1143.10] 所以
[1143.10-1144.38] 大陸也是
[1144.38-1146.42] 大陸他其實
[1146.42-1148.22] 一些
[1148.22-1151.80] 大陸地區其實把那個演唱會當成是
[1151.80-1154.36] 旅遊復甦的一個基準點
[1154.36-1157.68] 所以大部分的地方政府他其實除了
[1157.68-1159.74] 會做一些
[1159.74-1161.52] 稅務節年
[1161.52-1163.32] 然後甚至可能有一些
[1163.32-1164.60] 租稅優惠
[1164.60-1168.44] 這些其實都是大陸那邊在搶各個
[1168.44-1170.74] 搶他們的各自的旅遊的
[1170.74-1173.04] 演唱會經濟的這個狀態
[1173.04-1177.14] 所以這個狀態之下其實今年從現在為
[1177.14-1181.50] 現在這個時間點來看其實這個熱度還沒有往下消
[1181.50-1182.52] 所以
[1182.52-1186.36] 今年跟明年來看的話再加上今年的演唱會的
[1186.36-1187.90] 從不論是韓團
[1187.90-1189.70] 還有日本藝人
[1189.70-1193.28] 甚至是一些歐美藝人來台灣的狀態
[1193.28-1195.84] 那每個禮拜其實
[1195.84-1197.62] 台北的小巨蛋
[1197.62-1199.42] 北流任何一個場館其實
[1199.42-1200.70] 都有演出
[1200.70-1204.02] 其實這個熱度是都還沒有往下退的狀態
