[0.00-29.98] 各位投資先進早安
[1098.38-1099.38] 分成兩塊
[1099.38-1101.38] 一個是inline一個是offline
[1101.38-1102.38] 目前是做offline
[1102.38-1105.38] 目前來講客戶的需求還沒有那麼大
[1105.38-1107.38] 所以基本上我們是做offline
[1107.38-1109.38] 那基本上來講就是變成說你的水質
[1109.38-1112.38] 我們在監控的過程中
[1112.38-1113.38] 達到什麼程度
[1113.38-1117.38] 好那它水質就會需要更換
[1117.38-1118.38] 那更換的時候呢
[1118.38-1120.38] 我們就把它抽離出來
[1120.38-1122.38] 那抽離出來呢
[1122.38-1125.38] 照我們的系統裡面去做reclame
[1125.38-1126.38] 做reclame
[1126.38-1128.38] 讓它把裡面的雜質
[1128.38-1129.38] 再去除掉
[1129.38-1132.38] 那去除掉再還原原來的冷卻液
[1132.38-1133.38] 那還原冷卻液呢
[1133.38-1134.38] 再給客戶使用
[1134.38-1136.38] 等於是說它的冷卻液呢
[1136.38-1138.38] 就可以達到一個recycle的動作
[1138.38-1140.38] 就跟我們現在的水的概念很像
[1140.38-1142.38] 就是說我們水系統嘛
[1142.38-1143.38] 那水就是做處理
[1143.38-1144.38] 然後處理完之後
[1144.38-1146.38] 水就recycle了嘛
[1146.38-1147.38] 那否則你不處理
[1147.38-1148.38] 水就是要排放掉嘛
[1148.38-1151.38] 所以這個部分來講就是冷卻液的處理
[1151.38-1152.38] 跟recycle而已
[1152.38-1153.38] 所以現在目前來講
[1153.38-1156.38] AI7的水冷是越來越多
[1156.38-1158.38] 然後所以就變成說冷卻液
[1158.38-1159.38] 也會有這個問題
[1159.38-1161.38] 那冷卻液你不回收
[1161.38-1163.38] 你不回收你就要丟棄
[1163.38-1164.38] 丟棄你是
[1164.38-1165.38] 浮化物的丟棄
[1165.38-1168.38] 基本上會造成你ESG的問題
[1168.38-1170.38] 當你去買這些chemical
[1170.38-1171.38] 你買這些冷媒
[1171.38-1173.38] 也是有這個ESG的問題
[1173.38-1174.38] 所以變成說
[1174.38-1175.38] 其實我們的recycle呢
[1175.38-1177.38] 可以讓它這個達到
[1177.38-1179.38] 它相對來講冷卻液回收再利用
[1179.38-1181.38] 那也可以給客戶呢
[1181.38-1185.38] 來講可以提升它的這個企業社會責任
[1185.38-1186.38] ESG的這個部分
[1186.38-1187.38] 所以我在想說
[1187.38-1189.38] 今天那個AI的部分來講
[1189.38-1192.38] 想問趙秉到底跟AI有什麼關係
[1192.38-1194.38] 所以大家想到就是說
[1194.38-1198.38] 我們在目前去開發這個冷卻液的回收
[1198.38-1201.38] 目前是跟整個AI server有一點點連動到
[1201.38-1205.38] 所以這個部分我想說也是對於我們的recycle
[1205.38-1207.38] 跟service這部分的在
[1207.38-1211.38] 它這個部分的營收未來也是在我們的服務類收入裡面
[1211.38-1212.38] 它就
[1212.38-1215.38] 它我們就做一個等於是做一個小系統
[1215.38-1217.38] 幫幫這些系統
[1217.38-1221.38] 這些伺服器廠商去做recycle這些的缺異
[1221.38-1224.38] 好那回到我們Large今天的主題
[1224.38-1227.38] 就是我們的那個財務狀況
[1227.38-1231.38] 那我們掛牌時間是5月28號
[1231.38-1233.38] 所以我們當初法說會時間在5月初
[1233.38-1236.38] 所以那時候結露到去年底的數字
[1236.38-1238.38] 那我們就更新到今年的數字
[1238.38-1240.38] 所以第一季的部分來講
[1240.38-1244.38] 我們的營收是做到31的這個營業公募
[1244.38-1247.38] 所以相對過去幾年
[1247.38-1250.38] 算是當期算是一個新高
[1250.38-1253.38] 那當期新高大部分的貢獻
[1253.38-1256.38] 多半都來自於工程類的收入
[1256.38-1261.38] 因為工程類的收入會跟著業主的資本支出有高度的關係
[1261.38-1265.38] 不然是這些先進封裝廠還是這些FAB
[1265.38-1269.38] 所以這一塊就會是工程的收入
[1269.38-1272.38] 然後當然工程的收入佔比大的時候
[1272.38-1275.38] 就會壓縮到服務類的收入的佔比
[1275.38-1277.38] 所以說服務類的營收其實還是成長的
[1277.38-1280.38] 但是服務類的佔比就會相對工程類的壓縮
[1280.38-1284.38] 所以工程類的服務佔比的話大概到77%
[1284.38-1289.38] 這也是相對來講又回到歷年相對一個比較高點的狀態
[1289.38-1292.38] 就是業主的資本支出比較熱
[1292.38-1295.38] 那可以從這邊就會看到兩塊
[1295.38-1299.38] 一個就是在我們的工程收入
[1299.38-1301.38] 工程收入的部分
[1301.38-1303.38] 淺藍色是工程收入的部分
[1303.38-1305.38] 然後深藍色的部分就是我們的在手訂單的餘額
[1305.38-1306.38] 然後深藍色的部分就是我們的在手訂單的餘額
[1306.38-1308.38] 那我們第一季的在手訂單餘額
[1308.38-1313.38] 去年底是達到一個新高達到149億
[1313.38-1316.38] 那第一季就陸陸續續去化這些工程
[1316.38-1320.38] 那去化工程然後第一季我們都降到大概130億
[1320.38-1326.38] 那我們在5月份有公告
[1326.38-1329.38] 所以我們有接到新的訂單
[1329.38-1334.38] 那因為訂單金額我們內部的內規是定在50億
[1334.38-1337.38] 那50億的訂單在5月份
[1337.38-1339.38] 超過50億的訂單在5月份接到
[1339.38-1341.38] 所以到第二季的話
[1341.38-1346.38] 那個在手訂單餘額應該會往上提
[1346.38-1347.38] 因為會往上提
[1347.38-1350.38] 所以這個部分是我們的階段的狀況
[1350.38-1354.38] 那這是第一季的工程端的收入
[1354.38-1357.38] 那在服務類收入的部分來講
[1357.38-1360.38] 第一季的服務類收入就還持平而已
[1360.38-1361.38] 並沒有特別亮眼
[1361.38-1363.38] 所以第一季的服務類收入來講
[1363.38-1366.38] 跟去年大家同期差不多
[1366.38-1368.38] 那有一些的服務類部分來講
[1368.38-1370.38] 有一些就delay到第二季的部分
[1370.38-1373.38] 所以第二季的收入看起來是好像有比較好一點點
[1373.38-1374.38] 這在服務類的部分
[1374.38-1376.38] 但服務類差異不會太大
[1376.38-1378.38] 所以服務類的差異不會太大
[1378.38-1381.38] 好那我們來看一下毛利的部分
[1381.38-1383.38] 那其實服務類的部分來講的話
[1383.38-1385.38] MARGIN的部分有一些些下滑
[1385.38-1388.38] 那這一些下滑尤其是在新品的銷售量
[1388.38-1392.38] 所以我在看到說這個部分會這樣趨勢
[1392.38-1393.38] 那因為我自己在裡面看嘛
[1393.38-1395.38] 所以不會這樣一直往下走
[1395.38-1398.38] 所以大概會有一點點recover上來在這邊
[1398.38-1400.38] 但是大概區間的下滑以前
[1400.38-1403.38] 我大概就覺得是26到30中間
[1403.38-1406.38] 那現在可能大概就在25到28
[1406.38-1408.38] 整個服務類的MARGIN有稍微大概有
[1408.38-1411.38] 大概有2%的衰退
[1411.38-1414.38] 那有可能是工資跟報價的關係
[1414.38-1416.38] 大概差了2%
[1416.38-1418.38] 所以大概目前來講
[1418.38-1421.38] overall可能在26到28
[1421.38-1423.38] 在這個區間震盪
[1423.38-1427.38] 所以服務類的毛利相對就是我們就是人力代操作
[1427.38-1430.38] 但是人力代操作一定會有合約的關係
[1430.38-1433.38] 它不是長期性的
[1433.38-1436.38] 就是說基本上它大概都是兩年一個合約
[1436.38-1437.38] 兩年一個合約
[1437.38-1438.38] 所以兩年一個合約
[1438.38-1440.38] 那這個部分來講會有一點點時間差
[1440.38-1442.38] 會影響到毛利率
[1442.38-1445.38] 但是合約到期可能又會反映一點點價格
[1445.38-1447.38] 因為這是賺工錢
