[0.00-4.68] 各位投资先进大家午安
[770.96-771.72] 量产
[771.98-774.80] 不过初期我们先量产25尺的
[775.56-778.38] 40尺的部分会到更后面一点
[778.64-780.68] 因为40尺要做的一些
[780.94-782.98] 一些工作还比较多一点
[785.04-787.08] 这个等于是我们新产品,因为
[787.34-789.38] 用这个板架部分,因为
[789.64-792.46] 只要使用拖车头大概都会用到板架
[792.98-796.56] 这个衍生的车子的车型很多,因为不只是
[796.82-798.34] 货柜车,甚至
[798.60-800.40] 那个包含SAS车
[800.96-801.98] 油罐车
[802.50-805.06] 因为都可以来用,因为可以
[805.30-807.10] 清很多重量的,所以说
[807.36-809.40] 对于降低油耗,减少排烂量
[809.66-812.98] 是有很大帮助,所以说很多客户呢希望我们
[813.24-814.78] 加快脚步,因为
[815.04-818.36] 这个部分在台湾的保有量是相当高了
[818.62-823.22] 所以说我们对这个也寄以厚望,我们也希望就是说这个部分呢
[823.48-824.00] 可以
[824.50-827.32] 形成江山未来主力产品的一部分
[827.58-829.12] 以上简单报告
[830.70-831.98] 不晓得大家有什么问题
[835.82-836.84] 好那这边
[837.36-843.50] 分享,那我们接下来进行Q&A的部分,本次法硕才文字提问,请线上的
[843.76-846.82] 投资先进参加利用聊天室提问,谢谢
[860.70-866.84] 请问有没有其他问题?
[867.10-873.24] 这个是那个毛利率的占比跟毛利占比
[875.30-877.60] 这我请那个陈经理回答一下好了
[887.06-890.40] 我们个别的产品毛利率就这个我们比较不方便
[890.70-893.26] 但原则上还是以
[893.52-898.38] 原则上占比上还是以电巴为比较高的部分
[898.64-903.50] 那至于两年度的毛利率呢可以从总表看得出来我们两年我们的毛利率其实是
[903.76-905.30] 差不多的那主要还是以
[905.54-908.88] 销量的部分有稍稍的往下掉
[909.14-911.94] 导致我们的营业利益有下降
[912.72-914.76] 这个我补充一下,其实
[915.54-916.56] 毛利率
[917.32-920.66] 的话我只能这样讲,如果是我的产品结构
[920.96-922.50] 会有很大关系啦如果
[922.74-926.08] 如果是大型车或者是电动巴士的话
[926.58-930.68] 接的比例高的话毛利就会高,原则上是这样子所以说
[931.46-932.48] 大型车
[932.74-935.54] 大型车架跟那个电动巴士对我们来讲
[935.80-940.42] 是比较是对货力是帮助比较大我只能简单这样讲了
[940.66-942.98] 现在有问说
[943.22-945.28] 电动巴士今年跟明年出货量
[945.78-947.06] 今年我们预估
[947.84-948.34] 因为
[948.60-950.66] 第一季稍微少一点今年预估
[950.96-952.74] 大概应该700到800间
[953.26-954.54] 大概700到800间
[954.80-959.40] 明年是铁定超过800我们希望看的不止1000啦因为
[960.18-964.26] 到下半年开始应该整个电巴应该会会稳定了
[964.52-965.30] 会稳定
[967.34-973.48] 所以说大概明年大巴应该会比今年再好一点主要是差异在第一季的我这个主要差在
[973.74-974.76] 第一季比较差一点
[975.28-976.04] 大概是这样的
[976.30-977.06] 请问
[978.10-979.12] 台湾厂
[979.62-980.66] 停产院这个
[980.96-984.80] 因为这签证模特我们那个大股东
[986.84-988.64] 这个我不方便讲了因为
[988.90-994.26] 这个其实你们去看日本的新闻应该新闻日本新闻应该有说过
[994.52-997.60] 我们是台湾应该全球都受影响不只是台湾
[997.86-1000.16] 所以说会会还有一段时间
[1000.42-1001.70] 停产那主要是
[1001.94-1002.46] 一些
[1002.72-1004.50] 某重要零件的短缺
[1004.76-1008.86] 大概是这样不过很快的啦因为8月就要复产了
[1009.12-1009.62] 好不好
[1009.62-1010.14] 因为这个
[1010.40-1013.22] 因为牵涉到客户了我不方便替他们讲原因
[1023.70-1026.52] 广州一天目前有多少比例是外销
[1026.78-1028.58] 外销北美
[1028.82-1033.18] 应该说我把北美其实比例大概不
[1033.44-1035.74] 北美应该到10%左右了
[1036.00-1037.78] 我就到10来10%左右
[1038.30-1039.58] 墨西哥比较多一点
[1040.14-1041.16] 墨西哥我记得20几
[1041.42-1043.22] 但是我记得外销比例
[1043.46-1046.54] 全部加起来在10几%但是主要集中
[1047.06-1050.38] 北美跟墨西哥比较多一点再有一些是日本
[1050.90-1051.66] 我看一下我这我试剂
[1064.98-1066.50] 这样才不得不把混在一起
[1067.02-1067.78] 没关系
[1068.04-1070.10] 大概我印象是大概就大概
[1070.40-1072.44] 北美加墨西哥大概
[1072.70-1075.26] 应该是在40%左右大概是这样子
[1082.18-1087.54] 东方日产设计在中国消费要请问广州人
[1089.08-1090.62] 获利成长
[1091.38-1095.74] 我因为这个好的确是营收下降好所以说
[1096.50-1097.28] 我们在
[1097.78-1099.84] 节省成本这一部分我们
[1100.14-1101.94] 加强很大力度了因为
[1102.44-1105.26] 这个不止现在开始了因为我们过去几年
[1105.78-1106.28] 我们
[1106.54-1110.38] 的确我们在这Costum部分做的下了工下了很深了
[1110.90-1112.68] 包含那些管理成本的部分
[1112.94-1114.22] 管理成本下降很多
[1114.74-1117.04] 所以说这个部分应该是主要是一个
[1117.30-1119.86] 一个获利的一个因素之一另外就是说
[1120.36-1124.20] 广州的设备因为投资也比较久了
[1124.46-1129.06] 所以说也都摊体也已经回来的还给襄阳不想表现
[1129.06-1135.20] 所以说现在会摊体还没有结束但是广州有一些主要设备摊体结束了这也是他
[1135.46-1138.28] 那个获利成长的主要原因之一
[1145.70-1146.46] 再次
[1147.24-1149.28] 问那个胡作无想
[1149.54-1150.82] 2025的展望
[1151.84-1154.92] 胡作无想的我老实说其实他
[1155.18-1158.76] 到目前为止的表现是超乎我的预期啦
[1159.06-1162.90] 他比我们先的目标成长很多
[1163.92-1165.20] 因为主要是
[1165.98-1170.32] 林德时代那边的成长一不只是小米的成长去林德时代那边
[1170.58-1173.90] 的成长因为他是主要林德时代的那个电
[1174.16-1177.50] 电池盒的供应商所以说林德时代成长
[1177.74-1179.02] 他就跟着成长
[1179.54-1182.86] 所以加上因为他品质做的比较好所以说
[1183.12-1189.02] 很多义工就第一工业他都会林德时代都会找他来做所以说这也是他大户生
[1189.32-1190.60] 成长的一个主要原因
[1191.36-1194.70] 现在欧洲厂商啊现在有多东西都要指定是他来做
[1194.94-1196.48] 主要是一个品质的关系
[1202.88-1208.78] 再来是广东NTN的主要客户有哪些自主品牌比重有增加吗
[1211.08-1213.38] 自主品牌目前我们一直在
[1213.90-1219.02] 找一些自主品牌其实有一些的像蔚来也是那个广州的主要客户
[1219.32-1221.36] 然后自主品牌我们现在
[1221.88-1224.70] 现在那边我们也在找一些自主品牌所以说因为过去
[1225.46-1230.58] 主要是依赖那个日本三大或者外销啦其实这个部分我们在这前几天
[1230.84-1235.18] 策略上已经开始调整了所以说有一些自主品牌我们都有去接单
[1235.44-1237.74] 刚刚就讲了蔚来主要是
[1238.00-1241.84] 蔚来主要是那个广州的一个主要客户
[1242.10-1243.64] 另外还有一些
[1244.14-1245.94] 北京汽车啦这些都是
[1247.74-1249.02] 日系品牌会是
[1249.32-1250.60] 应该是会慢慢下降
[1250.86-1251.36] 会下降
[1251.62-1252.90] 不过
[1253.16-1256.22] 外销的部分我们现在是在更加多元化因为
[1256.48-1258.78] 过去像广州都是以
[1259.04-1262.38] 那个北美南墨西哥为主其实这个部分
[1262.62-1263.90] 我们也在调整因为
[1264.42-1268.26] 我们在日本东南亚部分我们也开始在接一接
[1268.52-1270.82] 另外欧洲的部分我们主要是
[1271.08-1272.10] 把它放给
[1272.36-1273.90] 那个由香阳来承接
[1274.14-1276.96] 因为香阳那个内销部分的确
[1277.22-1278.50] 过去的比例太重了
[1278.50-1283.10] 所以说我们把欧洲的外销部分慢慢去放给香阳主要是这样子
[1287.72-1290.54] GATL这第几大供应商
[1290.78-1294.12] 这个我回答但是我应该我了解应该是
[1294.62-1296.68] 前三啦应该是前三啦
[1297.18-1298.46] 因为他离
[1298.72-1299.74] GATL很近
[1300.00-1302.56] 因为他在福州嘛那GATL是在宁德
[1302.82-1303.58] 他是很近
[1303.84-1305.90] 所以他是应该是前三
[1308.50-1310.80] 今天看来是足气
[1311.06-1312.34] 变好
[1312.86-1317.98] 没有错第2季一定比第1季好如果说我讲的环境不变化了
[1318.22-1319.76] 第3季应该会比
[1320.28-1321.30] 第2季好
[1321.56-1325.14] 第4季虽然我现在没看到客户的预示量不过
[1325.66-1329.24] 感觉上电动巴士的部分会成长那另外加上
[1329.50-1335.64] 板架多如果有导入量产的话第4季也应该会比第3季好在这个假设前
[1335.90-1337.18] 底级之下啦
[1337.42-1337.68] 对
[1338.50-1342.86] 是我能提供我
[1343.36-1347.46] 这个这种品牌日系品牌欧洲品牌的营收比重
[1349.50-1352.58] 现在我在手边没有没有这边
[1352.84-1353.86] 资料
[1357.18-1357.96] 广州
[1362.30-1366.66] 基本上了广州我知道大概日系品牌
[1367.18-1368.46] 跟自主品牌就国内的
[1368.76-1371.58] 部分就是在中国国内部分的大概是占比到50几
[1371.82-1374.38] 但是主要是日系品牌为主
[1374.64-1380.28] 自主品牌我认为他主要客户但是未来未来是在都是在广州
[1382.32-1386.68] 那个襄阳的部分的话欧洲是最近才开始其实他比重还不高
[1386.94-1388.22] 比重还不高
[1389.74-1392.56] 另外另外是像一些
[1394.36-1398.46] 襄阳的大部分就是国内就是中国内的日系品牌者另外
[1398.76-1400.30] 还有一个就是VLW
[1400.54-1402.08] VLW在
[1402.34-1405.66] 中国国内的话也是主要是由襄阳在组织
[1406.94-1410.78] 大概是这样因为我手边没有很细部的资料所以我没办法回答这个问题
[1411.82-1412.32] OK
[1418.22-1420.00] 夏威夷门靖皇进行稳定
[1420.26-1420.78] 不是因为
[1421.02-1425.90] 夏威夷门靖皇主要都是做大贺车的底盘嘛他其实整个大陆在
[1426.66-1427.18] 巴士
[1427.42-1428.46] 在电动化这一部分
[1428.76-1432.08] 的那个程度是很高的最近他们
[1432.34-1433.36] 这个整个大陆
[1433.62-1434.38] 整个这个
[1434.64-1435.66] 在淘汰那个
[1435.92-1436.94] 太旧换新
[1437.20-1440.28] 的速度是很快的所以说最近的他还有一些
[1440.78-1442.32] 大陆在做外销
[1442.58-1444.88] 这个那个客车部分的量很大
[1445.14-1447.70] 所以这也是最近他一直量一直在
[1447.96-1448.46] 做不出来
[1448.72-1450.26] 一直在增加原因这是
[1450.52-1453.84] 夏威夷门靖皇主要的一直在比较稳定的原因是在这一样
[1458.50-1459.78] 对吧
[1460.04-1461.58] 肯定他 Mythol 很好
[1461.82-1462.66] 对呀
[1462.90-1463.26] аем
[1467.32-1467.52] ok
[1467.76-1468.02] 老吗
[1470.02-1472.20] 我们知道第二次前任叫 kneada
[1481.26-1483.66] 也是asteディ
[1483.92-1484.10] 对
[1485.12-1486.28] 美义
[1486.50-1486.64] 他是
[1486.64-1486.92] 我不需要
[1487.18-1487.68] 我们
[1487.68-1491.80] 定的目標是我希望能在第一年
[1491.80-1495.36] 明年我是希望能夠有600架
[1495.88-1496.90] 600架
[1497.16-1498.94] 600架的話
[1499.72-1501.76] 600架大概
[1502.78-1504.06] 600架開供應
[1506.62-1508.16] 大概應該
[1508.92-1513.02] 會有7、8%的營收占比吧 大概是這樣子
[1514.82-1515.58] 所以說
[1515.58-1519.16] 但是這個量會越來越高 因為主要是
[1519.68-1520.18] 台灣
[1520.70-1526.84] 整個這個單單貨櫃這種板架的保有量就飛好幾萬架
[1526.84-1528.90] 每年他必須淘汰固定的量
[1529.14-1531.46] 所以說這一個量是我覺得是
[1532.22-1534.52] 我很期待啦 但是這還要再努力
[1541.94-1545.54] 然後福州虎曉目前年產是多少
[1546.10-1546.86] 其實
[1547.38-1549.42] 其實福州虎曉目前
[1549.94-1552.74] 目前他不是看產能 因為他每一種線
[1553.00-1557.62] 都不一樣 所以說有時候要講產能 他就跟MTA那個會不太一樣
[1557.86-1559.66] 加工力其實那目前
[1559.92-1564.02] 我只能是說他大部分之家目前就已經雙班生產了
[1564.26-1565.04] 所以說
[1565.80-1569.38] 目前廠房是不夠了 他已經現在目前已經四個廠
[1569.90-1571.94] 最近董事會有通過
[1572.20-1572.98] 要再
[1574.00-1575.02] 設第五個廠
[1575.02-1579.38] 因為後面我剛才講了有接到歐洲某大設廠的訂單
[1579.62-1581.94] 這個沒有設廠那個現有的設備
[1582.18-1584.50] 設備廠房是對應不了的所以說
[1585.00-1585.78] 會有擴張
[1586.02-1588.34] 應該是這個也明確的已經
[1588.58-1589.10] 已經
[1589.36-1595.24] 找到已經目前應該已經是找到對象廠房已經在在洽租或者是
[1595.50-1597.04] 洽購中我只能這樣講
[1597.30-1598.06] 好不好
[1605.02-1611.16] 如果大家沒有問題那我們今天就到此為止
[1611.42-1615.52] 如果大家沒有問題那我們今天就到此為止
[1615.78-1619.86] 如果這條私底下有什麼問題可以歡迎來電來問好不好
[1620.12-1622.68] 我們能夠回答我講一講還有一個
[1624.48-1625.50] 歐洲的訂單是
[1626.02-1626.52] 多國線
[1626.78-1627.30] 對
[1627.54-1630.36] 歐洲的訂單因為這個部分是這樣子
[1630.88-1632.16] 這一段是
[1632.42-1633.70] 這個部分是這樣子
[1633.94-1634.98] 這個部分是
[1635.28-1638.34] 這個歐洲這個大設廠他那個電池
[1638.60-1642.44] 並不是在CATL組裝是在歐洲
[1642.96-1644.74] 自己那個工廠裡面組裝
[1645.26-1646.28] 他要
[1646.80-1647.56] 他要
[1648.08-1649.36] 主要他只要電池盒
[1649.86-1650.64] 電池盒
[1650.90-1651.92] 這個部分雖然是
[1652.42-1656.26] CATL介紹沒有錯但是主要還是歐洲
[1656.78-1658.32] 這個大設廠直接跟
[1658.82-1660.36] 那個福州五響來對應
[1660.62-1661.90] 因為到最後我們是
[1662.16-1664.98] 將直接交過去因為大陸要用啦
[1665.28-1671.42] 大陸他的電池應該是用CATL的但是他組裝整個電池盒組裝並不在CATL
[1671.68-1673.98] 裡面而是在這一家歐洲大車廠
[1674.24-1675.78] 我簡單這樣講
[1678.58-1680.90] 外銷他有內銷跟外銷
[1681.14-1684.98] 他有內銷因為這家歐洲大車廠在大陸也有廠
[1685.76-1687.30] 大陸也有廠
[1687.54-1691.90] 其他在海外的部分他就必須外銷到德國去
[1691.90-1696.76] 我剛才講出來我講到德國去
[1697.02-1699.84] 大家可以猜得出來啊大家猜就好了
[1707.00-1709.30] 請問線上的法案還有問題要更新嗎
[1709.56-1710.08] 好
[1721.90-1726.50] 如果沒有問題我們今天是可以到此結束
[1727.02-1733.16] 好的非常謝謝總經理這邊的回覆那我們今天法說會就先到此告一段落謝謝大家的參與
[1733.42-1733.94] 謝謝
