[0.00-4.30] 我們就準備開始今天的發說會
[336.60-341.60] 那合併營收的比較我們從2023年的Q1開始
[341.60-344.60] 然後看到今年的Q1
[344.60-346.60] 那大家可以看到
[346.60-350.60] 其實我剛才講到從21年、22年
[350.60-352.60] 貿易型時代到俄烏戰爭開打
[352.60-354.60] 其實那時候市場不是很好
[354.60-357.60] 那到這個時間如果大家還有營銷
[357.60-360.60] 到這個時間其實各大基地都要開始做檢查
[360.60-365.60] 所以大家很多客人開始有回歸於原始的價格營運往上
[365.60-369.60] 那其實到去年的第二季到第三季的時候
[369.60-372.60] 其實整體的消費市場都沒有很好
[372.60-375.60] 所以稍微開始做一些修正
[375.60-377.60] 所以這個曲線你們可以看得出來
[377.60-379.60] 大概是這個狀況
[379.60-381.60] 那貿易率的部分
[381.60-383.60] 這邊看起來好像比較高
[383.60-387.60] 我在之前的訪問可能有跟大家提過
[387.60-391.60] 其實一般正常的貿易率大概會在2.5到3.5%左右
[391.60-396.60] 那這一段貿易率比較高主要是因為之前的一些韌列的過創
[396.60-398.60] 所以這一段的貿易率相對比較高一點
[398.60-401.60] 那到這邊其實我也是大概2.5到3.5%
[401.60-402.60] 所以算比較正常一點
[402.60-404.60] 然後這邊略低一點
[404.60-408.60] 因為從大概二、三年的Q2開始漲價之後
[408.60-413.60] 到去年的上半年其實整個消費市場都沒有什麼好的動作下去了
[413.60-415.60] 但是我們這邊有在做了一些決定
[415.60-417.60] 所以大家大概會想
[417.60-422.60] 如果把韌列的迴轉跟我們這邊的韌列部分
[422.60-423.60] 其實排除的話
[423.60-426.60] 其實整個貿易率就算是少了一點
[429.60-433.60] 那就今年的Q1跟去年的Q1比較
[433.60-434.60] 這邊有兩個圖表
[434.60-437.60] 一個是今年的Q1跟去年Q1的比較
[437.60-440.60] 那一個是今年Q1跟上一屆的比較
[440.60-441.60] 大家可以看到
[441.60-443.60] 就我陳柔剛剛講的
[443.60-446.60] 其實在Memory部分有開始做一些修正
[446.60-448.60] 因為去年的上半比價有漲很多
[448.60-450.60] 所以Memory部分看起來
[450.60-452.60] 我們這邊也開始做一些向下的修正
[452.60-455.60] 不過特別提一下就是我們在MTK這塊
[455.60-457.60] 我們也掌握了一些新的客戶
[457.60-459.60] 我們出貨量其實增加蠻多的
[459.60-462.60] 那跟上一季比較其實狀況也有點不同
[462.60-465.60] 我們特別看一下這個MTK跟MTK的來賓成長
[465.60-467.60] 可以看到有比較大的增加
[471.60-473.60] 那這個是我們合併
[473.60-475.60] 我們現在是在這個順利表的部分
[475.60-476.60] 來看
[476.60-479.60] 那去年第四季我們大概是560億
[479.60-482.60] 那小毛利大概是11億左右
[482.60-485.60] 那毛利率大概是2.23%
[485.60-487.60] 當然可以看到毛利率有稍微變低一點
[487.60-489.60] 因為大概去年底的好朋友
[489.60-491.60] 提升了一些
[491.60-494.60] 那也出了一些高價的部份
[494.60-498.60] 所以毛利率可能比平均值稍微越低一點
[498.60-502.60] 然後
[503.60-504.60] 歸屬
[504.60-507.60] 我再跟你講歸屬公司的經濟
[507.60-509.60] 這個部份因為我剛有提到
[509.60-511.60] 我們有提到的一些酷選的部份
[511.60-513.60] 因為
[513.60-515.60] 所以造成了一些的
[515.60-520.60] 歸屬公司的經濟稍微比較低一點
[520.60-524.60] 那整體看起來EK大概是0.8個
[524.60-525.60] 0.8萬
[525.60-527.60] 所以去年第四季的部分
[527.60-529.60] 好
[529.60-531.60] 那這是合併資產不在的部分
[531.60-533.60] 那這是合併資產不在表
[533.60-535.60] 百貨櫥來看
[535.60-537.60] 那有幾個數字同色的
[537.60-538.60] 大家可以看一下
[538.60-542.60] 營收帳款的周轉變數有稍微比較
[542.60-547.60] 因為我們整個百貨櫥來看營收也稍微往下修正
[547.60-549.60] 所以整體的營收帳款就看得比較高
[549.60-551.60] 那相對的也因為這樣子
[551.60-553.60] 你除不過的周轉變數
[553.60-555.60] 因為我剛有提到
[555.60-558.60] 已經有提升掉一些酒製的部份高價的部份
[558.60-561.60] 所以整體的除不過的周轉變數也會往下降
[561.60-564.60] 那負債比率也是往下調整
[564.60-571.60] 那這個是我們歷年股利配發的狀況
[571.60-576.60] 我們一般發放率都大概維持在70到80%
[576.60-580.60] 那今年的3月份
[580.60-584.60] 我們是會通過今年的發放率會到96%
[584.60-587.60] 普通股配發現金股利3.35
[587.60-590.60] 那特別股配發2.05
[590.60-591.60] 2.25
[591.60-593.60] 那這是今年配發的狀況
[598.60-603.60] 那再講一下我們整個集團的產品別比重跟中段應用
[603.60-607.60] 那我們都是主要還是在Average相關的
[607.60-609.60] Fresh跟DiREN差點大概6成
[609.60-613.60] 那我剛有特別講到AP跟PA的部份
[613.60-617.60] 那以往它佔整個產品別比重大概不到20%
[617.60-618.60] 那今年
[618.60-620.60] 因為去年有講過一些新的課程嘛
[620.60-622.60] 增加蠻多出貨的
[622.60-626.60] 所以首次突破20%到大概22%左右
[626.60-629.60] 那其他的包含就要改AAC到其他產品
[629.60-631.60] 就是這些相關的產品
[631.60-634.60] 這是我們整體的產品的比重的類似
[634.60-638.60] 那把Memory特別拉出來
[638.60-644.60] 其實Memory在我們在分幾個location主要是這幾個
[644.60-646.60] 就是Server Mobile 網訊用Channel
[646.60-648.60] 跟Gaming PC用Mobile
[648.60-650.60] 那其實最重要的兩塊
[650.60-653.60] 對Memory來說就是Mobile跟Server這兩塊
[653.60-656.60] 那這兩塊佔我們公司的比重也相當高
[656.60-659.60] 佔我們公司的比重大概超過65%左右
[659.60-661.60] 大概70%
[661.60-666.60] 那Consumer Channel跟PG這個其實都是泛消費型的產品
[666.60-672.60] 其實整體的消費狀況整體的市場還是這麼好的
[672.60-674.60] 那我再特別講一下Server的部份
[674.60-676.60] 在2023年的1到12月就整體的
[676.60-683.60] Server大概佔我們整體大概12%左右
[683.60-687.60] 那Server AI的部份就大概佔了我們電路的一成
[687.60-692.60] 那今年跟AI Server相關的其實大幅低到12.3%左右
[692.60-696.60] 所以AI Server還是非常非常重要的一個產品部份
[696.60-700.60] 好 下一題
[700.60-703.60] 那這是我剛講到AP跟PA相關的
[703.60-706.60] 那其實這主要的利用是在Mobile跟Wi-Fi
[706.60-708.60] 還有AI和Wi-Fi相關的
[708.60-709.60] 這大家可以參考一下
[709.60-713.60] 從去年2023年到今年2024年
[713.60-717.60] Mobile這一塊也有出貨蠻多的
[717.60-719.60] 在AP跟AP這一塊
[724.60-726.60] 那這最後也有大家講一下
[726.60-729.60] 我還是講一下我們幾個Listing Channel
[729.60-731.60] 就是其實關於我們
[731.60-735.60] 因為我們還是主要是電子雲間的通貸
[735.60-738.60] 那其實除了我剛講的記憶之外
[738.60-740.60] 我們還包含了MLC記憶
[740.60-743.60] 還有AP PA Timing Controller
[743.60-747.60] 還有一些新拉進來的產品
[747.60-749.60] 比如說包含無電池的模組
[749.60-752.60] 還有一些跟未來Server的
[752.60-754.60] 確實相關的一些的確定
[754.60-759.60] 然後還有一些Snyder跟Montage的一些新的產品
[759.60-763.60] 所以我們會想辦法再多找一些新的產品出來
[763.60-764.60] 然後會圍繞著一些比較熱門的產品出來
[765.60-767.60] 來做更多的應用
[767.60-770.60] 那還有我們新的電子這一塊
[770.60-773.60] IC設計 光電科技等等
[773.60-776.60] 還有他今天我們寶康在做的這一塊
[776.60-779.60] 這是我們幾個主要的面向
[779.60-783.60] 那以上就是我們今天主要的內容
[783.60-787.60] 那我們最後會有個時間讓大家做Q&A
[787.60-790.60] 那在Q&A之前
[790.60-793.60] 大家應該比較想問的就是關稅的問題
[793.60-795.60] 我先講一下
[795.60-797.60] 關稅對我們公司的影響
[797.60-801.60] 還是你覺得想問這件事情
[801.60-805.60] 關稅的問題是這樣
[805.60-807.60] 其實我們是這樣看的
[807.60-813.60] 因為美國政府的關稅政策是來得很突然
[813.60-815.60] 但是大家好像也不是那麼意外
[815.60-818.60] 其實對我們的影響
[818.60-819.60] 對整個市場來說
[819.60-822.60] 其實大家覺得因為美國政府
[822.60-825.60] 可能有一些不確定的因素在
[825.60-828.60] 所以大家可以陪伴的感覺得到
[828.60-830.60] 這幾個禮拜開始
[830.60-832.60] 甚至整個Q2
[832.60-836.60] 可能背後的提願是提高很多
[836.60-838.60] 所以我們現在看到的狀況是
[838.60-842.60] 詢問度增加非常非常多
[842.60-845.60] 那價錢也因為這樣子的議題
[845.60-847.60] 所以漲超高
[847.60-849.60] 所以整個第二季看起來
[849.60-851.60] 我覺得都是往這個方向
[851.60-853.60] 沒有什麼太大的問題
[853.60-855.60] 好 那
[855.60-856.60] 至於下半年
[856.60-857.60] 因為很多人說
[857.60-859.60] 會不會是提前消費
[859.60-861.60] 就是因為因應關稅的這些動作
[861.60-863.60] 會不會是因為提前消費
[863.60-864.60] 我覺得會有這樣的狀況存在
[864.60-866.60] 肯定是會有
[866.60-870.60] 那最重點是我們要看一下整體的
[870.60-873.60] 總體經濟的狀況和環境
[873.60-877.60] 那其實因為美國這樣反覆關稅的問題
[877.60-880.60] 其實今年全球的智慧型手機的預測
[880.60-883.60] 出貨量也因為這樣子下修
[883.60-885.60] 不過今年上半年開始
[885.60-888.60] 我們看到的低級的出貨還是有成長的
[888.60-890.60] 我們在看數字大致的成長
[890.60-892.60] 也不可能3到4%
[892.60-894.60] 那跟大陸
[894.60-897.60] 中國大陸的國股政策有關係
[897.60-900.60] 所以在國股政策跟春節的代步價
[900.60-903.60] 其實Q1的出貨是成長的
[903.60-908.60] 那Q2看起來整體的客人的
[908.60-911.60] 不管是real demand還是要突破的需求
[911.60-913.60] 看起來Q2的狀況也是會非常好
[913.60-916.60] 目前看起來是這樣子
[916.60-918.60] 那下半年我覺得要再觀察
[918.60-922.60] 因為這個關稅政策我們也說得不錯
[922.60-924.60] 那我們公司能做什麼準備
[924.60-928.60] 簡單來說我們是通路裝
[928.60-930.60] 我們是電子民主建立的代理商
[930.60-932.60] 我們不用工廠
[932.60-933.60] 我們不用有工廠
[933.60-934.60] 我們不用辦工廠
[934.60-935.60] 我們不用made in China
[935.60-937.60] 我們不用made in USA
[937.60-938.60] 我們很簡單的
[938.60-940.60] 我們其實是比較有彈性的
[940.60-941.60] 其實客人的需求在哪裡
[941.60-942.60] 我們就跟得去哪裡
[943.60-946.60] 你說包含從我們很早以前
[946.60-947.60] 從臺灣開始
[947.60-949.60] 因為大陸手機的需求
[949.60-951.60] 大陸其他伺服器的需求
[951.60-953.60] 我們在大陸其實也擴建很多分公司
[953.60-955.60] 那我們在新加坡現在也有分公司
[955.60-957.60] 我們可以營運很多東南亞的需求
[957.60-960.60] 那其實我們接下來也在研究包含
[960.60-964.60] 美國跟歐洲是不是有這個必要性
[964.60-970.60] 我們也相關的一些文件啊
[970.60-972.60] 各方面我們已經都已經開始研究了
[973.60-975.60] 所以你說對我們的影響
[975.60-976.60] 我們就跟著客人走
[976.60-979.60] 因為我們是在整個供應鏈的
[979.60-981.60] 中間商的角色
[981.60-983.60] 其實上游有它的營運方法
[983.60-985.60] 下游工廠有它的營運方法
[985.60-987.60] 那我們就跟著上下游
[987.60-989.60] 其實我們是比較好營運的
[989.60-991.60] 所以我們也不是那麼擔心
[991.60-993.60] 大概是這樣子
[993.60-995.60] 還有沒有人有其他問題
[995.60-999.60] 我有問題可以問一下
[999.60-1000.60] 發起放
[1000.60-1001.60] 是
[1001.60-1002.60] 上下游的問題
[1002.60-1006.60] 官方是這樣講
[1006.60-1009.60] 官方是說大概3到5%
[1009.60-1013.60] 但是其實這兩禮拜在市場看到
[1013.60-1014.60] 有一些東西其實是
[1014.60-1017.60] 漲價幅度非常非常大
[1017.60-1022.60] 那其實我倒不覺得只是因為玩水的問題
[1022.60-1024.60] 因為各大廠其實在
[1024.60-1028.60] 應該說現在主力除了手機之外
[1028.60-1030.60] 所有的資源應該投入在
[1030.60-1032.60] SERVER跟比較高階的
[1032.60-1033.60] SERVER相關的
[1033.60-1035.60] 所以有一些新的製程會往
[1035.60-1038.60] 比較高階高階的DDR5
[1038.60-1041.60] 或者是HBA移動
[1041.60-1042.60] 那所以間接的
[1042.60-1043.60] 因為這樣子
[1043.60-1047.60] QuadraMix會影響到其他一些消費型的產出
[1047.60-1050.60] 那我覺得最近其實
[1050.60-1053.60] 各大原廠的動作也蠻大的
[1053.60-1056.60] 像美國也發了一個聲明
[1056.60-1057.60] 就是我要漲價
[1057.60-1059.60] 漲價多少也沒價
[1059.60-1062.60] 然後三星的部分會做到
[1062.60-1063.60] 一些QuadraMix調整
[1063.60-1065.60] 因為它現在有太多製程了
[1065.60-1070.60] 就是譬如說從1X 1Y 1Z到1A 1D
[1070.60-1071.60] 有太多太多製程
[1071.60-1073.60] 它其實在管理上也不容易
[1073.60-1076.60] 所以它現在把所有的產能
[1076.60-1078.60] 集中在一些比較高階的產品
[1078.60-1081.60] 那相對比較舊的製程
[1081.60-1082.60] 或是比較落後的製程
[1082.60-1084.60] 它的產出也沒有受到影響
[1084.60-1086.60] 那最近市場上漲價漲價幅度
[1086.60-1089.60] 都是屬於比較舊的製程
[1089.60-1091.60] 或是比較落後的製程
[1092.60-1094.60] 特別DDR3 DDR4
[1094.60-1099.60] 我看應該一些local的廠商
[1099.60-1101.60] 應該會收回滿多的
[1105.60-1107.60] 市場價錢我覺得會
[1107.60-1110.60] 漲得比官方的價錢多了
[1110.60-1111.60] 目前的感覺
[1111.60-1112.60] 好 回應一下
[1112.60-1113.60] 對
[1117.60-1118.60] 請說
[1118.60-1119.60] 那我可以請問一下
[1119.60-1120.60] 因為剛剛有講到說
[1120.60-1121.60] 我們去年第四季第一季
[1121.60-1123.60] 都要都有體驗這個庫存
[1123.60-1126.60] 那如果照這樣的趨勢來看的話
[1126.60-1127.60] 我們第二季這個價格
[1127.60-1129.60] 又往上沖的話
[1129.60-1131.60] 我們是不是就可以開始回送這些
[1131.60-1133.60] 做一些合成的工作
[1133.60-1134.60] 對 其實
[1134.60-1137.60] 我剛有提到就是美國的關稅
[1137.60-1141.60] 其實突然就發生了嘛
[1141.60-1143.60] 那你們也看到新聞
[1143.60-1146.60] Apple馬上包機五台
[1146.60-1148.60] 送了150萬台手機
[1148.60-1150.60] 回從印度飛到美國去
[1150.60-1153.60] 就一飛到關稅就不止息了
[1153.60-1156.60] 所以其實在那個moment
[1156.60-1158.60] 因為我們也有做美國的市場
[1158.60-1160.60] 在那個moment其實
[1160.60-1164.60] 突然那幾天客人call了很多貨過去
[1164.60-1168.60] 所以其實在Q2漲價發生開始的時間
[1168.60-1171.60] 我們已經也準備好了
[1171.60-1173.60] 我們手上這些東西也準備好了
[1173.60-1174.60] 所以你剛講的也沒錯
[1174.60-1177.60] 其實第二季我覺得開始
[1177.60-1180.60] 因為市場價錢跟官方價錢都往上跳了
[1180.60-1183.60] 所以對我們的整整體的經濟
[1183.60-1185.60] 我講說會有蠻大的助益
[1185.60-1187.60] 對
[1187.60-1188.60] 請問一下去
[1188.60-1190.60] 第四季土地業的股東損失來講的話
[1190.60-1192.60] 大概幾個是多少
[1192.60-1194.60] 比起剛剛那個股東的股東
[1194.60-1195.60] 股東的喔
[1195.60-1196.60] 股東的喔
[1196.60-1197.60] 我們
[1197.60-1200.60] 我們抽一個
[1200.60-1202.60] 我們可以看到水利表裡面
[1202.60-1203.60] 它有這個
[1203.60-1204.60] ESL
[1204.60-1207.60] 乾淨的是沒有這個人在出賣
[1207.60-1210.60] 那權力不足是幾點點
[1210.60-1213.60] 去年提了312
[1214.60-1215.60] 都說了
[1218.60-1219.60] 整年度啦
[1220.60-1221.60] 整年度
[1221.60-1223.60] 要整年度啦
[1223.60-1225.60] 那這可以
[1225.60-1226.60] 可以
[1226.60-1228.60] 大概應該都是落在第四季
[1228.60-1229.60] 因為後面降債
[1229.60-1230.60] 對
[1230.60-1231.60] 第一季還是有部分的因素在
[1231.60-1232.60] 對
[1232.60-1233.60] 但因為我們積極去化庫存了
[1233.60-1234.60] 所以其實
[1234.60-1235.60] 也蠻平均的
[1235.60-1236.60] 對
[1236.60-1237.60] 對
[1237.60-1238.60] 之後
[1238.60-1239.60] 可能就都會發生這種事情
[1239.60-1240.60] 對
[1240.60-1255.60] 市場的交期
[1255.60-1261.60] 其實市場交期,因為Memory不是一種產品,Memory沒有分很多種產品
[1261.60-1269.60] 我剛有特別提到就是比較舊的製程,現在交期拉很長
[1269.60-1276.60] 甚至有的原廠也沒有辦法確認交期,你先同意這個價值,我們再來看要怎麼談
[1276.60-1284.60] 所以現在在一些比較舊的製程這一塊,其實你講交期,原廠也照得出來
[1284.60-1293.60] 那在比較normal的item,越新的製程,每個月我們會跟客人會有談focus需求
[1293.60-1299.60] 其實你只在rolling每個月的需求,所以你說交期可以穩定控制在哪一塊
[1299.60-1303.60] 但是市道路都是沒有問題的,正常的東西
[1303.60-1308.60] D-RAN嗎?
[1308.60-1310.60] 我剛講的就是D-RAN
[1310.60-1318.60] 我的市道路都是我們有一直維持在交易的模式跟狀態下
[1318.60-1325.60] 如果是一個新的客人,或是新的客戶,或是新的品牌,我們一般都要抓8-12週
[1329.60-1336.60] 那我現在也沒有拿到一個新的客戶,我只能說是在交期的部分
[1336.60-1338.60] 那主要都是在China
[1338.60-1343.60] 那我現在的代言產品越來越多了,剛好有情況是記憶體的一點
[1343.60-1349.60] 那我不知道說如果在這種期間消音起來,會不會有更多的問題
[1349.60-1354.60] 因為我看到很多的產品,我看到很多的產品,我看到很多的產品,我看到很多的產品
[1354.60-1357.60] 我看到很多的產品,我看到很多的產品,我看到很多的產品,我看到很多的產品
[1357.60-1358.60] 我看到很多的產品,我看到很多的產品,我看到很多的產品,我看到很多的產品,我看到很多的產品
[1358.60-1365.60] 那如果在其他消音起來,我們在其他代言產品上面,這個價格上面,是一樣可以擴張的產品
[1365.60-1368.60] 因為畢竟這還是供需的關係
[1368.60-1375.60] 比如說像AAP,我們有機會可以賣相對比較好一點的產品
[1375.60-1379.60] 其實不同的產品,有它不同的市場跟供需的狀況
[1379.60-1384.60] 那當然如果在有需的狀況下,我們也會跟原廠商,也會跟客人調整
[1384.60-1387.60] 那有條件的狀況下,我們當然是往上調整
[1387.60-1388.60] 對
[1388.60-1391.60] 那我們還是要顧及到長期合作的關係
[1391.60-1392.60] 對
[1396.60-1403.60] 想請教一道具體設計的重播,大概是四年,現在的時間嗎?
[1403.60-1405.60] 現在嗎?時時時刻嗎?
[1405.60-1407.60] 時時時刻,每個月嗎?
[1409.60-1411.60] 你說有沒有降到一月?
[1411.60-1416.60] 應該不會降到那麼多,應該會再往下降一點,但是沒有降到那麼多
[1418.60-1423.60] 因為我們也知道,現在的分文是要漲價
[1423.60-1442.60] 好,請問一下,一個人就是可以自然釋放的,怎麼講?
[1442.60-1443.60] 釋放什麼?
[1443.60-1447.60] 就是說,現在開始的利潤是這樣的,那這個對,那對什麼?
[1448.60-1455.60] Fresh其實有分幾個,從以前的,譬如說從North Fresh已經DOL了,然後在SLC也DOL了
[1455.60-1459.60] 然後現在開始MLC,TLC跟QLC
[1459.60-1468.60] 它是,一直在會有一個新的產品出來,包含一些所以inverted的Net
[1468.60-1476.60] 那最近的,最近在MLC這一塊,其實市場上價錢也漲很多,甚至有漲到兩倍
[1476.60-1477.60] 因為
[1477.60-1485.60] 因為幾個主要的PayL入戶續續也會把MLC開始掉,DOL了,D-P-O-L掉了
[1485.60-1487.60] 可能之後也開始不生產了
[1487.60-1492.60] 所以現在未來的主力會放在QLC到QLC這一塊
[1492.60-1500.60] 那其實原本在應用,我們手上也有很多應用,在消費市場之外也有很多應用MLC的客人
[1500.60-1502.60] 那其實最近也會遇到這個問題
[1502.60-1506.60] 所以在Fresh在這一塊也是比較舊跟比較
[1507.60-1510.60] 在SSD的製程這一塊價錢漲非常多
[1510.60-1513.60] 那在高階這一塊也不用擔心,因為它有很多新的應用
[1513.60-1518.60] 比如說包含Server跟AI Server這一塊,他們會用到很多高階
[1518.60-1523.60] 現在動不動就是8T,16T,30T,很大的Storage的需求
[1523.60-1530.60] 所以未來在SSD這一塊,其實因為Server,AI Server這一塊,我們看到是有很大的需求
[1530.60-1535.60] 那在消費型這一塊,因為MLC整個業場漸漸不做了
[1535.60-1539.60] 現在價錢也是因此,因為這樣,所以現在市場價錢也漲蠻多的
[1543.60-1551.60] 想請教就是說,聯儲它那個一開始動,它在第二段時間有什麼變化?
[1551.60-1553.60] 我不知道你聽到的時程
[1553.60-1560.60] 比如說我們現在看到跟去年相比,那個時間是有什麼變化?
[1560.60-1562.60] 本來沒有這麼快
[1562.60-1563.60] 對
[1563.60-1564.60] 我只能說,我不知道你知道的時間是多少?
[1564.60-1565.60] 對,我只能說,我不知道你知道的時間是多少?
[1565.60-1566.60] 不知道
[1566.60-1570.60] 但就我們最近得到的更新是這個時程會提早
[1570.60-1571.60] 最近會提早?
[1571.60-1572.60] 對
[1572.60-1574.60] 不是我們跟去年,去年平台的市場有的會提早
[1574.60-1580.60] 所以最近有些客人措施不緊,所以市場價錢會漲的比較多
[1580.60-1584.60] 所以它有提提,大概是如果在出動
[1584.60-1590.60] 有提提,我沒有記得,應該都是今年內的事情
[1590.60-1591.60] 對
[1595.60-1618.60] 好,那謝謝大家,我們今天的訪詢就到這邊,好不好?
[1618.60-1619.60] 感謝,感謝
