[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-36.58] 我是先进武安 很高兴大家来参加中华航空股份有限公司第二季的法人说明会
[36.58-41.28] 那现在我先介绍一下公司的经营团队
[183.56-187.02] 而归属母公司净利为11.9亿元
[187.02-189.96] 较去年同期增加了10.9亿元
[189.96-191.96] 增幅35.2%
[191.96-194.82] 而每股营运为0.69元
[194.82-198.18] 也是较去年同期增加了0.18元
[198.18-200.72] 增幅35.3%
[200.72-203.32] 所以就今年的集体来看
[203.32-205.28] 华航不仅是在本期净利
[205.28-206.88] 归属母公司净利
[206.88-208.22] 以及每股营运
[208.22-208.98] 它的年增幅
[208.98-211.26] 幅度都超过三成以上
[211.26-216.32] 下页
[216.32-219.78] 随着公司自2020年起
[219.78-221.00] 每年持续获利
[221.00-223.18] 流动比例由以前的
[223.18-224.32] 大概68%
[224.32-225.80] 到今年的第一季
[225.80-227.90] 已经上升到110%
[227.90-229.36] 同样的负债比例
[229.36-231.20] 由以前的大概79%
[231.20-232.30] 到今年的第一季
[232.30-234.50] 已经下降到71%
[234.50-236.18] 所以公司财务比例
[236.18-237.02] 持续改善
[237.02-238.30] 整个财务状况
[238.30-238.96] 是相当的稳定的
[238.98-239.48] 很重要的一案
[239.48-240.58] 产业体的一概因为
[240.58-243.30] 我们现在也有lukic
[243.30-244.44] 可以 Nutra面市面集
[244.44-256.68] 这是 перв个
[256.68-258.10] 哈看看
[258.10-259.56] encontramosst Stroke
[259.56-260.66] 就是华 países最早
[260.66-261.70] 知名公司的
[261.70-262.58] 成 entender
[262.58-263.34] 是Magos
[263.34-264.34] ©εν
[264.34-265.58] 小明这个是我们市场
[265.58-266.88] 最多资计来说
[266.88-267.74] 幸録支付益安盘都是
[267.74-268.82] 1100亿块多少 и
[268.82-268.86] 亿元据说是产业确本�lamer
[268.86-268.92] 平时就影响去住在一个事成本中
[268.98-270.48] 都是成長了22%
[270.84-273.04] 歐洲區成長8%
[273.04-275.34] 而在中國大陸或是區域線
[275.38-277.24] 也是較去年同期成長
[282.52-286.58] 下一頁是有關華航營運成本的主成級變化
[286.82-288.54] 那今年第一季華航
[288.54-291.68] 成本比重最高依舊是油料費用
[291.68-293.24] 大概佔了31%
[293.54-296.74] 其次為人事費用是佔17%
[296.74-299.38] 接下來則是修護佔15%
[299.38-302.20] 及折舊租金貸佔14%
[302.38-303.24] 整體來說
[303.24-304.50] 除了因為
[304.50-306.48] 除了油料費用因為油價下跌
[306.48-309.08] 較去年同期減少兩個PPT以外
[309.34-310.48] 其他的成本
[310.48-312.98] 它的佔比跟去年同期是相當的
[316.78-319.28] 接下來折舊佔比最大的油料費用
[319.28-321.08] 再做進一步的說明
[321.18-324.18] 那今年第一季新加坡航空燃油的
[324.38-325.98] Mobstar軍價是每桶
[325.98-326.70] 90.9元
[326.74-330.74] 較去年同期減少10.9%
[330.74-333.44] 過年總數為387.1萬桶
[333.44-336.08] 是較去年同期增加了2.6%
[336.24-338.30] 而加季油料幣減支出後
[338.50-339.60] 今年第一季
[339.70-343.00] 公司的油料費用是125.8億元
[343.00-346.14] 是較去年同期減少3.8%
[351.28-353.00] 那下一個是
[353.18-354.68] 油價的趨勢圖
[354.90-356.18] 那大家可以看到
[356.18-359.08] 左邊這張圖最上方紅色的這個曲線
[359.08-362.28] 它是代表著新加坡航空燃油的價格
[362.52-365.68] 那下面這條藍色的線則是代表
[365.98-367.54] 布蘭特原油的價格
[367.64-369.34] 那最下面黃色的部分
[369.34-370.52] 則是兩者的價差
[370.52-371.74] 我們一般叫做Quick
[372.08-373.58] 然後又收到OPAP
[373.58-374.94] 它意外的增產
[374.94-377.08] 以及美國對等關稅的影響
[377.38-379.14] 影響需求前景
[379.22-382.38] 那像布蘭特原油它從4月初大概每桶
[382.64-384.34] 75元下跌到目前大概是每桶大概是65美元
[384.34-385.34] 下跌到目前大概是每桶大概是65美元
[385.34-386.14] 下跌到目前大概是每桶大概是65美元
[386.18-386.68] 下跌到目前大概是每桶大概是75美元
[386.68-388.48] 那航空燃油也一樣
[388.48-391.08] 由4月初將近每桶88美元
[391.24-393.92] 下跌到目前大概是每桶79美元
[394.18-395.68] 而兩者的價差
[395.68-399.12] 目前能維持在13-15美元左右
[400.48-403.32] 然後依據美國聯準EIA
[403.32-406.24] 他在5月6號所公布的最新的報告
[406.24-407.04] 報告中
[407.22-408.78] 他是預估布蘭特原油
[408.78-411.44] 今年的均價是每桶66美元
[411.78-414.88] 然後均價是每桶59美元
[415.42-415.84] 另外
[416.18-418.48] 他也在本週下修了今年
[418.48-422.18] 對航空燃油的均價的預測為每桶86美元
[422.18-424.94] 是遠低於去年的每桶99美元
[424.94-427.44] 所以整體油價呈現下跌趨勢
[427.44-430.18] 其實對航空公司是相當有利的
[430.18-437.68] 接下來是進行產業環境基地市場展望的說明
[437.68-444.88] 由於航空產業它是與全球經濟息息相關
[444.88-446.18] 所以我們先來看一下
[446.18-447.68] 全球基金的概況
[447.68-450.42] 依據國際貨幣基金IMF
[450.42-453.52] 它最新的公布的全球經濟成長預測
[453.52-456.44] 等於外域關稅所帶來的不確定性
[456.44-458.94] IMF它在4月所公布的預測中
[458.94-461.44] 下調了全球的經濟成長預測
[461.44-464.84] 而且其中以美國下調的幅度為最大
[464.84-468.18] 雖然因為關稅的議題帶來對經濟的擔憂
[468.18-471.78] IMF下修了全球及各國的經濟成長預測
[471.78-473.94] 但是它難以實現
[473.94-476.02] 僅5個明年全球成長一樣的預測
[476.02-476.14] 但是它難以實現5個明年全球成長一樣的預測
[476.18-479.78] 是有正2.8%跟正3%的正成長
[479.78-480.98] 而且在亞太地區
[480.98-484.14] 包括有大陸印度東協五國
[484.14-485.78] 它原生老年人
[485.78-489.08] 能有4%到6.3%的成長幅度
[489.08-490.48] 而台灣部分的IMF
[490.48-493.52] 它預期今年跟明年的經濟成長分別為
[493.52-496.28] 正2.9%跟正2.5%
[499.78-502.12] 然後下一個是有關全球跟課運
[502.12-504.98] 全球及淘汰課運的市場狀況
[504.98-506.02] 那今年第一季
[506.02-508.86] 全球課運它的運能 運量 增育
[508.86-511.06] 僅個位數成長
[511.06-513.82] 第一季的採課率有微幅的上升
[513.82-516.58] 主要還是反映供應鏈短缺的問題
[516.58-518.78] 而在右邊這張圖大家可以發現
[518.78-521.68] 今年第一季淘汰它的旅客人數
[521.68-525.06] 達到1170萬人次
[525.06-528.02] 較去年同期成長有5.1%
[528.02-532.12] 達到2019年同期的大概有97.3%
[532.12-535.86] 另外大家可以發現
[535.86-538.70] 這個出入金融數雖然較以前低
[538.70-541.26] 但是轉金元素的話
[541.26-544.36] 今年上半年有到168萬人次
[544.36-548.62] 較疫情前的129萬人次成長有超過30%
[553.92-555.36] 雖然我們前面有提到說
[555.36-558.26] 今年第一季全球它的課運的運能 運量
[558.26-560.06] 僅個位數的成長
[560.06-563.46] 但是在亞太地區它的課運的運能 運量
[563.46-565.70] 它的增幅能夠達到一個多倍的成長率
[565.70-568.14] 能有超過10%的成長
[568.14-571.76] 另外阿拉他也指出在過去的10年間
[571.76-574.90] 像東協各國它的航空市場持續成長
[574.90-578.34] 例如像越南它有成長到120%
[578.34-581.84] 像泰國與菲律賓也有成長約40%的成長
[581.84-583.20] 因此亞太地區
[583.20-586.20] 仍然為全球課運成長的主要動能
[592.54-594.84] 接下來看一下貨運的部分
[594.84-595.54] 和課運相同
[595.54-600.80] 雖然今年第一季全球它的貨運的運能 運量成長
[600.80-604.04] 較去年是呈現正常成長
[604.04-606.24] 但是它的年增的幅度
[606.24-609.34] 相較的話是有點趨緩
[609.34-612.04] 然後另外我們看到右邊相圖的話
[612.04-616.94] 義貨淘機它第一季的貨運量也是主要成長的
[616.94-619.68] 像今年第一季的貨運量其實較去
[619.68-621.54] 2019年就是疫情
[621.54-623.88] 同期是成長13.5%
[623.88-625.50] 如果較去年
[625.54-627.54] 同期的話也有近9%的成長
[633.74-638.94] 下一頁我們這邊有整理一下說關稅對華航的影響及因素
[638.94-641.10] 分別以四個面向來說明
[641.10-642.84] 首先是課運的部分
[642.84-647.40] 雖然對等關稅對課運影響較不具立即性
[647.40-651.60] 但是全球貿易戰恐會造成經濟走緩
[651.60-654.68] 長期將衝擊旅運需求
[654.68-658.78] 公司持續觀察總經發展及定位的變化
[658.78-661.18] 省省評估運能的使用安排
[661.18-662.88] 以及潛在的風險
[662.88-664.48] 再來是貨運的部分
[664.48-669.28] 雖然關稅政策就貨運需求面有些波動及轉移
[669.28-671.28] 例如像中南亞會往美
[671.28-672.88] 往美的班次會增加
[672.88-674.98] 入港則相對減少
[674.98-677.28] 而目的地部分可能
[677.28-679.28] 按照往歐洲會增加
[679.28-683.58] 但中長期而言我們會覺得它仍將回歸穩定成長
[683.58-687.68] 公司將視各區需求調整航班及篡費來營運
[687.68-689.48] 再來是財務的部分
[689.48-692.78] 關稅政策目前除了造成油價下跌外
[692.78-695.38] 也導致美元對新台幣走貶
[695.38-699.38] 有效降低以美元計價的油料成本
[699.38-701.18] 對公司是有利的
[701.18-705.78] 未來公司將持續強化財務風險的控管機制
[705.78-708.68] 最後來看到機對及銷戶面
[708.68-713.44] 預期關稅轉嫁將導致購機及航財勾到轉移
[713.58-714.68] 成本上升
[714.68-719.08] 公司將引定定長約強化庫存管理因應
[719.08-722.78] 並加強與供應商合作來提升整體供應鏈彈性
[722.78-730.28] 接下來是公司的機堆規劃
[730.28-733.38] 由於疫後造成供應鏈短缺
[733.38-735.08] 飛機遞延交機
[735.08-741.28] 公司除了目前已經增租了一架359及三架的321以外
[741.28-743.38] 並且就向773307
[743.58-746.58] 738執行延租來因應
[746.58-748.78] 且為了要維持穩定的運能
[748.78-751.58] 目前能持續進行增租的計劃
[751.58-758.58] 截至5月底公司目前客機共有68架
[758.58-759.78] 貨機有18架
[759.78-763.78] 合計共有86架的86架機
[763.78-765.78] 且依據目前的規劃
[765.78-770.38] 未來將客機的部分會再引進11架的311NEO
[770.38-773.38] 及24架的787-9
[773.58-776.58] 還有各10架的350-1000機
[776.58-778.58] 77-9光體機
[778.58-782.58] 合計會共有55架的客機
[782.58-783.58] 另外貨機的部分
[783.58-787.58] 則會再引進4架的777-RF
[787.58-792.58] 然後持續並進一步的提升公司客貨機整體的運能
[797.58-802.58] 接下來是客貨運營運概況及策略
[803.58-807.58] 首先看到今年第一季客貨運營運的表現
[807.58-813.58] 今年第一季客運的收入是272億元
[813.58-816.58] 較去年同期278億相當
[816.58-819.58] 而採客率則是成長了0.2個PVT
[819.58-824.58] 但是與以前2019年相較的話
[824.58-826.58] 不僅收入是成長了16%
[826.58-830.58] 像單位收入的話也高出有24.5%
[830.58-833.58] 然後另外再來看一下公司客運收入的組成
[833.58-837.58] 以前公司收入佔比最大的依舊是東北亞區
[837.58-839.58] 佔比有到32%
[839.58-842.58] 其次為北美的22%
[842.58-846.58] 依序為東南亞的19%及歐洲線的11%
[849.58-852.58] 下一頁這邊我們整理了
[852.58-856.58] 今年跟去年個月的客收及載客運的趨勢度
[856.58-862.58] 那今年的1月由於寒假旅遊旺季及春節連假的帶動下
[862.58-864.58] 客運表現強進
[864.58-869.58] 像1月份的單月的客收突破101元來到106億元
[869.58-872.58] 雖然二三月的需求趨緩
[872.58-878.58] 但是整體而言今年第一季能夠維持2024年的水準
[883.58-889.58] 下一頁華爾街持續推廣官網銷售通路
[889.58-890.58] 像今年第一季官網銷售通路的推廣通路是
[890.58-891.58] 像今年第一季官網銷售通路是
[892.58-894.58] 已經接近了4成
[894.58-899.58] 如果跟去年相較的話已經成長了快要兩個PPT
[899.58-903.58] 華航官網銷售的佔比持續的成長
[903.58-909.58] 公司不僅會推出春節花季等各項優惠來提升官網銷售
[909.58-913.58] 也推出了像學生票寫信的優惠
[913.58-918.58] 例如像學生可以額外的一件免運投運行李
[918.58-920.58] 另外也提供全球各大
[920.58-921.58] 例如像東京的官網銷售通路是
[921.58-923.58] 例如像東京的官網銷售通路是
[923.58-928.58] 倫敦雪梨山火等各大馬拉松賽事的直達航班優惠票
[928.58-936.58] 那下一頁的話這邊是提到說像今年二月期
[936.58-941.58] 首先復航了高雄熊本
[941.58-943.58] 再增搬桃園高松
[943.58-946.58] 四月的部分再開航了高雄福岡
[946.58-948.58] 然後在上個月五月
[948.58-950.58] 它不僅我們不僅復航了
[951.58-954.58] 我們還增搬了十元島並增搬日本航線
[954.58-959.58] 增搬日本航線讓國人最愛旅遊的東北海航網更密集
[959.58-962.58] 那呈如前面簡報所提到
[962.58-966.58] 其實桃機它的轉機能是持續的成長中
[966.58-969.58] 所以公司未來將會隨著新金引進
[969.58-971.58] 然後因應關稅政策
[971.58-973.58] 亞太公運鏈的不可
[973.58-977.58] 新佈局並透過既有的北美航班
[977.58-979.58] 加密或增設台商所投資的聚集電力
[979.58-980.58] 加密或增設台商所投資的聚集電力
[980.58-984.58] 航線來達到接轉航網的新格局
[984.58-991.58] 航線來達到接轉航網的新格局
[991.58-993.58] 下一頁是客運的營運策略
[993.58-997.58] 首先看到穩健發展與戶籍的部分
[997.58-1001.58] 華航近期聯手了美國的西南航空
[1001.58-1004.58] 打造了越南航線接轉的航網
[1004.58-1006.58] 從台灣直飛到美西後
[1006.58-1008.58] 轉接到美國內陸超過30座的城市
[1008.58-1010.58] 轉接到美國內陸超過30座的城市
[1010.58-1013.58] 提供旅客更便捷的轉機航網
[1013.58-1014.58] 提供旅客更便捷的轉機航網
[1014.58-1016.58] 旅客將可透過華航美西航班
[1016.58-1018.58] 包括洛杉磯安大略
[1018.58-1020.58] 包括洛杉磯安大略
[1020.58-1022.58] 舊金山西雅圖等四大機場
[1022.58-1027.58] 無縫銜接西南航空遍布全美的綿密航線
[1027.58-1030.58] 優化旅客北美轉機的體驗
[1030.58-1034.58] 在與時俱進與創新的部分
[1034.58-1036.58] 華航持續進行客艙優化
[1036.58-1038.58] 華航持續進行客艙優化
[1038.58-1040.58] 2027-2028年間
[1040.58-1043.58] 完成15架A359客艙升級
[1043.58-1047.58] 客艙將安裝全新配置及最先進設備
[1047.58-1051.58] 配合787新廣體機交付
[1051.58-1054.58] 全面導入最新機上座椅
[1054.58-1058.58] 高畫質影視營運系統及機上Wi-Fi服務
[1058.58-1061.58] 強化旅客優質飛行感受
[1061.58-1063.58] 提升市場競爭力
[1063.58-1066.58] 透過優化官網與APP購物票流程
[1066.58-1068.58] 加上推動機器人
[1068.58-1071.58] 客服應用等資訊系統
[1071.58-1073.58] 打造旅客便捷服務
[1078.58-1083.58] 接下來看一下今年第一季貨運營運的表現
[1083.58-1085.58] 今年的第一季貨運差不
[1085.58-1088.58] 不管是在運能、運量以及單位收益上
[1088.58-1091.58] 皆較去年同期及以前成長
[1091.58-1095.58] 今年第一季貨運營運的收入達到156億元
[1095.58-1097.58] 不僅較去年的同期成長了
[1097.58-1099.58] 27.6%
[1099.58-1103.58] 更較以前成長了55.2%
[1103.58-1107.58] 如果以公司的貨收分區比例來看
[1107.58-1110.58] 目前最大的區域
[1110.58-1111.58] 也就是北美
[1111.58-1113.58] 佔比有65%
[1113.58-1117.58] 其次為東南亞的11%與歐洲的10%
[1123.58-1125.58] 下一頁我們同樣整理了
[1125.58-1128.58] 今年跟去年個月的貨收集
[1128.58-1131.58] 以及貨運單位收益的趨勢圖
[1131.58-1135.58] 今年第一季其實在AI伺服器等電子產品
[1135.58-1137.58] 以及電商貨量穩定下
[1137.58-1140.58] 再加上關稅政策實施前的集單需求
[1140.58-1143.58] 其實今年的第一季的貨運單位收入
[1143.58-1145.58] 平均有達到12.0%
[1145.58-1147.58] 如果跟去年相較
[1147.58-1150.58] 同期相較的話有成長有到20.3%
[1150.58-1154.58] 如果跟疫情相較的話更是高出4成以上
[1155.58-1161.58] 接下來看一下貨運的營運策略
[1161.58-1165.58] 上個月華安完成了第十架77F交機後
[1165.58-1170.58] 公司規劃將以十架77F搭配八架74F
[1170.58-1173.58] 彈性快飛長短航線
[1173.58-1177.58] 雙機種兼顧大運量及省油優勢
[1177.58-1179.58] 提升整體營運績效
[1179.58-1181.58] 而對於關稅政策
[1181.58-1185.58] 將調整貨機航網結構機營運步數
[1185.58-1187.58] 除了已經增班東南亞
[1187.58-1191.58] 同時調整將入港往美的艙位資源
[1191.58-1193.58] 移至百日東南亞
[1193.58-1197.58] 甚至4月起調減美線航班兩班
[1197.58-1199.58] 置換至歐洲以降低風險
[1199.58-1203.58] 五月後仍有區域線貨機的增班
[1203.58-1205.58] 來穩定整體的貨收
[1212.58-1214.58] 最後則是跟大家介紹一下
[1214.58-1217.58] 華安公司的永續作為及績效
[1221.58-1224.58] 首先來看到環境保護的部分
[1224.58-1226.58] 華安不僅成為了
[1226.58-1229.58] 台灣首家通過SBTI的航空公司
[1229.58-1233.58] 且連續三年因SkyTeam的飛行挑戰
[1233.58-1236.58] 另外除了支持生態保育及零零冷壓
[1236.58-1239.58] 華安自2011年起
[1239.58-1242.58] 已連續15年辦理的淨灘活動
[1242.58-1244.58] 華安在環境保護上
[1244.58-1245.58] 不遺餘力
[1251.58-1255.58] 接下來是看一下社會責任及公司自己部分
[1255.58-1259.58] 華安除了長期辦理慈善公路轉換外
[1259.58-1263.58] 並首度攜手看見齊柏林基金會及
[1263.58-1266.58] 親愛愛樂學樂團公益團體
[1266.58-1269.58] 共同打造全新的增金影片
[1269.58-1271.58] 希望透過每趟的飛行
[1271.58-1274.58] 傳遞對環境永續及社會責任的成果
[1274.58-1277.58] 為華安提供的信任和承諾
[1277.58-1281.58] 華安在推動永續發展成果
[1281.58-1284.58] 備受國內外高度肯力
[1284.58-1287.58] 身為台灣首家獲得中華信憑
[1287.58-1292.58] 評等TWMI的航空公司
[1292.58-1295.58] 且透過科技基礎檢探目標
[1295.58-1298.58] 倡議組織SBTI審查
[1298.58-1301.58] 為台灣運輸服務業的先驅
[1301.58-1303.58] 此外華安首手
[1303.58-1308.58] 華安也榮獲首屆ESG交通運輸永續金獎
[1308.58-1311.58] 成為唯一獲獎的航空公司
[1311.58-1315.58] 以連續八度入選SMP Global永續年限
[1315.58-1318.58] 為全球航空業的前5%
[1318.58-1321.58] 華安持續以實際行動結合
[1321.58-1323.58] 營運策略及永續理念
[1323.58-1327.58] 齊心力行企業永續
[1327.58-1331.58] 以上是今天的簡報
[1331.58-1336.58] 接下來進入QA時間
[1336.58-1338.58] 因為我們在會議之前
[1338.58-1342.58] 有收集到一些投資先進提問
[1342.58-1345.58] 接下來就由經營團隊
[1345.58-1347.58] 就先這些題目來做回答
[1347.58-1350.58] 我這邊先來說明
[1350.58-1352.58] 第一題是問到有關機隊的部分
[1352.58-1355.58] 這裡問到的是今年的交際進度
[1355.58-1357.58] 我們整體機隊的汰換
[1357.58-1360.58] 還有今年是否有處分救濟利益的
[1361.58-1362.58] 這個計劃
[1362.58-1366.58] 我先就交機的進度的部分來說明
[1366.58-1369.58] 就是我們今年的交機除了載體機以外
[1369.58-1372.58] 還有我們的廣體機787-9的飛機
[1372.58-1376.58] 確實我們的交機是有受到供應鏈的影響
[1376.58-1377.58] 有一些延遲
[1377.58-1379.58] 不過這個不是華航單純的問題
[1379.58-1382.58] 是應該所有航空公司都面臨的問題
[1382.58-1383.58] 這是整個產業的問題
[1383.58-1388.58] 我們的因應方式就是我們制裁主動的方式
[1388.58-1391.58] 跟大家說明就是其實我們的飛機建造
[1391.58-1395.58] 我們一向都是會有派建造人員到駐場區
[1395.58-1396.58] 在那個地方
[1396.58-1398.58] 但是以往都是派一到兩位
[1398.58-1402.58] 我們這一次是直接派了七位的同事駐場
[1402.58-1405.58] 這個目的就是希望能夠加速我們這裡
[1405.58-1408.58] 所有交機的問題的處理
[1408.58-1412.58] 目的就是希望能夠讓交機的速度更快
[1412.58-1414.58] 這就是我們的積極作為
[1414.58-1417.58] 另外在整體機隊汰換的部分
[1417.58-1419.58] 剛剛在機隊那一頁有介紹
[1419.58-1421.58] 就是說我們未來還有很多的機隊
[1421.58-1423.58] 就是新機、妖嬌機
[1423.58-1426.58] 那剛才上面列的那些都是董事會已經通過
[1426.58-1427.58] 那除了這些機隊以外
[1427.58-1432.58] 我們還努力在市場尋找還有沒有其他的飛機可以租賃
[1432.58-1436.58] 然後另外還有我們還有實架飛機的option
[1436.58-1440.58] 這個我們也是希望再去趕快進一步的評估
[1440.58-1443.58] 是不是要把它從option轉為firm
[1443.58-1449.58] 那這兩個動作都是希望說可以增加我們的客運運能
[1449.58-1450.58] 那我們就是
[1450.58-1453.58] 希望我們能夠加密加廣我們的航往
[1453.58-1456.58] 然後讓我們能夠提供更全面性的服務
[1456.58-1458.58] 那這個是機隊汰換的部分
[1458.58-1463.58] 那另外我們今年確定不會有救機的處分計畫
[1463.58-1465.58] 那這是機隊的部分
[1465.58-1467.58] 那接下來會請我們
[1467.58-1471.58] 那另外我這邊就是大家比較關心的
[1471.58-1474.58] 就是未來的這個價格票價的問題
[1474.58-1480.58] 那票價其實一般來說我們關注的就是先看看市場的供需來看
[1480.58-1482.58] 來分析供和需來做分析
[1482.58-1486.58] 供就是這個市場上面的位置有沒有多出來
[1486.58-1488.58] 那剛剛就成我們剛剛處長所說的
[1488.58-1491.58] 現在因為當然疫後狀況很好
[1491.58-1495.58] 那所以大家每一家航空公司都希望增班
[1495.58-1498.58] 然後復航的這個計畫都有
[1498.58-1500.58] 那可是就是供應鏈的問題
[1500.58-1502.58] 人力啊和供應鏈的問題
[1502.58-1504.58] 各家航空公司都有交際delay的狀況
[1504.58-1509.58] 所以大家第一個方向可能都是先用延續的方式來處理之外
[1509.58-1513.58] 那再來就是一直在尋求市場上有沒有其他的飛機可以引進
[1513.58-1516.58] 這個是所有航空公司都在面臨的問題
[1516.58-1520.58] 所以呢這樣來說明就是說市場在供給這個位置上面
[1520.58-1522.58] 其實他的成長幅度沒有那麼快
[1522.58-1525.58] 那再話說我們再來看看需求面
[1525.58-1527.58] 那需求面的話
[1527.58-1531.58] 其實一到三年第一季已經公佈的數字
[1531.58-1533.58] 剛剛有報給大家聽這個音樂的結果
[1533.58-1536.58] 都是30成以上的漲幅
[1536.58-1539.58] 那另外一到四月甚至一到五月
[1539.58-1541.58] 在這個平均票價上面
[1541.58-1546.58] 我們看起來他並沒有一個相對比較大的這個跌幅
[1546.58-1548.58] 當然多少還是有受到這個關稅
[1548.58-1552.58] 大家剛開始需求可能買票這個稍微的影響
[1552.58-1555.58] 不過呢這個反應在五月份的上半月
[1555.58-1557.58] 在五月份的下半月來說的話
[1557.58-1560.58] 我們都有看到這個票價已經慢慢的都回穩了
[1560.58-1564.58] 那接下來又是大家傳統看到的這個暑假的大旺季
[1564.58-1568.58] 所以呢未來在這個短期的一季甚至兩季之間
[1569.58-1573.58] 我們看這個票價都是從樂觀的角度來看
[1573.58-1575.58] 那以上看這個票價的部分
[1575.58-1581.58] 好
[1581.58-1584.58] 大家有問到有關這個台幣升值對獲利的影響
[1584.58-1588.58] 那原則上如果我們是以這個營業收支的這個角度來看
[1588.58-1593.58] 那公司目前是這個以美元計價這個支出是大於整體這個營業收入
[1593.58-1596.58] 所以假設在其他的這個因素不變的情況下
[1596.58-1599.58] 台幣的升值對公司獲利其實是有相當的影響的
[1599.58-1601.58] 那這個就是我們在這個公司的這個提問的一個幫助的
[1601.58-1603.58] 那另外的話就是說成本方面的話
[1603.58-1608.58] 原則上因為一些像美元計價的這個燃油成本還有購機成本
[1608.58-1611.58] 其實相對的都會相對的減少
[1611.58-1616.58] 那另外的話就像台幣的這個強勢其實也會刺激整體國人這個出國的意願
[1616.58-1621.58] 所以我們認為正面其實台幣升值對我們公司來講是蠻正面的
[1621.58-1622.58] 謝謝
[1622.58-1625.58] 以上是我們事前收到的這個提問
[1625.58-1627.58] 我們現在就來看看這個公司的這個提問
[1627.58-1628.58] 我們現在就來看看這個公司的這個提問
[1628.58-1629.58] 我們現在就來看看這個公司的這個提問
[1629.58-1632.58] 不知道大家還有沒有其他的問題
[1638.58-1640.58] 如果大家沒有其他問題
[1640.58-1644.58] 那因為時間的關係我們這場說明會就到此結束
[1644.58-1645.58] 謝謝各位投資先進
[1645.58-1647.58] 也謝謝華航的經營團隊
[1647.58-1648.58] 謝謝大家來參加
[1648.58-1650.58] 謝謝
[1659.58-1668.58] 謝謝
