[0.00-1.00] 好
[289.46-290.98] 那税后净利
[290.98-296.54] 我总结以上今年的一个归属于母公司业主的一个净利是
[296.54-298.78] 新台币7056元
[298.82-302.66] 那所以EPS是1.13亿元
[302.66-305.42] 所以这边供各位参作
[305.42-308.06] 不过跟去年同期相较起来
[308.06-315.98] 其实大部分是呈现包括从营收是从11.82亿元增长到今年第一季的15.28亿元
[315.98-321.10] 那在button line部分也从去年的0.85元增长到1.13亿元
[321.10-324.74] 0.85元增长到1.13元
[324.74-328.78] 这是水利表的一个部分
[328.82-332.66] 那其实我们看到资产负债表的部分
[332.66-339.82] 那整体的一个资产跟负债的金额的总的其实没有太大的一个变化
[339.82-346.22] 那可以看到我们在主要也是因应这个我们正在的一些在海外扩敞的一个阶段
[346.22-349.62] 可以看到我们在不动产场防御设备的部分有所增长
[349.62-353.14] 就是反映了这一年多以来的一个KPX的一个投入
[353.14-358.62] 那至于在其他的主要科目其实都还算相较
[358.62-366.82] 也反映在这也反映在我们的收款天数的相关的收款天数上
[366.82-374.50] 其实可以看到其实主要比较差在存货收款天数的持续的一个下降点
[374.50-382.42] 这也显现了就是我们在经营效率的Walking capital的效率上的一个改善
[382.42-387.30] 流动比率跟收入比率与去年的第四季约当中
[388.62-396.82] 最后我们来看一下我们以季度别的一个产品别的一个营收跟占比的一个状况
[396.82-407.82] 那今年第一季来说的话主要最主要的一个最大的一个产品类别还是来自于汽车领主建的部门
[407.82-413.70] 那这个部门其实始终在50到55之间的一个占整体的营收的比重
[413.70-416.78] 所以在今年的Q1
[416.78-418.58] 它是持续的
[418.62-425.02] 也持续维持的维持增长的一个态势到超过新台币8.19亿元
[425.02-429.38] 那占比占整个集团营收的53.6%
[429.38-435.78] 那至于在电子领主建的部分这边收到一些订单延迟的影响
[435.78-441.66] 这边是达到新台币5.34亿元较上级的5.9亿元略微的下滑
[441.66-445.50] 那占比也从38.5%降低到34.9%
[445.50-448.58] 那至于在互联健身器材的部分就是如同
[448.58-452.16] 上级所说我们这个才从去年第四季以来
[452.16-454.72] 互联健身器材的客户这边的拉货
[454.72-456.52] 会恢复持续稳定的拉货
[456.52-462.92] 所以它也反映在营收次从去年第四季的1.2亿元增长到新台币1.7亿元
[462.92-467.26] 那占比来到11%左右
[467.26-472.90] 所以以上这个是这个产品别的一个营收的一个绝对值
[472.90-478.54] 跟一个占集团合并收的一个比例
[478.58-482.16] 以上是我们今天的一个财务业务报告
[482.16-485.50] 如果各位现金有任何的一个问题或建议
[485.50-487.80] 我们可以在后续进行讨论谢谢
[487.80-491.12] 感谢经营团队的简报
[491.12-493.68] 接下来进入投资限定提问时间
[493.68-495.74] 请大家踊跃提问
[495.74-499.58] 可以用文字提问或直接关闭静音开启麦克风提问
[499.58-500.60] 现在可以开始
[500.60-503.92] 有投资限定提问
[503.92-506.22] 请教经营团队
[506.22-508.54] 公司的汽车产品的问题
[508.58-511.40] 主要的产品内容为何
[511.40-514.22] 近期中国汽车产品
[514.22-518.56] 在产业的内卷下面请问联德的策略
[518.56-520.10] 因应的策略如何
[520.10-523.42] 汽车零组件的业务是否有影响
[523.42-526.76] 在新能源汽车的面向
[526.76-533.92] 我们主要的产品为何
[533.92-537.00] 谢谢这位投资先进的提问
[537.00-538.28] 公司在
[538.28-541.36] 联德在于汽车零组件方面从08年
[541.36-543.14] 投入汽车的一个
[543.14-545.96] 产业链至今我们始终作为Tier2的一个supplier
[545.96-547.76] 主要的产品类别
[547.76-553.90] 其实我们主要产品类别包含一些安全系统也就是安全带安全气囊
[553.90-556.72] 这些在我们汽车里面
[556.72-557.74] 比较高的一个比重
[557.74-560.04] 其次也是包含这个
[560.04-561.58] 就是
[561.58-564.14] 方向盘的传动轴传动的系统
[564.14-567.98] 以及这一些内饰内饰包括一些汽车的填装或是
[568.28-570.58] 这个扶手箱等等的一个
[570.58-572.12] 总成的一个部分
[572.12-575.70] 那这些东西其实无论是在传统燃油车或是
[575.70-579.04] 新能源车部分其实都有一些都是必须的
[579.04-580.56] 使用的一些配件
[580.56-585.18] 那当然除此之外我们也有一些focus在这个所谓新能源车的一个
[585.18-587.48] 应用上面的一个领域的一个产品
[587.48-591.32] 那包含这个Battery Pack也就是
[591.32-595.16] 电池模组的一些精密金属创造件
[595.16-598.24] 然后以及这个像是
[598.28-599.82] Air Spring也就是
[599.82-602.38] 空气悬吊的一个部分
[602.38-609.28] 都是我们在新能源车车领域比较着重发展的一个产品组合
[609.28-611.60] 然后刚刚这位深静
[611.60-619.02] 现在深静也讲不到就是说
[619.02-620.56] 业务方面对不对
[620.56-621.84] 有没有影响
[621.84-626.44] 所以基本上就是说其实因为我们
[626.44-628.24] 现在我们在大陆
[628.28-630.32] 的那个
[630.32-633.92] 汽车民族件都是供大陆的客户
[633.92-638.00] 所以基本上就是说美国关税的这些是不受影响的
[638.00-642.88] 那我们在墨西哥啊泰国啊这些的分部还有捷克的分部也是
[642.88-644.92] 供各个区域的
[644.92-651.58] 所以对我们来讲就是说整个汽车零部件的是没有受这个关税的影响
[651.58-654.90] 所以接下来就是我们还是奉势还是会统建的
[654.90-655.68] 发展的
[658.28-663.66] 感谢财务总监以及我们总经理的补充
[663.66-669.54] 那另外有关于就是说接下来我们今年面对到关税的
[669.54-672.62] 这一块是不是有
[672.62-676.20] 什么样的影响或我们的因应的对策
[676.20-679.28] 请经营团队说明谢谢
[679.28-683.88] 的确就是说因为现在美国的这个关税的政策
[683.88-688.24] 基本上对我们的就是客户关税的政策是非常重要的
[688.24-691.56] 那边他们也是有相对的影响
[691.56-694.64] 其实我们跟客户的订单是没有没有减少
[694.64-697.96] 只是说他们有一些订单尤其是
[697.96-699.76] 往美国市场的
[699.76-701.04] 那个客户
[701.04-704.36] 订单都稍微有一些就是说
[704.36-705.40] 短过
[705.40-708.72] OK因为他们现在就是在逛啊
[708.72-714.10] 就是说不懂要把这个生产基地放在
[714.10-717.16] 那个墨西哥呢还是说要放到那个
[717.16-718.20] 泰国或者是马来西亚
[718.20-720.50] 的市场
[720.50-721.28] OK
[721.28-724.08] So
[724.08-729.72] 一个多月前我们的销售团队跟那个经营团队
[729.72-735.10] 也都忙着这个分客户在探讨在哪个区
[735.10-740.22] 帮他们做生产
[740.22-741.24] 还有帮他们做
[741.24-743.80] 这是最理想的地方
[743.80-748.16] So我们预期就是说
[748.20-750.24] 按这90天过后
[750.24-754.60] 沉来落地了之后那基本上我们就应该说
[754.60-756.90] 我们就可以知道是
[756.90-759.46] 哪里会比较适合了不过就是因为以前
[759.46-762.80] 我们原则就是在各个区域
[762.80-764.84] 有设这些据点
[764.84-768.68] 所以就是说对客户来讲就是说
[768.68-770.48] 有办法给他们一个
[770.48-774.82] 多区域的选择这个也是我们的强项
[776.88-778.16] 感谢总监也的回复
[778.20-784.34] 那因为时间的关系今天联的控股的法案说明会到此告一段落
[784.34-786.14] 后续有任何的问题欢迎投资先进
[786.14-788.18] 和元大或经营团队联系
[788.18-794.32] 感谢各位投资先进的参与祝福大家身体健康投资顺利联的控股法案说明会到此结束
[794.32-795.36] 谢谢大家再见
