[0.00-10.18] 首先我们来看到我们从今年第一到四月的临终状态
[236.74-237.62] 我们在科目部
[237.62-240.78] 在这个EC的进度的话
[240.78-245.86] 按照我们基金的一个时程在进行当中
[245.86-249.00] 那主要的一些系统性的买卖点测试
[249.00-250.66] 也都达至完成
[250.66-253.20] 那我们预期就是在第四季的时候
[253.20-255.92] 可以通过客户的一个认证
[255.92-261.62] 那接下来就是在EC的Ui的部分就是
[261.62-262.92] 除了原理
[262.92-265.54] 我们可以看到这个EC的这个在公司的营销
[265.54-267.54] 其实是比例上
[267.62-269.92] 其实是比较少的
[269.92-272.96] 但是我们其实整个在经营策略上面
[272.96-274.86] 我们还有一些调整
[274.86-277.92] 包括说我们现在其实还有一些
[277.92-282.74] 个人正在讨论一些客制化的一些EC的产品规格
[282.74-284.00] 那目前预计的话
[284.00-287.74] 我是希望能够在明年的第二季的时候
[287.74-290.32] 送面给的
[290.32-293.46] 那另外一部分是我们的MCU产品
[293.46-297.62] 那MCU的产品的这个在今年度的话
[297.62-301.38] 主要是靠着一些我们过去的一些制程的优化
[301.38-303.00] 那降低了我们的产品
[303.00-304.86] 提升了一些效能
[304.86-309.58] 那另外就是在这个预计年底的时候呢
[309.58-312.28] 我还会有新的一些产品推出
[312.28-316.70] 那主要我们的策略是除了既有的产品之外
[316.70-319.08] 可以针对一些并进市场
[319.08-323.54] 做更多的一些延伸性的不同产品的应用和规格
[323.54-327.62] 希望能够再扩大我们在MCU这块市场的一些市占
[327.62-333.62] 那另外就是在刚刚提到第三个产品就是在PP
[333.62-336.32] 那我们原先有一个PP3.0的产品
[336.32-340.16] 那在今年呢已经通过了新的客户的导入
[340.16-343.74] 在第二季的时候也开始有些小量的出货
[343.74-347.42] 另外就是PP3.1的Type-C产品
[347.42-351.62] 也已经通过了内部的一个设计的验证和测试
[351.62-354.38] 那预计我们是在下面的季度
[354.38-357.42] 希望就可以进入到客户的系统端应用端的测试
[357.62-360.62] 那目前呢会有一些小小的来半
[360.62-362.62] 预计是在第四季的时候
[362.62-366.62] 会有更多时间我们也开始进行后续的一些推广
[366.62-369.62] 那这是针对一些产品开发的部分说明
[369.62-371.62] 另外在供应链的部分
[371.62-374.62] 首先在精润厂的话
[374.62-377.62] 我们仍然是持续的进行去中的政策
[377.62-379.62] 也有我们客户的一些要求
[379.62-383.62] 但目前我们是在台湾的精润厂
[383.62-387.12] 那进度是符合我们的预期的
[387.62-390.62] 那之后的话我们的策略上面
[390.62-395.62] 会是这个客户的属性来调整我们相干的一个区域
[395.62-398.62] 那主要目的就是希望能够分散风险
[398.62-403.62] 以及呢整体的供应链做一个最优化的一个成本考量
[403.62-408.62] 同时就是提升我们的供应链的一个韧性和强度
[408.62-412.62] 那目前不管是在精润厂还有供测厂
[412.62-417.62] 整体的一个产品供应也都能够符合我们的一个配合和需求
[417.62-421.62] 我想我们就是维持既有的一个合作厂商
[421.62-425.62] 然后以上半年来看的话
[425.62-428.62] 我们看到就是说包括一些产能啊
[428.62-430.62] 还有些集单的需求
[430.62-434.62] 一些铁厂商也都非常的就是支持
[434.62-437.62] 那整体的供应链上面而言
[437.62-441.62] 在上半年我们看到这个产的其实
[441.62-444.62] 应用率还是相当不错的
[444.62-446.62] 所以溢价空间目前是偏小
[447.62-450.62] 那目前还是以持续的优化我们的良率
[450.62-453.62] 以及做设计的改善来相应成本
[453.62-455.62] 那下半年的部分
[455.62-459.62] 我们会再试市场整体的供需情况而定
[459.62-464.62] 好那最后一点是对于整个产业的一个展望
[464.62-467.62] 那我看到就是说上半年的时候
[467.62-472.62] 客户的确是有一个是提前备过的一个动作
[472.62-477.62] 所以说在整个营收的表现来来大致是补齐
[477.62-482.62] 那特别我带进的产品因为持续成长的力道很不错
[482.62-486.62] 所以也帮助我们整体的毛利率有所提升
[486.62-489.62] 那但是这个下半年第三季之后
[489.62-494.62] 因为总体经济还有政治的因素
[494.62-496.62] 那不幸平行都相当的高
[496.62-502.62] 所以说我想我们现在就是持续观察一个后续的变化
[502.62-506.62] 那当然我们在这个营运上面也都有所准备
[507.62-511.62] 有可能不会有这个传统忘记的一个效益
[511.62-514.62] 那以上大概就是我的一个说明
[514.62-516.62] 谢谢各位
