[0.00-9.72] 那欢迎各位投资先进参加凯基举办亚洲水泥的线上法人会议
[988.98-994.10] 那接下来再看到下面
[994.10-996.40] 那进入台湾的部分
[996.40-998.72] 那台湾的部分目前看起来
[998.72-1001.02] 从去年第四季
[1001.02-1005.62] 具体来讲就是9月吧就是央行有
[1005.62-1006.64] 这个
[1006.64-1008.96] 第七波的信用管制之后呢
[1008.96-1012.80] 其实房地产的交易热度是有较强的
[1012.84-1014.38] 就是这一段跌幅的情况
[1014.38-1018.98] 那我们在业内目前看起来建材行业来讲
[1018.98-1023.84] 其实预期今年的一个需求增速应该是会是放缓
[1023.84-1027.68] 那价格方面认为应该会是比较偏向持稳
[1027.68-1032.04] 所以整体运来讲会是比较谨慎的看待
[1032.04-1035.88] 那当然今年来讲还是要再观察这个
[1035.88-1037.68] 一些政策的走向
[1037.68-1039.98] 那比如说像是碳费
[1039.98-1041.76] 目前看起来呢
[1041.76-1042.54] 呃
[1042.54-1045.10] 初期来讲因为有些行业的折扣
[1045.10-1049.96] 所以影响大概不大但是未来会再关注他是不是
[1049.96-1052.52] 这个费率会再走高
[1052.52-1053.54] 那
[1053.54-1056.10] 另外一型水泥货物税的战
[1056.10-1058.42] 是不是在持续
[1058.42-1060.20] 这部分其实
[1060.20-1063.02] 一直都不太确定因为
[1063.02-1065.06] 从二无战争开始
[1065.06-1068.66] 课征这个货物税减免之后呢
[1068.66-1071.98] 一直延续到现在至少都三年了
[1072.54-1073.82] 那
[1073.82-1075.36] 呃今年
[1075.36-1077.14] 但如果说
[1077.14-1078.42] 通货膨胀
[1078.42-1079.20] 有
[1079.20-1083.30] 趋缓的话呢这个货物税减增有可能就会站
[1083.30-1084.58] 就会终止
[1084.58-1086.88] 可是因为从
[1086.88-1088.42] 二月看起来
[1088.42-1091.48] 台湾的通膨又在往上走所以
[1091.48-1095.06] 这个货物税减增是不是会继续延续下去
[1095.06-1096.34] 其实
[1096.34-1101.46] 又好像增加了一些变数所以我们这部分还是在持续观察政府那个做法
[1102.54-1104.08] 那
[1104.08-1109.20] 越南的一个反倾销就是目前正在调查当中
[1109.20-1114.06] 那因为现在进口水你对国内的一个影响是大的所以
[1114.06-1116.10] 这个政策是比较重要
[1116.10-1116.88] 那
[1116.88-1118.92] 预计在今年的
[1118.92-1123.28] 可能7月吧会有一些可能会有些进度出来
[1123.28-1125.06] 那如果说
[1125.06-1127.12] 确定台湾要对越南的水
[1127.12-1128.90] 客政反倾销的话
[1128.90-1130.96] 其实会比较改善
[1130.96-1132.50] 台湾这边的一个供需格局
[1132.54-1137.66] 那这部分都是经验的一个观察中
[1137.66-1140.74] 那再看到下面
[1140.74-1141.76] 那在
[1141.76-1144.82] 飞水理事业来讲的话呢
[1144.82-1148.66] 加惠电力今年看起来可能会是偏向
[1148.66-1150.98] 持平或是小幅度的衰退
[1150.98-1153.02] 因为今年有一个
[1153.02-1156.34] 在第一季有一个加惠一起的大修
[1156.34-1158.40] 这部分是四年一度
[1158.40-1162.24] 所以他会影响到加惠电力在第一季的表现
[1162.54-1166.12] 那另外天然气的价格在今年
[1166.12-1169.46] 前两个月来看其实也是在缓步的爬升
[1169.46-1170.98] 所以这部分
[1170.98-1175.60] 气价的走升其实对我们的毛利会是不利的影响
[1175.60-1178.16] 所以这几个因素可能会影响到
[1178.16-1179.94] 今年加惠
[1179.94-1181.22] 的一个表现
[1181.22-1182.76] 那二期
[1182.76-1186.34] 的部分因为去年有增购合约
[1186.34-1188.40] 所以今年上半年还是会
[1188.40-1190.96] 有这样的一个基期的一个正面影响
[1190.96-1192.50] 所以这是一个正面的影响
[1192.54-1195.86] 但是到下半年就没有这样一个基期差异了
[1195.86-1196.64] 所以
[1196.64-1197.66] 今年
[1197.66-1200.74] 导致说今年加惠看起来可能会是偏向
[1200.74-1204.06] 持平或是小幅衰退主要是因为大修
[1204.06-1206.10] 跟气价走升的一个影响
[1206.10-1208.92] 那当然我们后续要再关注就是
[1208.92-1214.04] 川普政府上来之后其实他有一个政策是希望
[1214.04-1215.58] 美国去开采
[1215.58-1216.60] 液氧气
[1216.60-1219.68] 那这部分有可能会造成一个
[1219.68-1222.24] 未来油价的一个影响
[1222.54-1224.84] 那如果油价走跌的话其实
[1224.84-1227.92] 对我们也是比较正面
[1227.92-1229.96] 那另外在不锈钢方面
[1229.96-1233.30] 其实去年就看到一些库存回补
[1233.30-1234.32] 的一个影响
[1234.32-1237.14] 那但是这个状况其实也
[1237.14-1239.18] 并没有看到大幅的延续
[1239.18-1240.72] 所以今年看起来
[1240.72-1244.04] 应该会是在不锈钢方面会是一个加量平稳
[1244.04-1247.12] 但是至少不至于亏损的一个情形
[1252.54-1256.12] 那再往后看一下
[1256.12-1258.68] 这部分是我们
[1258.68-1262.02] 亚尼跟亚宁中国的一个资本开支
[1262.02-1267.14] 那去年来讲的话大概资本开支是合并来讲是40亿
[1267.14-1271.74] 那不过在亚尼中国部分其实是有在增加到4亿8千万
[1271.74-1275.58] 那这部分的增加就是前面说明的
[1275.58-1279.16] 一些产能置换的一个进度开始在推进
[1279.16-1281.98] 然后还有一些制程的改善
[1281.98-1286.34] 环保的改善所以预期亚尼中国部分的一个
[1286.34-1290.42] 资本开支在这接下来几年还是会在往上走
[1290.42-1294.26] 那台湾这边我们也有规划一些循环经济的一个改善
[1294.26-1299.64] 会是在做这方面
[1299.64-1301.94] 那再来就是股利政策
[1301.94-1303.74] 股利政策的话我们已经
[1303.74-1307.32] 在3月初董事会有已经做公告
[1307.32-1310.40] 2024年我们是配发2.2元
[1310.40-1311.94] 美股配发2.2元
[1311.94-1315.78] 所以如果换算我们的股息配发率的话
[1315.78-1320.38] 因为我们一贯的做法是会把投资性不动产的一个影响数给挖掉
[1320.38-1323.72] 那这些这部分是属于不可配的净利
[1323.72-1325.00] 所以
[1325.00-1328.32] 股息配发率将换算下来大约是66%
[1328.32-1329.10] 那
[1329.10-1332.16] 殖利率来讲大概会接近5%左右
[1332.16-1338.30] 那亚尼中国的话就去年因为是亏损的关系
[1338.30-1339.34] 所以没有配息
[1341.94-1345.26] 以上就是我们今天针对2024年的业绩
[1345.26-1348.60] 还有第4季的一个业绩的一个
[1348.60-1350.14] 简单报告介绍
[1350.14-1353.72] 那接下来我们就进入问答的环节
[1353.72-1355.50] 请各位就是我有
[1355.50-1357.56] 提问的话就打在聊天室
[1357.56-1359.10] 会等一下一起做回应
[1371.94-1384.58] 谢谢大家
[1401.94-1431.92] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1431.94-1461.92] 明镜与点点栏目
[1461.94-1491.92] 明镜与点点栏目
[1491.94-1521.92] 明镜与点点栏目
[1521.94-1551.92] 明镜与点点栏目
[1551.94-1581.92] 明镜与点点栏目
[1581.94-1611.92] 明镜与点点栏目
[1611.94-1641.92] 明镜与点点栏目
[1641.94-1671.92] 明镜与点点栏目
[1671.94-1701.92] 明镜与点点栏目
[1701.94-1709.94] 明镜与 편额
[1712.98-1721.78] 明镜与点点栏目
[1721.78-1726.76] 明镜与点点栏目
[1731.10-1731.74] 明镜与点点栏目
[1731.74-1731.92] 明镜与点点栏目
[1731.94-1734.58] 其实在去年仍然是下滑的
[1734.70-1737.50] 其实从2022年就是下滑的
[1737.50-1739.40] 2021年我们先算持平吧
[1739.58-1742.20] 那2022年其实就开始是下滑的
[1742.48-1744.24] 连续下滑的大概三年
[1744.24-1746.74] 所以就是它其实是一个阶梯式的下滑
[1747.20-1749.18] 那到到今年
[1749.18-1751.10] 其实目前市场的一个预测
[1751.10-1754.28] 行业的预测仍然是下滑5-8%
[1754.64-1755.74] 然后所以需求面
[1755.74-1758.70] 其实是没有太大的一个成长的带动
[1759.14-1759.54] 那
[1759.54-1763.04] 价格面为什么在去年第四季开始
[1763.48-1764.74] 由止跌走深
[1764.74-1767.64] 其实最主要就是下面这张表
[1767.64-1769.88] 就是错峰天数的
[1770.34-1771.80] 增加导致
[1772.24-1774.00] 从去年第四季大幅的
[1774.00-1776.04] 大规模的一个错峰停产
[1776.78-1778.50] 那加上行业的自律
[1778.78-1781.04] 相对是比较做的比较好
[1781.48-1784.08] 那在今年第一季仍然
[1784.64-1788.30] 各省仍然在加大错峰停产的力度
[1788.90-1789.50] 所以
[1789.54-1793.44] 这是因为错峰停产带动的需求
[1793.44-1794.64] 供给面的一个价
[1794.64-1795.90] 供给面的收缩
[1796.24-1797.78] 带动的价格的弹性
[1798.34-1798.94] 所以
[1800.68-1801.70] 但是这个部分呢
[1801.70-1803.78] 其实后面还是存在的挑战的
[1803.78-1805.90] 就刚刚跟各位说明就是
[1807.30-1810.28] 因为需求面并没有明显的给带动
[1810.90-1811.44] 所以
[1811.80-1813.08] 那加上错峰停产
[1813.08-1815.68] 其实它是一个比较偏向自律的行为
[1816.08-1818.90] 那却并没有一些强制性的法则
[1818.90-1819.28] 嗯
[1819.54-1821.64] 所以过往也曾经
[1822.84-1825.64] 也曾经经历过错峰停产的一个
[1826.08-1829.40] 呃破局也曾也经历过错峰停产的成功
[1829.40-1831.30] 也曾经历过错峰停产的失败
[1831.84-1832.94] 那只是现在
[1833.40-1835.70] 现在是处于一个错峰停产相对
[1835.90-1837.64] 共识比较强的一个阶段
[1838.08-1839.68] 所以也难保未来
[1840.04-1842.30] 是不是又会有一些变化出现
[1842.30-1844.94] 所以这个变数仍然是存在
[1844.94-1848.38] 不过目前第一季看起来之前状况相对良好
[1849.54-1852.80] 那什么样看到需求面的拉动
[1852.80-1855.04] 那至少水泥的需求量
[1855.20-1857.48] 就统计数字来看应该要往上走
[1857.48-1858.28] 那当然
[1858.74-1861.98] 其实如果是从一些房地产的指标来看的话呢
[1862.48-1865.44] 呃如果说房地产的一个投资
[1865.44-1866.88] 或房地产的新开工
[1867.18-1868.60] 有明显的改善
[1869.38-1870.28] 呃的话呢
[1870.28-1873.24] 那其实会对需求面会持比较正面看法
[1873.24-1874.34] 那或者是说
[1874.88-1877.48] 在政府的投资上面
[1877.98-1878.70] 呃会
[1878.70-1879.38] 如果有看到
[1879.38-1882.92] 看到一些比较大型的大规模的实体投资
[1883.42-1885.88] 出现的话其实也会是比较正面去
[1888.08-1891.24] 那第二个是第二个问题问到是说
[1891.78-1893.38] 煤炭价格走跌
[1893.72-1894.98] 是否会持续
[1895.12-1898.58] 目前看起来煤价是在一个持续走跌的一个趋势
[1898.58-1899.42] 没有问题
[1899.42-1899.94] 因为
[1900.28-1903.38] 煤价的走跌自然是跟煤价需求有关
[1903.64-1905.52] 因为呃
[1905.78-1908.08] 使用煤炭最大的来源就是
[1908.68-1909.32] 发电
[1909.38-1910.48] 发电行业
[1910.48-1911.28] 火力发电
[1911.28-1913.72] 然后大家水泥也是钢铁也是
[1914.24-1916.64] 那因为中国这些
[1917.02-1919.12] 就是制造业的一个环境
[1919.38-1922.62] 相对这也是比较疲软一点
[1922.78-1925.28] 那自然也会影响到煤炭的需求
[1929.08-1930.84] 下面有一个问题问到说
[1932.02-1932.62] 呃
[1932.94-1934.82] 亚宁中国的重讯发
[1935.34-1939.18] 提到说发行20%新股或回购10%股份
[1939.38-1941.18] 这政策用意起影响性
[1941.18-1945.62] 这是每年例行的一个一般性政策
[1945.62-1947.14] 一般性的提案
[1947.58-1951.08] 就是每一年其实都会有做这样的一个
[1951.42-1953.62] 提案那基本上是
[1953.92-1955.52] 准备者那
[1956.14-1958.62] 可能如果要用到的话就会用到
[1958.78-1960.92] 那不代表提案就一定会用到
[1960.92-1962.38] 因为这是每年都会有提
[1964.58-1966.14] 下一个问题问到
[1966.78-1968.44] 去年第四季的
[1968.44-1969.20] 煤炭成本
[1970.24-1974.84] 去年第四季的煤炭成本是大约796块
[1974.84-1976.64] 就接近800块人民币
[1981.50-1985.84] 那今年第一季来讲应该会朝700
[1986.44-1988.40] 到750这方向去走
[1991.04-1993.28] 那下面问到今年
[1993.78-1996.60] 亚宁中国盾毛利及价量看法
[1996.86-1998.14] 跟去年第四季的
