[0.00-6.64] 好那各位投資先進大家午安
[144.80-149.30] 可能今年就要開始往40萬
[149.30-152.30] 這樣子的一個方式去做投資
[152.30-154.30] 會比原來的速度要更快一點
[154.30-158.30] 同時我們會跟泰國的BOI當局再去申請
[158.30-160.30] 在這個第一期的廠房裡面
[160.30-164.30] 因為客戶的需求確實比較多一些
[164.30-167.30] 所以我們會把整個的產能去稍微做一下擴充
[167.30-170.30] 可能在我們第一期的廠房最後的全流程
[170.30-173.30] 可能會擴到50到60萬
[173.30-175.30] 在最後最後
[175.30-178.30] 那甚至於在finish的部分
[178.30-180.30] 會有可能會更多
[180.30-182.30] 這個來滿足我們客人的一個需求
[182.30-185.30] 那其他的廠區的部分的話
[185.30-187.30] 就沒有大型的一個擴充的計畫
[187.30-190.30] 但是每年的泰舊換新都還是有
[190.30-193.30] 那另外一個重點可能是在我們的
[193.30-196.30] 惠州的軟板廠
[196.30-199.30] 惠州軟板廠按照目前的產能規劃
[199.30-201.30] 今年還是會持續擴充
[201.30-204.30] 按照我們往年的一個狀況來看
[204.30-206.30] 我們每年在軟板的部分
[206.30-208.30] 還是會做一個少量的一個擴充
[208.30-210.30] 因為以目前
[210.30-213.30] 我們自己看到PriestMark的資料
[213.30-215.30] 跟大家分享一下
[215.30-217.30] 就是我們現在大概在全球的排名
[217.30-220.30] 跟我們那個總排名也差不多
[220.30-222.30] 大概是位於軟板
[222.30-224.30] 這一塊的大概是第7位
[224.30-227.30] 那在這個裡面其實是有個很大的急劇
[227.30-230.30] 就是前三位的軟板
[230.30-233.30] 軟板供應商跟後面的其實有蠻大的差距
[233.30-235.30] 雖然我們已經排到第7了
[235.30-237.30] 但事實上在全球的市占跟排名
[237.30-242.30] 以及在我們最主要的客人那邊的一個營收的一個
[242.30-244.30] 一個占比還是非常的低
[244.30-248.30] 也就是說其實我們除了前三大的軟板公司以外
[248.30-251.30] 前三大就是包含真鼎東山精密跟集盛
[251.30-253.30] 除了這三家以外
[253.30-255.30] 其實我們後面這幾家
[255.30-257.30] 雖然跟他接近排名
[257.30-260.30] 但事實上跟他的產能都有一倍以上的差距
[260.30-263.30] 甚至有三倍以上的差距
[263.30-265.30] 所以在這樣一個情況之下其實對我們
[265.30-267.30] 其他這幾家來講
[267.30-272.30] 如果要繼續在客人的整個position上面要能夠維持的情況下
[272.30-274.30] 事實上還是必須要不斷的擴充
[274.30-279.30] 所以這也是為什麼我們軟板還是會持續做一個擴充的動作
[279.30-281.30] 我們希望我們的軟板部分
[281.30-283.30] 我們目前的軟板在技術上面
[283.30-286.30] 我們認為在發展20年之後
[286.30-288.30] 應該已經有tier1的水準
[288.30-292.30] 但是我們目前在不管市占或者是各項排名上面
[292.30-294.30] 可能現在還是在所謂tier2
[294.30-297.30] 但是已經可以排到前面了
[297.30-302.30] 所以我們期望我們在未來能夠持續的擴充的情況下
[302.30-305.30] 可以進入到真正tier1的一個位置
[305.30-309.30] 這個是我們對自己軟板的一個期望
[309.30-310.30] 也是因為這樣
[310.30-312.30] 所以我們在上禮拜也公告
[312.30-315.30] 就是我們會從惠州的軟板
[315.30-319.30] 開始計畫在泰國那邊去設軟板的產能
[319.30-321.30] 因為主要就是剛剛提到的
[321.30-324.30] 軟板要進一步的擴充已經是需要新的廠房
[324.30-326.30] 因為我們在惠州的廠房已經
[326.30-328.30] 大概在兩年內就會滿了
[328.30-329.30] 就是擴滿
[329.30-331.30] 擴滿之後新的廠房以我們目前的
[331.30-334.30] 看整個全球的情勢來看
[334.30-336.30] 如果要新建廠房
[336.30-339.30] 可能不太適合繼續在中國這邊擴
[339.30-341.30] 所以我們是希望在中國以外
[341.30-343.30] 能夠有其他的產能
[343.30-345.30] 所以我們就考慮在泰國
[345.30-348.30] 那這樣你可以運用我們原來在泰國廠的一個資源
[348.30-352.30] 那我們這個新廠會蓋在我們泰國廠的一樣的一個位置
[352.30-354.30] 就是硬板一樣的一個位置
[354.30-356.30] 來共享我們的一個所謂的
[356.30-358.30] 共用相關的一個資源
[358.30-361.30] 來達到這個利益的極大化
[361.30-364.30] 所以這個是我們目前的一個計畫
[364.30-367.30] 所以看起來目前華通大概就是在
[367.30-370.30] 硬板的部分主要在泰國廠的一個投資
[370.30-373.30] 那軟板部分除了現在在惠州廠還有少量的
[373.30-375.30] 擴充之外呢
[375.30-377.30] 未來我們也會在泰國廠這邊
[377.30-379.30] 做軟板的一個投資
[379.30-381.30] 這個是我們目前的一個計畫
[383.30-386.30] 那品質技術ESG服務跟長久關系的
[386.30-388.30] 部分都是我們目前努力的重點
[388.30-392.30] 當然我們在永續的部分也是非常的注重
[392.30-395.30] 所以我們在公司內部先也成立了
[395.30-398.30] 永續的一個專門的組織
[398.30-400.30] 那我們也有選出永續長
[400.30-402.30] 會持續去推動公司的這個永續的工作
[404.30-407.30] 在營收的一個佔比部分
[407.30-413.30] 我想比較重要的應該就是在2024年
[413.30-415.30] 大家可以看到在Mobile這一塊的話
[415.30-418.30] 其實在整體的佔比上面是稍稍下來一些
[418.30-420.30] 那各位可以看到最主要的成長
[420.30-422.30] 就是我們去年跟各位報告
[422.30-425.30] 我們在衛星這邊的話是持續做一個成長
[425.30-430.30] 所以目前衛星已經幾乎跟我們Mobile佔的比重差不多了
[430.30-433.30] 那展望今年的話在衛星這一塊
[433.30-437.30] 我們認為還是會有持續成長的一個動能
[437.30-439.30] 那主要在原來的客戶的部分
[439.30-442.30] 雖然他陸續會有一些新的供應商的加入
[442.30-445.30] 但是因為他的總量本身的成長還是蠻多的
[445.30-449.30] 所以在原來的這個比較大的這家客戶
[449.30-451.30] 應該還是維持一個成長的趨勢
[451.30-455.30] 但是他對我們來講的機器已經很大
[455.30-456.30] 所以他的成長率不是那麼大
[456.30-459.30] 但是因為我們的另外一家的這個衛星客人
[459.30-463.30] 在今年會有真的一些發射的動作
[463.30-465.30] 那以及部件的計畫
[465.30-466.30] 所以在這一塊的部分的話
[466.30-468.30] 應該是我們整個衛星
[468.30-470.30] 那個能夠再成長一個動能
[470.30-472.30] 我們自己樂觀的預測是
[472.30-474.30] 應該至少有20%
[474.30-477.30] 比起去年大概有一個20%的成長
[477.30-481.30] 這個是我們在衛星這一塊的一個狀況
[481.30-482.30] 那在其他這些的話
[482.30-486.30] 我們目前積極在努力的就是這一塊
[486.30-488.30] 這一塊其實包含的範圍很廣
[488.30-491.30] 包含這個高階的一個AI的server
[491.30-494.30] 那包含光模塊光通訊
[494.30-498.30] 那以及這個data center都在這個地方
[498.30-502.30] 那其實大概在去年整年的這個法術也跟各位報告
[502.30-504.30] 其實華通在這個地方
[504.30-506.30] 在這一塊現在是非常的努力
[506.30-508.30] 那主要原因就是因為
[508.30-510.30] 在這塊的趨勢上面
[510.30-513.30] 現在有越來越多的趨勢是會往
[513.30-515.30] HDI的方式去做設計
[515.30-518.30] 那華通過去在HDI一直都是
[518.30-521.30] 產能很大的一個工廠
[521.30-523.30] 所以以potential上來講
[523.30-525.30] 確實我們有很好的一個potential
[525.30-528.30] 去供應客人這個滿足客人HDI的需求
[528.30-531.30] 那其實現在的這一些客人也是這麼想
[531.30-533.30] 雖然我們在初期的時候
[533.30-535.30] 也遇到這些客人
[535.30-539.30] 這個就是也不能說
[539.30-542.30] 也不能說那個是怎麼講
[542.30-544.30] 但是他其實有半開玩笑的方式說
[544.30-548.30] 華通其實在這個領域過去長期是沒有去接觸
[548.30-550.30] 所以對他們來講
[550.30-553.30] 他覺得我們對這一塊的一些狀況
[553.30-555.30] 設備可能準備的也不是很足
[555.30-556.30] 這是一開始
[556.30-559.30] 但是他也知道其實如果未來在這個趨勢之下
[559.30-562.30] HDI產能是需要的
[563.30-568.30] 他也望去有這個OOC的HDI的產能
[568.30-570.30] 大概華通應該是數一數二的
[570.30-572.30] 所以在這樣的情況下
[572.30-575.30] 客人都很願意持續的給我們機會
[575.30-578.30] 讓我們去做接觸這樣的一個產品跟sample
[578.30-581.30] 那至少我們在客人的評價上面也是一直在提升
[581.30-583.30] 所以展望在這一塊
[583.30-585.30] 應該在今年的第四季
[585.30-587.30] 我們會有一些比較重要的料
[587.30-588.30] 開始做量產
[588.30-592.30] 所以這個部分應該是我們未來所期待的一個部分
[593.30-598.30] 這個是台銘的一個狀況
[598.30-601.30] 這個就是剛剛提到的
[601.30-604.30] 我們在HDI的目前的產能上面
[604.30-605.30] 還是非常的大
[605.30-607.30] 所以這個又是我們一個機會
[607.30-610.30] 因為HDI的目前的一個狀況來講
[610.30-611.30] 現在無視也很大
[611.30-613.30] 而且在這個剛剛講的這個領域
[613.30-615.30] 無視應該是非常強的
[615.30-619.30] 但是我們有一個優勢是
[619.30-622.30] 我們有非常大的產能是在中國以外
[622.30-623.30] 好
[623.30-625.30] 這個是我們蠻大的一個優勢
[625.30-627.30] 那至於另外一家油廠
[627.30-629.30] 這個
[629.30-632.30] 有一樣在中國以外有很大的HDI產能
[632.30-633.30] 這家油廠
[633.30-636.30] 又被現在世界上某大客戶全包了
[636.30-639.30] 所以在這樣一個情況之下
[639.30-641.30] 這就是我們華通的機會
[641.30-643.30] 所以這個
[643.30-644.30] 在這個領域部分
[644.30-646.30] 我覺得應該是
[646.30-647.30] 以現在時點來看
[647.30-648.30] 衛星算不錯
[648.30-649.30] 但是對我們來講
[649.30-650.30] 我們近期已經很高了
[650.30-652.30] 那我們應該是在剛剛講的
[652.30-653.30] 這個
[653.30-655.30] 這一塊的部分的話
[655.30-658.30] 應該是未來比較成長會比較大的一個部分
[658.30-660.30] 也是我們目前在琢磨的部分
[660.30-662.30] 包含我們泰國廠的二廠
[662.30-665.30] 如果我們現在泰國準備要投的應該是
[665.30-667.30] 軟板廠我們叫三廠
[667.30-669.30] 那如果說是硬板廠的話
[669.30-671.30] 剛剛講一廠的擴充持續
[671.30-672.30] 否衛星
[672.30-675.30] 那也會否少量的這個
[675.30-677.30] 這就是data center
[677.30-679.30] 或是AI server這類的產品
[679.30-680.30] 那真正的重點
[680.30-682.30] 如果未來在這一塊有持續有需求的話
[682.30-685.30] 我們的硬板二廠就會開始啟動
[685.30-688.30] 這個是我們未來在
[688.30-691.30] 在這個投資上面的一個計畫
[696.30-699.30] 這是按照SMARC的一個預期
[699.30-700.30] 當然這個預期
[700.30-703.30] 研究機構其實都是根據現在的現況
[703.30-704.30] 去做的一些預期
[704.30-707.30] 就像之前說ABF會大幅成長
[707.30-708.30] 是一樣的概念
[708.30-710.30] 所以這個我們參考
[710.30-711.30] 但是整理上來說
[711.30-714.30] 整個PCB的產業還是維持一個
[714.30-716.30] 正向的一個成長的關係
[716.30-718.30] 大概是5.6%
[718.30-720.30] 從24到28年
[720.30-721.30] 那我們也是預期
[721.30-724.30] 在我們目前所參與的幾個領域
[724.30-726.30] 應該都會有一個成長的狀況
[726.30-728.30] 因為我們整個佈局其實
[728.30-730.30] 大致上還算完整
[730.30-732.30] 現在就差ABF沒有
[732.30-734.30] 所以整體上來說
[734.30-736.30] 這個產業的特性只是這樣
[736.30-738.30] 就是一直會有新的東西
[738.30-739.30] 新的一些需求
[739.30-741.30] 可能會有人下去
[741.30-743.30] 也會有的產品上來
[743.30-744.30] 對我們來講的話
[744.30-746.30] 我們就是做好準備
[746.30-748.30] 以過去的一個實際的狀況來看
[748.30-750.30] 其實我們也面臨了
[750.30-753.30] 消費性的HDI價格的競爭
[753.30-755.30] 跟需求的停滯
[755.30-758.30] 所以其實華通的優勢
[758.30-759.30] 可能就是在於說
[759.30-761.30] 我們非常有經驗
[761.30-765.30] 是一個非常有經驗的公司
[765.30-766.30] 不能講說它老
[766.30-767.30] 但實際上也很老
[767.30-769.30] 所以在各式各樣的挑戰
[769.30-770.30] 其實華通都面臨過
[771.30-773.30] 非常嚴峻的一個狀況
[773.30-775.30] 所以在這樣的一個情況之下
[775.30-777.30] 現在還能夠維持這樣的一個成長
[777.30-779.30] 這個就是我們的優勢
[779.30-781.30] 我相信在對未來的部分的話
[781.30-785.30] 我們還是能夠把握住很多的機會
[785.30-788.30] 來創造更好的一個成長
