[0.00-29.98] 謝謝大家
[652.44-655.44] 所以如果是这样状况下
[655.44-661.44] 对台湾来讲2025到2030平均每年安装可以达到2.8哩拉瓦
[661.44-665.44] 所以我们认为说这个市场还是在
[665.44-670.44] 只是说目前还是需要再做一个整理的一个状况
[670.44-675.44] 那全球的供应链其实在今年算是比较平稳的状况
[675.44-684.44] 主要是去年有一些大型的制造商有在做一个排卡的控制了
[685.44-688.44] 就是说在今年的模组价格就是有受到抑制
[688.44-690.44] 没有说快速下滑
[690.44-693.44] 不过当然因为产能过剩
[693.44-696.44] 其实市场上还是会有一些低价模组
[696.44-699.44] 在拉低总体的一个均价
[699.44-703.44] 回到我们公司的部分
[703.44-706.44] 去年的营收58亿
[706.44-710.44] 那太阳能产品大概占80%的营收
[710.44-714.44] 那太阳能系统的部分占20%
[714.44-715.44] 那
[715.44-717.44] 营收还是持续下滑
[717.44-720.44] 主要还是受到台湾整个
[720.44-723.44] 他们安装量是趋缓
[723.44-729.44] 然后以及海外市场就是美国对东南亚的关税的一个影响
[729.44-732.44] 造成泰国厂的下半年的停产
[732.44-736.44] 所以营收也是就多出下滑
[736.44-739.44] 那今年的第一季营收9.8亿
[739.44-743.44] 然后他们产品还是占了大约80%
[743.44-744.44] 那今年第一季
[744.44-747.44] 我们是看到所有明显
[747.44-751.44] 看台湾的部分有好转
[751.44-753.44] 这样子我们还是持续的观察
[753.44-758.44] 那第一季比我们的现金水位还是维持在58亿左右
[758.44-763.44] 所以相对的财务的结构还是前方
[763.44-767.44] 那展望未来公司的几个重点
[767.44-770.44] 第一个是刚刚提到的一个泰国
[770.44-773.44] 那我们泰国厂现在停产了
[773.44-780.44] 但是我们是计划将它转型成这个加值型的东南亚营业中心
[780.44-784.44] 因为我们在泰国其实已经超过10年的时间
[784.44-786.44] 其实这几年除了制造以外
[786.44-791.44] 我们也有在把业务的处角做延伸
[791.44-795.44] 所以其实我们也有在经营一些太阳能相关的产品
[795.44-799.44] 比如摸组电流气 优化气来做一个销售
[799.44-802.44] 那我们从去年开始也开始配合
[803.44-807.44] 当地的EPC配合我们来做这个屋顶型
[807.44-811.44] 还有小型地面型的一个系统的EPC工程
[811.44-816.44] 也就是说其实我们在泰国是其中的一整一条龙的整合服务
[816.44-824.44] 那因为泰国本身但还没有说像有些地区那么的成熟
[824.44-832.44] 所以说像这种一体化的整合服务基本上是蛮容易可以开发到客户
[833.44-838.44] 我们预计是以泰国为中心也要进入整个东南亚的市场
[838.44-841.44] 那今年已经成功的有发入缅甸的市场
[841.44-846.44] 那虽然2月238年缅甸地震非常的严重
[846.44-848.44] 所以我们出货会有延迟
[848.44-853.44] 不过这也是URX在东南亚的一个新的成本
[853.44-860.44] 那东南亚其实我们认为未来应该是在这边发展的一个重点的市场之一
[860.44-862.44] 当然它的气候也是非常的适合我们的生活
[863.44-870.44] 那英峰链consulting最新的一期有提供一个数据
[870.44-877.44] 它估计2024年整个东南亚的气候量会在大约8到12级
[877.44-883.44] 那2025年它们估计可以持续的增长是9到15级
[883.44-890.44] 那所以未来东南亚市场将会是另外再生一个重点的市场
[890.44-892.44] 那第二个发展的问题是
[893.44-896.44] 重点是我们去年收购的鼎日能源
[896.44-899.44] 鼎日能源现在是我们百分之百的资贡
[899.44-907.44] 那鼎日是台湾最大的专业专门做太阳能按场维运的维运商
[907.44-913.44] 那再加上它自己本身的维运客户的量
[913.44-917.44] 再加上URE自己本身持有的按场的量
[917.44-920.44] 还有URE帮其他客户做维运的量
[920.44-923.44] 其实这样已经达到大约500米高了
[923.44-932.44] 那500米高将会是台湾一个很重要的一个大数据的一个分析来源
[932.44-936.44] 所以我们会结合AI导入这个大数据的分析系统
[936.44-939.44] 那就是用数据来驱动维运管理
[939.44-943.44] 我们不会再做就是事件性的维运
[943.44-945.44] 就是东西坏了才去修
[945.44-953.44] 我们将会是去用AI来计算说什么时候什么哪一些环节流可能会发生哪些问题
[953.44-956.44] 什么状况来做一个预防性的维运
[956.44-962.44] 那这样子可以提升太阳能按场发电效能以及降低维护的成本
[962.44-968.44] 那我们也开发了能源使用机碳排放追踪系统
[968.44-972.44] 那这个主要是就是可以协助客户监控能源的效率
[972.44-975.44] 还有做一个减碳的效果
[975.44-981.44] 那这个也是为客户迈向净零碳排提供一个整合性的解决方案
[981.44-983.44] 我们再来进行一个测试
[983.44-988.44] 今年一个比较大的变化是我们会比较
[988.44-993.44] 我们会集中资源在拓展EPC的业务还有策略性的合资
[993.44-997.44] 那我们过去几年开发的按场
[997.44-1004.44] 基本上我们都是自己开发自己做EPC然后自己去拥有
[1004.44-1011.44] 那自己持有的话就是准备赚比较固定的收益就是20年的一个电收这样子
[1011.44-1013.44] 那但是在现在
[1013.44-1016.44] 的这样的一个状况下
[1016.44-1018.44] 我们将会改变我们的策略
[1018.44-1021.44] 我们不会再改变这个有没有按场
[1021.44-1026.44] 我们开发的案子会与外资合作或者是其他的合资企业
[1026.44-1029.44] 我们来做合作的一个投资
[1029.44-1033.44] 那这样可以提升我们资金的运用效率
[1033.44-1035.44] 可以分散一个资产的风险
[1035.44-1039.44] 那我们的财务灵活性也会比较高
[1039.44-1041.44] 那更重要的是做EPC的部分
[1041.44-1049.44] 就是我们可以带入开发还有EPCM的收入及利润
[1049.44-1054.44] 那EPC的收入按20年的电收比
[1054.44-1057.44] 它会是一个即时的营收贡献
[1057.44-1061.44] 那目前今年看起来应该有一个台南的渔店
[1061.44-1068.44] 还有台中的一个一面型订厅车厂的一个案子开封
[1068.44-1070.44] 那我们目标是进行开封
[1070.44-1074.44] 目标是今年有20MW可以开始开封
[1074.44-1077.44] 陆续对营收做出贡献
[1077.44-1084.44] 那刚好提到说就是做EPC的营收会是利息的
[1084.44-1087.44] 我们来以20MW为例
[1087.44-1094.44] 如果说简单的说就是20MW
[1094.44-1100.44] 从完工从开始到完工大约就是可以创造10亿左右的一个营收
[1100.44-1105.44] 那再来就是储能的部分
[1105.44-1110.44] 台湾过去大家都是投入表现市场比较多
[1110.44-1115.44] 那主要是因为储能它可以稳定国内的一个再生能源
[1115.44-1119.44] 它可以协助电网的强热和供电的一个稳定
[1119.44-1128.44] 所以台湾政府有计划2030年前要实现20MW的一个储能装置容量
[1128.44-1130.44] 不过大家都知道其实台湾的厂商是很强烈的
[1130.44-1136.44] 台湾的表现的储能系统在储能市场在很短的时间内就饱和了
[1136.44-1140.44] 那其实URE现在看跑的是表厚市场
[1140.44-1146.44] 那URE我们今年在台南会建一个表厚储能系统
[1146.44-1147.44] 4.2MW
[1147.44-1151.44] 那在7月就会完工做为试干案场
[1151.44-1155.44] 那这个案场4.2MW它一年大概
[1155.44-1158.44] 台北台电调部可以创造400万的营收
[1158.44-1160.44] 而且它有消贡机的营收量也很高
[1160.44-1163.44] 所以它可以在一年节省大约400万的电费
[1163.44-1170.44] 那未来我们表厚储能是以高压用户和特高压用户为目标客户
[1170.44-1173.44] 我们是预估假设10%的高压用户
[1173.44-1178.44] 采用储能系统来参加负载电力管理还有电力市场
[1178.44-1184.44] 那这样子预估台湾的表厚储能市场产值将会达到大约300亿
[1184.44-1190.44] 这未来的储能也会是URE主要营收成长的一个来源
[1190.44-1192.44] 那我总结一下
[1192.44-1197.44] 联合戴政目标是转型成为全方位能源产品
[1197.44-1199.44] 还有解决方案的供应商
[1199.44-1202.44] 我们做了绿色资源整合
[1202.44-1204.44] 提供客制化的服务
[1204.44-1208.44] 那不再局限是大能产品或者是系统
[1208.44-1212.44] 我们是提供大能产品EPCM工程管理服务
[1212.44-1214.44] 到表厚储能的技术
[1214.44-1218.44] 还有结合绿电式和电网专业管理平台
[1218.44-1220.44] 我们提供全能耗的能源产品
[1220.44-1222.44] 以及解决方案
[1222.44-1226.44] 那也协助客户外商进行开放
[1226.44-1228.44] 那以上说明
[1228.44-1230.44] 谢谢大家
[1230.44-1236.44] 今天讨说会就到这里结束
[1236.44-1238.44] 也谢谢军事财务长的解说
[1238.44-1240.44] 及各位投资先进的参加
[1240.44-1242.44] 谢谢
