[0.00-9.00] 新高石油區土墳有限公司114年發文說明會
[386.24-389.82] 税后存益3亿4413万
[389.82-393.92] 税后每股盈余2.86元
[393.92-396.22] 114年一直3月
[396.22-400.32] 受气收入3亿1378万
[400.32-403.64] 中市收入6419万
[403.64-406.98] 其他一页收入484万
[406.98-410.30] 税后存益9664万
[410.30-412.36] 税后每股盈余464万
[412.36-414.16] 金额平均3 DENNIS
[414.16-415.68] tortured in Поэтому
[415.68-417.12] 是最高大今油没我们以来
[417.12-418.36] I did say
[418.36-434.36] Franco
[434.36-436.28] 承诺
[436.28-438.98] 两 还是
[438.98-441.78] 在
[441.78-442.20] 在
[442.20-445.70] 希望以贏得認同、贏得銷售之策略
[445.70-449.20] 提供市民安全、信賴值品牌商標
[450.20-453.20] 接續請董事會秘書報告
[453.20-455.20] 公視財務報表的相關聯絡
[457.20-459.20] 合併財務報告
[459.20-463.20] 均高使用性股份有限公司合併資產負債
[463.20-467.20] 民國114年3月31日
[467.20-472.20] 流動資產合計22億4,473萬7千元
[472.20-479.20] 非流動資產合計42億2,710萬7千元
[479.20-484.20] 資產總計64億7,184萬4千元
[486.20-492.20] 流動負債合計21億5,476萬9千元
[492.20-497.20] 非流動負債合計11億919萬4千元
[497.20-503.20] 負債總計32億6,396萬7千元
[503.20-509.20] 權益總計32億7,877萬7千元
[509.20-515.20] 負債及權益總計64億7,184萬4千元
[517.20-519.20] 合併綜合損益表
[519.20-525.20] 營業收入4億2,061萬7千元
[525.20-527.20] 營業成本3億6,910萬7千元
[527.20-530.20] 營業益益3億3,588萬9千元
[530.20-534.20] 營業盲利4億8,472萬8千元
[534.20-539.20] 營業備用合計2億2,305萬7千元
[539.20-544.20] 營業利益6億6,167萬1千元
[544.20-551.20] 營業萬收入及支出合計5億5,592萬元
[551.20-555.20] 稅前盡利1億1,759萬1千元
[555.20-561.20] 本期淨利9,519萬6千元
[561.20-566.20] 其他綜合損益614萬5千元
[566.20-571.20] 本期綜合損益總額8,905萬1千元
[571.20-574.20] 每股營餘0.76元
[574.20-579.20] 合併權益變動表
[579.20-583.20] 截至民國114年3月31日
[583.20-589.20] 股本餘額12億369萬3千元
[589.20-594.20] 資本公積3,011萬3千元
[594.20-600.20] 法定盈餘公積3億8,719萬8千元
[600.20-605.20] 特別盈餘公積3億1,247萬9千元
[605.20-612.20] 未分配盈餘6億8,749萬7千元
[612.20-618.20] 金融資產未實現平價損益5億1,355萬4千元
[618.20-622.20] 歸屬於本公司業主之權益總計
[622.20-626.20] 31億3,453萬4千元
[626.20-631.20] 非控制損益7,334萬3千元
[631.20-636.20] 權益總額32億787萬7千元
[636.20-641.20] 合併現金流量表
[642.20-649.20] 營業活動資淨現金流入2億9,943萬5千元
[649.20-656.20] 投資活動資現金流出1億5,569萬9千元
[656.20-664.20] 投資活動資淨現金流出158萬2千元
[664.20-670.20] 本期現金及約讓現金增加數1億4,215萬4千元
[670.20-679.20] 期出現金及約讓現金餘額3億1,758萬9千元
[679.20-689.20] 期末現金及約讓現金餘額4億5,974萬3千元
[689.20-692.20] 以上詳細報告完畢
[692.20-694.20] 此次問題聯討
[694.20-698.20] 無投資人發表報告
[698.20-700.20] 無投資人發問
[700.20-703.20] 接續公請主席結論
[705.20-707.20] 各位女士先生
[707.20-710.20] 新高公司114年社聯的法人說明會
[710.20-712.20] 原版結束
[712.20-713.20] 感謝大家的參與
[713.20-715.20] 祝福大家平安喜樂
[715.20-717.20] 再會
