[0.00-14.20] 那各位投资先进下午好
[562.76-565.32] 以及終端需求的快速成長
[565.32-569.16] 客戶提前拉貨的情況其實是比較顯著的
[569.16-572.36] 所以預估全年度來自於這部分的營收
[572.36-575.56] 在2024年的高基期之下呢
[575.56-577.48] 還是可以顯著的成長
[577.48-581.96] 然後持續的穩定的去貢獻營收跟獲利
[581.96-585.80] 那Compute Board測試設備的方面呢
[585.80-589.64] 我們是從2024年的第四季開始大家要出貨
[589.64-592.60] 那歷經兩季在台灣已經
[592.60-596.44] 在2024年代及墨西哥部署之後呢
[596.44-598.36] 會開始進入維運的高峰期
[598.36-600.28] 以及世代產品的一個過渡期
[600.28-602.84] 那下一個全新產品平台的部分呢
[602.84-606.68] 我們目前仍然在一個積極的一個準備中
[606.68-609.24] 那具體的時間表呢
[609.24-613.08] 具體的時間表還需要取決於整個生態系的分工的快速變化
[613.08-616.92] 所以目前我們還沒有一個具體的時間表
[616.92-618.20] 目前還沒確定
[618.20-622.04] 所以整體而言整個AI晶片模組測試呢
[622.60-625.16] 在2024年的高期期之下呢
[625.16-627.72] 需求還是有成長的空間
[627.72-632.84] 而我們在傳統公控Data Center跟網通需求的客戶
[632.84-635.40] 我們也可以看到客戶的需求
[635.40-637.32] 也有很明顯的去化
[637.32-640.52] 那業績的部分也逐步的一個回升
[640.52-644.36] 但是呢在一樣在美國問美國的關稅議題
[644.36-646.92] 還沒有完全明朗的情況之下
[646.92-650.12] 整個客戶的回補庫存的力道還有時程
[650.12-652.04] 還是有待觀察的
[652.60-654.60] 至於在智慧醫療的部分呢
[654.60-657.08] 它的業績則相對的穩健
[657.08-659.32] 那它持續的在貢獻營收獲利
[659.32-661.56] 這部分是相對很穩定的
[661.56-663.48] 所以綜合來講
[663.48-667.32] 集團來2025年來至於Embedded Funding的營收
[667.32-671.16] 在2024年的高期期之下
[671.16-673.32] 預計還是會有不錯的一個成長
[673.32-678.68] 那只是說在整個總體經濟情況的不確定影響之下呢
[678.68-682.44] 勢必會加大整個季營收的一個波動
[682.60-685.16] 這是在Embedded Funding的部分
[685.16-687.72] 至於在O2O的部分呢
[687.72-694.36] 除了剛剛有提到過的SCO跟SOK
[694.36-696.36] 制度結帳制度點餐的系統
[696.36-700.28] 因為這兩個系統它是結合了新的AI的延伸技術
[700.28-703.08] 有防損有物體辨識這些價值服務
[703.08-707.72] 在展覽之後呢其實客戶的迴響也都很好
[707.72-711.24] 它可以進一步提升我們的一個差異化
[712.60-713.88] 也有一定的優勢
[713.88-717.72] 那相信一定可以開始貢獻我們的營收跟獲利
[717.72-719.00] 那除此之外呢
[719.00-724.12] 我們在近期也推出了許多的POS的新產品
[724.12-725.40] 那這些新的產品呢
[725.40-730.52] 也目前有很多的一個大型的零售商
[730.52-733.08] 特別是在歐洲這邊的一個注意
[733.08-735.00] 也都得到很多的注意
[735.00-738.20] 那目前許多專案也都正在進行當中
[738.20-742.04] 那至於Kiask的部分呢
[742.60-743.88] 大眾運輸的
[743.88-745.16] 因為我們美國製造的關係
[745.16-747.72] 所以其實美國政府的預算
[747.72-750.28] 有得到美國政府的一個預算
[750.28-754.12] 那尤其是大眾運輸基建專案的部分
[754.12-757.96] 舊金山的閘門系統已經接近建制完成了
[757.96-761.80] 所以預計下一季期
[761.80-765.64] 會開始來自於洛杉磯地區的一個專案
[765.64-768.20] 那這個專案主要是開始啟動之後
[768.20-770.76] 主要是要為2028年的奧運做準備
[770.76-772.04] 那這個專案主要是開始啟動之後
[772.60-775.16] 會逐步的一個貢獻營收
[775.16-777.08] 那剛有提到的Boris的部分
[777.08-778.36] 那Boris的部分呢
[778.36-781.56] 它其實就是我們SDA生意模式的一個部分
[781.56-784.12] 那出入收錢長 年足度很高
[784.12-785.72] 那這個在一兩年前
[785.72-787.08] 它其實就已經開始佈建了
[787.08-789.24] 在我們跟那個電商
[789.24-791.80] 線上電商龍頭的線下造式已經佈建完成了
[791.80-795.00] 那今年第一季已經有在北美市場
[795.00-798.20] 收到第一批的一個新的訂單的需求
[798.20-801.72] 那第二季開始會佈建到第三方的一個場域
[801.72-802.52] 除了Hofu以外
[802.52-803.80] 第三方的場域
[803.80-807.00] 那後續的專案也在積極的一個展開當中
[807.00-812.12] 那預計今年的第三季會開始在英國做量產跟部署
[812.12-815.32] 那其他歐洲國家也在同步的進行當中
[815.32-818.52] 那所以如果從歐土歐整體而言呢
[818.52-825.56] 那因為地緣政治還有總體經濟的情勢還是未解
[825.56-826.84] 那所以整個
[826.84-830.20] 但是整個2025年的在手訂單量跟年間度
[830.20-831.64] 是保持一定水準的
[831.64-834.76] 那我們2025年整體的業績呢是
[834.76-838.04] 力守穩定成長的一個趨勢
[838.04-843.16] 那以上是我們針對2025年的一個
[843.16-848.28] 兩大歐土歐神和英國聯合基金的一個展望的一個說明
[848.28-850.84] 那接下來呢我會針對
[850.84-857.24] 因為其實有許多投資先進有在匯集有提供一些問題
[857.24-860.12] 那我這邊呢因為問題蠻多的
[860.12-861.48] 那我這邊有些
[861.64-865.16] 整理之後然後我做一個匯總的回答
[865.16-867.64] 那我就不針對個別的一個
[867.64-869.96] 不針對個別的投資先進做回答
[869.96-873.16] 但是我基本上所有的問題我們都有匯整整理過
[873.16-876.76] 那我這邊先做一個初步的一個回答
[876.76-882.84] 那首先是有關於AI相關以及晶片模組測試設備的問題
[882.84-887.00] 那我們整體的AI相關的業績
[887.00-891.40] 全年度的相關訂單的總量
[891.64-893.16] 依舊還是很好的
[893.16-897.64] 那相關的應用呢這邊所提到相關應用其實是包含了
[897.64-900.12] 智能自助服務設備的部分
[900.12-905.08] 那整個包含智能自助服務設備的話呢
[905.08-907.56] 大概占集團營收75%
[907.56-910.28] 但是由於整個關稅政策帶來的確定性
[910.28-915.72] 所以客戶下半年提前拉貨的情況的確比較清楚
[915.72-920.60] 那目前呢我們在半導體領域有一大兩小的客戶
[920.60-922.60] 面對不同的變化呢
[922.60-926.76] 我們都積極的動態的去應對
[926.76-929.56] 那晶片模組測試相關的業務呢
[929.56-933.72] 從2018年以來的確有數倍的成長
[933.72-937.56] 那長期的動能不變
[937.56-942.76] 那來自於運算板測試相關的業務呢
[942.76-947.48] 近幾季的拉貨的一個力道的確有明顯的加大
[947.48-950.44] 那下半年呢則進入產品迭代的一部分了
[950.60-952.60] 那這個過渡期
[952.60-954.52] 那整體來看的話呢
[954.52-956.76] 供應鏈分工會動態調整
[956.76-961.72] 那我們集團也會進入維運的一個高峰期
[961.72-962.60] 那除此之外呢
[962.60-965.96] 我們也正積極準備全新世代的一個產品
[965.96-969.32] 但是呢具體的一個認證的時程
[969.32-973.88] 還是要咀嚼客戶全新世代量產計劃而定
[973.88-976.36] 那我們在每個世代都有參與
[976.36-978.12] 並且扮演重要的角色
[978.12-979.16] 這是來自於
[979.16-980.44] 針對AI相關的產品的一個重點
[980.60-985.72] 那接下來是有關於O2O相關的一個問題的一個回覆
[985.72-989.56] 那Posiflex在中東北非還有印度的市場
[989.56-992.12] 我們都是強勢領導的品牌
[992.12-995.96] 那但是呢因為以它衝突的關係
[995.96-999.80] 導致整個中東地區美系的一個參與營售客人
[999.80-1003.64] 我們看到它很明顯的遭受到影響
[1003.64-1006.20] 因為它是一個非常強勢的產品
[1006.20-1008.76] 所以我們也很期待它能夠在這個時期
[1008.76-1010.04] 能夠在這個時期
[1010.60-1011.88] 有一個重點的抵制
[1011.88-1014.44] 所以它有影響到它的一個資本支出
[1014.44-1015.72] 那印度的部分呢
[1015.72-1019.56] 目前看起來印巴衝突短期雖然有波動
[1019.56-1022.12] 但是雙方似乎均有所克制
[1022.12-1027.24] 所以後續對當地的一個客戶的資本支出的影響
[1027.24-1031.08] 還需密切的一個觀察應對
[1031.08-1034.92] 那另外呢因為振華其實它的一個經營模式
[1034.92-1036.84] 主要是以品牌通路為主
[1036.84-1038.76] 所以因應關稅的議題呢
[1038.76-1040.44] 其實我們已經在每個市場上
[1040.60-1043.80] 都提過有多倍重擴了
[1043.80-1048.28] 所以最終的客戶比較沒有起單的一個效應
[1048.28-1052.92] 而至於呢有這個投資人有提到
[1052.92-1057.24] 就是雲端POS系統對我們POS系統交通影響的部分
[1057.24-1059.80] 這邊說明就是說
[1059.80-1062.36] 其實POS本身振華而言
[1062.36-1064.92] 我們的主要市場是中大前多一個連鎖店
[1064.92-1068.76] 那其實它是需要染印整合跟維運服務的
[1068.76-1070.56] 那一般的雲端的POS呢它是在雲端的POS上
[1070.60-1073.80] 它是小的零售餐飲店在使用的
[1073.80-1075.16] 它是以支付為核心
[1075.16-1080.04] 所以其實跟我們的市場是有區隔的
[1080.04-1081.56] 那至於公司呢
[1081.56-1084.68] 集團在Kiask導入的AI技術的部分
[1084.68-1086.92] 主要就是剛剛有提到過的就是
[1086.92-1090.68] 防審以及物體辨識等相關的AI的一個服務
[1090.68-1093.80] 而整個製作服務機台的需求
[1093.80-1096.52] 在北美全面的遞尊節的一個情況下
[1096.52-1098.60] 需求的確非常顯著
[1098.60-1100.60] 那不只是美國
[1100.60-1104.04] 在歐洲的自助Check-in自助購票設備
[1104.04-1107.08] 也因為人力遵節的關係呢
[1107.08-1109.56] 而需求良好
[1109.56-1114.44] 這是歐土歐相關的一個問題的一個匯總的一個回答
[1114.44-1120.84] 那接下來是在關稅及匯率相關的問題的部分的一個匯總回答
[1120.84-1124.52] 那關稅至於說關稅的因應跟影響方面
[1124.52-1127.32] 振華集團在美國有兩大
[1127.32-1129.72] 已經有兩個主要的組裝廠
[1129.72-1130.44] 那也不動甘願的說
[1130.60-1132.60] 我們剛剛跟各位報告過的
[1132.60-1135.32] 我們投資建造的新廠防預計
[1135.32-1138.28] 也會在2026年的第四季可以啟用
[1138.28-1140.68] 那投資建造這個廠完工之後
[1140.68-1143.40] 整體的功能會更加的完整
[1143.40-1145.96] 那應該可以很大程度的去因應
[1145.96-1149.80] 並且降低關稅帶來的可能的一個影響
[1149.80-1152.36] 那如果以中方客戶來看的話
[1152.36-1155.24] 美國在營收的比重雖然很高
[1155.24-1158.76] 但是我們實際的出貨地大部分在亞洲
[1158.76-1160.44] 它是直接出貨到
[1160.60-1163.16] 直接出貨到美國本土的占比
[1163.16-1165.72] 其實相對是低的
[1165.72-1167.00] 那Kiask的部分
[1167.00-1170.84] 更是因為我們主要都是在美國做製造組裝
[1170.84-1174.68] 所以對於關稅的影響是相對可控的
[1174.68-1177.24] 那至於匯率影響的部分
[1177.24-1178.52] 整體而言
[1178.52-1181.08] 台幣如果升值1%的話
[1181.08-1184.92] 對我們的毛利率影響大概會下滑0.1%
[1184.92-1186.52] 那但是第二季的
[1186.52-1188.60] 所以說整個第二季的一個匯損清水的部分
[1188.60-1189.72] 整個第二季的一個匯損清水的部分
[1189.72-1192.28] 匯損清水獲利是一定會有的
[1192.28-1193.56] 但是長期而言
[1193.56-1196.12] 台灣的IPC業者在各自的領域
[1196.12-1198.68] 被取代性是低的
[1198.68-1202.52] 那這種環會持續以品牌價值跟SDA的模式來防禦
[1202.52-1205.08] 總體經濟的一個變化以及匯率的一個變化
[1205.08-1211.48] 那再來是有關於營收獲利的一個相關的問題
[1211.48-1212.76] 那剛有提到
[1212.76-1215.32] 第一季的毛利上升的最主要原因就是
[1215.32-1219.16] 我們高毛利率的一個系統品牌醫療及
[1219.72-1222.92] 三年定義智能設備營收佔比持續的提高
[1222.92-1226.12] 那貢獻80%多的一個集團的營收
[1226.12-1227.40] 那隨從AI的相關應用
[1227.40-1232.52] 包含智能自助服務的部分佔整個營收約75%
[1232.52-1240.20] 那展望的話就是整個2025年上半年的營收成長的動能
[1240.20-1245.32] 基本上是延續2024年下半年的一個成長的力道
[1245.32-1249.56] 但是2025年下半年因為受到關稅等總體經濟因素的影響
[1249.56-1255.40] 還有低原正治還有這個先救產品更新接待的影響
[1255.40-1258.52] 目前整體的情勢還不明朗
[1258.52-1261.08] 需進一步的一個觀察
[1261.08-1264.28] 但是總體而言集團2025年全年的表現
[1264.28-1267.48] 不管是在營收以及獲利
[1267.48-1270.68] 在2024年的高級期之下
[1270.68-1273.88] 仍將會有不錯的一個成長
[1273.88-1277.72] 那還有接下來就是一些
[1277.72-1279.40] 除了上述以外的一些其他問題
[1279.56-1282.76] 我也先跟各位投資金融部說明
[1282.76-1284.68] 那有投資金融部問到
[1284.68-1289.16] 我們在3月份法說會提到的一個併購案進度的一個時程
[1289.16-1294.04] 我們的併購案基本上還是以SDA為核心的一個策略
[1294.04-1296.68] 然後我們正在積極的領估國內外
[1296.68-1299.40] 各個應用領域的許多不同的標的
[1299.40-1305.16] 這個活動是持續的在進行當中的
[1305.16-1309.40] 那接下來是美國社廠的一個進度以及辦理期別的一個計劃
[1309.56-1324.68] 我們就輪到醫療 scrape Fuk face
[1324.68-1335.26] 有ятся更多資源 акку�
[1335.26-1337.42] 好
[1337.42-1338.22] 那以上跟各位 Ber Sit
[1338.22-1338.68] counterichteat 這一點
[1338.68-1338.70] We don't remember this
[1338.70-1339.10] 但我怕可以看不出來
[1339.10-1339.48] encounter 所有謝謝各位
[1339.48-1339.52] So now if For the sake of一個 stream
[1339.52-1339.54] You can go back and see some of them too all near here in Hong Kong
[1339.54-1341.62] 投资先进做说明
[1341.62-1342.20] 谢谢
[1342.20-1346.86] 好谢谢
[1346.86-1348.00] 谢谢财务长
[1348.00-1351.52] 那我们今天是主要只有开放
[1351.52-1353.00] 这个文字提问的部分
[1353.00-1354.52] 所以其他投资先进
[1354.52-1356.98] 如果您还有问题想提出来的话
[1356.98-1359.60] 再请您就是将您的问题
[1359.60-1363.34] 私讯那个主讲人的视窗
[1369.54-1385.84] 那再跟各位报告一次
[1385.84-1388.60] 就是今天只有开放这个文字提问
[1388.60-1390.40] 那如果各位投资先进
[1390.40-1392.38] 您还有问题想要提出来的话
[1392.38-1395.48] 再请您能够私讯主讲人的视窗
[1399.54-1401.54] 谢谢
[1429.54-1431.54] 谢谢
[1459.54-1461.54] 谢谢
[1489.54-1491.54] 谢谢
[1519.54-1521.54] 谢谢
[1549.54-1551.54] 谢谢
[1579.54-1585.92] 好那有投资
[1585.92-1586.88] 朋友
[1586.88-1588.80] 投资先进说
[1588.80-1591.62] 目前完全稀释的股本是多少
[1591.62-1593.58] 这个
[1593.58-1596.38] 应该就是107.4百万股
[1596.38-1597.54] 那
[1597.54-1599.06] 再来是
[1609.54-1614.86] 那至于上下半年的营收股价来看的话
[1614.86-1618.68] 基本上如同刚刚我跟各位投资先进说明过
[1618.68-1621.76] 整个上半年的营收增长
[1621.76-1624.68] 是延续了0.4点下半年的成长回到的
[1624.68-1626.68] 那下半年呢
[1626.68-1629.38] 目前的情势是不明朗的
[1629.38-1630.78] 还需要进一步的观察
[1630.78-1633.14] 因为整个电源政治跟新旧产业
[1633.14-1634.30] 更新迭代的影响
[1634.30-1636.70] 这部分还需要进一步的一个观察
[1636.70-1642.90] 至于毛利率的部分呢
[1642.90-1647.98] 我们长期的毛利率的一个水准
[1647.98-1649.88] 大概还是维持在40%左右
[1649.88-1651.72] 那短期来讲的话
[1651.72-1653.50] 应该可以维持一个相对的高档
[1653.50-1660.94] 那以上说明谢谢
[1666.70-1690.50] 那看各位投资先进
[1690.50-1692.20] 还有没有问题要提出来的
[1692.20-1694.20] 那如果您还有问题的话
[1694.20-1696.30] 再请您将您的问题
[1696.30-1696.68] 私讯到我们的网站
[1696.70-1698.90] 还是可以发现主讲人的聊天视窗
[1786.70-1803.38] 好那半导体领域的话呢
[1803.38-1806.48] 我们是有一大两小的客户的
[1806.48-1810.46] 那这个这些业务都是从2018年以来
[1810.46-1814.32] 就已经开始有长期的一个合作的关系
[1814.32-1816.12] 这个是
[1816.12-1816.68] 这个是
[1816.70-1819.94] 有关于AI相关的一个客户的一个回答
[1819.94-1831.26] 那原则上面其实
[1831.26-1835.28] 整个集团整个2025年
[1835.28-1837.04] 其实全年的表现
[1837.04-1839.92] 不管是在营收还是在获利上面
[1839.92-1842.30] 相信相对于2024年
[1842.30-1844.86] 应该都还是会有一个不错的一个成长
[1846.70-1849.34] 是一直有这样的变化
[1849.34-1853.10] 正在后期的它再次在程序上
[1853.10-1853.72] 加深一些蒋試�ren务的
[1876.70-1906.68] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1906.70-1936.68] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1936.70-1948.46] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1966.70-1996.68] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[1996.70-2026.68] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2026.70-2041.44] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2056.70-2086.68] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2086.70-2116.68] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2116.70-2146.68] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2146.70-2153.48] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2176.70-2206.68] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2206.70-2236.68] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2236.70-2266.68] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[2266.70-2296.68] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
