[0.00-6.00] 今天我們要進行的是中華紙張2025年度第一季營運概況的法收會
[359.84-360.56] 我真的用互联网
[360.56-361.16] super
[361.16-362.56] 我只会用互联网
[362.56-362.96] 别错过
[362.96-363.34] 其实呢
[363.34-364.14] 这边对他的习惯
[364.14-365.78] 其实父母
[365.78-366.02] 还有你
[366.02-367.12] 我都不知道
[367.12-367.58] argues
[367.58-367.74] knots
[367.74-368.58] 那谢谢
[368.58-369.20] 谢谢
[369.20-369.60] 那一块
[369.60-370.12] 那这个
[370.12-371.08] 他是我的
[371.08-371.34] От
[371.34-371.48] posing
[371.48-371.52] 的
[371.52-371.90] 实际上
[371.90-372.08] 伙计
[372.08-372.56] 但是
[372.56-372.80] 不OS
[372.80-373.48] 这个
[373.48-374.18] 其喔
[374.18-374.56] всей
[374.68-375.24] tranqu
[375.24-375.46] inh
[375.46-376.22] 不
[376.24-376.90] aş
[376.90-377.54] них
[377.54-377.80] Tube
[377.80-378.06] On
[378.06-378.68] He
[378.68-379.22] 今年
[379.22-379.56] areas
[379.56-380.12] en
[380.12-380.66] here
[380.66-380.78] 我觉得
[380.78-381.18] 用
[381.18-381.56] 着
[381.56-382.44] 从
[382.44-385.04] 再確認一下原因是怎麼樣
[385.04-387.12] 然後有沒有預估可能今年的毛利率走勢
[387.12-388.40] 或是什麼樣子
[388.40-389.16] 謝謝
[390.68-392.08] 今年第一季
[392.08-394.40] 跟以往比較不同的是
[394.40-395.44] 今年第一季
[395.44-397.88] 九二廠進行了一個45天的
[399.60-403.20] 鍋爐的空污的防治設備的改造
[403.20-405.32] 這是以前沒有的停工
[406.16-407.44] 差達45天
[408.28-410.84] 所以毛利率下降跟這個有直接關係
[410.84-412.56] 因為整個產值是變少
[412.56-413.88] 這是第一個原因
[413.88-415.52] 第二個原因是
[415.52-418.04] 第一季的降價跟去年同期的降價
[418.04-420.08] 大概差了
[420.08-422.12] 平均降價大概差60塊美金
[422.12-423.00] 比較低
[423.84-427.28] 那木片相較於去年同期
[427.28-428.60] 並沒有比較低
[429.92-431.28] 所以在降價的部分
[431.28-433.04] 跟去年九二比起來
[433.04-434.32] 是比較不利的
[434.32-435.12] 比較不利
[435.12-436.96] 這是第一個問題
[436.96-439.88] 所以在今年的第一季的營收
[439.88-440.80] 跟獲利表現
[440.80-441.84] 比較差的原因
[441.84-443.16] 主要是這兩個問題
[446.08-447.92] 那第二個問題
[447.92-450.84] 匯率對我們中長期來講的話
[450.84-451.68] 短期
[451.68-454.08] 因為收入是在短期的影響
[454.08-456.56] 例如當月匯率一升值的話
[456.56-459.00] 才一升值後收入才會減少
[459.00-462.44] 所以對短期是不利的
[462.44-465.32] 那對中長期來講的話
[465.32-467.68] 是一樣的
[467.68-469.80] 因為我們採購跟銷售的
[470.80-473.56] 美金的部位差不多
[473.56-474.80] 目前是差不多的
[474.80-477.32] 那至於關稅的影響
[477.32-478.96] 我不以置評
[482.24-485.20] 這個大家很多人的答案
[485.20-486.20] 會跟我一樣
[486.20-487.52] 不以置評
[487.52-490.12] 我們希望最後的狀況是在四月
[495.28-496.96] 如果還有要進一步追問的話
[496.96-500.08] 可以舉個手吧
[500.80-502.32] 如果要進一步追問的話
[502.32-503.44] 我們會不會去
[503.44-503.48] 是不是要負責負責
[503.48-506.28] 或者是負責罰金沒有影響
[506.28-507.00] 一定會有影響
[507.00-509.68] 但是影響的影響程度
[509.68-511.20] 很難判斷
[511.20-513.48] 目前是不太判斷
[513.48-514.32] 因為有利有利
[514.32-516.68] 我們外銷到全世界
[516.68-520.56] 各個國家地區有十幾個國家
[520.56-523.52] 那中間可能對等關稅
[523.52-525.24] 不只是跟美國的關係
[525.24-528.24] 各國跟美國的關稅
[528.24-530.24] 也會影響這些銷售板刻的
[530.80-532.40] 移動
[532.40-533.80] 幣值也是
[533.80-536.24] 不只是對台幣對美金
[536.24-537.92] 台幣對歐元對人民幣
[537.92-539.00] 對日幣
[539.00-541.16] 對各種貨幣的影響
[541.16-542.16] 國與國之間的關係
[542.16-544.48] 那是蠻複雜的一個狀況
[544.48-546.40] 所以對職業來講
[546.40-548.92] 是有利有利可能都有
[548.92-551.56] 到時候底定下來之後
[551.56-553.32] 就會看這其中的關係
[553.32-555.36] 去做市場的一個調整
[555.36-558.08] 因為我們比較廣
[558.08-559.56] 我們到十幾個國家去
[559.56-560.72] 到時候勢必做一下
[560.72-561.56] 調整
[564.04-565.36] 好 正式來個媒體
[565.36-567.44] 請問一下
[567.44-568.92] 因為這個總結的部分
[568.92-570.44] 其實有提到關稅
[570.44-571.72] 就是說消費力道保守
[571.72-573.52] 現在目前狀況也是嗎
[576.84-580.68] 消費力道保守是台灣
[580.68-582.24] 台灣是
[582.24-585.04] 那其他國家就剛剛講的
[585.04-588.36] 因為匯率對等的關係
[588.36-590.68] 不同的影響關係不見得了
[590.72-593.08] 那台灣是目前是比較弱一點
[593.08-595.32] 內需看起來是比較弱一點
[595.32-597.64] 也比較相對保守
[597.64-599.16] 歐洲市是怎樣
[599.16-600.44] 歐洲
[600.44-601.72] 他們看起來不錯
[601.72-603.52] 看起來不錯
[603.52-608.64] 那現在目前關稅有調降嗎
[608.64-610.68] 那幾天之後有改變嗎
[610.68-611.96] 調降
[611.96-613.24] 就是那不是調降
[613.24-614.52] 從高到一百多
[614.52-615.56] 那是在上路
[615.56-617.96] 因為12號 10號
[617.96-618.88] 那個夾一底啊
[618.88-620.68] 那一百多趴是不會歐肯的
[620.72-623.80] 根本就不會動的嘛對不對
[623.80-625.84] 那現在開始動
[625.84-628.92] 那是不是就是這樣子的
[628.92-630.96] 大家希望
[630.96-633.00] 現在這種狀況是
[633.00-634.04] 最高的
[634.04-635.06] 稅率啦
[635.06-636.34] 或許是這樣
[636.34-638.64] 後面看會不會好一點
[638.64-640.44] 其實這是降價
[640.44-641.96] 為什麼在
[641.96-643.24] 三四月突然
[643.24-644.78] 都降了一波
[644.78-646.06] 其實這個跟
[646.06-647.60] 匯率各國之間的
[647.60-649.40] 對於歐盟是有關係的
[649.40-650.68] 因為
[650.72-654.04] 大部分的國家在這兩個月都是
[654.04-656.10] 對美金升值的
[656.10-658.66] 但是人民幣並沒有
[658.66-659.68] 那人民
[659.68-660.70] 大陸市場
[660.70-662.50] 作為一個指價
[662.50-665.32] 最大的消費市場來話
[665.32-667.10] 所以它的美元的
[667.10-670.18] 指價報價在這個地區
[670.18-672.74] 有比較降低是因為這個因素
[672.74-677.34] 那其他的像歐美他們其實沒有降很多
[677.34-678.88] 因為幣值相對於
[678.88-680.42] 北京市
[680.42-680.94] 升值的
[680.94-682.98] 但是幣幣
[682.98-684.52] 至少上個月是區別的
[684.52-686.06] 是跟人家走法不一樣
[686.06-687.34] 會影響到
[687.34-689.12] 一些商品的美金報價
[689.12-690.40] 主要是這個原因
[702.44-703.72] 說真的我沒有什麼
[703.72-708.06] 太大的看法目前也看不太懂
[708.06-710.38] 不過以這個月的狀況上個月降了
[710.42-714.00] 現在比較安定這個月目前是暴平盤
[714.00-721.18] 目前是暴平盤
[721.18-722.46] 5月平盤嘛
[722.46-723.98] 3、4月降嘛
[723.98-724.50] 對
[724.50-727.32] 那3、4月降的大概怎麼說
[727.32-728.60] 其實3月份
[728.60-729.62] 它有
[729.62-731.42] 漲了10塊錢
[731.42-733.20] 但是後來這10塊錢沒有成立
[733.20-735.76] 所以應該3月份就算平盤
[735.76-737.04] 那4月份
[737.04-740.38] 在大陸就是我們東亞這個地方大概這樣呢
[740.42-745.54] 40到60塊美金
[745.54-747.08] 那在後面
[747.08-748.62] 我先就沒有要講了
[748.62-758.60] 是平的
[758.60-760.38] 還有其他的
[760.38-763.98] 反正是憲進跟媒體朋友有問題要提問嗎
[763.98-769.34] 如果有的話舉個手讓我們去到一下
[769.34-770.38] 如果沒有的話
[770.38-772.42] 我們今天的法術會見到此告一段落
[772.42-773.46] 謝謝大家的參與
[773.46-773.96] 謝謝
