[0.00-8.68] 各位嘉宾各位媒体朋友
[515.44-520.44] 那所以总截至到114年1月
[520.44-525.44] 我们所持订单的合约金额大概有1348亿元
[525.44-527.44] 那其中还没有
[527.44-531.44] 还尚在执行的金额大概有800亿元
[531.44-536.44] 下面说明一下我们近期的一些重要成果
[536.44-539.44] 包括去年2月22号
[539.44-543.44] 海行属4000吨的新房间交建典礼
[543.44-548.44] 那这个这边是首次前后任的总统一起来参加
[548.44-552.44] 那在去年10月1号
[552.44-556.44] 我们海行属1000吨级的新房间交建典礼
[556.44-560.44] 也是由现任的副总统来主持
[560.44-563.44] 接下来
[563.44-566.44] 那在10月23号
[566.44-573.44] 海经新型的救难舰也就是大午舰也进行这个交建典礼
[573.44-575.44] 顺利交船
[577.44-580.44] 接下来这是在11月28号
[580.44-583.44] 中友公司50000吨的油品化学轮
[583.44-587.44] 安运轮也顺利及时交船典礼
[589.44-594.44] 另外呢我们在高雄轮船公司
[594.44-596.44] 电力驱动度
[596.44-600.44] 包括49吨的这个电动渡轮雄战一号
[600.44-605.44] 以及99吨的电动渡轮艾力斯号
[605.44-609.44] 也顺利在1月16号跟12月30号顺利交船
[609.44-615.44] 另外还有一艘49吨的电动游港轮雄战二号
[615.44-618.44] 也在9月2号顺利交船
[620.44-624.44] 下面是说明我们在11月28号
[624.44-625.44] 我们公司建造的A-2航空车是在11月28号的建造中
[626.44-631.44] 也就是一个海工潜水险的大型浮调船
[631.44-633.44] 环海翡翠轮
[633.44-639.44] 农贺2025台湾精品金子奖的最高殊荣
[641.44-646.44] 接下来我们来说明一下我们的产业趋势跟事业发展
[646.44-649.44] 首先说明一下造船市场的概况
[649.44-653.44] 那这边大家可以从这个图可以看得到
[653.44-655.44] 我们从这个
[656.44-661.44] 这个图可以显示我们在2008年金融海啸之后
[661.44-664.44] 整个航运造船就开始低迷
[664.44-668.44] 那船价也跟着跟着大幅下滑
[668.44-675.44] 一直到2020年COVID-19之后才开始回升
[675.44-680.44] 那整个造船也跟着回升
[680.44-683.44] 所以带动这个新船的船价回升
[683.44-684.44] 造船才开始有比较高的回升
[684.44-685.44] 造船才开始有比较高的回升
[686.44-689.44] 造船才开始有比较好的这个发展契机
[689.44-690.44] 造船才开始有比较好的这个发展契机
[690.44-693.44] 另外还有一个趋势就是
[693.44-700.44] 国际海事组织IMO它有原格的这个船舶环保法规
[700.44-704.44] 强制规范航商碳排的规定
[704.44-708.44] 加上2026年欧盟也会即将开增碳税
[708.44-714.44] 促使航商加速台湾老旧的船舶抢先部件
[714.44-717.44] 建造低碳新燃料的节能环保船舶
[717.44-720.44] 所以目前在绿色船舶
[720.44-723.44] 能源环保像甲醇双燃料
[723.44-729.44] LNG燃料 氨气双燃料以及电动混合动力船
[729.44-733.44] 都是一个未来的一个发展趋势
[733.44-737.44] 那在市场份额方面呢
[737.44-740.44] 从这个图大概可以显示
[740.44-744.44] 我们整个全球新造商船的市场
[744.44-749.44] 让中国韩国日本大概就涵盖了
[749.44-752.44] 全球92%的这个新船订单
[752.44-754.44] 那从这边也可以特别看得出来
[754.44-759.44] 特别是中国它夹着这个国家支持跟政策补贴
[759.44-763.44] 已经逐渐扩大它的市场占有力
[763.44-767.44] 那所以在2024年呢
[767.44-770.44] 中国造船中国大陆的造船厂
[770.44-773.44] 它不论是在新船的订单承染量
[773.44-778.44] 首次订单量完工交付量都高及世界第一
[778.44-781.44] 而且都达百分之五上的市占率
[781.44-784.44] 那所以从这边也可以
[784.44-790.44] 海船公司也希望在有一个平等的一个竞争点
[790.44-794.44] 希望争取这个政府支持这个商船的产业政策
[794.44-799.44] 借以来维系我国造船产业发展跟人才培育
[799.44-802.44] 那在新船
[803.44-806.44] 新造船舰的潜在业务方面呢
[806.44-808.44] 目前台湾公司锁定
[808.44-811.44] 第一个是8700的后柜轮
[811.44-814.44] 那后面还有潜舰的后续舰
[814.44-817.44] 以及多功能的海策舰
[817.44-820.44] 那海行属有2000吨级的新舰舰
[820.44-824.44] 跟8000吨级的新舰舰
[824.44-827.44] 那在离岸风电方面呢
[827.44-831.44] 潜在业务包括有像第三阶段气块开发的风舱
[831.44-832.44] 水下机器的风扇
[833.44-837.44] 然后另外有服饰风机的示范风场
[837.44-839.44] 服饰风机的浮台
[839.44-844.44] 以及离岸风电重型构建的运输业务
[844.44-848.44] 那特别这边针对服饰风机的浮台方面
[848.44-854.44] 我们台船公司跟台大船舶中心有共同合作
[854.44-858.44] 15M的这个风机半潜式的浮台研究开发计划
[858.44-861.44] 而且也取得美国船级社ABS社会的贡献
[861.44-864.44] 也取得美国船级社ABS社会的贡献
[864.44-865.44] 认可
[865.44-870.44] 接下来我们说明一下接下来的第三个部分
[870.44-873.44] 就是有关于经营策略跟方向
[873.44-879.44] 那首先在台船公司的经营策略上有一个调整
[879.44-885.44] 就是我们会开始聚焦并扣大造船舰的业务
[885.44-890.44] 那主要是因为在过去台船公司的有四大的
[891.44-895.44] 业务区块包括力农 风电 石化 基建
[895.44-899.44] 国舰国造以及商船本业
[899.44-903.44] 那现在考量到资源的利用
[903.44-905.44] 那要有效的利用
[905.44-912.44] 所以我们目前会聚焦在造船跟商船本业
[912.44-914.44] 以及国舰国造
[914.44-918.44] 然后扣大这两块的这个营收比重
[921.44-925.44] 接下来我说明一下我们企业发展的策略方针
[925.44-930.44] 那这一块主要是随着我们新的经营阶层上来
[930.44-933.44] 就是新的董事长跟总经理
[933.44-937.44] 也做了一些策略的方针
[937.44-941.44] 那主要是以在为此
[941.44-947.44] 就是说我们要进行管理转型 数位转型以及创新转型
[947.44-950.44] 那董事长特别提出来几个
[951.44-956.44] 策略方针包括在人力资源与组织管理
[956.44-960.44] 财务与资金管理 技术与产品创新
[960.44-964.44] 那扣大以政策及社会合作
[964.44-968.44] 以及全球经济挑战以供应链管理
[968.44-969.44] 等五个方针下
[969.44-975.44] 那我们拟定了一些发展策略
[975.44-978.44] 主要像比如说在内造方面
[978.44-981.44] 大概会加强这个KPI
[981.44-983.44] 以及人力传承方面
[983.44-985.44] 然后重整建造秩序
[985.44-989.44] 那另外在财务与资金管理方面
[989.44-991.44] 希望能够降低成本
[991.44-993.44] 增起一些利基的业务
[993.44-994.44] 来强化财务
[994.44-997.44] 再来就是在技术跟产品创新
[997.44-1001.44] 会聚焦在智慧船厂
[1001.44-1005.44] 双燃料的智能船舰以及无人船的开发
[1005.44-1008.44] 服饰风机服务台的开发
[1008.44-1009.44] 那再扣大以政府的社会合作与财务的创新创新
[1009.44-1012.44] 那以政府的社会合作方面
[1012.44-1016.44] 会扣大铁链的合作来吸引优秀的人才
[1016.44-1021.44] 那也会强化外部的合作创新产品的研发
[1021.44-1023.44] 另外在全球供应
[1023.44-1026.44] 经济挑战以供应链管理方面
[1026.44-1029.44] 会加强供应链的管理
[1029.44-1031.44] 然后也会开发本土的商源
[1031.44-1033.44] 然后强化资安
[1033.44-1039.44] 那公司的未来特别
[1039.44-1043.44] 刚刚有提到我们会特别聚焦在智慧跟绿能
[1043.44-1047.44] 那这里大概有分成四大区块
[1047.44-1050.44] 第一个是绿能生产的管理
[1050.44-1054.44] 包括就是像进行温室气体的盘查
[1054.44-1057.44] 空压机监控系统
[1057.44-1061.44] 厂房的太阳能板以及厂区的储冷系统
[1061.44-1063.44] 另外在智慧船厂方面
[1063.44-1066.44] 就是会发展能源监控系统
[1066.44-1068.44] 焊机管理系统
[1068.44-1071.44] 空作业车定位监控系统
[1071.44-1073.44] 另外第三个区块是
[1073.44-1075.44] 力能智慧船舶
[1075.44-1077.44] 会发展多燃料的船舰
[1077.44-1080.44] 电力推进船舰以及无人船舰
[1080.44-1084.44] 另外子公司包括台船动力
[1084.44-1087.44] 会聚焦在质物能跟动力系统
[1087.44-1090.44] 那台船环海呢
[1090.44-1094.44] 则会针对能源软型海公事业
[1094.44-1097.44] 另外在营运改善策略方面
[1097.44-1102.44] 我们为了求优化营运以及永续发展
[1102.44-1106.44] 本公司会积极研拟营运改善的对策
[1106.44-1108.44] 来落实
[1108.44-1110.44] 早日达成转亏为盈的目标
[1110.44-1112.44] 那相关的措施包括说
[1112.44-1115.44] 第一个会聚焦核心事业扩大
[1115.44-1118.44] 争取既有利机的造船舰业务
[1118.44-1122.44] 第二个在内部转型与改造方面
[1122.44-1125.44] 会提升生产效能跟执行力
[1125.44-1126.44] 第三个
[1126.44-1130.44] 会监控预算支出降低原物料的成本
[1130.44-1131.44] 四
[1131.44-1136.44] 会开发无人船跟节能环保船型来创造商机
[1136.44-1137.44] 第五
[1137.44-1139.44] 会争取政府支持商船产业政策
[1139.44-1144.44] 确保国家安全以维系造船产业的能量
[1144.44-1148.44] 那第四个我们做个简单的决议
[1148.44-1151.44] 首先就是说
[1151.44-1155.44] 所谓订单充足希望能够稳健前行
[1155.44-1160.44] 主要是因为本公司近年承担的各型原型舰
[1160.44-1164.44] 大概已经陆续或即将完工交船
[1164.44-1170.44] 近期也随着这个21万吨的8k的跟8700的后
[1170.44-1174.44] 的后卫轮等商船业务的签约加上
[1174.44-1178.44] 国造潜舰后续量产型的预算完成编内
[1178.44-1182.44] 后续会采分阶段来建造进行
[1182.44-1184.44] 那目前的所持订单已经是
[1184.44-1187.44] 到2030年也都满档了
[1187.44-1189.44] 所以这个非常有利
[1189.44-1192.44] 我们公司在进行内部改造
[1192.44-1195.44] 也可以放眼未来进行研发
[1195.44-1197.44] 以及长期的稳定发展
[1199.44-1200.44] 所以在内造方面
[1200.44-1203.44] 我们第一个我们会以获利为导向
[1203.44-1207.44] 这是以获利导向进行内部改造
[1207.44-1208.44] 提升竞争力
[1208.44-1211.44] 主要就是配合既有的业务以获利为导向
[1211.44-1214.44] 来积极推动各项营营开发
[1214.44-1215.44] 改善的方案
[1215.44-1219.44] 制定新绩效的考核的考核机制
[1219.44-1223.44] 来健全营运体质提升竞争力
[1223.44-1226.44] 第一个部分就是整合资源
[1226.44-1229.44] 聚焦智慧与力能续机能量
[1229.44-1232.44] 会整合母公司跟子公司
[1232.44-1236.44] 还有国内产学院等的研发能量
[1236.44-1239.44] 聚焦在智慧跟力能投入研发
[1239.44-1243.44] 发展各项具有市场潜力的产品跟服务
[1244.44-1247.44] 好以上是今天的简报谢谢大家
[1274.44-1277.44] 请说明贵公司导货及姓名谢谢
[1286.44-1288.44] 各位投资先进大家好
[1288.44-1291.44] 首先我们分别答复
[1291.44-1294.44] 第一题是有投资人问到
[1294.44-1298.44] 海船2025年是否有机会转营
[1298.44-1300.44] 那这部分先做一个说明
[1300.44-1304.44] 我们在看到去年大概亏了27.8%
[1304.44-1308.44] 那在今年因为营业额大概超过200多亿
[1308.44-1312.44] 但是还在这个的状况下以及船价
[1312.44-1317.44] 还是部分有些是比较前年跟大前年所接
[1317.44-1321.44] 因此在这部分还没有机会转亏为盈
[1321.44-1325.44] 但是这个亏损的金额会大幅降低
[1325.44-1329.44] 但是金额抱歉不合适对外说明
[1329.44-1333.44] 那第二题是潜舰是否有机会持续发展
[1333.44-1336.44] 那这部分答复我们的投资人
[1336.44-1341.44] 基本上我前线的原型舰现在正依我们的节点
[1341.44-1343.44] 会在10月去做试车
[1343.44-1347.44] 那我们今年会依合约的节点做交件
[1347.44-1353.44] 但是后续件我们现在可能所有的关心这个议题的媒体
[1353.44-1355.44] 跟投资先进已经知道
[1355.44-1361.44] 立法院其实已经通过我们后续件两艘后续件
[1361.44-1363.44] 以及整个案子
[1363.44-1366.44] 其实是一个很重要的一个计划
[1366.44-1370.44] 那虽然在这个立法院有被所谓的冻结
[1370.44-1375.44] 所谓今年114年50%的预算
[1375.44-1377.44] 50%是可以用
[1377.44-1380.44] 但是基本上我们的潜舰是看起来
[1380.44-1385.44] 后续件的七艘会一直到2038年都会被持续
[1385.44-1391.44] 有这个我们台船我们跟海军会互相的合作
[1391.44-1393.44] 然后会依原定的计划执行
[1393.44-1397.44] 后续件七艘的一个案子会持续的执行
[1397.44-1400.44] 是绝对不会受到任何的影响
[1400.44-1404.44] 那第三题是针对有投资人问到
[1404.44-1408.44] 台船今年是否有筹资的计划
[1408.44-1410.44] 在这部分稍微做说明
[1410.44-1413.44] 这个台船在113年确实有做
[1413.44-1416.44] 一月做了公募
[1416.44-1420.44] 所谓的39亿私募做了19.585
[1420.44-1421.44] 所以呢在去年做了58.96亿
[1421.44-1422.44] 所以在去年做了58.96亿
[1422.44-1423.44] 所以在去年做了58.96亿
[1423.44-1425.44] 的这个增资作业
[1425.44-1427.44] 但目前以到目前为止
[1427.44-1432.44] 我们还没有针对这个做所谓的筹资的计划
[1432.44-1436.44] 但后续如果真的有这个筹资的必要性
[1436.44-1439.44] 那台船再会去做评估跟启动
[1439.44-1442.44] 那另外一个是讲到翡翠轮
[1442.44-1446.44] 那翡翠轮的营收跟这个租金抱歉
[1446.44-1449.44] 这是营业机密那所以不合适说
[1449.44-1451.44] 但是海工事业的前景
[1451.44-1454.44] 可以跟各位投资人说明
[1454.44-1457.44] 基本上我们目前除了海龙
[1457.44-1459.44] 这个案子都已经快要结束
[1459.44-1461.44] 但是我们又最近拿到了
[1461.44-1463.44] 蜂蜜的这个合约
[1463.44-1466.44] 因此在我们利用翡翠轮
[1466.44-1468.44] 也就是我们台船的子公司
[1468.44-1472.44] 至少在114 115年
[1472.44-1475.44] 海事工程的前景是非常乐观的
[1475.44-1477.44] 第五题
[1477.44-1481.44] 自积海工这几年提供
[1481.44-1483.44] 这个成长动能
[1483.44-1487.44] 说明一下就是事实上我们在这部分的自积海工
[1487.44-1492.44] 分两部分一个部分是主要的贡献是来自于CDWE
[1492.44-1494.44] 我们的子公司
[1494.44-1498.44] 那另外一个部分是我们在前年
[1498.44-1502.44] 我们就有经承担了所谓中游的案子
[1502.44-1506.44] 但后续在未来的后续的比重
[1506.44-1509.44] 我们刚刚诚如我们的李处长有说
[1509.44-1510.44] 将来会聚焦在这个后续的比重上
[1511.44-1513.44] 我们的产品在提高商船
[1513.44-1516.44] 国舰国造这个所谓的造船舰
[1516.44-1520.44] 这部分的营业额的百分比会提高
[1520.44-1525.44] 那各种产品的组合产量也定在我们刚刚所说
[1525.44-1529.44] 基本上我们台船在我们的商船
[1529.44-1532.44] 已经承揽到2030年
[1532.44-1537.44] 因此我们基本上我们的商船的透明度是非常高的
[1537.44-1540.44] 可以到2030年了
[1540.44-1543.44] 这个是做我们目前商船的说明
[1543.44-1547.44] 那另外刚刚有提到做到国舰国造
[1547.44-1550.44] 也就是潜舰也已经可以到2038年
[1550.44-1554.44] 因此在我们所谓的主力产品的部分
[1554.44-1559.44] 可以非常透明的说已经到2030年以后
[1559.44-1563.44] 那至于后续我们就会看有关海巡署
[1563.44-1566.44] 或一些其他比较好的案子
[1566.44-1568.44] 然后来折忧承揽
[1568.44-1570.44] 那另外我们的商船的说明是
[1570.44-1574.44] 另外一题我们跟各位投资人说明
[1574.44-1579.44] 在所谓的UAV的发展计划以及进展
[1579.44-1583.44] 由我们的负责周志明周副总来做说明
[1585.44-1590.44] 好谢谢媒体针对无人载具台船的一个发展
[1590.44-1594.44] 那我这边无人载具我会把它定义成是水面舰
[1594.44-1595.44] 不是水下
[1595.44-1599.44] 台船其实在112年的4月
[1599.44-1603.44] 我们就开始针对乌克兰战争的无人机
[1603.44-1605.44] 真是无人船相关的运用
[1605.44-1607.44] 我们有投入一个团队
[1607.44-1611.44] 我们针对无人船的发展构想就开始收集资讯
[1611.44-1614.44] 也在112年的5月我们就有一个起始会议
[1614.44-1620.44] 那同年我们在7月我们就内部有个组织分工
[1620.44-1623.44] 我们在7到10月也在国内做了
[1623.44-1627.44] 产官学各关键工项的一个技术盘点
[1627.44-1628.44] 那也了解国内在
[1628.44-1634.44] 无人艇最重要的通讯部分有哪些时机跟运用
[1634.44-1639.44] 那同时间我们在112年的9月到12月
[1639.44-1642.44] 还有隔年我们事实上有参加
[1642.44-1646.44] 国外包括欧洲还有美国的访商
[1646.44-1649.44] 也跟外商针对无人船的时机
[1649.44-1653.44] 包括无人船上面的装备运用做了一些交流
[1653.44-1657.44] 那事实上这些国家的外商也有到台船来做一些访问
[1657.44-1662.44] 也针对台船无人艇的一个计划非常感兴趣
[1662.44-1665.44] 那事实上我们大概在去年
[1665.44-1669.44] 我们就3月正式成立而且开始启动的计划
[1669.44-1675.44] 我们在国内找了相关的国内的团队
[1675.44-1678.44] 包括我们的台船动力科技公司
[1678.44-1680.44] 那发展我们的无人船
[1680.44-1684.44] 最重要的包括载台通讯模组及其他的摇导控
[1684.44-1685.44] 那也在中间的过程中也有了一个访问
[1685.44-1686.44] 那也在中间的过程中也有了一个访问
[1686.44-1693.44] 中间的过程中我们也寻访了可能使用的潜在的船东
[1693.44-1696.44] 针对无人船他们可能需要什么样的性能
[1696.44-1699.44] 我们把整个无人船做了一个系统的架构
[1699.44-1702.44] 也在去年的12月
[1702.44-1706.44] 我们第一艘的无人艇事实上已经下水
[1706.44-1708.44] 并且开始展开测试
[1708.44-1712.44] 那事实上我们在应该是今年的年初
[1712.44-1716.44] 我们董事长跟总经理有跟记者朋友做了一个讨论
[1716.44-1718.44] 我们董事长跟总经理有跟记者朋友做了一个讨论
[1718.44-1723.44] 那事实上我们也预告我们的无人艇会在今年的第一季正式发表
[1723.44-1727.44] 那目前这艘无人艇正在做比较
[1727.44-1731.44] 算是比较多的一个测试跟整合
[1731.44-1733.44] 我们预计
[1733.44-1734.44] 预计啦
[1734.44-1737.44] 3月上旬会正式
[1737.44-1740.44] 会正式有一个邀请的一个发表会
[1740.44-1744.44] 可能会通知相关的潜在的船东
[1744.44-1745.44] 就是我们业主
[1745.44-1749.44] 也会通知比较重要的包括军事跟经济的
[1749.44-1752.44] 财经的媒体
[1752.44-1755.44] 来做一个现场的采访
[1755.44-1758.44] 希望到时候如果有机会的话
[1758.44-1763.44] 相关的投资人或者是媒体能够了解
[1763.44-1767.44] 我想针对这部分是我们目前的一个计划跟发展
[1767.44-1773.44] 好谢谢我们周副总经理针对我们UAV的发展计划跟进展来做说明
[1773.44-1774.44] 好谢谢我们周副总经理针对我们UAV的发展计划跟进展来做说明
[1774.44-1775.44] 好谢谢我们周副总经理针对我们UAV的发展计划跟进展来做说明
[1775.44-1779.44] 接着有我们的投资先进有问到
[1779.44-1782.44] 海船公司未来是否还有任何
[1782.44-1785.44] 所谓的离岸风电工作船的造舰计划
[1785.44-1788.44] 这一部分跟各位媒体说明
[1788.44-1791.44] 这个部分到目前为止也没有
[1791.44-1795.44] 明显接到有船东来寻价
[1795.44-1800.44] 但是以台船来说已经接单到2030世上
[1800.44-1804.44] 即使有要再讨论也不会比2030年更多
[1804.44-1805.44] 即使有要再讨论也不会比2030年更多
[1805.44-1806.44] 即使有要再讨论也不会比2030年更多
[1806.44-1807.44] 我们的讨论金额也是很早的档期
[1807.44-1810.44] 所以预期船东应该是不太会接受
[1810.44-1813.44] 2031年以后来造离岸风电工作船
[1813.44-1814.44] 所以预期船东应该是不太会接受
[1814.44-1817.44] 2031年以后来造离岸风电工作船
[1817.44-1818.44] 2020年以后来造离岸风电工作船
[1818.44-1822.44] 另外接着我们的法人问有关台船环海的营收
[1822.44-1825.44] 另外接着我们的法人问有关台船环海的营收
[1825.44-1829.44] 有如并入损利表2025的展望
[1829.44-1833.44] 这一部分我们跟各位媒体说明营收不合适
[1833.44-1836.10] 是說但是損益表有
[1836.10-1839.90] 那大概去年有貢獻50%
[1839.90-1843.30] 大概有8億多的這個給我們
[1843.30-1845.70] 但是基本上營收就不合適
[1845.70-1847.22] 來說明
[1847.22-1849.82] 那2025的展望剛剛有提到
[1849.82-1851.96] 還是屬於樂觀的
[1851.96-1852.92] 因為有蜂廟
[1852.92-1855.68] 還有一些已經承攬的合約
[1855.68-1857.90] 所以2025的展望是樂觀的
[1863.44-1869.70] 好接下來有我們的投資
[1869.70-1873.98] 投資者在問萬海是否已經簽了約
[1873.98-1876.38] 那潛在的業務是說萬海
[1876.38-1877.52] 還有其他的行商
[1877.52-1881.76] 這部分我們跟所謂的投資朋友說明
[1881.76-1883.50] 我們已經簽約了
[1883.50-1885.54] 我們已經簽約了
[1885.54-1890.20] 1月15已經在我們剛剛李處長的簡報
[1890.20-1892.90] 有說明所謂的12加4
[1892.90-1893.42] 因此我們已經簽約了
[1893.42-1898.06] 因此12艘的合約已經在1月15已經簽了
[1898.06-1899.70] 那其他的行商
[1899.70-1901.48] 那我們剛剛有提到
[1901.48-1904.92] 就是說我們目前的主檔已經到2030
[1904.92-1906.76] 因此即使後續
[1906.76-1909.46] 無論有其他的任何的新船案
[1909.46-1912.76] 那是不是可以變定檔來建造等等
[1912.76-1917.50] 那就會看我們後續這個船都需要的檔期
[1917.50-1920.30] 還有他的這個預算成本等等
[1920.30-1923.38] 那台船就擇優來做建造
[1923.42-1926.82] 那接下來一題是我們有投資朋友們問到
[1926.82-1930.90] 那接下來一題是我們有投資朋友們問到
[1930.90-1935.30] 一般下的船的訂單交貨大概要多久
[1935.30-1937.46] 那這一部分可能要稍微說明
[1937.46-1939.50] 事實上所謂的交船
[1939.50-1942.46] 這個可以有訂約到交船
[1942.46-1945.58] 這個是跟船型有很大的差別
[1945.58-1949.02] 比如說我們如果談到商船
[1949.02-1951.46] 那可能從開工到交船
