[0.00-1.00] 介紹一下
[275.00-278.00] 其實今年已經剛好要滿50年了
[278.00-281.00] 那我們提供自行車行業還有各種運動器材的
[281.00-285.00] 包括貼標幫助客戶提高他的產品規格價值
[285.00-289.00] 那目前政生集團在臺灣大陸越南以及荷蘭
[289.00-291.00] 都有4個社區
[291.00-293.00] 有4個生產工廠
[293.00-295.00] 那整個政生在全球的佈局
[295.00-297.00] 現在合計員工有超過600人
[297.00-300.00] 各位先看一下這邊
[300.00-303.00] 這個紅點不是很清楚
[303.00-305.00] 那這裡剛好照片上面的臺灣總廠
[305.00-307.00] 現在我們最大的一個生產基地
[307.00-308.00] 就是臺灣總廠
[308.00-309.00] 所以營業最高的部分
[309.00-313.00] 那另外我們在海外的生產廠據點有3個
[313.00-315.00] 在1999完成的普建廠
[315.00-317.00] 還有1999完成的越南廠
[317.00-319.00] 以及我們後續的併購的荷蘭廠
[319.00-320.00] 另外還有我們
[320.00-321.00] 我們現在的生產工廠
[321.00-325.00] 還有在大通貨店有3個營運中心
[325.00-327.00] 那在後面下面的篇幅那邊
[327.00-329.00] 我會跟各位投資先進來報告
[329.00-333.00] 介紹我們整個全球佈局的部分的一個現有的概況
[333.00-337.00] 接著跟各位在座的投資先進報告
[337.00-344.00] 政生的近6年來的一個重要的事情發展的狀況
[344.00-348.00] 我們政生進來在2018年19年的那兩年部分
[348.00-350.00] 我們在設立的第二歐
[350.00-353.00] 設立歐洲的政生來準備來併購
[353.00-355.00] 荷蘭的Double Press這個印刷廠
[355.00-358.00] 在2019年完成了那併購
[358.00-360.00] 成為政治成為政治的子公司
[360.00-362.00] 所以我們在歐洲有正式的生產據點
[362.00-365.00] 同時在2019年當年
[365.00-368.00] 我們那個投射的那個越南廠的部分
[368.00-369.00] 正式完工
[369.00-370.00] 在這裡
[370.00-373.00] 在越南廠的部分正式完工開始投產
[373.00-376.00] 在2020年和21年的部分
[376.00-378.00] 其實這三年的部分
[378.00-379.00] 我們
[379.00-381.00] 我們陸續的完成
[381.00-382.00] 設廠和併購的部分
[382.00-384.00] 2020年和21年的部分
[384.00-386.00] 就是把我們的福建廠
[386.00-389.00] 現在海外生產最大的那個生產據點的部分
[389.00-390.00] 福建廠的部分
[390.00-392.00] 完成建廠
[392.00-393.00] 正式開始投產
[393.00-395.00] 我們把泰山和天津
[395.00-398.00] 我們為了整體的營運上更有效率
[398.00-400.00] 也讓大中華區的狀況
[400.00-405.00] 整個境狀更能夠更有符合張地的那個法律的需求
[405.00-407.00] 我們把我們泰山和天津廠
[407.00-409.00] 併入華南的那個那個
[409.00-410.00] 土建廠的部分
[410.00-411.00] 在2022年的部分
[411.00-412.00] 我們開始
[412.00-414.00] 剛剛我們的發言人這邊
[414.00-416.00] 洪董事有跟各位在這頭對先進有話過
[416.00-418.00] 就是我們的一個
[418.00-422.00] 上市公司的企業經營的一個重點目標
[422.00-424.00] 一直去方向第一步的部分開始
[424.00-427.00] 就是第一期的太陽能發電
[427.00-428.00] 我們開始導入
[428.00-430.00] 南南廠481的部分
[430.00-433.00] 然後也開始導入的那個14064的那個
[433.00-435.00] 主力型碳燃廠的部分
[435.00-437.00] 第一部第一期的部分
[437.00-438.00] 這邊到後面
[438.00-440.00] 我會跟各位來報告這個相關的事項
[440.00-442.00] 那在2022年當時
[442.00-445.00] 我們也在公司治理方面有很重要的里程碑
[445.00-447.00] 就是我們也同時通過了
[447.00-449.00] ISO415
[449.00-451.00] 保持壓延前衛生的認證的部分
[451.00-453.00] 那在2023年的部分
[453.00-456.00] 我們正式加入了自行車永續聯盟
[456.00-458.00] 那就是在自行車行業在之前
[458.00-461.00] 我們為了整個自行車行業為了轉型
[461.00-464.00] 在大概在2020年年代的時候
[464.00-466.00] 從吉安特有發起過一個A-Team的組織
[466.00-467.00] 然後呢組織打開了
[467.00-469.00] 他的目標之後
[469.00-473.00] 為了永續經營整個ESG這個方向
[473.00-475.00] 自行車行業的部分也是用吉安特集團的
[475.00-477.00] 劉永昌董事長
[477.00-480.00] 他來發起的那個自行車永續聯盟DAS的部分
[480.00-483.00] 鄭真也是這裡面理事會的成員之一
[483.00-485.00] 那另外就是在去年
[485.00-486.00] 2023年的部分
[486.00-489.00] 我們正式成立了我們ESG委員會
[489.00-490.00] 那在同時在2024年的話
[490.00-492.00] 也任命我們的李天耀協理
[492.00-493.00] 李彥霖協理
[493.00-495.00] 擔任我們的永續長
[495.00-496.00] 永續長
[496.00-497.00] 今天他也請他來委會
[497.00-499.00] 跟各位投資心情的互動
[499.00-502.00] 來跟各位來交通
[502.00-505.00] 所有我們現有的我們ESG方面的部分
[505.00-508.00] 永續經營的部分的一個相關的事項
[508.00-509.00] 那在2023年
[509.00-511.00] 我們也開始導入第二期
[511.00-512.00] 他能發電的部分
[512.00-514.00] 就持續做再減碳的部分
[514.00-517.00] 持續再繼續做他資本支出的部分的一個工作
[517.00-520.00] 去年的部分2024年的部分
[520.00-522.00] 在我們重點的事情
[522.00-525.00] 跟各位報告就是我們取得的那個資安認證
[525.00-527.00] ISO2007的部分
[527.00-529.00] 那今年也持續在做的部分
[529.00-531.00] 就是我們在今年部的認證的部分
[531.00-535.00] 會更版到那個最新版的ISO27000的部分
[535.00-537.00] 其實已經管會的要求的部分
[537.00-539.00] 對上市公司也有資本額的部分
[539.00-541.00] 現階段我們雖然並沒有被強
[541.00-544.00] 要做這個實驗並沒有被強制他認證
[544.00-546.00] 那我也為了讓投資大眾
[546.00-548.00] 投資者放心的部分
[548.00-550.00] 這些相關的認證我們會先去取得
[550.00-551.00] 先取得
[551.00-553.00] 那在那個部分
[553.00-555.00] 在2024年的部分
[555.00-557.00] 我們正式拿到的部分就是
[557.00-561.00] 我們的ISO14064的組織型碳盤查證的報告
[561.00-563.00] 那也發佈了第一版本
[563.00-565.00] 第一版本2023年度的
[565.00-567.00] 我們永續報告ESG
[567.00-568.00] 就是所謂ESG報告的部分
[568.00-570.00] 我們現在在我們官網都有連結可以下載
[570.00-573.00] 來讓我們所有投資大眾知道
[573.00-575.00] 正正在做ESG的部分
[575.00-577.00] 所進行的所有的計畫
[577.00-579.00] 為什麼我會放這個大書
[579.00-582.00] 就在說這個是逐漸茁壯一個集團
[582.00-583.00] 我們的根基是穩的
[583.00-585.00] 讓投資人士能夠放心
[585.00-587.00] 讓他們能夠放心的
[587.00-588.00] 好
[588.00-590.00] 進一步來我想在投資
[590.00-593.00] 各個投資先進最要關心的部分
[593.00-594.00] 是振生的實際上
[594.00-596.00] 我們經營的賺了多少錢
[596.00-597.00] 整個狀況
[597.00-600.00] 剛剛洪董事也跟各位有提到
[600.00-602.00] 在現在的環境
[602.00-603.00] 外在環境整合
[603.00-606.00] 雖然今年度還是蠻辛苦
[606.00-608.00] 換作環境挑戰很多狀況之下
[608.00-610.00] 那我們在今年的第一季
[610.00-611.00] 第一季的部分
[611.00-613.00] 各位看到在說我們的毛利率
[613.00-615.00] 達到49%-20%
[615.00-618.00] 這是在振生在第一季裡面
[618.00-620.00] 在整個上市之後
[620.00-621.00] 除了疫情
[621.00-624.00] 疫情的第二年內有最高毛利率之外
[624.00-626.00] 今年的第一季毛利率是最高的
[626.00-630.00] 今年的第一季我們營業額是3億05,592萬
[630.00-633.00] 營業的毛利是1億5000多萬
[633.00-634.00] 毛利率49.20%
[634.00-636.00] 稅後基率是6400多萬
[636.00-638.00] 我們每股營業將近到一塊台幣
[638.00-640.00] DPS第一季大概一塊台幣
[640.00-642.00] 我們跟去年比較的話
[642.00-644.00] 去年的第一季我們去年已經在相對的
[645.00-647.00] 進行行業
[647.00-650.00] 去年狀況已經沒有回復的狀況之下
[650.00-652.00] 我們已經在有成長的狀態
[652.00-654.00] 去年第一季是EPS是0.57
[654.00-656.00] 那營業毛利率是43.0
[656.00-658.00] 各位看到在今年第一季和去年第一季
[658.00-661.00] 是相對的整個成長的幅度是非常的大
[661.00-666.00] 那是整個在董事長跟董事會的領導之下
[666.00-667.00] 代表經營團隊
[667.00-670.00] 達到一個全體員工同心合力達到的結果
[670.00-672.00] 那2024年的部分
[672.00-675.00] 在今年剛剛我們的發言人也跟各位報告了
[675.00-677.00] 我們去年度的EPS每股13.01
[677.00-679.00] 我們預期配息是2.55塊台幣
[679.00-682.00] 去年的部分比23年度也是兩位數的成長
[682.00-687.00] 那今年度第一季成長的幅度大概在EPS的部分成長70%
[687.00-690.00] 那我們的營業額的部分第一季跟去年同期
[690.00-694.00] 成長了將近26%的一個成長的幅度
[698.00-703.00] 在鼓勵政策這邊跟各位投資先進報告就在於說
[703.00-706.00] 為什麼把這一頁特別要再highlight一下
[706.00-709.00] 這近四年來我們對股東的部分
[709.00-711.00] 在鼓勵的政策一直在於說
[711.00-715.00] 我們會把我們所賺的錢進最大的比率回饋
[715.00-718.00] 回饋給我們的投資大眾
[718.00-720.00] 在2021年2021年
[720.00-723.00] 我們那年的EPS是6.1塊
[723.00-727.00] 那我們那邊現金配息是6.5塊
[727.00-730.00] 那當然是這個部分是有超過一把是因為前一年度
[730.00-732.00] 我們有業外收入的部分
[733.00-736.00] 我們在2022年配息給我們的所有的股東
[736.00-738.00] 那在2022年各位看到
[738.00-741.00] 我們那年度配息的比例是達到86%
[741.00-744.00] 是那年EPS是4.43我們配了3.8塊
[744.00-747.00] 那在2023年去年
[747.00-749.00] 2022年雖然相對於2023年的話
[749.00-752.00] 我們去年配息2022年配2023年的時候
[752.00-758.00] 雖然在2023年整體的這個大環境真的不是很好的狀況
[758.00-760.00] 那我們的EPS是1.88
[760.00-763.00] 那我們為了讓回饋我們的股東
[763.00-765.00] 我們所有的股東
[765.00-767.00] 我們調整了我們的保留益之後
[767.00-770.00] 我們去年的配息是一股配了2塊錢
[770.00-772.00] 那在今年的部分剛剛公佈的話
[772.00-774.00] 我們在去年EPS301
[774.00-776.00] 那我們是有85%
[776.00-777.00] 我們回饋我們的股東
[777.00-779.00] 就配息是2.5塊
[779.00-782.00] 所以投資政策是最好的一個以來講
[782.00-785.00] 你要來我們現金指利率來講的話
[785.00-787.00] 是非常非常好的一個投資標的
[787.00-789.00] 而且真的是整個整體狀況
[789.00-791.00] 我們經營的狀況是非常的穩健
[791.00-793.00] 剛剛前面各位報告第一季的狀況是真的非常穩健的
[793.00-794.00] 不錯
[794.00-797.00] 那會前剛剛我們的那個郭鋒兄
[797.00-802.00] 跟我們非常熟悉的黃國鋒研究員的部分
[802.00-803.00] 特別有我們狀況
[803.00-805.00] 我想到後續跟我們後面跟各位報告
[805.00-807.00] 在未來的今年度的展望
[807.00-809.00] 我們還是相對的審慎的樂觀
[809.00-811.00] 審慎樂觀
[811.00-813.00] 在我們的整體的
[813.00-816.00] 正式的客戶群裡面的營業比重的部分
[816.00-819.00] 在2024年度來講的話
[819.00-821.00] 去年我們整體客戶群
[821.00-822.00] 呃
[822.00-825.00] 在經歷疫情之後的爆衝
[825.00-827.00] 然後2023年度
[827.00-829.00] 那個市場調節開始往下
[829.00-831.00] 那2024年的部分
[831.00-834.00] 我們去年是開始已經是有兩雙月的成長
[834.00-838.00] 那整個我們所有的客戶的那個部分的來講
[838.00-840.00] 都開始在一個部署的狀態
[840.00-842.00] 都部署的狀態
[842.00-844.00] 但是在去年的部分比較特殊
[844.00-846.00] 就是在於說我們的
[846.00-848.00] 費事級的行業的客戶
[848.00-849.00] 客戶的部分
[849.00-852.00] 他在疫情的爆起爆成的狀況之後
[852.00-855.00] 他成長的狀況是比較穩定的
[855.00-857.00] 所以在去年度的話
[857.00-859.00] 我們的運動器材客戶群包含的
[859.00-860.00] 呃
[860.00-862.00] 在我們不管是台灣或是在福建廠
[862.00-865.00] 有在交過的高爾夫球的部分
[865.00-867.00] 區分球和棒球棒
[867.00-869.00] 以及相關的運動行業的部分
[869.00-871.00] 我們比重來到了30%
[871.00-872.00] 30%
[872.00-875.00] 那其他行業的部分去年來到了10%
[875.00-877.00] 所以整個在去年我們營業比重
[877.00-879.00] 在一圈
[879.00-881.00] 整個我們全球的營業
[881.00-883.00] 營業的一個分配比例來講
[883.00-886.00] 去年達到費事行業的部分大概34%
[886.00-888.00] 那我們起家的生意
[888.00-892.00] 製品製造還是我們最重要的一個行業的一個生意比的部分
[892.00-894.00] 去年是66%
[894.00-896.00] 那各位看到是這整個
[896.00-898.00] 這整個大比
[898.00-899.00] 事實上是整個都長大了
[899.00-900.00] 去年是成長
[900.00-902.00] 那只是各個不同行業
[902.00-904.00] 他的成長比就不同
[904.00-905.00] 那下面品牌的部分
[905.00-907.00] 各位看到那個品牌都不在不在贅述
[907.00-909.00] 那包含像
[909.00-911.00] 設計車的幾個大的大的那個
[911.00-913.00] 品牌
[913.00-915.00] 吉安特、梅利達、迪卡農
[915.00-917.00] 然後GT
[917.00-919.00] 那個FOX RACING的部分
[919.00-920.00] 數聯
[920.00-922.00] 然後運動器廠的部分
[922.00-923.00] 我們有幾個行業的部分是在
[923.00-924.00] 佔我們世界第一
[924.00-926.00] 其實在自行車
[926.00-927.00] 然後還有高爾夫球
[927.00-929.00] 以及在棒球棒的部分
[929.00-930.00] 正正的
[930.00-933.00] 我們生產的貼標的交貨的那個比例
[933.00-936.00] 是在那個行業都是佔世界第一的一個比重
[936.00-938.00] 這個還是持續沒有變的
[938.00-940.00] 那其他行業的部分的發展的部分
[940.00-941.00] 那
[941.00-942.00] 在今年
[942.00-944.00] 去年2024年的部分
[944.00-946.00] 依舊的部分
[946.00-948.00] 那在摩托車的部分
[948.00-950.00] 在高階的摩托車的部分
[950.00-951.00] 我們持續
[951.00-954.00] 持續的繼續在開發和成長當中
[954.00-955.00] 那去年在持續的開發
[955.00-957.00] 今年應該會有個比較好的結果
[957.00-960.00] 那底下的部分像那個薩摩斯
[960.00-962.00] 然後做機車業表的COSO
[962.00-963.00] 在台南的部分
[963.00-965.00] 然後我們的那個GOGORO的部分
[965.00-968.00] 也持續在繼續在合作當中
[968.00-971.00] 接著跟各位投資先進來報告一下
[971.00-973.00] 正正為什麼能在市場上
[973.00-976.00] 持續維持這麼好的一個競爭優勢
[976.00-978.00] 因為我們有很好產品優勢
[978.00-980.00] 那我們怎麼達到這個事情
[980.00-981.00] 正正的產品
[981.00-982.00] 我們自己
[982.00-984.00] 本本就定位是價值創造者
[984.00-988.00] 是全方位外觀專事的那個解決方案
[988.00-990.00] 就是從英文的Total Decoration Solution
[990.00-993.00] 這塊部分的那個角色
[993.00-994.00] 我們翻譯過來的部分
[994.00-997.00] 那怎麼能達到讓客人的部分
[997.00-1000.00] 是一個價值創造的一個最好的一個夥伴
[1000.00-1002.00] 因為所有的客戶
[1002.00-1003.00] 像這邊的部分
[1003.00-1004.00] 像這個
[1004.00-1005.00] 這雙流冰鞋的部分
[1005.00-1006.00] 這流冰鞋各位看到
[1006.00-1007.00] 這流冰鞋的部分是
[1007.00-1009.00] 在加拿大最大的那個
[1009.00-1011.00] 驅棍球的品牌CCM
[1011.00-1012.00] 他來找我們做
[1012.00-1015.00] 他來找我們整個從開發的部分
[1015.00-1017.00] 整個去完成的部分
[1017.00-1019.00] 我們有900多個製程比
[1019.00-1022.00] 再從我們30多種不同的產品比
[1022.00-1024.00] 幫助客人去借由客戶
[1024.00-1026.00] 跟客戶一起做費用評估
[1026.00-1027.00] 在開發階段就費用評估
[1027.00-1028.00] 裝置工業評估
[1028.00-1030.00] 操作的條件的評估
[1030.00-1032.00] 怎麼樣最好操作平衡件
[1032.00-1035.00] 幫客戶達到什麼樣的一個方案
[1035.00-1037.00] 第一個他的個性化還有差異化
[1037.00-1039.00] 跟他的經驗的差異化
[1039.00-1041.00] 以及最佳的一個成本
[1041.00-1042.00] 像這個CCM就是這樣
[1042.00-1044.00] 他這個這雙冰鞋
[1044.00-1045.00] 這雙冰鞋
[1045.00-1046.00] 他在市場的material price
[1046.00-1049.00] 大概將近到700美金
[1049.00-1050.00] 這雙冰鞋的部分
[1050.00-1051.00] 這是很好的一個案子
[1051.00-1053.00] 他上面所謂的泰散標
[1053.00-1054.00] 他在開始的時候
[1054.00-1056.00] 他以前是用移印的方式去處理
[1056.00-1058.00] 那跟我們這邊開始接觸之後
[1058.00-1060.00] 他在前年開始去
[1060.00-1062.00] 開發這個部分的一個
[1062.00-1064.00] 特殊的一個部分
[1064.00-1066.00] 他在市場上的整個銷售
[1066.00-1068.00] 就開始爆衝出來
[1068.00-1070.00] 那就是我們能達到我們的部分
[1070.00-1072.00] 幫客戶達到最好的價值
[1072.00-1076.00] 創造一個角色
[1076.00-1077.00] 那我們Core Value
[1077.00-1078.00] 我們核心的理念
[1078.00-1080.00] 我們董事長也是我們創辦人
[1080.00-1081.00] 洪釗宇董事長
[1081.00-1082.00] 對我們經營團隊
[1082.00-1084.00] 一直有一個很大的一個勉勵
[1084.00-1085.00] 也是要求就是
[1085.00-1088.00] 政生除了水和空氣
[1088.00-1089.00] 我們沒有不能承接的
[1089.00-1090.00] YF
[1090.00-1091.00] North area
[1091.00-1091.72] 皆さん也是
[1092.00-1093.00] 我們 Again
[1093.00-1095.00] 這次的 Behind
[1095.00-1096.00] 因為我覺得
[1096.00-1097.00] V celle
[1097.00-1098.00] 其實我們可以
[1098.00-1099.00] 指律上的
[1099.00-1100.12] 有了某種
[1100.12-1101.00] 有了資源主義的
[1101.00-1102.00] 共同的
[1102.00-1103.00] 勇敢地
[1103.00-1104.02] 說實話
[1104.02-1106.00] 現在 gem
[1106.00-1107.00] 這段一直有一段時間
[1107.00-1108.00] 我們的思考
[1108.00-1108.94] 但是他不是
[1108.94-1110.00] 全了
[1110.00-1112.00] 有太多的
[1112.00-1113.00] Dilight
[1113.00-1114.00] 也就是
[1114.00-1115.00] 對於我們
[1115.00-1117.00] 整個選舉部分
[1117.00-1118.00] 在市場上
[1118.00-1119.00] 就會有來臨的
[1119.00-1121.00] 產品的水定和製程的水定
[1121.00-1123.80] 幫助客人能夠在除了水和空氣
[1123.80-1126.80] 我們這身沒有不能承接的外觀裝飾任務
[1126.80-1131.10] 也就是這幾年我們將來持續在市場上的競爭的很大的優勢
[1131.10-1135.10] 我們有這些製程上的一些客製化的製程
[1135.10-1137.90] 以及產品別的部分幫客人去搭配的時候
[1137.90-1140.90] 能夠幫客人的外觀裝飾任務完美的達成
[1143.60-1145.00] 這裡有很好的案例
[1145.00-1147.10] 剛剛講的除了水和空氣之外
[1147.10-1148.70] 我們沒有不能達成的裝飾任務
[1148.70-1149.80] 但這裡剛好
[1149.80-1151.10] 各位可以其實在會後
[1151.10-1154.30] 也可以跟我們永巨長呂學禮來告
[1154.30-1156.30] 他可以跟各位分享這個案例
[1156.30-1158.80] 這是吉安特的女性
[1158.80-1162.30] 她的最高階的Leap的車種
[1162.30-1165.80] 這個單價的市場大概超過20萬台幣
[1165.80-1167.50] 15到20萬台幣以上
[1167.50-1171.00] 我們跟客戶整個做的部分在說
[1171.00-1172.10] 客戶在這個部分
[1172.10-1174.70] 他除了其實自行車講坦白
[1174.70-1177.90] 除了部分的關鍵民主建像便術之外
[1177.90-1178.50] 主平車
[1178.50-1179.30] 自行車Bicycle
[1179.30-1182.80] 他就是兩個輪子加車架做出來
[1182.80-1185.80] 你如果在市場上能夠去凸顯出來
[1185.80-1188.60] 能夠再是最有吸引力的產品
[1188.60-1190.60] 我們正身的一個角色
[1190.60-1192.90] 是幫助客人是他的商品最好的一個
[1192.90-1194.90] Make up the artist
[1194.90-1196.80] 是客人在做價值創造過程中
[1196.80-1198.20] 不可或缺力量
[1198.20-1199.20] 我們怎麼做的部分
[1199.20-1201.20] 跟客戶在開發階段就開始去
[1201.20-1205.70] 就開始去一起來參與他的計畫
[1205.70-1207.10] 創造他的產品獨特性
[1207.10-1207.70] 提高複雜性
[1207.70-1208.80] 這兩個車子的部分
[1208.80-1210.10] 他上面的商標
[1210.10-1212.30] 這都是我們最特殊的
[1212.30-1213.90] 我們叫做混搭標的部分
[1213.90-1215.40] 再加我們泰省的系列
[1215.40-1216.20] 我們在各位
[1216.20-1220.10] 在後面的櫃子那邊
[1220.10-1222.10] 我現在在左邊的後面櫃子那邊
[1222.10-1223.70] 我們有實際帶一些樣品過來
[1223.70-1226.50] 可能有的是第一次來看我們產品
[1226.50-1227.20] 才會跑出來的
[1227.20-1228.60] 我先待會會後
[1228.60-1230.50] 不過我們可以來跟各位做個介紹
[1230.50-1232.90] 這兩個車子的部分都是在客戶
[1232.90-1234.70] 他在開發階段就來我們公司
[1234.70-1236.90] 跟我們的業務事業單位直接來做
[1237.70-1239.20] 做產品開發會議
[1239.20-1241.20] 然後達成他這個部位的效果
[1241.20-1243.70] 在市場上是獨一無二最漂亮的
[1243.70-1246.70] 就是他的價值能夠
[1246.70-1248.90] 除了是在他的自行車
[1248.90-1252.70] 本身專業的那個技術涵養價值之外
[1252.70-1254.20] 他的商品的吸金面
[1254.20-1256.90] 和他的整體的那個感覺的價值部分
[1256.90-1258.40] 能夠達到最好最高的境界
[1258.40-1260.50] 讓消費者願意去買單
[1260.50-1264.70] 去買到這麼高價值的產品
[1264.70-1266.10] 那我們有這些能力
[1266.10-1267.70] 那我們後續的生長動亂在哪裡
[1267.70-1271.20] 那ChessR這邊
[1271.20-1273.20] 我在各位看到在剛各位前面
[1273.20-1274.20] 跟各位發告在說
[1274.20-1275.70] 我們在自行車行業
[1275.70-1276.70] 高普及油產業
[1276.70-1277.70] 棒球彈產業
[1277.70-1282.20] 然後我們的北美高階機車的市場
[1282.20-1283.20] 那虛擬球的部分
[1283.20-1284.20] 這幾個行業來講
[1284.20-1284.70] 這裡有四
[1284.70-1286.20] 這裡我先列行業裡面
[1286.20-1288.20] 包含自行車高級普及油棒球棒
[1288.20-1289.20] 虛擬球的部分
[1289.20-1290.20] 在世界上來講的話
[1290.20-1292.20] 我們的商標貼標的部分
[1292.20-1294.20] 公有的那個比率是第一
[1294.20-1295.70] 都是世界第一的部分
[1295.70-1297.20] 那這個部分
[1297.70-1298.70] 現有的部分
[1298.70-1299.70] 正在成長作用的部分
[1299.70-1302.70] 包含高階機車的裝飾貼標的部分
[1302.70-1304.70] 其他物品別的包含皮克拍
[1304.70-1306.70] 我們的運動器還有跑步機的部分
[1306.70-1309.70] 像這個是我們的現有的其中一個客戶
[1309.70-1310.70] 名稱根本上模式
[1310.70-1311.70] 和其他用品
[1311.70-1313.70] 這Ted Becker的行李箱
[1313.70-1315.70] 這次為您提出來這塊的部分在於說
[1315.70-1319.20] 在我們的現有的全球的佈局
[1319.20-1320.70] 除了臺灣總廠之外
[1320.70-1322.20] 我們像我們福建廠
[1322.20-1323.20] 福建廠這邊
[1323.20-1325.20] 他幫忙的開始琢磨我們這些
[1325.20-1327.70] 像皮克拍上模式的部分
[1327.70-1329.70] 然後剛剛Ted Becker的行李箱的生產
[1329.70-1330.70] 以及其他民生用品
[1330.70-1332.70] 就是已經慢慢我們一直走出來
[1332.70-1335.70] 除了自行車老本家絕對要顧好
[1335.70-1337.70] 繼續把佔有率提高之外
[1337.70-1339.20] 其他行業也繼續擴展
[1339.20-1340.70] 像我們的荷蘭廠
