[0.00-4.52] 各位线上参与我们法说会的投资先进媒体朋友们
[208.72-211.38] 比上个季度的2.04亿的部分
[211.38-213.52] 大概减少了22%
[213.52-217.90] 这是这个季度的经营的成绩的状况
[217.90-223.96] 其次我们看到YY的一个比较来看的话
[223.96-227.94] 因为今年的第一季跟去年2024第一季
[227.94-229.88] 这两期的报表的编制基础
[229.88-231.00] 有一些不太一样
[231.00-233.86] 各位投资人可能应该还有印象
[233.86-236.24] 我们在2024年的6月底
[236.24-238.68] 我们把历程西安的
[238.72-240.64] 账上的资产以人员的部分
[240.64-242.22] 移转给交易的对手
[242.22-244.68] 所以在去年2024的第一季
[244.68-246.70] 不管是第一季或第二季里头
[246.70-248.32] 相关的营收损益里头
[248.32-251.90] 它还含的历程西安的一个影响数
[251.90-253.46] 所以我们可以看到
[253.46-257.90] 去年的第一季183.29亿的营收里头
[257.90-259.26] 含着西安的营收
[259.26-261.60] 今年2025的第一季部分
[261.60-264.22] 154.90亿并没有含着西安营收
[264.22-267.12] 所以这边减少了28亿的部分来讲的话
[267.12-268.70] 主要有不少的营收
[268.72-269.48] 几个部分
[269.48-273.72] 一个是低润的影响大概减少了将近11亿
[273.72-275.68] 其次是比较大的部分
[275.68-278.40] NameFresh部分这边减少了将近14亿
[278.40-281.32] 其次是SSD的部分大概减少了将近9亿
[281.32-283.98] 所以这三个主要的产品方面
[283.98-287.10] 造成了营收减少28亿的原因
[287.10-288.38] 毛利率的部分来讲
[288.38-291.40] 这一季的产品组合比去年同期来得好
[291.40-293.66] 所以即使营收减少28亿
[293.66-297.40] 我的毛利率的部分也从17.5微幅减少0.4
[297.40-298.70] 来到17.4
[298.72-301.72] 所以这一季的营收减少了17.1个百分比
[301.72-303.72] 管销营的费用部分
[303.72-306.72] 去年同季是11.6而已
[306.72-308.72] 这个季度来讲大概10.91
[308.72-311.72] 减少的部分除了刚刚所谈到的
[311.72-313.72] 季奖金的体力的这一季没有之外
[313.72-315.72] 还有一些费用降减的部分
[315.72-318.72] 所以这一季的费用来得减少
[318.72-320.72] 占比部分会上升
[320.72-324.72] 主要是因为营收的分目比较低的关系
[324.72-326.72] 所以造成占比部分有上升
[326.72-327.72] 业外的部分
[327.72-329.72] 在同季的6亿7400里头
[329.72-332.72] 大约含了将近有6亿的汇兑利益
[332.72-335.72] 所以这个季度里头的2亿5600
[335.72-337.72] 只含了8000万的汇兑利益
[337.72-341.72] 所以造成业外的部分来讲也比上一季来得减少
[341.72-342.72] 整个总额来看
[342.72-347.72] 从去年同季的21亿这一季度减少到15.78亿
[347.72-352.72] EPS的部分从2.32减少到1.58
[352.72-356.72] 大约减少了大约是0.74这样的一个幅度
[356.72-359.72] 在报表右手边各位可以看到
[359.72-362.72] 在正常的报表里头
[362.72-364.72] 我们有含着一个息案的部分
[364.72-368.72] 我们为了方便投资人来比较未来的一个损益的部分
[368.72-370.72] 在画面的右手边里头
[370.72-372.72] 我们把息案的影响数把它拿掉的时候
[372.72-374.72] 这个时候损益状况会怎么样子呢
[374.72-375.72] 各位可以看到
[375.72-378.72] 去年如果把息案的一个营收减少的话
[378.72-383.72] 会从183.29亿的营收减少到16.7亿
[383.72-386.72] 167.3亿的部分减少了将近有10亿的营收
[386.72-390.72] 这个部分主要是息案的营收所贡献的部分
[390.72-391.72] 所以YY的比较
[391.72-393.72] 如果把这部分拿掉的话
[393.72-397.72] YY的减少幅度大约来到7.4的部分
[397.72-401.72] 毛利率的部分也从去年同期的17.5
[401.72-403.72] 会增加到18.1
[403.72-405.72] 因为息案的cost model的关系
[405.72-409.72] 所以它的平均的毛利率是低于正常的corporate average的部分
[409.72-412.72] 所以当把比较低的毛利率的部分拿掉的时候
[412.72-414.72] 这个毛利率反而有上升的部分
[414.72-416.72] 那费用率的部分呢
[416.72-418.72] 在息案的经营上来讲
[418.72-420.72] 因为在息案的经营上来讲
[420.72-422.72] 都只有管理费用
[422.72-426.72] 一个季度的部分大概是1000万
[426.72-428.72] 所以从去年的部分
[428.72-432.72] 11亿6千万的部分大概减少到11亿5千万的部分
[432.72-435.72] 这边主要的是管理费用的一个减少
[435.72-438.72] 所以如果以息案的部分来看的话
[438.72-442.72] 息案的营收减少的确造成是我营业经历的部分
[442.72-445.72] 从20.45亿会减少到18.73亿
[446.72-448.72] 从20.45亿的一个对比来看的话
[448.72-450.72] 大概减少1.2个百分点
[450.72-452.72] 我想这样两个报表的一个比较
[452.72-454.72] 会方便各位投资人
[454.72-458.72] 未来在比较PTI未来的正常损益的时候
[458.72-462.72] 会有更清楚的一个比较的基础
[462.72-464.72] 那接着跟各位报告
[464.72-466.72] 截至到今年3月底
[466.72-468.72] 我们的资产负债的状况
[468.72-470.72] 各位可以看到
[470.72-474.72] 在今年3月底我们的总资产来到1079.95亿
[474.72-477.72] 去年第四季的1091亿的部分
[477.72-480.72] 大约减少了将近有11亿的部分
[480.72-482.72] 那减少的部分主要是在负债面
[482.72-486.72] 今年的负债3月底的负债来到350而已
[486.72-490.72] 比去年第四季的374亿来讲的话
[490.72-491.72] 大概减少了11亿
[491.72-495.72] 因为持续的帮多余的资金进行偿还
[495.72-500.72] 所以我们的负债比例也从去年第四季的34%的部分
[500.72-502.72] 持续下降到32.6
[502.72-504.72] 我想这样的一个负债比率
[504.72-507.72] 对于今年度我们的KPX的部分
[507.72-509.72] 或者是不管是买设备也好
[509.72-511.72] 或者是对外未来进行投资的部分
[511.72-513.72] 我想这样的一个财务结构
[513.72-515.72] 财务的负担对PDA来讲
[515.72-518.72] 都不会是构成一个主要的考量点
[518.72-520.72] 其次各位可以看到
[520.72-523.72] 我的每股的净值的部分
[523.72-526.72] 也从去年第四季的74.77的部分
[526.72-528.72] 因为持续的获利的关系
[528.72-530.72] 所以到了3月底的部分
[530.72-533.72] 3月底的每股净值也增加到76.19亿
[533.72-540.72] 我想以上是目前PDA到3月底相关的经营损益
[540.72-542.72] 以财务概况跟各位做个说明
[542.72-550.72] 谢谢财务长
[550.72-554.72] 接下来请执行长就业务及产业状况做说明
[554.72-559.72] 各位投资先进及美利界朋友
[559.72-561.72] 大家午安大家好
[561.72-562.72] 我是Boris
[562.72-565.72] 我是立成集团的执行长
[565.72-569.72] 因为今天我们报告的是整个集团的成绩
[569.72-573.72] 所以大部分由我来负责
[573.72-576.72] 刚刚我们的财务长已经讲过了
[576.72-581.72] 我们的第一季的营收确实是比去年的第四季
[581.72-589.72] 也比去年的同期有蛮大的declined
[589.72-591.72] QOQ是9.4%
[592.72-595.72] revenue的减少
[595.72-599.72] Gross margin是1.2个百分比
[599.72-602.72] EPS是1.58
[602.72-605.72] 比起去年的第四季2.04
[605.72-609.72] 跟去年的第一季同期的2.32
[609.72-611.72] 都是有蛮大的减少
[611.72-613.72] 我想最主要的原因是
[613.72-616.72] 这是我们在我们的预期之内
[616.72-621.72] 因为整个的生意在Q1的时候确实是比较slow
[621.72-624.72] 而且工作天数也比较少
[624.72-627.72] 还有NAND Flash上面他们有减产
[627.72-630.72] 因为需求大量
[630.72-632.72] 所以需求大量减少
[632.72-637.72] 所以他们的生产的数量确实有在调降
[637.72-644.72] 所以这个是我们的第一季的Key Financial Results
[644.72-647.72] 我们这一页的话
[647.72-651.72] 我们第二页我们谈到就是我们的By Service部分
[651.72-653.72] Q1 By Service
[653.72-657.72] 测试部分的话我们占我们的23个百分比
[657.72-660.72] SIP跟Module部分8个百分比
[660.72-665.72] Packaging部分就是Assembly部分占69个百分比
[665.72-670.72] 刚刚讲整个revenue的话就是154.9亿
[670.72-675.72] 比起第四季的171亿减少
[675.72-677.72] 然后也被第一季
[677.72-679.72] 去年第一季也减少
[679.72-681.72] 这刚刚已经讲过了
[681.72-684.72] 测试部分是23个百分比
[684.72-687.72] SIP是8个百分比
[687.72-690.72] 所以你可以看到就是刚刚我们财务长讲到
[690.72-696.72] 就是因为NAND Flash的需求有明显的减缓
[696.72-699.72] SSD的部分的话当然是一样的
[699.72-703.72] SSD因为去年他们有必须有库存
[703.72-707.72] 所以在Q1的时候就很明显的减少
[707.72-709.72] 这个事实上这个跟关税
[709.72-711.72] 对等关税是
[711.72-713.72] 那个时候是还没有发生的
[713.72-718.72] 对等关税应该是到后来的
[718.72-719.72] 这样子
[719.72-724.72] 在下一页我们再看我们摆我们的Product部分
[724.72-726.72] Product部分的话也是一样
[726.72-729.72] 就是说DRAM是21个百分比
[729.72-732.72] NAND Flash是24个百分比
[732.72-735.72] 刚刚SIP Module是8个百分比
[735.72-738.72] 逻辑是47个百分比
[738.72-740.72] 所以你可以看很明显的一个最
[741.72-746.72] 这个的降幅是来自于NAND Flash相关
[746.72-748.72] 还有Module
[748.72-752.72] 因为Module大部分谈的就是SIP跟Module
[752.72-755.72] 谈的话这个很大部分是SSD的业务
[755.72-757.72] 当然有我们Power Module
[757.72-761.72] 还有我们一些相关的一些逻辑的SIP
[761.72-764.72] 但是最主要还是SSD的部分
[764.72-767.72] 所以NAND的部分掉的确实比较多
[767.72-769.72] 那整个结构来看的话
[769.72-771.72] 你可以看到我们的逻辑
[771.72-773.72] 是47个百分比
[773.72-779.72] 事实上这个是跟我们的原本的计划是相当的
[779.72-781.72] 就是说我们也期盼
[781.72-783.72] 就是说我们在记忆体上面
[783.72-786.72] 我们保持我们是世界第一
[786.72-789.72] 就是做OSET的Memory上面
[789.72-792.72] 我们是Domain最大的Market Share
[792.72-794.72] 我们是第一名的
[794.72-800.72] 我们也希望透过我们的整个的技术能力
[800.72-802.72] 我们可以发展我们的逻辑
[802.72-805.72] 那尤其在我们的Advanced Package那边
[805.72-808.72] 我们希望我们那边能够有一个长足的进步
[808.72-811.72] 事实上这个待会儿我再跟大家报告
[811.72-816.72] 谈到一些我们的Advanced Package
[816.72-818.72] 那在下一页
[818.72-821.72] 这个部分的话是之前我们也讲过
[821.72-824.72] 我们试着把我们的产品的
[824.72-826.72] 我们的市占率
[826.72-829.72] 在我们的By End Market来讲的话
[829.72-833.72] 看看我们的营收的分布情况是怎么样
[833.72-836.72] 第一个看到我们的
[836.72-839.72] 我们都是跟上一季比
[839.72-840.72] 上一季比的
[840.72-842.72] 第一个我们是Automotive部分
[842.72-848.72] Automotive部分包括EV还有ADAS Infotainment
[848.72-852.72] 这些相关的所谓的汽车车用的市场
[852.72-854.72] 那我们的市场还是
[854.72-857.72] 我们的占比还是有在进步
[857.72-859.72] 虽然整个汽车的
[859.72-862.72] 需求有在明显的下降
[862.72-865.72] 因为我们公司比
[865.72-868.72] 就是说我们的参与的市场比较稍微
[868.72-870.72] Advanced一点
[870.72-873.72] 我想这里面讲Advanced一点的话
[873.72-875.72] 你可能就想到是ADAS
[875.72-876.72] 事实上没有错
[876.72-877.72] 我们在ADAS上面
[877.72-881.72] 我们有非常好的成绩
[881.72-884.72] 我们在未来的几个季
[884.72-886.72] 甚至在年来讲的话
[886.72-889.72] 我们在ADAS上面的营收的贡献
[889.72-891.72] 会一直在增加
[891.72-892.72] 所以我们可以看到
[892.72-896.72] 虽然普通的IC类相关的
[896.72-898.72] 就是说像一些MCU
[898.72-901.72] 像一些POWER之类的
[901.72-903.72] 还有一些Audio的产品
[903.72-905.72] 那些比较Entry level
[905.72-908.72] 就是从大部分从Great Tank那边来的
[908.72-910.72] 那边的需求却是在下降
[910.72-912.72] 但是我们在做ADAS
[912.72-914.72] 在我们在一些Packaging
[914.72-918.72] 在我们的Valve Test跟Final Test部分的话
[918.72-921.72] 是有非常好的的展货
[921.72-923.72] 第二个就是Communication
[923.72-925.72] Communication部分的话
[925.72-927.72] 大概是持平的
[927.72-930.72] 上一季跟这一季23% 24%
[930.72-932.72] 事实上这是差不多的
[932.72-934.72] 那Computing部分的话
[934.72-936.72] 我们这一次是有下降
[936.72-939.72] 因为Computing它是含PC Server
[939.72-941.72] HPC跟Cloud
[941.72-942.72] Cloud Computing
[942.72-944.72] 那这个因为Q1的需求
[944.72-946.72] 确实是在明显的下调
[946.72-948.72] 那Consumer部分的话
[948.72-952.72] 我们27%跟28%的比较
[952.72-954.72] First Quarter是28%
[954.72-956.72] 那这个部分的话没有很大的变化
[956.72-957.72] 那这个部分的话
[957.72-959.72] 他们就所谓的TV
[959.72-961.72] IoT Game Camera
[961.72-963.72] PDA Smartphone之类的
[963.72-964.72] Smartphone
[964.72-965.72] 对不起叫Smartphone
[965.72-967.72] 不是Smartphone
[967.72-969.72] 那Industry部分的话
[969.72-971.72] 我们的占比差不多就
[971.72-973.72] 整个营收的差不多2%
[973.72-975.72] 是Shipped给Industry
[975.72-978.72] 那Industry部分就含Automation
[978.72-981.72] Medical Power Management之类的
[981.72-984.72] 包括我们的可能Power Module
[984.72-986.72] 我把它放在这边
[986.72-989.72] 那第六个就是我们AI Related
[989.72-992.72] AI Related可能你们马上想到就是
[992.72-994.72] 所谓的GPU
[994.72-995.72] 事实上Not only
[995.72-996.72] 因为它GPU旁边
[996.72-1000.72] 还是有很多相关的一些配套的IC
[1000.72-1003.72] 所以这个我们还是把它归类到AI
[1003.72-1005.72] 当然我们公司有做很多的AI
[1005.72-1007.72] 像我们有一些同行
[1007.72-1008.72] 就说他们可能就想
[1008.72-1010.72] 我做NVIDIA
[1010.72-1011.72] 我们做谁的
[1011.72-1012.72] 那我们事实上
[1012.72-1014.72] 我们也是做美国一家
[1014.72-1020.72] 我们做美国两家AI公司的相关的Machine Learning
[1020.72-1022.72] 或者是HPC
[1022.72-1024.72] 所以我们的占比的话是
[1024.72-1030.72] 从8%一直到我们的First Quarter的10%
[1030.72-1035.72] 那我们Expect它还是会在持续的增长
[1035.72-1037.72] 尤其在我们的现场
[1037.72-1039.72] 下半年这个部分
[1039.72-1041.72] 我们还会有持续的增长
[1043.72-1048.72] 那我们把第一季的整个Overview
[1048.72-1050.72] 大概述一下
[1050.72-1052.72] 这个第一个当然是Ramney
[1052.72-1055.72] 我刚刚讲过15.5个Billion
[1055.72-1060.72] 有17.1%的Goals Margin
[1060.72-1062.72] 低RAM部分的话
[1062.72-1063.72] 我们把它分为第一RAM部分
[1063.72-1064.72] 低RAM部分的话
[1064.72-1066.72] 我们的4Q24的需求批准
[1067.72-1071.72] 即营收年营收成还是减少
[1071.72-1072.72] 这是我们
[1072.72-1073.72] 我刚讲的是对不起
[1073.72-1076.72] 应该是EQ它是延续的
[1076.72-1078.72] 4Q下来的疲软
[1078.72-1080.72] 所以但年营收的话
[1080.72-1083.72] 即营收年营收还是呈现减少
[1083.72-1085.72] 那Mobile营收的话
[1085.72-1088.72] QQ是季节个位数
[1088.72-1091.72] YY是年增双位数
[1091.72-1094.72] 所以这个还是有一些增长
[1094.72-1096.72] 那Automotive部分的话
[1096.72-1099.72] 即营收年营收持续重贵位数的成长
[1099.72-1101.72] 我刚刚大概已经先讲过了
[1101.72-1103.72] 就是说Automotive事实上
[1103.72-1105.72] 它不是只有很简单的东西
[1105.72-1107.72] 因为它牵涉到未来
[1107.72-1109.72] 尤其未来的EV Car也好
[1109.72-1111.72] 或是所谓的Luxury Car
[1111.72-1116.72] 他们都对ADAS这边的需求会非常的多
[1116.72-1122.72] 那ADAS的IC来讲的话是非常的Advanced
[1122.72-1124.72] 我想他们应该大部分都是用
[1124.72-1125.72] 我想他们应该大部分都是用
[1125.72-1130.72] 我们台湾的T公司的所谓5纳米
[1130.72-1132.72] 3纳米
[1132.72-1136.72] 甚至可能会继续的往前迈进
[1136.72-1137.72] 可能到2纳米
[1137.72-1138.72] 但是我知道的话
[1138.72-1141.72] 现在他们是用到3纳米跟5纳米
[1141.72-1143.72] 那之前有用7纳米
[1143.72-1144.72] 大概是这样子
[1144.72-1146.72] 那在下一页
[1146.72-1148.72] 我们谈到NAME
[1148.72-1150.72] 刚刚有讲过NAME的Component
[1150.72-1155.72] 或者是Enterprise的需求都是减少的
[1155.72-1158.72] 尤其在我们的客户那边
[1158.72-1162.72] 就是所谓的NAME的Maker那边
[1162.72-1165.72] 他们甚至还有减产
[1165.72-1166.72] 尤其第一季
[1166.72-1170.72] 第一季的话看到明显的下滑
[1170.72-1173.72] 所以影响到我们整个的Limiting
[1173.72-1175.72] 就是NAME这边的
[1175.72-1177.72] 那在下一页
[1177.72-1180.72] 我们再看逻辑的部分
[1180.72-1182.72] 力存的合并营收
[1182.72-1184.72] 既营收是差不多持平
[1184.72-1186.72] 但是年的部分的话
[1186.72-1191.72] YY的部分还是高个位数的成长
[1191.72-1193.72] 这部分还是非常的正面
[1193.72-1197.72] 那之前我们在几次法手会有一时在提到
[1197.72-1202.72] 就是力存的逻辑部分的话
[1202.72-1203.72] 还是一直在增长
[1203.72-1206.72] 就是说因为可能当初的机器比较低
[1206.72-1208.72] 但是我们在几年前
[1208.72-1211.72] 我们开始投入很多的资源
[1211.72-1212.72] 尤其在未来
[1212.72-1214.72] 我们可能会在
[1214.72-1216.72] 所谓的Advanced Packaging那边的话
[1216.72-1223.72] 会带来Significant的Limiting的贡献
[1223.72-1225.72] 那超风部分的话
[1225.72-1229.72] 因为它也是我们的子公司
[1229.72-1232.72] 他们那边的客户持续出货
[1232.72-1234.72] 既营收是持平
[1234.72-1237.72] 年营收的话成长是双位数
[1237.72-1239.72] 尤其在超风那边
[1239.72-1242.72] 因为他们的客户比较小型的客户
[1242.72-1244.72] 对整个的世界的
[1244.72-1246.72] 变动是非常Sensitive
[1246.72-1248.72] 而且动作非常的快
[1248.72-1252.72] 所以他们在第三个月的时候
[1252.72-1256.72] 超风营收就已经达到14.5亿
[1256.72-1258.72] 那在Coffee期间当然很高
[1258.72-1260.72] 但是在Coffee过以后
[1260.72-1264.72] 他们曾经掉到剩下8亿多9亿
[1264.72-1266.72] 现在是Significant Girls
[1266.72-1270.72] 是因为面对的所谓的
[1270.72-1272.72] 对等关税的问题
[1272.72-1274.72] 他们有提早拉货
[1274.72-1278.72] 那Telapro跟Telapower这边的话
[1278.72-1281.72] 它既营收是增加的
[1281.72-1284.72] 年增是中高个位数
[1284.72-1286.72] 那Telapro那边
[1286.72-1288.72] 因为我们在我们的日本那边的话
[1288.72-1291.72] 因为他们的主要的几个客户
[1291.72-1293.72] 有稍微在做库存的调整
[1293.72-1298.72] 所以他们在日本那边比较Slow
[1298.72-1302.72] 那Telapower在台湾的经造成的部分的话
[1302.72-1308.72] 因为我想我们的测试平台的策略
[1308.72-1311.72] 还有我们客户的策略都是正确
[1311.72-1313.72] 都是很好的
[1313.72-1315.72] 所以在未来的话
[1315.72-1318.72] 我们可以看到他们在继续增长之中
[1318.72-1322.72] OK我们接下来谈到第二季
[1322.72-1324.72] 跟Onward Business Outlook
[1324.72-1327.72] 我想大概做个未来的展望
[1327.72-1329.72] 跟大家做个报告
[1329.72-1331.72] 那整个产业来讲的话
[1331.72-1335.72] 当然大家都在关注美国实施的对等关税
[1335.72-1338.72] 虽然对半导体现在是没有
[1338.72-1344.72] 但是我们还是相当的关注
[1344.72-1346.72] 这整个的变化
[1346.72-1350.72] 对整个半导体的影响
[1350.72-1355.72] 我想应该是还是会有一些影响
[1355.72-1359.72] 尤其是在所谓的End Market那边
[1359.72-1361.72] 就是从终端市场那边来讲
[1361.72-1363.72] 对整个产业的需求的话
[1363.72-1365.72] 是会被可能会有一些影响
[1365.72-1368.72] 尤其在假如有通膨的发生
[1368.72-1371.72] 这个就确实是会有一些影响
[1371.72-1375.72] 但是因为台湾的东西并不是只有出美国
[1375.72-1378.72] 当然美国是我们主要的一个市场
[1378.72-1380.72] 但是我们也出到对岸
[1380.72-1382.72] 我们也出到欧洲
[1382.72-1383.72] 所以这个部分的话
[1383.72-1384.72] 对立成来讲的话
[1384.72-1387.72] 是可能会稍微减缓一些冲击
[1387.72-1389.72] 但是但整个产业来讲的话
[1389.72-1391.72] 我们对对等关税的需求的话
[1391.72-1393.72] 我们也会有一个冲击
[1393.72-1398.72] 所以确实是比较关心一点
[1398.72-1401.72] 先进封测制程技术的精进
[1401.72-1405.72] 有助于AI相关新产品的推程促进
[1405.72-1408.72] 科技产业蓬勃发展
[1408.72-1412.72] 有益于经济持续的回温
[1412.72-1415.72] 这个部分的话确实是真的
[1415.72-1419.72] 就是说我们在今年第一季的时候
[1419.72-1420.72] 我们比较slow
[1420.72-1423.72] 实际上我们也没有很担心
[1423.72-1425.72] 因为我们看到的未来
[1425.72-1428.72] 事实上是还不错的发展
[1428.72-1430.72] 但是现在就是刚刚第一点讲的
[1430.72-1434.72] 对等关税可能会造成一些干扰
[1434.72-1439.72] OK我们继续看我们下一页
[1439.72-1445.72] 就是说我们对PTI Group来讲的话
[1445.72-1447.72] 对PTI Corp这边
[1447.72-1450.72] 我们大概做个的那个
[1450.72-1452.72] 预期
[1452.72-1454.72] 第一个当在D-RAM上面的话
[1454.72-1458.72] 预计第二季将逐级成长
[1458.72-1460.72] 主要客户调整库存进尾声
[1460.72-1463.72] 此外AI相关的新产品
[1463.72-1465.72] 持续驱动PC行动装置
[1465.72-1470.72] 甚至汽车市场的需求
[1470.72-1471.72] 我们PTI这边的话
[1471.72-1474.72] 之前我们也大概也有讲过
[1474.72-1477.72] 就是说我们的预期在第一季的话
[1477.72-1479.72] 就是我们的谷地
[1479.72-1483.72] 第二季我们预期它会比第一季好
[1483.72-1486.72] 这是一定的
[1486.72-1487.72] 第三季的话
[1487.72-1491.72] 我们也预期它会比第二季好
[1491.72-1494.72] 唯一的不定的因素就是一个
[1494.72-1497.72] 所谓的对等关税的部分
[1497.72-1499.72] 但是整个产业来讲的话
[1499.72-1503.72] 从第一天我们就认为
[1503.72-1505.72] 第二季会比第一季
[1505.72-1507.72] 会有非常长足的进步
[1507.72-1509.72] 甚至会有
[1509.72-1512.72] 高双位数的成长比起第一季
[1512.72-1514.72] 现在的话也没有变
[1514.72-1517.72] 还是一样的
[1517.72-1519.72] 我们可以从我们的D-RAM上面的话
[1519.72-1520.72] 我们就可以知道
[1520.72-1521.72] 这答案刚刚讲
[1521.72-1523.72] 就是说我们可以
[1523.72-1527.72] 整个D-RAM的需求的话
[1527.72-1529.72] Q2是非常非常的正面
[1529.72-1533.72] Q3还是非常正面
[1533.72-1538.72] 那第二个就是
[1539.72-1542.72] 就是我们的NAND相关的话
[1542.72-1545.72] NAND因为第一季有减产
[1545.72-1547.72] 那第二季的封测订单的话
[1547.72-1550.72] 我们就可以看到就非常正面
[1550.72-1553.72] 需求呈现上升的态势
[1553.72-1555.72] NAND的部分也是呈现上升的态势
[1555.72-1558.72] 那第三季还是一样会预期
[1558.72-1562.72] 我们的预期就是它会比第二季还好
[1562.72-1564.72] 那第二季的SSD的话
[1564.72-1566.72] 需求也是一样
[1566.72-1569.72] 就是说甚至还有一些是从第三季
[1569.72-1572.72] 他们希望能够铺印到第二季
[1572.72-1573.72] 但是我们的产能
[1573.72-1575.72] 因为产能还是会有限制
[1575.72-1579.72] 就是说我们的第二季可能就会满载
[1579.72-1582.72] 产能就会满
[1582.72-1586.72] 我们的第二季的SSD的话
[1586.72-1587.72] 是正面的看待
[1587.72-1589.72] 我们再下一页
[1589.72-1594.72] OK 在PTI逻辑上面的话
[1594.72-1598.72] 我们推进与客户产品应用多元化
[1599.72-1602.72] 持续驱动我们的逻辑封测的业务成长
[1602.72-1606.72] Power Module跟CIS都已经如期量产
[1606.72-1608.72] 这个之前我们有意识在报告
[1608.72-1610.72] 就是可能有些投资人
[1610.72-1612.72] 或是我们媒体界的朋友都相当关心
[1612.72-1614.72] 就是我们的Power Module是怎么样
[1614.72-1616.72] 我们的CIS是怎么样
[1616.72-1618.72] 我们Power Module已经量产了
[1618.72-1623.72] 那相关的它带来一些产品的话也是都很顺利
[1623.72-1625.72] 所以这个部分没有问题
[1625.72-1629.72] 那接下来既然Power Module我们已经有客户了
[1629.72-1632.72] 那也会有一些新的客户进来
[1632.72-1635.72] 这是我们公司的整个策略就是这样子
[1635.72-1637.72] 就是说我们有一个产品
[1637.72-1640.72] 那我们就希望推广到其他的客户
[1640.72-1645.72] 让更多的客户能够享受我们的技术
[1645.72-1646.72] 跟我们的产能
[1646.72-1649.72] 那我们当然我们能够有更多的客户
[1649.72-1652.72] 来跟我们分摊我们的投资
[1652.72-1654.72] 因为这个投资都蛮大的
[1654.72-1656.72] 那CIS的话也是一样
[1656.72-1658.72] CIS我们事实上已经量产
[1658.72-1661.72] 那我们的量率的部分
[1661.72-1663.72] 可能有一些投资会关心
[1663.72-1666.72] 因为CIS的量率都蛮Sensitive的
