[0.00-1.50] 現集媒體先進
[315.80-317.80] 那麼在去年七月
[317.80-321.80] 民派也在印度成立分公司
[321.80-323.78] 開展我們在印度的
[323.78-325.78] 這邊生意的發展
[325.78-328.78] 那麼我們相信這個部分呢
[328.78-333.78] 會對2025的民派集團帶來一些注意
[333.78-336.78] 再來就是SIA的整合
[336.78-340.78] 大家都知道在民派的這個中間隊裡面
[340.78-343.78] 有一個公司小而美
[343.78-345.78] 叫做互動科技
[345.78-347.78] 那互動科技的每年的EPS
[347.78-351.78] 都有一個很穩定的一個水準
[351.78-353.78] 那麼其實在民派
[353.78-355.78] 底下呢也有一個公司
[355.78-358.78] 叫做這個
[358.78-360.78] 也有一個SIA的公司
[360.78-363.78] 那麼呢我們就把民派的這個SIA的公司
[363.78-366.78] 整併到了互動旗下
[366.78-368.78] 所以所有的這些
[368.78-369.78] 這些整併呢
[369.78-373.78] 都在2024已經全數完成了
[373.78-378.78] 那當然在整併的過程裡面呢
[378.78-380.78] 整併是有一些成本的
[380.78-381.78] 是有一些成本
[381.78-382.78] 所以呢
[382.78-384.78] 但是這個在去年
[384.78-386.78] 大概都已經完全消化完畢
[386.78-388.78] 所以我想對2024年
[388.78-396.78] 會是一個很好的一個優化的一個因素
[396.78-398.78] 那最後有一個MMA
[398.78-403.78] MMA我們雖然做的這個case很大
[403.78-405.78] 但是我們在去年的12月
[405.78-411.78] 有這個併購了一家做這個軍工相關的產品
[411.78-414.78] 最主要是微波設備
[414.78-416.78] 叫志通這家公司
[416.78-420.78] 所以在去年的12月這邊有整併進來
[420.78-424.78] 這就是我們2024年我們做的事情
[424.78-426.78] 跟各位在這裡做一下報告
[426.78-430.78] 2025年要做些什麼呢
[430.78-434.78] 那在2025年開始的這個
[434.78-435.78] 我們來看一下
[435.78-438.78] 我現在看到的四黃是什麼
[438.78-440.78] 中期的部分
[440.78-441.78] 我們剛剛講
[441.78-443.78] 剛剛提到去年的庫存消化
[443.78-445.78] 比想像的慢
[445.78-446.78] 但是呢
[446.78-448.78] 這裡面還是有產品線的不同
[448.78-450.78] 中期在去年6月
[450.78-451.78] 單月
[451.78-454.78] 以及去年的Q3
[454.78-455.78] 還有Q4
[455.78-458.78] 兩個整季度
[458.78-462.78] 都已經呈現出來比前期成長
[462.78-464.78] 所以有些寬頻
[464.78-466.78] 有MSO的這個通路呢
[466.78-470.78] 景氣回溫是很明確的
[470.78-472.78] 那麼其他的部分呢
[472.78-475.78] 非這個Nordosis的部分
[475.78-478.78] 也就是電信相關的這個部分
[478.78-481.78] 還有交換器的部分呢
[481.78-483.78] 還沒有那麼明確
[483.78-486.78] 但是呢我們從去年年底
[486.78-488.78] 一直到現在Q1呢
[488.78-490.78] 我們開始注意到
[490.78-492.78] 在不特定的機種上面
[492.78-495.78] 已經開始有集單出現
[495.78-499.78] 所以我們目前是並行著
[499.78-501.78] 有一些機種還有一些庫存
[501.78-503.78] 但有一些材料在短缺
[503.78-505.78] 這樣子的一個情況
[505.78-507.78] 所以我們相信
[507.78-509.78] 我們相信在這個電信上
[509.78-512.78] 電信方面以及這個交換器的這個部分呢
[512.78-516.78] 這些庫存應該能在Q2
[516.78-518.78] 完全消耗完畢
[518.78-520.78] 可以確保今年下半年
[520.78-522.78] 很確定的成長動能
[522.78-525.78] 這是我們目前對四黃的這個判斷
[525.78-528.78] 那麼回到明太集團本身
[528.78-533.78] 我們2025年要做的幾項主要的策略呢
[533.78-535.78] 一個就是在Data Center
[535.78-540.78] AI Data Center這邊的集中投資
[540.78-543.78] 那我們在Data Center的部分呢
[543.78-547.78] 從過去以來就一直多有著墨
[547.78-553.78] 那麼伴隨著這個AI的盛行呢
[553.78-555.78] 我們在AI Data Center這邊
[555.78-558.78] 特別我們這邊提的是800G
[558.78-560.78] 就是一年以上的
[560.78-563.78] 那這邊呢我們也會在今年開始
[563.78-566.78] 其實已經在開發當中
[566.78-570.78] 那今年應該會有一些小量的出貨
[570.78-572.78] 那除了這個800G之外呢
[572.78-574.78] 1.6T
[574.78-578.78] 這個是最新的交換器的這個規格
[578.78-584.78] 那我們目前也在這個領先的這個族群裡面
[584.78-586.78] 那所以整個明太集團呢
[586.78-588.78] 今年在
[588.78-590.78] 我們投資的這個部分呢
[590.78-594.78] 是在Data Center以及AI Data Center這邊
[594.78-595.78] 非常集中的投資
[595.78-598.78] 我們整個研發人員的資源
[598.78-600.78] 大概也都會投注到這一塊
[600.78-602.78] 這是明太的部分
[602.78-604.78] 另外就是我剛剛提到的
[604.78-607.78] 中期的工廠整併已經完成了
[607.78-611.78] 所以呢我們相信在營運的效益的提升
[611.78-614.78] 今年應該是比較明顯的夠看得到
[614.78-617.78] 再來就是剛剛提到的新的成長動能
[618.78-620.78] 除了我們自己呢景氣之外
[620.78-623.78] 我們自己所創造的這個成長動能呢
[623.78-627.78] 就是來自於印度的這裡的這個新興市場
[627.78-630.78] 那這裡呢透過這個印度的市場呢
[630.78-632.78] 我們想要追求一個經濟規模
[632.78-637.78] 讓我們整個在這個工廠的部分
[637.78-638.78] 剛剛已經提到了
[638.78-641.78] 明太的工廠現在除了整合
[641.78-644.78] 除了整合中期的生產量之外
[644.78-646.78] 也把印度這裡增加的數量
[646.78-647.78] 整個在這個中期的生產量之外
[647.78-652.78] 也把這個在明太的這個工廠的經營範圍內
[652.78-654.78] 所以我們相信這個經濟規模
[654.78-657.78] 整合所帶來的這個效益
[657.78-660.78] 對我們來講今年也是一個很大的貢獻
[660.78-662.78] 所以以上這就是整個明太
[662.78-666.78] 我們合中艦隊2025年的工作重點
[666.78-670.78] 那接下來呢我會交由幾個工人的總經理
[670.78-672.78] 來跟各位報告一些細節
[672.78-674.78] 那有問題的話各位消貨員都可以提問
[674.78-675.78] 謝謝各位
[677.78-679.78] 謝謝黃董事長
[679.78-681.78] 那接下來進行明太科技的簡報
[681.78-687.78] 我們邀請陳韶磊財務長進行公司的財務狀況簡報
[699.78-700.78] 大家好
[700.78-705.78] 那明太2024年的合併營收是214.4億
[705.78-706.78] 那較前一年度是接近2萬4千萬元的
[707.78-709.78] 那平均收入減少了68億
[709.78-711.78] 那減了大概24%
[711.78-713.78] 那如同剛剛董事長講的
[713.78-715.78] 主要是因為受大環境的影響
[715.78-720.78] 影響客戶去花他庫存的這個速度比較緩慢
[720.78-722.78] 那影響我們大貨的領導
[722.78-725.78] 所以使得明太去年的營收繳出的成績是比較
[725.78-728.78] 相對來講是比較不理想的
[728.78-733.78] 那我們這個合併的這個毛利率維持在18.3%
[733.78-736.78] 那這個我們的業費用38億
[736.78-739.78] 跟前一年度相比的話有節省了大概5.6億
[739.78-741.78] 減了大概13%
[741.78-744.78] 那主要是因為這個營收下滑的影響
[744.78-746.78] 那使得我們的營業淨利
[746.78-748.78] 去年度是1.08億
[748.78-752.78] 那跟去年一年度相比的話是減少7億
[752.78-755.78] 那業外這邊4.1億主要是因為
[755.78-760.78] 明太的這個原先在中國的兩個工廠整合
[760.78-764.78] 那所以我們處分了這個東環廠的這個業外獲利
[764.78-765.78] 大概有4.5億的這個業外獲利
[766.78-768.78] 那這個業外的貢獻
[768.78-771.78] 那所以我們的這個稅後歸屬於我們公司淨利
[771.78-773.78] 在去年度是2.2億
[773.78-777.78] 那跟前年度相比是減少了3.3億
[777.78-780.78] 那EPS是0.4
[780.78-786.78] 那雖然說去年度明太的營收跟獲利繳出的成績
[786.78-788.78] 當然是比較不盡理想的
[788.78-792.78] 那可是我們仍然維持穩健的財務結構
[792.78-794.78] 那作為我們追求這個非有機成長的這個強力的這個成績
[794.78-797.78] 成長的這個強力的這個後盾
[797.78-799.78] 那我們的這個現金在去年
[799.78-802.78] 2014年大概增加了7.6億
[802.78-805.78] 那到去年底大概有40億的現金在手上
[805.78-810.78] 那這個營收賬款大概跟前年度相比是減少了9億
[810.78-814.78] 那存貨這邊是也去化了大概5億
[814.78-818.78] 那我們的資產總計大概維持在232億
[818.78-821.78] 那我們的這個負債93億
[821.78-822.78] 跟前年度相比有減少了12億
[822.78-823.78] 那我們的這個負債93億跟前年度相比有減少了12億
[823.78-824.78] 那我們的這個負債93億跟前年度相比有減少了12億
[824.78-825.78] 那我們的這個負債93億跟前年度相比有減少了12億
[825.78-826.78] 那這個負債93億跟前年度相比有減少了12億
[826.78-827.78] 那這個負債93億跟前年度相比有減少了12億
[827.78-828.78] 那這個負債93億跟前年度相比有減少了12億
[828.78-829.78] 那這個負債93業會讓負債費減少了40%
[829.78-831.78] 那這個負債 Among countriesMB roup扮檔
[831.78-852.78] 那這個負債 często��搏
[852.78-855.34] 是這個營收下滑的關係
[855.34-858.92] 所以存貨者週轉天數就比較沒有那麼理想
[858.92-861.84] 那去年底我們的存貨週轉天數
[861.84-865.58] QOQ的話又減了5天來到150天
[865.58-869.42] 那不過如果跟這個前一年度的第四季相比的話
[869.42-871.22] 是增加了16天
[874.80-877.86] 那以產品別的營收來看的話
[877.86-881.32] 主要因為受到客戶區域化這個庫存的力道
[881.32-886.44] 趨緩的影響使得我們的這個區域都會網路的這個營收的占比
[886.44-890.02] 大概減少了9%到37%
[890.02-893.10] 那無線官平網路的這個產品線的話
[893.10-896.16] 大概有進調5%來到45%
[896.16-900.00] 那數位國媒體系行動方案大概就維持在6%
[903.34-906.66] 那以區域別來看營收占比的話
[906.66-911.02] 可以看到美洲仍然占了五成以上的這個占比
[911.02-911.28] 那以區域別來看營收占比的話可以看到美洲仍然占了五成以上的這個占比
[911.28-911.30] 那以區域別來看營收占比的話可以看到美洲仍然占了五成以上的這個占比
[911.30-916.42] 那去年美洲這邊大概增加了三個百分點來到57%
[916.42-918.72] 那歐洲維持在14%
[918.72-926.14] 那亞洲在去年的占比大概是28%
[926.14-934.34] 那民太也是一樣致力於這個成為一個這個多元包容及環境友善的這個永續的企業
[934.34-941.26] 所以在去年我們有榮獲第十七屆TCSA的這個台灣永續獎的兩大
[941.26-941.28] 所以在去年我們有榮獲第十七屆TCSA的這個台灣永續獎的兩大
[941.28-942.88] 大獎項的肯定
[942.88-949.28] 那也獲得了看見第六屆CHR健康企業的公民獎
[949.28-953.68] 以及天下雜誌的天下人才的永續獎
[953.68-955.68] 那以下跟各位分享 謝謝
[959.18-960.38] 謝謝陳財務長
[960.38-963.98] 那接下來有請事業本部簡明林總經理
[963.98-967.98] 進行公司營運及產品發展的簡報
[971.28-977.78] 大家好 我是事業本部總經理簡明林
[977.78-981.28] 接下來由我來跟大家做報告
[981.28-985.78] 我們的產品策略原型市場開發的想法
[985.78-993.28] 就2024年的整個產業趨勢來看
[993.28-998.28] 資料中心的成長是2024年最大的量點
[998.28-1000.98] 所以我們期望
[1000.98-1001.08] 未來的產業趨勢來看
[1001.08-1001.18] 資料中心的成長是2024年最大的量點
[1001.18-1008.68] 未來在2024年整個資料中心的成長藍圖裡面
[1008.68-1011.18] 我們能夠有更多的產物
[1011.18-1013.18] 所以我們其實從去年開始
[1013.18-1019.68] 我們就已經更加積極的去確立我們在技術領先
[1019.68-1022.68] 尤其是在Data Center這一塊的一個
[1022.68-1025.68] 我們希望能夠做到的一個目標
[1025.68-1030.98] 那在去年我們就已經開始有400G的出貨了
[1030.98-1033.98] 那在400G的出貨上面
[1033.98-1038.48] 現在目前我們已經開始做了一些小量的出貨
[1038.48-1043.98] 但是現在目前在營運的規劃來看
[1043.98-1046.48] 400G好像是變得比較小一點
[1046.48-1048.48] 那我們期望在今年
[1048.48-1054.48] 客戶這邊的認體上面的一些問題能夠獲得解決之後
[1054.48-1058.98] 我們期望在今年的400G可以有一個很大量的出貨
[1058.98-1060.78] 那另外在800G的部分
[1060.78-1066.78] 我們去年已經開始有做一些小巨量的送養
[1066.78-1070.78] 那目前我們正在跟客人這邊的需求在做很來門
[1070.78-1075.78] 我們期望在800G這邊能夠在今年能夠順利進入量產
[1075.78-1077.78] 那我們剛剛有提到AI Data Center
[1077.78-1080.78] 因為在未來的AI Data Center裡面
[1080.78-1083.78] GPU的VC之間的互聯
[1083.78-1085.78] 會需要更高速的一個通達
[1085.78-1089.78] 來做分量式結構等等的一個溝通
[1089.78-1090.78] 所以呢
[1090.78-1091.78] 這個1.6G呢
[1091.78-1093.78] 現在在目前所有的溝通廠商裡面
[1093.78-1098.78] 都是必須是一個在他們開發的一個主軸
[1098.78-1099.78] 那明泰呢
[1099.78-1102.78] 基本上希望是在說
[1102.78-1104.78] 不像過去就是說我們
[1104.78-1108.78] 在整個的那個交換機的這個研發上面的
[1108.78-1110.78] 那個世代的那個教訓上面
[1110.78-1112.78] 我們以往是比較偏向的
[1112.78-1115.78] 就是說客戶這邊的一個需求
[1115.78-1116.78] 然後我們才去做
[1116.78-1118.78] 那這個1.6G呢
[1118.78-1119.78] 我們希望能夠
[1119.78-1120.78] 改變以往的一個做法
[1120.78-1124.78] 我們希望能夠在第一波的那個領先群當中
[1124.78-1125.78] 我們就可以做
[1125.78-1127.78] 深厚的收量
[1127.78-1128.78] 所以我們預計呢
[1128.78-1129.78] 在今年年底呢
[1129.78-1131.78] 我們需要才發這個目標
[1131.78-1133.78] 那所以呢在明泰這邊呢
[1133.78-1135.78] 除了我們有成立了一個專政團隊
[1135.78-1136.78] 再做1.6G
[1136.78-1138.78] 來做訊號的一些控管
[1138.78-1139.78] 包含機構
[1139.78-1142.78] 包含隨人這個部分的整個的一個研發
[1142.78-1144.78] 都是在專政團隊這邊來做
[1144.78-1145.78] 除了這個之外呢
[1145.78-1148.78] 我們也跟網通晶片的那個大廠博客們這邊
[1148.78-1152.78] 有建立了一個策略合作紅板的一個關係
[1152.78-1155.78] 所以呢我們能夠在整個的那個研發上面
[1155.78-1157.78] 我們希望能夠在提前
[1157.78-1158.78] 所以1.6G呢
[1158.78-1162.78] 會是我們今年的一個整個的研發的一個主軸
[1162.78-1165.78] 那在日本客戶呢
[1165.78-1169.78] 我們去年其實剛secure了一個新的日本客戶
[1169.78-1173.78] 我們今年也一些如預期的那個研發
[1173.78-1177.78] 所以現在目前在整個的那個研發階段是非常順利
[1177.78-1178.78] 所以我們預計在今年的那個研發階段是非常順利
[1178.78-1180.78] 所以今年年底就可以開始出貨
[1180.78-1183.78] 那在DACI 4.0的客戶專案裡面呢
[1183.78-1186.78] 我們在這個月就要開始有一些
[1186.78-1189.78] 小量的一些出貨到北京的客人
[1189.78-1193.78] Wi-Fi 7相關的那個產品出貨呢
[1193.78-1197.78] 基本上呢我們的那個整個的那個產品事情是唯一的
[1197.78-1201.78] 那但是呢因為在去年的那個Wi-Fi 7的那個導入呢
[1201.78-1203.78] 它的成長速度沒有那麼快
[1203.78-1207.78] 我們期望在今年的那個市場這邊的
[1207.78-1211.78] 那個對Wi-Fi 7這邊的那個轉換能夠再加速
[1211.78-1213.78] 所以呢我們預計呢在Q2的時候
[1213.78-1216.78] 我們日本市場這邊的需求可以開始先做出貨
[1216.78-1222.78] 那剛才董事長剛剛有提到的就是在印度市場這邊的一個新的開發
[1222.78-1228.78] 那我們也已經跟印度市場這邊已經完成所有的那個研發的一些相關程序
[1228.78-1232.78] 那包含的包含那個生產條件準備也會也完成
[1232.78-1236.78] 所以我們在這個月我們已經完全是一個
[1237.78-1239.78] 飛機路量產
[1239.78-1243.78] 那剛才講過印度市場的那個潛力是不容小覷的
[1243.78-1246.78] 所以我們在未來在印度市場這邊的那個
[1246.78-1248.78] 市場的那個revenue的貢獻
[1248.78-1251.78] 我們期望是蠻高的
[1251.78-1253.78] 好 我們報告到這邊
[1260.78-1262.78] 謝謝 簡總經理
[1262.78-1265.78] 那接下來開始進行重啟科技的簡報
[1265.78-1270.78] 我們歡迎重啟科技的許玉發財務長進行公司財務狀況解話
[1276.78-1278.78] 各位同事先生 美女朋友大家好
[1278.78-1281.78] 那接下來就讓我重啟科技的報告
[1286.78-1290.78] 那我首先針對我們2024年度的一個財務節目
[1290.78-1292.78] 我會做一個說明
[1292.78-1295.78] 那重啟在去年度這個合併的這個合併
[1295.78-1298.78] 我們在這個合併的營業收入是90.8%
[1298.78-1300.78] 那在這個營業的部分
[1300.78-1303.78] 我還以為大概分配了大概3億左右
[1303.78-1306.78] 平均毛利的部分是19.4%
[1306.78-1311.78] 那比前一期大概也是很輕鬆大概2%左右
[1311.78-1314.78] 那不過在營業費用的控制上面
[1314.78-1315.78] 大概是15億
[1315.78-1319.78] 那比前一期大概是我們節省大概2億左右
[1319.78-1322.78] 所以在這個營業淨利的部分
[1322.78-1324.78] 大概基本上可以維持住滿前一個年度的財務狀況
[1325.78-1327.78] 然後再有一個獲利的一個結論
[1327.78-1330.78] 那在稅前淨利是2億2
[1330.78-1333.78] 那最後威蜀公司的這個分期的
[1333.78-1335.78] 是一個淨歸純的結論
[1335.78-1337.78] 那這個歸純的結果當然是
[1337.78-1342.78] 最主要還是來自於業務的比較大的一個幅度的一個算推
[1342.78-1346.78] 那前年的EBS是負的0.6
[1348.78-1350.78] 那在這個資產負債表這邊的話
[1350.78-1354.78] 現金所用買還是維持在相對比較高的一個水準
[1355.78-1357.78] 大概是23.5億的
[1357.78-1361.78] 那比較大的數字票其實是在庫準的控制上面
[1361.78-1364.78] 在庫準的部分大概是
[1364.78-1369.78] 前一個年度大概是有節省的大概8億左右
[1369.78-1371.78] 那現在庫準的大概是4億左右
[1371.78-1376.78] 那整個資產走大概是接近1.2億左右
[1376.78-1379.78] 那這邊剛提到這個庫準的變化
[1379.78-1383.78] 那其實我們過去的幾個季度
[1383.78-1385.78] 持續增加這個庫準的控制體系統的話
[1385.78-1387.78] 其實都有一些效益
[1387.78-1391.78] 所以大家庫準都是一個初季的往下的一個趨勢
[1391.78-1396.78] 所以目前的一個天氣大概是在143天左右
[1396.78-1400.78] 那以上是針對財務界的一個簡單的一個說明
[1402.78-1406.78] 那接下來是有請周陽智總經理
[1406.78-1409.78] 進行公司產品及市場策略簡報
[1415.78-1416.78] 好
[1416.78-1434.78] 各位業界投資先進及媒體朋友大家好
[1434.78-1444.78] 接下來我來報告一下我們這台產品及市場的整理策略
[1445.78-1457.78] 我們在去年2024年整個營收是從第三季開始
[1457.78-1459.78] 這呈現的是逐季的成長
[1459.78-1466.78] 那我們在有限寬頻的這個產品的市場
[1466.78-1471.78] 我們看到是整個需求是逐漸回來
[1471.78-1474.78] 然後尤其是從這個第三季開始的時候
[1474.78-1476.78] 這個第三季開始到第四季
[1476.78-1478.78] 那甚至延續到今年第一季
[1478.78-1480.78] 我們看到有限寬頻
[1480.78-1483.78] 這個市場及這個需求
[1483.78-1489.78] 包括客戶在這個存貨的去化
[1489.78-1492.78] 都得到很逐漸的改善
[1494.78-1499.78] 那我們自己相對我們在業績上面也有逐漸的成長
[1499.78-1503.78] 那在開發新客戶上面
[1503.78-1506.78] 我們在Docsys 4.0
[1506.78-1509.78] 然後Asha 3.1的Home Gateway
[1509.78-1512.78] 我們也有這個這個開發
[1512.78-1515.78] 產品開發都去領先的地位
[1515.78-1522.78] 那在在將這個Wi-Fi 7的結合的這個Gateway的產品上面
[1522.78-1526.78] 我們在歐洲及北美最主要是北美
[1526.78-1529.78] 我們都陸陸續續掌握了一些新的客戶
[1529.78-1531.78] 那另外在產品的組合上面呢
[1531.78-1533.78] 那另外在產品的組合上面
[1533.78-1536.78] 我們除了在Docsys上面居領先
[1536.78-1540.78] 我們也積極的在擴展Docsys的產品
[1540.78-1543.78] 包括這個光纖產品
[1543.78-1546.78] G-PoM跟XGS-PoM 10G的產品
[1546.78-1551.78] 然後Wi-Fi 7的Extended
[1551.78-1553.78] 包括Duo-Band和Tri-Band
[1553.78-1555.78] 那還有5G
[1555.78-1560.78] 那這個是讓我們在除了Docsys之外的
[1561.78-1564.78] Docsys上面的產品的組合能夠更豐富
[1564.78-1569.78] 讓我們的產品線能夠對應這個MSO
[1569.78-1573.78] 或是這個電信運營專保Telecom的部分
[1573.78-1578.78] 能夠擁有這個產品的組合的豐富
[1578.78-1582.78] 那我們在Retail市場其實在去年
[1582.78-1583.78] 相較於前年
[1583.78-1585.78] 我們Retail市場的產品
[1585.78-1590.78] 這個市場成長也成長了一倍以上
[1591.78-1594.78] 在這個整合中效的部分
[1594.78-1596.78] 剛剛董事長提到
[1596.78-1600.78] 2024年期間進行這個相關的整合
[1600.78-1606.78] 這個整合期對仲啟產生非常重大的這邊的影響
[1606.78-1609.78] 讓仲啟能夠輕量化
[1609.78-1617.78] 整個能夠對這個產品的品牌的經營
[1617.78-1619.78] 然後產品市場的經營
[1619.78-1620.78] 產品的
[1620.78-1622.78] 產品的規劃
[1622.78-1626.78] 開發以及市場的經營能夠更專注
[1626.78-1629.78] 那我們這樣子能夠更有
[1629.78-1632.78] 具有更多的資源來投入
[1632.78-1636.78] 包括軟體及雲端平台
[1636.78-1640.78] 來建築更強大的核心的競爭力
[1644.78-1648.78] 那我們在2024年在Docsys上面
[1648.78-1649.78] 可以看到我們
[1649.78-1652.78] 最主要還是我們的營收來源
[1652.78-1655.78] 在Docsys部分逐漸的成長
[1655.78-1659.78] 其中可以看你這個Pump的部分
[1659.78-1661.78] 佔據率是比較大
[1661.78-1666.78] 然後這個Retail Market跟S&P
[1666.78-1671.78] 佔據的部分是逐漸在成長
[1671.78-1673.78] 還有Wi-Fi的Extended
[1673.78-1677.78] 這個是我們未來三年會將這個Docsys的部分的
[1677.78-1683.78] 比重投入更多的資源來將這個市場
[1683.78-1684.78] 還有產品的規劃
[1684.78-1688.78] 產品的發展能夠提升它的佔領
[1688.78-1691.78] 那針對2025年
[1691.78-1700.78] 有剛提到Cable Modern市場的需求回升
[1700.78-1706.78] 我們持續我們的優勢能夠將結合Wi-Fi7
[1706.78-1712.78] 然後導應的更多的客戶跟市場
[1712.78-1719.78] 那整合綜效在去年下半年帶給我們很大的效益
[1719.78-1724.78] 那我們今年會持續擴大整合綜效的效益
[1724.78-1731.78] 來降低我們的工廠的自費還有原金採購成本
[1731.78-1734.78] 提升我們的產品競爭力
[1734.78-1735.78] 另外
[1735.78-1738.78] 剛提到在雲端平台
[1738.78-1741.78] 我們可以看到我們的產品規劃
[1741.78-1748.78] 事實上在我們專注在Docsys跟Archard3.1
[1748.78-1750.78] Docsys 4.0跟Archard3.1
[1750.78-1752.78] 那在Pong的部分10G
[1752.78-1755.78] 那即將進入到25G跟50G
[1755.78-1762.78] 然後平台上面的整合加Wi-Fi7形成一個Home Gateway
[1762.78-1764.78] 以Docsys為主的Home Gateway
[1764.78-1766.78] 或是Pong為主的Home Gateway
[1766.78-1767.78] 然後在JL5G
[1767.78-1768.78] 這樣子所有的產品
[1768.78-1774.78] 所有的產品規劃包括發展都在雲平台下面
[1774.78-1776.78] 可以形成一個土地的管理界面
[1776.78-1782.78] 提供我們的運營商包括MSO跟Telecom
[1782.78-1785.78] 能夠提升他們的服務價值
[1785.78-1789.78] 跟他們的價值服務
[1789.78-1792.78] 這個是在軟體發展上面
[1792.78-1796.78] 以及我們要投入的資源在未來的三年
[1796.78-1798.78] 那以上包導謝謝
[1800.78-1801.78] 謝謝周總經理
[1801.78-1805.78] 也感謝以上兩家公司的長官精闢的說明
[1805.78-1808.78] 那接下來是Q&A時間
[1808.78-1812.78] 我們先有請經營團隊到前方回覆所有的問題
[1812.78-1817.78] 那我們今天是採以這個舉手發問
