[0.00-4.40] 好,各位博士先進午安,感謝各位今天領域大政見的訪問
[156.40-158.40] 工費率的部分是有下滑
[158.40-160.40] 是有減少
[160.40-162.40] 那另外還有改善的部分
[162.40-166.40] 所以我們整個的產品的毛利率是有上漲
[166.40-168.40] 那另外就是還有
[168.40-170.40] 回轉存貨的折價損失
[170.40-172.40] 這邊有利益的產收
[172.40-174.40] 所以在毛利率的部分有所貢獻
[174.40-176.40] 但是我們在整個的產品的毛利率是有上漲
[176.40-182.40] 那另外就是因為我們泰國廠在去年的第一季第二季的時候正式投產
[182.40-184.40] 那因為它的這個良率還在調整當中
[184.40-188.40] 所以有影響一些些我們的毛利率的分分
[188.40-190.40] 所以整個綜合來看的話
[190.40-194.40] 我們毛利率是有從36%提升到38%
[194.40-196.40] 那在營業費用的部分
[196.40-198.40] 營業費用的部分
[198.40-200.40] 從去年的4億7
[200.40-204.40] 然後相較於2023年的4億的部分
[204.40-206.40] 這個部分
[206.40-208.40] 這邊是有增加7000萬
[208.40-210.40] 那其中是有一次性的
[210.40-212.40] 現金增資員工
[212.40-214.40] 酬勞的費用的一個認列
[214.40-216.40] 那另外因為
[216.40-218.40] 剛剛有提到說我們泰國廠這邊
[218.40-220.40] 在去年的時候已經
[220.40-222.40] 正式投入我們的投產的一個
[222.40-224.40] 產線的部分
[224.40-226.40] 那它這邊的話有一些營業費用的產生
[226.40-228.40] 那大概這邊的
[228.40-230.40] 產生的費用大概是兩千多萬的
[230.40-232.40] 這個水準
[232.40-234.40] 所以整個來看的話
[234.40-236.40] 營業利益在去年的話是3億8
[236.40-238.40] 那在營業外的收支的部分
[238.40-240.40] 去年是有
[240.40-242.40] 匯稅的
[242.40-244.40] 收益的貢獻
[244.40-246.40] 4400萬
[246.40-248.40] 所以整個稅前的話在去年是
[248.40-250.40] 4千7百萬
[250.40-252.40] 那稅後的部分是
[252.40-254.40] 2億9千7百萬
[254.40-256.40] 那整個的公司的
[256.40-258.40] 淨利是3億4
[258.40-260.40] 那相較於2023年的部分
[260.40-262.40] 是稍微衰退了5千4百萬
[262.40-264.40] 那淨利率的部分是在
[264.40-266.40] 去年是15%
[266.40-268.40] 還是維持在15%以下
[268.40-270.40] 那EPS的部分是因為
[270.40-272.40] 我們去年有CPU轉換成普通股
[272.40-274.40] 所以這邊有稍微稀釋掉
[274.40-276.40] 我們的一些EPS這樣子
[276.40-278.40] 所以在去年的部分EPS是
[278.40-280.40] 5.26
[280.40-282.40] 那是去年的一個審慮的狀況
[284.40-286.40] 那在資產負債表的部分
[286.40-288.40] 我們看得到現金的部分
[288.40-290.40] 我們的現金這邊
[290.40-292.40] 大概增加了2億7千萬
[292.40-294.40] 那應收賬款
[294.40-296.40] 從貨跟應付賬款
[296.40-298.40] 應該因應剛剛提到的
[298.40-300.40] 說我們的營收這邊有稍微
[300.40-302.40] 下滑了
[302.40-304.40] 所以營收賬款從貨這邊有稍微
[304.40-306.40] 減少一些這樣子
[306.40-308.40] 那另外比較特別的是不動產的部分
[308.40-310.40] 因為我們在去年的時候
[310.40-312.40] 我們在年底的時候
[312.40-314.40] 是在中立廠那邊有
[314.40-316.40] 購置一個現有廠房
[316.40-318.40] 那這個現有廠房其實是因應
[318.40-320.40] 我們之前在募資的時候
[320.40-322.40] 去年年初的時候也有一個募資
[322.40-324.40] 大概募了713
[324.40-326.40] 那這個用途主要是在
[326.40-328.40] 我們的自有地的部分
[328.40-330.40] 再去做經營廠房
[330.40-332.40] 那因為在年底的時候
[332.40-334.40] 我們那邊在中立廠看到一個比較
[334.40-336.40] 合適的一個現有廠房
[336.40-338.40] 所以我們在年底的時候就購置了
[338.40-340.40] 這個廠房518的一個金額
[340.40-342.40] 那所以這邊的話
[342.40-344.40] 就是我們在年底支付的
[344.40-346.40] 一個不動產的購置
[346.40-348.40] 那另外的話
[348.40-350.40] 因為我剛剛有提到說我們在農產廠
[350.40-352.40] 本來有一個自有地
[352.40-354.40] 但是它是暫時沒有在規劃
[354.40-356.40] 說我們還要附近廠房
[356.40-358.40] 所以那個
[358.40-360.40] 農產的那個自有地的話
[360.40-362.40] 是有另外一個拿出來是一個
[362.40-364.40] 投資性不動產
[364.40-366.40] 這個是在固定資產這邊比較大的一個
[366.40-368.40] 說明這樣子
[368.40-370.40] 那我們的負債比的部分
[370.40-372.40] 是維持在22%
[372.40-374.40] 算是相當健全的一個
[374.40-376.40] 財務結構
[376.40-378.40] 那美股淨值的部分是現在是到達了
[378.40-380.40] 24塊4
[380.40-382.40] 這個是我們目前的整個
[382.40-384.40] 資產的狀況
[388.40-390.40] 那接著跟各位報告一下現金流量表的分析
[390.40-392.40] 我們目前的
[392.40-394.40] 到年底的月當現金
[394.40-396.40] 是8000萬
[396.40-398.40] 那其中剛剛有提到就是說
[398.40-400.40] 我們的發行可轉債跟現金增資
[400.40-402.40] 這邊是713
[402.40-404.40] 那去年的時候有發了一個
[404.40-406.40] 現金補一大概是2億2左右
[406.40-408.40] 那整個整體來看的話
[408.40-410.40] 我們去年
[410.40-412.40] 的營業活動是
[412.40-414.40] 淨流入6億6千7百萬
[414.40-416.40] 那剛剛有提到說在投資的部分
[416.40-418.40] 我們這邊有購入廠房跟
[418.40-420.40] 還有一些自動化的
[420.40-422.40] 設備相關的
[422.40-424.40] 那這邊的投資活動是淨流出
[424.40-426.40] 7億
[426.40-428.40] 淨流出是9億4千5百萬
[428.40-430.40] 那整個來
[430.40-432.40] 整個最後overall的話是到
[432.40-434.40] 年底的現金的部分是流到了
[434.40-436.40] 14億8千8百萬
[436.40-438.40] 這是目前我們的現金的狀況
[438.40-440.40] 那現在我們
[440.40-442.40] 接著由佑副總這邊
[442.40-444.40] 跟各位報告一下目前的
[444.40-446.40] 現金狀況
[452.40-454.40] 好各位晚安
[454.40-456.40] 接下來由我跟各位說明一下佳績
[456.40-458.40] 在25年的一些展望
[458.40-460.40] 之前的話直接回答
[464.40-466.40] 好這個
[466.40-468.40] 就如從剛才
[468.40-470.40] 財務長的說明
[470.40-472.40] 我們在這個廠房建設的
[472.40-474.40] 這個廠房建設
[474.40-476.40] 在今年
[476.40-478.40] 在這個廠房建設
[478.40-480.40] 在今年
[480.40-482.40] 在這個廠房建設
[482.40-484.40] 在今年
[484.40-486.40] 在這個廠房建設
[486.40-488.40] 希望是在
[488.40-490.40] 今年的第二季完成
[490.40-492.40] 主要也是因應
[492.40-494.40] 一些新的產品的需求
[494.40-496.40] 那的確就是
[496.40-498.40] 中美貿易戰的關係
[498.40-500.40] 那就是我們有些新產品先進來
[500.40-502.40] 目前還在算是
[502.40-504.40] 當中也是因應了
[504.40-506.40] 這一個要MIT的
[506.40-508.40] 這個做法
[508.40-510.40] 那產品的部分呢
[510.40-512.40] 當然光通訊是主要
[512.40-514.40] 另外還有其他新的一些
[514.40-516.40] 機會目前
[516.40-518.40] 正在取得客人的認證當中
[518.40-520.40] 那預計是下半年
[520.40-522.40] 會有比較
[522.40-524.40] 那個
[524.40-526.40] 可觀的量的產出
[526.40-528.40] 那這是廠房的部分
[528.40-530.40] 那這邊呢
[530.40-532.40] 就是目前它的場地面積
[532.40-534.40] 所以整體來說
[534.40-536.40] 我們會以AOC的這個組裝測試
[536.40-538.40] 為
[538.40-540.40] 那個Priority
[540.40-542.40] 那當然免線的部分
[542.40-544.40] 之前說的SlimRoster的一些
[544.40-546.40] 生產也會放在這裡
[546.40-548.40] 因為要就近這個Support客人
[548.40-550.40] 另外一個新的部分
[550.40-552.40] 那這個部分還在
[552.40-554.40] 測試當中就是有關於一些
[554.40-556.40] 算是
[556.40-558.40] 小型的這個
[558.40-560.40] 機器人的這個組裝
[564.40-566.40] 產品的部分呢
[566.40-568.40] 這應該是
[568.40-570.40] 之前有說明過
[570.40-572.40] 那其實我就直接跳到
[572.40-574.40] 24、25年這個地方
[574.40-576.40] 其實24年的部分
[576.40-578.40] 目前上面看到的這一個產品
[578.40-580.40] 其實都已經量產
[580.40-582.40] 那25年的部分比較
[582.40-584.40] 希望能夠達到的就是
[584.40-586.40] DBD就是最新的那個
[586.40-588.40] 20G的Active Cable
[588.40-590.40] 主動式的
[590.40-592.40] 這個部分呢
[592.40-594.40] 還在Push Intel那邊
[594.40-596.40] 就是一些認證的這個流程
[596.40-598.40] 因為現在他們卡在了一些內部的問題
[598.40-600.40] 所以這個時間
[600.40-602.40] 後面會再跟各位說明一下
[602.40-604.40] 預期可以量產的時間
[604.40-606.40] 那會有可能延後
[606.40-608.40] 不過現在這個東西是
[608.40-610.40] 看
[610.40-612.40] 下個月在台北辦的
[612.40-614.40] Buffet的Intel那邊
[614.40-616.40] 是不是要公布比較新的
[616.40-618.40] 這個狀況
[618.40-620.40] 那另外就是
[620.40-622.40] PFAS的這個產品
[622.40-624.40] 目前看起來
[624.40-626.40] 成效上也都還不錯
[626.40-628.40] 應該是有機會在下半年
[628.40-630.40] 附著量產
[630.40-632.40] 因為是牽涉到OMO的一些需求
[636.40-638.40] 那另外這邊
[638.40-640.40] 光通訊的部分
[640.40-642.40] 光通訊的話以目前的狀況看起來
[642.40-644.40] 就是25年的話
[644.40-646.40] 我們會做的就是
[646.40-648.40] 800G的OSLP
[648.40-650.40] 那另外來說
[650.40-652.40] 1.6T的
[652.40-654.40] 我們會先做DAC
[654.40-656.40] 目前我們的測試狀況
[656.40-658.40] 正在進行當中
[658.40-660.40] 幾個客人也在Push我們送樣
[660.40-662.40] 去測試
[662.40-664.40] 同時間我們會帶著800G的DAC
[664.40-666.40] 因為目前這兩個產品
[666.40-668.40] 看起來是會
[668.40-670.40] 在Data Center的客人的部分
[670.40-672.40] 他這兩個產品都會去做選擇
[672.40-674.40] 因為短米數的部分
[674.40-676.40] 現在看起來就是在
[676.40-678.40] DAC的部分
[678.40-680.40] 還是有他的機會在
[682.40-684.40] 那另外這個是Skinluster的Project
[684.40-686.40] 那這個部分來說
[686.40-688.40] 應該是
[688.40-690.40] 資料中心的內部線
[690.40-692.40] 那目前幾個客人
[692.40-694.40] 其實都一直積極在測
[694.40-696.40] 目前PCIe5的部分
[696.40-698.40] 規範已經沒有問題
[698.40-700.40] 那這個客人那邊已經都確認
[700.40-702.40] OK了現在是要做PCIe6
[702.40-704.40] 那當然客人的選擇
[704.40-706.40] 當中不瞞各位說
[706.40-708.40] 這個佳績在這個部分
[708.40-710.40] 是比較後進程
[710.40-712.40] 所以在客人的Project裡面
[712.40-714.40] 我們算是Skinluster跟Baggar
[714.40-716.40] 那至少目前客人幾個測試的狀況
[716.40-718.40] 都還蠻正面的
[718.40-720.40] 那以這個情況看起來
[720.40-722.40] 要做到
[722.40-724.40] 這一個之後的量產時間
[724.40-726.40] 也慢慢接近
[726.40-728.40] 那當然台灣的公司有兩家都已經測試完了
[728.40-730.40] 目前他也在選擇
[730.40-732.40] 就是說要點的線
[732.40-734.40] 還是用傳統的那一種我們講的
[734.40-736.40] 就是圓的
[736.40-738.40] 那這個部分
[738.40-740.40] 我們都已經送樣測試完成
[740.40-742.40] 那有些像更早送樣的
[742.40-744.40] 我們沒有放在這上面
[744.40-746.40] 是Ryzer Card另外一個橋接式的
[746.40-748.40] 那個部分已經是小量在出貨
[748.40-750.40] 每個月大概就是有個
[750.40-752.40] 800到1000條
[756.40-758.40] 那這個當然就是
[758.40-760.40] 以佳績來說
[760.40-762.40] 一些在跟客人說明的時候
[762.40-764.40] 在光通訊的部分的
[764.40-766.40] 一個產品線的
[766.40-768.40] 這個
[768.40-770.40] 就是客戶會選擇佳績
[770.40-772.40] 主要也是因為我們可以給他一個
[772.40-774.40] Total的Solution
[774.40-776.40] 因為我們是In-house在做COP跟SMT
[776.40-778.40] 那之前應該要對各位
[778.40-780.40] 在那個蘇州場的部分
[780.40-782.40] SMT已經建置完成了之後
[782.40-784.40] SMT的部分
[784.40-786.40] 也會在蘇州那邊
[786.40-788.40] 自己生產
[788.40-790.40] 所以會變成說板子進來之後
[790.40-792.40] 除了PC板之外然後材料
[792.40-794.40] 組裝這些我們都可以在場內完成
[794.40-796.40] 那另外一個就是
[798.40-800.40] 800G的部分
[800.40-802.40] 我們其實有做另外一個合作案
[802.40-804.40] 這個就是把Silicon Photonics
[804.40-806.40] 直接當成一個模組
[806.40-808.40] 放到這個Module裡面去
[808.40-810.40] 因為這個我們是後來評估出來
[810.40-812.40] 這樣子是比較
[814.40-816.40] 有效率的做法
[816.40-818.40] 因為Silicon Photonics現在
[818.40-820.40] 也只有這種IC廠
[820.40-822.40] 它可以去做一些封裝
[822.40-824.40] 那現在看起來之前跟客人的對測
[824.40-826.40] 是問題不大
[826.40-828.40] 所以現在會直接用模組的方式
[828.40-830.40] 放到所謂的Single Mode Module裡面
[830.40-832.40] 那目前我們先以客戶那邊的需求
[832.40-834.40] 以800G先做這個
[834.40-836.40] 試樣的生產
[836.40-838.40] 預計大概今年的
[838.40-840.40] 上半年會有樣品先做好
[840.40-842.40] 送給客人去做測試與承認
[842.40-844.40] 送給客人去做測試與承認
[844.40-846.40] 那當然其他的部分
[846.40-848.40] 光引擎的還有一些OBO的部分
[848.40-850.40] 這個後面會有
[850.40-852.40] 那個幾個
[852.40-854.40] 配置再跟各位做說明
[856.40-858.40] 好那一樣是
[858.40-860.40] Update Thunderbolt的部分
[860.40-862.40] 因為今年度應該Intel在Thunderbolt的部分
[862.40-864.40] 應該就是只有這個
[864.40-866.40] TPT-5
[866.40-868.40] 那目前來說TPT-5
[868.40-870.40] 它要去兼容於DP
[870.40-872.40] 就是現在講的DP2.1
[872.40-874.40] 那個部分
[874.40-876.40] 其實我們用同一條線
[876.40-878.40] 就可以去做只是說我要把Playphone改掉
[878.40-880.40] 改成所謂的
[880.40-882.40] 這一個
[882.40-884.40] 大的那個DP的頭
[884.40-886.40] 那目前這個也在
[886.40-888.40] 跟Visa那個地方去做對測
[888.40-890.40] 目前回復回來的狀況是
[890.40-892.40] 不管是Type-C的接頭
[892.40-894.40] 或是DP的接頭
[894.40-896.40] 那個
[896.40-898.40] 針對Visa那些規範
[898.40-900.40] 其實都已經算是
[900.40-902.40] 都符合它的規範
[902.40-904.40] 那現在就是等Visa那邊什麼時候開放認證
[904.40-906.40] 我們就會送進去
[906.40-908.40] 那當然是這個部分來說
[908.40-910.40] 為什麼會跨到DP
[910.40-912.40] 因為它是因為
[912.40-914.40] 前面講的那個免線的時間Luster
[914.40-916.40] 它在生產的時候是比較有效率的
[916.40-918.40] 那這樣子做起來的話就是說
[918.40-920.40] 在對於客人來說它可以得到一個
[920.40-922.40] 比較便宜的solution
[922.40-924.40] 那這是我們在
[924.40-926.40] support一些客人的部分
[926.40-928.40] 包含了AMD他們要做一些
[928.40-930.40] 那個叫做
[930.40-932.40] Graphic Card的這一個
[932.40-934.40] 測試的部分我們現在來說
[934.40-936.40] 都已經在跟客人去
[936.40-938.40] 做對接跟
[938.40-940.40] 測試
[940.40-942.40] 那當然
[942.40-944.40] Pentagraph跑的速度是
[944.40-946.40] 比較高因為它已經到120G
[946.40-948.40] 所以這個之前應該有各位
[948.40-950.40] 在說明過那這次再帶到一下
[950.40-952.40] 它的特性
[952.40-954.40] 那目前主要就是passive的部分
[954.40-956.40] 已經是算量產了
[956.40-958.40] 那active的部分
[958.40-960.40] 就是剛才說的後面會再跟各位
[960.40-962.40] 對一下主要就是說
[962.40-964.40] 在這一個
[964.40-966.40] 認證的部分
[966.40-968.40] 要再催促一下Intel那邊
[968.40-970.40] 像這邊其實是去
[970.40-972.40] 下半年
[972.40-974.40] Intel放出來的第一個
[974.40-976.40] 就是TTT5
[976.40-978.40] Findable Fire Active Cable
[978.40-980.40] 它目前預定就是Q2
[980.40-982.40] 也就是下個季度
[982.40-984.40] 計畫可以量產
[984.40-986.40] 其實坦白說東西都已經準備好
[986.40-988.40] 現在就是一些小地方
[988.40-990.40] 跟這一個Intel它的整個process
[990.40-992.40] 跟它found resource去做
[992.40-994.40] 測試的問題
[994.40-996.40] 目前測的狀況看起來是不錯
[996.40-998.40] 但目前就是說它是不是要
[998.40-1000.40] 在這一個Q2的時候
[1000.40-1002.40] 再去推出
[1002.40-1004.40] 但是我目前的感覺有可能會
[1004.40-1006.40] 放到Q3
[1006.40-1008.40] 因為有些客人的monitor那邊
[1008.40-1010.40] 也還沒有完全好
[1010.40-1012.40] 所以它的時間上
[1012.40-1014.40] 變得這個壓力
[1014.40-1016.40] 是往後一點
[1016.40-1018.40] 所以它有可能是往後放一些
[1018.40-1020.40] 那這個部分來說
[1020.40-1022.40] 第五的monitor
[1022.40-1024.40] 目前看起來
[1024.40-1026.40] 今年度應該只有
[1026.40-1028.40] 就我們知道大概只有兩個RFK會排出來
[1028.40-1030.40] 所以其實時間上也沒有那麼早
[1030.40-1032.40] 目前來說市面上
[1032.40-1034.40] 最多的這個monitor
[1034.40-1038.40] 應該還是會是Vendable 4
[1038.40-1040.40] 這是目前我們市場上
[1040.40-1042.40] 看出來的一個狀況
[1042.40-1044.40] 那另外這個就是
[1044.40-1046.40] 量產的這一個
[1046.40-1048.40] Cable的List
[1048.40-1050.40] 那其實來講四個部分
[1050.40-1052.40] 應該都沒有問題的
[1052.40-1054.40] 五個部分就是
[1054.40-1056.40] 看Acid的部分什麼時候會好
[1056.40-1058.40] 另外就是
[1058.40-1060.40] 有一個
[1060.40-1062.40] 已經量產了
[1062.40-1064.40] 那就是變成說
[1064.40-1066.40] 以這個Support的規格來講
[1066.40-1068.40] 最底下的兩個是有點不一樣
[1068.40-1070.40] 一個是Vendable 4的Acid
[1070.40-1072.40] 它是Support到DP1.4a
[1072.40-1074.40] 另外一個是可以Support到DP2.1
[1074.40-1076.40] 所以這就是剛才講的
[1076.40-1078.40] 要去SupportDP2.1的這個Data Rate的時候
[1078.40-1080.40] 我們就會用這個去做
[1080.40-1082.40] DP的Certified
[1082.40-1084.40] 那它可以把PlayFont改成
[1084.40-1086.40] 同樣是大DP的做法
[1086.40-1088.40] 所以目前來說
[1088.40-1090.40] 跟客人的對策的話就是這個
[1090.40-1092.40] 這個Model在做對策
[1092.40-1094.40] 這個是forDP2.1的部分
[1094.40-1096.40] 這個是forDP2.1的部分
[1096.40-1098.40] 這個是forDP2.1的部分
[1098.40-1100.40] 好那這個的話
[1100.40-1102.40] 是一個研究單位發的
[1102.40-1104.40] 那個是Vendable
[1104.40-1106.40] 在所有的
[1106.40-1108.40] 這個產品裡面的
[1108.40-1110.40] 滲透率在往後的幾年
[1110.40-1112.40] 沒有大幅的成長
[1112.40-1114.40] 但是環部增加
[1114.40-1116.40] 目前我們這邊感覺到
[1116.40-1118.40] 客人那邊的消息跟狀況也是類似
[1118.40-1120.40] 因為它這個
[1120.40-1122.40] 滲透率的話都是從Commercial進去
[1122.40-1124.40] 才慢慢延伸到Consumer
[1124.40-1126.40] 但是坦白說
[1126.40-1128.40] 這個的價格還是偏高
[1128.40-1130.40] 使用的這個情境來說都是比較
[1130.40-1132.40] 這個特殊的
[1132.40-1134.40] 這個情境裡面
[1134.40-1136.40] 目前看起來還是沒有
[1136.40-1138.40] 完全的打破
[1138.40-1140.40] 就是滲透到Nuser
[1140.40-1142.40] 因為Nuser目前用的這個平環不會那麼高
[1142.40-1144.40] 那都是一些
[1144.40-1146.40] 特殊用途
[1146.40-1148.40] 但是可以看到的就是說
[1148.40-1150.40] 它都是環部的這個成長
[1150.40-1152.40] 因為所有的
[1152.40-1154.40] 這個Commercial的客人
[1154.40-1156.40] 都是一個Generation
[1156.40-1158.40] 一個Generation固定的在淘汰機種
[1158.40-1160.40] 或者是upgrade
[1160.40-1162.40] 所以看它的這個成長曲線的話
[1162.40-1164.40] 最多的部分
[1164.40-1166.40] 其實可以看
[1166.40-1168.40] 最多就是說
[1168.40-1170.40] 在這個Dunking Cable
[1170.40-1172.40] 跟Adentum的部分
[1172.40-1174.40] Dunking跟Adentum
[1174.40-1176.40] 這兩個呢
[1176.40-1178.40] 都是得配Cable
[1178.40-1180.40] 所以在這個部分來講
[1180.40-1182.40] 我們在看這個圖的時候
[1182.40-1184.40] 就是Adentum的量
[1184.40-1186.40] 看起來是沒有Cable多
[1186.40-1188.40] 因為Cable我們部分要
[1188.40-1190.40] 劃到Adept那邊去
[1190.40-1192.40] 那Argus的部分其實就很多了
[1192.40-1194.40] 它沒有完全的去分
[1194.40-1196.40] 因為那邊太雜
[1196.40-1198.40] 目前我們看得到的就是說
[1198.40-1200.40] 像Graphic Card
[1200.40-1202.40] 還有其他的這個Adentum Card
[1202.40-1204.40] 有分得過的也是估算在裡面
[1204.40-1206.40] 這個是Region的部分
[1206.40-1208.40] 那看起來還是以
[1208.40-1210.40] 就是說佔比還是最大
[1210.40-1212.40] 因為畢竟
[1212.40-1214.40] 在北美的部分他們推
[1214.40-1216.40] 這個換機槽
[1216.40-1218.40] 跟這個
[1220.40-1222.40] 那個大企業還有政府部門
[1222.40-1224.40] 他們的這個
[1224.40-1226.40] 換機槽都是固定的
[1226.40-1228.40] 所以看起來北美還是會佔
[1228.40-1230.40] 比較大的比例
[1230.40-1232.40] 那在這裡面細分的話
[1232.40-1234.40] 其實這裡面在規劃來說
[1234.40-1236.40] 應該是在像今年25年
[1236.40-1238.40] 25年的話看起來
[1238.40-1240.40] Cable 4還是會佔
[1240.40-1242.40] 所有份額的大概
[1242.40-1244.40] 八成左右
[1244.40-1246.40] 5的部分還是在慢慢滲透
[1246.40-1248.40] 因為客戶在做今年度的
[1248.40-1250.40] 這個4轉5的這個轉換
[1250.40-1252.40] 不是完全的轉換
[1252.40-1254.40] 不像之前3轉4是完全轉換
[1254.40-1256.40] 這次4轉5
[1256.40-1258.40] 應該就是逐步性的
[1258.40-1260.40] 那看起來就是在
[1260.40-1262.40] 25年26年
[1262.40-1264.40] 甚至到27
[1264.40-1266.40] 那個Cable 4都還會存在
[1266.40-1268.40] 因為客人會以不一樣的
[1268.40-1270.40] 規格去做調整
[1270.40-1272.40] 那麼
[1272.40-1274.40] 5的部分為什麼沒有
[1274.40-1276.40] 滲透率這麼高
[1276.40-1278.40] 速度這麼快主要原因也是因為
[1278.40-1280.40] 你的這個Ban位太高了
[1280.40-1282.40] 到80 120的時候
[1282.40-1284.40] 其實我們現在在觀察
[1284.40-1286.40] 中間使用者為什麼會選這樣子的Payphone
[1286.40-1288.40] 那當然有看到一個比較
[1288.40-1290.40] 奇特的現象就是說
[1290.40-1292.40] 有一些Server
[1292.40-1294.40] 它在Server對Server連的時候
[1294.40-1296.40] 它裡面還是有放了Vendable進去
[1296.40-1298.40] 因為我們有一些短線是出給
[1298.40-1300.40] 市場上
[1300.40-1302.40] 那也詢問過他們
[1302.40-1304.40] 那他們的規劃看起來還是會以4為主
[1304.40-1306.40] 因為4來說對它Server對Server的
[1306.40-1308.40] 這個連結的這個
[1308.40-1310.40] Ban位是不是夠的
[1310.40-1312.40] 那是有規劃到26年的時候
[1312.40-1314.40] 會把5放進去
[1314.40-1316.40] 那當然這也是規劃當中
[1316.40-1318.40] 也要看他們現在
[1318.40-1320.40] 整個對於Server的這個
[1320.40-1322.40] 點對點的對傳
[1322.40-1324.40] 那個應用面上面
[1324.40-1326.40] 是不是需要拉到這麼高
[1326.40-1328.40] 那目前我們聽到的大概
[1328.40-1330.40] 6年以前應該都是40G
[1330.40-1332.40] 就是雙向40G就足夠
[1334.40-1336.40] 那當然這個是產品線的部分
[1336.40-1338.40] 那目前看起來就是說
[1338.40-1340.40] 以產品線的規劃來講
[1340.40-1342.40] 我們還是逐步的往前走
[1342.40-1344.40] 就是說5的Passive 245
[1344.40-1346.40] 那包含這個之後會整個的
[1346.40-1348.40] 做一次的
[1348.40-1350.40] 改動就是說現在是
[1350.40-1352.40] PFAS的東西那之後剛前面講到
[1352.40-1354.40] NOT PFAS也都會在今年
[1354.40-1356.40] 逐步的去做切換
[1356.40-1358.40] 因應歐盟那邊的這個需求
[1358.40-1360.40] 好
[1360.40-1362.40] 剛才提到Monitor
[1362.40-1364.40] Monitor目前看起來還是以Vendor Board 4
[1364.40-1366.40] 為主所以
[1366.40-1368.40] 我們因應了客人的需求
[1368.40-1370.40] 因為在某些客人的這個高頻
[1370.40-1372.40] 跟高速的這個Handling上面
[1372.40-1374.40] 不是那麼的在行
[1374.40-1376.40] 尤其是最Scaler的客人
[1376.40-1378.40] 那目前有一兩個客戶
[1378.40-1380.40] 我們已經在這個測試
[1380.40-1382.40] 對測當中就是Vendor Board 4的Module
[1382.40-1384.40] 做一百40W的跟著我的Cable
[1384.40-1386.40] 然後這個
[1386.40-1388.40] 我們是直接跟品牌也有
[1388.40-1390.40] 這個代工廠的接洽都有
[1390.40-1392.40] 就是去
[1392.40-1394.40] Premote這個Vendor Board 4的這個Module
[1394.40-1396.40] 目前以進度來看
[1396.40-1398.40] 應該就是要到Q3
[1398.40-1400.40] 可以認證
[1400.40-1402.40] 完成
[1402.40-1404.40] 那Q3小量的出貨
[1404.40-1406.40] 就是今年Q3
[1406.40-1408.40] 那這個主要就是
[1408.40-1410.40] 可以讓客人比較快速的
[1410.40-1412.40] 有不同尺寸的Monitor在市面上
[1412.40-1414.40] 這一個
[1414.40-1416.40] 販售
[1416.40-1418.40] 因為
[1418.40-1420.40] 他只要處理
[1420.40-1422.40] 他那個Scaler的部分就好
[1422.40-1424.40] 那看他配多少尺寸的這個Monitor
[1424.40-1426.40] 由他自己去配
[1426.40-1428.40] 這一片板子就同一片
[1428.40-1430.40] 一直去搭
[1430.40-1432.40] 比如說搭28寸32寸34寸
[1432.40-1434.40] 的這個尺寸
[1434.40-1436.40] 那他可以省時間
[1436.40-1438.40] 就是說在認證的時候
[1438.40-1440.40] 這一塊的Vendor Board的所有認證
[1440.40-1442.40] 我都做完
[1442.40-1444.40] 他只要去做Scaler的部分跟搭在一起的一些相關測試
[1444.40-1446.40] 所以他在Title Marketing上面
