[0.00-29.98] 谢谢大家
[193.94-195.94] 也來到了2.2%
[195.94-198.94] 金額是34億
[198.94-201.94] 那在業外收支的方面
[201.94-208.94] 從來是做到利息費又跟資金的成本跟我們在匯率方面
[208.94-209.82] 呃
[209.94-212.94] 在我的意思裡面我稍微做報告
[212.94-218.94] 那扣在營業利跟營業外收入的整個金額是
[218.94-221.94] 我們的稅前淨利是21億
[221.94-223.94] 按季度來講
[223.94-227.94] 那單季度低季度的EPS是0.17
[227.94-230.94] 比去年的0.3成長了
[230.94-233.94] 當然因為我們去年第四季是高點
[233.94-235.94] 營收比較高
[235.94-237.94] 所以去年是0.66
[237.94-239.82] 但第一年第一季是0.47
[239.82-242.82] 那接下來這個月次裡面
[242.82-245.82] 跳下一個月次
[245.82-248.82] 基本上我們的產品組合
[248.82-254.82] 跟大概跟上一個季度是相當
[254.82-256.82] 只是差在低
[256.82-259.82] 那在1570以下
[259.82-261.82] 基本上
[261.82-265.82] 管是筆記型電腦或者是伺服器
[265.82-267.82] 所謂的占比
[267.82-272.82] 大概是相當
[272.82-275.82] 在營收方面
[275.82-278.82] 這個也因為說
[278.82-282.82] 這兩個季度的一個占比的相對的影響
[282.82-284.82] 所以
[284.82-287.82] 最主要的差異還是在於說
[287.82-290.82] 我們看下一個月次
[290.82-292.82] 在馬歐利率這一段
[292.82-294.82] 它大的影響
[294.82-295.82] 呃
[295.82-296.82] 在第一季相對來說
[296.82-298.82] 在第一季相對於是
[298.82-300.82] 馬歐利率六
[300.82-302.82] 同樣的組合在
[302.82-304.82] 不同的馬歐利率層
[304.82-306.82] 最主要是因為
[306.82-308.82] 在消動品這一段
[308.82-312.82] 過去比較著重的部分
[312.82-314.82] 呃
[314.82-316.82] 成品出貨的部分
[316.82-318.82] 就是占比稍微有調整
[318.82-320.82] 所以在
[320.82-322.82] 第一季我們的馬歐利率比較低
[322.82-325.82] 那現在可以看到的是我們的馬歐利率
[325.82-329.82] 營業率在呃
[329.82-332.82] 也因此說
[332.82-334.82] 是這個配置
[337.82-340.82] 營業利率這個配置
[340.82-343.82] 我們直接跳到營業率這邊
[343.82-344.82] 下一個
[344.82-345.82] 這個營業率是2.2
[345.82-346.82] 對
[346.82-347.82] 這個趨勢
[347.82-349.82] 大家可以看得出來
[349.82-351.82] 這樣子
[351.82-353.82] 這個趨勢我們已經從1.6
[353.82-356.82] 去年的第一季1.6 1.7 1.9 2.0
[356.82-359.82] 那現在也超越了2.2
[359.82-360.82] 這個
[360.82-362.82] 產生的力道這個是來自於
[362.82-363.82] 在
[363.82-365.82] 馬歐利這一端的好表現
[365.82-367.82] 那呃
[367.82-369.82] 營業外收入這一端
[369.82-371.82] 下一個配置
[371.82-373.82] 你看到營業外收入這一端
[373.82-375.82] 對主要在第一季幾個影響因素
[375.82-377.82] 還是在於
[377.82-378.82] 我們的
[378.82-380.82] 兌換的就是匯率的影響
[380.82-382.82] 跟呃
[382.82-383.82] 財務成本這邊
[383.82-385.82] 那財務成本這邊的
[385.82-386.82] 利息費用的負擔
[386.82-388.82] 相信大家也
[388.82-391.82] 對於說去年到延續到今年來
[391.82-393.82] 在利率這一端的一個
[393.82-394.82] 呃
[394.82-395.82] 居高
[395.82-397.82] 不下的影響
[397.82-398.82] 呃
[398.82-399.82] 所以呃
[399.82-401.82] 在第一季我們的利息費用
[401.82-402.82] 我們財務成本這一端還
[402.82-403.82] 還是在
[403.82-404.82] 呃
[404.82-405.82] 一個16億的一個放
[405.82-406.82] 那
[406.82-408.82] 兌換損益這一端呃
[408.82-411.82] 基本上在第一季的受到的影響是
[411.82-412.82] 人民幣
[412.82-413.82] 對我們的影響
[413.82-414.82] 大過
[414.82-415.82] 台幣的影響
[415.82-416.82] 呃
[416.82-420.82] 我們在大陸這一端就是銷售的部分
[420.82-422.82] 也佔了一定的比率
[422.82-423.82] 所以呃
[423.82-424.82] 人民幣的
[424.82-427.82] 匯率變動的影響
[427.82-428.82] 那在第一季
[428.82-429.82] 呃
[429.82-430.82] 中和
[430.82-432.82] 這個4.9億的損失裡面
[432.82-433.82] 呃
[433.82-435.82] 絕大部分都是因為人民幣
[435.82-436.82] 一個變動
[436.82-438.82] 匯率變動因素的影響
[438.82-440.82] 那造成我們在大陸內銷這一端
[440.82-441.82] 呃
[441.82-442.82] 在評價
[442.82-443.82] 方面
[443.82-445.82] 都有一個損失
[445.82-446.82] 那
[446.82-450.82] 這也帶起說我們最近在匯率變動
[450.82-451.82] 這個
[451.82-454.82] 對我們出口產業的外銷的一個影響
[454.82-455.82] 那基本上
[455.82-457.82] 面臨的是一個出
[457.82-458.82] 出口
[458.82-459.82] 呃
[459.82-460.82] 產
[460.82-461.82] 呃
[461.82-462.82] 出口為主的
[462.82-463.82] 那因為我們的產品結構
[463.82-464.82] 因為基本上收的是美金
[464.82-465.82] 但是因為我們的
[465.82-466.82] 呃
[466.82-468.82] 我們材料還有其他能工成本等等
[468.82-469.82] 呃
[469.82-470.82] 這個整個
[470.82-474.82] 我們也大部分是大概有70%到8成之間
[474.82-476.82] 我們的收付都是以美金
[476.82-477.82] 呃
[477.82-478.82] 這一部分來
[478.82-479.82] 來計價
[479.82-481.82] 所以相對於說
[481.82-482.82] 在自然
[482.82-483.82] 呃
[483.82-485.82] 需求這一端也
[485.82-486.82] 減少了說
[486.82-487.82] 匯率
[487.82-488.82] 這麼大的一個衝擊
[488.82-490.82] 尤其是在5月份
[490.82-492.82] 這5月初的一個台幣衝擊
[492.82-493.82] 那呃
[493.82-494.82] 剛才我提到一個數字
[494.82-495.82] 就是說我們在
[495.82-496.82] 匯率上的
[496.82-497.82] 呃
[497.82-498.82] 不同幣別的一個占比
[498.82-499.82] 大概在兩成以上
[499.82-501.82] 所以大家如果說
[501.82-503.82] 用這樣的試算的角度去看
[503.82-505.82] 你在匯率變動
[505.82-506.82] 呃
[506.82-507.82] 一定比率或者是
[507.82-508.82] 呃
[508.82-509.82] 呃
[509.82-510.82] 呃
[510.82-513.82] 這個對我們整個毛利率這一端
[513.82-514.82] 或者我們EBITDA這一端的影響
[514.82-515.82] 大概就是可以那
[515.82-516.82] 那一條
[516.82-520.82] 兩成以下的一個變動比率的幅度的影響
[520.82-523.82] 那試算出來其實基本上
[523.82-527.82] 衝擊的幅度就沒有說
[527.82-528.82] 呃
[528.82-529.82] 呃
[529.82-530.82] 整個的
[530.82-531.82] 的
[531.82-532.82] 的變化進度會影響
[532.82-533.82] 這是我在
[533.82-534.82] 順便在
[534.82-537.82] 業外收入的收支的情形的
[537.82-538.82] 呃
[538.82-539.82] 一個
[539.82-541.82] 先行報告的地方
[541.82-544.82] 那另外一個在資產負債表方面
[544.82-545.82] 那個
[545.82-546.82] 呃
[546.82-547.82] 可能幾個數字供大家參考
[547.82-548.82] 就是在庫存方面
[548.82-550.82] 我們在第一
[550.82-551.82] 呃
[551.82-552.82] 3月份
[552.82-553.82] 3月底的這一季是
[553.82-554.82] 826份
[554.82-556.82] 826億
[556.82-557.82] 那這個也是在
[557.82-558.82] 業務呃
[558.82-562.82] 一個出貨商的需求所做的財務費讓
[562.82-564.82] 那這一部分待會我們可以呃
[564.82-566.82] 在幾個
[566.82-569.82] 我們總經理在我們業務主管方面的一個呃
[569.82-571.82] 對未來的看法等等
[571.82-574.82] 這邊可能就是會影響到我們這個庫存經理的
[574.82-577.82] 那另外一個是呃
[577.82-579.82] 要比較呃
[579.82-581.82] 先說明的就是
[581.82-583.82] 權益的總額的部分
[583.82-584.82] 那我們權益部
[584.82-586.82] 就包含我們在呃
[586.82-589.82] 一期這個股權呃轉售給AMD之後
[589.82-592.82] 然後我們的整個的呃影響金額
[592.82-594.82] 都放在
[594.82-597.82] 權益總額這個就是在權益總額這個項下
[597.82-598.82] 它
[598.82-601.82] 以目前已經完成的交易部分
[601.82-603.82] 這個是沒有放在
[603.82-604.82] 呃
[604.82-606.82] 本期的屬性當前的屬性
[606.82-608.82] 而是放在權益項下的影響
[608.82-609.82] 那這個
[609.82-610.82] 這個
[610.82-611.82] 這個
[611.82-612.82] 這個
[612.82-613.82] 這個
[613.82-614.82] 這個
[614.82-615.82] 這個
[615.82-617.82] 那另外一個就是提到比例的部分
[617.82-619.82] 我們負債的比例
[619.82-621.82] 呃流動比例相對是
[621.82-622.82] 正常的狀況
[622.82-623.82] 負債比率是
[623.82-624.82] 呃
[624.82-625.82] 是79.6
[625.82-627.82] 那呃
[627.82-628.82] 呃
[628.82-629.82] 資產報酬率是3.6
[629.82-630.82] 那呃
[630.82-633.82] 權益總額的部分就是剛才我提到的
[633.82-634.82] 我們在呃
[634.82-637.82] 一期股權的這個交易上
[637.82-638.82] 啊
[638.82-640.82] 他的金額放到
[640.82-642.82] 權益這個項目下
[642.82-643.82] 所以在權益報酬率上面
[643.82-644.82] 這邊應該可能就呃
[644.82-646.82] 相對比較高一點
[646.82-650.82] 那以上是我針對財務報表部分的一個簡單的說明
[650.82-651.82] 呃
[651.82-652.82] 呃
[652.82-653.82] 不知道各位
[653.82-654.82] 呃
[654.82-656.82] 各位投資朋友們有什麼
[656.82-657.82] 呃
[657.82-659.82] 有沒有不清楚的地方或需要我再進一步解釋
[659.82-662.82] 呃
[662.82-664.82] 非常謝謝財務長的說明
[664.82-665.82] 那
[665.82-667.82] 我我想我們就直接進入
[667.82-668.82] 呃
[668.82-669.82] Q&A的階段
[669.82-670.82] 可以嗎
[670.82-672.82] 好
[672.82-673.82] 好那
[673.82-674.82] 呃
[674.82-675.82] 呃
[675.82-676.82] 我們現在開始進行Q&A的環節
[676.82-678.82] 那如果有投資先進想要問問題的話
[678.82-679.82] 呃
[679.82-681.82] 盡量使用這個舉手的功能
[681.82-682.82] 那我們會
[682.82-684.82] 讓各位依序的提問
[684.82-686.82] 那如果害羞的人
[686.82-688.82] 可以用訊息的部分
[688.82-690.82] 那由我們這邊來代替詢問
[690.82-692.82] 那現在在等待呃
[692.82-693.82] 呃
[693.82-694.82] 投資先進呃
[694.82-695.82] 提問的同時呢
[695.82-696.82] 呃
[696.82-697.82] 我這裡有幾個問題想先
[697.82-698.82] 呃
[698.82-699.82] 請教一下就是
[699.82-701.82] 第一個想請教一下呃
[701.82-703.82] 派總理這邊就是
[703.82-704.82] 呃
[704.82-706.82] 大家最近比較關稅呃
[706.82-707.82] 比較關心的呃
[707.82-709.82] 其中之一個問題就是關稅的部分
[709.82-710.82] 那尤其是呃
[710.82-711.82] 昨天
[711.82-712.82] 呃
[712.82-713.82] 美國跟中國談判後又有一個
[713.82-716.82] 他們之間彼此新的稅率出來
[716.82-718.82] 那不知道對公司來說呃
[718.82-720.82] 會不會有一些新的影響
[720.82-721.82] 或者是說呃
[721.82-723.82] 對應的策略會不會有什麼
[723.82-724.82] 不同
[724.82-727.82] 比如說生產的地的轉移計畫
[727.82-729.82] 轉移的時間
[729.82-730.82] 等等
[731.82-732.82] OK
[732.82-733.82] 那我先說明一下
[733.82-738.82] 其實在昨天的那個美中的那個關稅還沒降
[738.82-740.82] 100億以前來講
[740.82-744.82] 其實英越達90%以上的產品都是豁免掉了
[744.82-746.82] 就是說不管是Servant或Book來講
[746.82-749.82] 大概超過90%以上都是豁免掉了
[749.82-752.82] 所以基本上目前英越達出的東西來講
[752.82-753.82] 是零關稅
[753.82-756.82] 基本上因為從別的地區去出
[756.82-757.82] 不是從大陸出
[757.82-759.82] 基本上都是零關稅
[759.82-761.82] 不管用臺灣泰國或是越南來講
[761.82-762.82] 國家零關稅
[762.82-764.82] 那何況我們在墨西哥還有工廠嘛
[764.82-767.82] 所以基本上到目前為止
[767.82-772.82] 對英越達的影響是幾乎是微乎其微吧
[772.82-776.82] 因為超過90%以上的Revenue都是以目前來講零關稅
[776.82-779.82] 那對我們後續的佈局來講
[779.82-781.82] 會不會會不會有做什麼改變
[781.82-783.82] 我覺得目前我們還是暫時觀望
[783.82-785.82] 因為這時談判來講
[785.82-789.82] 我覺得他們是應該是美中的一個初步的結果
[789.82-791.82] 但是後面來講還有的他
[791.82-794.82] 90天的時間可以繼續做你狗血型
[794.82-796.82] 那我們來講目前來講
[796.82-798.82] 我們其實我們要除了在大陸工廠以外來講
[798.82-801.82] 我們在所謂的泰國越南馬來西亞
[801.82-804.82] 或是在墨西哥都有工廠都有生產基地
[804.82-806.82] 所以基本上來講
[806.82-808.82] 我們可能後續還是要看整個狀況發展
[808.82-811.82] 再做進一步的應對
[811.82-812.82] 因為目前來講是沒有
[812.82-815.82] 那我想說我們應該也通過了
[815.82-816.82] 上上上個月通過
[816.82-819.82] 今天也通過就是我們在美國會投資社產
[819.82-821.82] 那一部分來講其實也因
[821.82-823.82] 可能也是進一步因應
[823.82-825.82] 這個川普關稅的影響
[825.82-829.82] 多一個生產基地可以讓我們做一個backup使用這樣子
[829.82-832.82] 謝謝總經理回答
[832.82-835.82] 那第二個部分想請教一下財務長這邊
[835.82-837.82] 就是剛有提到匯率的部分
[837.82-840.82] 那剛也有提到第一季
[840.82-842.82] 可能人民幣的匯率的變動
[842.82-845.82] 其實對我們的獲利也有一些影響
[845.82-850.82] 那因為美金也是公司應該是很重要的計較貨幣之一
[850.82-854.82] 那對鄧子、新萊密德這樣子的檔夫
[854.82-857.82] 對公司接下來的營運會不會也有一些影響
[857.82-858.82] 比如說毛利啊
[858.82-860.82] 或者是revenue啊
[860.82-861.82] EPS這邊
[861.82-865.82] 那公司有什麼相對應的措施呢
[865.82-868.82] 基本上整個的
[868.82-871.82] 我想這個匯率突然的衝擊跟變化
[871.82-874.82] 就是在我們在採取避險這一端
[874.82-878.82] 跟我們相對可以從這個
[878.82-882.82] 會波動這麼大的過程中
[882.82-889.82] 去思考可以從中得到什麼方式來降低這種影響作用
[889.82-891.82] 那大部分採取的大概就是
[891.82-895.82] 所謂採取以外匯或等等的其他的避險措施
[895.82-897.82] 另外一方面
[897.82-900.82] 當然我剛才強調就是在Mutual這一端
[900.82-906.82] 尤其是美金對美金付款的部分跟收款的部分
[906.82-907.82] 這個已經佔掉
[907.82-908.82] 我們大概大概的一半了
[908.82-911.82] 大概七成以上的一個影響程度
[911.82-913.82] 我們要關注的大概就是那三成
[913.82-917.82] 另外在人民幣的部分
[917.82-920.82] 相對於在第一季造成的波動影響
[920.82-922.82] 在第二季
[922.82-926.82] 而且大概昨天之後這個中美貿易這個談判
[926.82-929.82] 有一定稍微緩解之下
[929.82-934.82] 那人民幣的走勢如果是趨稍微就是
[934.82-937.82] 可以比較有利我們這邊的發展
[937.82-941.82] 我想這個在第二季相對於它的影響程度
[941.82-943.82] 應該就會降低很多
[943.82-949.82] 那因為我們在中國這個市場的一個
[949.82-950.82] 占有一個程度
[950.82-953.82] 這個比例相對也高
[953.82-957.82] 所以我們在人民幣收款的部分
[957.82-961.82] 也是會採取各項的避險措施
[961.82-964.82] 這個都是我們企業這一端有在做的
[964.82-966.82] 好的謝謝
[967.82-969.82] 謝謝蔡國長的說明
[969.82-971.82] 那線上有訊息提問
[971.82-974.82] 第一個是第一季毛利率的提升
[974.82-979.82] 請問是哪一部分產品組合改變所帶動的呢
[979.82-984.82] 大家可以看到剛才一個配局就是我們
[984.82-986.82] 我先回答
[986.82-988.82] 那個對這個配局
[988.82-991.82] 事實上大家看出來就是
[991.82-996.82] 不管是比電或伺服器這兩個
[997.82-1000.82] 大概佔比都相當差別不會很大
[1000.82-1002.82] 就是跟第一季的
[1002.82-1006.82] 不過這一次的毛利率的一個提升
[1006.82-1009.82] 應該主要是來自於我們伺服器產品這一端
[1009.82-1011.82] 也就是說我們在比電這一端
[1011.82-1014.82] 它是維持在我們的毛利率
[1014.82-1017.82] 一向是維持在這個比例上
[1017.82-1020.82] 比較有改善比較有表現
[1020.82-1023.82] 特別的就是在伺服器這一端的
[1023.82-1027.82] 整個伺服器產品相關的整個一個主體的
[1027.82-1029.82] 組合
[1032.82-1034.82] 好的那第二個是
[1034.82-1036.82] 請教EQ
[1036.82-1038.82] 今年第一季相較於去年第四季的
[1038.82-1042.82] 盈利率下降0.2個百分點
[1042.82-1044.82] 請問主要的原因是
[1044.82-1046.82] 盈利率下降
[1052.82-1054.82] 盈利率
[1057.82-1061.82] 盈利率還是什麼下降
[1061.82-1066.82] 盈業盈業利率
[1066.82-1072.82] 去年第一季是1.2個百分點
[1072.82-1074.82] 應該是上市嘛
[1074.82-1076.82] 但是提問是寫下降
[1076.82-1078.82] 所以可能
[1078.82-1082.82] 盈利率來提升
[1082.82-1087.82] 我順便回答就是也是因為毛利率高嘛
[1087.82-1089.82] 盈業盈業就上升
[1092.82-1095.82] 好那下一題是
[1095.82-1099.82] 因為關稅影響是不是有影響客戶提前拉貨呢
[1099.82-1104.82] 那公司預期下半年的營收跟上半年比起來
[1104.82-1107.82] 下半年營收會比上半年還要好嗎
[1109.82-1110.82] 這我來回答
[1110.82-1112.82] 基本上來講以目前看起來講
[1112.82-1114.82] 我們的不管是第一季來講
[1114.82-1115.82] 其實事實上來講
[1115.82-1117.82] 比去年第一季YY來講是存在的
[1117.82-1120.82] 那我們看整個上半年來講的話
[1120.82-1125.82] 今年的上半年對比去年的上半年來講還是成長
[1125.82-1128.82] 那成長基本上來講
[1128.82-1130.82] 我們今年的營收整個已經把它利率
[1130.82-1132.82] 那個用匯率已經往下調了
[1132.82-1133.82] 之前32 33
[1133.82-1135.82] 現在我們把它調了往下調
[1135.82-1138.82] 要立來做最新的預估來講還是往上漲的
[1138.82-1141.82] 上半年來講跟去年上半年比是成長
[1141.82-1144.82] 那現在來講受到關稅的影響
[1144.82-1147.82] 那我覺得這時候關稅影響不確定因素很高
[1147.82-1149.82] 所以以目前來講
[1149.82-1151.82] 今年來講我們上半年確實
[1151.82-1156.82] 目前預估的營收來講會比下半年還要好
[1156.82-1159.82] 所以比例來講可能是55到45左右
[1159.82-1162.82] 那這當然裡面它當然是客戶的比較相對來講
[1162.82-1164.82] 對於景氣不確定性來講
[1164.82-1166.82] 它預估比較保守以外來講
[1166.82-1168.82] 還有就是匯率的影響
[1168.82-1171.82] 往下修正的營業額來講也會造成一些影響
[1171.82-1174.82] 因為畢竟Q1沒有受到匯率的影響
[1174.82-1176.82] 所以整體加起來來講的話
[1176.82-1179.82] 其實是上半年是比下半年來講來的好
[1179.82-1181.82] 那客戶有沒有提前拉貨
[1181.82-1183.82] 應該多多少少有提前一些啦
[1188.82-1191.82] 那下一題是包括寶德信投機的陳明勳
[1191.82-1193.82] 還有KGI的Angela都有問
[1193.82-1198.82] 就是今年度2Q或者是下半年
[1198.82-1200.82] 各個產品主要產品線
[1200.82-1205.82] 包括MB Server跟AI Server的展望
[1205.82-1207.82] 不知道同事這邊是怎麼看的
[1210.82-1213.82] 講說講Server好了
[1213.82-1216.82] 其實第二季來講是會比較成長
[1216.82-1218.82] 相對比第一季來講還是
[1218.82-1220.82] 我目前預估以目前數字來看
[1220.82-1222.82] 第二季比第一季成長
[1222.82-1225.82] 不管在Server還是筆電上面來講都是成長的
[1225.82-1228.82] 下半年就如果我剛剛講的就是下半年來講
[1228.82-1230.82] 目前客戶的預估都是比較保守
[1230.82-1232.82] 因為關稅不確定因素嘛
[1232.82-1234.82] 所以他們也不敢放太多的量就對了
[1235.82-1240.82] 那Server Notebook這產品線來講幾乎都是一樣的Pattern
[1243.82-1247.82] 那在AI Server的部分
[1247.82-1250.82] 目前還是以Buy and Sell的Term嗎
[1250.82-1254.82] 還是說有跟客人討論做consign
[1254.82-1258.82] 那第一季的話AI Server的營收比重
[1258.82-1260.82] 大概是佔多少
[1260.82-1264.82] 那第二季的話AI Server的營收我們又預估會達到多少呢
[1265.82-1270.82] 先回答AI Server來講
[1270.82-1274.82] 其實目前客戶幾乎都有有Buy and Sell也有consign的
[1274.82-1276.82] 兩個都有
[1276.82-1278.82] 這個看Dependent on客戶的需求
[1278.82-1280.82] 所以兩個都有
[1280.82-1284.82] 那佔的比重金額
[1284.82-1290.82] AI Server跟General Pulse Server應該50% 50%吧
[1290.82-1292.82] 以金額來講嘛
[1292.82-1294.82] 因為畢竟AI Server比較貴嘛
[1294.82-1297.82] 所以我們也不太會有Buy and Sell的
[1297.82-1299.82] 那這個就是我們在這個部分
[1299.82-1301.82] 那接下來是
[1301.82-1303.82] 那再來是
[1303.82-1305.82] 那再來是
[1305.82-1307.82] 那再來是
[1307.82-1309.82] 那再來是
[1309.82-1311.82] 那再來是
[1311.82-1313.82] 那再來是
[1313.82-1315.82] 那再來是
[1315.82-1317.82] 那再來是
[1317.82-1319.82] 那再來是
[1319.82-1321.82] 那再來是
[1321.82-1323.82] 那再來是
[1323.82-1329.82] 畢竟來講我們成家泰國廠
[1329.82-1330.82] 還有那麽亞洲一些廠
[1330.82-1333.82] 也就是馬來西亞還有墨西哥廠
[1333.82-1336.82] 那些擴廠一定會讓營業費用變高
[1339.82-1342.82] 好接下來問題來自Jtır Morgan Albert
[1342.82-1344.82] 想要問的是第一剔伍具 spor актив產品組合的改變
[1344.82-1347.82] 是不是主要受到中國CSB客人的影響
[1347.82-1352.82] 這部分訂單的動能是不是會延續
[1352.82-1359.82] 那當然就是有沒有看到最近美國的禁令會影響到中國這些CSP客人的訂單呢?
[1359.82-1369.82] 第一季其實沒有,因為大陸CSP的量有增加是,但是也不純粹是中國的CSP啦
[1369.82-1374.82] 那第二季來講其實應該也差不多
[1374.82-1380.82] 我覺得CSP目前來講至少一些客戶來講,不管是大陸或中國來講其實需求還是蠻強勁的
[1380.82-1384.82] 那我還有其他,另外一個想要講什麼問題?
[1384.82-1390.82] 你說禁運那一部分是不是?
[1390.82-1395.82] 其實禁運那一部分其實我們應該就是被動啦,因為這完全看美國的決定
[1395.82-1402.82] 所以看美國的規定我們follow這個路而走,那到時候再看怎麼來做應變就對了
[1402.82-1408.82] 好,那JB Morgan Albert有繼續提問就是
[1408.82-1410.82] 如果看全年的訂單,就是要看全年了
[1410.82-1421.82] 你不考慮上下半年的季節性變化,PC跟Server的需求和前三個月前相比,訂單有沒有變化?
[1421.82-1427.82] 那如果有的話是不是特定的訂單跟特定的客戶變化比較大?
[1427.82-1434.82] 目前我們看起來來講,以Notebook來講其實訂單是跟去年比起來是成長的
[1434.82-1438.82] Server的整個以量來講還是成長,兩個都是成長的
[1438.82-1440.82] 但是其實我們Riverlink修正有的部分是因為
[1440.82-1443.82] 你匯率的影響,必須把Riverlink往下修嘛
[1443.82-1447.82] 那本來全年預估是應該會成長,那現在我們預估來講
[1447.82-1450.82] 全年預估應該是跟去年來講會持平或小幅成長
[1450.82-1454.82] 不過這取決於下半年啦,因為下半年來講預估是很保守啦
[1454.82-1459.82] 所以如果下半年變好的話,那整體來講還是會變好的
[1463.82-1467.82] 好,謝謝,那下一題是來自KGI的Angel啊
[1467.82-1469.82] 他想要問說剛剛提到的這個
[1470.82-1475.82] 對中國禁運的話,對公司影響的幅度大概會有多少?
[1475.82-1480.82] 那去年的中國客戶的比重大概是佔比多少?
[1480.82-1487.82] 其實比重不高啦,其實我們現在雖然是客戶是中國
[1487.82-1490.82] 但是其實我們不見得是訂單是銷往中國
[1490.82-1494.82] 因為我覺得基本上客戶來講,在海外的據點來講
[1494.82-1497.82] 其實那部分我們佔的比例會比較高一點
[1497.82-1499.82] 所以如果你不是銷往中國來講的話
[1499.82-1503.82] 其實有些是沒有在這個限制裡面嘛
[1503.82-1505.82] 所以我們還是可以出的
[1505.82-1509.82] 有些他們有取到一些許可,比如說銷往歐洲、東南亞地區
[1509.82-1515.82] 那真正銷中國的部分來講,我想基本上三個月來講不會太影響
[1515.82-1518.82] 因為畢竟這些中國客戶之前都有先備好庫存嘛
[1520.82-1528.82] 好的,那目前沒有,線上沒有,投資簽名舉手也沒有訊息的部分
[1528.82-1532.82] 那我這邊再追加問幾個問題
[1532.82-1535.82] 就是剛剛有提到AI Server的部分嘛
[1535.82-1541.82] 那尤其是大家比較多討論的GB200或者是HGS B200
[1541.82-1545.82] 或者是下一代的GB300、HGS 300這個部分的產品
[1545.82-1555.82] 請問一下,公司目前看在客戶端的底面的部分的趨勢大概是怎麼樣?
[1555.82-1557.82] 那公司又預估說這些
[1558.82-1566.82] 高單價的AI Server大概什麼時間點可以比較明顯的對公司的營運有益助呢?
[1568.82-1573.82] 其實整體來講,就是說針對整個Markit來講我們不是很清楚啦
[1573.82-1575.82] 我們只能講說英爾達內部來講
[1575.82-1581.82] 其實我們目前來講,那個B200的產品線量是比較多的
[1581.82-1583.82] 其實B200本身來講是比較少的
[1583.82-1588.82] 那以貢獻度來講,其實應該講B200現在就已經在出現了
[1588.82-1590.82] 因為早就已經在出貨了
[1590.82-1592.82] 所以就是非常想客戶的需求
[1592.82-1598.82] 那不過來講,目前看起來還是成長的趨勢還是蠻明顯的
[1598.82-1603.82] 那B300的部分呢?目前schedule
[1603.82-1605.82] B300要到下半年才會量產吧
[1605.82-1608.82] B300其實目前來講還不知道
[1608.82-1611.82] 但是有些客戶已經有在談B300的一些合作了
[1611.82-1613.82] 那只是說我們先把產品規定
[1613.82-1616.82] 後面的量來講,目前客戶的Focus事實上來講
[1616.82-1618.82] 真的B300沒有發生了
[1618.82-1621.82] 所以我們就要把B300的產品規定放出來
[1621.82-1623.82] 好的,了解
[1623.82-1627.82] 那下一個問題是David Morgan的Albert
