[0.00-3.72] 欢迎大家参加亚洲光学股份有限公司
[536.04-540.26] 这 mocktail里面
[540.26-543.22] 也在涉及到那个
[543.22-545.96] 保险既对便宜货的性货
[545.96-551.12] 变化 吃 bills
[551.12-556.92] 那这是我们人员看看
[556.92-557.14] 有没有变化
[557.14-561.08] 但是你说
[561.08-561.72] 现在看当 Door Chase就是太大了
[561.72-564.72] 休息中的時間,請大家先不要離開。
[591.72-621.70] 請大家先不要離開。
[621.72-651.70] 請大家先不要離開。
[651.72-681.70] 請大家先不要離開。
[681.72-711.70] 請大家先不要離開。
[711.72-741.70] 請大家先不要離開。
[741.72-771.70] 請大家先不要離開。
[771.72-801.70] 請大家先不要離開。
[801.72-831.70] 請大家先不要離開。
[831.72-861.70] 請大家先不要離開。
[861.74-862.28] 請大家先不要離開。
[862.28-864.44] 請大家先不要離開。
[864.46-865.30] 請大家abilities
[865.32-867.02] 請大家不同的
[867.04-869.22] 請大家以上有什麼想法
[869.54-882.44] 要不要
[882.44-883.76] 請照片
[883.78-884.28] 買空的
[884.30-886.30] B k
[887.62-890.42] Гос vine
[890.44-890.58] O
[890.60-890.66] O
[890.68-890.72] O
[890.72-890.90] 二
[890.90-891.44] 換
[891.44-891.66] 羊
[891.66-891.70] chool
[891.72-895.72] 展望車用鏡頭跟2024年比較起來大概一樣
[895.72-899.72] 大概也是1000萬個
[899.72-904.72] 那麼每季第一客戶2025年移到電動車下降價瓦
[904.72-907.72] 目前接到的訂單
[907.72-911.72] 有看到包括過後就是到第一季第二季
[911.72-913.72] 都還是很正常
[913.72-915.72] 第三季就不知道
[915.72-920.72] 再來展望2026年車用鏡頭規格是否對
[920.72-921.72] 沒錯
[921.72-927.72] 現在是8M、12M是有這個趨勢
[927.72-928.72] 第三
[928.72-933.72] 自駕趨勢對近者科數的影響
[933.72-935.72] 大家知道現在目前
[935.72-945.72] Tesla有一個Model Y新的出來
[945.72-947.72] 它有在前面增加一顆
[947.72-949.72] 本來是8顆變9顆
[949.72-950.72] 那顆是100顆
[950.72-951.72] 不是亞洲風險做的
[951.72-955.72] 是北京做的180度的這個廣角的鏡頭
[955.72-958.72] 現在所以說本來是8顆現在變9顆
[958.72-962.72] 以後可能FHD投的都會用9顆
[962.72-964.72] 機械人鏡頭規格
[964.72-967.72] 一台機械人會用到相當多
[967.72-972.72] 大概目前所了解的7顆8顆都有
[972.72-974.72] 那幾顆鏡頭我們的實戰力
[974.72-976.72] 大家知道現在目前機械人
[976.72-978.72] 大家都是在製作之中
[978.72-979.72] 還沒有一家公司啊
[979.72-981.72] 都很大量在生產
[981.72-983.72] 這個我想大家都很清楚
[983.72-984.72] 接下來
[984.72-987.72] 許先生、許聖宗先生、紅星投資
[987.72-989.72] 請問第四季稅率為何暴增
[989.72-991.72] 我這個我就不曉得
[991.72-995.72] 那以2024年全年的平均的稅率
[995.72-997.72] 也是落在這個18.5%
[997.72-1001.72] 那麼第四季因為個別公司有這個CMC的影響
[1001.72-1004.72] 所所所提升的一個狀況
[1004.72-1007.72] 但是全年能來是落在這個合理的水平
[1007.72-1008.72] 在18.5%裡面呢
[1008.72-1010.72] 我們就在18.5%左右
[1010.72-1012.72] OK好謝謝
[1012.72-1014.72] 我們先整理一下問題
[1014.72-1016.72] 請大家先不要離開
[1068.72-1077.72] 我們先整理一下
[1077.72-1079.72] 好
[1079.72-1080.72] 好
[1080.72-1081.72] 好
[1081.72-1082.72] 好
[1082.72-1083.72] 好
[1083.72-1084.72] 好
[1084.72-1085.72] 好
[1085.72-1086.72] 好
[1086.72-1087.72] 好
[1087.72-1088.72] 好
[1088.72-1089.72] 好
[1089.72-1090.72] 好
[1090.72-1091.72] 好
[1091.72-1092.72] 好
[1092.72-1093.72] 好
[1093.72-1094.72] 好
[1094.72-1095.72] 好
[1095.72-1096.72] 好
[1096.72-1097.72] 好
[1128.72-1129.72] 好
[1129.72-1131.72] 好
[1131.72-1132.72] 好
[1132.72-1133.72] 好
[1133.72-1134.72] 好
[1137.72-1138.72] 好
[1138.72-1139.72] 好
[1139.72-1140.72] 好
[1140.72-1142.72] 好
[1142.72-1143.72] 好
[1143.72-1145.72] 好
[1145.72-1156.72] 好
[1156.72-1161.72] 請問2024年營業費用組成以及費用偏高原因
[1161.72-1162.72] 這個吳
[1162.72-1165.72] 第四季2024年Q4
[1165.72-1168.72] 營業費用組成以及費用偏高原因
[1168.72-1170.72] 是不是說明一下吳董事
[1170.72-1176.72] 2024年的第四季跟去年同期的一個比較
[1176.72-1178.72] 那麼第四季的話
[1178.72-1181.72] 你可以看到營收已經大幅的成長了
[1181.72-1182.72] 這個31%
[1182.72-1188.72] 那麼盡力的營業費用的部分才成長了差不多是8%
[1188.72-1190.72] 那我覺得這是正常的水平
[1190.72-1192.72] 我們可以看到稅後盡力的部分
[1192.72-1196.72] 稅後盡力是3.7億相較於這個2024年的第四季
[1196.72-1198.72] 也增加了34%
[1198.72-1202.72] 所以基本上我們按照張淳的規定
[1202.72-1204.72] 是按照這個稅後盡力的部分
[1204.72-1206.72] 是提升員工的紅利的
[1206.72-1208.72] 所以有稍微增加
[1208.72-1211.72] 但是基本上它增加的幅度並不大
[1211.72-1212.72] 好
[1212.72-1242.72] 
[1242.72-1272.72] 
[1272.72-1274.72] 我們預估大概增長兩倍
[1274.72-1276.72] 最少兩倍
[1276.72-1278.72] 兩倍所謂兩倍就是去年在這方面
[1278.72-1280.72] 大概有20億
[1280.72-1283.72] 那以兩倍來算大概就是增加20億
[1283.72-1286.72] 就是大概就是變40億
[1286.72-1289.72] 可能是變成比較大的一個成長
[1289.72-1292.72] 那第三個是苗種地
[1292.72-1294.72] 苗種地大概增加30%
[1294.72-1298.72] 原來10億大概增加3億左右
[1298.72-1300.72] 再來就是剛才講的這個林靜
[1300.72-1301.72] 有6億
[1301.72-1304.72] 有6億增加到8億增加2億
[1304.72-1309.72] 大概這個回答這個張小姐的問題
[1309.72-1313.72] 接下來是陳小姐的問題
[1313.72-1315.72] 請問今年已經說獲利
[1315.72-1316.72] 我剛才講過了
[1316.72-1318.72] 今年的資本支出
[1318.72-1321.72] 資本支出剛才去年大概9億
[1321.72-1324.72] 大概今年會增加到20億左右
[1324.72-1326.72] 今年因為很多的生產
[1326.72-1327.72] 並且要特別在投資
[1327.72-1330.72] 所以又增加到20億左右
[1330.72-1331.72] 去年大概9億
[1331.72-1333.72] 今年大概20億
[1333.72-1337.72] 再來統一投信的廖先生吧
[1337.72-1340.72] 2025年營收展望剛才報告過
[1340.72-1341.72] 就不再重複了
[1341.72-1344.72] 產品生產排行剛才報告過
[1344.72-1346.72] 2025年毛利展望應該
[1346.72-1348.72] 尤其是數位相機
[1348.72-1352.72] 這幾個剛剛講的都是比較高階的東西
[1352.72-1354.72] 所以應該毛利都可以
[1354.72-1359.72] 跟去年2024年大概會不會
[1359.72-1361.72] 不會差不會好而已
[1361.72-1364.72] 2024年車載進單數
[1364.72-1367.72] 2024年剛才講大概1200萬
[1367.72-1369.72] 剛才有位投資算是1200萬個
[1369.72-1372.72] 今年我想大概總總加加起來
[1372.72-1374.72] 應該也是這個數字
[1374.72-1378.72] 第四個2025年數位相機進走出貨展望
[1378.72-1381.72] 數位相機基本上都是完整整機
[1381.72-1383.72] 成產動能為何
[1383.72-1386.72] 剛才講因為最近就是從去年一年前開始
[1386.72-1388.72] 數位相機忽然
[1389.72-1394.72] 4倍5倍20倍都是成長
[1394.72-1399.72] 尤其是那個防水的
[1399.72-1402.72] 都是很快的成長
[1402.72-1406.72] 剛才講有2023年的86萬
[1406.72-1408.72] 到2020年136萬台
[1408.72-1411.72] 去年出貨136萬台
[1411.72-1414.72] 今年目前現在都是200萬台
[1414.72-1416.72] 所以這個是成長一個動能
[1416.72-1417.72] 第五
[1417.72-1419.72] 人型機械人
[1419.72-1421.72] 進走說剛才講人型機械人
[1421.72-1423.72] 目前大家看市場上都還沒有
[1423.72-1425.72] 一家大量大量在生產
[1425.72-1429.72] 那麼所以都在做樣品的階段
[1429.72-1432.72] 所以對營收貢獻不大
[1432.72-1436.72] 接下來Cathy是張先生
[1436.72-1438.72] 請教人請教一樣
[1438.72-1440.72] 車載機會有多樣的進走
[1440.72-1442.72] 剛才決賽客戶有日本
[1442.72-1445.72] 有美國有歐洲的都有
[1445.72-1447.72] 接下來
[1447.72-1449.72] 劉先生吧
[1449.72-1451.72] 劉先生請問
[1451.72-1454.72] 請問Q3Q4毛利差異在哪裡
[1454.72-1456.72] 這個我來回答
[1456.72-1458.72] 毛利的差異主要是在
[1458.72-1460.72] 營收規模的一個大小
[1460.72-1462.72] 那麼P3機是我們這個
[1462.72-1464.72] 2024年營收最高的一個月份
[1464.72-1467.72] 營收達到這個68億元左右
[1467.72-1469.72] 那麼第四季因為
[1469.72-1471.72] 這個快過年的關係
[1471.72-1473.72] 有營收稍微下來一點點
[1473.72-1475.72] 所以最主要是營收的差異
[1475.72-1476.72] 所造成的
[1476.72-1477.72] 好
[1477.72-1479.72] 接下來是
[1479.72-1481.72] 黃先生他問
[1481.72-1484.72] 問了2020年的Q4
[1484.72-1487.72] 第四季的產品組合
[1487.72-1490.72] 產品組合這個請吳董事發表一下
[1490.72-1491.72] 來報告一下
[1491.72-1493.72] 整個2024年全年來講
[1493.72-1495.72] 這個光學元件呢
[1495.72-1497.72] 占了差不多是49個%
[1497.72-1499.72] 那麼數碼相機的部分呢
[1499.72-1501.72] 占了差不多是13個%
[1501.72-1504.72] 再來是這個我們瞄準器的部分呢
[1504.72-1506.72] 占了差不多是5個%
[1506.72-1507.72] 那再來一個
[1507.72-1509.72] 其他就是其他光學的零組件呢
[1509.72-1512.72] 也占了差不多12個%左右
[1512.72-1515.72] 那再來就是這個CS占了差不多19個%
[1515.72-1516.72] 以及呢
[1516.72-1519.72] 再來一個是其他其他就是這個
[1519.72-1521.72] 我們的一些小的這個
[1521.72-1523.72] 美色特技等等
[1523.72-1525.72] 占了差不多是兩個%左右
[1525.72-1527.72] 好
[1527.72-1529.72] 那麼接下來問題是
[1529.72-1531.72] 也是黃先生的問題
[1531.72-1533.72] Meta Lens的進度
[1533.72-1535.72] 以前跟各位報告過一樣的
[1535.72-1538.72] Meta Lens亞洲風險已經focus在兩個
[1538.72-1540.72] 兩個項目
[1540.72-1544.72] 一個是手機用的Face Detection
[1544.72-1548.72] 另外一個是AR裡面用的Wave Guide
[1548.72-1550.72] 這兩個都是在試做樣品中
[1550.72-1552.72] 尤其是Face Detection
[1552.72-1556.72] 基本上最近一兩個月就會完成了
[1556.72-1558.72] 然後送樣給客戶來認證
[1558.72-1560.72] 認證之中
[1560.72-1561.72] 認證
[1561.72-1564.72] 接下來機械人有關進單
[1564.72-1566.72] 剛才有報告來自於歐洲日本美洲
[1566.72-1567.72] 來自於歐洲日本美洲
[1567.72-1569.72] 都有
[1569.72-1571.72] 接下來一個黃先生
[1571.72-1573.72] 測試它被歐洲幾次是不是
[1573.72-1575.72] 大大影響我們的出貨
[1575.72-1577.72] 目前應該沒有影響
[1577.72-1579.72] 可能有一點注意
[1579.72-1581.72] 但是它有一個新機種出來
[1581.72-1583.72] 聽說是賣得很好
[1583.72-1585.72] 就是Model Y
[1585.72-1587.72] Model Y是世界上賣得最好
[1587.72-1589.72] 而且它現在最近改型了
[1589.72-1591.72] 改型狀的
[1591.72-1593.72] 加了很多的功能
[1593.72-1595.72] 好像外型也都有很大的改變
[1595.72-1597.72] 好像是人受歡迎了
[1597.72-1599.72] 就不知道
[1599.72-1601.72] 目前我覺得今天是沒有什麼影響
[1601.72-1603.72] 再來
[1603.72-1607.72] 請問能產產2025年毛利漲化嗎
[1607.72-1609.72] 能不能在產品優化下
[1609.72-1611.72] 逐漸成長
[1611.72-1613.72] 這個就是能夠往高階
[1613.72-1616.72] 就是說比較少人做的
[1616.72-1618.72] 不是技術比較高
[1618.72-1620.72] 門檻比較高的
[1620.72-1622.72] 基本上毛利都會比較高
[1622.72-1624.72] 這是亞洲光姐一直努力的方向
[1624.72-1627.72] 再來是一個李先生
[1627.72-1629.72] 應該是李先生
[1629.72-1631.72] 是否打入機械人工藝
[1631.72-1633.72] 剛才已經報告過了
[1633.72-1635.72] 都在打樣子中
[1635.72-1636.72] 再來
[1636.72-1639.72] 顏蔡 陳先生 陳小姐
[1639.72-1641.72] 請問2024年Q4
[1641.72-1643.72] 與2024年產品組合
[1643.72-1645.72] 車用以鏡頭為主
[1645.72-1647.72] 是否未來看好
[1647.72-1653.72] 剛才我們吳董事也報告過Q4的組合了
[1653.72-1655.72] 那麼下面一個問題
[1655.72-1656.72] 車用以鏡頭為主
[1656.72-1658.72] 當然是我們亞洲光姐是
[1658.72-1659.72] 都交鏡頭為主
[1659.72-1662.72] 包括我們跟LGIT合作的
[1662.72-1666.72] 除了日本還有韓國
[1666.72-1669.72] 還有歐洲幾個客戶的鏡頭
[1669.72-1671.72] 都在試做交貨之中
[1671.72-1673.72] 都會有成長的空間
[1673.72-1675.72] 但是目前他們的量
[1675.72-1677.72] 是沒有辦法跟美國來講來比
[1677.72-1679.72] 是我未來看好
[1679.72-1682.72] 我想只要EV卡
[1682.72-1686.72] 就是電動車成長的話
[1686.72-1689.72] 這個鏡頭也一樣會成長
[1689.72-1692.72] 接下來周乃安是先生
[1692.72-1694.72] 周乃安不是周先生
[1694.72-1697.72] 周先生吧
[1697.72-1701.72] 請教公司目前產品營所比重
[1701.72-1702.72] 剛才報告過了
[1702.72-1705.72] 2025年各業務成長新框架
[1705.72-1706.72] 剛才我也說明過
[1706.72-1707.72] 我就不再重複了
[1707.72-1712.72] 台中營政界吳先生
[1712.72-1715.72] 對今年上下半年展望如何
[1715.72-1718.72] 目前車用訂單能見度
[1718.72-1720.72] MetaRace有新的進度分享嗎
[1720.72-1722.72] 機械人商品客戶更新
[1722.72-1724.72] 剛才講過
[1724.72-1728.72] 剛才我對今年2025年整體的展望
[1728.72-1730.72] 已經報告過了
[1730.72-1732.72] 目前車用訂單也是報告過了
[1732.72-1735.72] 就是說目前在已經收到第二季
[1735.72-1737.72] 目前都沒有減少
[1737.72-1740.72] 都是看得都還不錯
[1740.72-1743.72] MetaRace有進度剛才說明過了
[1743.72-1744.72] 就是我們兩個
[1744.72-1747.72] 我們Focus在Face Detection
[1747.72-1752.72] 跟AR裡面用的Wave Guide
[1752.72-1754.72] 都是在製作中
[1754.72-1757.72] 機械人產品剛才也講過了
[1757.72-1759.72] 報告過我就不再重複了
[1759.72-1763.72] 接下來陳先生就問的
[1763.72-1765.72] 請問AR引進發展進化之路
[1765.72-1767.72] 貴公司主要負責來賦
[1767.72-1769.72] 亞洲工學目前就有在生產
[1769.72-1772.72] 在一年半以前就開始生產
[1772.72-1774.72] AR用的引進
[1774.72-1776.72] 用引進的鏡頭
[1776.72-1778.72] 雙邊都有鏡頭
[1778.72-1779.72] 鏡頭很小的鏡頭
[1779.72-1781.72] 大概他們講的cc
[1781.72-1782.72] 大概1cc
[1782.72-1784.72] 目前做的是1.1cc
[1784.72-1787.72] 大家都希望在做到1.1cc以下
[1787.72-1788.72] 兩個鏡頭
[1788.72-1789.72] 所以本來就在生產
[1789.72-1791.72] 但是還是量不大
[1791.72-1795.72] 剛才亞洲工學Focus最大的
[1795.72-1797.72] 還是AR鏡頭裡面
[1797.72-1799.72] AR鏡頭裡面的Wave Guide
[1799.72-1801.72] 但是用MetaRace來做
[1801.72-1802.72] 比現在的效果跟現在的鏡頭來做
[1802.72-1803.72] 比現在的效果跟現在的鏡頭來做
[1803.72-1808.72] 效果跟性能跟價格有很大的優勢
[1808.72-1812.72] 好接下來陳先生陳建榮先生請問
[1812.72-1815.72] 公司對機械人是不是覺得有進展
[1815.72-1816.72] 剛才已經報告過
[1816.72-1818.72] 我就在速度入中
[1818.72-1822.72] 再來羅夫先生
[1822.72-1829.72] 今年度的成長動力是我優於7年
[1829.72-1831.72] 幾個項目
[1831.72-1833.72] 剛才講數位相機優於7年
[1833.72-1840.72] 無人機跟那個運動相機也是優於7年
[1840.72-1845.72] 還有手機的寧靜應該優於7年
[1845.72-1848.72] 還有一個就是瞄準器也是優於7年
[1848.72-1850.72] 這只要這四個動能
[1850.72-1852.72] 主要來自我這已經說明過
[1852.72-1854.72] 車用鏡頭目前的業單業出的都一樣
[1854.72-1858.72] 跟去年大概沒有什麼大的變化
[1858.72-1861.72] 理解公司目前是進現金經營
[1861.72-1863.72] 不過隨著媒體的進展動力
[1863.72-1865.72] 還有MetaLens的技術發展
[1865.72-1866.72] 營業量產接近
[1866.72-1870.72] 會有股權融資或者銀行債管等需求嗎
[1870.72-1872.72] 目前應該是還不要
[1872.72-1874.72] 因為我們MetaLens來講
[1874.72-1878.72] 亞洲貿易協作這個也是建心式的
[1878.72-1881.72] 不是說一下就投好幾十億
[1881.72-1884.72] 好幾百億我們就是建心式的方式
[1884.72-1887.72] 對於實際上市場上會接受的
[1887.72-1891.72] 我剛剛講目前MetaLens能夠接受的就是
[1891.72-1894.72] 電子跟那個AR用的這個Wave Guide
[1894.72-1896.72] 所以說我們對這個的話
[1896.72-1898.72] 並沒有什麼很大的融資
[1898.72-1901.72] 並沒有應該還不用向銀行貸款的需求
[1901.72-1905.72] 接下來楊耀華先生
[1905.72-1907.72] 請問亞光在機械人交易的部級
[1907.72-1909.72] 剛才說過了
[1909.72-1912.72] 機械人這個毛利
[1912.72-1914.72] 自我優於公司平均
[1914.72-1915.72] 所以2020就是
[1915.72-1919.72] 所以剛才報告過我就不再重複了
[1919.72-1922.72] 是從銀行投資的許先生
[1922.72-1924.72] 請問目前對機械人的部級
[1924.72-1926.72] 我們已經有特殊的公司公司
[1926.72-1928.72] 自我也打入公民電
[1928.72-1931.72] 這個因為客人我就不方便講
[1931.72-1934.72] 但是就是亞通在製作機械人的
[1934.72-1936.72] 機械人的鏡頭在製作中
[1936.72-1940.72] 元大的陳理財 陳小姐吧
[1940.72-1942.72] 請問2025年Q1
[1942.72-1944.72] 是2025年展望
[1944.72-1948.72] 各產品別抗好
[1948.72-1949.72] 或不抗好
[1949.72-1950.72] 相簿
[1950.72-1951.72] 基本上看好事項
[1951.72-1953.72] 剛才已經報告過了
[1953.72-1954.72] 再簡單講一下
[1954.72-1957.72] 就是說數位相機
[1957.72-1959.72] 車載還有一個就是
[1959.72-1961.72] 看好了就是我們無人機
[1961.72-1963.72] 跟運動相機的鏡頭
[1963.72-1966.72] 再來就是瞄準機
[1966.72-1969.72] 好 再來就是手機的離近
[1969.72-1973.72] 接下來大方投資的王穎小姐
[1973.72-1974.72] 我不知道
[1974.72-1976.72] 請問2024年Q4
[1976.72-1977.72] 毛利下降原因
[1977.72-1978.72] 剛才已經說明過了
[1978.72-1980.72] 剛才報告過了
[1980.72-1985.72] 王先生請問今年有沒有
[1985.72-1988.72] 今年有什麼展望跟發展
[1988.72-1993.72] 看報上的有打可是卻沒有人出來說
[1993.72-1998.72] 看報表上有打可是卻沒有人出來說
[1998.72-1999.72] 這什麼意思
[1999.72-2003.72] 這我不適合了解
[2003.72-2004.72] 展望剛才已經講過
[2004.72-2006.72] 2025年跟2024年
[2006.72-2007.72] 有成長的情況
[2007.72-2009.72] 有成長的展望
[2009.72-2011.72] 都已經報告過
[2011.72-2015.72] HG Capital裡面的王威廉王先生
[2015.72-2017.72] 今年各產品的營運展望
[2017.72-2018.72] 剛才報告過
[2018.72-2021.72] 請問2024年Q4
[2021.72-2022.72] 毛利下降原因
[2022.72-2023.72] 這也剛才報告過
[2023.72-2025.72] 今年毛利展望
[2025.72-2029.72] 空是在人型機械的佈局
[2029.72-2031.72] 目前機械的營運收入比例
[2031.72-2033.72] 2020年各產品營運收入占比
[2033.72-2034.72] 這幾個都回答過了
[2034.72-2035.72] 2020年各產品營運收入占比
[2035.72-2036.72] 這幾個都回答過了
[2036.72-2037.72] 2020年各產品營運收入占比
[2037.72-2038.72] 也說明過了吧
[2038.72-2039.72] 抱歉
[2039.72-2042.72] 元大陳麗莎小姐
[2042.72-2045.72] 請問公控占比
[2045.72-2046.72] 公控占比是什麼意思
[2046.72-2047.72] 請問機械人
[2047.72-2048.72] 公控占比
[2048.72-2049.72] 我就不知道什麼意思
[2049.72-2050.72] 請問機械人
[2050.72-2052.72] 開挖案有在開挖
[2052.72-2053.72] 在中央中
[2053.72-2054.72] 公控占比我就不了解
[2054.72-2055.72] 是什麼意思
[2055.72-2056.72] 不好意思
[2056.72-2057.72] 再來楊 吉達楊
[2057.72-2058.72] 楊先生
[2058.72-2060.72] 目前車用進口中的經驗展望
[2060.72-2062.72] 以及對接下來的FSD
[2062.72-2064.72] 我對Tesla的FSD
[2064.72-2065.72] 對Tesla的FSD
[2065.72-2066.72] 對Tesla的FSD
[2066.72-2067.72] 我對Tesla的FSD
[2067.72-2068.72] 我在美國
[2068.72-2069.72] 這次去年11月
[2069.72-2070.72] 去看
[2070.72-2071.72] 特別租了一台
[2071.72-2073.72] 那時候還是12
[2073.72-2074.72] 12點幾
[2074.72-2075.72] V12.5的吧
[2075.72-2076.72] 現在就進到12點13了
[2076.72-2077.72] 現在就進到12點13了
[2077.72-2078.72] 現在就進到12點13了
[2078.72-2079.72] 現在就進到12點13了
[2079.72-2080.72] 現在就進到12點13了
[2080.72-2081.72] 12 13.2了吧
[2081.72-2082.72] 看那個報告
[2082.72-2083.72] 而且我試用過
[2083.72-2084.72] 12.5非常的不錯
[2084.72-2085.72] 而且我試用過
[2085.72-2086.72] 12.5非常的不錯
[2086.72-2087.72] 從
[2087.72-2088.72] 我從
[2088.72-2089.72] 從那個洛杉磯
[2089.72-2090.72] 駕了飛機
[2090.72-2091.72] 駕了飛機
[2091.72-2092.72] 直接租了一台
[2092.72-2093.72] 直接租了一台
[2093.72-2094.72] Tesla的FSD
[2094.72-2095.72] Tesla的FSD
[2095.72-2096.72] Tesla的FSD
[2096.72-2097.72] Motor Y
[2097.72-2098.72] Motor Y
[2098.72-2099.72] 都不用去摸
[2099.72-2100.72] 都不用去摸
[2100.72-2101.72] 駕駛盤了
[2101.72-2102.72] 它可以送到
[2102.72-2103.72] 中間還要加油了
[2103.72-2104.72] 中間還要加油了
[2104.72-2105.72] 兩架兩次油
[2105.72-2106.72] 它自動送你到
[2106.72-2107.72] 加油站
[2107.72-2108.72] 不加油了
[2108.72-2109.72] 充電
[2109.72-2110.72] 充電
[2110.72-2111.72] 充兩次電
[2111.72-2112.72] 然後就送
[2112.72-2113.72] 送你直接送到
[2113.72-2114.72] 這個
[2114.72-2115.72] 這個
[2115.72-2116.72] 這個
[2116.72-2117.72] 這個
[2117.72-2118.72] 這個
[2118.72-2119.72] 這個
[2119.72-2120.72] 這個
[2120.72-2121.72] 這個
[2121.72-2122.72] 這個
[2122.72-2123.72] 這個
[2123.72-2124.72] 這個
[2124.72-2125.72] 這個
[2125.72-2133.20] 這個是
[2133.20-2133.52] 這個
[2133.52-2135.92] 吃了
[2135.92-2136.72] 可是
[2136.72-2137.48] 喝了
[2137.48-2138.64] 你是
[2138.64-2139.48] 喝 awakened
[2139.48-2150.52] 喝了
[2150.52-2151.52] 一個
[2151.52-2153.32] Google
[2153.32-2154.28] 人
[2154.28-2155.52] 點
[2155.52-2161.76] 能够在客户面做样品的东西
[2161.76-2162.86] 这方面有这个优势
[2162.86-2164.42] 第四个
[2164.42-2170.76] 请问第四季产品组
[2170.76-2172.12] 第四季
[2172.12-2175.76] 第四季的产品组
[2175.76-2178.38] 事实上跟全年做的是差异不大
[2178.38-2179.98] 只有小数点的差异而已
[2179.98-2182.00] 所以我把全年的投资组
