[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.02-31.60] 各位投资先进午安
[359.94-363.02] 那接下来会有一些更细节的一些说明
[363.02-366.34] 让大家去做一个理解
[366.34-366.86] 那
[366.86-370.18] 在我们光电工程部分我们台湾大概会开
[370.18-376.08] 两个就是会开工两个大型的案场那合计大概是目标开工120个MW
[376.08-377.62] 那海外的部分
[377.62-382.98] 和这个其他绿能工程的部分我们目标会开工200个MW
[382.98-384.52] 同时在菲律宾的部分
[384.52-386.58] 我们其实有参加去参加那个正式的
[386.58-390.16] 政府那个竞标GAP4的那个
[390.16-392.72] 那除能工程的部分
[392.72-395.28] 大家已经知道我们有公告这个莱宝60个MW
[395.28-396.82] 这去年我们已经开工10个%
[396.82-401.18] 那我们也会努力就是目标在今年把它完工
[401.18-406.80] 那我们这个除能柜的部分大概会在Q2或Q3的时候他就会进场安装完成
[406.80-410.38] 那除此之外台湾的除能部分还会开工56个MW
[410.38-412.18] 海外会开工42个MW
[412.18-416.02] 那海外的部分可能就是以日本的除能案场为主
[416.02-419.60] 那水处理的部分其实我们过去已经标下多个大型的
[419.86-420.88] 案子嘛那
[421.14-421.66] 就是
[421.90-423.96] 滨江水资源其实也在今年EQ开工
[424.22-426.78] 然后我们也是目标开工大概7.5到8亿
[428.30-429.84] 那天能绿电的部分
[430.10-433.18] 去年我们总共转工1.8亿度电
[433.68-435.98] 那今年我们已经签约的
[436.24-439.32] 就是会已经签约会转工的目前是3.3亿
[440.60-442.14] 所以全年到年底
[442.38-443.66] 我们期望
[443.92-445.98] 可以做出就是比较更亮眼的数字啊但是
[446.28-448.06] 至少我们已经签了3.3
[448.58-449.10] 好
[449.34-449.86] 所以
[450.12-452.16] 从上一到这一页其实都是在跟
[452.42-454.72] 各位投资前进分享我们今年的这个展望
[456.00-458.30] 好那既然我们提到这个天然绿电
[458.56-460.86] 那我们想跟大家分享一些就是
[461.12-461.90] 成绩
[462.92-463.94] 就是天然的部分
[464.20-468.04] 我们在去年前全年的这个累计这个数据上面
[468.30-470.08] 光电的凭证部分我们
[470.34-471.88] 市占率是29%
[472.14-474.44] 排名在第一名
[476.02-480.12] 好那我们前面刚有提到第3点
[480.38-480.88] 我们要做
[481.14-482.94] 这个资产管理的业务
[483.18-483.44] 那
[483.96-485.74] 我的目标是明年要达到这个
[486.00-487.80] 10亿美金的AVM的规模
[488.06-490.62] 那他其实可以带来一个很长期稳定的获利
[491.12-492.66] 那为什么我们觉得我们做得到呢
[492.92-494.20] 我觉得其实有三点
[494.46-495.48] 想跟大家分享
[495.74-498.04] 第一就是其实我们团队成员他们都是来自那种
[498.30-499.06] 外商的
[499.32-501.36] 那种基础建设基金或infra fund
[502.14-504.94] 同时他们这些团队成员他们都累积了
[505.20-505.72] 大量
[506.02-506.54] 而且成功
[506.78-508.58] 不管是在国内还是国外
[509.10-510.38] 做这种deal
[510.88-511.40] 不管是
[511.66-512.94] solar还是
[513.18-515.50] 就是风电相关的这种暗场交易的经验
[516.00-517.28] 那其实除了
[517.54-521.90] 光电风电以外呢我们这些成员呢他们其实整个supply chain
[522.14-524.96] 可能举例说风电他也做了这些传播啊风机制造
[525.22-526.76] 相关的投资他们也每天在看
[527.78-530.34] 我们也的确做出一些这样的策略性的投资
[530.60-533.66] 所以我们觉得我们在这个资产管理业务上
[533.92-535.20] 我们会开展出来
[535.46-535.98] 然后
[536.28-538.06] 然后会往目标这个10亿美金的
[538.58-539.34] 管理规模前进
[542.94-547.80] 其实我们刚刚提到了东北亚和东南亚以外东南亚除了菲律宾我们
[548.06-550.62] 还有越南还有泰国很多的市场其实
[550.86-552.40] 我们现在都在积极的布局当中
[553.94-556.24] 那我们有参与这个桃园航空城的
[556.76-560.08] 这个智慧绿能发展的这个案
[561.36-564.70] 好前面是一个快速的介绍不管是从我们去年成绩的分享
[565.20-565.98] 到今年的这个
[566.28-566.78] 展望
[567.04-568.06] 那我
[568.32-571.14] 这下我会一个快速的可能三到五分钟的这个公司简介
[571.40-574.72] 让一些比较不熟悉我们的投资人快速了解公司
[576.78-578.30] 一般能源大概有六项业务
[578.56-579.84] 那我们可以说光
[580.36-580.86] 风
[581.38-581.90] 厨
[582.14-582.92] 然后到
[583.18-585.98] 这个电力交易还有水处理最后还有一个环保
[586.50-589.06] 六项业务那我们是在250台币
[589.58-593.66] 那中间的这个圆饼图看跟大家分享过了那右边是我们的这个足迹
[594.18-595.20] 其实用这个图片
[595.20-597.00] 大家可能更容易了解就是
[597.50-600.06] 我们已经从台湾辐射出去这个东北亚和东南亚
[603.90-608.00] 这下就是这其实我们过去有做出一些成绩吗很多载杂质有评选我们吗
[608.52-612.36] 然后这个去年也很有幸有入选这个mc爱的这个
[612.86-613.38] 小型
[613.64-614.14] 小型
[614.40-615.42] 指数的这个成分
[616.70-618.50] 那这是一个过去
[618.76-620.80] 我还来几个重点啊好了就是
[621.06-622.84] 18年我们跟这个
[623.10-623.62] Laroc
[623.88-624.90] 我卖我们这个按
[625.20-625.96] 按照给他们
[626.22-628.28] 然后隔年19年我们就协助
[628.52-629.04] Google
[629.30-631.34] 在亚洲采买的第一度绿电
[631.86-632.36] 然后
[632.62-638.26] 接下来到21年的时候我们就我们就是我们我们做了那个全台湾最大一点工生的按场
[639.02-641.08] 然后在隔年22年我们新贵
[642.10-643.12] 同时我们投资了
[643.38-645.68] 东方风能并且与gogoro和美光
[645.94-646.70] 接下这个
[646.96-647.98] 绿电转工的合约
[648.50-653.10] 然后在往后一年的23年呢我们就去这个TI创新版挂牌
[654.12-655.16] 然后到去年
[655.46-658.28] 我们成为台湾第一家在从创新版
[658.78-659.80] 转主板
[660.06-660.58] 成功的
[661.08-662.12] 的公司
[662.88-667.24] mc也有跟大家分享过说其实我每一年都一直有新的成绩
[667.48-671.58] 那今年呢我们就让我刚才提到的说我们要去做这个
[671.84-672.36] 资产管理
[672.86-674.14] 的这个业务
[675.68-676.20] 好那
[676.44-678.50] 从刚才介绍从我们的赵总经理
[678.76-679.52] 我们谭副总
[680.04-682.08] 我们的这个永续长跟发言人
[682.34-682.84] 就要你
[683.88-684.90] 他们是三位是我们的
[685.46-688.28] 那当然我们还有许多年轻的团队
[688.52-690.84] 还有来自各式各样多元背景的团队
[692.12-692.62] 那
[692.88-693.64] 上一个就是我看
[693.90-698.00] 像今天有来的就答就是在qa时间我们的天然绿电的总经理唐总
[698.26-698.76] 跟大家有
[699.02-699.80] 更多的分享
[703.88-704.40] 那
[704.66-705.16] 云报
[705.68-709.78] 我们在开展这些业务的话其实我们有看到很多的趋势吗
[710.04-710.54] 那我们就
[710.80-713.88] 让我们就是在很多业务上我们可以不断的前进
[714.12-715.16] 那当然最基金
[715.46-715.96] 其实是
[716.74-718.52] 大家有遇到这个减碳
[718.78-720.84] 还有这个阿姨100的需求
[721.08-724.68] 所以我们就是要highlight出来想让很多投资人了解到为什么
[725.70-726.98] 我们这么自立
[727.24-728.26] 以长期发展
[728.52-729.02] 这个
[729.28-730.56] 再生能源的这个投资
[733.12-734.40] 好那我们的目标是什么
[734.92-735.94] 其实一直以来
[736.20-737.48] 我们的目标就是
[739.00-742.60] 我们对就是我们都不要就是成为在这个产业甚至在台湾这个市场
[743.62-744.64] 里面我们都要是
[744.90-745.66] ROE是
[745.92-747.46] 名列前茅的公司
[747.96-751.56] 那ROE要名列前茅其实除了营收稳定的成长以外
[752.06-754.62] 我们也做出了很多卓越的策略投资
[757.18-757.70] 那
[758.20-760.52] 我们其实每年我们都有在
[760.76-761.80] 就是检视
[762.04-762.82] 我们的ROE
[763.32-764.60] 大概在哪个水准
[764.86-768.20] 那我们也有去抓出来全台湾上市的
[768.44-771.26] 然后是用绿能环保上市的企业的这个ROE
[771.52-772.04] 那
[772.28-772.80] 目前
[773.32-774.60] 所以黄色那条线是
[774.90-778.22] 今年已经开出财报的这15间绿能环保的公司
[778.48-779.76] 他们取的中位数
[780.02-781.04] 一直以来大概
[781.30-783.08] 大概都在10到12个percent
[784.12-787.44] 那我们今年是22个percent那一直以来我们都可以
[787.70-789.74] 过去三年了我们都会在20个percent以上
[790.00-792.04] 20个percent的水准
[792.30-793.58] 去年是30个percent
[796.14-798.44] 好那这边其实就是recap
[798.70-801.00] 就是我们前面我们这个各项业务嘛那
[801.26-803.06] 其实我们每一个业务下面都还有一个
[803.32-804.60] 都有一个子公司
[804.90-805.66] 很自立在发展
[806.18-806.94] 就是那个
[807.20-807.96] 该项的小业务
[808.22-809.76] 像我们的除能有台博威
[810.02-810.78] 水疏离有尾盛
[811.04-813.08] 我们售电平台有这个天然绿电
[813.34-814.62] 那在这个策略
[815.14-817.44] 风电的部分我们透过策略投资参与了
[817.70-818.20] 好几个案子
[818.46-819.74] 其中包括东方风能
[820.00-820.76] 还有我们的瑞丰
[823.84-824.36] 好
[824.60-826.66] 那可能有很多投资先进
[826.92-828.44] 有去参观过我们的北门案场
[828.96-829.72] 那如果
[830.24-833.32] 你没有参加参观过未来有兴趣也可以与我们联络
[834.90-835.40] 那
[835.66-837.72] 出能的话我们是21年投资的台博威
[838.48-840.02] 那台博威也是少数
[840.28-842.06] 可以他跟fluence
[842.32-843.08] 瓦西兰
[843.34-845.40] 还有很多国际的大厂都有合作的
[845.90-846.92] 这个出能厂商
[849.74-851.80] 水疏离部分尾盛就是他在我们
[852.04-855.38] 并购他之前他的这个标案的金额大概都是1亿元左右
[855.64-858.20] 那我们并购以后他大概成长了15倍
[858.44-862.04] 他的标案就是都有接到的15亿以上
[862.28-863.06] 当然大家
[863.32-864.60] 可能在新闻的分享上看到
[864.90-865.40] 我们
[865.66-867.72] 从去过去两年其实有接到两个
[867.96-868.74] 很大型的案子
[869.24-871.04] 就是这个迪化36亿的
[871.30-873.86] 案子跟那个滨江98亿的案子
[876.16-876.68] 好
[878.20-880.26] 我想再跟大家多分享一点我们天然绿电的东西
[881.28-885.38] 那天然绿电其实在23年我们的累积签约那时候只有12亿度
[885.64-891.00] 那到去年底我们已经就是成长了超过12倍来到了160亿度
[892.04-892.80] 我们今年
[893.32-893.82] 的
[894.08-894.60] 已经签约
[894.90-897.72] 预计转工的度数已经是3.3亿度电
[900.28-901.04] 那
[901.30-902.58] 天然的客户其实
[902.84-903.86] Google Micron
[904.12-905.14] 还有到半导体
[905.40-906.42] 还有很多金融业
[906.68-908.20] 就横跨了多个产业
[909.48-910.00] 那
[910.26-913.32] 风电的部分其实我们透过策略投资的方式
[913.58-915.12] 参与了他们的长期成长
[915.64-917.42] 从20年的时候我们投资了
[917.68-918.20] 天立
[918.70-920.50] 然后21年我们组了离岸风电的
[920.76-921.26] 台湾队
[921.78-923.82] 然后22年我们投资了东方风能
[924.64-926.18] 然后到后面还有参与这个
[926.68-927.96] 去飙这个福摩沙坡
[928.22-929.00] 相信许多
[929.50-930.02] 投资
[930.28-930.78] 投资法人
[931.04-932.06] 还有投资圈的先进
[932.32-933.34] 其实也都很了解我
[933.60-934.12] 很多
[934.62-936.68] 你们都有做很多研究也都知道我们这样一路以来
[936.92-937.96] 在这个风电投资上
[938.20-940.26] 其实是非常成功与卓越的
[942.82-943.32] 对那
[943.58-946.40] 我们的策略投资其实也不是只有局限在风电
[946.66-947.68] 我们的策略投资
[947.94-949.48] 除了风电以外我们也在
[949.72-950.50] 环保产业
[950.76-952.04] 做出了许多投资
[952.28-954.08] 那就像前几天我们其实有跟大家分享
[954.08-954.84] 那个
[955.10-957.16] 我们的这个equik ebike的部分
[957.66-959.20] 跟那个日本的百年大厂
[959.72-960.22] mizuno
[960.48-961.00] 进行合作
[964.58-965.86] 好那最后我就
[966.12-968.42] 就是快速的做个结论跟大家讲说
[968.68-970.46] 我们长期成长动能到底是什么
[970.72-972.26] 有那我们有三个
[972.76-974.04] 自己就是有去定义说
[974.30-975.58] 我们有海外庞大的商机
[976.10-977.38] 东南亚东北亚的市场
[978.66-979.16] 除此之外
[979.42-980.44] 我们也扩展了
[980.70-981.98] 更多开支产业更多的
[982.24-982.76] 就是
[983.00-984.04] 除了光电以外的
[984.34-986.38] 这个多元营收和获利的来源
[986.64-987.16] 最后是
[987.40-988.18] 搭配我刚才讲的
[988.44-989.46] 我们有很多的
[989.72-990.22] 策略性投资
[991.00-992.02] 从风电到环保领域的
[995.34-996.62] 很多人其实会问我们说
[996.88-997.90] 那我们出
[998.16-999.44] 海外达海外市场
[999.70-1000.46] 我们的策略是什么
[1000.98-1002.52] 还有优势是什么
[1003.02-1005.32] 那其实我们会锁定很多他的这个
[1005.58-1006.10] 再生能源
[1007.12-1009.16] 就是比较早期的一些国家
[1009.42-1011.22] 然后或者是他可能不管是
[1012.50-1013.26] 换了新的
[1014.34-1016.90] 政党或总统他有出台新的政策
[1017.40-1019.96] 那我们都会去进入这些
[1020.22-1021.00] 他的这个
[1021.24-1024.06] 发展在早期或政策有支持的市场
[1024.58-1025.60] 然后我会去当地找
[1025.86-1027.40] 一个很强大的local partner
[1027.64-1028.16] 一起合作
[1028.68-1029.18] 然后
[1029.44-1031.24] 因为我们过去有许多成功的经验
[1031.74-1032.76] 然后我们会去胜选
[1033.28-1034.04] 那些好的项目
[1034.56-1035.08] 进行投资
[1035.84-1036.10] 所以
[1036.36-1037.12] 这是我们的
[1037.38-1038.14] 海外的策略
[1038.66-1039.16] 还有
[1039.42-1039.94] 优势是
[1040.44-1040.96] 过去有很多
[1041.22-1042.50] 经验然后还有很年轻的团队
[1044.08-1045.88] 那这边
[1046.12-1047.40] 可以让大家看一下
[1048.18-1048.68] 我们在
[1048.94-1049.46] 各个市场
[1050.74-1052.28] 他都有不一样的这个背景
[1052.52-1054.58] 那我们也做了很深的研究
[1054.84-1055.60] 那我们都有团队在当地
[1061.74-1065.32] 好那菲律宾的部分我再跟大家快速的报告一下就是
[1065.58-1068.66] 菲律宾我们目标五年内我们去投到这个500MW
[1068.92-1070.96] 那我们会参与他们这个GAP4
[1071.48-1072.76] 菲律宾政府的这个
[1073.00-1073.78] 竞标这样
[1074.08-1080.48] 那除了业务的话
[1080.74-1082.02] 我们台普威
[1082.28-1083.80] 已经成立了这个台普威日本
[1084.06-1085.60] 那我们今年大概
[1086.36-1092.26] 目标就是会有取得30个30个案场那30个案场当他家总容量大概60MW
[1092.52-1093.02] 以上
[1098.92-1101.48] 那在这个越南市场部分我们
[1101.72-1102.24] 其实
[1102.76-1103.78] 协助很多台商
[1104.08-1105.62] 从他们屋顶型太阳能
[1106.12-1107.16] 到他们这个
[1107.66-1110.74] 直接购售电的这个方式帮助他们做能源的转型
[1111.76-1114.58] 那目前开发中的案场大概60到70个MW
[1118.92-1119.44] 好
[1120.46-1123.54] 那最后其实是想要跟大家分享一下说
[1123.80-1124.56] 除了
[1124.82-1126.36] 本业的经营以外
[1126.60-1128.92] 我们其实在ESG上面也有一些
[1129.42-1131.48] 卓越的成绩也想跟大家发
[1131.72-1132.50] 跟大家分享
[1132.50-1135.58] 那去年我们首次发布这个永续报告书
[1135.82-1136.86] 拿到这个金奖
[1139.16-1139.92] 以上是我的报告
[1140.18-1144.02] 那接下来会有我们的管理团队跟大家进行这个Q&A session
[1144.28-1144.78] 谢谢大家
[1148.62-1152.98] 好谢谢Leo的简报那接下来我们将进行今天的Q&A
[1153.74-1155.54] 那本次法说会将采取
[1156.56-1157.34] 现场的文字提问
[1157.58-1161.18] 如果在场的贵宾你有任何想请教公司的问题
[1161.42-1162.20] 麻烦请
[1162.50-1163.78] 写在提问单上
[1164.04-1166.08] 那随时交给我们现场的工作人员
[1166.60-1167.62] 那我们会随时
[1168.14-1168.64] 在
[1168.90-1170.18] 这个找机会回答
[1170.70-1172.22] 首先我们将针对
[1172.48-1175.04] 在会前所收到的投资人提问
[1175.30-1175.82] 来进行回答
[1176.06-1176.84] 那我会把
[1177.10-1179.66] 这个投资人的提问先帮大家附送一遍
[1181.18-1182.72] 一个投资人提问是
[1183.50-1185.54] 请教2025年的展望
[1185.80-1187.08] 看起来相当的正向
[1187.58-1189.12] 就您的观察
[1189.38-1191.18] 和上一次的法说会时
[1191.42-1192.02] 的分享
[1192.50-1193.26] 其实
[1193.52-1195.06] 也就是说过去这个年度
[1195.32-1196.86] 在营运上主要的
[1197.10-1198.14] 进展有哪些
[1198.38-1199.16] 那另外
[1199.42-1200.44] 是否可以分享
[1200.94-1203.26] 在季度或是上下半年的展望呢
[1222.50-1223.52] 那是什么时刻
[1236.06-1236.58] 谢谢
[1236.84-1237.34] 谢谢
[1237.60-1238.62] 那也谢谢
[1238.88-1240.16] 投资先进的这个
[1240.42-1244.00] 那这一题我想就由我来代表回答
[1244.26-1245.02] 那
[1245.28-1248.36] 主要第一个其实我们刚有提到其实我们现在是美
[1248.62-1249.38] 极多人
[1249.64-1251.18] 那当然每一季也希望能够就是
[1251.18-1254.50] 我們去年大概11月半的這個公開法說會
[1254.50-1256.04] 幾個比較大的差距
[1256.04-1258.92] 那第一個當然是我們的綠電交易
[1258.92-1261.60] 其實是我們的那個整個簽約的度數
[1261.60-1263.82] 其實是有提升了大概10億度
[1263.82-1266.14] 那其實大家可以看到我們去年
[1266.14-1268.26] 如果大家有來參加我們的法說會
[1268.26-1269.72] 應該會有點印象
[1269.72-1271.30] 我們曾經在去年
[1271.30-1275.42] 我們實際上我們就是轉工度數
[1275.42-1279.26] 其實是比我們在當初法說會來的多滿多的
[1279.26-1282.14] 那當然這也是我們團隊一直非常努力
[1282.14-1283.66] 積極的在往前進
[1283.66-1284.98] 那當然今年來講
[1284.98-1287.18] 我覺得又會比去年多得更多
[1287.18-1288.46] 那我們其實2025年
[1288.46-1291.18] 我們在綠電轉工至少會有3.3億度
[1291.18-1293.38] 這可能還會再持續增加
[1293.38-1294.66] 因為現在才3月嘛
[1294.66-1296.74] 那所以其實在於綠電的展望
[1296.74-1300.06] 其實是跟去年11月這一場法說比起來
[1300.06-1302.94] 我們是有調高往上調它的額度的
[1302.94-1304.14] 那這是第一個
[1304.14-1306.62] 那第二個我想今年我們多了一個
[1306.62-1307.78] 比較不一樣的東西
[1307.78-1309.22] 就是大家有看到我們做這個
[1309.22-1310.50] 就是資產管理
[1310.50-1312.02] SA management的部分
[1312.02-1313.90] 那其實早期我們不是沒有做
[1313.90-1315.66] 只是我們沒有正式成立一個
[1315.66-1318.82] 所謂的SA management的一個platform來做
[1318.82-1320.18] 那我們其實像我們的北門
[1320.18-1320.98] 其實大家都知道
[1320.98-1323.50] 我們其實是跟壽賢一起合資來
[1323.50-1324.98] 打造的一個暗場
[1324.98-1327.34] 那其實這個就是我們從最一開始的
[1327.34-1329.98] 一個SA management的起點啦
[1329.98-1331.06] 那當然這一次來講
[1331.06-1334.38] 我們希望能夠正式的把它成立成一個規模
[1334.38-1336.74] 因為我想大家應該也都有看到我們一些公告文信
[1336.74-1339.18] 我們未來是持續積極的會在
[1339.22-1341.46] 不論是李漢峰的狀況
[1341.46-1342.74] 或是其他暗場會持續
[1342.74-1344.14] 太陽能持續會做努力
[1344.14-1347.70] 那我們希望未來可以把它集中在這個SA management的平台
[1347.70-1350.50] 所以這個也會是之前可能比較沒有特別提到
[1350.50-1352.94] 那我們這一次的一個新的一個
[1352.94-1354.86] 把它放成一個主軸的業務
[1354.86-1357.14] 那當然第三個就是我們的海外事業
[1357.14-1360.38] 其實一直都還是蠻順利的在推進
[1360.38-1362.90] 那當然還有一個點可能剛剛簡報沒有特別提到
[1362.90-1364.70] 那我們非常積極佈局在
[1364.70-1367.74] 其實去年大家有提到就是塑膠的回收
[1367.74-1369.06] 那當然今年也多了一個所謂的
[1369.22-1370.66] 飛棄物的處理
[1370.66-1373.86] 那這些就是等有更進一步的消息的時候
[1373.86-1375.94] 我們會在第二季第三季的法說會
[1375.94-1378.26] 再跟各位同志先進報告
[1378.26-1382.70] 那整體來講其實我們圍繞著這個環保永續在前進
[1382.70-1385.22] 那除了我們一直不斷在做的太陽能儲能
[1385.22-1386.90] 綠電水處理之外
[1386.90-1391.22] 我們一直不斷在開發新的這個業務跟項目
[1391.22-1393.90] 那當然都是對於這個環境
[1393.90-1395.90] 對於環保是有很大的注意的
[1395.90-1398.10] 那這都是我們未來的一個發展方向
[1399.22-1402.06] 對於就是下半年的展望
[1402.06-1406.42] 因為這是剛剛先回答到就是跟去年不一樣的地方
[1406.42-1409.82] 那與這個各季度跟下半年的展望上來看
[1409.82-1413.18] 那第一個當然是我們在比如說太陽能跟儲能的部分
[1413.18-1415.78] 因為儲能就是我們剛剛說的這個
[1415.78-1417.14] 萊寶的這個合約
[1417.14-1418.82] 其實我們從去年底開始認列
[1418.82-1420.82] 那比較大宗的會集中在今年
[1420.82-1423.78] 因為電池櫃是Q2 Q3到
[1423.78-1427.06] 那這個時間到了我們會有一個比較大幅的營收可以做認列
[1427.06-1429.06] 所以這個儲能上來講會是
[1429.22-1430.22] 蠻明確的
[1430.22-1432.22] 那太陽能的部分呢我們也提到
[1432.22-1434.22] 我們今年會開工120枚
[1434.22-1437.22] 那這個開工當然可能會陸續在第三季左右
[1437.22-1440.22] 那這個開工的話那當然會隨著工程進度
[1440.22-1442.22] 但因為我們很多已經是預先做了準備
[1442.22-1446.22] 不論是設備啊什麼都其實都已經有就是推進了
[1446.22-1450.22] 所以這個部分在今年會有一個蠻好的一個成績
[1450.22-1454.22] 那海外的儲能其實我們也發展的就是蠻好的
[1454.22-1455.22] 那今年目標開工量
[1455.22-1459.22] 你剛剛在簡報裡有提到其實是預計42枚左右
[1459.22-1464.22] 那但是海外儲能的部分可能我們就是要看情況才能認營收
[1464.22-1465.22] 因為我們現在會是持有
[1465.22-1468.22] 但這個都會持續跟法人先進再做報告
[1468.22-1472.22] 所以我們整體上原本的四個ARM還有包括綠電
[1472.22-1475.22] 我剛剛一開始就顯示說我們綠電的成績非常好
