[0.00-5.28] 各位投資先進
[167.22-169.52] 那週末期間的星期五
[169.52-173.36] 到星期日的每日雙向班次數
[173.36-175.92] 那將會從174班
[175.92-179.26] 提高到182個班次
[179.56-184.16] 那我們後續在定期班表的一個運能供給之下呢
[184.16-185.70] 那高鐵公司
[185.70-189.80] 那我們人會透過不定期的一個加班車次
[189.80-192.36] 以及短期性的一個增班計劃
[192.36-193.64] 來提升
[193.64-198.24] 特定期間的一個運能供給的一個服務
[198.24-200.80] 那接下來簡報第6頁
[200.80-205.16] 是各個季度的一個運能供給狀況
[205.16-209.52] 那高鐵公司是2024年第一季以來高鐵的一個發車
[209.56-212.64] 班次和座位公里數的話呢
[212.64-216.48] 每一季都是呈現一個穩定成長的一個態勢
[216.48-220.56] 那發車班次方面呢
[220.56-222.10] 25年第一季
[222.10-228.00] 合計總共開出了14780班列車
[228.00-235.92] 那相較於24年第4季的14652班列車的話呢
[235.92-239.52] 增加了128個班次
[239.56-243.66] 那GOG的一個季成長是微幅的一個成長
[243.66-245.44] 0.9%
[245.44-251.84] 那相較於24年第一季的14416班列車的話呢
[251.84-254.66] 則是增加了364個班次
[254.66-258.24] 那YY的一個年成長是2.5%
[258.24-259.52] 那至於在
[259.52-262.60] 座位公里數的一個供給方面
[262.60-269.52] 25年第一季合計提供了47億4700萬座位公里
[269.56-272.88] 那因為增加的一個車班數只要集中在南港
[272.88-277.24] 到台中的一個北部路段
[277.24-280.32] 那因此呢相較於24年第4季
[280.32-285.68] 那座位公里數是微幅增加了2500萬座位公里數
[285.68-289.52] GOG的一個季成長是0.5%
[289.52-291.84] 那相較於24年第一季的話呢
[291.84-295.42] 則是增加了10300萬公里
[295.42-298.74] 那YY的一個年成長是2.2%
[298.74-299.52] 那主要的成長是
[299.56-304.94] 來自於24年7月1號的一個定期班表
[304.94-313.12] 一個增加到每週1103個班次所至
[313.12-321.84] 那接下來是簡報第7月的一個運量需求狀況
[321.84-327.98] 那25年第一季的旅客人數呢1983萬人次
[327.98-328.74] 那相較於24年第4季的話呢
[328.74-332.06] 因為明月天期
[332.06-334.62] 25年第一季是減少了兩天
[334.62-337.70] 那因此呢旅客數的一個GOG減了
[337.70-340.26] 0.97%
[340.26-343.08] 那這部分的話反映在日均運量方面
[343.08-347.42] 25年第一季平均每日22萬人次的一個運量
[347.42-350.76] 則是較24年第4季的21.8萬人次
[350.76-354.34] GOG成長了1.23%
[354.34-358.44] 那至於在延伸公里的一個運量表現方面
[358.44-365.10] 25年第一季的話我們受惠於農曆新年假期的一個長程旅運的一個人次
[365.10-370.48] 延伸公里數的話是來到了33.6億公里
[370.48-375.08] 那約莫是持平於24年第4季的33.62億公里
[375.08-377.64] 那相較於24年第一季
[377.64-381.48] 旅客人數的話呢增加了
[381.48-383.02] 35.1萬人
[383.02-386.60] 那YOY的一個年成長是1.8%
[386.60-386.86] 那在延伸公里的一個運量表現上呢是有增加了35.1萬人的一個年成長是1.8%
[386.86-387.36] 那在延伸公里的一個運量表現上呢增加了35.1萬人的一個年成長是1.8%
[387.36-388.40] 那在延伸公里的一個年成長是1.8%
[388.40-389.68] 那在延伸公里的一個運量方面
[389.68-396.84] 25年第一季受到農曆新年假期的話呢接連發生在台南跟嘉義的一個地震影響
[396.84-400.18] 因此的話呢我們延伸公里數是列為下滑
[400.18-401.72] 900萬人公里
[401.72-405.80] 那YOY的話呢是年減0.27%
[405.80-411.18] 那至於在座位利用率方面呢在實施的定期班表
[411.18-416.04] 以及短期正班的一個措施來提升運能的一個服務之下呢
[416.04-418.36] 雖然旅客的一個旅運需求依然
[418.36-419.38] 很強勁
[419.38-425.52] 那但是呢25年第一季的一個座位利用率70.8%已經相較於24年年初的
[425.52-427.32] 72.5%
[427.32-432.96] 那呈現出列為下降的一個態勢
[432.96-435.26] 那接下來簡報第8頁
[435.26-441.40] 是近5年來高級公司在運轉方面的一個表現狀況
[441.40-448.32] 那營運列車的一個準點率方面的25年第一季我們受到了農曆新年假期期間接連發生
[448.32-450.62] 在台南跟地震的一個
[450.62-452.92] 台南跟嘉義的一個地震影響
[452.92-458.56] 因此呢高鐵的一個準點率下滑到98.58%
[458.56-463.68] 那高鐵的平均延誤時間則是上升到0.56分鐘
[463.68-469.06] 那有顯著的高於過去5年的一個平均水準
[469.06-474.44] 那以上是營運業務方面的一個說明那接下來我們請財務部門的袁彬禮
[474.44-478.28] 來向各位同業先進說明一下財務方面的一個討論
[478.32-481.90] 的狀況
[481.90-486.76] 那個謝謝詹先生的說明接下來由我來跟各位報告一下
[486.76-489.58] 第一季的一個財務
[489.58-491.64] 財務資訊狀況
[491.64-499.06] 首先我們看簡報的第10頁
[499.06-501.10] 準義跟財務指標的部分
[501.10-505.20] 我們就今年第一季跟去年的第4季
[505.20-506.74] QAQ比較來說
[506.74-508.28] 營收上面沒有什麼
[508.28-509.82] 營收算是
[509.82-512.38] 稍微小幅的
[512.38-513.66] 下滑了一些
[513.66-519.04] 那我想這個營收下滑有一部分原因也是因為剛剛詹先生說的
[519.04-520.32] 過年期間
[520.32-521.60] 發生的地震
[521.60-524.16] 那這地震有造成我們一些
[524.16-526.72] 搬置的遞顏以及搬置的取消
[526.72-529.52] 那我相信這部分影響了我們一部分
[529.52-530.56] 那即使
[530.56-533.62] 撇開這個不談我們這個營收跟
[533.62-536.96] 去年的第4季比較起來也只是差一點點而已
[536.96-538.24] 那至於毛利跟淨利
[538.28-542.38] 有7% 8%的成長
[542.38-544.16] 這部分基本上
[544.16-546.72] 他比較像是一個季節性因素
[546.72-551.08] 主要是因為我們去年第4季有比較多的一些維修
[551.08-553.38] 的一些支出
[553.38-556.46] 維修修善的支出還有一些
[556.46-559.02] 款項的請款比較會集中在第4季
[559.02-561.06] 所以造成第4季的成本
[561.06-562.34] 會比較上升一點
[562.34-563.62] 再來就是
[563.62-565.42] 利息配分是差不多了
[565.42-566.44] 再來平穩
[566.44-568.24] 那平穩在第4季
[568.28-572.88] 他也是依照全年度的狀況去做增加的提列
[572.88-575.70] 所以去年第4季平穩提列的稍微稍多
[575.70-580.06] 所以這樣子的情況之下造成了今年第1季的EPS0.33
[580.06-583.90] 相比去年0.24來說是有比較大的成長的
[583.90-587.74] 那至於EBITDA的部分也是成長了一些
[587.74-592.86] 那如果我們看右邊的今年第1季跟去年同期第1季相比的話
[592.86-597.46] 那明顯差異就沒有這麼多了是差不多的主要的差異點會在
[597.46-598.24] 平穩額度
[598.28-601.60] 的費用這一塊今年第1季
[601.60-602.88] 提列比較多
[602.88-607.76] 那因為平穩額度費用的提列的這部分他是除了
[607.76-610.32] 差很大的部分會取決於
[610.32-613.64] 當年度預算的一個預期的一個數字
[613.64-616.46] 然後搭配實際數字的調整提列
[616.46-619.02] 所以在第1季會有些差異性
[619.02-621.06] 那這樣子差異下來
[621.06-623.88] 那比較起來的話以YY來比的話
[623.88-628.24] 那會今年的第1季的EPS0.33會比去年同期少一點點
[628.28-629.82] 稍低一些
[629.82-631.60] 那至於EBITDA的話
[631.60-634.42] 都是91億相對於95億
[634.42-636.22] 少了大概3億多
[636.22-638.52] EBITDA Margin大致68.5
[638.52-641.08] 那這個EBITDA Margin是8.5
[641.08-645.18] 如果不論季來看以全年來看的話相比全年來說
[645.18-646.46] 基本上是跟
[646.46-649.78] 過去的兩年基本上是相當的
[649.78-654.64] 那接下來請各位先看到第11頁
[654.64-657.72] 營收結構跟獲利這一塊那我想
[657.72-661.82] 本公司在營收結構上面基本上還是維持
[661.82-666.42] 96%以上是屬於來自於
[666.42-669.50] 鐵路運輸的票收入就是賣票的收入
[669.50-673.34] 只有3%多是來自於附屬事業的一個部分
[673.34-678.96] 那附屬事業的收入主要就是來自於車站的廣告車站的租金收入
[678.96-680.24] 還有
[680.24-682.30] 一些停車場的租金
[682.30-685.88] 這些的這樣子的一個收入
[685.88-687.42] 那如果各位看到
[687.42-693.56] 屏圖下面的一個分配的話各位可以看到就是基本上附屬事業他在不管是QOQ或YY
[693.56-695.62] 的比較上都是有一些
[695.62-698.18] 一些些微的成長的
[698.18-702.78] 那整體來說我們今年第一季不管毛利率淨利率跟
[702.78-708.92] 營業利益率相比24年或23年基本上都還是呈現一個微幅上揚的一個狀況
[708.92-712.50] 代表今年整體第一季的
[712.50-714.82] 整體的營收財務表現我相信
[714.82-717.38] 還算是一個不錯的一個狀況
[717.42-720.24] 接下來請各位看第12頁
[720.24-721.78] 那今年
[721.78-724.34] 以2025年第一季的一個
[724.34-728.42] 營運活動淨現金是流入6億7億9千多萬
[728.42-733.04] 那投資活動淨現金是流出那這個流出45億主要是因為
[733.04-736.36] 我們有這個大概其中有40
[736.36-739.44] 大概有相近15億是屬於資本支出
[739.44-742.76] 那剩下30億左右其實是
[742.76-747.38] 我們這個三年三個月以上的定存啊RP這些
[747.42-752.28] 金融資產的增加那在這個部分他是把視為投資活動的
[752.28-753.30] 淨現金流出
[753.30-754.84] 實際上這個錢
[754.84-757.66] 在公司的他只是從
[757.66-761.50] 活期存款轉成了三個月以上的
[761.50-762.52] 定存
[762.52-764.58] 這樣子的狀況而已
[764.58-766.10] 那投資活動
[766.10-768.66] 沒有什麼太大的差異所以
[768.66-769.94] 第一季的
[769.94-774.04] 現金是增加了22億多
[774.04-777.38] 那2024年第4季的差異數主要是
[777.42-778.70] 來自於
[778.70-783.82] 像投資活動是因為我們在2024年的第4季有
[783.82-787.40] 償還的商業本票60多億造成的一個狀況
[787.40-790.74] 再次一併說明
[790.74-794.32] 而且投資先期看到第13頁
[794.32-797.64] 那這資產負債比例我想本公司雖然說
[797.64-799.44] 這麼多你過去這麼多年
[799.44-803.28] 償還了不少年代的一個本金
[803.28-807.38] 可是現在這個部分但是因為我們天生的體質的問題所以
[807.42-809.22] 基本上目前
[809.22-812.02] 到今年第1季為止我們的
[812.02-814.08] 負債佔資產比例大概還是維持在
[814.08-817.40] 81%
[817.40-819.46] 接下來我們看第14頁
[819.46-823.54] 這個是屬於美股孕育跟股利配發的狀況
[823.54-824.32] 我想
[824.32-830.20] 自從我們上市之後可以配發股利之後每年公司保持著一個平穩
[830.20-833.78] 穩健均衡的配發原則配發進行股利
[833.78-835.58] 那依照章程的規定
[835.58-837.12] 這是未分配孕育
[837.12-842.76] 每年分配未分配孕育不低於未分配孕育的6成的原則在做發放
[842.76-847.36] 那113年度的股利分配
[847.36-850.94] 已經經過了5月份
[850.94-856.84] 5月22號股東會的通過分配每股
[856.84-859.40] 分配每股1.05元
[859.40-860.92] 那這個部分
[860.92-865.54] 我們也在6月份的董事會通過了
[865.54-867.08] 那股利發放的結構是一般的
[867.12-870.20] 股權的日期會是在8月14號
[870.20-873.26] 所以最後的過戶日會是在7月16號
[873.26-876.84] 儲權儲蓄的基準日會是7月21號
[876.84-878.64] 那股利發放日是在8月10號
[878.64-879.40] 那這個部分
[879.40-883.24] 請各位投資先進可以參考本公司6月11號的中訊
[883.24-885.80] 重訊資訊
[885.80-888.62] 接下來請看第15頁
[888.62-891.18] 那這公司是本公司的
[891.18-892.46] 信用平等跟
[892.46-894.52] 日值的一個資訊
[894.52-897.08] 那線評中華線評是維持Triple A的資訊
[897.12-900.70] 那這個Triple A的最高平等
[900.70-901.98] 那匯率則是
[901.98-904.28] 兩個A加的一個平等
[904.28-906.60] 那市值的部分大概也沒什麼變化
[906.60-908.12] 那我想其實
[908.12-909.40] 我想
[909.40-910.44] 各位
[910.44-912.22] 投資先進大概
[912.22-915.80] 在觀察我們的股票的時候其實大家有發現這個我想
[915.80-917.86] 這一次在4月份
[917.86-920.68] 美國川普總統在
[920.68-924.00] 宣布這個所謂的對等關稅的時候
[924.00-925.80] 那段時間曾經造成了
[925.80-927.08] 股市的一個波動
[927.12-928.40] 很多很多股
[928.40-929.42] 股票
[929.42-930.96] 上的
[930.96-932.76] 價格都是
[932.76-935.06] 大幅的下跌那這段時間
[935.06-938.38] 本公司股票大概那個時候基本上還維持一個
[938.38-942.48] 雖然有下跌但是還維持一個相對跌幅算是稍微
[942.48-944.02] 微幅的一個狀況啦所以
[944.02-949.90] 整體的市值狀況沒有什麼太大的改變在這邊跟各位報告
[949.90-955.80] 接著請各位看到第17頁
[955.80-956.82] 我想
[956.82-960.40] 其實各位投資先進人家還是比較
[960.40-964.76] 其實想要解釋本公司在營收動能上面有什麼樣的一些那個
[964.76-966.80] 我想最近這幾年
[966.80-968.08] 我們在
[968.08-972.44] 營收成長的動能方面公司還聚焦在幾個方面
[972.44-974.22] 第一個方面就是說
[974.22-975.76] 希望在運量
[975.76-980.38] 提升運量上面那提升運量上面有幾個點的方向第一個就是
[980.38-984.98] 增加了一個異業合作的模式那異業合作的話
[984.98-986.78] 他的好處在於說這些異業合作的話他會有一個
[986.78-988.32] 可以帶來不同的客戶
[988.32-989.86] 這第一個旅客
[989.86-991.14] 這個就是說這些旅客
[991.14-993.70] 合作的模式可以把這個模式合作的
[993.70-997.28] 合作的一個車班時間點放在離風帶
[997.28-1001.12] 所以增加我們離風帶的一個承載率
[1001.12-1007.26] 那再來就是說我們常常會看到我們會有一些機動性的一些正班短期正班這些
[1007.26-1009.30] 這些東西其實就是
[1009.30-1010.34] 就是來
[1010.34-1011.36] 租贊
[1011.36-1016.74] 原本尖峰的旅客還有提升我們一些尖峰還有離風時段的一些
[1016.74-1017.50] 一些課程
[1017.50-1019.30] 一些可以讓他到
[1019.30-1020.84] 那在一些旅遊產品
[1020.84-1024.42] 這裡的產品基本上他也是為了要擴大我們一些
[1024.42-1026.22] 算是異業結合的一部分
[1026.22-1027.50] 還是也是要
[1027.50-1033.90] 增加客群所以各位可以看到我們一直在推動一些高禮假期飯店聯票這些國旅聯票這些
[1033.90-1035.42] 所以往這個方向努力
[1035.42-1039.52] 希望在我們增加我們的運量因為畢竟運量增加我們的
[1039.52-1040.80] 營收就會增加
[1040.80-1041.58] 這是
[1041.58-1043.10] 這是一個方向
[1043.10-1044.90] 那再一個方向就是說
[1044.90-1046.70] 在原本的一些
[1046.74-1052.88] 黏著度各方面我們持續推動會員經濟這樣的制度一個會員那現在基本上就
[1052.88-1054.42] 大概300
[1054.42-1058.00] 300萬名的一個提國會員那會員方面
[1058.00-1061.84] 有一點點數那些點數經濟我們跟很多的一些
[1061.84-1064.14] 一些廠商在做的合作
[1064.14-1066.96] 透過一些點數互換這樣的方式
[1066.96-1070.30] 也是跟金融業合作這樣的方式讓雙方
[1070.30-1073.10] 都可以得到互利的方式讓客戶
[1073.10-1075.42] 讓旅客有更多的一些
[1075.42-1076.70] 除了大高姐以外
[1076.74-1080.32] 透過大高姐累積的點數有更多的一個效益
[1080.32-1081.34] 那再來
[1081.34-1082.88] 業外的部分
[1082.88-1084.42] 就
[1084.42-1089.02] 我們去年也開始進入了設置了一個T-shopping的一個
[1089.02-1092.36] 線上購的一個這樣子的購物平台
[1092.36-1097.48] 那我們希望透過高姐已經建立了一個知名度跟其他的合作
[1097.48-1100.30] 透過聯名商品提供業外收入
[1100.30-1102.86] 那當然
[1102.86-1104.14] 畢竟
[1104.14-1105.66] 高姐是
[1105.66-1106.70] 是屬於這個
[1106.70-1109.26] 在客的所以我們
[1109.26-1112.58] 最重要的是旅客服務這一塊還是我們
[1112.58-1114.64] 最核心的一個部分
[1114.64-1115.66] 因此在
[1115.66-1121.80] 旅客服務這一塊我們還是持續希望旅客在搭車的經驗跟體驗上是好的
[1121.80-1122.82] 所以因此
[1122.82-1125.38] 我們在一些旅客的資訊
[1125.38-1128.98] 設備或車廂內部的一些遮光簾啊
[1128.98-1131.02] 這個洗手間啊這些
[1131.02-1136.66] 雖然不是一個必備的一個部分但是我們還是很努力的希望改善這樣的東西
[1136.70-1139.00] 讓旅客有更好一個達成經驗
[1139.00-1140.80] 來提升旅客
[1140.80-1142.84] 持續搭乘高姐這樣子的意願
[1142.84-1145.66] 這是我們
[1145.66-1148.48] 基本上2005年的營運的一些
[1148.48-1149.50] 一些
[1149.50-1150.78] 策略方向上面
[1150.78-1153.34] 跟各位做一個報告
[1153.34-1155.90] 接下來請各位看到第18頁
[1155.90-1159.48] 我想這個部分就是還是最終還是跟各位報告
[1159.48-1165.38] 成為伊領進步創造美好生活平台是本公司在一個願景
[1165.38-1166.66] 就是說目標上面
[1166.66-1171.26] 雖然我們是一個運劇但是我們希望旅客在搭乘高鐵的過程中
[1171.26-1174.60] 不是只有從AZ到BZ這樣子的一個
[1174.60-1176.90] 旅運而已我們希望旅客在搭乘
[1176.90-1178.18] 的過程之中
[1178.18-1180.48] 可以享受到其他的
[1180.48-1182.02] 更多的一個服務
[1182.02-1184.06] 會有更好的一個體驗
[1184.06-1186.62] 所以就像上面講的更新車廂以外
[1186.62-1188.16] 我們在希望
[1188.16-1190.22] 整體的這樣子提供一個
[1190.22-1192.00] 整體式的一個
[1192.00-1194.06] 更好的服務給旅客
[1194.06-1195.34] 當然
[1195.34-1196.62] 我們也希望
[1196.62-1198.16] 我們可以結合科技
[1198.16-1200.98] 在地文化環境保護這樣子的一個
[1200.98-1202.26] 成為一個
[1202.26-1204.56] 公司的一個DNA
[1204.56-1208.66] 把落實所謂ESG這樣子的一個理念
[1208.66-1211.22] 達到一個企業社會責任
[1211.22-1212.24] 在
[1212.24-1214.02] 營收進步的同時
[1214.02-1215.06] 也可以
[1215.06-1217.36] 善盡社會責任
[1217.36-1218.90] 成為一個
[1218.90-1219.92] 好的一個
[1219.92-1222.22] 伊領進步創造美好的生活
[1222.22-1225.54] 創造美好的生活平台這樣子一個願景
[1225.54-1226.58] 以上就是作為我們這個節目的一個視頻
[1226.62-1227.64] 再次感謝大家的關注
[1227.64-1228.66] 感謝你們的收看
[1228.66-1229.70] 我們下期節目再見
[1229.70-1231.22] 謝謝
[1231.22-1231.74] 好
[1231.74-1233.54] 那我想我們報告到這邊
[1233.54-1234.82] 那如果各位
[1234.82-1236.60] 投資先進有什麼問題的話
[1236.60-1238.40] 我想我們可以利用這一點時間
[1238.40-1239.68] 在這邊做一些交流
[1239.68-1240.44] 謝謝
[1241.98-1244.54] 好的謝謝公司的簡報說明
[1244.54-1247.62] 那接下來進行問與答的交流時間
[1247.62-1250.18] 歡迎線上的投資先進可以
[1250.18-1252.22] 直接打開麥克風提問
[1252.22-1254.02] 那也可以將您的問題
[1254.02-1256.58] 用文字的方式留下來
[1256.58-1258.62] 留置聊天室
[1258.62-1264.52] 歡迎大家提問
[1264.52-1267.84] 這邊有看到一個投資人想請教
[1267.84-1271.18] 請問毛利率跟營業利益率
[1271.18-1285.76] 比去年同期下降的原因
[1286.58-1292.72] 請問那個投資先進會是以去年同期的2024年相比的對不對
[1292.72-1296.82] 請問這位投資先進會是想要比較哪一個時期的
[1296.82-1299.12] 這邊對對yoy
[1299.12-1301.94] yoy的部分
[1301.94-1306.54] 是
[1306.54-1308.60] 謝謝
[1308.60-1309.88] 謝謝
[1309.88-1311.92] 謝謝
[1311.92-1313.98] 謝謝
[1313.98-1315.76] 謝謝
[1316.58-1320.68] 其實我們看了一下可能主要來
[1320.68-1324.26] 仍然會來自於一些電費這些的部分
[1324.26-1327.34] 因為電費是去年的4月跟7月
[1327.34-1329.38] 有調漲了
[1329.38-1332.20] 所以其實電費稍微
[1332.20-1334.50] 高了會成長了一些那當然
[1334.50-1338.34] 我們在其他部分的成本有稍微增值了一下
[1338.34-1340.14] 但是整體來說稍微還是
[1340.14-1341.42] 還是提高了一些
[1341.42-1343.46] 所以到這毛利率有稍微一些下滑
[1343.46-1345.76] 那整體也影響了一些營業經歷
[1345.76-1346.54] 以上說明
[1346.58-1352.72] 好謝謝
[1352.72-1358.86] 好那這邊想要有投資先進想要請教台鐵在6月23日調整票價之後
[1358.86-1362.96] 與高鐵的競爭關係有沒有產生什麼變化呢
[1362.96-1363.74] 謝謝
[1363.74-1367.06] 我想說這個部分我會先講一下
[1367.06-1368.86] 因為我看到這個投資先進的
[1368.86-1370.14] 這個投資先進的
[1370.14-1371.42] 這個投資先進的
[1371.42-1372.70] 是在這個年度的
[1372.70-1373.98] 這個年度的
[1373.98-1374.74] 這個年度的
[1374.74-1375.50] 這個年度的
[1375.50-1376.54] 這個年度的
[1376.54-1378.34] 我想很多投資先進
[1378.34-1381.14] 甚至我們會有需要一些投資人
[1381.14-1382.68] 也很關心這個問題
[1382.68-1384.98] 這樣
[1384.98-1388.82] 就我們觀察6月23號台鐵的票價
[1388.82-1391.90] 他從台北到台中的話
[1391.90-1396.50] 是從375漲到500多塊500塊出頭
[1396.50-1402.66] 從台北到左營的話大概是800多塊漲到900多塊1000塊
[1402.66-1405.46] 那跟我們高鐵的自由座
[1405.46-1406.50] 同旅
[1406.54-1408.34] 同行城的話
[1408.34-1411.14] 一個就是675一個是
[1411.14-1414.48] 台北到左營我們是1445塊
[1414.48-1417.80] 所以就比較起來的話差距大概是
[1417.80-1421.14] 台北到台中的話大概會差174塊
[1421.14-1422.66] 那
[1422.66-1425.74] 台北到左營的話會差470塊
[1425.74-1428.30] 我想這個部分你說
[1428.30-1429.84] 會不會一定會有影響
[1429.84-1431.88] 這個我們可能比較難去判定
[1431.88-1433.68] 但是因為我覺得
[1433.68-1436.50] 第一個它的價差是什麼呢?
[1436.54-1437.56] 是有一定的啦
[1437.56-1440.12] 不是說差了10塊20塊這樣子而已
[1440.12-1441.14] 這是一個
[1441.14-1442.94] 第二個
[1442.94-1443.96] 台鐵的話
[1443.96-1447.54] 普悠瑪從台北到台中大概要一個小時40分鐘
[1447.54-1451.14] 但是台北但是高鐵台北到台中是47分鐘
[1451.14-1452.42] 50分鐘以內
[1452.42-1455.22] 那台鐵從台北到高雄的話
[1455.22-1457.78] 普悠瑪要三個多小時快四個小時
[1457.78-1458.56] 但是
[1458.56-1461.38] 坐高鐵坐自駕車的話只要一個半小時
[1461.38-1462.90] 所以其實這個
[1462.90-1464.96] 時間的差異
[1464.96-1466.50] 仍然是存在著很大的差異
[1466.54-1467.56] 有一個落差的
[1467.56-1469.86] 所以我相信基本上
[1469.86-1472.18] 雖然台鐵有調整票價
[1472.18-1473.20] 但是因為
[1473.20-1474.48] 它的一個
[1474.48-1476.78] 乘車時間的差距明顯之下
[1476.78-1480.10] 我想我們在西部走廊運輸競爭力還是很強的啦
[1480.10-1481.38] 所以我相信這塊
[1481.38-1481.90] 我們
[1481.90-1484.98] 應該是不會有太大的一些問題才對
[1484.98-1486.26] 這以上
[1486.26-1487.54] 我們有個說明謝謝
[1487.54-1492.40] 是那這邊還有一個跟進的問題是
[1492.40-1496.50] 請問高鐵是否有計劃跟進調整票價?
[1496.54-1503.20] 這個票價的問題就是
[1503.20-1505.50] 這個部分我們還是會看
[1505.50-1506.52] 董事會的
[1506.52-1508.82] 狀況啦那建立部門
[1508.82-1510.88] 因為合約規定是我們是有
[1510.88-1513.94] 有依照這個
[1513.94-1517.28] 交通部公告的一個費率來調整一個
[1517.28-1519.06] 定定制定費率的依據的那
[1519.06-1520.86] 交通部這兩年
[1520.86-1524.44] 公告的一個費率來說確實是有公告的
[1524.44-1526.50] 之後確實是有調整的功效的
[1526.54-1531.14] 那這個部分我們目前可能建立部門還是會照合約規定
[1531.14-1532.68] 看
[1532.68-1535.50] 考量一下整個的營運狀況跟
[1535.50-1537.04] 經濟形勢環境
[1537.04-1539.34] 來做整體的評估
[1539.34-1542.66] 那而且台鐵票價也是6月
[1542.66-1544.46] 2號才開始漲
[1544.46-1547.02] 我想可能我們也會觀察一下整體的狀況
[1547.02-1548.82] 我想後續會
[1548.82-1552.66] 相關我們內部相關的單位應該會照這個狀況再
[1552.66-1553.42] 看怎麼樣
[1553.42-1556.50] 評估提董事會做一個決定
[1556.54-1559.62] 相報告
[1559.62-1564.98] 好那這邊有一個提問是想請教未來幾年還有
[1564.98-1572.66] 提前清償連帶借款的計劃嗎
[1572.66-1577.54] 我們在過去這幾年用手上的錢
[1577.54-1578.56] 清償還
[1578.56-1580.10] 那個連帶借款
[1580.10-1583.42] 有一個很大原因是因為這個
[1583.42-1586.50] 當時手上錢相對也比較多第二個
[1586.54-1591.40] 連帶的利率條件相對高
[1591.40-1595.24] 這前幾年有這樣的一個趨勢所以那個前幾年我們一直
[1595.24-1599.86] 要嘛就是用公司債要嘛就是商業本票要嘛就是手上的錢去還
[1599.86-1601.64] 這個銀行團的
[1601.64-1602.66] 連帶借款
[1602.66-1603.70] 因為
[1603.70-1606.00] 我們這樣拿下的錢
[1606.00-1608.04] 都比銀行的連帶的利率來的高
[1608.04-1611.88] 來的低對我們整體的一個財務上面
[1611.88-1614.18] 是有節省利息上面是有利的
[1614.18-1616.50] 後來我們在去年前的
[1616.54-1617.82] 前年
[1617.82-1620.90] 跟銀行團整個的
[1620.90-1622.68] 連帶條件的一個
[1622.68-1626.02] 利率條件整個跟商團整個降下來之後
[1626.02-1630.10] 現在基本上是加碼就加到了0.45了
[1630.10-1634.46] 所以這其實銀行團也釋出很大戰意在這個部分
[1634.46-1637.28] 那因為現在這樣算下來的話我們現在連帶利率
[1637.28-1639.58] 條件其實是已經
[1639.58-1643.68] 已經算是相當相當的優惠的一個條件情況之下
[1643.68-1646.50] 短期之內可能目前
[1646.54-1648.34] 我們沒有在
[1648.34-1650.12] 做會做這個
[1650.12-1651.66] 提前清場的除非
[1651.66-1652.68] 除非
[1652.68-1655.50] 資本市場或者是貨幣市場
[1655.50-1659.08] 他們有更好的一個條件更好的一個
[1659.08-1662.16] 狀況插身我們有更多的一些
