[0.00-6.38] 各位投资先进午安
[455.36-458.86] 其他產品7%這樣的一個產品分布
[458.86-463.60] 直至2024年我們的營業額拉高到18.94億
[463.60-467.26] 但是我們的產品分布仍然維持相當的比例
[467.26-470.06] 那代表我們的客戶也非常的穩定
[470.06-475.52] 那訂單隨著市場的變化起來也都是相當的穩定
[475.56-483.06] 那接下來這一頁我要報告的是我們在這幾年裡面
[483.06-487.26] 我們的整個晶圓製造產出的一個比例的分布
[487.26-492.06] 像我們每個月就是產出量的比例
[492.06-497.26] 那最大宗的產品仍然在綠色的這個區塊
[497.26-500.06] 最底下的MOSFET IGDP這個區塊
[500.06-505.36] 那接下來我們蠻重要的一塊在車規的客人需要的是
[505.56-508.06] 二集體的部分,DIAL的部分
[508.06-512.56] 那少部分的產能我們就是用analog的原件
[512.56-516.26] 類體原件跟其他的產品來滿足
[516.26-520.86] 那所以我們大概在2024年平均我們的每個月產出
[520.86-524.56] 大概是4萬1千片左右,全面平均這樣
[528.06-532.26] 那接下來要報告的是茂績在車用的產品
[532.26-535.52] 那之所以把車用產品的客人特別單獨
[535.56-539.56] 就是因為這個是公司長期的規劃
[539.56-544.56] 那在長期規劃裡面我們同時以公司的內部的資源調配
[544.56-547.56] 以及我們的品質管理的部分
[547.56-552.56] 所以確保了在車規的產出佔營收的比重是越來越重
[552.56-561.56] 那直至2024年,那我們的車規產品的這個出貨的數量
[561.56-565.56] 相較於2023年仍然增加了12.3%
[565.56-570.56] 所以這個是說明我們在這個車規的市場上面
[570.56-576.56] 我們是持續在更年而行有滿穩定的一個成果展現
[576.56-577.56] 謝謝
[577.56-583.56] 那以下的幾頁我要報告的是茂績接下來的這幾年
[583.56-586.56] 功率器件的發展技術藍圖
[586.56-590.56] 那這個發展技術藍圖裡面其實主要在說明的是
[590.56-592.56] 未來茂績著力的產品
[592.56-594.56] 那這些產品基本上
[595.56-598.56] 是有很主流的一些市場需求
[598.56-603.56] 那未來會是茂績營收很重要的幾個發展方向
[603.56-606.56] 那首先我要報告的是MOSFET的部分
[606.56-609.56] 那MOSFET的部分在功率器件裡面
[609.56-611.56] 特別以高壓的MOSFET
[611.56-615.56] 那高壓的SGT的MOSFET作為我們發展的主軸
[615.56-618.56] 所以呢在MOSFET上面我們大概發展的產品
[618.56-621.56] 從100伏到300伏之間
[621.56-623.56] 各式各樣的SGT的MOSFET
[623.56-624.56] 那這MOSFET裡面還包含了MOSFET的MOSFET的產品之間
[624.56-626.56] 還包含了MOSFET的MOSFET的MOSFET的MOSFET
[626.56-630.56] 那這一些都是接下來我們積極在發展
[630.56-635.56] 以及要用這些產品來滿足功率器件的
[635.56-638.56] 市場上的需求一個重大的發展
[638.56-641.56] 那接下來我要報告的是FSIGPT
[641.56-645.56] FSIGPT在貿易市場已經耕耘了多年
[645.56-649.56] 那也都是鎖定在功率器件的產品
[649.56-651.56] 那在接下來我們的發展裡面
[651.56-654.56] 特別把我們的這個IGPT的方向
[654.56-658.56] 對準到英飛凌的第七代最新的產品
[658.56-661.56] 那把我們的產品能力都調整到
[661.56-664.56] 更接近市場上的需求
[664.56-666.56] 那這個相信在未來對我們的
[666.56-669.56] 那個服務客人的服務項目上面
[669.56-672.56] 可以得到對客人更好的服務
[672.56-674.56] 下一頁
[674.56-679.56] 那配合IGPT我們同步發展了FRED
[679.56-683.56] 那FRED是快速恢復的二極體
[683.56-685.56] 那這個二極體裡面呢
[685.56-689.56] 同樣就是參考英飛凌的
[689.56-692.56] 他們的產品佈局的方向
[692.56-695.56] 那所以我們做了相對應的產品規劃
[695.56-699.56] 那這裡都是自行開發的產品
[699.56-703.56] 所以這個在自行開發這些FRED的產品裡面
[703.56-705.56] 整個規格的對應上面
[705.56-708.56] 可以跟IGPT做一個搭配
[708.56-711.56] 那除了FRED之外
[711.56-713.56] 我特別要報告另外一個
[713.56-715.56] 叫PTC的FRED
[715.56-718.56] 這個是指正溫度係數的FRED
[718.56-721.56] 那正溫度係數的這個是更適合在
[721.56-725.56] 功率器件特別是需要並聯式的這種
[725.56-729.56] 功率器件裡面所需要的半導體元件
[729.56-731.56] 那這個大概在近期之內
[731.56-733.56] 應該就會有成果出來
[733.56-735.56] 那也會有利於我們在
[735.56-738.56] 在IGPT的市場行銷上面
[738.56-741.56] 會得到一些不錯的成果
[741.56-743.56] 那最後一個我要報告的是
[743.56-745.56] 這一個的第三個部分
[745.56-747.56] 我要報告的是TDS的部分
[747.56-752.56] 那TDS一樣是在這幾年我們開發的重點
[752.56-756.56] 那這裡面特別針對消費性產品
[756.56-760.56] 所需要的低容或者是超低容的TDS
[760.56-765.56] 以及耐大的突波的TDS
[765.56-769.56] 或者是車用的CAMBUS所需要的TDS
[769.56-771.56] 那這一些各式各樣的TDS
[771.56-774.56] 都在我們新產品開發的行列當中
[774.56-778.56] 那這一塊的話也是未來我們蠻重要的業務內容
[778.56-780.56] 下一面
[780.56-783.56] 那接下來要跟各位先進報告的其實是
[783.56-785.56] 另外兩個蠻重要的產品
[785.56-789.56] 那第一個是碳化矽的MOSFET
[789.56-790.56] 那碳化矽的MOSFET裡面
[790.56-794.56] 它在市場上有幾個不同的應用平台
[794.56-800.56] 那一般我們電壓從650伏到2000伏或者是3000伏
[800.56-803.56] 那平面式的Second Carbide MOSFET
[803.56-807.56] 或者是溝槽式Trench的Second Carbide MOSFET
[807.56-811.56] 那這一些大概都在我們研發的內容裡面
[811.56-815.56] 那貿易的話大概在2025年的6月底
[815.56-819.56] 會完成設備的產線的配置
[819.56-823.56] 那從7月開始我們大概就已經具有能夠
[823.56-828.56] 跟市場上去提供所謂代工服務的這個能力
[828.56-830.56] 所以接下來我們把這整個產線的配置
[830.56-832.56] 來開發出來之後
[832.56-834.56] 再配合代工客人的需求
[834.56-839.56] 這一塊會對貿易未來的營收會有相當大的益助
[839.56-845.56] 那最後一個要報告的是GENI NITROI的相對應的產品
[845.56-848.56] 那我們這個是針對市場上的一些需求
[848.56-852.56] 以及那個就是AI Power Server裡面的需求
[852.56-854.56] 以及特惠客人的需求
[854.56-858.56] 那我們開發了650伏EMO的GEN
[858.56-860.56] 那這個相關的製程目前是
[860.56-864.56] 在研發過程當中會在後面幾年
[864.56-866.56] 稍晚才會有成果出來
[866.56-869.56] 那這個是我們接下來發展的一個重頭戲
[869.56-876.56] 所以這兩塊大概就是接下來貿易主要工業器件的
[876.56-878.56] 技術發展的方向
[878.56-881.56] 以上跟各位先進的報告
[881.56-885.56] 那最後我對營運的總結的部分
[885.56-889.56] 貿易現在主要的營業項目就是我們都是
[890.56-893.56] 做代工的晶片製造的生意
[893.56-896.56] 那主要鎖定的客人都在車用
[896.56-900.56] 工業以及智能Power的應用市場
[900.56-904.56] 以2024年來講車用的產品比重
[904.56-908.56] 仍然在47%這個蠻高的比例裡面
[908.56-914.56] 那在未來也是一個貿易營收項目裡面非常重要的一支
[914.56-918.56] 那在FSIGVT裡面過去我們的投入加上新一代的FSIGVT
[918.56-924.56] 的研發這些的話會更接近市場需求
[924.56-929.56] 也更能夠為貿易得到營收上的保證
[929.56-932.56] 那車用跟工業用的產品
[932.56-935.56] 我們相對的客人是非常穩定的
[935.56-938.56] 那最後就是要特別說明的是
[938.56-940.56] 針對未來的發展
[940.56-942.56] 那如上面三頁所報告的
[942.56-947.56] 我們在SIC FSIGVT FRIV跟SGVMOSFET
[947.56-948.56] GDL 等這些產品的發展
[948.56-951.56] 我們都會在接下來的一段時間
[951.56-954.56] 陸陸續續將產品跟平台開發完成
[954.56-959.56] 然後可以為貿易的未來帶來主要的營收指令
[959.56-961.56] 以上是我們的報告
[961.56-962.56] 謝謝
[966.56-968.56] 非常謝謝公司帶來的簡報
[968.56-970.56] 那接下來進入QA的時間
[970.56-976.56] 請各位投資先進利用WebEx的問與答功能進行提問
[976.56-977.56] 謝謝
[978.56-979.56] 謝謝
[1008.56-1038.56] 
[1039.56-1058.56] 他
[1058.56-1059.56] 各位先進
[1059.56-1061.56] 然後這裡是� DyFD久兒出場
[1061.56-1062.56] 對 alguien的 inm intim
[1062.56-1067.56] oted
[1067.56-1070.40] 的扩张对公司是否有影响
[1070.40-1073.12] 那我针对这个题目做一个说明
[1073.12-1075.34] 茂西的客人里面
[1075.34-1077.58] 其实中国的客人占一部分
[1077.58-1080.66] 那其实大宗超过六七十%
[1080.66-1083.32] 都是中国以外的客人
[1083.32-1084.20] 所以呢
[1084.20-1087.62] 以现在这个中国成熟制成产能开出来
[1087.62-1091.62] 其实对茂西现有的营业的状况
[1091.62-1094.50] 不是有太多的影响
[1094.50-1097.28] 那当然我相信中国的客人
[1097.28-1101.64] 在选择代工的产能需求的时候
[1101.64-1104.50] 他会优先考虑中国内部的产能
[1104.50-1106.08] 但是就茂西来讲
[1106.08-1107.34] 我们这几年的规划
[1107.34-1110.90] 对中国其实并不是太大的依赖
[1110.90-1111.74] 所以呢
[1111.74-1116.12] 整体来讲对于代工市场上面
[1116.12-1117.98] 中国的代工产能
[1117.98-1119.30] 对我们未来的营运
[1119.30-1122.08] 并不会产生太大的影响
[1122.08-1123.68] 那以上说明
[1127.28-1130.02] 对现在的istic和地铺上
[1130.02-1131.56] 也让我们思考
[1131.56-1132.68] 我们呢
[1132.68-1135.46] 国内货场和派电商
[1135.46-1137.44] 都是派一个贸易的
[1137.44-1140.42] 对澳加获保的
[1140.42-1141.98] 更具有影响
[1141.98-1144.20] 这是在社交媒体里面
[1144.20-1145.20] 有看过他
[1145.20-1147.78] 所以根本没有密切的
[1147.78-1149.84] 根本没有 schaffen
[1149.84-1153.40] 美国craft
[1153.40-1155.16] 其实我也有介绍了
[1155.16-1156.94] 預有 могут
[1186.94-1197.58] 好那好像是如先知报告
[1197.58-1203.84] 那因为有一些先进们把提问丢到聊天的这个栏位里面
[1203.84-1206.72] 所以我们抱歉看到问题比较慢
[1206.72-1212.94] 那我先简单说明一下那个目前Circum, Circum Carbide的产能概况
[1212.94-1219.88] 那这里面的话冒兮过去的系相关的产能是五万两千片一个月
[1219.88-1225.04] 如果我以现在产品组合填到满载的情况下是五万两千片
[1225.04-1228.24] 那当我们在发展SIC产能的时候
[1228.24-1231.74] 我们就把一些产能做了一些重新的配置
[1231.74-1233.58] 配置完之后呢
[1233.58-1238.28] 我们在Circum的产能上面应该还可以做得到五万片
[1238.28-1242.78] 那SIC的产能的部分目前是三千片
[1242.78-1245.38] 那随着市场的变化
[1245.38-1252.36] 当然我们会逐步的去增加SIC的产能的份额
[1252.36-1256.40] 那当然相对就会挤压Circum的产能
[1256.40-1260.26] 不过这个就根据未来的订单我们再来做调整
[1260.26-1262.38] 那这是这一集的回复
[1262.38-1271.68] 那这里有第二个题目就是
[1271.68-1274.76] 车用产品以外的其他产品
[1274.76-1278.64] 如工业类别出货占比大概是多少
[1278.64-1282.58] 那这里大概就简单的回复一下就是说
[1282.58-1285.22] 车用的产品我们现在
[1285.22-1290.00] 如同刚才报告的我们大概有46%的营收比重
[1290.00-1293.30] 那其他的部分大部分都在工业界
[1293.30-1297.94] 那有少部分是在逻辑跟IC类的产品
[1297.94-1300.26] 那也可以这样讲就是说
[1300.26-1301.66] 工业界的产品大概是
[1301.68-1303.80] 大概是一账20到25%
[1303.80-1309.02] 所以我们主要的出货比例
[1309.02-1313.84] 接下来有一个先进提问到就是说
[1313.84-1317.60] 同城并购8寸晶圆的计划进度
[1317.60-1320.72] 茂熙在这边扮演的角色为何
[1320.72-1328.34] 那很抱歉这一部分我建议这位先进就去请教同城
[1328.34-1331.50] 那茂熙这边没有办法替同城做任何的
[1331.68-1332.68] 回复这样
[1332.68-1338.92] 那接下来有位先进提问就是
[1338.92-1342.68] 未来发展方向是否
[1342.68-1345.52] 有对应的观察指标可以提供
[1345.52-1347.34] 譬如说车用的发展
[1347.34-1349.10] 可以观察infei0
[1349.10-1354.84] 那茂熙的未来发展方向主要都还是锁定在功率的器件
[1354.84-1361.14] 那除了功率器件之外其实我们有蛮多的产品规划跟
[1361.68-1368.68] 未来的产能方向其实都在车用的发展方向
[1368.68-1371.18] 那我想各位先进应该有注意到就是
[1371.18-1373.68] 虽然未来我们有很多产品的规划
[1373.68-1379.92] 但是其中碳化锡跟氮化钾这两个产品
[1379.92-1384.44] 它相对的市场上的市价是比较高的
[1384.44-1387.52] 所以当我们的产能在开出来的时候
[1387.52-1391.64] 可能这几个产品就会占营收蛮重大的比例
[1391.68-1394.56] 它相对会稀释其他产品
[1394.56-1398.68] 所以简而言之就是车规的
[1398.68-1405.68] 车规的未来的产品发展会是我们营收最重要的一个比例
[1405.68-1406.68] 这样
[1416.68-1418.68] 那
[1420.18-1421.68] 这个黄先生
[1421.68-1426.68] 就是有提到就是说谢谢你非常认真的在看我们的财报
[1426.68-1429.68] 那公司的研发费用一直在提高
[1429.68-1433.68] 那这个一直在提高的具体原因我做一个说明
[1433.68-1439.68] 主要原因是因为我们现在在这几年的重要活动里面都在
[1439.68-1443.68] 那个IGBT SIC这样的产品
[1443.68-1447.68] 那我们为了要打造这个适当的代工环境
[1447.68-1450.68] 所以我们必须要投入一定的研发资源
[1450.68-1455.68] 那这些研发资源里面特别是不管是IGBT也好
[1455.68-1457.68] 或者是SIC也好
[1457.68-1462.68] 那这些大概都在都是未来发展重大的方向
[1462.68-1467.68] 所以我们会在这里面也是会就是投入相当的研发费用
[1471.68-1479.68] 那如天静们提到的都说那研发费用会不会下降
[1479.68-1484.68] 我心里面的想法应该是会微微的上升而不是下降
[1484.68-1486.68] 那最主要原因还是一样
[1486.68-1489.68] 我们除了打造新的代工平台
[1489.68-1493.68] 那特别这些都在比较高单价的产品上面
[1493.68-1499.68] 所以相对来说不管是SIC也好或者是淡化家也好
[1499.68-1502.68] 这个都会蛮吃研发费用
[1502.68-1505.68] 那但是我对研发费用是会控管的
[1505.68-1508.68] 所以不会让它的比重超过太多
[1508.68-1509.68] 那但是大概是这样的想法
[1509.68-1513.68] 但是大概如果以绝对值来讲的话还是会微微上升
[1513.68-1514.68] 那以上报告
[1520.68-1527.68] 有位先进在问到的就是SIC的基板是跟中国还是跟台湾这边拿
[1527.68-1531.68] 那SIC二级体跟MOSFET会在7月出货
[1531.68-1533.68] 然后是不是在车归
[1533.68-1536.68] 那我这边做一个简单的报告
[1536.68-1538.68] 刚刚有简单的报告一下
[1538.68-1542.68] 就是我们的生产线配置的一个情境
[1542.68-1549.68] 那SIC因为在市场上就是设备的交期最长的长达两年
[1549.68-1553.68] 所以我们从2023年年中开始布局
[1553.68-1558.68] 其实整个设备到位的时间已经到2025年的年中
[1558.68-1561.68] 我们才有办法所有设备到位
[1561.68-1567.68] 那以这个情境来看就是说我们刚刚我的报告是说7月份
[1567.68-1572.68] 我们是已经达到可以接代工订单的程度
[1572.68-1574.68] 但是以产品布局上面来讲
[1574.68-1578.68] 我们还是要协助客人把它产品化
[1578.68-1581.68] 而且要验证然后才会谈出货
[1581.68-1589.68] 所以实际上SIC在2025年还不会有太明显的营收表现
[1589.68-1591.68] 那至于是哪些方面
[1591.68-1595.68] 我们车归公归还有其他应用方面其实都有
[1595.68-1596.68] 那最后回复的问题是说
[1597.68-1599.68] 我们的问题就是基板
[1599.68-1607.68] 基板的部分的话我们的确在各个基板的供应商这边都有做互动
[1607.68-1613.68] 那以贸系来讲未来SIC的基板会由客人来提供
[1613.68-1622.68] 所以呢客人会拿中国或者是台湾的这个就随客人的期待来做规划
[1622.68-1626.68] 但是我相信整个以大的事件来讲就是
[1627.68-1629.68] 中国的基板是成熟的
[1629.68-1631.68] 但是会有OOC的影响
[1631.68-1635.68] 所以会不会就是也许会有一些客人
[1635.68-1639.68] 他在产品布局上他没有办法拿中国的基板
[1639.68-1643.68] 那他也许就会考虑台湾或者是其他的基板
[1643.68-1646.68] 那这个我们基本上都会配合客人的要求
[1646.68-1648.68] 那以上是我的说明
[1648.68-1654.68] 那我现在看到一个新的题目
[1654.68-1655.68] 这位仙静提到就是SIC的基板是什么样的问题呢?
[1655.68-1656.68] 那我现在看到一个新的题目
[1656.68-1660.68] 就是SIC目前客户是否有既有的客户
[1660.68-1664.68] 那客户有没有给Forecast或者是目前的需求
[1664.68-1668.68] 那客户对我们急迫度感受如何
[1668.68-1671.68] 那在这边跟仙静们说明一下
[1671.68-1677.68] 就是SIC我在打造这一个生产线的同时
[1677.68-1683.68] 其实已经有几个客人进来跟我们做前期的共同开发
[1683.68-1686.68] 那这个前期的共同开发的客人当然不一定是我们的客人
[1686.68-1688.68] 就会是未来的既有客人
[1688.68-1690.68] 那至于说有没有Forecast
[1690.68-1695.68] 这个就看客人在市场上行销的进度
[1695.68-1702.68] 那至少我想比较明确的Forecast都会在2026年之后才会看得比较清楚
[1702.68-1708.68] 那以上是我简单的说明
[1716.68-1721.68] 那我这边也许就是最后一个问题了
[1721.68-1725.68] 那大概简单说明一下就是我们在董事会上面有
[1725.68-1729.68] 今年的董事会上面有提到一个投资计划
[1729.68-1734.68] 那这个投资计划其实是应运我们未来的发展
[1734.68-1740.68] 那这里未来的发展里面包括说我们可能会有一些策略联盟的发展
[1740.68-1742.68] 或者是充实营运资金
[1742.68-1745.68] 偿还银行借款或者买新设备
[1746.68-1752.68] 或者是转投资这些资金的需求
[1752.68-1754.68] 所以为了这样的需求
[1754.68-1759.68] 所以我们预先先做一些投资的规划
[1759.68-1763.68] 那但是实际会不会动之这些经费
[1763.68-1766.68] 还是要看升息的状况才来做决定
[1766.68-1768.68] 那以上是我们的说明
[1773.68-1775.68] 谢谢大家的参与
[1775.68-1776.68] 那今天的法人说明
[1776.68-1778.68] 会就到这边结束
[1778.68-1781.68] 也请各位投资先进多多支持
[1781.68-1783.68] 最后敬祝各位投资顺利
[1783.68-1784.68] 万事如意
[1784.68-1785.68] 谢谢
