[0.00-7.08] 各位投资先进参加2025年第一次技嘉科技份有限公司线上法人说明会
[118.20-120.92] 营收账款是285.46亿
[120.92-124.24] 增加124.3亿
[124.24-126.76] 成长幅度是77.6%
[126.76-129.72] 存货是438.09亿
[129.72-132.36] 成长141.45亿
[132.36-134.58] 幅度是48.66%
[134.58-138.12] 流动资产是1004.85亿
[138.12-141.24] 年成长274.11亿
[141.24-144.26] 成长幅度是37.51%
[144.26-147.08] 固定资产是108.01亿
[147.08-147.66] 成长幅度是37.51%
[147.68-152.28] 年成长幅度是19.01%
[152.28-152.54] 年成长幅度是19.01%
[152.54-156.12] 资产总计是1112.86亿
[156.12-158.52] 成长291.36亿
[158.52-161.00] 成长幅度是35.46%
[161.00-164.52] 应付账款是177.66亿
[164.52-167.68] 减少29.32亿
[167.68-171.36] 减少幅度是14.16%
[171.36-174.36] 流动负债是370.5亿
[174.36-177.38] 减少增加24.51亿
[177.38-177.66] 年成长幅度是19.02亿
[177.68-179.72] 增加幅度是7.08%
[179.72-180.24] 增加幅度是17.11%
[180.24-180.50] 增加幅度是17.11%
[180.50-181.00] 增加幅度是17.11%
[181.00-188.44] 增加幅度是17.11%
[188.44-191.24] 股东股股本是66.98亿
[191.24-193.80] 成长3.42亿
[193.80-196.88] 成长幅度是5.38%
[196.88-199.70] 业主权益是536.83亿
[199.70-201.48] 成长162.11亿
[201.48-205.32] 成长幅度是43.26%
[205.32-206.60] 接下来是2024年的水逆表
[206.60-207.64] 接下来是2024年的水逆表
[207.68-212.04] 2024年的营业收入是2651亿
[212.04-216.12] 成长年成长1283.75亿
[216.12-218.94] 年成长93.85%
[218.94-223.48] 营业毛利是280.92亿
[223.48-226.02] 年成长115.17亿
[226.02-228.76] 年成长69.48%
[228.76-231.78] 营业费用是153.15亿
[231.78-234.98] 年成长36.35亿
[234.98-237.64] 年成长幅度是31.12%
[237.68-241.00] 营业利益为127.76亿
[241.00-242.80] 成长78.81亿
[242.80-246.38] 成长幅度是161%
[246.38-250.22] 税前净利是135.91亿
[250.22-252.02] 成长78.48亿
[252.02-255.34] 成长幅度是122.65%
[255.34-258.68] 所得税费用为28.42亿
[258.68-260.72] 成长15.19亿
[260.72-263.02] 成长幅度为114.81%
[263.02-267.12] 本期净利是107.55亿
[267.12-267.64] 成长15.19亿
[267.64-272.50] 成长幅度为124.95%
[272.50-276.08] 2024年EPS为15.03%
[276.08-278.14] 年成长7.63%
[278.14-281.98] 成长幅度为103.1%
[281.98-285.30] 2024年毛利率为10.59%
[285.30-287.86] 减少1.52%
[287.86-288.88] 营业
[288.88-291.44] 费用率为5.78%
[291.44-294.78] 下降2.75%
[294.78-297.60] 营业利益为4.81%
[297.64-300.72] 下降1.24%
[300.72-306.08] 上升1.24%
[306.08-309.42] 2023年第1季度
[309.42-312.24] 是2024年第4季度营业额及
[312.24-314.28] 当季每股盈余
[314.28-320.16] 最新的2024年Q4的营业额是656亿
[320.16-323.24] EPS是4.31块
[323.24-327.08] 整年的营业额及EPS是
[327.08-331.68] 2024年是2651亿
[331.68-337.32] 营业额EPS是15.03
[337.32-338.08] 毛利
[338.08-341.68] 毛利总额第4季度为
[341.68-343.98] 66.36亿
[343.98-346.54] 费用为41.66亿
[346.54-349.60] 营业利益为24.71亿
[349.60-353.20] 百分比来看的话第4季度
[353.20-354.98] 毛利为10.12%
[354.98-356.52] 费用率为6.35%
[356.52-361.12] 营业利益为3.77%
[361.12-362.92] 产品别break down
[362.92-365.74] 2025年第1季度的
[365.74-367.78] 营业额分布
[367.78-370.08] 其中主板占13%
[370.08-372.64] 显卡占27%
[372.64-377.52] 网通产品占55%其他占5%
[377.52-381.86] 2024年营业重点说明及2025年展望
[381.86-386.22] 第一点2024年第4季度营收是656亿
[386.52-391.12] 2024年全年营收是2651亿
[391.12-394.96] YOY大幅成长93.78%
[394.96-398.80] 2024年第4季度EPS是4.31
[398.80-402.64] 相较2024年第3季度EPS2.91
[402.64-405.46] QOQ是成长48.1%
[405.46-409.56] 相较同期2023年第4季度2.12%
[409.56-413.14] YOY是大幅成长103.3%
[413.14-415.70] 2024年全年EPS15.03
[415.70-416.48] 相较2023年第4季度EPS2.31%
[416.52-418.32] 2023年EPS7.4
[418.32-422.40] YOY大幅成长103.1%
[422.40-424.20] 第三
[424.20-428.56] 第三季度美元资产评价汇兑省持是6.28亿
[428.56-431.36] 第四季度已经实际回转6.71亿
[431.36-434.44] 回转了108%
[434.44-437.52] 第四经济规模效益展现
[437.52-440.84] 2024年营业费用率健康下降
[440.84-446.48] 5.78%相较于2023年8.53%下降了2.75%
[446.48-451.08] 2024年营业费用提升主要是在于人员的扩充
[451.08-456.72] 并于年底提炼相关相对应的薪资及分红费用
[456.72-463.12] 2024年Q4相较于2023年Q3毛利率纤维下滑0.15%
[463.12-464.92] 属正常变动范围
[464.92-470.04] 当显卡高阶产品供应之后毛利率渴望再提升
[470.04-474.12] 第六2025年第1季度营收657.4亿
[474.12-476.18] YOY成长19.2%
[476.48-479.80] 为历年同期的历史新高
[479.80-483.14] 预估第二季度预估淡季不淡
[483.14-486.46] 渴望优于第一季度
[486.46-490.30] 第七我们密切关注关税政策变化
[490.30-492.36] 与供应商客户密切合作
[492.36-493.64] 妥善因应
[493.64-501.06] 目前为时2025年双位数成长幅度不变
[501.06-506.18] 因应成长需求继佳全球生产据点及产能持续扩张
[506.18-510.02] 弹性调整已满足不同的客户需求
[510.02-512.32] 目前关税政策变化快速
[512.32-516.16] 针对不同的税率以及规则制定规则
[516.16-520.00] 即将与供应店伙伴密切合作迅速因应
[520.00-522.06] 目前美国马来西亚
[522.06-527.18] 当地伺服器组装线已经开始小量出货
[527.18-529.98] 接下来是产品的介绍部分
[529.98-532.54] 第一个是在SERVER的产品部分
[532.54-533.82] 持续强化
[533.82-535.36] AI SERVER研发
[535.36-536.14] 以提升竞争能力
[536.14-538.44] 提升优势
[538.44-541.00] 我们持续推动
[541.00-543.06] 高密度伺服器的创新
[543.06-546.38] 持续的研发投资提供市场
[546.38-549.70] 上密度最高的伺服器
[549.70-553.30] 第二个是我们波样化的加速器的支援
[553.30-556.88] 与NVIDIA AMD Intel厂商密切合作
[556.88-562.26] 确保技嘉的AI伺服器能够及时供应最新硬体上市与市场需求
[562.26-565.06] 提供包括NVIDIA Harper Redwell
[565.06-566.10] AMD MI300
[566.14-566.90] MI300X
[566.90-568.18] MI300A Intel
[568.18-572.02] Galaxy Gold III等优化工作布载的伺服器
[572.02-576.38] 确保技嘉伺服器的高性能与适应性
[576.38-579.70] Intel与AMD的四世代品牌
[579.70-582.52] 同步Intel与AMD产品上市
[582.52-585.86] 推出支援Safari Rapid
[585.86-588.16] 及Tooling处理器的伺服器
[588.16-594.56] 为HPC AI及云端应用提供强大的运算力
[594.56-595.84] NVIDIA
[595.84-597.38] MGX架构
[597.38-599.16] 技嘉开发了市场
[599.16-604.04] 最丰富的MGX主态伺服器产品线
[604.04-609.16] 提供包括支援NVIDIA Superchip或X86架构的多种型号
[609.16-612.22] 透过累积的海量产品设计经验
[612.22-616.06] 我们的MGX伺服器能够提供
[616.06-623.24] 传统伺服器的运作可靠度为未来AI运算的泛用预做准备
[623.24-626.06] 第五是领导散热的创新
[626.06-629.12] 技嘉持续推动散热技术发展
[629.12-635.02] 提供最完整的DLC及静默式液冷解决方案
[635.02-636.56] 再来介绍
[636.56-641.68] 技嘉机柜式产品整合与优化
[641.68-644.24] 技嘉的AI机柜解决方案
[644.24-646.80] 以市场领先的AI伺服器为基础
[646.80-651.66] 推出Gigapark机柜及产品解决方案
[651.66-654.48] 整合运算、网路与储存
[654.48-661.14] 为提供AI资料中心产业快速的基础架构建置方案
[661.14-663.70] 优化的高速网路选项
[663.70-665.74] 透过实地部署Gigapark
[665.74-670.60] 我们可以调教采用Infinipen的大规模联网效能
[670.60-673.94] 并推动对Infinipen NDR的资源
[673.94-677.52] 同时持续关注Ethernet的技术发展
[677.52-680.08] 新增对Broadcom产品的资源
[680.08-681.62] 提供客户更灵活的AI网路组成方案
[681.66-686.02] 高效能的储存
[686.02-690.36] 建构AI运算机柜专属的储存系统
[690.36-695.22] 采用GPU Direct技术加速资料传输
[695.22-698.04] 同时透过对标准物件与档案
[698.04-699.84] 储存协定的支援
[699.84-703.68] 从而提升大规模横向扩展的能力
[703.68-705.46] 先进的散热技术
[705.46-711.62] 除了能提供市场最多款专用于DLC和静默式逸冷的伺服器外
[711.62-716.48] 即将同时整合各家合作伙伴的CPU与控制界面
[716.48-719.30] 扩大Gigapark的适用性
[719.30-724.68] 从而能提供重集在高运算负载下的稳定功能
[724.68-731.34] 我们同时以此为根基持续优化产品散热与节能上的设计
[731.34-736.46] NVIDIA GP200 NBL72的整合上市
[736.46-740.54] GP200 NBL72也是技嘉机柜级产品方案的一份子
[740.54-742.34] 配合NVIDIA市场策略
[742.34-748.74] 我们从而早期开发并同步推出GP200 NBL72运算机柜
[748.74-754.10] 提供AI工厂客户在商业竞争的领先优势
[754.10-759.48] 第三个是技嘉在软体发展跟生态系的整合部分
[759.48-766.14] 技嘉从GMC GIGABYTE MANAGEMENT COUNCIL以及GSN GIGABYTE SERVER MANAGEMENT
[766.14-768.18] 软体出发
[768.18-769.98] 我们持续获冲
[769.98-772.02] 制作伺服器产品的软体功能
[772.02-774.84] 随着GIGABYTE推出我们整合了
[774.84-776.64] 微运管理技术
[776.64-778.18] 推出GPM
[778.18-780.74] GIGABYTE HOT MANAGER套件
[780.74-785.08] 并于今年3月获得欧洲众多媒体
[785.08-786.10] 评选为
[786.10-788.42] 最佳伺服器品牌创新奖
[788.42-793.78] 另外在扩大生态系相容性方面
[793.78-799.16] 确保所有技嘉伺服器设计能与Microsoft Ubuntu
[799.16-801.72] 等软体平台相容
[801.72-806.84] 持续推动官方认证提升产品可用度与可靠度
[806.84-811.96] 接下来介绍技嘉notebook产品
[811.96-815.04] 技嘉的AI notebook驱动未来
[815.04-818.10] 解锁笔电使用体验的新高度
[818.10-822.46] 技嘉从2024年开始耕耘AI运用相关
[822.46-825.28] 运用的研发
[825.28-827.32] 适宜提供使用者更客制化高效能又有效率的使用方式
[827.32-827.84] 技嘉的AI notebook驱动未来解锁笔电使用体验的新高度
[827.84-828.08] 技嘉从2024年开始耕耘AI运用相关运用的研发事业提供使用者更客制化高效能又有效率的使用方法
[829.16-831.46] 技嘉从2024年开始耕耘AI运用相关运用相关运用相关技术
[831.46-835.56] 技嘉从2024年开始耕耘AI运用相关运用相关技术
[835.56-838.12] 技嘉从2025年开始产出新机型
[838.12-841.44] 全系列搭载自制AI助理
[841.44-843.76] 结合低端运算的Lum大型语言模型
[843.76-845.54] 结合低端运算的Lum大型语言模型
[845.54-847.34] 获得亮丽的成绩
[847.34-849.38] 让不同面向的使用者
[849.38-852.72] 坚能享用同等规格的AI体验
[852.72-857.32] 真正落实到AI驱动未来的中心思想
[857.32-858.86] 技嘉
[858.86-859.12] 技嘉
[859.12-859.14] 技嘉
[859.14-868.64] 最新的旗艦體HORUS-816 Elite 16為為科技革新樹立的新標杆
[868.64-873.14] 滿足核心玩家需要的極高遊戲效能
[873.14-884.64] 搭載最新Intel Core Ultra 9 Processor 257HR以及最高階NVIDIA GeForce 5090顯卡
[884.64-888.64] 提供滿血運算力及DLSS4技術
[888.64-892.64] 帶來極速超高解析度的遊戲體驗
[892.64-897.64] 全新的Windforce Infinity EX散熱技術
[897.64-900.64] 最高支持270W解熱能力
[900.64-909.64] 結合158扇Ear Force Fan獨家4風扇內吹系統
[909.64-915.64] 搭配高效熱導板以及創新的風道設計
[915.64-918.64] 打造穩定效能與冰感操控區
[918.64-921.64] 專注於玩家的沉浸式需求
[921.64-925.64] 此外,獨家的GMAT熱鍵啟動AI Engine助理
[925.64-930.64] 語音智能切換,滿足超頻遊戲和專業工作需求
[930.64-936.64] 螢幕方面,搭載最新的Mini LED和OLED技術
[936.64-944.64] 擁有100萬比1超高對比度、240MHz刷新率
[944.64-946.64] 並通過藍印護眼、Hand-Tone、Hand-to-Hand相關功能
[946.64-947.64] 並通過藍印護眼、Hand-to-Hand相關功能
[948.64-949.64] 香樓配置K はrdai  economics
[949.64-950.64] 威強電方式
[950.64-951.64] 置地更 storytelling
[951.64-952.64] 希望當上的推開節目
[952.64-953.64] 將取得二世界的反應
[953.64-954.64] stem
[954.64-955.64] 玩家
[955.64-956.64] sel
[956.64-957.64] 適合 dificult
[957.64-958.64] 能量
[958.64-959.64] 費力
[959.64-960.64] 超值
[960.64-973.64] 行 Op
[973.64-976.64] s
[976.64-977.64] 美
[977.64-978.64] 正
[978.64-980.56] 高达92的屏占比
[980.56-984.24] 透过独家研发的金属调色技术
[984.24-987.06] 打造无可取代的幻光白
[987.06-990.44] 展现非凡质感与纯粹之美
[990.44-994.06] 技嘉引领NEO国模堆叠技术
[994.06-996.66] 打造渐层金属质感明板
[996.66-998.96] 展现当代设计美学
[998.96-1004.50] 最高搭载AMD RUN AI9跟NVIDIA
[1004.50-1007.68] RTX5070独立显卡
[1007.68-1011.42] 让使用者在享受轻薄AI笔电的优点时
[1011.42-1014.20] 同时保有高效的游行体验
[1014.20-1017.60] 使用GMAX的AI Voice和AI Privacy
[1017.60-1019.90] 即使在外工作也能享有
[1019.90-1022.68] 顶级隐私防护与高品质的会议体验
[1023.58-1027.12] GIGABYTE GAMING A16
[1027.12-1030.52] 主流活型AI笔电的非凡制作
[1030.52-1035.18] 主打年轻玩家机身设计因应最新潮流
[1035.52-1037.58] 提供年轻消费者定义
[1037.58-1039.58] 自我的生活态度
[1039.58-1042.00] 最高搭载Intel Core i7
[1042.00-1046.00] 与NVIDIA RTS5070系列独立显卡
[1046.00-1049.24] 机身支援180度摊平设计
[1049.24-1053.58] 为用户提供更灵活的使用体验
[1053.58-1056.88] 机身最薄处仅19.45mm
[1056.88-1058.54] 轻薄便细
[1058.54-1062.22] 真正实现了潮流与使用的平衡
[1062.22-1064.84] 配备集载边框屏幕
[1064.84-1067.42] 导致沉浸式视觉享受
[1067.42-1070.42] 准备了长达12小时的高效续航
[1070.42-1073.42] 和再搭配AI POWER GEAR 2
[1073.42-1074.42] 智能省电功能
[1074.42-1075.42] 不仅适合游戏
[1075.42-1077.42] 更能轻松应对多工处理
[1077.42-1079.42] 创意工作和日常使用
[1079.42-1082.42] 随时随地助您表现出色
[1084.42-1087.42] 再来介绍技嘉的主机板产品
[1087.42-1091.42] 技嘉的主机板硬体设计支援全新的事态规格
[1091.42-1094.42] 并导入独家的AI第五黑科技
[1094.42-1097.42] 将记忆体支援停止设置
[1097.42-1105.42] 提升到所谓的9,466Mbps
[1105.42-1109.42] 而业界首发的全白化美型主机板设计
[1109.42-1113.42] 得到了IF设计大奖以及消费者的认同
[1113.42-1118.42] 这两者的结合完美在全新世代的主机板产品上
[1118.42-1121.42] 展现出绝佳的利于美容和
[1122.42-1124.42] 软体方面
[1124.42-1125.42] HORUS AI SNATCH
[1125.42-1127.42] 结合了全球首创
[1127.42-1130.42] 的AI超频模型AI SNATCH ENGINE
[1130.42-1135.42] 以AI调教最佳的DDR5与CPU配置
[1135.42-1139.42] 玩家只需建及一个达成超频
[1139.42-1141.42] 达人等级的效能
[1141.42-1144.42] 硬体方面AI驱动的PCB设计
[1144.42-1148.42] 利用AI模拟将讯号反射降低28.2%
[1148.42-1152.42] 确保多层信号的完整性与效能
[1152.42-1154.42] 在韧体方面
[1154.42-1156.42] Hypertune BIOS功能
[1156.42-1159.42] 透过AI最佳化来微调记忆体代码
[1159.42-1163.42] 确保在游戏和多工处理中的高效表现
[1164.42-1168.42] 技嘉也首创了X3D Turbo Mode
[1168.42-1171.42] 一键提升游戏效能达18%
[1171.42-1175.42] 技嘉的X3D Turbo Mode是一项尖端功能
[1175.42-1180.42] 整合了核心分配、凝关调整和硬体电源平衡
[1180.42-1184.42] 开启后可使游戏效能提升最高达18%
[1184.42-1187.42] 这项突破性技术
[1187.42-1189.42] 亦可搭配AORUS AIS NET软体
[1189.42-1195.42] 让玩家在系统中直接启动X3D Turbo Mode
[1195.42-1197.42] 无需深入复杂的BIOS设定
[1197.42-1203.42] 技嘉AORUS Z890和X870的主机板
[1203.42-1209.42] 全系列的Intel Z890与AMD X870系列主机板
[1209.42-1212.42] 皆搭载了技嘉首次亮相的AI软体
[1212.42-1219.42] 专为顶尖效能和讯号最佳化所设计
[1219.42-1225.42] 研发横跨软体、硬体与韧体的独家AI创新科技
[1225.42-1228.42] 可以将这两个平台的记忆体资源
[1228.42-1231.42] 推进至前所未有的机能表现
[1231.42-1239.42] 新一代的中阶Intel B860和AMD B850系列主机板
[1239.42-1241.42] 承袭了高阶所下放的完整创新AI设计
[1241.42-1244.42] 及DIY友战设计
[1244.42-1250.42] 产品同时配备全数位电源和强化的散热设计
[1250.42-1255.42] 并以更亲民的市场价格展现绝佳的CP值
[1255.42-1261.42] 另外AMD 800系列主机板全面支援X3D Turbo Mode
[1261.42-1265.42] 更可以将游戏效能提升到全新境界
[1265.42-1269.42] 以上设计让技嘉中阶的B800系列主机板
[1269.42-1270.42] 成为主流PC玩家的主机板
[1270.42-1280.42] 技嘉ORUS系列主机板全球好评也不断
[1280.42-1283.42] 针对ORUS 800系列主机板
[1283.42-1286.42] 全球媒体一致给予高度的好评
[1286.42-1291.42] 接下来是技嘉的显示卡产品
[1291.42-1297.42] 因为有各种高效能的散热设计
[1297.42-1298.42] 因此品质保证设定最高的超频显示卡产品
[1298.42-1304.42] 也能稳定的高效运作带给消费者更多的效能
[1304.42-1308.42] 技嘉ORUS系列机种复充设计
[1308.42-1312.42] 超频频率为业界最高效能出众
[1312.42-1315.42] 有导入了全新系列的Hawk风扇
[1315.42-1321.42] 伺服器等级的散热凝胶以及液态金属导热
[1321.42-1326.42] 面对高效能GPU不断攀升的功耗挑战
[1326.42-1330.42] 技嘉提供完整且多样性的散热解决方案
[1330.42-1333.42] 针对追求极致散热效能的使用者
[1333.42-1337.42] 我们提供ORUS Extreme Waterforce一体式水冷
[1337.42-1342.42] 及可支援客制化水冷系统的独立水冷机种
[1342.42-1345.42] 而针对偏好风冷的使用者
[1345.42-1350.42] 技嘉ORUS Master GAMING Aura EGO以及Winforce等系列
[1350.42-1352.42] 则提供丰富的选择
[1352.42-1355.42] 全面满足游戏玩家、内容创作者以及AI开发者
[1355.42-1358.42] 等不同服务群
[1358.42-1362.42] 技嘉也提供了多样化选择
[1362.42-1366.42] 满足Small Phone Factor Ready小尺寸主机爱好者
[1366.42-1369.42] 与白色外观爱好者
[1369.42-1373.42] 技嘉科技致力于满足多元使用者需求
[1373.42-1376.42] 提供全面且丰富的产品选择
[1376.42-1380.42] 除了追求极致效能的顶级机种
[1380.42-1384.42] 技嘉更针对小尺寸主机爱好者
[1384.42-1388.42] 推出符合Small Phone Factor Ready规格的显示卡
[1388.42-1392.42] 兼顾强悍效能与精巧体积
[1392.42-1395.42] 同时为满足白色外观爱好者的需求
[1395.42-1400.42] 我们提供ORUS ICE、ARO、EGO ICE系列等多元选择
[1400.42-1405.42] 无论是游戏玩家、内容创作者或AI开发者
[1405.42-1408.42] 都能在技嘉科技的显示卡产品线中
[1408.42-1412.42] 找到最符合自身需求的理想解决方案
[1414.42-1418.42] 技嘉也推出了Radiant RX 9000系列显示卡
[1418.42-1421.42] 为主流玩家提供无预轮比的游戏体验
[1421.42-1425.42] 这些显示卡采用技嘉WinForce风支力散热系统
[1425.42-1431.42] AMD RDNA 4统合运算单元最新的AMD技术
[1431.42-1436.42] 包括AMD Fertility MX Super Resolution 4
[1436.42-1438.42] AMD Hyper Ice
[1438.42-1442.42] AMD Fluid Motion RAN 2
[1442.42-1445.42] AMD RADIAN、AMD LAG和AMD RADIAN Boost
[1445.42-1449.42] 他们利用AI的强大功能提供令人惊艳的视觉效果
[1449.42-1452.42] 和极其流畅的游戏体验
[1452.42-1455.42] 让玩家沉浸在游戏世界中
[1455.42-1459.42] 并确保多年的卓越游戏乐趣
[1459.42-1462.42] 媒体也普遍赞赏技嘉显示卡
[1462.42-1465.42] GPU温度低且超频幅度最高
[1465.42-1469.42] 效能最好、稳定运作
[1469.42-1471.42] 技嘉也推出了AirTab产品产品线
[1472.42-1477.42] 目前的市场趋势正在快速变革
[1477.42-1482.42] 我们可以看到从2023年开始
[1482.42-1490.42] 从通用的LLM快速演进至更加个性化、安全减高效的解决方案
[1490.42-1494.42] 展望未来会进一步发展到边缘运算的定制化应用
[1494.42-1498.42] 这个市场呈指数级的增长
[1498.42-1501.42] 现在进入市场更是时候
[1501.42-1506.42] 技嘉提供了AirTab客制化的LAM解决方案
[1506.42-1509.42] 硬体可以训练11级的参数模型
[1509.42-1512.42] 但其效能和价值更高
[1512.42-1519.42] 随着市场快速向私有云和边缘计算的定制化AI应用发展
[1519.42-1523.42] 现在正是投资AirTab解决方案的最佳时机
[1523.42-1529.42] 技嘉AirTab的核心优势不仅仅仅是一台顶级的游戏主机
[1529.42-1530.42] 技嘉也提供了AI-CAP的客制化的LAM解决方案
[1531.42-1533.42] 更是一个完整的AI解决方案
[1533.42-1536.42] 这个系统由两大核心部分所组成
[1536.42-1540.42] AirTab硬体和AirTab有机的体
[1540.42-1544.42] 完美结合为客户提供无与伦比的AI体验
[1544.42-1548.42] 各位可以看到在硬体的优势方面
[1548.42-1550.42] AirTab具备了四大优势
[1550.42-1552.42] 第一个是降低长期成本
[1552.42-1556.42] 第二个是弹性扩充的与提升能力
[1556.42-1558.42] 第三个是可在地化
[1558.42-1559.42] 第四个是可专属应用领域的提升能力
[1559.42-1560.42] 第四个是可专属应用领域的提升能力
[1560.42-1563.42] 专属应用领域优化的AI模型
[1563.42-1566.42] 在工具的优势方面
[1566.42-1568.42] 一样有四大优势
[1568.42-1571.42] 第一个是简化AI的训练与推理流程
[1571.42-1574.42] 第二个是易于管理的使用者界面
[1574.42-1577.42] 第三个是资料隐私与安全性
[1577.42-1580.42] 第四个是AirTab的使用工具
[1580.42-1583.42] 所以无论您是AI研究人员
[1583.42-1586.42] 内容创作者或是企业决策者
[1586.42-1588.42] AirTab都能为您带来前所未有的AI互联体验
[1588.42-1589.42] AirTab都能为您带来前所未有的AI互联体验
[1590.42-1592.42] 这正是未来计算的样貌
[1592.42-1595.42] 而技嘉已经将它带到您面前
[1595.42-1598.42] 技嘉的AI Tab产品线
[1598.42-1601.42] 目前预计于第二季度会推出上市
[1601.42-1602.42] 目前预计于第二季度会推出上市
[1602.42-1606.42] 再来是ESG的部分
[1606.42-1610.42] 在质核、质理、义核方面
[1610.42-1614.42] 技嘉连续8年持续入围
[1614.42-1618.42] 第二远见CSR-DESG企业社会责任奖
[1618.42-1619.42] 第二远见CSR-DESG企业社会责任奖
[1619.42-1620.42] 第二远见CSR-DESG企业社会责任奖
[1620.42-1624.42] 综合绩效电子科技楷模奖
[1624.42-1625.42] 综合绩效电子科技楷模奖
[1625.42-1627.42] 技嘉也持续入选
[1627.42-1628.42] 技嘉也持续入选
[1628.42-1631.42] 特选台湾ESG低碳50指数
[1631.42-1632.42] 特选台湾ESG低碳50指数
[1632.42-1634.42] 以及台湾指数公司特选
[1634.42-1635.42] 以及台湾指数公司特选
[1635.42-1639.42] 台湾上市上柜永续高息中小型股指数
[1639.42-1642.42] 在环境友善方面
[1642.42-1643.42] 在环境友善方面
[1643.42-1646.42] 技嘉也持续获得CDP的一个奖项
[1646.42-1647.42] 技嘉也持续获得CDP的一个奖项
[1647.42-1649.42] 也入选了Financial Times
[1649.42-1651.42] 2024年亚太气候领袖
[1651.42-1652.42] 2024年亚太气候领袖
[1652.42-1654.42] 技嘉的子公司百事国际也获得了
[1654.42-1656.42] 技嘉的子公司百事国际也获得了
[1656.42-1658.42] 2024年新北市所颁发的
[1658.42-1659.42] 2024年新北市所颁发的
[1659.42-1661.42] 绿色消费极优事业
[1661.42-1662.42] 绿色消费极优事业
[1662.42-1664.42] 在台湾精品奖
[1664.42-1666.42] 我们持续获得以及红点设计奖
[1666.42-1668.42] 我们持续获得以及红点设计奖
[1668.42-1669.42] 我们持续获得以及红点设计奖
[1669.42-1670.42] 技嘉也持续获得人力银行颁发的
[1670.42-1672.42] 技嘉也持续获得人力银行颁发的
[1672.42-1674.42] 技嘉也持续获得人力银行颁发的
[1674.42-1676.42] 科技研发的奖项
[1676.42-1678.42] 科技研发的奖项
[1678.42-1680.42] 科技研发的奖项
[1680.42-1682.42] 在创新科技升级生活方面
[1682.42-1684.42] 在创新科技升级生活方面
[1684.42-1686.42] 技嘉持续推动各项有序活动
[1686.42-1688.42] 技嘉持续推动各项有序活动
[1688.42-1690.42] 各项指标都持续在进步中
[1690.42-1692.42] 以温室气体排放方面
[1692.42-1694.42] 技嘉持续进步
[1694.42-1696.42] 已经降低达到51.72%
[1696.42-1698.42] 各单位营收的碳排放强度
[1698.42-1700.42] 各单位营收的碳排放强度
[1700.42-1702.42] 已降至3倍
[1702.42-1704.42] 技嘉的值数目前已经累积到
[1704.42-1706.42] 技嘉的值数目前已经累积到
[1706.42-1708.42] 115939颗
[1708.42-1710.42] 115939颗
[1710.42-1712.42] 在清洁和
[1712.42-1714.42] 在清洁和
[1714.42-1716.42] 环保节能
[1716.42-1718.42] 工业的水消耗部分
[1718.42-1720.42] 这是少数稍微
[1720.42-1722.42] 稍微减少的部分
[1722.42-1724.42] 原因是因为我们营收的持续增加
[1724.42-1726.42] 原因是因为我们营收的持续增加
[1726.42-1728.42] 所以消耗的下降稍微有点
[1728.42-1730.42] 所以消耗的下降稍微有点
[1730.42-1732.42] 减缓但是对比营收的话
[1732.42-1734.42] 这个绩效还是相当的有效
[1734.42-1736.42] 这个绩效还是相当的有效
[1736.42-1738.42] 在环保
[1738.42-1740.42] 时数方面已经累积超过
[1740.42-1742.42] 124788小时
[1742.42-1744.42] 124788小时
