[0.00-4.00] 好,那時間差不多,我們就先開始
[766.00-768.00] 那什麼時候會入帳
[770.00-773.00] 我也澄清一下
[773.00-776.00] 這件事因為具體還沒有入帳
[776.00-780.00] 但是它事實上應該就已經發生了
[780.00-784.00] 所以這件事牽涉到我們在107年12月
[784.00-786.00] 當時的華映
[786.00-790.00] 我們當時我記得打開了16.4億
[790.00-794.00] 那這次終於它的一些單保品除份掉了
[794.00-797.00] 原則上我們有機會回收19.2億
[797.00-801.00] 但是這件事情要等到正式入帳之後
[801.00-804.00] 我想我們才會正式做一個公告
[804.00-806.00] 但是這個入帳的時點
[806.00-809.00] 我想如果一樣比較順利的話
[809.00-812.00] 大概在6月底左右
[812.00-814.00] 當然前提是比較順利
[814.00-816.00] 因為它很多的分配的問題
[816.00-818.00] 都還是要看法院的時程
[818.00-820.00] 那可以再問一下
[820.00-822.00] 現在還有沒有逃避
[822.00-826.00] 就是去年的除份台帳的
[826.00-828.00] 還有兩三個case
[828.00-830.00] 大概什麼時候會入帳
[830.00-834.00] 其實從華映到後來幾個比較大的case
[834.00-836.00] 的一些單保品
[836.00-839.00] 我們這些年都一直非常努力積極的在處理
[839.00-841.00] 但是如同之前的法說有講
[841.00-843.00] 它很多的時程都卡在
[843.00-845.00] 因為它需要一個拍賣的過程
[845.00-850.00] 都卡在法院或者一些程序上面
[850.00-853.00] 所以我在這邊我也不敢提前說預告
[853.00-855.00] 但是我只能保證我們還是會
[855.00-858.00] 非常積極努力的來處理
[860.00-862.00] 那我再問一下就是說
[862.00-864.00] 因為現在國民會通過
[864.00-869.00] 那像接下來大概金城營管理層在這邊
[869.00-872.00] 對今年金利沙的看法它還是怎麼樣
[872.00-876.00] 那幾個就是存款款業務
[876.00-880.00] 或是投資或是這個策略
[880.00-884.00] 大概在國民會之後大概是會怎麼樣的狀況
[884.00-885.00] 謝謝
[885.00-888.00] 這點我們是不是提的
[888.00-892.00] 就是比如說包括一些我們
[892.00-894.00] 總體來說就我們一些業務的徵求
[894.00-895.00] 或者一些政策方向
[895.00-897.00] 會不會有一些什麼樣的改變
[897.00-900.00] 比如說我們不會因為病毒有攻擊
[900.00-905.00] 然後有什麼不一樣的政策改變
[905.00-908.00] 除非其實現在領股會過了之後
[908.00-911.00] 我們比較多的就是雙方管理結場之間
[911.00-914.00] 還有我們一些各部市之間的一些
[914.00-919.00] 因為合併的事情做一些相互之間的討論
[919.00-921.00] 還有一些細節的溝通
[921.00-924.00] 其實我們已經開始進入這樣的
[924.00-927.00] 整個流程
[927.00-930.00] 至於其實銀行的授信政策各方面
[930.00-932.00] 還有利差的部分
[932.00-935.00] 我想我們不會有任何的改變
[935.00-936.00] 我覺得不會有改變
[936.00-937.00] 謝謝
[954.00-961.00] 謝謝
[961.00-963.00] 我想請教一下就是
[963.00-965.00] 因為現在國民會過了之後
[965.00-967.00] 下一個就是備期文件
[967.00-969.00] 那之前其他的案子裡面
[969.00-971.00] 其實經過會有聽到說
[971.00-973.00] 就像是什麼員工啊
[973.00-975.00] 這些等等配套都要先準備好
[975.00-977.00] 那我們公司這邊有沒有預估說
[977.00-979.00] 因為之前好像有看到一些報導是說
[979.00-982.00] 國外這邊好像還沒有看好
[982.00-983.00] 那我們有沒有預估說大概
[983.00-987.76] 大概可能什麼時間可以完成這件事情
[987.76-991.20] 然後什麼時候文件可以被起送到經常會場
[991.20-997.76] 我們現在大概還有哪些問題要再一提一下去解決嗎
[1002.76-1003.50] 謝謝
[1003.50-1006.76] 其實我想文件的被起的部分
[1006.76-1011.66] 大概都應該是由金鵬這邊來處理
[1011.66-1015.42] 我這邊不方便回答說他們什麼時候可以送件
[1015.42-1017.42] 那自己的公安事計劃的部分
[1017.42-1022.42] 目前其實確實在我們2月26號表決的時候
[1022.42-1026.42] 我們的公會是沒有通過的
[1026.42-1030.42] 但就是其實這個我相信有公金鵬這邊
[1030.42-1032.42] 還是持續在跟我們的公會溝通
[1032.42-1037.42] 他們也提出一些友善的方案出來
[1037.42-1041.42] 但是就是公會這邊還在持續跟他們進行一些寫商
[1041.42-1044.18] 那這邊我們是不方便過問什麼
[1044.18-1047.18] 因為畢竟管理階層這邊
[1047.18-1050.18] 也沒有什麼可以介入去主導他們的
[1050.18-1054.18] 我是覺得雙方應該要有更大的格局
[1054.18-1059.18] 然後比較長遠來看人力資本這件事情
[1059.18-1063.18] 我相信不管是對未來的紅金控
[1063.18-1065.18] 還是對我們金城洋的同仁
[1065.18-1068.18] 都是比較長遠來看
[1068.18-1071.18] 然後大家去看這件事情
[1071.42-1073.42] 應該是比較有幫助
[1073.42-1076.42] 我也期待他們可以溝通很順利
[1076.42-1078.42] 然後及早完成寫商
[1101.42-1103.42] 他是一個自帶的
[1103.42-1104.42] 自帶的
[1108.42-1109.42] 我補充一下
[1109.42-1111.42] 針對那個個案其實
[1111.42-1113.42] 我想比較
[1113.42-1115.42] 我們比較不擔心安全性
[1115.42-1116.42] 是因為這個案子
[1116.42-1119.42] 其實我們當初有做資產的信託
[1119.42-1122.42] 所以他的不動產是信託在我們銀行的下降
[1126.42-1129.42] 想問一下除了剛講華映可以回收之外
[1129.42-1131.42] 還有其他個案嗎
[1131.42-1133.42] 有機會回收的嗎
[1133.42-1134.42] 金額還會不會少
[1137.42-1139.42] 這點就像我剛說明的
[1139.42-1141.42] 我們這些年的一些
[1141.42-1142.42] 不管大大小小的貸帳
[1142.42-1144.42] 我們都還是積極的在處分
[1144.42-1146.42] 不會因為合併這個因素
[1146.42-1152.42] 有任何的特別改變我們的一些方向跟政策
[1152.42-1155.42] 具體到底什麼時點會回收多少
[1155.42-1156.42] 目前真的還不能確定
[1191.42-1203.42] 不知道各位還有沒有什麼其他的問題想指教
[1203.42-1205.42] 可以啊
[1205.42-1211.42] 請問一下總經理
[1211.42-1214.42] 剛剛您有回答另外一位法人的提問
[1214.42-1215.42] 就是關於法律政策
[1215.42-1218.42] 那您有提到說今年因為有合併
[1218.42-1220.42] 所以考量因素要比較多
[1220.42-1222.42] 那這是不是表示說
[1222.42-1229.42] 鼓勵的配搭率是有可能是沒有辦法像去年一樣
[1229.42-1231.42] 這個也存在可能性的
[1231.42-1232.42] 是這樣嗎
[1232.42-1233.42] 謝謝
[1235.42-1239.42] 這件事情我不好意思現在可以回答
[1239.42-1241.42] 因為畢竟這是董事會的權限
[1241.42-1247.42] 但是我相信董事會會整個通盤的考量
[1247.42-1249.42] 這個畢竟
[1249.42-1252.42] 牽涉到很多股東
[1252.42-1256.42] 他這一次股權轉換的一些實質受益
[1256.42-1258.42] 所以我們得要幫他考慮進去
[1258.42-1271.42] 那我想請問一下
[1271.42-1275.42] 就是因為你說會考量到那個轉換
[1275.42-1277.42] 所以鼓勵就是出爐的那個斗勝的那個轉換
[1277.42-1278.42] 就是因為你說會考量到那個轉換
[1278.42-1279.42] 就是因為你說會考量到那個轉換
[1279.42-1280.42] 所以你所講就是
[1280.42-1281.42] 你會收入的那個
[1281.42-1282.42] 津社會討論到什麼
[1282.42-1285.42] 這個時間也會比往年還要晚對不對
[1285.42-1286.42] 因為你們現在還沒有送件
[1286.42-1287.42] 是同意
[1287.42-1289.42] 因為我們今年股東會有會比較穩一點
[1289.42-1292.42] 股東常會我們會到六月底才會照看
[1292.42-1293.42] 六月底
[1293.42-1294.42] 好的
[1294.42-1301.42] 那再問一個就是你們合併是雙方都要送件
[1301.42-1303.42] 那你們預計什麼時候送件
[1303.42-1305.42] 因為如果是合一合併的話
[1305.42-1307.42] 像台新星跟星光集
[1307.42-1309.42] 他們是兩方都要送件
[1309.42-1311.42] 所以你們這邊也是要送件才對
[1315.42-1319.42] 是 所以送件的時間我們會跟永豐那邊協調
[1324.42-1326.42] 那再問一個就是
[1326.42-1329.42] 因為永豐他們併購只有金城銀而已
[1329.42-1333.42] 他們說證券跟租賃不是他們想要併購的標的
[1333.42-1338.42] 那你們證券跟租賃的清算還有處分
[1338.42-1344.42] 或者是大概是後續要怎麼樣處理
[1347.42-1351.42] 我想兩家子公司的部分
[1351.42-1354.42] 還有我們一家孫公司就是建金
[1354.42-1360.42] 目前的想法就是如果能夠把它處分拍賣掉
[1360.42-1362.42] 就是一一走這樣的路線
[1362.42-1363.42] 那我想
[1363.42-1369.42] 現在其實大概也有多數人在來看我們這兩家子公司
[1369.42-1372.42] 那這個是目前的想法
[1372.42-1374.42] 如果能處分掉就處分掉
[1374.42-1379.42] 那至於說有沒有這個
[1379.42-1381.42] 這個能夠什麼時間點可以處分掉
[1381.42-1383.42] 這個我比較沒有辦法把握
[1383.42-1386.42] 但是原則上我們會儘快
[1386.42-1388.42] 如果在股權轉換日之前能夠處理
[1388.42-1390.42] 我們就把它表售掉
[1423.42-1425.42] 我們正在複印
[1434.42-1441.42] 裡面有個話operator
[1441.42-1452.42] 他放在下一ョ
