[0.00-11.70] 各位投资先进大家晚安
[203.88-206.28] 一般来讲我们统称为器材
[206.28-207.68] 那目前营运的
[207.68-211.44] 据点有在台南的话有台南总公司
[211.44-217.62] 那台北的话有行政管理还有国务集合在台北
[217.62-226.30] 那扬眉厂的话还是我们目前的整个生产制造的主力
[226.30-229.20] 那台南厂的话算是一个新的厂
[229.20-231.86] 那慢慢的也开始
[231.86-236.68] 尤其今年开始也陆陆续续有接到一些
[236.68-237.66] 还算
[237.68-238.70] 不错
[238.70-241.00] 还算是比较大的单子
[241.00-241.78] 所以
[241.78-245.36] 所以是目前我们的
[245.36-247.40] 乐视整个
[247.40-251.76] 那营造我们有一个子公司营造也是在台南
[251.76-256.88] 总部这边在台南总部这边
[256.88-260.72] 那这个跟大家
[260.72-266.60] 再稍微把他break down就是说我们电力的电机事业群的话
[267.68-273.62] 再大家都那个配电盘的话那他这个就当成是一个
[273.62-274.44] 好
[274.44-274.68] 他们正在 taka
[274.68-274.84] 两排不是 line
[274.84-275.84] tender 是 simply 在这个腾讯
[275.84-277.96] 那么我们已经在专门把这个网络专属一下
[277.96-278.44] 接住了
[278.44-281.22] 通过 Repair 我们会在市场上才得到这台 В
[281.22-281.60] 那大家好好跳跳 Restore
[281.60-286.08] 再 Jeremy resilient
[287.86-288.68] 四uição l picture
[288.68-296.60] i love  provisions
[296.60-296.76] iodian
[296.76-296.82] things
[296.82-297.48] pics
[297.48-297.66] c
[297.68-303.44] 前年就大概这两三年的一个算是出货的
[303.44-306.12] 营收的主要的贡献的一个产品
[306.44-308.24] 那再来是GIS
[308.48-310.08] 那GIS以往
[311.34-312.04] 比较少
[312.24-314.12] 那因为GIS的话
[314.58-318.84] 在整个台电强韧电网的计划里面
[319.18-322.24] 这个部分因为有一些GIS在
[322.68-323.48] 这个算是
[323.88-325.92] 如果就台电来讲算是
[325.92-327.44] 旧设备的这个
[327.68-329.44] 要汰换掉
[329.44-330.82] 旧设备的汰换
[330.82-333.84] 这部分会应该是在未来
[333.84-335.18] 未来算是
[335.58-338.62] 在配电盘跟变压器以外
[338.62-339.84] 我们会
[340.18-342.14] 算是会比较有
[342.48-344.78] 跟以往的订单会比较不一样的
[344.78-346.82] 这个一个产品
[347.12-349.48] 那在电供器材这个我们是算是
[349.78-351.38] 一直以来
[351.38-354.64] 都是有比压器比流器串联电抗器
[354.64-355.44] 这个就是
[355.68-356.82] 一直以来都有做
[356.82-357.34] 只是说
[357.34-357.64] 总
[357.68-358.68] 这个是一个
[358.68-360.18] 标案的单子
[360.18-362.44] 是金额比较少
[362.44-364.74] 大概都在差不多
[364.74-367.38] 每一个标案大概在5000万以内
[367.38-368.64] 5000万以内
[369.44-372.62] 那再来电力系统的维修
[372.62-374.82] 这个如果跟前面几个
[374.82-377.42] 这个项目来比的话
[377.42-379.22] 它的部分这个可能
[379.22-381.78] 它的这个所谓一般的接单的
[381.98-385.22] 订单的金额又更少
[385.22-387.12] 订单的金额又更少
[387.12-387.58] 那我们
[387.58-388.84] 太阳能的部分
[388.84-392.64] 我们主要是以子公司
[392.64-396.34] 子公司来ON这个太阳能电厂
[396.34-399.44] 那一般也就是说所谓外界的
[399.44-401.72] 他们通常会就是说
[401.72-405.68] 用STV就是会以公司
[405.68-409.58] 以公司为来ON这些电厂
[409.58-410.88] 那如果说有一些
[410.88-412.54] 因为坊间也有蛮多
[413.02-417.24] 一些公司或者是他会把他的太阳能
[417.24-418.34] 电厂把它
[418.60-422.24] 做一个就卖给人家或者处分掉了
[422.24-424.64] 所以他们的设计就会以这个
[425.04-427.40] 公司的形态就整个把公司
[427.40-428.84] 就是把股权卖掉
[429.14-431.30] 所以一般来讲
[431.30-433.88] 通常外面现在市面上也都是
[434.04-436.48] 用这样子的方式在在在
[436.48-437.70] 在设计在
[438.14-439.88] 在做业务的一个进行
[440.40-444.18] 那再来是EPC的部分就是我们曾
[444.60-446.38] 我们帮人家盖
[446.38-447.24] 帮人家盖
[447.24-448.44] 那这样在
[449.74-452.94] 大概106年那时候
[453.40-457.80] 开始我们也有跟这个帮中租
[457.80-461.64] 中租好像就是中租除了做助力以外
[461.64-464.48] 他们也投资蛮多太阳能电厂
[464.48-467.64] 那你一般来讲的话
[467.64-470.70] 就是说目前如果以太阳能
[470.80-473.94] 所拥有最多的装饰容量就是发电量
[474.04-475.84] 最多的就是中租
[476.54-477.20] 那再来就是
[477.24-478.04] 微运的部分
[478.04-479.64] 那因为太阳能这个部分
[479.64-481.04] 它有一个特性就是说
[481.04-485.74] 当初这个太阳能厂条说是某一家厂商盖的
[485.74-487.44] 那通常它的这个
[487.44-489.14] 所谓的
[489.14-491.24] 后续的这个维护
[491.24-494.24] 整个一个那个运作的维持
[494.24-497.74] 都会还是由原来的那个厂商来承接
[497.74-500.04] 因为它毕竟它是比较熟悉
[500.04-502.44] 那再来的话
[502.44-503.84] 刚刚有跟各位说
[503.84-507.24] 报告到就是我们在营造的工程业务人员
[507.24-508.04] 我们的部分
[508.04-512.64] 我们有一家这个万选营造这个部分
[512.64-515.64] 它就承担一些不管是
[515.64-520.14] 公家单位或者是一些民营企业的一些案子
[520.14-523.84] 像在2月底它就有
[523.84-528.04] 标到在恒春的一个社会宅的一个案子
[528.04-529.84] 那这个部分
[529.84-532.44] 它有一部分的话
[532.44-535.94] 就会是我们属于积电的部分
[535.94-536.54] 这个作为
[536.54-539.34] 这个对母公司来讲也会有一些贡献
[543.34-544.14] 那再来的话
[544.14-549.24] 就是我们太阳能电厂目前的一个概况
[549.24-551.84] 各位可以看到一个total这个部分
[551.84-554.14] 就是大概40点
[554.14-555.24] 大概就是一般
[555.24-556.34] 如果45日的话
[556.34-559.14] 就是41M
[559.14-562.64] 那有在这个
[562.64-566.34] 在最左边这个Sale to TPC
[566.34-569.34] 就是说我目前有在
[569.34-571.34] 售电就已经在
[571.34-574.34] 有点类似像人家所谓的商转
[574.34-575.34] 的概念
[575.34-580.14] 就是说我已经有在卖电给台电的部分
[580.14-582.84] 大概有将近36M
[582.84-585.94] 36M的话
[585.94-588.84] 坊间一般有的会用1M的
[588.84-591.74] 一年的贡献大概是500万
[591.74-595.14] 所以如果36M再乘以500万的话
[595.14-596.24] 一年的贡献大概是
[596.34-598.54] 至少就会有1亿8千万
[598.54-603.14] 那这个等一下跟下一个slide的话
[603.14-605.94] 也可以看到我们这个售电的这个
[605.94-608.54] 一年售电的一个金额
[608.54-610.34] 那就跟这个是相当
[610.34-613.54] 那目前我们还在还没有完整
[613.54-614.94] 在建制中的有
[614.94-617.94] 就是第二个这个身心能源的这个部分
[617.94-623.14] 是大概有3744千瓦
[623.14-624.84] 大概就是所谓的一般
[624.84-626.24] 我这个第
[626.34-628.34] 下面这个
[628.34-630.34] Portal的这个没有update到的
[630.34-635.34] 就有大概3.7
[635.34-638.34] 3.7将近还不到4M
[638.34-642.34] 如果所以整个如果在今年完成的话
[642.34-645.34] 我们是希望看能不能在第三季
[645.34-647.34] 把中间的这个
[647.34-649.34] 在建的这个部分把它完成
[649.34-651.34] 如果整个完成的话
[651.34-653.34] 我们就有将近41M
[653.34-655.34] 那41M的话就
[656.34-659.34] 我们明年来看或者是明年
[659.34-660.34] 应该是明年的
[660.34-662.94] 整个年度的贡献的话
[662.94-666.34] 就在售电收入就可以有将
[666.34-670.34] 就可以站稳大概2亿的一个
[670.34-674.34] 所谓的应该算是固定的
[674.34-677.34] 稳定的营收稳定的营收
[677.34-678.34] 那这一块的话
[678.34-681.34] 因为它也有一个固定的毛利
[681.34-683.34] 大概都将近它的毛利
[683.34-686.34] 大概都应该有30到40%
[686.34-689.34] 因为要看每一个案子
[689.34-692.34] 它的设备的这个折旧的摊体
[692.34-695.34] 还有维护的状况
[695.34-699.34] 所以我们都大概抓大概30%到40%
[699.34-701.34] 算是以制造业来讲的话
[701.34-704.34] 算是还不错的
[704.34-709.34] 这个一个营收还有毛利的一个贡献
[714.34-716.34] 那这一张的话就可以
[716.34-719.34] 比较清楚的跟让各位看到说
[719.34-721.34] 我们整个乐视整个
[721.34-724.34] 合并营收的一个来源
[724.34-727.34] 那销货收入的话
[727.34-732.34] 主要还是台电
[732.34-734.34] 因为我们台电的话
[734.34-736.34] 这个大部分还是台电的
[736.34-740.34] 这个卖给台电比较多
[740.34-742.34] 那售电的话
[742.34-745.34] 113年的售电有1亿8700
[746.34-747.34] 67万
[747.34-749.34] 那跟刚刚我说的这个
[749.34-755.34] 我们已经商转的大概将近36M
[755.34-757.34] 36M然后你把它乘500万
[757.34-759.34] 大概就是跟这个数
[759.34-763.34] 跟这个1亿8700多万的营收就相当
[763.34-768.34] 那在第一个销货收入跟售电收入
[768.34-772.34] 这个大概应该90%以上都是
[772.34-774.34] 算是我的这个
[774.34-776.34] 算是现金的
[776.34-778.34] 我们销货的对象都是台电
[778.34-782.34] 所以台电在我们乐视整个
[782.34-784.34] 合并营收里面
[784.34-789.34] 可以你看这个两个加起来有大概70几%
[789.34-793.34] 所以台电算是我乐视的一个
[793.34-796.34] Key Account算是大客户
[796.34-799.34] 那再来工程收入的话
[799.34-801.34] 工程收入的话
[801.34-804.34] 这一块大概大部分就是以我们刚刚之前
[804.34-806.34] 报告过的万全
[806.34-809.34] 营造这一部分它带进来的收入
[809.34-812.34] 那少部分再下来大概500多万
[812.34-814.34] 这个算是比较
[814.34-819.34] 比较占的这个金额比重也算是比较少
[819.34-821.34] 所以在去年我们的合并营收
[821.34-825.34] 大概有将近7亿
[825.34-829.34] 那跟112年相较的话
[829.34-833.34] 各位可以看得到我们的售电是成长的
[833.34-835.34] 营收也是成长的
[835.34-838.34] 那最主要差异是在销货这一块
[838.34-841.34] 销货这一块的话大概有差了
[841.34-844.34] 大概将近差不多八九
[844.34-845.34] 大概八千万
[845.34-847.34] 将近八千万
[847.34-850.34] 那这一部分就是最主要还是
[850.34-855.34] 因为在台电的交货的部分的影响
[855.34-859.34] 那因为台电它我们对台电的交货
[859.34-865.34] 是比较不像一般有的公司它是会说
[865.34-869.34] 我东西好了以后我就一直把货拉出去
[869.34-871.34] 那我们对台电的交货
[871.34-875.34] 因为我们这些东西对算是比较大型的东西
[875.34-879.34] 那台电相对它也要有存放的地方
[879.34-886.34] 然后他们那边也是要进行一些货
[886.34-888.34] 再拉出去再做一些
[888.34-895.34] 他们这些东西最主要是跟一些像基础建设的这个
[895.34-897.34] 这个进度有关系
[897.34-899.34] 比如说假如说有一些
[899.34-903.34] 重化区啦或者新的这个工业区啦
[903.34-907.34] 那有一些电力的这个所谓建制啦
[907.34-910.34] 这个都需要用到我们交给它的东西
[910.34-913.34] 所以这个也会就会跟一些公共
[913.34-917.34] 我们所谓公共建设的一些进度相关
[917.34-920.34] 所以这个就会影响我们
[920.34-924.34] 对台电交货的这个进度
[924.34-925.34] 那anyway
[925.34-930.34] 不管是在去年啦或者是在今年
[930.34-933.34] 反正这个在合约的期间
[933.34-936.34] 我们就是可以一定要把我们这个
[936.34-939.34] 跟台电拿到标案的合约
[939.34-943.34] 把这个合约的这个量在规定的这个期间
[943.34-946.34] 除非说台电一些交货的delay
[946.34-949.34] 是因为台电他们的因素
[949.34-954.34] 那这个部分有一些可能就会需要所谓的展延
[954.34-956.34] 比如说把这个交期再拉长
[956.34-959.34] 这个部分是这样子的
[963.34-964.34] 那再来的话
[964.34-969.34] 这个是我们的一个资产负债表啦
[969.34-972.34] 那跟刚刚跟各位再报告一下
[972.34-973.34] 就是说在营收
[973.34-977.34] 因为我这边没有做一个损益表的那一个部分
[977.34-982.34] 那损益表我们各位可以如果可以可以再
[982.34-983.34] 如果有了的话
[983.34-986.34] 如果有可以再参考一下
[986.34-988.34] 我们对中泰资讯观测
[988.34-990.34] 到底怎么看我们的损益表
[990.34-994.34] 基本上我们的毛利这两年
[994.34-997.34] 像在113年是19%
[997.34-1000.34] 那112年是21%
[1000.34-1010.34] 所以大概差不多平均毛利会在20%左右
[1013.34-1015.34] 那再来的话
[1015.34-1020.34] 这个是我们的一个在资产负债表两个年度的一个比较
[1020.34-1022.34] 两个年度的一个比较
[1022.34-1029.34] 那各位可以看到我们的这个流动负债
[1029.34-1031.34] 流动负债的部分
[1031.34-1037.34] 流动负债的部分是大概5亿9500万
[1037.34-1040.34] 就比这个我们在去年
[1040.34-1042.34] 在去年的这个
[1042.34-1046.34] 我们的这个4亿
[1046.34-1050.34] 大概多了大概差不多1亿9000万
[1050.34-1053.34] 那这个部分最主要是
[1053.34-1058.34] 因为台电的这个交货的关系
[1058.34-1059.34] 交货比较慢
[1059.34-1064.34] 那交货比较慢就会造成我的这个收款
[1064.34-1065.34] 我的收款
[1065.34-1069.34] 那收款的问题比较慢
[1069.34-1072.34] 那因为收款比较慢
[1072.34-1074.34] 因为我的这个所谓购料啊
[1074.34-1078.34] 还是需要持续的在跟供应商这个购料嘛
[1078.34-1083.34] 所以就会造成说我在银行的借款这边
[1083.34-1086.34] 我就需要动用到我的这个借
[1086.34-1088.34] 就是购料的收转金的部分
[1088.34-1091.34] 所以在流动负债的部分
[1091.34-1094.34] 因为有一些银行会打电话来问
[1094.34-1101.34] 所以在这边也跟各位做一下这个补充的部分
[1102.34-1109.34] 那再来的话就是说
[1109.34-1113.34] 我们大概可能这几年
[1113.34-1118.34] 我们因为整个强能电网它划的一个期间
[1118.34-1120.34] 算是蛮长的
[1120.34-1123.34] 那在我也注意到有一些
[1123.34-1127.34] 媒体新闻上面会写说
[1127.34-1132.34] 这个因为一些强能电网的关系啊
[1132.34-1137.34] 我们的同业它手头上已经拿到多少的单子啊
[1137.34-1140.34] 这个我想相对的
[1140.34-1143.34] 我们跟几个同业来讲的话
[1143.34-1148.34] 他们也是他们是算是他们的产品项目比较多啦
[1148.34-1154.34] 所以我们也很积极的在做一些新的
[1154.34-1158.34] 这个新的彩规还有产品的认证
[1158.34-1162.34] 像刚刚跟各位报告提到的
[1162.34-1165.34] 这个所谓的GIS
[1165.34-1169.34] 或者是变压器新的一些规格的
[1169.34-1172.34] 这个都我们都有积极的在进行
[1172.34-1176.34] 所以我们因为在跟台电往来的话
[1176.34-1179.34] 就只要说
[1179.34-1183.34] 有通过认证的话
[1183.34-1189.34] 那基本上台电它所出来的标案的话
[1189.34-1192.34] 这些同业基本上都可以拿到单子
[1192.34-1193.34] 来做
[1193.34-1196.34] 因为这个可能也是算是
[1196.34-1200.34] 国内福祉产业的一个政策啦
[1200.34-1204.34] 那因为这几年的战争打下来
[1204.34-1208.34] 大家就会意识到说电力
[1208.34-1212.34] 电力是一个算是什么战略的一个
[1212.34-1215.34] 蛮重要的一个资源
[1215.34-1221.34] 那而且这几年的台商回来以后
[1222.34-1226.34] 尤其像我们可能看到媒体上在讲
[1226.34-1228.34] 这个台积电要在哪里设厂
[1228.34-1233.34] 你每设一个厂它需要的这个电力
[1233.34-1238.34] 这个都是需要做一些基础建设的这个扩建
[1238.34-1243.34] 所以就这个强振电网的话
[1243.34-1246.34] 一方面是为了因应新的这个
[1246.34-1252.34] 像一些重化区新的电力的部分
[1252.34-1259.34] 那另外一方面有一部分是所谓的太旧换新的需求
[1259.34-1264.34] 所以这几年这个重电这一块区域的话
[1264.34-1269.34] 大概就还都算是重电产业
[1269.34-1274.34] 这应该算是难得的一个好光景
[1274.34-1281.34] 那因应这些像这些新的一些商机
[1281.34-1289.34] 所以我们也在积极的提高我们的这个生产的产能跟品质
[1289.34-1295.34] 所以为什么我们会有台南厂这个新的这个厂工厂
[1295.34-1301.34] 那我们这几年也是因为我在乐视也大概17年
[1301.34-1306.34] 这几年好像在这一两年
[1306.34-1311.34] 这个算是我们的员工也算是达到一个近期
[1311.34-1314.34] 的比较人数比较多的一个状态
[1314.34-1317.34] 这个都是在做整个产能的提升
[1317.34-1320.34] 那另外品质的话
[1320.34-1323.34] 因为你如果品质好的话
[1323.34-1328.34] 就也是又可以让我们的交货快一点
[1328.34-1330.34] 那除了这个以外
[1330.34-1334.34] 我们也是有在开发新的商机
[1334.34-1337.34] 像我们的算是有关
[1337.34-1340.34] 这算是有共同大股东的这个
[1340.34-1349.34] 关天钢铁他们在也在盖一个一个蛮大的一个储能的一个一个场域
[1349.34-1356.34] 那这个部分也有一部分的这个积电的部分也是可以让我们来做
[1356.34-1358.34] 那除了这个以外
[1358.34-1364.34] 我们的一些经营阶层也在积极的在开发新的客户了
[1364.34-1365.34] 这样子
[1365.34-1367.34] 再来的话
[1367.34-1370.34] 电力能源厂商机的这一块
[1370.34-1377.34] 我们倒是还比较放在比较歧视的这个顺序
[1377.34-1385.34] 因为这最近从同业或者是银行这边的一个来的讯息
[1385.34-1388.34] 就是说在太阳能这一块
[1388.34-1391.34] 还有包括甚至除能这一块
[1391.34-1394.34] 整个市况好像不是那么样的
[1394.34-1397.34] 像前几年那么样的热络
[1397.34-1400.34] 那因为可能之前
[1400.34-1403.34] 有几个太阳能尤其像台阳绿能
[1403.34-1405.34] 也出过一些所谓的弊案
[1405.34-1407.34] 这个也是一个因素
[1407.34-1411.34] 然后再加上整个
[1411.34-1414.34] 尤其现在川普上来以后
[1414.34-1416.34] 因为有些银行也在聊
[1416.34-1419.34] 川普上来他好像你看他有一些新闻的时候
[1419.34-1422.34] 他觉得像那个什么风力发电
[1422.34-1424.34] 离岸的风力发电
[1424.34-1426.34] 他就认为那个是热色
[1426.34-1429.34] 可是这个会当然会对整个绿能
[1429.34-1433.34] 或者是造成一些所谓的杂音
[1433.34-1439.34] 可能会影响短期的一个所谓的发展
[1439.34-1441.34] 那毕竟因为有一些
[1441.34-1443.34] 如果我们以典型来讲
[1443.34-1445.34] 像台汽电它对一些客户
[1445.34-1447.34] 它要求绿能
[1447.34-1451.34] 所以整个就
[1451.34-1454.34] 这个就是说我们一般企业的
[1454.34-1457.34] 跟客户往来是需要的
[1457.34-1459.34] 长期来讲是需要的
[1459.34-1463.34] 那就整个我们的所谓的
[1463.34-1465.34] 地球环境的永续的话
[1465.34-1467.34] 这个也是一定会走的
[1467.34-1469.34] 只是说这个短期
[1469.34-1476.34] 算是一个短期的影响而已
[1476.34-1478.34] 短期的影响
[1482.34-1485.34] 那也因为这个因素
[1485.34-1487.34] 像我们刚刚有一些太阳能人
[1487.34-1489.34] 我们大概有十几个人
[1489.34-1491.34] 三点七还没有完成
[1491.34-1495.34] 所以我们目前如果对太阳能的投资
[1495.34-1497.34] 自己ON的话
[1497.34-1500.34] 我们大概可能就把手头上的把它完成
[1500.34-1505.34] 也不会说很积极的再去找新的案子
[1505.34-1509.34] 因为这个部分我们是觉得ON太阳能场
[1509.34-1514.34] 这个好像也没什么样的技术的含量
[1514.34-1517.34] 大概因为你就是你的资金投入
[1517.34-1519.34] 大概应该就会有了
[1519.34-1522.34] 还有包括刚刚我讲的这个
[1522.34-1525.34] 应该算是政策因素
[1525.34-1528.34] 所以政策因素真的就蛮重要
[1528.34-1532.34] 因为现在国内对这个政策的
[1532.34-1539.34] 绿能的这个政策好像也没有很积极的在push
[1539.34-1543.34] 所以我们对太阳能案场的这一部分的投入
[1543.34-1546.34] 大概就是把现有的把它完成
[1546.34-1549.34] 然后把现有的这个太阳能场把它
[1549.34-1551.34] 微运的好一点
[1551.34-1555.34] 这样子就目前是我们对绿能这一块的一个
[1555.34-1561.34] 大概是目前的算是一种政策
[1561.34-1564.34] 那再来跟大型投资商
[1564.34-1570.34] 目前这个可能也是跟刚刚上面我讲的是一样的
[1570.34-1575.34] 所以这个在绿能这一块的话
[1575.34-1579.34] 最主要就是我刚刚也跟各位简单做了一个
[1579.34-1584.34] 说明大概也是我们目前算是维持现状
[1584.34-1586.34] 有一点算是维持现状
[1586.34-1588.34] 如果以结论来讲的话
[1588.34-1596.34] 那以上就是我今天法人说明会的一个报告
[1596.34-1607.34] 那不晓得各位线上的朋友是不是有什么问题
[1607.34-1608.34] 可以
[1609.34-1611.34] 那欢迎你指教
[1611.34-1613.34] 谢谢非常感谢财务长
[1613.34-1615.34] 那线上也会先进
[1615.34-1617.34] 现在进入q&a交流
[1617.34-1619.34] 如果有任何问题的话都欢迎自行接触
[1619.34-1622.34] 进行提问或是将你的问题打在聊天视窗
[1622.34-1623.34] 谢谢
[1636.34-1637.34] 那如果没有问题的话
[1637.34-1640.34] 我们今天的是绿能的线上法案说明会
[1640.34-1641.34] 就到这边告一个段落
[1641.34-1643.34] 那再次感谢财务长
[1643.34-1644.34] 谢谢各位也会先进
[1644.34-1646.34] 谢谢大家
[1646.34-1648.34] 好谢谢谢谢大家
[1648.34-1650.34] 谢谢
