[0.00-1.40] 各位來賓大家好
[167.00-172.00] 在合并营收方面6576亿年成长13%
[172.00-177.54] 从2019到2024我们的营收年均复合成长率为8%
[177.54-182.72] 合并的营业毛利2151亿同比成长15%
[182.72-188.00] 在2019到2024的毛利年均复合成长率约7%
[188.00-191.50] 2024年我们的毛利率是32.7%
[191.50-193.86] 同比上升0.39个百分点
[193.86-195.98] 包括统一企业统一中控
[195.98-198.66] 还有统一实业的毛利率同比都上升
[198.66-201.22] 合并营业利益338亿
[201.22-205.02] 2024年我们的合并营收保持稳定的增长
[205.02-206.28] 带动毛利增加
[206.28-209.30] 而且毛利的涨幅是超过费用的增幅
[209.30-212.72] 所以进而带动我们全年的合并营业利益的
[212.72-215.26] 同比成长达18个%
[215.26-219.38] 另外合并营业外收入同比减少116亿
[219.38-223.78] 主要是因为2023年有两个比较重大的一次性的收益
[223.78-227.56] 包括第一个是集团在2023年6月30号
[227.56-228.92] 购入家福的股权
[228.92-230.58] 认业重衡良利益
[230.58-232.72] 第二个是2023年统一中控
[236.28-241.78] 在2024年我们归属于母公司净利为206.7亿
[241.78-243.92] 同比增加12.7%
[243.92-246.56] EPS为3.64元
[246.56-249.24] 同比增加0.41元
[249.24-252.86] 董事会已经提案通过美股现金鼓励三元
[252.86-255.16] 待股东会决议
[255.16-258.82] 下一页我们来看到从部门别的营收
[258.82-261.36] 在集团的四大事业体当中
[261.36-265.84] 2024年的营收同比增长率达双位数的
[265.84-266.26] 包括营收的4大事业体当中
[266.28-269.00] 有便利商店及流通事业部门
[269.00-271.34] YOYL成长19%
[271.34-273.32] 包括台湾的统一超商
[273.32-274.68] 菲律宾的7-11
[274.68-276.50] 以及统一生活等
[276.50-277.60] 持续展店
[277.60-279.54] 并且依据不同的场景
[279.54-281.22] 推出多元行销活动
[281.22-283.20] 带动PSD成长
[283.20-286.38] 另外家福体系并入集团的合并基准日
[286.38-288.36] 是2023年的6月30号
[288.36-290.44] 所以在2023年家福这一块
[290.44-292.16] 只有认业下半年的营收
[292.16-295.14] 第二个成长双位数的是
[295.14-296.26] 我们的包装农期
[296.28-297.06] 四大事业部门
[297.06-299.24] 合并营收年增40%
[299.24-300.76] 主要是统一实业
[300.76-303.02] 受益于铁产品的订单回农
[303.02-305.16] 叠加饮料充填业务
[305.16-306.36] 保持稳定增长
[306.36-307.94] 另外也可以看到
[307.94-309.80] 我们的食品及食粮部门
[309.80-311.92] 营收成长4%
[311.92-314.16] 主要是统一中控饮料业务
[314.16-316.82] 保持稳定增长的趋势
[316.82-317.76] 再到下一页
[317.76-320.24] 我们从部门别的营业利益来看
[320.24-322.28] 在四大事业体当中
[322.28-324.10] 营业利益在2024年
[324.10-326.00] 同比成长率达双位数的
[326.00-326.26] 包括
[326.28-328.16] 食品及食粮部门
[328.16-330.86] 我们从这个橘色部分可以看到
[330.86-333.24] 它的营业占比在2023年
[333.24-334.20] 34%
[334.20-335.54] 在今年提升
[335.54-337.70] 2024年已经提升到40%
[337.70-339.54] 而且各项费用支出
[339.54-341.82] 符合我们的效益提升原则
[341.82-344.46] 进而提升公司的盈利能力
[344.46-347.20] 另外看到包装农期事业部门
[347.20-350.22] 营业利益同比增长99%
[350.22-352.56] 主要就是统一实业的
[352.56-354.08] 铁产品销量增长
[354.08-355.24] 带动获利
[355.24-356.26] 而且饮料的收入
[356.28-357.80] 充填业务稳定成长
[357.80-360.80] 另外在便利商店及流通事业部
[360.80-362.84] 营业利益同比增长4%
[362.84-365.08] 包括台湾的统一超商
[365.08-366.46] 菲律宾的7-11
[366.46-367.92] 还有统一生活等
[367.92-370.26] 展店带动营收毛利
[370.26-372.66] 还有营业利益同比增长
[372.66-375.16] 再到下一页
[375.16-377.28] 在资产负代表方面的话
[377.28-379.46] 2024年底合并的总资产
[379.46-380.84] 约7100亿
[380.84-383.00] 其中现金约当现金
[383.00-384.78] 还有我们的流动金融资产
[384.78-386.12] 共计1340亿
[386.28-388.80] 同比增加64亿
[388.80-391.64] 复习负债为1574亿
[391.64-393.20] 同比增加51亿
[393.20-395.24] 主要是统一企业统一超商
[395.24-396.40] 因应企业营运
[396.40-398.38] 及投资规划需求所致
[398.38-400.76] 另外可以看到我们的ROE
[400.76-402.46] 约当16%
[402.46-404.88] 连续两年保持正增长
[404.88-407.32] 下一页跟大家说明
[407.32-408.26] 现金流量表
[408.26-410.88] 2024年度来自营业活动的
[410.88-413.22] 净现金流入784亿
[413.22-415.80] 较去年同期增加53亿
[415.80-416.26] 同比增加64亿
[416.28-419.06] 投资活动现金流出约410亿
[419.06-420.90] 较2023年减少
[420.90-423.20] 是因为2023年购入家福股权
[423.20-425.94] 另外资本支出386亿
[425.94-427.10] 包括展店
[427.10-429.34] 还有大型物流中心的土地
[429.34-430.68] 及设备等支出
[430.68-433.76] 理财活动净现金流出约400亿
[433.76-436.24] 其中现金股利发放170亿
[436.24-439.88] 2024年底的现金为1004亿
[439.88-442.70] 接下来跟各位说明
[442.70-445.54] 从统一企业个体的角度
[445.54-446.26] 主要的货币的流出
[476.28-478.28] 是从2024年到2025年
[478.28-479.68] 最后跟各位说明我们的股利
[479.68-483.12] 公司保持稳定的现金股利配发
[483.12-487.12] 连续42年累积配发股利为85.3元
[487.12-490.18] 累积盈余分配率为102%
[490.18-493.14] 接下来跟各位说明
[493.14-495.84] 统一中控2024年的营运表现
[495.84-498.94] 统一中控在2024年
[498.94-501.24] 营收及获利都创历史新高
[501.24-504.42] 营收为人民币303亿元
[504.42-506.02] 卖入新的里程碑
[506.02-506.26] 统一中控在2024年
[506.28-509.58] 全年的营收同比增长6.1%
[509.58-512.14] 营业毛利也突破历史高点
[512.14-514.12] 达98.7亿元
[514.12-516.26] 增长13.3%
[516.26-518.24] 毛利率上升2个百分点
[518.24-520.62] 主要是因为部分原物料价格
[520.62-521.60] 同比回落
[521.60-523.12] 产能利用率提升
[523.12-524.88] 还有产品结构优化
[524.88-528.40] 营业利益同比成长12.4%
[528.40-531.96] 全年的营业费用率约25.9%
[531.96-534.46] 比去年略增0.2%
[534.46-536.26] 主要是销售及市场费用率
[536.28-537.50] 市场推广开支增加
[537.50-539.62] 持续投入品牌建设
[539.62-543.46] 及通路资产冰箱冰柜择旧增加所导致的
[543.46-545.22] 在2024年
[545.22-548.22] 净利为人民币18.49亿元
[548.22-550.46] 同比成长10.9%
[550.46-552.96] 如果我们还原2023年
[552.96-555.00] 处分合肥的一次性收益
[555.00-556.50] 统一中控税后净利
[556.50-559.20] 同比增长达31.8%
[559.20-562.26] 核心净利润率提升1.2%
[562.26-564.92] EPS为42.81分
[564.92-566.12] 董事会建议
[566.12-569.94] 2024年现金股息为每股42.81分
[569.94-571.44] 待股东会决议
[571.44-575.88] 接下来看到我们部门别人的营运表现
[575.88-578.46] 在蓝色的部分是我们的食品
[578.46-582.84] 2024年食品营收为99.98亿元
[582.84-584.92] 占营收33%
[584.92-587.10] YOY 1.5%的成长
[587.10-588.46] 其中且黄
[588.46-590.60] 2020到2024年
[590.60-594.88] 营收的年均复合成长率是超过100%
[594.88-596.10] 满汉大餐厅的营收率是超过100%
[596.12-598.04] 我们聚焦葱烧牛肉口味
[598.04-600.34] 2024年也有双位数的成长
[600.34-603.14] 老坛酸菜牛肉面持续提升
[603.14-607.68] 透过高市能的媒体投放来提升品牌周成度
[607.68-610.78] 2024年营收也有高单位数增长
[610.78-614.74] 食品部门的税前净利为2.7亿元
[614.74-616.94] 同比增加250%
[616.94-618.80] 净利率2.7%
[618.80-620.68] 是近四年来的最高
[620.68-622.90] 在橘色方面的部分的话
[622.90-624.90] 是饮料的部分
[626.12-630.46] 2024年饮料的营收为192.4亿元
[630.46-633.22] 饮料部门税前净利23亿
[633.22-635.74] 同比增加21.6%
[635.74-637.62] 净利率12.2%
[637.62-639.44] 是近三年来的最高
[639.44-640.92] 再到下一页
[640.92-643.58] 针对饮品来做进一步的说明
[643.58-647.14] 绿色的部分是茶饮85.7亿
[647.14-649.26] 占饮料的营收45%
[649.26-651.28] 年营收成长13%
[651.28-653.24] 包括我们的统一绿茶
[653.24-655.84] 以低糖无糖的双产品线布局
[655.84-656.10] 在这一段时间
[656.12-657.32] 统一冰红茶
[657.32-659.22] 推动产品升级的优化
[659.22-660.80] 统一青梅绿茶
[660.80-662.82] 凸显产品差异化竞争力
[662.82-665.14] 皆有双位数营收成长
[665.14-667.66] 双翠则聚焦重点城市
[667.66-668.64] 深耕经营
[668.64-670.26] 强化品牌定位
[670.26-673.06] 建构长期可持续发展的品牌力
[673.06-676.06] 再看到橘色的部分是奶茶
[676.06-678.50] 2024年营收有64亿
[678.50-680.80] 占整个饮料的营收33%
[680.80-682.48] 统一阿萨姆奶茶
[682.48-684.56] 持续扩大产品饮用场景
[684.56-686.10] 在下层城市取得成本
[686.12-689.56] 第四季并且开始布局无糖赛道
[689.56-691.62] 另外因应市场的趋势
[691.62-693.12] 也推出西地奶茶
[693.12-695.06] 收益保持稳步增长
[695.06-697.66] 蓝色的果汁是36亿
[697.66-700.34] 年成长约6%
[700.34-702.30] 包括冰糖雪梨海之岩
[702.30-704.08] 都有双位数的成长
[704.08-706.04] 再到下一页资产负债表
[706.04-709.66] 2024年底总资产人民币233亿
[709.66-712.32] 现金及月当现金102亿
[712.32-715.26] 不含租赁负债的借贷有2亿
[715.26-716.10] 比2024年底总资产人民币
[716.12-717.56] 去年还要减少
[717.56-719.56] 主要是因为短期营运资金
[719.56-721.74] 相对充足偿还银行借款
[721.74-725.50] 另外可以看到我们的ROE是13.8%
[725.50-727.22] 也是历史新高
[727.22-730.78] 接下来跟各位说明现金流量表
[730.78-733.74] 2024年营运活动产生的
[733.74-735.70] 净现金流入约44亿
[735.70-737.24] 同比增加13亿
[737.24-740.10] 投资活动净流出约20亿
[740.10-742.36] 其中资本支出约7亿
[742.36-744.28] 主要是持续投入冰冻化
[744.28-746.10] 融资活动流出约20亿
[746.12-750.24] 发放现金鼓励18.7亿元
[750.24-752.70] 是比2023年还要增加4亿
[752.70-755.24] 最后我们看到现金鼓励
[755.24-757.42] 统一中控已经连续7年
[757.42-759.72] 现金鼓励配发率在100%以上
[759.72-761.72] 我们从蓝色的趋势线
[761.72-763.80] 也可以看到鼓励配发的金额
[763.80-767.12] 也持续保持一个稳定成长的趋势
[767.12-771.00] 好的 谢谢
[771.00-773.48] 接下来我们请梁媛说明
[773.48-776.10] 统一实业2024全年度业绩
[776.12-778.12] 和平水印简表
[778.12-780.12] 统一实业2024年合并营收为
[780.12-782.12] 新台币448亿5900万元
[782.12-784.12] 较同期成长27.30%
[784.12-786.12] 那营收的增加来自于我们公司
[786.12-788.12] 主要的产品正向营运的结果
[788.12-790.12] 那我们现在就来看看
[790.12-792.12] 统一实业2024年合并水印简表
[792.12-794.12] 统一实业2024年合并营收为
[794.12-796.12] 新台币448亿5900万元
[796.12-798.12] 较同期成长27.30%
[798.12-800.12] 那营收的增加来自于我们公司
[800.12-802.12] 主要的产品正向营运的结果
[802.12-804.12] 统一实业2024年合并水印简表
[804.12-806.12] 统一实业2024年合并水印简表
[806.12-808.12] 统一实业2024年合并水印简表
[808.12-810.12] 那营收的增加来自于我们公司
[810.12-812.12] 主要的产品正向营运的结果
[812.12-814.12] 那营铁产品由去年的衰退
[814.12-816.12] 转为成长
[816.12-818.12] 那饮料包装则持续稳定的增长
[818.12-820.12] 两项产品能够共同推升整体的业绩
[820.12-822.12] 也使得营收创下新高
[822.12-824.12] 2024年合并毛利以及营业利益
[824.12-826.12] 分别为新台币54亿7400万元
[826.12-828.12] 传媒国家政策部
[828.12-830.12] 以及新台币22亿3000万元
[830.12-833.02] 111% 及112.11%
[833.02-835.40] 毛利及营业利益的成长
[835.40-836.82] 因为业务量的增加
[836.82-838.70] 产能利用率较高所致
[838.70-841.68] 本期净利归属于母公司为
[841.68-844.08] 新台币15亿3200万元
[844.08-847.24] 较同期成长125.02%
[847.24-849.90] 整体可以看到我们2024年的营运
[849.90-851.40] 营收创新高
[851.40-853.78] 获利也较同期显著的成长
[853.78-855.32] 下一页
[855.32-857.94] 再来报告部门营收
[857.94-860.60] 分别从本公司两个主要产品别
[860.60-861.74] 来看营收的表现
[861.74-866.42] 首先铁产品的营收成长43.38%
[866.42-868.08] 主要是我们的铁产品
[868.08-869.80] 摆脱同期的低迷
[869.80-871.92] 销量回升所致
[871.92-873.88] 另外营销包装除了
[873.88-875.16] 集团稳定的订单外
[875.16-877.20] 外部客户的订单也有成长
[877.20-879.08] 整体的营运保持稳定
[879.08-881.52] 营收成长12.84%
[881.52-882.50] 下一页
[882.50-885.28] 接着报告产品的销量
[885.28-887.66] 我们一样分两个产品别
[887.66-887.92] 来看营收的表现
[887.94-890.12] 先看2024年铁产品的销量
[890.12-892.76] 较同期成长50.58%
[892.76-894.86] 主要得益于客户的库存
[894.86-896.74] 恢复至这场的水位
[896.74-899.36] 以及市场的需求回温的情形下
[899.36-901.56] 带动整个销量的提升
[901.56-903.74] 另外饮料包装的销量
[903.74-906.40] 也较同期成长13.12%
[906.40-908.88] 在饮料市场稳定增长的趋势下
[908.88-910.98] 集团以及外部客户的订单
[910.98-912.14] 同步的增加
[912.14-914.10] 推动整体销量的提升
[914.10-915.64] 下一页
[917.94-920.18] 接续报告部门的税前利润
[920.18-922.38] 我们从图表可以看到说
[922.38-924.66] 2024年铁产品的税前利润
[924.66-926.56] 较同期有大幅的一个改善
[926.56-929.26] 虽然平均的售价略低于同期
[929.26-931.70] 主要是因为该年的钢铁原料的价格
[931.70-933.02] 仍处于低点的关系
[933.02-935.04] 但是受惠于刚刚所提到的
[935.04-936.22] 销量显著的提升
[936.22-939.32] 也带动获利同步提升
[939.32-941.32] 全年顺利转亏为盈
[941.32-943.76] 另外饮料包装的税前利润
[943.76-945.36] 也较同期的成长
[945.36-947.84] 主要受益于饮料的市场需求
[947.84-947.92] 提升
[947.94-948.28] 提高
[948.28-950.70] 集团以及外部的客户订单
[950.70-952.08] 相互成长的带动下
[952.08-954.62] 同样进一步推升获利的表现
[954.62-955.82] 下一页
[955.82-958.82] 接着报告资产负债表
[958.82-961.12] 统一实业2024年的金融借款
[961.12-962.08] 以及总负债比
[962.08-964.04] 可以看得出来均比同期来降低
[964.04-966.76] 整体的财务结构稳定而且健康
[966.76-968.54] 下一页
[968.54-971.34] 再来报告现金流量表
[971.34-973.52] 2024年期末的现金
[973.52-976.22] 有新台币40亿4300万元
[976.22-977.60] 较同期增加
[977.60-977.92] 同期的现金流量表
[977.92-979.50] 整体的现金流量充沛
[979.50-980.94] 下一页
[980.94-983.44] 最后报告股利的政策
[983.44-985.22] 统一实业的股利政策
[985.22-986.84] 如果该年度有获利的话
[986.84-989.68] 则依法提10%的法定盈余供给
[989.68-992.42] 并且提列或回转特别盈余供给后
[992.42-996.12] 剩余的盈余就是该年度股东可以分配的盈余
[996.12-1000.62] 2024年公司每股的盈余为新台币0.97元
[1000.62-1003.80] 经董事会决议通过后
[1003.80-1007.58] 每股配发新台币0.97元的现金股利
[1007.58-1007.90] 同时也提出了新台币的现金流量
[1007.92-1010.40] 这个部分在今年的股东会决议后
[1010.40-1011.40] 就可以发放
[1011.40-1013.90] 以上是统一实业的报告
[1013.90-1014.24] 谢谢
[1014.24-1017.92] 谢谢
[1017.92-1019.96] 接下来请贯州说明
[1019.96-1022.82] 大统一2024全年度业绩
[1022.82-1030.12] 各位来宾大家好
[1030.12-1033.60] 接下来报告大统一2024年度的业绩表现
[1037.92-1041.96] 下一页
[1041.96-1048.20] 不好意思
[1048.20-1049.08] 这一页
[1049.08-1052.80] 首先报告合并营收及获利状况
[1052.80-1055.60] 2024年的合并营收是221
[1055.60-1058.42] 比起2023年是略微减少
[1058.42-1062.86] 那么主要的原因是反映国际间黄豆原料价格下跌
[1062.86-1065.68] 进而带动国内产品的售价调降
[1065.68-1067.90] 然而营收虽然减少了
[1067.92-1071.78] 但是在去年国内的经济情况是相当的良好
[1071.78-1074.54] 那么需求可以说相当的稳定
[1074.54-1077.18] 让产品的售价下跌的幅度呢
[1077.18-1080.04] 是低于原料成本下跌的幅度
[1080.04-1082.54] 最终毛利反而是增加的
[1082.54-1085.88] 加上来自转投资公司的获利表现
[1085.88-1087.86] 也都是比去年来优异
[1087.86-1091.70] 这样的结果让我们的营业利益成长
[1091.70-1094.62] 来到16亿3000万
[1094.62-1096.56] 成长了7.1%
[1096.56-1097.84] 那么总结
[1097.84-1097.90] 我们的营业利益成长了7.1%
[1097.92-1099.92] 这是2024年的一个财务绩效
[1099.92-1102.76] 不论是营业毛利营业利益
[1102.76-1106.06] 在数字跟比率都是优于前年的
[1106.06-1108.74] 整体的合并的税前净利
[1108.74-1111.34] 是比前期增加约9%
[1111.34-1113.46] 达到17亿1000万
[1113.46-1116.90] 那么这个数字呢
[1116.90-1119.34] 可以说是公司成立以来
[1119.34-1121.18] 最高的一个获利记录
[1121.18-1124.74] 其中归属母公司的净利有超过是3亿
[1124.74-1127.54] 那么EPS是8.24元
[1127.92-1130.22] 那么现在我们的营业利益成长
[1130.22-1130.92] 也都是比去年来优异
[1130.92-1131.62] 这样的结果让我们的营业利益成长
[1131.62-1132.72] 来到16亿3000万
[1132.72-1133.22] 成长了7.1%
[1133.22-1133.86] 那么这个数字呢
[1133.86-1135.26] 可以说是比5亿3000万
[1135.26-1135.96] 成长了7亿3000万
[1135.96-1136.62] 在2024年期末
[1136.62-1139.36] 现金级约当现金约为22亿元
[1139.36-1142.06] 较前一年度比较增加了6亿
[1142.06-1145.14] 最主要是来自累计盈余的增加
[1145.14-1146.98] 那么总资产是91亿
[1146.98-1149.10] 总负债为93亿
[1149.10-1151.40] 和前年比较都是增加的
[1151.40-1153.88] 增加的原因除了现金增加以外
[1153.88-1155.98] 主要来自于转投资公司
[1155.98-1157.48] 为营运成长
[1157.48-1159.40] 增加租用仓库设备
[1159.40-1162.08] 账上同时认列使用权资产
[1162.08-1163.34] 跟租赁负债
[1163.34-1166.20] 而负债占总资产的比率
[1166.20-1167.24] 这两年来
[1167.24-1169.82] 都是维持在将近三分之一左右
[1169.82-1171.56] 相当的一个稳定
[1171.56-1174.14] 在股东权益的部分呢
[1174.14-1175.90] 随着累计盈余的增加
[1175.90-1178.66] 2024年是来到将近59亿
[1178.66-1180.68] 较前期增加了3亿
[1180.68-1183.58] 而2024年的股东权益报酬率
[1183.58-1184.88] 是24%
[1184.88-1185.96] 和前期增加的
[1185.96-1187.44] 和前期比较的话差异不大
[1187.44-1189.92] 再往下来看流动比率
[1189.92-1191.92] 为320%
[1191.92-1194.64] 和前期比较是有略微降低一些
[1194.64-1196.62] 那么主要是因为年底的时候
[1196.62-1198.44] 有一些应付款项的金额
[1198.44-1200.44] 较高所导致的
[1200.44-1201.82] 下一页
[1201.82-1206.94] 再来看合并的现金流量表
[1206.94-1209.02] 因为获利稳定
[1209.02-1211.96] 所以我们可以维持稳定的现金流入
[1211.96-1214.68] 在2024年来自营运活动的
[1214.68-1215.68] 现金流入
[1215.68-1217.44] 约为21亿
[1217.44-1219.04] 在投资活动方面
[1219.04-1220.54] 包含资本支出
[1220.54-1222.52] 产生净现金流出
[1222.52-1224.28] 2亿7千万
[1224.28-1225.86] 资本支出在近年来
[1225.86-1228.16] 因为我们公司并没有一些
[1228.16-1230.56] 比较重大的投资项目
[1230.56-1232.36] 所以和前期比较的话
[1232.36-1234.40] 数字变动是不大的
[1234.40-1235.78] 而在投资活动方面
[1235.78-1237.96] 主要是用于发放现金鼓励
[1237.96-1239.28] 净现金流出
[1239.28-1242.00] 2024年是11亿6千万
[1242.00-1244.72] 金额与前期比较是有略微增加
[1244.72-1245.56] 主要是因为
[1245.56-1248.08] 我们在去年发放的现金鼓励
[1248.08-1249.74] 从前年的每股6元
[1249.74-1252.08] 提升到每股6块6元
[1252.08-1253.80] 所以综合以上的变动
[1253.80-1255.56] 在2024年底
[1255.56-1257.42] 现金增加了6亿
[1257.42-1259.44] 于而为22亿
[1259.44-1260.04] 下一页
[1262.92-1264.34] 接下来看大同益
[1264.34-1267.52] 个体10年来的一个获利情形
[1267.52-1269.64] 有图表可以看得出来
[1269.64-1271.36] 大同益在各项挑战下
[1271.36-1275.20] 依然保持相当稳定的一个获利情形
[1275.20-1275.54] 从
[1275.56-1277.28] 个体财报的税前经历
[1277.28-1278.34] 来看
[1278.34-1280.52] 2015到2019
[1280.52-1281.68] 这连续5年
[1281.68-1283.74] 每年均稳定维持在大约
[1283.74-1285.28] 10到12亿之间
[1285.28-1287.58] 而从2020年起
[1287.58-1289.10] 到2024年
[1289.10-1290.44] 这一个连续5年
[1290.44-1293.16] 获利水平是提升到15亿左右
[1293.16-1296.76] 那么去年2024年的税前经历
[1296.76-1298.26] 是历史新高点
[1298.26-1300.26] 来到15亿9千万
[1300.26-1301.44] 下一页
[1301.44-1304.06] 接下来看
[1304.06-1305.52] 每年的一个配息状况
[1305.52-1309.36] 2024年的每股盈余是8.24元
[1309.36-1311.08] 那么经董事会讨论通过
[1311.08-1313.42] 你配发现金鼓励每股7元
[1313.42-1315.70] 后续将提报今年股东常会
[1315.70-1318.44] 那么股东常会决议后来配发
[1318.44-1320.42] 而从上方的图表中
[1320.42-1321.88] 绿色柱状体的部分
[1321.88-1323.56] 代表每股盈余的数据
[1323.56-1325.00] 我们可以看到
[1325.00-1327.80] 从2015到2019年间
[1327.80-1330.98] 每股盈余均维持在5到6元之间
[1330.98-1333.04] 而从2020年起
[1333.04-1334.80] 随着业绩持续成长
[1334.80-1335.16] 每股盈余均维持在5到6元之间
[1335.16-1338.92] 每股盈余均稳定提升至7元以上
[1338.92-1340.56] 另外在股利政策方面
[1340.56-1341.52] 过去10年
[1341.52-1345.16] 我们始终坚持着一个现金的股利
[1345.16-1346.92] 稳健发放的原则
[1346.92-1349.56] 具体来看2015到2019
[1349.56-1353.26] 这5年我们是连续发放5元的现金股利
[1353.26-1356.06] 而从2020年到2022年
[1356.06-1357.32] 随着获利的提升
[1357.32-1360.84] 现金股利连续3年均达到每股6元
[1360.84-1364.86] 2023年更进一步提高到每股6块6
[1364.86-1366.18] 此外下方的图表
[1366.18-1369.10] 暂时的是我们的一个股息配发率
[1369.10-1370.54] 显示这10年来
[1370.54-1371.92] 我们的股息配发率
[1371.92-1374.10] 均是维持在70%以上
[1374.10-1376.70] 如果是10年的平均数
[1376.70-1379.04] 则是达到85%
[1379.04-1379.56] 下一页
[1379.56-1383.18] 最后一页来说明
[1383.18-1385.78] 我们的合并股东权益的情形
[1385.78-1389.00] 去年我们的股东权益报酬率
[1389.00-1390.80] 是24%
[1390.80-1393.50] 较前一年度是有略微增加
[1393.50-1394.84] 从这个图表上来说
[1394.86-1396.20] 这条图表可以看得出来
[1396.20-1397.80] 在过去10年间
[1397.80-1400.30] 大统一的合并股东权益报酬率
[1400.30-1402.90] 都是维持在20%以上
[1402.90-1406.04] 展现出稳定且良好的财务表现
[1406.04-1407.74] 以上是大统一的报告
[1407.74-1408.74] 谢谢大家
[1408.74-1416.98] 在统一企业 统一中控 统一实业
[1416.98-1420.14] 以及大统一私家公司向各位报告
[1420.14-1422.42] 2024全年度的状况后
[1422.42-1424.86] 我们现在进行第二阶段Q&A时间
[1424.86-1427.78] 由罗董事长以及四家公司管理层
[1427.78-1429.04] 回复来宾的提问
[1429.04-1432.84] Q&A环节除了接受台北现场举手发问外
[1432.84-1434.98] 台北现场来宾也可使用
[1434.98-1437.16] QR Code电子提问单提问
[1437.16-1440.10] 请用手机扫描萤幕的QR Code后
[1440.10-1441.58] 直接把问题输入
[1441.58-1443.16] 就可快速完成发问
[1443.16-1446.34] 之后将由我会整问题一并代为提问
[1446.34-1449.48] 线上与会的来宾可透过电话提问
[1449.48-1450.70] 若您想提问
[1450.70-1452.76] 请按米1 star 1
[1452.76-1453.94] 取消提问
[1453.94-1455.66] 请按米2 star 2
[1455.66-1456.90] 若您欲提问
[1456.90-1458.46] 请记录系统稍后
[1458.46-1461.08] 我们先开放台北现场来宾提问
[1461.08-1462.32] 请要提问的来宾
[1462.32-1464.46] 直接在座位举手示意即可
[1464.46-1466.68] 来 这边请
[1466.68-1475.72] 喂 董事长还有管理团队你们好
[1475.72-1477.72] 我是UBS瑞英证券的Daniel
[1477.72-1480.14] 我这边有两个问题想要跟你们请教
[1480.14-1482.24] 第一个是在电商事业
[1482.24-1483.86] 因为公司在今年年初
[1483.94-1487.12] 有正式认购PC Home的私募普通股
[1487.12-1488.18] 不知道可不可以请董事长
[1488.18-1489.12] 跟我们分享一下
[1489.12-1492.40] 我们未来在电商这一块的策略跟布局
[1492.40-1495.14] 那尤其是在两家公司的合作方面
[1495.14-1497.66] 那第二个问题是关于股利政策
[1497.66-1500.38] 我观察到就是说统一跟统一超
[1500.38-1502.46] 今年配发的股利的绝对金额
[1502.46-1504.06] 是跟去年约当
[1504.06-1505.06] 那我们是不是可以说
[1505.06-1506.70] 因为考量到后续几年
[1506.70-1509.20] 我们在物流园区的资本支出
[1509.20-1510.50] 所以近年的股利政策
[1510.50-1513.76] 可能会以绝对金额相同为优先考量
[1513.94-1515.44] 可以做这样的思考吗
[1515.44-1516.52] 两个问题谢谢
