[0.00-7.94] 好 各位投資先進朋友們 大家午安
[7.94-13.30] 歡迎參加文業科技受邀造風證券所舉辦的
[401.86-403.86] 且淨負債的金額減少
[403.86-406.86] 未來隨著歐美市場走出庫存挑戰週期
[406.86-408.86] 公司的貨意提升
[408.86-410.86] 公司會持續以營運產生的現金流等方式
[410.86-412.86] 以營運產生的現金流等方式
[412.86-415.86] 來持續的降低槓槓的比例
[415.86-421.86] 接下來我們看一下主要的財務指標趨勢
[421.86-426.86] 左上角可以看到第四季營收仍然維持在高檔
[426.86-430.86] 毛利率4.12%較第三季略為下滑
[430.86-433.86] 主要是前面提到產品組合的關係
[433.86-437.86] 那右邊的營業利率11.65%
[437.86-439.86] 較第三季持平
[439.86-442.86] 那目前Future的營運我們開始有提到
[442.86-446.86] 在第四季看起來還是在產業循環週期的底部
[446.86-448.86] 還在庫存挑戰之中
[448.86-453.86] 那Future的整個營業槓槓是比較好的
[453.86-455.86] 所以未來如果歐美市場復甦
[455.86-457.86] 需求跟營收回升
[457.86-459.86] 它的營業利率會有機會提升的更高
[459.86-462.86] 那我們看到第三季第四季的合併毛利
[462.86-466.86] 跟營業利率如果從產業循環長期的角度來看
[466.86-468.86] 應該是一個相對的低點
[468.86-471.86] 那EPS的部分雖然第四季的營業利益
[472.86-474.86] 季對季有所成長
[474.86-476.86] 但EPS主要是因為業外
[476.86-478.86] 富三季有這些業外收入的關係
[483.86-486.86] 接著我們看到營運資金回收天期的部分
[489.86-492.86] 藍色的這個Bar是營收賬款的天數
[492.86-496.86] 從第三季的54天減少到第四季的53天
[497.86-500.86] 那庫存的天數是這個綠色的Bar
[500.86-503.86] 從第三季的51天增加到第四季的55天
[503.86-505.86] 那雖然這個庫存天數增加
[505.86-508.86] 你看到英富的賬款天數也隨之增加
[508.86-511.86] 所以整體的營運資金回收天期
[511.86-517.86] 由第三季的43天下降到第四季的42天
[517.86-518.86] 還是非常高效
[518.86-520.86] 那我們對照全球同業
[520.86-521.86] 我們是相對比較低的
[521.86-529.86] 那接下來我們看到RWC營運資金報酬率的部分
[529.86-532.86] 那第四季的ROWC是14.5%
[532.86-534.86] 那相比第三季有所改善
[534.86-536.86] 與公司過往的長期的比率
[536.86-539.86] 或者我們跟全球的這個主要的同業相比
[539.86-542.86] 都是一個比較好的水平
[543.86-547.86] 那第三季的淨營運資金對比營收的比率
[547.86-550.86] 這季對季持平維持在0.12
[555.86-557.86] 那接下來我們看到
[557.86-559.86] 年化股東權益報酬率
[559.86-561.86] 就是在這個ROE的部分
[561.86-565.86] 我們的ROE第四季是10.4%
[565.86-569.86] 較第三季的12%略有下滑
[569.86-573.86] 那主要是因為前面提到業外收益較少的原因
[573.86-578.86] 那集團合併Future後對ROE可以看到有很明顯的一個貢獻
[578.86-583.86] 那目前公司ROE的水準也優於全球的這個主要的這些同業
[589.86-594.86] 接下來我們來看2025年第一季的財務預估
[594.86-600.86] 這是基於1美元對32.6元台幣的這個匯率假設
[600.86-605.86] 營收的預估中位數是2280億元
[605.86-609.86] 那中位數如果看中位數是季減13%
[609.86-612.86] 年增18%
[612.86-615.86] 那如果分開WT跟Future的話
[615.86-617.86] 那WT預估的這個第一季季減
[617.86-619.86] 大概在Mid-Teen的部分
[619.86-622.86] 那除了這個說從PC手機
[622.86-625.86] 消費性產品都是傳統淡季之外
[625.86-628.86] 那前面有提到低有一些低毛利的這個產品
[628.86-633.86] 因為在這個第四季提前拉貨影響了這個第一季的營收
[633.86-637.86] 那在Future的部分目前看到第四季應該是底部
[637.86-640.86] 我們預計第一季開始營收可以回穩
[640.86-643.86] 開始實現季對季的成長
[643.86-647.86] 今年Future所處的市場在將近兩年的庫存調整後
[647.86-649.86] 有機會慢慢復甦
[649.86-653.86] 那整體而言雖然營收是季減
[653.86-657.86] 但我們看到的趨勢是高毛利的產品的需求
[657.86-661.86] 呃在呈現季對季超越季節性的成長
[661.86-664.86] 那也讓我們對今年的業務成長更有信心
[664.86-667.86] 那所以如果我們看到毛利率的話
[667.86-670.86] 毛利率的這個預估中位數在4.8%
[670.86-672.86] 叫第四季的4.12%
[672.86-674.86] 有非常顯著的提升
[674.86-677.86] 那這個就是剛剛提到因為第一季的這個營收季減
[677.86-679.86] 主要是來自於低毛利的這個預估中位數
[679.86-681.86] 而不是高毛利產品的減少
[681.86-686.86] 但是我們看到的這個趨勢是高毛利的這個產品需求在持續的成長
[686.86-691.86] 那所以WT本身的毛利率因為產品組合改變而有所提升
[691.86-692.86] 那在Future的部分
[692.86-696.86] 它的毛利率在這幾個季度我們看起來都是維持穩定
[698.86-700.86] 那所以如果我們看到毛利額的部分
[700.86-702.86] 雖然預估的營收季久
[702.86-706.86] 但因為毛利提升的關係帶動了毛利額的季成長
[706.86-707.86] 毛利額預估中位數是109.5億元
[707.86-710.86] 季增1.6%
[710.86-714.86] 年對年成長125%
[716.86-720.86] 營業費用預估的中位數是66.1億元
[721.86-725.86] 營業費用中位數為2.9%
[725.86-727.86] 較前幾季略高
[727.86-730.86] 那因為第一季營收下滑QOQ下滑比較多
[730.86-731.86] 產品組合有所變化
[731.86-733.86] 高毛利的產品相對較多
[735.86-737.86] 那營業利益1.6%
[737.86-740.86] 季預估的中位數是43.4億元
[740.86-741.86] 季增3%
[741.86-743.86] 年增66%
[746.86-749.86] 營業利益率的預估的中位數是1.9%
[749.86-751.86] 季對季改善
[751.86-753.86] 比上一季1.6高
[753.86-755.86] 顯示雖然預期營收下滑費用率增加
[755.86-759.86] 但產品組合仍會使整體的營業利益率提升
[759.86-761.86] 然後帶動營業利益的成長
[763.86-766.86] 稅前淨利預估的中位數是33.1億元
[767.86-769.86] 季持平年增67%
[769.86-773.86] 那我們第一季預期財務成本會較第四季高
[773.86-777.86] 那主要是因為整體營運資金的需求會有所增加
[777.86-781.86] 那最後看到鮭魚母公司的淨利的部分
[781.86-785.86] 這邊的預估的中位數是25.7億元
[785.86-789.86] 季增1%年增62%
[789.86-793.86] 整體而言第一季雖然對文業來說是一個傳統淡季
[793.86-795.86] 但因為產品組合轉加
[795.86-799.86] 所以我們預估在獲利上能有超越季節性的表現
[799.86-801.86] 實現季對季的成長
[801.86-805.86] 那EPS的話預估中位數是2.3億元季增1%
[805.86-807.86] 年增45%
[807.86-812.86] 那接下來我們請董事長來更新一下市場狀況和展望的部分
[815.86-817.86] 大家好
[817.86-823.86] 這個回顧2024年我們順利完成了Future的收購
[823.86-827.86] 在目前全球供應鏈越來越複雜
[827.86-829.86] 越來越多變的局面下
[829.86-832.86] 由於集團的全球布局
[832.86-838.86] 我們可以順利的掌握市場並且分散風險
[838.86-842.86] 2024年合併獲利也創下新高
[842.86-847.86] 目前和Future的合併整合順利推進當中
[847.86-849.86] 市場展望的部分
[849.86-853.86] 庫存調整在亞洲基本上已經達到最高的程度了
[853.86-855.86] 調整完成了
[855.86-861.86] 去年大多數公司也都已經開始呈現年對年的成長
[861.86-866.86] 而北美的庫存調整應該也接近尾聲
[866.86-869.86] 歐洲還在改善中
[869.86-873.86] 預期接下來一兩季應該也會逐漸告一段落
[873.86-878.86] 第一季整個需求是穩定的
[878.86-882.86] 那麼目前看起來第二季也不會太弱
[882.86-884.86] 市場上看今年的需求
[884.86-888.86] 普遍都認為下半年會好於上半年
[888.86-894.86] 所以今年來說市場應該會開始慢慢的復甦
[894.86-897.86] 加上AI應用開始普及
[897.86-900.86] 帶動更多的終端產品成長
[900.86-906.86] 今年整體市場需求應該是會比2024年成長
[909.86-912.86] 接下來我們來看一下市場的趨勢
[912.86-917.86] 整體半導體市場經過去一兩年的庫存調整
[917.86-920.86] 市場需求已經逐漸的回升
[920.86-923.86] 根據GaN最新的預估
[923.86-929.86] 2025全球半導體市場成長率是12.7%
[929.86-936.86] 比上次13.8%下修主要是因為記憶體下修
[936.86-941.86] 而半導體不含記憶體市場2025年的成長率
[941.86-943.86] 預估為12.6%
[943.86-948.86] 比上一次的預估11.5%已經開始上修
[948.86-952.86] 各類型的晶片都會有一定幅度的成長
[952.86-960.86] 2024年到2028年半導體市場長期的年復合成長率
[960.86-963.86] GaN的預估是7.3%
[963.86-968.86] 比上次預估的6.1%有所上修
[968.86-970.86] 2028年市場規模會變得更高
[971.86-974.86] 會達到8294億美元
[974.86-982.86] 其中不含記憶體的市場2024到2028年復合成長率約為8.7%
[982.86-987.86] 也比上次預估的7.7%有所上修
[987.86-994.86] 另外IPNE的市場在2024到2028年復合成長率預估為5.3%
[994.86-1000.86] 2028年IPNE市場規模也會達到2410億美元
[1001.86-1004.86] 總而言之公司所處的市場規模
[1004.86-1013.86] 將從2024年全體半導體市場的6300億美元大幅增加到
[1013.86-1019.86] 2028年如果包含半導體及IPNE會達到1兆美元的規模
[1024.86-1027.86] 再來我們就應用產品來說
[1027.86-1030.86] 從剛剛的各項預估來看
[1031.86-1035.86] 2025年各項應用都會成長
[1035.86-1040.86] 其中資料中心及伺服器成長最多會達到29%
[1040.86-1043.86] 車用會成長16%
[1043.86-1048.86] 工業雖然去年地勢很弱應該也逐漸觸底了
[1048.86-1052.86] 那麼基本上預估會成長12.6%
[1052.86-1056.86] 這些將帶動今年整體半導體需求的成長
[1056.86-1058.86] 長期趨勢而言
[1058.86-1060.86] 依目前的預估
[1061.86-1063.86] 電子年複合成長率9.6%
[1063.86-1065.86] 工業12.3%
[1065.86-1067.86] 通訊7.2%
[1067.86-1070.86] 資料中心及伺服器12.5%
[1070.86-1072.86] 消費電子5%
[1072.86-1075.86] 個人電腦及周邊4.3%
[1075.86-1077.86] 手機2.1%
[1077.86-1083.86] 可見各應用領域由於AI技術與應用的持續發展與數位化的需求
[1083.86-1087.86] 未來幾年還是會持續有不錯的成長
[1087.86-1090.86] 公司會持續投入資源與高成長
[1091.86-1097.86] 高毛利的應用領域如汽車工業通訊資料中心及伺服器
[1097.86-1101.86] 目標在這些應用市場能有較高的成長率
[1101.86-1104.86] 進而讓公司整體成長性優於市場
[1108.86-1115.86] 接下來我們看一下公司第四季應用的各種application的insolv分佈
[1115.86-1118.86] 第四季因為是手機的出貨旺季
[1118.86-1119.86] 所以呢
[1119.86-1120.86] 啊
[1120.86-1150.86] 
[1150.86-1153.86] 第四季集團激增12%
[1153.86-1158.86] 其中WT激增約19%
[1158.86-1162.86] Future激減10%
[1162.86-1169.86] WT積極部署大陸電動車與自動駕駛等市場持續取得市佔提升
[1169.86-1175.86] Future的車用尤其是在歐洲第四季還在做庫存調整
[1175.86-1178.86] 工業與儀器
[1178.86-1179.86] 第四季整體激減10%
[1180.86-1182.86] WT激減3%
[1182.86-1185.86] 但我剛好說這個領域已經逐漸走到底部了
[1185.86-1188.86] 那其中WT激減約4%
[1188.86-1190.86] Future約激減3%
[1190.86-1195.86] 整體工業需求尚未見到復甦在第四季的時候
[1195.86-1198.86] 通訊業務主要都是WT的
[1198.86-1201.86] 第四季激減12%
[1201.86-1204.86] 我們仍然看好光通訊的長期成長
[1204.86-1207.86] 但短期期間期間出貨會有所波動
[1207.86-1209.86] 資料中心與伺服器
[1209.86-1212.86] 這個部分的營收也來自於WT
[1212.86-1215.86] 第四季激減3%
[1215.86-1216.86] 而跟光通訊一樣
[1216.86-1219.86] 我們看好AI的中長期成長
[1219.86-1224.86] 但短期季對季之間出貨會有所波動
[1224.86-1228.86] 消費性電子第四季激減7%
[1228.86-1231.86] 其中WT激減約12%
[1231.86-1234.86] 這主要是季節性的因素
[1234.86-1238.86] Future則呈現激增11%
[1239.86-1241.86] 其實這個已經反映
[1241.86-1245.86] 在歐美部分產品的庫存已經逐漸去化
[1245.86-1248.86] 有部分庫存回補的需求
[1248.86-1250.86] 個人電腦主要來自於WT
[1250.86-1252.86] 第四季激減6%
[1252.86-1254.86] 主要是季節性因素
[1254.86-1257.86] 手機主要也來自於WT
[1257.86-1259.86] 第四季激增15%
[1259.86-1261.86] 主要是季節性因素
[1261.86-1267.86] 接下來簡報右下方第四季營收的YYY
[1267.86-1269.86] 因為當時尚未合併Future
[1269.86-1272.86] 所以這個數據是不含Future的
[1272.86-1277.86] 按照應用別車用年增34%
[1277.86-1279.86] 工業年減9%
[1279.86-1282.86] 通訊年增10%
[1282.86-1285.86] 資料中心年增60%
[1285.86-1288.86] 消費性電子年減12%
[1288.86-1291.86] PC年增8%
[1291.86-1293.86] 手機年增也是8%
[1293.86-1298.86] 所以可以看到除了工業與消費電子以外
[1299.86-1305.86] 需求第四季2024對比2023
[1305.86-1307.86] 都已經呈現在成長
[1307.86-1309.86] 但是這個都是亞洲的部分
[1309.86-1311.86] 再來Page16
[1311.86-1319.86] 我們來看一下公司全年的按照應用別的營收分佈
[1319.86-1324.86] 2024年的Startup Attention營收已經成長到68%
[1324.86-1328.86] 同樣右下方的YO比較圖是WT不含Future
[1329.86-1333.86] 車用年增36%
[1333.86-1336.86] 工業與儀器年減16%
[1336.86-1339.86] 所以去年整體工業的表現不好
[1339.86-1342.86] 通訊年增36%
[1342.86-1346.86] 這部分也受惠於AI的帶動
[1346.86-1351.86] 然後資料中心與伺服器大幅增加167%
[1351.86-1354.86] 消費電子與其他全年減1%
[1354.86-1359.86] 個人電腦在經過2023年的調整之後
[1359.86-1362.86] 其實年增已經到達12%
[1362.86-1365.86] 手機年增5%
[1365.86-1368.86] 以上是我們今天的報告
[1368.86-1369.86] 謝謝
[1369.86-1371.86] 好的
[1371.86-1373.86] 謝謝董事長跟財務長
[1373.86-1378.86] 接下來我們進行提問的一個階段
[1378.86-1379.86] 再提醒一下
[1379.86-1381.86] 如果您需要提問
[1381.86-1386.86] 請在發言視窗之中寫上您的代表公司大名及問集
[1386.86-1388.86] 然後我們會整理一下
[1389.86-1390.86] 整體性的來看一下
[1390.86-1392.86] 收集大家的問題
[1392.86-1394.86] 會到時候靜音1到2分鐘
[1394.86-1395.86] 整理之後呢
[1395.86-1400.86] 再一併的回覆
[1400.86-1403.86] 好現在請Evon
[1419.86-1420.86] 謝謝
[1420.86-1421.86] 今天的討論
[1421.86-1422.86] 先讓您注意到
[1422.86-1441.34] Recent
[1441.34-1443.78] xu
[1443.78-1444.86] 好
[1444.86-1446.86] 現在 views
[1446.86-1448.10] 一個
[1448.10-1448.86] 兩個
[1449.86-1458.46] 大家好
[1458.46-1460.44] 那投資人這邊有問到
[1460.44-1462.64] 第一個是2025年第一季
[1462.64-1464.88] 與全年各應用別的展望
[1464.88-1465.80] 我們請Eric
[1465.80-1468.34] 今年第一季
[1468.34-1471.64] WT的部分前面已經有提到
[1471.64-1474.68] 我們基本上會呈現Meeting的季節
[1474.68-1478.50] 那這個按照應用別來說的話
[1478.50-1483.74] 汽車電子這個歐美市場還處在庫存調整
[1483.74-1486.20] 但是已經進入尾聲
[1486.20-1488.96] 那亞洲還持續在穩定的成長
[1488.96-1490.40] 長期而言
[1490.40-1492.34] 汽車對半導體需求會增加
[1492.34-1494.44] 公司的汽車電子營收
[1494.44-1495.46] 在去年第四季
[1495.46-1499.24] 亞洲客戶拉貨帶動雙位數計成長以後
[1499.24-1503.28] 預期第一季約會有雙位數的季節
[1503.28-1506.24] 但是今年全年的營收
[1506.24-1507.70] 預期會持續成長
[1507.70-1510.20] 工業與儀器
[1510.20-1513.94] 工業需求受總體經濟及庫存調整影響
[1513.94-1516.70] 但已在循環的底部
[1516.70-1520.10] 預期第一季營收會持平
[1520.10-1523.94] 今年隨著庫存調整慢慢告一段落
[1523.94-1526.20] 需求應可逐步好轉
[1526.20-1529.70] 通訊因為AI伺服器大幅成長
[1529.70-1533.04] 帶動光通訊升級需求的強勁
[1533.04-1536.60] 預期通訊第一季會有雙位數的激增
[1536.60-1537.56] 今年
[1537.70-1540.20] 整體通訊會持續成長
[1540.20-1542.70] 資料通訊與伺服器
[1542.70-1546.70] AI伺服器的需求未來幾年會持續成長
[1546.70-1550.70] 但短期建置與拉貨供貨的情況
[1550.70-1553.70] 季對季之間會有波動
[1553.70-1556.40] 這個跟季節性沒有關係
[1556.40-1560.20] 去年第四季營收因客戶不提前拉貨
[1560.20-1562.20] 優於預先的預期
[1562.20-1565.70] 因此目前看起來第一季營收大約會有20%的增長
[1565.70-1566.70] 因此目前看起來第一季營收大約會有20%的增長
[1566.70-1567.70] 因此目前看起來第一季營收大約會有20%的增長
[1567.70-1568.70] 因此目前看起來第一季營收大約會有20%的增長
[1568.70-1569.70] 不過全年公司預期資料中心的營收會持續成長
[1569.70-1571.70] 不過全年公司預期資料中心的營收會持續成長
[1571.70-1574.70] 不過全年公司預期資料中心的營收會持續成長
[1574.70-1578.70] 個人電腦第一季是傳統的淡季
[1578.70-1582.70] 所以預期營收會有個位數的激減
[1582.70-1585.70] 但是隨著今年AIPC新品的陸續推出
[1585.70-1586.70] 但是隨著今年AIPC新品的陸續推出
[1586.70-1589.70] 與Windows的終止服務
[1589.70-1591.70] 預期將帶動商業機種的換季潮
[1591.70-1593.70] 預期將帶動商業機種的換季潮
[1593.70-1594.70] 今年營收會持續成長
[1594.70-1597.70] 今年營收會持續成長
[1597.70-1599.70] 消費電子第一季是傳統淡季
[1599.70-1602.70] 預期營收會有個位數的激減
[1602.70-1604.70] 消費電子是成熟市場
[1604.70-1609.70] 隨著更多AI技術慢慢導入消費型電子產品
[1609.70-1611.70] 產品功能會有所提升
[1611.70-1613.70] 半導體含量會增加
[1613.70-1617.70] 期待今年需求能夠維持平穩
[1617.70-1620.70] 手機第一季是傳統的淡季
[1620.70-1623.70] 預期營收會有三成的激減
[1623.70-1624.70] 預期營收會有三成的激減
[1624.70-1627.70] 手機應用是Cash Cloud穩定的生意
[1627.70-1630.70] 因此預期今年全年的變動不大
[1630.70-1633.70] 另外Future的部分
[1633.70-1637.70] 預期第一季營收開始微幅激增
[1637.70-1638.70] 預期第一季營收開始微幅激增
[1638.70-1640.70] 整體需求有所回穩
[1640.70-1643.70] 庫存調整的問題北美已經穩定了
[1643.70-1646.70] 而歐洲也在一兩季會告一段落
[1649.70-1651.70] 第二題有投資人問到
[1651.70-1653.70] 美國對中國、加拿大與墨西哥
[1653.70-1655.70] 增加關稅或對半導體進口增加關稅
[1655.70-1656.70] 美國對中國、加拿大與墨西哥
[1656.70-1657.70] 增加關稅或對半導體進口增加關稅
[1657.70-1659.70] 對公司有何影響
[1659.70-1661.70] 關稅的問題其實非常的複雜
[1661.70-1663.70] 關稅的問題其實非常的複雜
[1663.70-1665.70] 然後目前也還充滿了不確定性
[1665.70-1667.70] 然後目前也還充滿了不確定性
[1667.70-1669.70] 但是基本上它大概可以分成兩個層面
[1669.70-1671.70] 但是基本上它大概可以分成兩個層面
[1671.70-1673.70] 一個就是直接的影響
[1673.70-1675.70] 那我們的客戶需要把零件運到美國
[1675.70-1677.70] 那我們的客戶需要把零件運到美國
[1677.70-1679.70] 或者是出口成品到美國
[1679.70-1681.70] 或者是出口成品到美國
[1681.70-1683.70] 都可能面臨要繳交關稅
[1683.70-1685.70] 或已經必須繳交關稅
[1685.70-1689.70] 客戶一定會做成本轉嫁
[1689.70-1696.70] 部分消費產品的產品價格一定會調整
[1696.70-1699.70] 那麼基本上對需求是否有影響
[1699.70-1701.70] 這個還有待觀察
[1701.70-1707.70] 另外整體供應鏈因應關稅或其他的貿易壁壘
[1707.70-1709.70] 不完全是美國
[1709.70-1711.70] 那供應鏈會調整
[1711.70-1713.70] 那麼公司在收購future後
[1713.70-1717.70] 已經具備完善的全球佈局
[1717.70-1719.70] 所以客戶的生產移動調整
[1719.70-1721.70] 所以客戶的生產移動調整
[1721.70-1723.70] 我們都有服務的能力
[1723.70-1725.70] 我們現在會積極的配合
[1725.70-1727.70] 我們現在會積極的配合
[1727.70-1729.70] 原廠跟客戶做相對應的調整
[1729.70-1731.70] 我們會專注於協助上游下游做供應鏈的移轉佈局
[1731.70-1733.70] 我們會專注於協助上游下游做供應鏈的移轉佈局
[1733.70-1735.70] 我們會專注於協助上游下游做供應鏈的移轉佈局
[1735.70-1737.70] 接下來有投資人問到
[1737.70-1739.70] 接下來有投資人問到
[1739.70-1741.70] 有看到因應美國提高關稅
[1741.70-1743.70] 客戶提前拉貨的情況嗎
[1743.70-1745.70] 客戶提前拉貨的情況嗎
[1745.70-1747.70] 若有主要是在哪些應用領域
[1747.70-1749.70] 基本上可能有零星的一些案子
[1749.70-1751.70] 基本上可能有零星的一些案子
[1751.70-1753.70] 基本上可能有零星的一些案子
[1753.70-1755.70] 但是整體來說並不明顯
[1755.70-1757.70] 但是整體來說並不明顯
[1757.70-1759.70] 因為現在關稅的狀態
[1759.70-1761.70] 也還沒有非常確定
[1761.70-1763.70] 部分已經宣布了
[1763.70-1765.70] 部分還在調整中
[1765.70-1767.70] 沒有不明顯
[1767.70-1769.70] 接下來有投資人問到
[1769.70-1771.70] 中國半導體本土化
[1771.70-1773.70] 對文業及未來的業務
[1773.70-1775.70] 會帶來哪些正面或不利的影響
[1775.70-1777.70] 會帶來哪些正面或不利的影響
[1777.70-1779.70] 中國正在大力發展半導體
[1779.70-1781.70] 中國正在大力發展半導體
[1781.70-1783.70] 公司在全球也都有佈局
[1783.70-1785.70] 公司在全球也都有佈局
[1785.70-1787.70] 基本上都說China for China
[1787.70-1789.70] 中國是很重要的市場
[1789.70-1791.70] 中國的原廠主要都以中國大陸的需求為主
[1791.70-1793.70] 中國的原廠主要都以中國大陸的需求為主
[1793.70-1795.70] 公司也有代理
[1795.70-1797.70] 也在當地銷售
[1797.70-1799.70] 所以對我們不會產生影響
[1799.70-1801.70] 也不會產生太多的衝擊
[1801.70-1803.70] 也不會有全體產生太大的影響
[1803.70-1805.70] 也不會有全體產生太大的影響
[1805.70-1807.70] 接下來有投資人問到
[1807.70-1809.70] 生成式AI近期的發展與Deep-seek的崛起
[1809.70-1811.70] 接下來有投資人問到
