[0.00-2.88] 各位先生的各位先生大家午安
[569.46-570.74] 车牌辨识的功能
[570.74-573.04] 和大数据减少犯罪活动
[573.04-577.66] 提升市民的生活品质及城市治理的效率
[577.66-581.50] 下一个有关于推广品牌形象的部分是我们参与的
[581.50-584.06] 法国国际安全博览会
[584.06-586.62] 精锐通信参加国内外的重要展会
[586.62-587.64] 强化品牌宣传
[587.64-590.46] 2024年的11月分别参加了法国国际
[590.46-593.52] 安全博览会及美东安全科技专业大展
[593.52-596.34] 聚焦在专业安防公安等领域
[596.34-600.44] 精锐通信展示AI安防解决方案在多元垂直市场的应用
[600.44-602.48] 获得客户的高度关注
[602.48-605.30] 下一页
[605.30-608.12] 发展全线AI云端及安防产品
[608.12-609.40] 的部分
[609.40-611.44] 我们主要是两大的亮点
[611.44-614.00] 一个是专制发表装置管理员软体
[614.00-615.02] 第二是携手
[615.02-617.84] 伙伴串串扩大AI生态圈
[617.84-622.20] 精锐通信看准大型企业对于高效安防系统的需求攀升
[622.20-623.48] 推出软体的
[623.48-626.30] 装置管理Device Manager
[626.30-630.90] 提供大型企业一站式远端管理防堵摄影机一场的事件
[630.90-635.00] 大幅来降低时间和人力从本地外精锐通信旗下的AI
[635.00-637.30] 智慧云端安防平台Vortex
[637.30-643.20] 也携手台湾新创的伙伴串串提供一站式的门店语音管理解决方案
[643.20-649.60] 强化零售领域管理并扩大AI生态圈双方的合作首波会锁定在美国
[649.60-651.12] 日本及台湾市场
[651.12-653.44] 合位超过450家的连锁品牌
[653.48-656.04] 总共15000家的门店提供服务
[656.04-662.80] 下一页跟各位报告是我们第三个策略是海外间接式的扩产
[662.80-665.02] 台湾加一然后再加一
[665.02-667.20] 因应全球安防市场的需求
[667.20-670.62] 配合客户希望分散单一场地制造的风险
[670.62-672.88] 青春通信持续扩充海外产能
[672.88-676.30] 借由海外产能辅助于降低我们的生产成本
[676.30-679.74] 目前越南产线的产值占整体约五分之一
[679.74-683.46] 而泰国产线也预计最快今年第一季可以开始料产
[683.48-689.20] 那是致力于永续品牌推广
[689.20-693.60] 青春通信获得全球安防企业的第14名
[693.60-696.42] 永续双奖以及最佳国际品牌等奖项
[696.42-699.26] 我们永续品牌的推展
[699.26-703.56] 在2024年由全国全球权威的安防媒体
[703.56-706.86] ANS主办的Security 50的榜单当中
[706.86-708.48] 青春通信获得第14名
[708.48-710.38] 除了连续12年入榜之外
[710.38-713.46] 也是唯一全球前20名的台湾安防企业
[713.48-716.86] 同时青春通信也首次参加第17届的
[716.86-719.12] PCSA台湾企业永续奖
[719.12-723.00] 并且获得资讯及通讯传播业的永续报告奖
[723.00-725.86] 以及台湾永续企业GU奖
[725.86-729.58] 更连续五年获得经济部颁发台湾最佳国际品牌
[729.58-734.04] 未来青春通信将持续研发云端及AI解决方案
[734.04-737.22] 追求创新打造更安全永续的环境
[737.22-740.42] 接下来我们来进行Q&A的部分
[740.42-743.46] 好 谢谢发言人的详细说明
[743.48-746.48] 那接下来我们将进入问答环节
[746.48-749.50] 并将开放五分钟的线上提问时间
[749.50-751.74] 如果各位嘉宾有任何问题
[751.74-755.96] 可以在画面右下角的线上提问栏位输入您的单位及姓名
[755.96-758.42] 我们将会统一回复 谢谢
[758.42-761.82] 感谢线上嘉宾的等待时间
[761.82-764.68] 那接下来我们将回复各位的提问
[764.68-767.34] 首先呢 有朋友问到说
[767.34-771.66] 关于今年度的营收及毛利率的走向为何
[771.66-773.32] 那这题我们请
[773.48-775.48] 总经理来为我们说明
[775.48-781.48] 今年开始大家应该可以看到很多的政策
[781.48-783.48] 各国政策不断的出台
[783.48-786.48] 即使如此我们如刚刚所言
[786.48-789.48] 在市调上面的回报
[789.48-793.48] 我们还是正面看待今年整体安防产业的实况
[793.48-797.48] 公司也将持续不断注AI云端技术的研发
[797.48-800.48] 同时我们既定
[800.48-802.48] 加强我们在
[802.48-803.48] 加强我们在
[803.48-804.48] 自能制造的布局
[804.48-806.48] 还有海外的产线
[806.48-814.48] 我们又以这些核心的竞争力来提高我们的应任性
[814.48-816.48] 来应付这些政策的变化
[816.48-818.48] 满足客户的需求
[818.48-821.48] 谢谢总经理的说明
[821.48-823.48] 那接下来有朋友问到说
[823.48-827.48] 公司品牌近期在海外取得不错的成果
[827.48-832.48] 那发展力到最佳的区域层是有哪一些
[832.48-836.48] 也想请分享最具指标性的专案有哪一些
[836.48-839.48] 那这一题我们请发言人来为我们说明
[839.48-841.48] 各位鲜精大家好
[841.48-842.48] 如同刚刚跟大家分享的
[842.48-845.48] 公司近期累积许多的成功案例
[845.48-847.48] 像日本工业设备制造商的野马工厂
[847.48-849.48] 导入精锐通讯的AI解决方案
[849.48-852.48] 改善无人搬运车的行进路线
[852.48-855.48] 在巴西的马林家市同样导入AI的解决方案
[855.48-857.48] 整合人脸车牌辨识和大数据
[857.48-861.48] 来提升整个城市的治理及安全性的部分
[861.48-864.48] 这是一个比较指标性的专案
[864.48-865.48] 谢谢
[865.48-868.48] 感谢发言人的说明
[868.48-870.48] 那接下来有朋友问到说
[870.48-874.48] 想问代工事业群的订单动能如何
[874.48-878.48] 那有哪一些区域的市场的客户动能
[878.48-880.48] 有最佳的表现呢
[880.48-884.48] 那这题请总经理来为我们分享
[884.48-888.48] 代工的订单还是持续在成长
[888.48-890.48] 主要是AI技术发展促进了
[891.48-893.48] 新的市场应用需求
[893.48-896.48] 同时中美贸易战跟美国的制裁
[896.48-899.48] 还有市场对中国大陆制产品
[899.48-902.48] 可能对云端数据安全及隐私构成威胁
[902.48-904.48] 而产生担忧
[904.48-907.48] 也提供其他非中国大陆制的品牌
[907.48-910.48] 有更多发展的机会
[910.48-913.48] 好感谢总经理的说明
[913.48-916.48] 那接下来的车题有朋友问到说
[916.48-919.48] 2024年营收严衰退
[919.48-921.48] 但毛利率的推动呢?
[921.48-923.48] 表现恢复的非常好
[923.48-926.48] 请分析主要贡献的原因有哪一些
[926.48-929.48] 那2025年有机会维持吗?
[929.48-932.48] 若不能影响的变数会有哪一些?
[932.48-935.48] 这题我们请总经理来为我们说明
[935.48-940.48] 因为销售产品的组合
[940.48-942.48] 在新产品的贡献之下
[942.48-944.48] 带动毛利的成长
[944.48-947.48] 同时海外生产也优化了毛利
[947.48-950.48] 在2025年海外产线陆续启动后
[950.48-953.48] 我们也正向看待毛利率的走势
[953.48-956.48] 好感谢总经理的说明
[956.48-958.48] 接下来有朋友问到说
[958.48-961.48] 2024年代工品牌营收的占比
[961.48-964.48] 那销售市场的占比为何?
[964.48-967.48] 各市场销涨的情况为何?
[967.48-970.48] 这题我们也请总经理来为我们分享
[970.48-975.48] 在2024全年代工跟品牌营收占比
[975.48-977.48] 大约是6比4
[977.48-979.48] 公司长期目标是希望
[979.48-981.48] 双市业比重达到5比5
[981.48-983.48] 销售市场的占比
[983.48-986.48] 目前还是每家为最大重
[986.48-988.48] 占比约6成
[988.48-991.48] 感谢总经理的说明
[991.48-995.48] 那我们一路去收到各位的提问
[995.48-998.48] 将会整理后统一做回复
[998.48-999.48] 谢谢
[999.48-1001.48] 感谢先生的说明
[1001.48-1003.48] 我们也希望您能够在下方
[1003.48-1004.48] 在下方的视频中
[1004.48-1005.48] 可以看到我们的讨论
[1005.48-1006.48] 我们也希望您能够看到我们的讨论
[1006.48-1007.48] 我们也希望您能够看到我们的讨论
[1007.48-1008.48] 我们也希望您能够看到我们的讨论
[1008.48-1010.48] 感谢先生的先进的等待
[1010.48-1014.48] 那我们将回复大家的提问
[1014.48-1017.48] 那目前有朋友问到说
[1017.48-1022.48] 目前在守订单的金额或订单能见度为何
[1022.48-1025.48] 那这集我们请总经理来为我们分享
[1025.48-1028.48] 今年客户陆续开案
[1028.48-1030.48] 订单能见度较去年更为明朗
[1030.48-1032.48] 当然我们会持续关注
[1032.48-1034.48] 现在各国政策的变化
[1034.48-1036.48] 那我们目前对后续营收成长
[1036.48-1037.48] 还是很乐观
[1038.48-1040.48] 感谢总经理的分享
[1040.48-1042.48] 那接下来有朋友问到说
[1042.48-1045.48] 想请教AI产品与专服务
[1045.48-1048.48] 于2024年的成长性及来源为何
[1048.48-1050.48] 那营收占比为何
[1050.48-1055.48] 就于2025年来说成长性及来源为何
[1055.48-1058.48] 这题我们请总经理来为我们分享
[1058.48-1063.48] 以经锐目前横跨品牌跟代工的双世界
[1063.48-1066.48] 在代工的产品部分几乎百分之百
[1066.48-1068.48] 因为手机是一种
[1068.48-1069.48] 有限制的选用
[1069.48-1071.48] 都具备AI的分析能力
[1071.48-1074.48] 品牌的产品从2024年开始
[1074.48-1077.48] 新款皆具备AI的功能
[1077.48-1080.48] 目前公司也运用边缘AI的技术
[1080.48-1083.48] 发展出AI辅助的影像分析
[1083.48-1085.48] 深度搜寻等功能
[1085.48-1086.48] 由于边缘预算
[1086.48-1090.48] 运算产品的市场需求强劲
[1090.48-1094.48] 公司将扩展相关的产品线
[1094.48-1096.48] 感谢总经理的分享
[1096.48-1098.48] 那接下来有朋友问到说
[1098.48-1101.48] 想请教因应美国关税的规划
[1101.48-1104.48] 这题我们请发言人来为我们说明
[1104.48-1108.48] 以目前美国总统的行政命令
[1108.48-1110.48] 变化性其实还蛮大的
[1110.48-1112.48] 对于关税范围在于加拿大
[1112.48-1113.48] 墨西哥中国
[1113.48-1115.48] 由于在于这些地区
[1115.48-1119.48] 并非精锐的通讯的产地
[1119.48-1121.48] 因此目前评估影响不大
[1121.48-1123.48] 但是我们后续还是会持续关注
[1123.48-1125.48] 美国的政策变化
[1125.48-1126.48] 谢谢
[1126.48-1127.48] 好谢谢发言的说明
[1128.48-1131.48] 那接下来这一题有朋友问到说
[1131.48-1134.48] 对于2025年的展望为何
[1134.48-1137.48] 那成长方向是来自于新的烟雾
[1137.48-1139.48] 或者是客户
[1139.48-1141.48] 要应用于哪一些产业
[1141.48-1144.48] 这一题我们请总经理来为我们说明
[1144.48-1148.48] 各位先进关注
[1148.48-1149.48] 暗房产业
[1149.48-1151.48] 我相信在暗房产业里
[1151.48-1154.48] AI跟云端已经是暗房的基础
[1154.48-1156.48] 因为通讯AI的暗房解决方案
[1156.48-1159.48] 包括完整的网络安全健康产品
[1159.48-1166.48] 结合AI影像技术搭载AI的智慧云端暗房平台Vortex
[1166.48-1168.48] 提升使用者体验
[1168.48-1170.48] 确保运营效率率
[1170.48-1172.48] 目前我们布局垂直市场
[1172.48-1174.48] 还是以智慧城市智慧交通
[1174.48-1176.48] 还有智慧工厂为主
[1176.48-1181.48] 这也是各国极力最终的基础建设的项目
[1181.48-1184.48] 谢谢总经理的详细分享
[1184.48-1185.48] 那接下来有朋友问到说
[1185.48-1189.48] 对于公司未来二到三年的严密考考违和
[1189.48-1193.48] 这些我们请总经理来为我们分享
[1193.48-1197.48] 我们看好各国大力推动智慧城市柔宇制动化
[1197.48-1201.48] 经约通讯认为暗房属于刚性需求
[1201.48-1204.48] 我们将结合AI还有云端趋势
[1204.48-1206.48] 发展AI解决方案
[1206.48-1208.48] 为客户的安全赋能
[1208.48-1210.48] 感谢总经理的说明
[1210.48-1213.48] 那我们陆续收到各位的提问
[1213.48-1215.48] 将会整体的解决
[1215.48-1217.48] 以后做同一回复
[1217.48-1218.48] 谢谢
[1218.48-1221.48] 感谢线上各位先进的等待
[1221.48-1222.48] 那接下来呢
[1222.48-1224.48] 我们将回复大家的提问
[1224.48-1226.48] 首先呢有朋友问到说
[1226.48-1230.48] 对HAI的想法与产品布局为何
[1230.48-1233.48] 那监视器要如何结合AI
[1233.48-1235.48] 软体是我们自己写的吗
[1235.48-1239.48] AI解决方案主要增加什么功能
[1239.48-1242.48] 这题我们请总经理来为我们说明
[1242.48-1245.48] 谢谢线上先进的提问
[1245.48-1247.48] 经约以技术为导向
[1247.48-1249.48] 很乐意回答这样的问题
[1249.48-1252.48] 我们看准AI作为暗房的重点
[1252.48-1257.48] 经约通讯提供从入门到高阶的AGE AI摄影机
[1257.48-1262.48] 并配合身体VSS的智能影像监控管理软体
[1262.48-1265.48] 以及智慧云端暗房平台的Vortex
[1265.48-1266.48] 提供智能影像分析
[1266.48-1268.48] 深度影像搜寻的功能
[1268.48-1271.48] 这些AI功能也是因为我们有自制
[1271.48-1275.48] 硬体跟自开发软体的能力
[1275.48-1278.48] 所以能够快速回应客户的需求
[1278.48-1280.48] 提升暗房效率
[1280.48-1283.48] 同时AGE AI也取代数据中心运算
[1283.48-1286.48] 跟传输的高耗能
[1286.48-1288.48] 帮客户打造安全环境
[1288.48-1290.48] 之际也能强化永续发展
[1290.48-1294.48] 甚至我们现在在开发节能的方案
[1294.48-1298.48] 还有研究如何能够加强B端
[1298.48-1300.48] 来节省跟资料中心之间
[1300.48-1305.48] 传输刚刚提到还有储存的这些成本
[1305.48-1309.48] 感谢总经理的详细分享
[1309.48-1311.48] 那接下来有朋友问到说
[1311.48-1315.48] 想请教对于海外国家的整体布局为何
[1315.48-1318.48] 这题我们请总经理来为我们说明
[1318.48-1321.48] 目前Vortex除了在美国、日本
[1321.48-1324.48] 还有台湾、纽澳市场生耕
[1324.48-1327.48] 也已进军英国和欧洲等区域
[1327.48-1330.48] 并且从AI影像分析的方向
[1330.48-1332.48] 我们也有提供了很多的设计技术
[1332.48-1334.48] 跟云端服务来帮助企业
[1334.48-1336.48] 增加提升营运的效率
[1336.48-1338.48] 谢谢总经理的分享
[1338.48-1340.48] 那接下来这一题呢
[1340.48-1342.48] 有朋友问到说公司ODM
[1342.48-1346.48] 以及自由品牌的策略发展为何
[1346.48-1349.48] 这题我们请总经理来为我们说明
[1349.48-1353.48] 今天消息采取ODM业务
[1353.48-1356.48] 跟自由品牌OBM并行的行销策略
[1356.48-1358.48] 在代工方面以专业的研发设计
[1358.48-1360.48] 跟生产制造设施来解决问题
[1360.48-1362.48] 并且提供符合客户跟市场需求的产品
[1362.48-1364.48] 包括这些关键物料的选用
[1364.48-1366.48] 还有影像的调教
[1366.48-1368.48] 那在品牌的方面
[1368.48-1370.48] 我们打造AI整体的解决方案
[1370.48-1372.48] 包括完整的网路安全监控产品
[1372.48-1374.48] 搭载AI影像技术
[1374.48-1376.48] 并且发展智慧影像辨识功能
[1376.48-1378.48] 希望以更好的使用者体验
[1378.48-1380.48] 来打造我们的产品
[1380.48-1382.48] 并且提供更多的课程
[1382.48-1384.48] 并且提供更多的课程
[1384.48-1386.48] 并且提供更多的课程
[1386.48-1388.48] 并且提供更多的课程
[1388.48-1390.48] 并且提供更多的课程
[1390.48-1392.48] 来想改变我们的品牌
[1392.48-1394.48] 留住客户
[1394.48-1396.48] 谢谢总经理的分享
[1396.48-1398.48] 下一题我们有朋友问到说
[1398.48-1400.48] 想请教公司如何争取
[1400.48-1402.48] 附讯品牌
[1402.48-1404.48] 或制造商
[1404.48-1406.48] 在NDAA效益下
[1406.48-1408.48] 展示出来的市场份额
[1408.48-1410.48] 那请发言人来为我们说明
[1410.48-1412.48] 青园同学会持续争取市场的份额
[1412.48-1414.48] 透过遵守
[1414.48-1416.48] 国防授权法
[1416.48-1418.48] 贸易协定法
[1418.48-1420.48] 一般资料保护
[1420.48-1423.16] 规则GDPR的规范
[1423.16-1425.52] 确保为客户提高最高标准的
[1425.52-1426.94] 网络安全及合规
[1426.94-1430.26] 让客户安心地采用精锐的解决方案
[1430.26-1433.34] 同时继续发展安防产业的两大趋势
[1433.34-1435.74] 包括AI和Cloud
[1435.74-1438.72] 提供创新和差异化的服务
[1438.72-1440.82] 打造具有市场竞争力的服务
[1440.82-1443.62] 如智慧安防云端平台Vortex
[1443.62-1446.84] 资料中心坐落在美国、日本、澳洲、德国
[1446.84-1449.34] 来强化安防的效应
[1449.34-1451.90] 谢谢大家的分享
[1451.90-1453.38] 下一题呢
[1453.38-1454.48] 有朋友问到说
[1454.48-1458.26] 想请教公司生产基地部件的进度为何
[1458.26-1462.66] 那规划泰国及美国社厂的进度为何
[1462.66-1465.20] 这题我们请总经理来为我们分享
[1465.20-1469.42] 新闻透析除了既有的越南产线外
[1469.42-1470.98] 我只在海外
[1470.98-1473.58] 今年第一季也新增了泰国产线
[1473.58-1474.82] 并且开始量产
[1474.82-1476.38] 越过泰国产线
[1476.38-1478.86] 约占全年的产值的20%
[1478.86-1481.22] 至于在美国市场布局
[1481.22-1484.06] 目前有相对的成本难度
[1484.06-1485.82] 也不排除有这样的需求
[1485.82-1488.42] 不过目前我们还是会
[1488.42-1490.70] 专注在台湾跟东南亚
[1490.70-1492.74] 未来会善用集团的资源
[1492.74-1495.00] 看如何满足客户的需求
[1495.00-1498.44] 并且来规避这些政策
[1498.44-1500.42] 造成营运上面成本的增加
[1500.42-1502.98] 谢谢总经理的说明
[1502.98-1505.96] 那目前我们已经收到各位的提问
[1505.96-1508.24] 将于整理后同一座回复
[1508.24-1508.82] 谢谢
[1508.86-1510.86] 谢谢
[1568.86-1570.86] ,谢谢总经理的分享
[1570.86-1572.86] 下一题有朋友问到说
[1572.86-1574.86] 想请教产品从前端安控镜头
[1574.86-1576.86] 到后方的系统管理
[1576.86-1578.86] 是否需高度的客制化
[1578.86-1580.86] 那公司针对硬体及云端服务的
[1580.86-1582.86] 营运收费方式为何
[1582.86-1584.86] 是否有许多经常性收入
[1584.86-1586.86] 这题我们请总经理来为我们说明
[1586.86-1588.86] 谢谢同事
[1588.86-1589.86] 谢谢总经理
[1589.86-1590.86] 谢谢总经理
[1590.86-1591.86] 谢谢总经理
[1591.86-1592.86] 谢谢总经理
[1592.86-1593.86] 谢谢总经理
[1593.86-1594.86] 谢谢总经理
[1594.86-1595.86] 谢谢总经理
[1595.86-1596.86] 谢谢总经理
[1596.86-1597.86] 谢谢总经理
[1597.86-1598.86] 谢谢总经理
[1598.86-1624.86] 谢谢
[1625.82-1625.86] 谢谢
[1625.86-1627.86] 谢谢
[1628.86-1632.18] 来加速云端生态系统的合作
[1632.18-1634.48] 伙伴的整合效率
[1634.48-1636.38] 提升监控服务水准
[1636.38-1639.28] 来满足更广泛的使用者的需求
[1639.28-1641.72] 谢谢总经理的说明
[1641.72-1643.62] 下一题我们要问到说
