[0.00-5.56] 那现在时间是下午2点
[592.62-595.62] 加上职保事业的毛利提升
[595.62-600.62] 营业利益率跟税后净利率
[600.62-603.62] 跟去年同期比看起来都是差不多的
[603.62-607.62] 接下来负债比的部分
[607.62-613.62] Q1的负债是49.2%
[613.62-617.62] Q1因为有宣告股利分配的关系
[617.62-620.62] 所以它通常Q1的负债比
[620.62-625.62] 都会比年底的负债略为提高
[625.62-630.62] 但是如果一样都看第一季的同期比的话
[630.62-634.62] 其实今年的负债比还是有比去年同期
[634.62-637.62] 减少了2.1个%
[637.62-641.62] 接下来股利分配的部分
[641.62-644.62] 新农公司一直以来都是以
[644.62-646.62] 维持稳定的获利
[646.62-648.62] 稳定的股利政策为目标
[648.62-650.62] 2024年的EPA
[650.62-651.62] 也是2.5%
[651.62-654.62] 董事会的决议也是分配2.5%
[654.62-656.62] 发放比例是100个%
[656.62-658.62] 殖利率是5.9%
[658.62-662.62] 也已经在4月16号发放
[662.62-665.62] 以上是股利分配的情形
[665.62-667.62] 以上说明
[670.62-673.62] 非常感谢经营团队精彩的简报
[673.62-676.62] 接着是意见交流环节
[676.62-678.62] 如果各位先进针对以上的内容
[678.62-680.62] 有任何问题
[680.62-682.62] 欢迎透过聊天室的功能
[682.62-685.62] 将您的问题写在聊天室
[685.62-687.62] 我会将您的问题转述一遍
[687.62-693.62] 在这之前我们有收集到几个提问
[693.62-696.62] 我这边作代为提出
[696.62-698.62] 首先想要请教经营团队
[698.62-701.62] 新农今年各个季度的展望
[701.62-704.62] 以及毛利跟费用是如何
[704.62-705.62] 能否分享
[705.62-706.62] 谢谢
[710.62-721.62] 谢谢各位先进的提问
[721.62-722.62] 首先说明
[722.62-727.62] 新农公司并没有公告财务预测
[727.62-729.62] 所以对未来的展望
[729.62-732.62] 依照交易所的规定
[732.62-735.62] 并不会有明确的说明
[735.62-738.62] 我们来看1到4月的营收
[738.62-740.62] 刚刚提到的
[740.62-742.62] 包括整个新农公司一直以来
[742.62-744.62] 所发展的营业项目
[744.62-745.62] 还有营收
[745.62-747.62] 还有在全球各地的比例
[747.62-750.62] 都是相当的分布均匀
[750.62-752.62] 然后整个营收也是很稳定
[752.62-754.62] 我们有内销有外销
[754.62-756.62] 看今年1到4月
[756.62-760.62] 营收跟去年是相当
[760.62-763.62] 如果细分到比较细的部门
[763.62-764.62] 有增有减
[764.62-767.62] 用这个趋势来看的话
[767.62-769.62] 对未来的展望
[769.62-772.62] 我们还是依据这样子一个稳定
[772.62-775.62] 稳定的趋势来发展
[775.62-778.62] 至于在毛利方面费用方面
[778.62-779.62] 刚刚提到过
[779.62-781.62] 在第一季其实整个费用
[781.62-787.62] 除了独立实验支出比较增加
[787.62-788.62] 事实上独立实验支出
[788.62-790.62] 算是一种研发
[790.62-792.62] 之前在法国会上
[792.62-794.62] 我们有跟各位分享过
[794.62-798.62] 植物保护这个产业需要持续在
[798.62-802.62] 全球各地去做注册
[802.62-804.62] 有了注册才有药证
[804.62-805.62] 有药证才有营收
[805.62-807.62] 有营收才有利益
[807.62-811.62] 所以我们一直持续在做这一些
[811.62-813.62] 药证登记的工作
[813.62-815.62] 药证登记的工作在前面有很大一块
[815.62-817.62] 是要做独立实验
[817.62-819.62] 独立实验用白话讲就是要证明
[819.62-821.62] 这支药对土壤
[821.62-823.62] 对空气
[823.62-826.62] 对人是没有影响的
[826.62-828.62] 这个药才能够上市
[828.62-831.62] 所以我们花很多的预算
[831.62-833.62] 来做各项药证的准备
[833.62-836.62] 所以今天第一季的费用有增加
[836.62-838.62] 也是算这种药证的登记
[838.62-842.62] 防疫来讲那类似一个研发费用
[842.62-846.62] 所以整个展望未来
[846.62-848.62] 各季的发展
[848.62-851.62] 从过去我们所有财务报表来看
[851.62-856.62] 对未来我们还是一个稳定的发展趋势
[856.62-857.62] 谢谢
[858.62-861.62] 谢谢发言人的解答
[861.62-863.62] 如果聊天室有
[863.62-865.62] 如果各位先进有任何问题
[865.62-868.62] 那就欢迎透过聊天室的功能留言提问
[868.62-869.62] 谢谢
[883.62-885.62] 感谢先进提问
[885.62-887.62] 现在全球最
[888.62-891.62] 投资人最想了解的课题
[891.62-895.62] 应该就是关税跟汇率这两个议题
[895.62-897.62] 首先来讲关税
[897.62-902.62] 刚我们有全球分布的情形来看
[902.62-905.62] 我们是全球分布很均匀
[905.62-907.62] 针对美国的客户
[907.62-908.62] 纯粹美国的客户
[908.62-916.62] 刚刚看到是北美洲是
[916.62-918.62] 刚刚的简报内容里面
[918.62-923.62] 整个美洲是占15%
[923.62-925.62] 但事实上这是全美洲
[925.62-929.62] 如果因为南美有我们自己的子公司在这里
[929.62-931.62] 所以说再把它拆分开的话
[931.62-935.62] 事实上我们在纯粹在美国的营收
[935.62-937.62] 占集团的合并营收比例
[937.62-940.62] 首先说明并不高
[940.62-941.62] 第二个
[941.62-943.62] 因为他的交易条件有很多种
[943.62-945.62] 简单来讲
[945.62-947.62] 我们这些假设关税有所影响的话
[947.62-951.62] 都可以转嫁由客户来负担
[951.62-954.62] 所以关于关税这个议题的话
[954.62-958.62] 目前从4月8日以来到现在
[958.62-962.62] 我们的评估是对整个公司财务上
[962.62-964.62] 并无重大影响
[977.62-982.62] 好
[982.62-984.62] 这个关于汇率的问题
[984.62-988.62] 刚刚的简报内容有提到我们地区别的销售占比
[988.62-991.62] 我们台湾占53%
[991.62-993.62] 中国占13%
[993.62-996.62] 这两个占比66%
[996.62-999.62] 这些都跟美元没有相关
[999.62-1002.62] 在中国主要是人民币在交易
[1002.62-1004.62] 在台湾当然是新台币
[1004.62-1006.62] 所以扣掉66之后
[1006.62-1011.62] 当然有34%很多是用美元在交易的
[1011.62-1012.62] 但是这个美元
[1012.62-1017.62] 因为这些在其他的像美洲
[1017.62-1019.62] 欧洲亚洲
[1019.62-1022.62] 我们这些主要都是植物保护剂
[1022.62-1024.62] 过去也有先进有提到过
[1024.62-1026.62] 我们这个植物保护剂
[1026.62-1028.62] 它的供应来源
[1028.62-1031.62] 事实上主要不是台湾在供应
[1031.62-1035.62] 很多都是采购至中国大陆或印度
[1035.62-1039.62] 因为它才是全球主要植物保护剂的供应厂商
[1039.62-1043.62] 所以我们对外销售是美元报价
[1043.62-1047.62] 但是我们的进货也是用美元计价
[1047.62-1051.62] 所以我们的收美元付美元
[1051.62-1056.62] 在这个情况下有很多的美元就自然避险掉了
[1056.62-1058.62] 那扣除这一块之后
[1058.62-1061.62] 我们还有进行各项的避险措施了
[1061.62-1064.62] 所以以上说明了这些
[1064.62-1066.62] 主要跟大家说明说
[1066.62-1069.62] 这个目前汇率的影响
[1069.62-1071.62] 当然这几天好像也比较平稳了
[1071.62-1076.62] 没有像前面几天影响那么大
[1076.62-1079.62] 但是整个要最后说明说
[1079.62-1083.62] 这些汇率的影响目前对本公司
[1083.62-1086.62] 并无重大的财务影响
[1086.62-1089.62] 所以上面有说有先进提到
[1089.62-1092.62] 关税跟汇率总结来讲
[1092.62-1094.62] 我们这个对我们的
[1094.62-1097.62] 财务目前并无重大影响
[1097.62-1098.62] 好谢谢
[1124.62-1129.62] 谢谢
[1154.62-1184.62] 
[1184.62-1214.62] 
[1214.62-1244.62] 
[1244.62-1274.62] 
[1274.62-1304.62] 
[1304.62-1334.62] 
[1334.62-1364.62] 
[1364.62-1394.62] 
[1394.62-1424.62] 
[1424.62-1454.62] 
[1454.62-1484.62] 
[1484.62-1514.62] 
[1514.62-1520.62] 那这边如果各位先进
[1520.62-1522.62] 没有进一步的提问的话
[1522.62-1525.62] 那我们本场就到这边告一个段落
[1525.62-1529.62] 那今天非常感谢信荣股份有限公司的经营团队
[1529.62-1531.62] 那也感谢各位先进的参与
[1531.62-1534.62] 那庆祝各位投资顺利身体健康
[1534.62-1535.62] 谢谢
[1535.62-1538.62] 好谢谢群一姐你认证
[1538.62-1540.62] 也谢谢各位投资先进
[1540.62-1541.62] 信荣公司谢谢大家
[1544.62-1545.62] 谢谢大家
