[0.00-3.32] 请到南天的Kurt 蒋博森经理来给我们大家读讲
[3.58-5.16] 那现在时间我们就先交给
[279.42-283.76] 第三季就是三边组合就是受益于800G的switch的开的量
[284.02-286.08] AIP是因为量比较大
[286.58-288.12] 那整体的UDR上来
[288.38-294.26] 然后我们的营业利率在第三季就大概到10%
[294.78-296.06] 第四季就是
[296.36-298.40] 受到消费性电子单阶的影响
[298.66-300.46] 那UTR有开下伙点
[300.96-305.58] 所以我们在四季的本业部分有种规则
[305.84-307.36] 营业利率是负的
[307.88-308.90] 负5%
[311.46-312.74] 那这个是我们的
[313.00-314.54] 第三年的应用比
[314.80-316.58] 我们可以看到就是
[316.84-319.92] 去年来讲的话PC还是相对比较
[320.42-321.20] 需求比较多一点
[321.44-324.78] 然后我们的营收比重跟二三年是持平的
[326.36-330.46] 然后这个就是我们的网通账名
[331.74-335.32] 去年来讲就是大家的网络都不行还是在发展
[336.60-338.90] 其实上帝为主啊
[340.96-345.82] 所以投资客户这边的需求就下滑
[351.96-355.80] 消费性电子一样就是没有去年没有太明显的改善
[356.36-360.72] 那所以营收比重跟二三年是持平的
[361.22-363.78] 那汽车部分因为价格竞争比重
[364.04-366.60] 然后再加上去年汽车的销售
[368.14-369.68] 所以状况也不是太好
[369.92-370.70] 那所以
[370.96-371.46] 供应链
[383.50-384.26] 最后的
[384.52-386.32] 他的部分主要是我们的AE
[386.62-387.12] HP
[387.38-389.94] 那这个部分是相对需求相对稳健
[390.20-392.24] 所以营收比重是比特
[397.12-400.44] 那个我们未来的产品方向是以三代产品来讲
[400.70-403.26] ABF会持续跟客户合作
[403.76-405.04] 不管是这个
[405.30-407.36] 客户端的AI或是disk端的AI
[407.60-408.64] 我们都会
[409.92-411.44] 那我们会开发
[412.48-413.50] AI的设备器
[413.76-415.54] 然后还有AIC
[415.54-419.38] 还有C9的PC的CPU
[419.90-423.74] 还有那个资料中心的处理器
[424.24-425.78] 还有那个高速的交通计划路由器
[426.54-428.08] 还有WiFi的网路晶片
[428.34-431.42] 然后我们在车业这边有一个无奈米的
[431.92-433.98] 处理器载版回应车
[436.28-437.82] 那BG的话我们一样就是
[438.06-441.66] 去专注在我们SIP这边的一个高级化图片发展
[441.90-443.44] 那今年的SIP我们会
[443.96-445.50] 跟客户共同量产
[445.80-447.34] 就是前通动测组
[447.58-448.36] 然后
[448.62-450.66] 像是这个改革器这些SIP
[450.92-453.74] 那同时我们会争取光工讯市场开始轨
[454.76-457.82] 然后我们会开始量产一些光运晶片跟5G
[458.08-461.66] 光收发器模组这些应用载版
[462.18-465.26] 那我们也开始在卫星领域开始有一些
[465.50-466.78] 一些Exposure
[467.04-469.86] BT这边也会一些快卫星
[471.14-472.16] 运转到卫星的
[472.42-474.22] 接收器应用载版
[476.30-477.58] 那一般电路展来的
[477.84-478.86] 然后我们
[479.12-481.94] 当然是持续收到资料中间带动HDMI跟
[482.46-483.22] 收成版需求
[483.48-484.76] 然后我们会开始
[485.02-486.54] 已经会继续量产
[486.80-488.34] AI伺服器的加速卡
[488.60-491.42] 然后还有新世代伺服器的网控卡这些
[491.92-492.94] SERVER产品
[494.22-498.84] 那因为电源模组这些也是会需求量也持续增加
[499.10-499.60] 我们会开
[500.38-503.70] 高级伺服器的一些高频成量然后去扩大我们
[503.96-505.50] 资料中心应用站的缺乏
[505.80-506.82] 我们的产品组合
[510.14-513.22] 那我们的后年运营社区就是一样
[513.74-515.02] 就是会有四个
[515.52-518.60] 总产品转型、事业转型、数位转型跟链转型
[519.10-522.18] 那我们会持续提升高质化产品的一些比重
[522.44-523.72] 然后拓展成的应用
[524.22-527.56] 那我们会开发新的材料啊新的技术
[528.06-529.34] 然后去研发公司的产业品区
[529.60-532.94] 然后也是持续在利用AI数位科技去
[533.18-534.72] 改造我们的一些operation
[534.98-535.50] 然后让我们的
[535.80-536.82] 营运更加质地够
[537.34-541.18] 那我们也是在进一步扩大绿电的使用然后简单简单都是
[541.42-541.68] 循环的
[541.94-543.74] 那以上是
