[0.72-3.08] 各位線上參與的投資先進
[255.24-257.24] IC載板年增率達到75.6%
[257.24-259.24] 佔比3.3%
[259.24-261.24] 提升到5.2%
[261.24-263.24] 電腦消費佔比提高到25.9%
[263.24-265.24] 電腦消費佔比提高到25.9%
[265.24-267.24] 伺服器、車載、光通訊及其他佔比
[267.24-269.24] 伺服器、車載、光通訊及其他佔比
[269.24-271.24] 提高到4.7%
[271.24-273.24] 麻煩第九頁
[273.24-275.24] 麻煩第九頁
[275.24-277.24] 公司整體現金部位充裕
[277.24-279.24] 公司整體現金部位充裕
[279.24-281.24] 公司整體現金部位充裕
[281.24-283.24] 現金及約當現金較去年年底
[283.24-285.24] 現金及約當現金較去年年底
[285.24-287.24] 增加了138.6億元
[287.24-289.24] 另外負債比部分也有去年年底的44.7%
[289.24-291.24] 另外負債比部分也有去年年底的44.7%
[291.24-293.24] 降到今年12月底的42.8%
[293.24-295.24] 降到今年12月底的42.8%
[295.24-297.24] 負債比維持在健康水準
[297.24-299.24] 負債比維持在健康水準
[299.24-301.24] 平均收現日數及平均銷貨日數較去年同期劣減
[301.24-303.24] 平均收現日數及平均銷貨日數較去年同期劣減
[303.24-305.24] 平均收現日數及平均銷貨日數較去年同期劣減
[305.24-307.24] 銷貨、營收賬款及存款持續維持良好的管理
[307.24-309.24] 銷貨、營收賬款及存款持續維持良好的管理
[309.24-311.24] 總結,公司不斷成長和茁壯
[311.24-313.24] 總結,公司不斷成長和茁壯
[313.24-315.24] 同時公司擁有健康及強健的財務能力
[315.24-316.24] 同時公司擁有健康及強健的財務能力
[316.24-318.24] 同時公司擁有健康及強健的財務能力
[322.24-324.24] 歷經成果,歷年營運會保持在盈利狀態
[324.24-326.24] 歷經成果,歷全營運會保持在盈利狀態
[326.24-327.74] 歷年營運會保持在盈利狀態
[327.74-331.24] 在今天早上董事會決議,每年度配發現金積利週四加上四百元
[331.24-333.24] 在今天早上董事會決議,每年度配發現金積利週四加上四百元
[333.24-335.24] 在今年早上董事會決議,每年度配發現金積利週四加上四百元
[335.24-339.24] 以上報告完畢,謝謝
[339.24-341.24] 以上報告完畢,謝謝
[341.24-343.66] 好,謝謝江財務長的報告
[343.66-348.58] 接下來讓我們歡迎沈清芳董事長及集團策略長
[348.58-352.20] 來為大家介紹真頂的策略布局,謝謝
[352.20-356.28] 好,各位投資界朋友們,大家下午好
[356.28-364.68] 我想把整個營運成果的回顧跟未來展望
[364.68-366.40] 跟各位做一個說明報告
[366.40-368.66] 剛剛在財務長特別報告
[368.66-370.34] 我想我們在世代應用面部分
[370.34-373.84] 都算歷史新高
[373.84-378.96] 當然在1G、2G的一個策略的一個布局下
[378.96-381.96] 我想真頂的產品線有更多元化的分散
[381.96-386.16] 伺服器、車載、光通信、IC載板、合計營運所貢獻度
[386.16-389.42] 也有前一年的7.4%提高到9.9%
[389.42-390.58] 所以我講整體而言
[390.58-397.06] 真頂全球PCB市佔率也一步如期提升到7.3%
[397.06-399.66] 也就是比前年提升到7.3%
[399.66-400.32] 那儘管在這個前期的貿易戰略中
[400.32-402.82] 在整體這個環境充滿了變數
[402.82-406.26] 但是邊緣AI的一個裝置的快速崛起
[406.26-409.78] 當然包括AI手機、AI PC、智慧眼鏡
[409.78-411.74] 人型機器人、智能車等
[411.74-416.88] 正加速推動PCB技術升級跟產品結構設計的變化
[416.88-420.14] 同時AI伺服器、光通信跟IC載板的高階產品
[420.14-422.34] 亦將隨客戶需求放大
[422.34-425.66] 所以預計今年四大產品線將接會成長
[425.66-427.94] 其中AI相關產品
[427.94-428.92] 去年是45%
[428.92-430.16] 今年應該會拉到70%以下
[430.32-433.14] 那在泰國新廠的第一期
[433.14-436.60] 我們準備預計在5月8號就要試產
[436.60-439.00] 那我想下半年就可以小量生產
[439.00-442.92] 同時第二期的廠房也將在5月8號同時動工
[442.92-446.46] 也就是公司正積極投入支援開拓新產品
[446.46-451.50] 爭取在泰國產能投產或能夠順利切入更多的一線客戶
[451.50-456.40] 同時高雄AI延期預計也將投入100億元
[456.40-459.46] 過制招接ABF跟載板的設備
[459.46-459.48] 那個硬板的設備也將投入100億元過制招接ABF跟載板的設備
[459.48-460.30] 那個硬板的設備也將投入100億元過制招接ABF跟載板的設備
[460.32-467.02] 我想預期泰國高雄兩座新廠效益將在2026-2027年逐步發酵
[467.02-469.42] 那我想這也特別要跟各位介紹
[469.42-471.12] 就是這一次我們聘請
[471.12-476.22] 聘任這個原來清華大學的廠務副校長簡正富總經理
[476.22-478.72] 來擔任我們公司的總經理
[478.72-480.92] 我想簡正富的在
[480.92-484.52] 他過去在有豐富的這個學界跟產業的歷練
[484.52-488.32] 那協助公司在五大方面加速的發展
[488.32-489.96] 包括智慧製造工業工程
[489.96-490.12] 包括智慧製造工業工程
[490.12-492.62] AI 賦能半導體產業的連結
[492.62-494.72] 以及產業合作的研究部分
[494.72-499.72] 那我想這經營的經營團隊將由我本人來擔任董事長
[499.72-501.52] 即集團策略長
[501.52-503.52] 然後做一整個策略的布局
[503.52-506.62] 那總經理在推動數位轉型跟賦能
[506.62-510.42] 那營運長的部分就負責整個管理跟執行的
[510.42-513.12] 所以我想我們三個人應該算是鐵三角
[513.12-517.32] 業界應該沒有那麼那麼那麼完整的一個鐵三角的一個部件
[517.32-519.76] 目的也是提升整個經營效力跟加速
[519.76-521.96] 這個所謂的轉型
[521.96-530.16] 那我想簡單也把我們簡稱為簡總的簡單的協經理背景跟各位做一個介紹
[530.16-535.76] 我想簡校長他是1966年生的
[535.76-538.16] 台灣桃園大溪人
[538.16-540.96] 那這個他是清華大學公共系
[540.96-544.46] 然後我是康勳的工業工程的壽司博士
[544.46-549.66] 96年回臺以後就一直在擔任清華大學的這個工業工程的
[549.76-550.76] 教授
[550.76-555.56] 然後最後也當到系主任這個這個這個這個院長
[555.56-557.06] 那一直在清華大學
[557.06-559.06] 但中間呢也擔任
[559.06-559.76] 台積電
[559.76-562.36] 03年到台積電的顧問啦
[562.36-563.86] 兩華科的顧問啦
[563.86-565.66] 還有這個台達電的顧問有待觀念
[565.66-568.86] 最重要是他在2005年到08年
[568.86-572.36] 擔任介調在台積電當工業工程處的副處長
[572.36-576.66] 我想這個對他在在所謂的一個產業界的歷練
[576.66-579.76] 應該在在業在協計裡面應該少有的
[579.76-582.76] 那當然他也加入17年到19年
[582.76-587.06] 也擔任科技部的一個工業工程跟管理學門的一個召集人
[587.06-588.76] 那在2020年的時候
[588.76-593.76] 我們就這個這個招攬他能夠來協助公司
[593.76-597.76] 做一個所謂的一個在剛剛提了幾個方向
[597.76-600.76] 協助公司做的那時候在擔任我們的讀董
[600.76-605.26] 那也參與我們的經營策略委員會的一個一個成員之一
[605.26-609.76] 那在2022年的時候就擔任清華大學的一個執行副校長
[609.76-613.76] 跟副校長到二月底離開
[613.76-616.76] 那我想我想把他在大樹基也好
[616.76-617.76] 半導體製造智慧製造
[617.76-620.76] 數位結測啊或者藍湖策略工業3.0
[620.76-624.76] 我就都有很很豐富的這個產學經驗
[624.76-627.76] 好簡單跟各位分享他的一個背景
[627.76-628.76] 好再下來
[631.76-633.76] 那我想營收的表現剛才特別談到
[633.76-636.76] 我想我們在都比業界平均值還要高
[636.76-638.76] 那已經聯席第八年
[639.76-648.76] 世界世界第一的一個一個一個一個一個一個一個一個一個PCB的一個一個公司
[648.76-650.76] 好再下來
[650.76-652.76] 那
[652.76-656.76] 那我想這個從這些數據可以看到就是說
[656.76-661.76] 雖然說2023年衰退15%整個PCB根據BRIST MARK
[661.76-663.76] 那2024年一股大概成長百分之
[663.76-665.76] 大概一期成長百分之5.8
[665.76-667.76] 那二五年還會繼續成長到6.8
[667.76-669.76] 那我想不管
[669.76-674.76] 過往到現在為止我們都會成長都會比業界的平均值還要高
[674.76-676.76] OK再下來
[677.76-682.76] 那我想過往這是我當時見過的一個策略發展策略
[682.76-687.76] 就1DT的關聯也是提倡提供前方位的AI應用手機的載板
[687.76-692.76] 那不管在十四大國內我們現在都已經部件很完整
[692.76-695.76] 那當然有些還不是做得很很很好的地方
[695.76-696.76] 我們一直在所謂同胞理論一直準備把它更完整的做得很好的地方
[696.76-699.76] 我們一直在所謂同胞理論一直準備把它更完整的做得很好的地方
[699.76-702.76] 能夠在四大國內都能夠很齊全
[702.76-704.76] 就像頂一樣四隻腳
[704.76-707.76] 那未來我想AI方向很明確很明確
[707.76-712.76] 所以在營管端的AI部分我們將打入前方位的一個應用上
[712.76-715.76] 那我想營的部分大家都很清楚AI伺服器啦
[715.76-720.76] 這個邊緣營運的一個伺服器或者高速運算的記憶體
[720.76-724.76] 那管的部分就是光通訊也好交換機基地台的部分
[724.76-726.76] 對大量其實是在端的部分
[726.76-731.76] 那端的部分從AI手機AIPC AI平板到AI的穿試
[731.76-733.76] AI VR 眼影座
[733.76-735.76] 然後跟車載相關的
[735.76-737.76] 所以我想尤其大量的
[737.76-740.76] 對我們來說大量還是在端的部分
[740.76-742.76] 所以剛剛為什麼特別談到
[742.76-746.76] 就是說你看我們2023年的時候其實應用在AI的產品在百分之八
[746.76-748.76] 去年已經達到百分之四十五
[748.76-752.76] 那今年我們一股大概會達到百分之九十百分之七十以上
[752.76-754.76] 這也代表說我們整個策略布局
[754.76-758.76] 只是跟上時代潮流在發展
[762.76-763.76] 那我想泰國的
[763.76-765.76] 剛剛特別談到泰國的部分
[765.76-769.76] 那我想我們泰國的這個八幀第一期的工程
[769.76-771.76] 已經在二月份開始裝機
[771.76-773.76] 現在如何如何自己在進行裝
[773.76-775.76] 那195月8號試產
[775.76-777.76] 下半年就可以小量生產
[777.76-780.76] 同時當天我們也會進行第二期工程
[780.76-782.76] 這個同時動土生產
[782.76-783.76] 那最主要
[783.76-789.76] 第一期來說我們最主要是在高階伺服器車載光通性的相關應用的部分
[789.76-794.76] 那當然提供高階的所謂的一個RPCB HDI的產品
[794.76-799.76] 那目前正積極投入所有的資源來開拓新產品
[799.76-804.76] 爭取在泰國產能投產後順利能夠切入更多的一線客戶
[804.76-811.76] 那高雄的這個AI延期
[811.76-817.76] 是真正應對對應AI市場需求重要的一個研發技生產基地
[817.76-819.76] 專注提供高階產品為主
[819.76-821.76] 那其中IC載光通性部份
[821.76-823.76] 我想這個已經我們也公告
[823.76-826.76] 就是準備投入80億元的購買設備
[826.76-829.76] 我想長房也不含在你長房已經蓋好了
[829.76-836.76] 建置前流程的一個先進封裝的Flexible BGA的一個量產廠藝
[836.76-839.76] 那在高層數跟高密度的
[839.76-842.76] 就拍了要看HDI的PCB
[842.76-845.76] 我想也公告過了我們準備投入20億元買設備
[845.76-848.76] 建置產能那目前都在如何如何進行中
[848.76-851.76] 那當然軟板的部分已經進入市場階段
[855.76-858.76] 那我想強化全球的產能部級
[858.76-859.76] 提供客戶的需求
[859.76-860.76] 追求穩健的增長
[860.76-863.76] 這是我們一項一項這樣子
[863.76-865.76] 所以在今年的資本支出部分
[865.76-867.76] 當然今年資本支出有稍微有一點
[867.76-869.76] 有一點這個降幅的增長
[869.76-871.76] 但是我想在業界還是算是
[871.76-873.76] 應該算是大量投資
[873.76-875.76] 那今年的數字一定會比這個高
[875.76-878.76] 因為我想剛剛從剛剛的高雄的部級
[878.76-880.76] 或者泰國的部級
[880.76-885.76] 尤其在今年我們也會持續在投入大陸跟海外產能扣
[885.76-886.76] 大陸方面
[886.76-891.76] 真頂不僅將車載板或者儲能軟板的產能
[891.76-893.76] 在大陸還要再繼續扣
[893.76-897.76] 那延期也會配合客戶建置氣瓶井所需的高階產能
[897.76-899.76] 那海外部分我想
[899.76-901.76] 我對於市場應用的高階產能計畫
[901.76-903.76] 剛剛特別談到的高雄泰國廠
[903.76-906.76] 作為長期的一個成長電電基礎
[906.76-908.76] 我一直認為就是說
[908.76-912.76] 我們是完全貼近客戶的需求去做部級
[912.76-916.76] 假如從純粹從生產基地的條件來說的話
[916.76-918.76] 我市場應用事計畫的形容
[918.76-920.76] 我說不管政府的效力
[920.76-921.76] 基礎建設
[921.76-923.76] 或者是這個供應鏈的完整性也好
[923.76-924.76] 人才也好
[924.76-928.76] 其實假如不因為客戶的變貨電政治關係
[929.76-932.76] 而是因為客戶的生產的基地最好還是在大陸
[932.76-934.76] OK 接下來
[936.76-938.76] 我想這部分我就不詳說
[938.76-941.76] 就是說我們致力推動EPS跟ESG
[941.76-945.76] 我們也得到很多的優秀的評比
[945.76-947.76] 而且每年都在精進中
[947.76-950.76] 我想這是永續經營也是必須要走的一條路子
[950.76-955.76] 我想我們在業界也算是走的最先進
[955.76-957.76] 比方講說在2020年的
[957.76-959.76] ASP Global的ESG上
[959.76-961.76] 我們進步到78文
[961.76-968.76] 也是唯一台灣一家進入的PCB廠的PCB公司
[968.76-969.76] 我想這些我就不多說
[969.76-970.76] 好 謝謝
[970.76-974.76] 好 再來
[974.76-976.76] 好 謝謝大家
[976.76-977.76] 我先把全部簡單報告
[977.76-978.76] 謝謝
[978.76-980.76] 好 謝謝沈董的說明
[980.76-983.76] 那接下來我們請簡森副總經理
[983.76-984.76] 為大家介紹一下
[984.76-987.76] 真鼎的數位轉型與賦能
[987.76-988.76] 好
[989.76-990.76] 董事長Alex
[990.76-992.76] 還有各位先進大家好
[992.76-995.76] 首先非常榮幸能夠加入真鼎科技集團
[995.76-998.76] 那成如剛剛董事長所播化的
[998.76-1000.76] 這個鐵三角的一個經營策略
[1000.76-1004.76] 未來在推動公司的數位轉型
[1004.76-1006.76] 還有串聯半導體產業鏈
[1006.76-1008.76] 分成由內跟外來看
[1008.76-1011.76] 就營運面來講整個數位轉型
[1011.76-1014.76] 包括全公司的數位轉型委員會
[1014.76-1017.76] 也包括它轄下的數位轉型中心
[1017.76-1020.76] 這裡面有包括智慧製造的solution
[1020.76-1023.76] 還有AI CIM
[1023.76-1025.76] 然後工業工程等等的部門
[1025.76-1028.76] 然後透過技術的發展來達到一個賦能的目的
[1028.76-1031.76] 那另外一方面整個產業鏈是希望讓
[1031.76-1034.76] 真鼎科技集團對標到我們的客戶
[1034.76-1035.76] 包括AI的客戶
[1035.76-1037.76] 包括半導體產業鏈的客戶
[1037.76-1041.76] 所以過去會藉助我原來在產業的一些關係
[1041.76-1044.76] 來做產業鏈的串聯
[1044.76-1047.76] 另外從outside in也會透過公司的
[1047.76-1049.76] 非常重視的ESG
[1049.76-1053.76] 藉由跟包括臺灣大陸泰國各地的高校合作
[1053.76-1055.76] 來做產學合作的研究
[1055.76-1057.76] 一方面引進技術
[1057.76-1059.76] 另外一方面也引進高階的人才
[1059.76-1062.76] 那整個公司在升級轉型的過程裡面
[1062.76-1066.76] 也會在積極的從外面找高階的人才
[1066.76-1069.76] 並且把內部的人才做一個選材跟培育
[1069.76-1071.76] 把這個內外的結合
[1071.76-1073.76] 變成一個永續發展的循環
[1073.76-1074.76] 下一頁
[1074.76-1077.76] 在推動上面
[1077.76-1079.76] 因為公司目前有29座工廠
[1079.76-1081.76] 這裡面有新有舊
[1081.76-1084.76] 所以在整個工廠的智慧升級裡面
[1084.76-1087.76] 有的會從工業3.5或工業4.0
[1087.76-1092.76] 包括剛剛提到的公司原有的電腦整合製造系統
[1092.76-1094.76] 工業工程處
[1094.76-1096.76] 然後我們的自動化
[1096.76-1099.76] 還有大數據處等等相關的單位
[1099.76-1101.76] 整合在數位轉型中心
[1101.76-1103.76] 並且跟營運單位密切來配合
[1103.76-1105.76] 那在右邊裡面我們可以了解
[1105.76-1109.76] 以我們現在的新舊廠的MES系統的升級轉型
[1109.76-1112.76] 結合很多AI賦能的工具
[1112.76-1113.76] 包括在半導體裡面
[1113.76-1115.76] 熟悉的像這種先進智能控制
[1115.76-1116.76] 先進品質控制
[1116.76-1118.76] 先進設備控制等等
[1118.76-1121.76] 也包括很多智能製造的一些solution
[1121.76-1122.76] 那我就不細項展開
[1122.76-1125.76] 那另外一方面整個公司在推動智慧製造
[1125.76-1128.76] 其實也是為了去做永續的生產
[1128.76-1130.76] 或是循環經濟
[1130.76-1132.76] 特別公司在過去節能減費
[1132.76-1133.76] 還有在過去的工業製造中心的進展
[1133.76-1136.76] 還有這個原物料的循環再利用
[1136.76-1138.76] 都有很好的表現
[1138.76-1140.76] 也反映在剛剛董事長提到的
[1140.76-1142.76] 各個單位的肯定跟角象
[1142.76-1143.76] 下一頁
[1145.76-1148.76] 那目前公司有29座工廠
[1148.76-1150.76] 這裡面包括9座新廠
[1150.76-1152.76] 在一開始就已經導入了智慧製造
[1152.76-1154.76] 6座舊廠的升級
[1154.76-1156.76] 那未來還有14座工廠
[1156.76-1159.76] 這裡面包括4座剛剛提到在高雄
[1159.76-1161.76] 泰國興建中的工廠
[1161.76-1163.76] 一座我們已經在升級當中
[1163.76-1166.76] 還有9座舊廠會持續的來升級
[1166.76-1168.76] 下一頁
[1168.76-1172.76] 那整個數位轉型的過程
[1172.76-1174.76] 其實是為了讓公司
[1174.76-1176.76] 持續的增長的過程裡面
[1176.76-1179.76] 我們的能力不會等比例的放大
[1179.76-1181.76] 而是透過轉型升級
[1181.76-1184.76] 將來更多是藉助智能製造的solution
[1184.76-1185.76] AI的賦能
[1185.76-1187.76] 然後還有能力結構的調整
[1187.76-1189.76] 讓組織的效率提高
[1189.76-1191.76] 組織的流程可以精簡
[1191.76-1193.76] 然後人員工作的品質也可以精簡
[1193.76-1194.76] 可以提升
[1194.76-1196.76] 更多發在決策跟賦能上面
[1196.76-1198.76] 以上的報告
[1200.76-1203.76] 好謝謝簡總的介紹
[1203.76-1207.76] 接下來我們請李定傳董事及營運長
[1207.76-1211.76] 為大家介紹真鼎的營運規劃及執行狀況
[1211.76-1212.76] 謝謝
[1212.76-1215.76] 大家好來下一頁
[1215.76-1221.76] 那接下來就由我來報告一下幾個營運的一個概況
[1221.76-1222.76] 那首先在
[1223.76-1226.76] 伺服器車載跟光通訊的部分
[1226.76-1232.76] 我想2025年在伺服器車載跟光通訊的營收持續看升
[1232.76-1234.76] 那其中伺服器方面
[1234.76-1238.76] 尤其在AI伺服器是主要的成長主力
[1238.76-1244.76] 那我們從原先的通用型的服務器切入到AI服務器的領域
[1244.76-1247.76] 那通過過去對於關鍵製程的掌握
[1247.76-1250.76] 那獲得AI伺服器穩定的訂單
[1250.76-1252.76] 並且提供整個營收的領域
[1252.76-1255.76] 並且提供整個營收的成長動力
[1255.76-1259.76] 那我想現在也藉由持續擴大跟客戶在
[1259.76-1263.76] Intel AMD跟ASIC三大架構的按鍵開發
[1263.76-1267.76] 那配合現在現有的兩大雲端客戶
[1267.76-1270.76] 相關的產品發展的規劃
[1270.76-1274.76] 那發揮整個真鼎提供PCB完整方案
[1274.76-1277.76] 並加速全球的一個生產佈局
[1277.76-1280.76] 這個我想剛剛包含
[1280.76-1283.76] 還有泰國還有高雄
[1283.76-1285.76] 這幾個生產基地的部分
[1285.76-1290.76] 那在光通訊方面我想以高階產品搶攻市場
[1290.76-1294.76] 光通訊產品去年已經之前也跟各位報告過
[1294.76-1297.76] 通過客人的認證它已經進入量產
[1297.76-1301.76] 那整體的營收控線將逐步的提高
[1301.76-1307.76] 那主要今年以800G跟1.6T的高階的MCEP設計為主
[1307.76-1309.76] 那將新增更多的客戶跟訂單
[1310.76-1312.76] 那尤其搭配泰國廠
[1312.76-1315.76] 更能夠把這一塊的部分再加大
[1315.76-1320.76] 那3.2T的產品也開始進入研發的設計階段
[1320.76-1324.76] 那隨著AI的持續的深化發展
[1324.76-1328.76] 那高階產品需求增長以MCEP的需求為主力
[1328.76-1334.76] 那這也是我們公司3到5年保持高成長性的一個產品線
[1334.76-1339.76] 那車載方面自駕跟自動化的佈局持續成長
[1339.76-1345.76] 那我們積極佈局汽車的智能化高階多層的HDI產品
[1345.76-1350.76] ADAS場域的主板還有高階的傳感器也已經量產了
[1350.76-1356.76] 那電動化的部分動力電池相關的產品線出貨持續成長
[1356.76-1361.76] 那車用的互聯化的部分也隨著客戶持續在開發
[1361.76-1366.76] 那包含這個產品線也會有高階的MCEP SOP的產品出現
[1366.76-1369.76] 我想下半年期客戶將陸續驗驗
[1369.76-1373.76] 那這個現階的產品線除了鋼壇以外也泰國園區
[1373.76-1378.76] 那滿足客戶多元化的製造的基地的一個需求來下一頁
[1378.76-1386.76] 那在IC載板的部分我想2024年IC載板是一個豐收的一年
[1386.76-1391.76] 那2024年IC載板的營收年生是75.6%
[1391.76-1395.76] 那增速大於優於整個產業的平均
[1395.76-1399.76] 我想我們在IC載板的策略一貫採取穩定性的設計
[1399.76-1405.76] 穩紗穩打品質穩定在技術方面持續突破
[1405.76-1407.76] 那也謝謝各位
[1407.76-1410.76] 現在其實之前談的載板三雄
[1410.76-1414.76] 那我想增頂加入以後現在其實是載板四雄
[1414.76-1418.76] 那我目前在IC載板產能以高階的產品為主
[1418.76-1421.76] 那其中ABF受惠於CHIPLED
[1421.76-1424.76] 跟2.5D的先進封裝產品的需求
[1424.76-1428.76] 產能利用率在2024年大幅度的提升
[1429.76-1435.76] 所以整體IC載板的營收才會有優於整個平均業界的部分
[1435.76-1441.76] 那2025年IC載板持續能將是我們四大產品的應用中
[1441.76-1444.76] 成長最快的業務部門
[1444.76-1448.76] 那整體上受惠於AI及高速運算
[1448.76-1451.76] 跟先進封裝技術的快速發展
[1451.76-1458.76] 我們尤其我們整個尤其是ABF工廠是design for high year
[1459.76-1461.76] 所以我們在高階的尺寸
[1461.76-1467.76] 在大尺寸方面高層數方面的產品需求持續的成長
[1467.76-1473.76] 那我們在這塊的部分也有一些持續的新技術平台產品的開發
[1473.76-1476.76] 我想在下半年也會開始有貢獻
[1476.76-1481.76] 那今年的整個不管BT或ABF的產能利用率
[1481.76-1484.76] 將會比去年更提高
[1484.76-1489.76] 那另外將在高雄AI園區智慧工廠2.0的幹部
[1489.76-1494.76] 打造新的IC載板生產基地
[1494.76-1497.76] 來因應客戶在高階產品的需求
[1497.76-1499.76] 那公司剛剛董大也談到
[1499.76-1506.76] 在高雄AI園區建置全製程的先進封裝FCPGA的量產的產育
[1506.76-1511.76] 那這一塊涵蓋了整個FCPGA全流程的生產設備
[1511.76-1514.76] 那也規劃了內買流程的生產設備
[1514.76-1519.76] 打造全世界最先進的IC載板的生產基地
[1519.76-1521.76] 下一頁
[1521.76-1526.76] 所以我想1ZTT的展現陸續成效
[1526.76-1530.76] 包含服務器、車載還有光通訊方面
[1530.76-1533.76] 整個持續雙位數的年增
[1533.76-1539.76] 那IC載板的部分整個營收就陸續創單季的一個新高
[1539.76-1541.76] 下一頁
[1541.76-1547.76] 那當然增頂加入參與整個IC載板
[1547.76-1549.76] 所以我們參與半導體產業的一個新高
[1549.76-1551.76] 相關的組織
[1551.76-1553.76] 那對於上下游企業也密切的合作
[1553.76-1558.76] 拓展新興的技術領域的市場的機會
[1558.76-1562.76] 所以我們也參與Semi國際半導體產業協會
[1562.76-1566.76] 包含矽光子包含Semi的封裝測試委員會的部分
[1566.76-1570.76] 我想我們也陸續加入相關的這個部分
[1570.76-1572.76] 在產業上有一些貢獻
[1572.76-1574.76] 來下一頁
[1574.76-1578.76] 所以整體我們在IC載板的營運目標
[1578.76-1581.76] 我想秉持著穩紮穩打的策略
[1581.76-1586.76] 我們在IC載板支出基本上陸續的展現
[1586.76-1588.76] 那包含營收的部分
[1588.76-1592.76] 我們也定義的高成長2023年到2027年
[1592.76-1594.76] 負荷成長率能夠大於50%
[1594.76-1600.76] 那整個IC載板的營收也是目標在2027年能夠達成
[1600.76-1604.76] 我們在增頂的占比能夠提升到15%
[1604.76-1606.76] 那整個目標在2030年能夠成為IC載板的目標
[1606.76-1608.76] 那整個目標在2030年能夠成為IC載板的目標
[1608.76-1610.76] 那整個目標在2030年能夠成為IC載板的目標
