[0.00-3.54] 大家午安,我是APP科技財務長林玉欣。
[375.62-381.38] 费用率因费用金额增加及分母营收减少而增加为26%
[381.72-384.48] 全年营业净利10.6亿元
[384.48-386.38] 较去年增加25%
[386.38-389.98] 营业净利率25%增加5个百分点
[389.98-391.84] 业外收支部分
[391.84-394.46] 本年度业外收入9.7亿元
[394.46-397.64] 其中金融资产评价利益0.7亿元
[397.64-399.84] 利息收入4.1亿元
[399.84-401.98] 兑换利益5.1亿元
[401.98-404.80] 2024年美元波动较大
[404.80-409.22] 美元对新台币于2023年底汇率为30.705
[409.22-411.70] 2024年各季季底汇率30.75%
[411.72-414.48] 分别为32.45%
[414.48-418.02] 31.65%及32.75%
[418.02-419.60] 虽然在第三季回跌
[419.60-422.34] 单季产生1.9亿元兑换损失
[422.34-424.94] 但整年度趋势为升值走势
[424.94-429.04] 因此整年度来看净兑换利益约5.1亿元
[429.04-433.30] 整年度税前净利为20.3亿元
[433.30-435.46] YY增加26%
[435.46-437.90] 税前净利为49%
[437.90-440.10] 有效税率因2022年
[440.10-441.70] 营收税合定增加所得税率
[441.72-445.96] 税费用而上升为22.36%
[445.96-448.00] 税后净利15.8亿元
[448.00-450.94] 较2023年增加9%
[450.94-452.60] 净利率在毛利率增加
[452.60-456.86] 费用率增加及业外收益易注下为38%
[456.86-459.58] YY增加4个百分点
[459.58-462.60] 2024年每股盈余为9.73元
[462.60-469.16] 较2023年每股盈余8.93元增加9%
[469.16-469.60] 此页同样在说明排除GDR位置的费用费用額上升为22.36%
[469.60-470.00] 此页同样在说明排除GDR位置的费用額上升为22.36%
[470.00-470.50] 此页同样在说明排除GDR位置的费用額上升为22.36%
[470.50-474.32] 此页同样在说明排除GDR位置的费用額上升为22.36%
[474.32-477.88] 2024年业外净收入为5.9亿元
[477.88-481.50] 首要来自于金融资产评价利益0.7亿元
[481.50-485.32] 利息收入4.1亿元及兑换利益1.3亿元
[485.32-488.02] 排除GDR相关汇率影响后
[488.02-491.88] 2024年净利金额将为12.7亿元
[491.88-494.10] YY减少12%
[494.10-495.94] 净利率30%
[495.94-498.20] YY减少4个百分点
[498.20-500.48] 你这设算后每股盈余为
[500.48-501.50] 7.85元
[501.50-505.74] YY较23年的8.93元减少1.08元
[505.74-507.34] 年减12%
[507.34-511.00] 合并支撑负债表部分
[511.00-514.38] 季底总资产为130亿元
[514.38-517.22] 较第三季底增加6.1亿元
[517.22-521.30] 其中现金及月当现金为42亿元
[521.30-525.56] 按参销后成本衡量之金融资产为47亿元
[525.56-528.14] 总计金额约89亿元
[528.14-530.46] 合计占总资产将近7亿元
[530.48-532.78] 即将达到70%
[532.78-535.08] 按参销后成本衡量之金融资产
[535.08-538.68] 是本公司承作三个月以上的定期存款
[538.68-542.26] 与去年底现金及按参销后成本衡量之金融资产
[542.26-544.82] 这两个科目合计数相较
[544.82-547.64] 并增加数约6700万元
[547.64-550.96] 主要来自于营业活动应收账款的回收
[550.96-553.26] 并存利息所带来的现金流入
[553.26-558.36] 以及方放11.4亿元现金股利的现金流出户底后的净盈享数
[558.36-559.40] 并存利息所带来的现金流入以及方放11.4亿元现金股利的现金流出户底后的净盈享数
[559.40-562.22] 第四季底营收账款5.2亿元
[562.22-565.04] 较第三季底增加5800万元
[565.04-568.44] 整体营收账款回收状况保持良好
[568.44-570.76] 存货金额为12亿元
[570.76-573.70] 较第三季底增加8300万元
[573.70-575.10] 上升7%
[575.10-579.00] 目前库存维持在6到7个月的合理学位
[579.00-582.92] 将持续依据接单的状况来动态管理
[582.92-588.18] 另外2024年透过损益按公允价值衡量的金融资产减少
[588.18-589.38] 相对采用金融资产的净盈享数
[589.38-591.06] 和采用权益法的投资则增加
[591.06-595.96] 主要来自于本公司在2023年底取得来捷科技400万股
[595.96-600.76] 并于2024年1月底将其转列为采用权益法的投资
[600.76-604.36] 使得这两个科目的金额产生相对增减
[604.36-607.92] 年底的总负债为11亿元
[607.92-609.80] 负债比率为8%
[609.80-612.76] 较第三季底增加8600万元
[612.76-616.14] 主要为动作5000万元的短期借款
[616.14-618.88] 合约负债减少5200万元
[618.88-619.36] 应该是在2024年
[619.38-621.38] 应付账款减少1.2亿元
[621.38-624.72] 及应付所得税增加2亿元的净盈享数
[624.72-628.50] 股东权益总金额为119亿元
[628.50-630.60] 较第三季底114亿元
[630.60-631.76] 即增5亿元
[631.76-633.56] 增幅4.6%
[633.56-637.78] YY增较去年同期113亿元增加6亿元
[637.78-639.56] 增幅5.2%
[639.56-642.70] 每股净值为73.34元
[642.70-646.36] 以上是就财务资讯的相关说明
[646.36-649.20] 接下来的时间由洪志勋总经理说明
[649.20-649.36] 应付账款减少1.2亿元
[649.38-679.36] 与财务资讯的相关说明
[679.38-709.36] 应付账款减少1.2亿元增加6亿元增加6亿元
[709.38-712.90] AIBUYY增加的主要原因是
[712.90-716.36] VHN以及Interposer Web Sales的增加
[716.36-720.64] 本季毛利率较前季提升了1个百分点
[720.64-723.26] 这是因为AIBU Licensing
[723.26-724.86] 营收比重增加
[724.86-728.16] 使得QOQ毛利升高
[728.16-729.84] 相较于去年同期
[729.84-732.20] 毛利率提高了9个百分点
[732.20-735.54] 除了AIBU营收比重增加
[735.54-739.24] 还有IoT销售组合的有利影响
[739.24-739.36] 还有IoT销售组合的有利影响
[739.38-745.70] 这部分我们预计毛利率长期持续稳中有升
[745.70-750.32] 短期会随着产品的组合变动而有一些波动
[750.32-755.82] 接下来我们来看一下盈利的状况
[755.82-756.94] 在这一页上
[756.94-761.28] 左边浅绿色的是营业利益
[761.28-765.32] 第四季的营业利益较前季减少了9个百分点
[765.32-769.26] 主要是因为第四季营收略低于第三季
[769.26-769.36] 而在这一页上
[769.38-773.60] 而且第四季的研发费用因为新专案的投入增加
[773.60-775.80] 使得营业费用增加
[775.80-777.58] 继增了8个百分点
[777.58-780.20] 营业利益率28%
[780.20-782.86] 较前季减少了2个百分点
[782.86-787.60] 右手边是业外收支
[787.60-790.48] 这个部分主要来自于金融资产
[790.48-791.70] 平价损益
[791.70-793.86] 外汇兑换损益
[793.86-795.18] 以及利息收入
[795.18-797.68] 本季为3.66亿
[797.68-799.36] 较前季大幅增加了
[799.38-802.46] 主因刚才财务长有报告过
[802.46-804.04] 是汇兑利益的影响
[804.04-805.96] 这部分波动比较大
[805.96-809.38] 是因为有比较多的不可控的因素
[809.38-816.80] 在内灵看的部分
[816.80-819.80] 第四季总体净利为5亿元
[819.80-823.58] 较前季大幅增加了1.65亿
[823.58-825.98] 主要是因为刚才提到的
[825.98-827.70] 汇兑利益的益助
[827.70-829.36] 净利率也达到
[829.38-832.46] 提升到了41%
[832.46-834.76] 接下来我就两个事业部
[834.76-837.82] 在2024年第四季的影运状况
[837.82-841.54] 分别为各位先进说明
[841.54-845.66] 首先我们来看IoT事业部
[845.66-847.46] 本季营收9.1亿元
[847.46-850.64] QoQ较前季减少1.4%
[850.64-852.82] YY对比去年同季
[852.82-855.00] 则是减少了20%
[855.00-857.06] 这主要是Connectivity的需求
[857.06-859.38] 较去年同期为弱的影响
[859.38-862.46] IoT事业部的主要应用
[862.46-863.74] 分为三个领域
[863.74-865.02] Connectivity
[865.02-866.62] Wearable以及Video
[866.62-867.82] Audio 和Other
[867.82-871.16] Connectivity的主要应用是
[871.16-872.44] 蜂巢式网路
[872.44-874.22] 4G 5G的Modern
[874.22-875.76] Wi-Fi Bluetooth
[875.76-877.82] 以及部分的Industry IoT
[877.82-880.38] Connectivity应用在本季
[880.38-883.96] IoT营收中占比35%
[883.96-886.78] 这部分较前季减少了11%
[886.78-888.30] 较去年同期
[888.30-889.34] Connectivity的营收中占比35%
[889.38-891.68] 而Connectivity的营收也大幅下降
[891.68-894.50] 主要原因是这个市场比较集中
[894.50-896.04] 竞争也比较激烈
[896.04-899.62] 导致市场往低端的规格
[899.62-901.42] 较低容量移动
[901.42-903.98] 这个趋势还在继续
[903.98-906.02] 针对这个市场趋势变化
[906.02-910.88] 我们已经开发了一些更适切这个市场的解决方案
[910.88-915.74] 以减缓Connectivity波动对我们营收的影响
[915.74-919.34] 另外在穿戴装置方面
[919.38-922.20] 本季金额较上季增加26%
[922.20-925.52] 占本季IoT营收39%
[925.52-928.34] 我们在前季向各位先进报告过
[928.34-931.92] 穿戴装置在市场的各个segment中
[931.92-933.46] 都是持续增长的
[933.46-936.02] 除了手环手表之外
[936.02-939.60] AI眼镜也是一个很有潜力的segment
[939.60-941.90] 在穿戴装置的市场
[941.90-944.22] 很重视使用者的体验
[944.22-947.28] 使得各式装置的功能规格
[947.28-949.34] 更为复杂多样
[949.38-951.94] 而记忆体的低功耗高效能
[951.94-956.30] 就成了整体产品性能的关键因素
[956.30-959.62] 我们的新世代产品APS-RAM
[959.62-963.98] 针对这些重点提供了最适切的解决方案
[963.98-969.34] 关于APS-RAM在稍后的简报中会有进一步的说明
[969.34-974.72] APS-RAM已经有数家客户导入下一代的产品设计当中
[974.72-979.34] 预计这个部分会在今年的下半年开始贡献营收
[979.34-983.94] 随着Wearable Device的增加以及各种新功能的导入
[983.94-986.26] 特别是AI功能的导入
[986.26-990.60] 将会是销售量和单机记忆体容量同时提升
[990.60-994.18] 带来很大的成长空间
[994.18-994.96] 另外
[994.96-998.28] 本季在Video Audio Others应用的营收
[998.28-1000.58] 较前期减少约14%
[1000.58-1003.40] 主要是季节性因素的影响
[1003.40-1006.48] 在本季营收中占比26%
[1006.48-1007.76] 这部分
[1007.76-1009.30] 以Smartphone和小型手机的营收
[1009.30-1012.38] 和运行Display相关应用为主
[1012.38-1017.24] Smartphone产品在AI及联网应用的带动下
[1017.24-1021.34] 对记忆体容量需求成长的趋势依然不变
[1021.34-1022.86] 在Display的市场
[1022.86-1026.70] 客户也看到了IoT RAM的规格优势
[1026.70-1029.02] 尤其是APS-RAM
[1029.02-1030.04] 数个
[1030.04-1032.60] 新的Design持续进行当中
[1032.60-1034.90] 我们认为Display会成为
[1034.90-1038.22] IoT RAM另一个主要的应用领域
[1039.30-1040.06] 此外
[1040.06-1041.10] 细电容
[1041.10-1042.88] Segon Capacitor
[1042.88-1045.70] 我们的商标是SC-CAP
[1045.70-1047.24] 分离式的SC-CAP
[1047.24-1049.54] 我们是以KGD的形式销售
[1049.54-1050.30] 所以
[1050.30-1053.12] 我们归类在IoT BU
[1053.12-1054.14] 在今年
[1054.14-1056.96] 我们的产品线分类会做一些调整
[1056.96-1061.06] 在稍后的简报当中会向大家说明
[1061.06-1063.88] 分离式的SC-CAP可以应用在
[1063.88-1067.72] 嵌入HPC产品的Subtrait封装当中
[1067.72-1069.26] 以和多家Subtrait工业
[1069.30-1070.84] 供应商合作
[1070.84-1072.62] 相关的客户专案也
[1072.62-1074.42] 都顺利进行当中
[1074.42-1078.52] 预计在今年年底明年年初会陆续进入量产
[1078.52-1079.28] 也会有
[1079.28-1085.68] 也有多家的欧美HPC主流客户在设计的阶段
[1085.68-1086.46] 另外
[1086.46-1094.14] 嵌入Subtrait的C-CAP应用主要的驱动力是HPC对SIPI的需求
[1094.14-1096.70] SIPI是指系统
[1096.70-1099.00] 设计当中的讯号
[1099.00-1100.02] 品质
[1100.02-1102.32] Signal Integrity
[1102.32-1103.10] SI
[1103.10-1105.40] 以及电源质量
[1105.40-1107.44] Power Integrity PI
[1107.44-1108.98] 高速度的
[1108.98-1112.32] 系统当中的SIPI挑战越来越大
[1112.32-1115.12] 所以需要越来越多的电容
[1115.12-1118.20] 特别值得一提的是下一代
[1118.20-1120.76] 将会更依赖Subtrait里面的电容
[1120.76-1122.80] 原因是CoreOS L
[1122.80-1127.92] 以及CoreOS R都无法在Interpose中放入大量的电容
[1127.92-1128.96] 我们在市场上
[1128.96-1131.26] 是更于比较久的一家供应商
[1131.26-1133.56] 也是比较成熟的一家
[1133.56-1134.84] 按照我们初约估计
[1134.84-1136.38] 每一片Subtrait
[1136.38-1138.44] 都会有上百颗的电容
[1138.44-1138.94] 市场
[1138.94-1140.74] 潜力非常的大
[1140.74-1144.06] 同时也对产品品质有极高的要求
[1144.06-1150.46] 这和公司长期经营的方向非常符合
[1150.46-1151.48] 接下来
[1151.48-1154.04] 我们来看AI事业部
[1154.04-1155.32] 第四季
[1155.32-1157.64] AI事业部营收3.16亿
[1157.64-1158.92] 较前季减少了10亿
[1158.96-1161.26] 主要是因为web sales
[1161.26-1163.56] 较前季减少的因素
[1163.56-1165.10] 而IP licensing
[1165.10-1168.68] 则随着专案进度所认列的营收增加
[1168.68-1169.72] 较前季
[1169.72-1171.76] 显著成长
[1171.76-1175.60] YY AIVU营收增加了将近10倍
[1175.60-1181.48] 这主要是因为VHN以及Interpose的web sales的贡献
[1181.48-1187.64] AI事业部的营收主要分为IP licensing VHN以及SCCAP Interpose的web sales
[1188.96-1192.54] 因为Interpose是以weber的形式出货
[1192.54-1196.12] 所以这部分我们放在AIVU中
[1196.12-1198.18] AIVU本季的营收中
[1198.18-1200.48] 新世代矿机VHN
[1200.48-1202.52] 出货较前季较低
[1202.52-1207.90] 但是随着SCCAP Interpose几个专案在本季陆续进入量产
[1207.90-1212.26] 我们预期AI事业部在2025年会延续
[1212.26-1213.28] 去年
[1213.28-1214.56] 下半年的趋势
[1214.56-1217.38] 持续成长
[1217.38-1218.40] 另外
[1218.40-1221.72] AI事业部的VHN除了加密货币外
[1221.72-1227.10] 已经有大客户与我们密切讨论VHN在AI加速器的design in
[1227.10-1230.44] 渴望在今年完成其中一个专案
[1230.44-1233.00] 这将意味着主流客户认可了
[1233.00-1235.04] 爱普的VHN效能
[1235.04-1236.84] VHN正式跨入了
[1236.84-1239.40] 主流的应用
[1239.40-1242.46] 多层的VHN也叫做VHN stack
[1242.46-1244.00] 会是另外一个亮点
[1244.00-1247.58] 许多的欧美大客户认同我们的产品架构
[1247.58-1248.36] 除了多个
[1248.40-1251.98] 概念验证POC专案顺序进行当中
[1251.98-1255.56] 也有客户与我们讨论在产品上面的design in
[1255.56-1258.90] VHN stack产品在未来的两年
[1258.90-1259.92] 会成为
[1259.92-1262.74] 贡献营收的另外一个重点产品线
[1262.74-1265.04] 我们对这点深具信心
[1265.04-1269.64] 以上是两个事业部在第四季的update
[1269.64-1276.30] 接下来我想为各位投资先进报告一下公司营运
[1276.30-1278.36] 聚焦的重点以及
[1278.40-1281.72] 未来展望
[1281.72-1283.52] 在过去五年当中
[1283.52-1286.34] 公司以IoT以及
[1286.34-1289.92] AI两个事业部分别向各位投资先进做
[1289.92-1292.22] 报告业绩
[1292.22-1295.80] 随着公司现在已经跨入了细电容的市场
[1295.80-1297.60] 为了让各位投资先进
[1297.60-1301.70] 更清楚的了解细电容产品线的表现
[1301.70-1303.74] 从2025年第一季开始
[1303.74-1308.36] 公司将按照的三个产品线来说明业务状况
[1308.40-1311.72] 第一是IoT RAM
[1311.72-1315.06] 这是我们最大也是最成熟的产品线
[1315.06-1318.90] 经营的是全世界最好的客制化IoT memory
[1318.90-1324.78] 客户应用如前面所提到的主要是connectivity wearable display等等
[1324.78-1326.84] 那第二是VHM
[1326.84-1330.16] 它也包含了VHM stack
[1330.16-1331.44] VHM
[1331.44-1334.00] 就是very high bandwidth memory
[1334.00-1335.02] 是用于
[1335.02-1338.36] AI HPC的高频宽客制化的DRAM
[1338.40-1340.70] 以及加密货币
[1340.70-1344.04] VHM stack是多层堆叠的VHM
[1344.04-1348.64] 客户的应用是AI HPC networking等等
[1348.64-1351.20] 那第三个产品线是细电容
[1351.20-1353.50] 它包括了分离式的电容
[1353.50-1355.04] 我们叫做IPD
[1355.04-1357.60] 和含细电容的interposer
[1357.60-1361.96] 我们叫IPC
[1361.96-1364.26] 接下来展望未来
[1364.26-1367.32] IoT产品线主要的目标是
[1367.32-1368.36] 营收的成长
[1368.40-1373.26] 公司在穿戴装置提出了新的产品规格
[1373.26-1374.54] 我们叫做APS RAM
[1374.54-1379.92] 传统的IoT RAM主要是以打线的方式与SOC连接
[1379.92-1381.72] 如左上的图
[1381.72-1384.02] 我们新的APS RAM的规格
[1384.02-1386.06] 封装方式更有弹性
[1386.06-1388.12] 包括可以把记忆体
[1388.12-1391.96] 以FreeTrip的方式直接贴合在客户的SOC上面
[1391.96-1393.24] 就像是
[1393.24-1395.80] 右上的示意图
[1395.80-1398.36] 这个产品能够把穿戴装置的规格
[1398.40-1399.68] 从4次的Memory
[1399.68-1402.50] 功耗倍数的降低
[1402.50-1404.54] 同时也大幅的提高
[1404.54-1408.64] 穿戴装置的待机时间
[1408.64-1410.94] 并且提供了更大的频宽
[1410.94-1414.78] 满足了客户对性的效能的要求
[1414.78-1418.12] 这个产品一推出就受到客户的广泛支持
[1418.12-1419.90] 已经有不少的design
[1419.90-1420.92] 我们预计
[1420.92-1422.72] 今年年底开始量产
[1422.72-1425.02] 2025年会有营收的贡献
[1425.02-1426.56] 2026年
[1426.56-1427.84] 会有营收的贡献
[1428.40-1431.22] 另外在1加1的VHN
[1431.22-1434.28] 以及1加N的VHN stack
[1434.28-1438.12] 这部分主要的工作是市场应用的adoption
[1438.12-1440.44] 除了已经很成熟的
[1440.44-1442.48] 加密货币应用之外
[1442.48-1448.12] 我们正集中精力做AI HPC量产产品的design
[1448.12-1449.14] 如果顺利
[1449.14-1452.98] 我们有机会在今年完成第一个AI HPC的
[1452.98-1453.74] 设计
[1453.74-1454.76] 产品设计
[1454.76-1456.30] 这将是
[1456.30-1458.10] VHN技术
[1458.10-1461.42] 一个新的里程碑
[1461.42-1463.48] 在SC-CAP
[1463.48-1464.50] 2025年
[1464.50-1465.78] 我们看到了明显
[1465.78-1468.08] 我们会看到明显的成长
[1468.08-1472.94] 在IPC也就是包含细电容的interposer
[1472.94-1477.82] 自从2024年下半年开始量产以来
[1477.82-1479.34] 产品技术逐渐成熟
[1479.34-1481.90] 在2025年的量产
[1481.90-1482.68] 出货
[1482.68-1484.72] 会持续成长
[1484.72-1488.06] IPD就是我们的分离式电容主要的应用是这个
[1488.10-1489.38] 我们的设计是
[1489.38-1492.70] HPC封装substrate
[1492.70-1495.26] 已经有多个客户在多家substrate厂
[1495.26-1496.54] 逐渐完成
[1496.54-1497.06] 验证
[1497.06-1500.90] 第一批的量产预计会落在今年
[1500.90-1502.44] 另外
[1502.44-1505.50] 我也说明一下公司的一块新的业务
[1505.50-1509.34] 公司在跟一家初创公司合作四年之后
[1509.34-1515.74] 终于在UHF FID标签IC领域取得了一些的成绩
[1515.74-1517.28] 产品验证基本完成
[1517.28-1518.06] 产品验证基本完成
[1518.10-1521.18] 预计会在今年开始量产
[1521.18-1524.76] UHF FID是一个快速成长的市场
[1524.76-1526.80] 标签IC市场
[1526.80-1530.38] 规模大概在四五亿元美元左右
[1530.38-1532.94] 每年的成长超过20%
[1532.94-1536.28] 公司利用自家独有的机体技术
[1536.28-1540.12] 能够大幅降低科伍的总体拥有成本
[1540.12-1541.66] Total Cost of Ownership
[1541.66-1543.70] 就是TCO
[1543.70-1546.00] 公司希望在这个领域有所贡献
[1546.00-1547.28] 整体来说
[1547.28-1552.66] APP在2024年度有相当不错的营运成绩
[1552.66-1556.24] 而我们也会持续在既有的三个产品线
[1556.24-1559.56] 提供客户高品质的客制化解决方案
[1559.56-1560.60] 同时
[1560.60-1562.90] 也着眼于新的市场机会
[1562.90-1564.68] 在核心技术的基础上
[1564.68-1565.96] 持续开发
[1565.96-1568.02] 放心的新产品
[1568.02-1571.08] 谢谢
[1571.08-1572.88] 谢谢总经理
[1572.88-1575.44] 本次的简报到这里告一个段落
[1575.44-1577.24] 接下来进入问答阶段
[1577.28-1580.10] 请各位投资朋友于画面右下角蓝位
[1580.10-1581.64] 输入您的问题
[1581.64-1582.92] 我们将于整理后
[1582.92-1583.94] 同一回复
[1583.94-1584.44] 谢谢
[1584.44-1601.86] 请问
[1601.86-1605.96] 可以概括说明一下对于今年整体营运的预期
[1605.96-1607.24] 会比2024年来说多大吗?
[1607.24-1610.82] 是2024年好?持平?或是衰退?
[1610.82-1611.84] 好的
[1611.84-1614.40] 那我想这一题由我来回答
[1614.40-1618.24] 今年的预期是比2024年好
[1618.24-1621.84] 除了IoT RAN以及VHN都有一些成长以外
[1621.84-1623.12] 主要成长动能
[1623.12-1626.44] 我刚刚有提到是包含SC-CAP的
[1626.44-1630.28] Interposer的WaferSource贡献
[1630.28-1632.32] 下一个提问的问题
[1632.32-1636.94] 请问IoT与AI在25年的预估营收占比
[1636.94-1640.02] 毛利率区间?
[1640.02-1641.30] 那我就以
[1641.30-1646.16] 刚才所提到的公司三条产品线来大致分别说明一下
[1646.16-1648.20] IoT RAN还是占大多数
[1648.20-1652.04] VHN的营收会维持在一到两成之间
[1652.04-1654.60] 那SC-CAP也会有一两成
[1654.60-1658.70] 那目前可能比较没有办法提供更精确的预估
[1658.70-1661.78] 总体毛利跟2024年差不多
[1661.78-1666.12] 也许随着产品组合的变化会有一些小的波动
[1666.12-1666.90] 谢谢
[1666.94-1670.02] 下一个提问的问题
[1670.02-1672.32] Wafer on Wafer Status
[1672.32-1677.44] 可以说明一下美国客户与大陆客户各自的发展进度
[1677.44-1681.28] 其他台湾厂商纷纷投入发展Wafer on Wafer
[1681.28-1683.84] APP的竞争优势为何?
[1683.84-1686.66] 我是产品中心刘宗明
[1686.66-1688.44] 这一题由我回答
[1688.44-1690.24] 我们已经开始
[1690.24-1691.52] 属于
[1691.52-1694.34] 产品应用的产品design
[1694.34-1696.90] 有机会在今年完成第一个项目
[1696.90-1700.22] 这些项目以欧美的客户群为主
[1700.22-1702.28] 是要量产的产品
[1702.28-1706.62] 有别于前段时间所讨论的概念验证POC专案
[1706.62-1711.50] 我们很高兴看到同行都来参与Wafer on Wafer生态的建设
[1711.50-1714.56] 而各家都有各家的应用客群
[1714.56-1717.90] 我们的竞争优势是我们的技术比较成熟
[1717.90-1720.46] 对客户来说风险较低
