[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-40.16] 2025年第一季营运概况 前景与展望 以及永续发展的介绍与实践等四个项目
[40.16-48.20] 首先在公司简介方面
[641.54-646.42] 112年上贵全证竞赛获得了
[646.42-647.18] 全职
[647.18-648.72] 造极奖
[648.72-649.74] 全数
[649.74-651.02] 畅流奖
[651.02-653.84] 全力充斥奖
[653.84-656.66] 还有群益大老鹰APP
[656.66-659.22] 荣获了国家品牌玉山奖的
[659.22-663.58] 最佳人气品牌奖
[663.58-665.10] 国际商业杂志
[665.10-666.64] 2024年
[666.64-667.92] 媒体声量
[667.92-671.76] 最佳券商品牌奖
[671.76-674.32] 台湾永续人员研究基金会
[674.32-676.38] 2024年台湾
[676.38-678.16] 企业永续奖
[678.16-680.22] 综合绩效类的
[680.22-683.80] GEO奖
[683.80-686.62] 企业永续报告的银奖
[686.66-689.74] 卓越杂志2024年
[689.74-693.58] 卓越券商品牌非金控类
[693.58-695.10] 我们获得了
[695.10-702.02] 最佳证券商奖
[702.02-704.06] 最佳财富管理奖
[704.06-708.16] 最佳证券商
[708.16-710.98] 最佳高龄友商
[710.98-712.26] 工商时报
[712.26-714.56] 2024年数位金融奖
[714.56-716.62] 我们获得了数位服务奖
[716.66-719.74] 数位公平代购奖
[719.74-722.80] 数位咨询安全奖
[722.80-724.60] 反诈组的优质奖
[724.60-727.66] 台湾证券交易所颁发我们
[727.66-730.48] 反诈骗评鉴的杰出奖
[730.48-734.32] 111能力银行颁发我们
[734.32-737.40] 2024年幸福企业的金奖
[737.40-741.74] 台北市职场性别平等认证
[741.74-743.80] 我们获得了金纸奖
[743.80-745.34] 跟创意奖
[745.34-746.62] 跟创意奖
[746.66-756.64] 我们还荣获贵买中心113年度风险管理评鉴一级的优良奖
[756.64-767.14] 接下来报告我们永续发展卓越成效的内容
[767.14-773.28] 第一我们持续入选了台湾永续指数
[773.28-776.62] 台湾就业指数的成本股
[776.66-778.70] 亚洲金融杂志
[778.70-780.24] 高度推荐
[780.24-783.82] 我们为2024年台湾非银行类
[783.82-788.70] 金融业最佳创新科技的应用机构
[788.70-789.72] 第三
[789.72-793.82] 台湾董事学会与企业发展研究中心
[793.82-798.68] 评选我们公司为2024年外资精选
[798.68-803.80] 金融十强的名单之内
[803.80-806.62] 权益经理证券第11届
[806.62-814.04] 公司治理评鉴向前迈进到6-20%的区间
[814.04-818.40] 我们加入了台湾人才永续行动联盟
[818.40-832.48] 群意经理证券通过英国标准协会取得ISO5010018版能源管理系统的认证
[832.48-834.78] 第12届
[834.78-835.54] 第13届
[835.54-836.58] 第14届
[836.58-840.16] 接下来是我们的实践作为
[840.16-844.00] 我们举办了群意爱阅读城市之旅
[844.00-845.80] 邀请偏乡学童
[845.80-847.58] 前往金融的海科馆
[847.58-851.18] 认识海洋生态永续的发展
[851.18-852.70] 展现对
[852.70-858.86] 偏乡教育的长期承诺与社会责任
[858.86-860.14] 我们举办
[860.14-863.20] 投资理财论坛说明会
[863.20-865.00] 包括了
[865.00-866.54] 中国科技论坛
[866.58-879.64] 南台湾房地产论坛
[879.64-882.46] 欧洲财富论坛
[882.46-889.88] 以及今年第2季投资展望说明会
[889.88-894.22] 我们也举办了群意享乐宇宙活动
[894.22-896.54] 宣告启动亿业合作
[896.58-898.12] 并推出
[898.12-899.90] 开户拿好礼与
[899.90-907.84] 群意客户礼回馈行交活动
[907.84-912.70] 我们也举办了永续家庭日欢乐宝活动
[912.70-915.78] 在活动中举办了真假蓝变
[915.78-922.18] 防诈启示录的互动活动
[922.18-924.48] 以上是今天的
[924.48-925.50] 线上法说会
[926.58-931.18] 感谢各位投资朋友的时间
[931.18-934.00] 报告完毕
[934.00-936.56] 欢迎线上投资朋友垂询
[936.56-937.34] 请指教
[956.58-978.60] 感谢各位投资朋友的参与
[978.60-982.44] 今天的线上法说会到此结束
[982.44-982.94] 谢谢
[986.58-990.16] 欢迎订阅订阅订阅
[990.16-993.76] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
