[0.00-2.00] 各位同志先敬大家午安
[1004.88-1007.18] 現在流量的增加其實是
[1007.18-1008.72] 以飛速在增加
[1008.72-1010.00] 所以我們現在目前
[1010.00-1012.04] 大致上未來的
[1012.04-1013.08] 預計在
[1013.08-1016.92] 這三年內我們就要做到擴到北中南400G聯網骨幹
[1016.92-1021.26] 那目前在今年就會導入有關新的產品有關Netflix的部分
[1021.26-1022.04] 我們在今年
[1022.04-1024.34] 因為Google的策略所以有delay quarter
[1024.34-1026.64] 那大致上也是5月我們就會上
[1026.64-1032.78] 那另外一個是有關高功率Wi-Fi6的OMD我們最近會上
[1032.78-1033.04] 那另外我們在整個的擴展的部分我們會做到的就是這個高功率Wi-Fi6的OMD我們最近會上
[1033.04-1034.84] 那另外我們在整個的擴展的部分我們會做到的就是這個高功率Wi-Fi6的OMD我們最近會上
[1034.88-1036.92] 在成長的部分預計
[1036.92-1043.58] 大風有限的大概在我們預計是希望能夠在2026年的Q2就可以達到20萬戶
[1043.58-1046.92] 那我們希望在兩年內的努力能夠讓
[1046.92-1050.76] 整個大大寬頻的這個品牌用戶可以達到60萬戶
[1050.76-1051.52] 這是我們
[1051.52-1052.80] 目前的規劃
[1052.80-1057.92] 那當然在整個因為它是個品牌它整體的行銷策略會相對活潑
[1057.92-1061.00] 那我們希望說能夠跟異業結合
[1061.00-1063.56] 那有一些新的媒體的通路也可以打開
[1063.56-1064.84] 那我們在去年有
[1064.84-1066.64] 跟樂天桃園做了一次
[1066.64-1067.66] 一個球季
[1067.66-1068.94] 這個球季的
[1068.94-1070.98] 品牌以及相關的廣告合作
[1070.98-1076.36] 那今年我們在預算微幅增加情況下我們達到一整年上下球季
[1076.36-1083.02] 那今年大致上如果在樂天桃園的租場的話大家可以看到大大寬頻的品牌整個的露出
[1083.02-1085.84] 是一整年的上下兩個球季都有
[1085.84-1090.70] 那我們會有一天是那個冠名日的活動
[1090.70-1094.80] 那在整體的情況下未來我們預計很快我們就會去要
[1094.80-1098.38] 在部件整個的情況是需要能夠
[1098.38-1104.52] 因應整個360M以上比重到60%甚至現在500M以上是40%
[1104.52-1108.12] 那我們希望這邊能夠導入整個10G Pong的部件
[1108.12-1113.74] 那預計我們現在目前觀察到我們預計在2026年的整個
[1113.74-1117.84] 大峰這邊的整個的寬頻的量會達到600G
[1117.84-1119.38] 那這是我們目前預計
[1119.38-1124.76] 那當然我們希望整個的作業流程有優化因為這也牽涉到我們一些成本的管控以及
[1124.80-1126.34] 那個流程處理的順遂
[1126.34-1128.64] 第一個是資安是很重要所以
[1128.64-1130.94] 整體是已經部件SDR跟EDR
[1130.94-1132.48] 這個我們已經部件好了
[1132.48-1137.60] 希望能夠再更加強這全面的因為這個還有Coverage跟管理的問題
[1137.60-1142.72] 那第二個是有關啟用電子供單無紙化以及整個ERP系統的導入
[1142.72-1147.32] 這大概是未來這一兩年我們就要做到的事情
[1147.32-1151.16] 那當然希望說在整個聯外頻寬這是我們聯外頻寬的分析
[1151.16-1153.48] 然後再快速講一下第一個是
[1153.48-1154.76] 2020年的話我們整體的寬頻的分析是有優化的
[1154.80-1163.00] 那另外一個是Cache的佔比大概64%
[1163.00-1165.80] 對外聯外頻寬大概佔36%
[1165.80-1172.72] 那Cache的意思是說我們希望能夠讓用戶多用CDN然後降低我們對聯外頻寬的要求
[1172.72-1175.80] 這個會有助於整體的成本管控
[1175.80-1179.64] 那在Cache裡面目前Google佔流量最大大概29%
[1179.64-1183.98] 那另外我們也跟中華ITC這門合作大概是佔大概18%
[1183.98-1184.76] 那Apple在整體的寬頻寬是有優化的
[1184.80-1186.84] 那去年導入之後快速提到9%
[1186.84-1188.38] 這是我們去年觀察
[1188.38-1195.04] 整個Apple Plus不管是它的影片的還有它的iOS的流量已經達到9%
[1195.04-1197.86] 那去年年底我們導入Microsoft新的Cache
[1197.86-1199.90] 那這在Q4導入就是
[1199.90-1204.76] 各位在做那個有關Microsoft的一些更新的時候其實都用到這個Cache
[1204.76-1208.36] 那這目前流量也是慢慢上來
[1208.36-1214.76] 那當然我們現在今年3月最重要我們已經開展了一個活動就是那個大大起手讓愛延續的捐血活動
[1214.80-1216.34] 那等下那個
[1216.34-1220.94] 在今年3月我們希望能夠以目標募到一萬兩千袋
[1220.94-1222.22] 那這是一個公益活動
[1222.22-1227.34] 我們希望能夠贊助大大基金會來做這些事情
[1227.34-1229.64] 那我想說等一下會有兩個影片
[1229.64-1230.92] 來
[1230.92-1236.04] 來講一下這個活動大致上的訴求以及跟七個縣市目前從
[1236.04-1237.58] 台北市開始然後
[1237.58-1238.60] 台北
[1238.60-1241.94] 台北市新北市桃園新竹
[1241.94-1243.22] 苗栗
[1243.22-1244.76] 苗栗台中到
[1244.80-1247.88] 高雄
[1247.88-1249.92] 那這是我們的
[1249.92-1250.94] 廣告
[1274.80-1278.12] 一代學可以拯救一個家庭
[1278.12-1279.92] 讓我們的熱血
[1279.92-1281.72] 再次燃燒
[1281.72-1283.24] 因為有您
[1283.24-1285.04] 生命散發希望
[1285.04-1286.84] 因為有愛
[1286.84-1288.12] 幸福永在
[1288.12-1291.44] 讓我們一起再結情秀
[1291.44-1292.98] 你一代我一代
[1292.98-1294.52] 捐出我們的愛
[1294.52-1296.82] 高雄守門守護生命
[1296.82-1297.84] 擁抱愛
[1297.84-1300.66] 大大起手讓愛延續
[1302.70-1303.72] 然後今年跟去年我們增加的這個活動就是這個大大起手讓愛延續的捐血活動
[1303.72-1304.76] 大大起手讓愛延續的捐血活動
[1304.80-1305.56] 我們現在在台北
[1305.56-1308.12] 我們去年的目標是一萬代
[1308.12-1310.68] 最後達成是一萬一千八百代
[1310.68-1314.28] 那我們今天是設定一萬兩千代要突破去年的一萬一千
[1314.28-1316.58] 那個八百代的這個成績
[1316.58-1318.88] 所以今天目標設定是一萬兩千代
[1318.88-1324.00] 那我當然希望說這個公共活動可以幫忙台灣整個舒捷整個那個血荒
[1324.00-1327.32] 這個是一個公益活動我們積極在
[1327.32-1329.64] 一起參與這個活動
[1329.64-1337.32] 那當然在落實整個企業的永續經營的話我們出具了整個企業的永續報告書那我們在獲得了
[1337.32-1341.68] 台灣企業永續獎的資訊跟傳播通訊類的同獎
[1341.68-1346.80] 那也獲頒了這個新北企業祭典獎的永續發展跟創新
[1346.80-1350.64] 投資類因為我們去參加創新投資類的確是
[1350.64-1357.28] 大鋒有些經營的理念就是有比較創新的部分是我們整體就是部件FDTH
[1357.28-1360.60] 甚至是我們原來的VTL訊號是由原來的
[1360.60-1364.20] 同走HFC網路整個都切換刀光網路
[1364.20-1368.28] 所以我們在今年我們就希望能夠完成把Cable Warden整個拆掉
[1368.28-1372.12] 那我們未來就是完全是全FDTH網路提供
[1372.12-1373.92] 寬頻服務也提供
[1373.92-1380.06] 有線電池的服務所以這個是都全部在FDTH網路上面
[1380.06-1385.44] 那我今天報告到這邊謝謝
[1385.44-1387.24] 好那個謝謝劉博的
[1387.24-1388.78] 這個簡報
[1388.78-1391.34] 我想劉博是技術出身
[1391.34-1393.38] 那他對於這些
[1393.38-1400.04] 網路的串聯或者是說AI世代新產品價值服務的一個導入
[1400.04-1403.12] 有他超過30年的工作經歷
[1403.12-1404.90] 那劉博過去
[1404.90-1407.98] 有十幾年的時間是在鴻海集團
[1407.98-1412.08] 也負責鴻海集團第一台的計算盒的開發
[1412.08-1414.12] 也後來是負責整個
[1414.12-1415.14] 5G
[1415.14-1417.20] 以及8K的技術導入
[1417.20-1419.24] 那他加入
[1419.24-1422.32] 集團是大概約莫一年多前
[1422.32-1423.86] 先是出任
[1423.86-1426.42] 台灣寬頻通訊的技術長
[1426.42-1428.46] 那一直到去年呢
[1428.46-1430.26] 正式任命為
[1430.26-1431.80] 大峰的總經理
[1431.80-1434.86] 那我想在未來的3到5年
[1434.86-1437.94] 其實我們要做的兩件事很清楚
[1437.94-1439.98] 邏輯很清楚就是第一
[1439.98-1443.82] 我們就是以FDTH為軸心的一個
[1443.82-1447.16] 光纖寬頻網路平台的運營
[1447.20-1448.74] 那第二呢
[1448.74-1452.32] 在這個運營的平台上其實最重要的
[1452.32-1453.60] 不是內容
[1453.60-1455.14] 也不是產品
[1455.14-1456.16] 而是
[1456.16-1457.96] 傳輸的服務
[1457.96-1459.48] 我們這樣想好了
[1459.48-1462.30] 所謂的AI有那麼多的IDC
[1462.30-1464.86] 這些IDC都是一座一座的孤島
[1464.86-1466.92] 那這些孤島呢
[1466.92-1468.70] 要把它的算力
[1468.70-1471.52] 形成一門新的生意
[1471.52-1473.06] 深入到企業
[1473.06-1474.84] 深入到家庭
[1474.84-1476.38] 其實依靠的是什麼
[1476.38-1477.16] 就是網絡
[1477.20-1480.78] 那如果說各位說5G其實也可以
[1480.78-1482.32] 對不起喔
[1482.32-1484.62] 5G在巔峰時間喔
[1484.62-1486.16] 它的頻寬最多就100M
[1486.16-1487.18] 100M
[1487.18-1489.48] 如果你還用4G吃到飽
[1489.48-1492.82] 對不起巔峰時間只剩下10M
[1492.82-1495.38] 但是在寬頻你一個月
[1495.38-1496.40] 用400塊
[1496.40-1497.42] 你可以用到
[1497.42-1499.98] 360M的服務
[1499.98-1505.36] 所以其實我認為寬頻其實才是真正AI時代的
[1505.36-1506.90] 一個基礎建設
[1506.90-1508.44] 沒有寬頻
[1508.44-1509.98] 尤其家用寬頻
[1509.98-1512.28] 其實AI是落不了地的
[1512.28-1515.60] 那我們的責任就是把這些各地的
[1515.60-1518.16] IDC的這些流量
[1518.16-1519.44] 串流到
[1519.44-1520.72] 家戶
[1520.72-1522.26] 串流到企業
[1522.26-1524.56] 那自從我們
[1524.56-1525.34] 劉總
[1525.34-1528.14] 加入大峰之後大峰也開始
[1528.14-1530.46] 嘗試的去跟同業一起合作
[1530.46-1532.50] 去做了一些比較
[1532.50-1533.78] 初級的
[1533.78-1535.06] 企業用戶
[1535.06-1536.34] 比方說
[1536.90-1537.92] 像是
[1537.92-1541.00] 保險公司的各地的營業處所
[1541.00-1543.30] 過去一定是用中華電信
[1543.30-1546.12] 像我們給他一G大型
[1546.12-1548.16] 50M的上行
[1548.16-1549.70] 價格節省一半
[1549.70-1551.50] 他們高興得很
[1551.50-1552.26] 另外
[1552.26-1553.02] 像是
[1553.02-1555.34] 連鎖數十店
[1555.34-1558.14] 全省各地100多家的連鎖店
[1558.14-1560.70] 在我們經營區占了60幾家
[1560.70-1561.74] 我們跟
[1561.74-1563.52] 同業去合作
[1563.52-1565.32] 去把這些企業用戶
[1565.32-1566.34] 透過
[1566.34-1567.36] 跟同業
[1567.36-1568.90] 策略結盟的方式
[1568.90-1570.94] 把這種初級的企業用戶
[1570.94-1573.00] 一個一個納入囊中
[1573.00-1574.28] 還有包括
[1574.28-1576.84] 全省的連鎖性的停車場
[1576.84-1579.14] 停車場現在進去都用Token
[1579.14-1580.68] 都有這個
[1580.68-1583.74] 這個車牌的辨識系統然後計費系統
[1583.74-1585.54] 它整個串流起來
[1585.54-1587.58] 都是要經過固網
[1587.58-1589.12] 而這些固網呢
[1589.12-1590.92] 它用的頻寬其實不大
[1590.92-1592.70] 但是它的收費呢
[1592.70-1593.98] 會比家用
[1593.98-1596.04] 高出50%
[1596.34-1597.62] 所以這種
[1597.62-1600.70] 連鎖企業的企業用戶呢
[1600.70-1603.00] 必須是有足夠的
[1603.00-1605.04] 地域上的涵蓋率
[1605.04-1607.86] 以前我們任何一家業者都做不到
[1607.86-1610.16] 因為這是中華天興的
[1610.16-1611.96] 先天性的優勢
[1611.96-1614.52] 但是現在這個優勢慢慢被打破了
[1614.52-1616.82] 那我們要做的就是把我們的骨幹
[1616.82-1617.84] 從100G
[1617.84-1619.12] 擴到400G
[1619.12-1621.42] 然後串聯各地的IDC
[1621.42-1623.48] 把流量做到最大
[1623.48-1625.26] 流量就跟銀行的
[1625.26-1626.30] 金流是一樣的道路
[1626.34-1628.64] 有了流量有了金流
[1628.64-1631.20] 很多事情就變得
