[0.00-16.28] 各位同志先進大家好
[168.30-173.30] 其中大概九成都是以不害的一般事業貝基物居多
[173.30-178.30] 有害的事業貝基物大概是每年150萬噸左右的一個區間
[179.30-180.30] 所以它產出貝基物之後
[180.30-182.30] 會進行一個簡單拆分
[182.30-184.30] 然後分為貝基物的種類之後
[184.30-189.30] 還會委託接任的公司去進行貝基物的一個清除
[189.30-192.30] 那會再到相對應的一些
[192.30-194.30] 尖叫機構或是中間處理機構
[194.30-197.30] 文化廠等等去進行處置
[197.30-199.30] 然後在處理之後
[199.30-203.30] 就會進到現買廠去進行最終的一個處置動作
[205.30-206.30] 那提一部分
[206.30-207.30] 因為我們還說起廠期
[207.30-209.30] 它就是在最終處理的時候
[209.30-212.18] 掩埋土地在長期耕耘
[212.18-214.94] 我們在剛山走後有8座掩埋
[214.94-217.54] 現在其中6座是已經封場了
[217.54-220.10] 其中2座是還在營運當中
[220.10-221.62] 1座是有害的
[221.62-222.90] 1座是無害的
[222.90-227.34] 在大概集團2089年左右的時間
[227.34-230.10] 就開始陸續進行轉型的動作
[230.10-233.30] 開始我們就從掩埋持續往前
[233.30-235.78] 過展到其他中間處理的一些土地
[235.78-238.98] 像是文化、物理化學、物理淨淨等等
[238.98-243.10] 比如說像是我們跟全球最大的一個
[243.10-246.22] 麻煩公司維吉亞合作的可貴環境
[246.22-248.62] 然後到轉投資、中排資源
[248.62-250.74] 轉去布局
[250.74-252.34] 在整個被輸出的土地
[252.34-254.10] 也在利用的一個市場
[254.10-258.82] 接著我們在嘉義也去布局了一個再生職場
[258.82-260.62] 我們在再生能源的部分
[260.62-263.30] 也有漁艦工生的一個案場時機
[263.30-265.54] 最後也跨入了窮殘經濟的領域
[265.54-268.90] 我們把回收的一些無機體渣等等
[268.98-270.46] 去做什麼再生力量
[270.46-272.38] 最後再去進行土地、土產品
[272.38-275.22] 讓它回到市場內去做一個使用
[275.22-277.82] 那包括其他我們也有親密的車隊
[277.82-279.62] 我們有自己的實驗中心
[279.62-281.02] 那在實驗中心裡面
[281.02-284.58] 大概已經累積了20多萬筆的一個數據
[284.58-287.30] 在我們的知識庫裡面去進行研究
[287.30-288.74] 那我們也將這些
[288.74-292.54] 我們在長期環保上的一些經理的專業
[292.54-295.74] 去開展到土地的整治項目中
[295.74-298.18] 那另外我們也轉投資了
[298.18-299.62] 大型永續科技
[299.62-302.66] 那大型永續科技它提供系統化
[302.66-304.70] 比如說它換一些解決方案
[304.70-308.34] 去整合整個集團的一些解決方案的資源
[308.34-309.62] 去提供給客戶
[309.62-311.78] 從零費然後再到無氹
[311.78-316.22] 再到永續相關的一些一層活動
[316.22-319.62] 那在這個簡單的產業鏈的一個圖表當中
[319.62-320.62] 大家可以看到
[320.62-324.74] 其實在市場中的主要的大小事
[324.74-326.78] 就是產費端的事業單位
[326.78-328.02] 然後到清除的車隊
[328.18-330.58] 再到像可尼威這樣的處理機構
[330.58-332.06] 那其實在這個圖表當中
[332.06-333.50] 大家可以看到說
[333.50-336.98] 可尼威從一開始在最終處置掩埋的一個布局
[336.98-338.46] 持續往前
[338.46-340.50] 去市場做一個滲透
[340.50-342.58] 然後我們自己建了自己的車隊
[342.58-344.46] 我們來通過轉投資的方式
[344.46-348.18] 有種文化化化學等等的一些中間處理途徑
[348.18-351.98] 那再到再利用的一些循環經濟概念
[351.98-353.78] 以及廢墟資源化
[353.78-355.58] 能用化的一些解決方案
[355.58-358.02] 那其實在這個交易架構裡面
[358.18-361.18] 我們加入了一個環保平台的角色
[361.18-363.38] 但其實這個環保平台的加入
[363.38-368.38] 也等於是我們給整個產業做一個轉型的一個契機
[368.38-370.06] 我們通過這個環保平台
[370.06-371.46] 讓整個交易模式
[371.46-372.58] 它更加透明
[372.58-374.30] 資訊可以更加對稱
[374.30-375.78] 通過這個環保平台
[375.78-377.54] 它可以直接對接到
[377.54-380.46] 環境部的每個分清物車號的平台
[380.46-384.26] 等於是讓整個產業都朝向一個資訊化
[384.26-387.14] 然後去做一個數位轉型的一個工具
[388.18-391.18] 那在我們集團內部的一個管理上
[391.18-394.98] 我們也整合一些資訊化平台化的一個題材
[394.98-399.58] 那我們打造一個像是大家圖表上看到一個暫停式的畫面
[399.58-402.58] 我們把所有我們廠區的據點
[402.58-403.98] 或者處理者
[403.98-407.78] 都讓到這個暫停式的系統裡面來去做一個遠端
[407.78-409.18] 還有即時的一個管理
[409.18-411.98] 大概包括像是我們的車的路線狀況
[411.98-416.18] 然後我們掩埋層的一些處理的即時影像等等
[416.18-417.18] 都可以在暫停式的一個系統裡面來去做一個遠端還有即時的一個管理
[417.18-420.50] 暫停式的一個系統去做一個最重要的控制
[420.50-424.02] 然後也包括一些像是相關情境的異常分析
[424.02-426.02] 然後一些公安的管理等等
[426.02-430.22] 我們都用暫停式的系統去達到一個即時還有遠端的一個控制
[432.34-434.94] 那接著就是對一些我們主要的短投資項目
[434.94-436.14] 跟大家做一個分享
[436.14-438.06] 那首先剛好就是中台資源
[438.06-441.14] 但是剛好今天中台資源的經理團隊也在現場
[441.14-444.74] 所以我就只要在這邊幫忙弄管就簡單帶過來
[444.74-446.70] 然後如果行線部分再請幫
[447.18-448.18] 我們做一個分享
[448.18-454.18] 那中台它是全盤最大的被光源回收的處理層
[454.18-460.18] 那在防抖廢棄物的處理的實戰率達到99%以上
[460.18-465.18] 那同時也回收PCB板等電子的一個廢棄物
[465.18-469.18] 來去做到一些銅板的一個提煉去進行搬送等等
[469.18-476.18] 那在2022年我們中台也相轉了一座綜合性處理層
[476.18-476.42] 那這座綜合性處理層呢就是在中台的一個電子的一個廢棄物的一個處理層
[476.42-477.18] 那在2022年我們中台也相轉了一座綜合性處理層
[477.18-484.18] 它是全台灣唯一融合的文化、發電、固化還有固化的一個綜合性處理層
[484.18-488.18] 目前的一個廢棄物處理代碼超過200項
[488.18-493.18] 本化回收每個月的許可文化單是3780噸
[493.18-497.18] 那目前也在規劃一起的一個工程
[497.18-500.18] 那在循環經濟的部分
[500.18-506.18] 我們有透過大臣循環我們電造一座再生力料廠
[506.18-506.42] 那在循環經濟的部分我們有透過大臣循環我們電造一座再生力料廠
[506.42-509.42] 那我們也有一個極底的混凝土廠
[509.42-514.42] 這個三維模式主要是我們把一些無機的一些物理抵紮
[514.42-516.42] 就是我們透過文化的一些抵紮產生
[516.42-521.42] 那我們將這些抵紮進到大臣循環裡面透過固化的一個製程
[521.42-523.42] 我們把它做成再生力料
[523.42-527.42] 那這個再生力料會作為混凝土的一個材料之一
[527.42-531.42] 進到極底材料裡面去做成ZLSM
[531.42-534.42] 那ZLSM就是低強度的混凝土
[534.42-535.42] 它主要是會用在工程上
[535.42-539.42] 就是廣東培田的一個材料去做使用
[539.42-543.42] 那在嘉義剛才我們有提到說
[543.42-546.42] 我們在嘉義投資了一座職場
[546.42-547.42] 大家可能會想說
[547.42-549.42] 可能因為它身為一個廣東公司
[549.42-552.42] 為什麼要投資一個那種傳統的產業
[552.42-558.42] 那其實上品主要會是我們實現全循環經濟的一個很重要的一個場域
[558.42-562.42] 那上品我們把它打造成一個全循環的一個再生職場
[562.42-564.42] 我們像是回收街通路業者
[564.42-569.42] 他們的一些紙箱包裁這些廢棄物用紙
[569.42-571.42] 然後把它重新打成紙箱之後
[571.42-573.42] 做成其他工業用紙產品
[573.42-575.42] 回送給客戶去進行使用
[575.42-580.42] 其實在造紙上它是一個非常高感的製程
[580.42-583.42] 同時又非常高耗水高耗電
[583.42-585.42] 但同時又需要去外購拿美
[585.42-587.42] 去投到多度去做使用
[587.42-591.42] 但在造紙的裏面它又會產生很多零雜跟污泥
[591.42-594.42] 它又需要回收給外購人員
[594.42-596.42] 去進行這種具體的廢棄物的處置
[596.42-600.42] 所以它其實會對於營運的成本
[600.42-603.42] 或者是一些環境上都造成大的壓力
[603.42-607.42] 但我們上品我們投入一個新的氣墊構成模
[607.42-612.42] 我們將回收回來一些沒辦法去做成紙製品的一些廢棄物
[612.42-615.42] 像是那些高粒子的塑料等等
[615.42-618.42] 然後混合我們一些產生的一些工品
[618.42-620.42] 紙紮的一些去做成SRF
[620.42-623.42] 然後作為南美的一個替代材料
[624.42-626.42] 然後再去做一些工具的使用
[626.42-630.42] 像這些魚肉我們在進行發電工廠的一個自發自用
[630.42-634.42] 所以等於是我們節省了外購拿的料的一個成本
[634.42-637.42] 委託廢棄物處置的一個支出
[637.42-638.42] 然後也節省電費
[638.42-642.42] 而同時也對於上面的一個控管還有瓦氣的保護風
[642.42-644.42] 還有一個效果
[646.42-648.42] 那在塑膠化的部分
[648.42-652.42] 在關陰在中海的場域旁邊
[652.42-655.42] 我們規劃了一座SRF的發電廠
[655.42-659.42] 那這個主要是我們通過一些高效率的方式
[659.42-662.42] 把廢棄物發給廠房進行發電
[662.42-664.42] 那目前我們規劃的是每日處理
[664.42-666.42] 大概是350公噸的一個量能
[666.42-669.42] 那目前這個廠是還在建設當中
[672.42-674.42] 那在再生能源的部分
[674.42-677.42] 我們也同步了一間工廠的案廠開發
[677.42-679.42] 那我們現在在高雄彌陀牛
[679.42-682.42] 將近70MW的一個裝置容量的案廠
[682.42-684.42] 現在是已經掛了一年當中
[684.42-689.42] 那額外還有70MW現在是在生設的一個進度
[689.42-693.42] 那我們集團在去年相半年
[693.42-695.42] 也透過旗下的一個大創電力
[695.42-698.42] 跨入了生電業的一個領域
[698.42-700.42] 比如說我們在再生能源的分局是
[700.42-702.42] 還有一個賣錢的領域
[703.42-706.42] 那最後跟大家分享一個很大型有趣的一個部分
[706.42-707.42] 因為剛剛有提到說集團
[707.42-708.42] 我們有把物流都走離開了
[709.42-710.42] 我們有把物流都走離開了
[710.42-712.42] 那這一個是我們在這個平台的一個角色
[712.42-714.42] 我們又用資訊化的方式來維持生育的一個管理
[714.42-718.42] 那這些其實都是大雲永去提供給我們的一些解決方案
[718.42-723.42] 大雲永去從一開始開發了打造了環保平台
[723.42-725.42] 就像是這樣的角色
[725.42-728.42] 來複出整個在傳統交易模式上面一些不透明
[728.42-729.42] 資訊不對稱
[729.42-735.42] 然後過分仰賴信任業者的一個產業的現狀
[735.42-738.42] 隨著之後這個平台的建立
[738.42-741.42] 開始跨幅到了廢棄物的資訊化管理
[741.42-745.42] 包括了從廢棄物從廠後的廠內出廠
[745.42-748.42] 到起源過程到進處理廠處理完成
[748.42-751.42] 我們都用監控追蹤的方式
[751.42-754.42] 在大雲平台上面可以去做到一個控管
[754.42-756.42] 那隨著現在零碳
[756.42-759.42] 接下來大家又關注有趣的相關議題
[759.42-762.42] 所以我們也打造了一個有趣的平台
[762.42-764.42] 包括提供科目會如碳排查
[764.42-766.42] 或是總體報告書
[766.42-768.42] 產品創造基金等等的基本跨境
[768.42-772.42] 結合總區部門的方式來提供科目完整的一個解決方案
[772.42-776.42] 那接著跟大家分享一下去年度
[776.42-779.42] 零碳排查成本的一些評估上的程度
[779.42-780.42] 在零碳排查成本的4年
[780.42-783.42] 全年合幣營收大概是51.7億
[783.42-786.42] 那最後進行11.75億
[786.42-791.42] 那YOY大概都是維持在一個20%的一個成長的狀態
[791.42-794.42] 那在財務比據上的部分
[794.42-796.42] 毛利率去年都是39%
[796.42-798.42] 那營業利率24%
[798.42-800.42] 淨利率23%
[800.42-803.42] 那當然大家最關心的股利
[803.42-809.42] 前陣子的董事會也決議維持配發10塊錢的一個基金股利
[809.42-815.42] 那接著跟大家分享一下業績上面基本上的一些成果
[815.42-819.42] 因為畢竟可麗味本身身為一個環境保護的專家
[819.42-823.42] 當然在自身的業績訪問上面也不能太過辛苦
[823.42-827.42] 所以我們在2019年成立了永續發展部門之後
[827.42-830.42] 2020年出了第一本永續報告書
[830.42-838.42] 直至2024年已經延續5年的永續報告書都得到了PCSA它永續報告書獎項的一個肯定
[838.42-844.42] 但502也是國際企家加入了一本環保公司
[844.42-851.42] 因為它是由英國企業組織跟Berryland和它一起提出的一個倡議
[851.42-856.42] 但它主要的訴求是希望企業它可以用更少的資源更有效率的方式
[856.42-859.42] 來提高整個經濟的產出
[859.42-864.42] 比如說能源使用的產它可以需要很大高
[864.42-869.42] 但這個其實也會有很多在經營層面上面的一個中值
[869.42-875.42] 那我們肯定為三座主要的廠區包括了肯定的工廠
[875.42-878.42] 兩座掩埋廠都有取得碳標性的認證
[878.42-882.42] 比如說客戶它收集一些外部碳排資訊
[882.42-885.42] 廢物的產出都可以通過這個方式來取得
[885.42-887.42] 相關的碳排
[887.42-891.42] 那除了剛才我們提到說通過大創業
[891.42-894.42] 我們有魚店工程的岸廠開發
[894.42-900.42] 那其實我們家計的廠區屋頂還有閒置的工廠的掩埋廠上方
[900.42-904.42] 都有加設太陽輔板來進行太陽能發電
[904.42-908.42] 那同時我們也利用一般資源被修的掩埋廠
[908.42-911.42] 它會因為有機質分解產生甲烷
[911.42-914.42] 那我們也透過這個方式來進行整氣發電
[915.42-922.42] 那當然大家也都知道我們有全世界最大的直升牆
[922.42-925.42] 那其實直升牆不只是維持我們一些環境的進化
[925.42-929.42] 它也會達到一些廢水的一個進化處理
[929.42-934.42] 那在社會層面的部分
[934.42-939.42] 因為畢竟可能會長期在永續在環境部分的一些琢磨
[939.42-943.42] 所以我們也希望它可以落實到社會到校園
[943.42-945.42] 所以我們不定時會舉辦工作坊
[945.42-948.42] 或者一些社區的一些教學活動
[948.42-952.42] 來跟里民或者是教師們去進行互動
[952.42-956.42] 來讓整個環境教育的一個理念可以向下扎根
[959.42-963.42] 我們也開放社區環保局等等一些官方學術的單位
[963.42-965.42] 來往橋內去進行參訪
[965.42-969.42] 讓我們也不定期舉辦產學教學的一些活動
[969.42-972.42] 來跟業界跟社區去進行一些公司洽貨活動
[973.42-978.42] 那當然我們取之於社區
[978.42-979.42] 我們也回饋於社區
[979.42-982.42] 所以我們在這20幾年以來
[982.42-987.42] 我們都主動自發地去維持長期附近林立的一些清潔
[987.42-992.42] 包括幫處理一些污染或者是各式的一些處理
[992.42-997.42] 讓比如說最實際的回饋給當地的社區
[997.42-1001.42] 那以上主要就是很為進化的一些報告
[1001.42-1003.42] 還有業界上面的一些發展
[1003.42-1005.42] 大家做一個報告
[1005.42-1008.42] 有問題的話也歡迎大家可以提出
[1008.42-1012.42] 好那我們謝謝李佩艾讓我們交話
