[0.00-22.56] 各位先進
[176.40-179.40] 年減5% 季增3%
[179.40-186.40] 其中年減5%主要是以公控應用面的產品營收減少為主
[186.40-193.40] 那因為在公控產品應用面的客戶大多以歐洲為大多數
[193.40-198.40] 那主要受到地緣政治及經濟狀況不佳的影響下
[198.40-201.40] 影響了整個的終端需求
[201.40-204.40] 但是在第二季的能見度已經轉好了
[204.40-207.40] 那在營業毛利率是26%
[207.40-210.40] 優於去年同期的24%
[210.40-212.40] 那營業淨利是7200萬
[212.40-215.40] 年減900萬 季減100萬
[215.40-217.40] 主要是指公司在2024年
[217.40-222.40] 就是去年Q1的時候有做待帳的回轉800萬
[222.40-226.40] 那另外在歸屬母公司本期淨利是4400萬
[226.40-228.40] 年增400萬 季減300萬
[228.40-231.40] 那每股盈餘是0.56
[234.40-238.40] 那接下來我們看到的是產品應用面
[238.40-243.40] 在2025 Q1跟去年同期的比較下
[243.40-247.40] 在傳播的部分是2.8億
[247.40-249.40] 那叫去年同期減少了1000萬
[249.40-252.40] 那另外在醫療的部分是2.3億
[252.40-255.40] 那跟同期持平
[255.40-258.40] 那在公控的部分是1.7億
[258.40-260.40] 那叫去年同期減少了2000萬
[260.40-262.40] 那在特殊車輛1.4億
[262.40-264.40] 也叫去年同期持平
[264.40-268.40] 那我們可以看到整個圓餅圖
[268.40-270.40] 主要減少比較多的
[270.40-273.40] 還在來自於公控的一個內容
[273.40-274.40] 那前面也有提到
[274.40-278.40] 因為我們公控的主要的客戶都是在歐洲
[278.40-280.40] 那受到當地的一個
[280.40-282.40] 地緣政治及經營狀況
[282.40-284.40] 不加支的影響
[284.40-287.40] 所以整個訂單有下滑
[287.40-290.40] 那其餘的差異就是在其他的部分
[290.40-292.40] 就是包含半成品還有原物料
[292.40-294.40] 那我們世大應用面
[294.40-296.40] 的毛利率我們可以看到
[296.40-299.40] 下面有一個小的箭頭表
[299.40-302.40] 那在整個毛利率的區間
[302.40-307.40] 就是以醫療的應用面是最好的
[307.40-309.40] 那它整個毛利率會超過30%
[309.40-311.40] 那其實是傳播
[311.40-313.40] 那再來就是公控應用面
[313.40-316.40] 那再來就是特殊車輛應用面
[316.40-321.40] 那接下來我們看到是
[321.40-322.40] 合併的資產負債表
[322.40-324.40] 那截至2021年
[324.40-332.40] 在公司的資產總計是38億1300萬
[332.40-335.40] 那其中現金及約當現金
[335.40-338.40] 為13億6500萬
[338.40-340.40] 那佔資產的36%
[340.40-343.40] 那計增5%年減14%
[343.40-347.40] 主要是在2024年3月有IPO
[347.40-351.40] 所以當時現金增值有5億
[351.40-352.40] 接著在營收佔款有6億8900萬
[352.40-353.40] 接著在營收佔款有6億8900萬
[353.40-355.40] 佔比18%
[355.40-356.40] 那與前期並無重大的一個變化
[356.40-359.40] 那與前期並無重大的一個變化
[359.40-360.40] 那另外在庫存有5億6600萬
[360.40-363.40] 那另外在庫存有5億6600萬
[363.40-364.40] 那與前期也沒有明顯的差異
[364.40-366.40] 那與前期也沒有明顯的差異
[366.40-367.40] 那在不動產及廠房設備
[367.40-369.40] 那在不動產及廠房設備
[369.40-370.40] 維持在7億7000萬左右
[370.40-372.40] 維持在7億7000萬左右
[372.40-373.40] 另外在負債方面
[373.40-375.40] 另外在負債方面
[375.40-376.40] 流動負債是12億0700萬
[376.40-377.40] 流動負債是12億0700萬
[377.40-378.40] 激增33%
[378.40-379.40] 激增33%
[379.40-380.40] 那主要是我們在第一季董事會
[380.40-382.40] 主要是我們在第一季董事會
[382.40-383.40] 主要是我們在第一季董事會
[383.40-384.40] 已經通過鼓勵分配案
[384.40-385.40] 已經通過鼓勵分配案
[385.40-387.40] 那這部分縱幅的分配有
[387.40-388.40] 那這部分縱幅的分配有
[388.40-389.40] 金額是2.3億
[389.40-391.40] 那只公司預為有1.2億
[391.40-392.40] 那只公司預為有1.2億
[392.40-393.40] 所以在營運分配會轉其他應付款
[393.40-395.40] 所以在營運分配會轉其他應付款
[395.40-396.40] 那另外在權益總計有25.35億
[396.40-398.40] 那另外在權益總計有25.35億
[398.40-399.40] 計減9%
[399.40-400.40] 計減9%
[400.40-401.40] 主要也是因為
[401.40-402.40] 主要也是因為
[402.40-404.40] 董事會通過鼓勵分配案的一個
[404.40-405.40] 董事會通過鼓勵分配案的一個
[405.40-406.40] 重分類
[406.40-407.50] 他另外在整體而言
[407.50-408.40] 他另外在整體而言
[408.40-409.40] 公司的財務結構是穩健的
[409.40-410.40] 公司的財務結構是穩健的
[410.40-411.40] 公司的財務結構是穩健的
[411.40-412.40] 公司的財務結構是穩健的
[412.40-413.40] 公司的財務結構是穩健的
[413.40-414.40] 公司的財務結構是穩健的
[414.40-415.40] 公司的財務結構是穩健的
[415.40-416.40] 公司的財務結構是穩健的
[416.40-417.40] 那接下來我們看到的是
[417.40-418.40] 那接下來我們看到的是
[418.40-419.40] 重要的一些財務指標
[419.40-420.40] 那接下來我們看到的是
[420.40-421.40] 重要的一些財務指標
[421.40-422.40] 那在
[422.40-423.40] Youtube的一個因收暫罈天數
[423.40-424.14] 78天
[424.14-428.04] 那叫去年底跟前期来的高
[428.04-429.26] 主要是我们有一个
[429.26-431.82] 比较重要的客户
[431.82-434.52] 那就是合作也很久了
[434.52-437.04] 所以他有邀请把天数延长
[437.04-441.76] 那另外在存货周转天数是83天
[441.76-444.24] 那应付周转天数是61天
[444.24-447.32] 那流动比例是222%
[447.32-451.30] 那权益报酬率今年化之后是9%
[453.40-456.20] 那以上是财务报告
[456.20-462.08] 营运状况及未来展望
[462.08-468.12] 我们请研发处长叶处长来跟各位做报告
[468.12-470.24] 各位先进大家好
[470.24-472.68] 我是研发资深处长叶映湖
[472.68-475.80] 以下由我为您来说明
[475.80-478.74] 目前公司产品的发展方向
[478.74-482.14] 在这页投影片可以看得到
[482.14-483.38] 横向的扩展方向
[483.40-485.14] 在这页投影片可以看得到
[485.14-488.92] 重辅持续在休闲航海特殊车辆
[488.92-491.04] 以及公控的部分
[491.04-494.14] 持续扩展我们在户外强固型
[494.14-498.22] 耐候性显示模组以及系统方案
[498.22-499.88] 在休闲航海部分
[499.88-503.50] 持续提供客户抗阳光直射
[503.50-508.22] 以及优异的防水防盐水的触控方案
[508.22-510.62] 超大的横屏方案
[510.62-512.16] 在特殊车辆
[512.16-513.24] 我们除了
[513.24-516.76] 强固型的显示器模组之外
[516.76-518.96] 还有耐候性的强调
[518.96-521.48] 我们又提供了MCU Platform
[521.48-523.82] Embedded 闪路式的
[523.82-526.18] 一个人机系统界面
[526.18-527.80] 在公控方面
[527.80-530.58] 我们除了原本的模组之外
[530.58-533.62] 又增加提供Open Frame Monitor
[533.62-535.56] 的系统整合方案
[535.56-537.60] 以及非常优异的
[537.60-541.08] 全天候的触控的功能
[541.08-543.08] 所以在这里增加了一个垂直整合方案
[543.24-544.24] 以及我们的
[544.24-546.74] 闪路式的人机界面方案
[546.74-548.24] 在专业显示方案
[548.24-550.00] 持续在医疗方面
[550.00-552.80] 我们提供专业的医疗
[552.80-554.48] 明晨的颜色
[554.48-556.80] 可以有55寸到65寸的
[556.80-560.90] 大尺寸的专业显示方案
[560.90-566.16] 那么下一页
[566.16-567.92] 这里强调的是以
[567.92-569.88] 政府的核心科技
[569.88-573.08] 光学贴合我们先进的触控技术
[573.08-575.32] 以及系统整合为核心
[575.32-579.16] 扩展我们的专业显示模组系统
[579.16-580.58] 那里面包含了
[580.58-582.68] 原型的超宽屏
[582.68-584.72] 全天候耐候性
[584.72-585.96] 悬浮触控
[585.96-587.56] 还有防水触控
[587.56-589.36] 还有24期
[589.36-590.68] 一天24小时
[590.68-591.76] 一周7天
[591.76-599.84] 全年365天不关机的优异的性能
[599.84-602.92] 那以及我们有系统整合的产品
[603.08-605.32] 还有优异的光学贴合
[605.32-609.32] 好
[609.32-612.84] 那底下未来展望呢
[612.84-615.32] 由我们的业务处长
[615.32-617.52] 来向各位说明
[617.52-620.60] 会投资先进大家好
[620.60-621.52] 我是业务处长
[621.52-622.32] 链向如
[622.32-624.08] 以下由我来报告
[624.08-627.84] 未来展望以及产品的经营成果
[627.84-631.32] 那未来展望在休闲航海部分
[631.32-633.08] 欧美航海显示器
[633.08-636.80] 需求已经有明显的比第一机提升
[636.80-640.48] 那我们除了现有机种的营收贡献之外
[640.48-643.80] 我们还有新产品开发样品也送样
[643.80-646.20] 那这些展望未来会增加
[646.20-649.32] 在航海这部分的营收
[649.32-651.96] 那特殊车辆部分
[651.96-653.44] 除了现有的产品
[653.44-655.96] 因为特殊车辆的开发期较长
[655.96-658.32] 所以我们在去年到今年
[658.32-661.40] 我们持续开发新产品来
[661.40-662.92] 预祝2026年
[663.08-665.00] 2027年的营收
[665.00-667.72] 那这也逐步展开
[667.72-669.60] 现在也送样
[669.60-672.00] 期许未来会增加
[672.00-674.32] 在明后年会增加
[674.32-677.36] 扩大车出车辆的营收
[677.36-680.44] 那在工业控制部分
[680.44-684.56] 因为政府在这两年有持续开发
[684.56-685.92] 中大尺寸型
[685.92-688.40] 而且户外强固型显示器
[688.40-692.96] 那这部分在27寸到65寸的
[693.08-698.20] 实机部分也以提供样品给客户
[698.20-701.72] 并且要进行小量试采
[701.72-703.32] 那这也是工业控制
[703.32-705.36] 在我们未来的
[705.36-709.20] 可以预祝比较大的营收部分
[709.20-711.56] 那专业医疗部分
[711.56-716.20] 在未来除了已经在聚焦在
[716.20-718.44] 新市场的成长
[718.44-722.92] 那我们会继续扩大医疗用人机界面的显示
[722.92-723.68] 显示器
[728.04-733.16] 那以下是跟各位投资先进说明
[733.16-737.52] 我们在第二季展开来的产品经营成果
[737.52-740.84] 那可以看到的是在修行航海部分
[740.84-744.68] 我们布局的大尺寸航海显示器
[744.68-747.24] 在43寸跟55寸
[747.24-749.28] 已经送样给客户验证
[749.28-752.88] 那这是对航海部分的重辅一大部分
[752.88-755.60] 比较大型的突破
[755.60-758.00] 而且是封在户外部分
[758.00-760.04] 那客户现在验证中
[760.04-764.92] 那有可能在Q4或明年Q1会亦助营收
[764.92-767.48] 那在特殊车辆部分
[767.48-769.88] 全地行车辆已经在
[769.88-772.88] 将在Q3亦助营收
[772.88-776.44] 那新能源车的小型智能车表
[776.44-779.00] 也已开始进行试采
[779.00-782.16] 那Q4的部分应该是会有
[782.16-782.84] 更多的车辆进行试采
[782.88-786.72] 更大的客户需求會比較提升
[786.98-789.54] 所以這是特殊車輛的經營成果
[791.08-792.86] 在工業控制部分
[795.42-799.52] 中型尺寸其實一直以來已經穩定
[799.52-804.90] 所以我們又持續發展21.5到55吋的戶外強固型顯示器
[805.92-807.96] 以及大型的互動看板
[808.22-811.04] 這已經進入市場階段
[811.04-816.16] 也是未來有別於中小尺寸之外的
[816.68-820.00] 貢獻營收的部分
[820.26-822.04] 在專業醫療部分
[822.56-823.84] 就是Q3期
[824.10-828.20] 這個新型的大型醫用顯示器
[828.70-830.24] 會開始進行量產
[831.00-833.56] 也會為我們的營收帶來貢獻
[836.64-840.22] 以上是我們在這上半年的經營
[840.48-841.00] 產品
[841.30-842.06] 經營成果
[842.58-846.92] 在對外部分我們在展會的活動方向
[847.18-849.48] 我們一樣致力於我們在
[850.00-850.52] 戶外
[850.76-852.04] 耐後勤的
[852.30-856.40] 我們會參與各個國際展會以及行銷活動
[856.66-858.20] 提升我們政府的
[858.44-859.48] 知名度
[859.72-860.24] 然後更
[860.50-861.00] 更
[861.26-863.82] 吸引更多具有價值的客戶
[864.08-866.38] 來跟我們開發新產品
[867.66-870.74] 以上就是我們有從台灣出發到
[871.04-871.80] 歐洲
[872.06-875.40] 的PowerDrive以及美國的ACT展秀
[875.90-877.70] 以及台灣的CompluSense
[877.96-879.24] 那我們也獲得
[879.48-881.02] 很高的詢問度
[883.08-884.60] 以上是我們在
[885.38-888.96] 業務部分跟大家先進報告謝謝
[892.54-895.36] 好那我們謝謝眾福團隊的精彩分享
[895.62-897.92] 那我們接續我們就進入QA的時間
[898.18-899.20] 各位投資先進如果有問題這邊可以開啟賣點
[899.20-901.00] 各位投資先進如果有問題這邊可以開啟賣點
[901.04-901.80] 我們會在電視上做提問
[902.06-904.36] 或是在聊天視窗輸入您的問題
[904.62-905.64] 我們會代為發問
[905.90-907.44] 謝謝各位投資先進的配合
[926.38-928.18] 已經有
[928.44-931.00] 一些投資先進的書面的
[931.30-931.80] 詢問
[932.06-933.60] 那我們這邊
[934.36-936.68] 首先是Money DJ的李琴
[936.92-937.44] 記者
[937.96-943.84] 他詢問是今年各大業務展望及受關稅與匯率的影響為何
[944.10-946.40] 首先業務展望我請那個
[946.66-948.20] 煉助長來回答
[949.72-952.28] 關稅的部分跟匯率我們請財務長
[952.54-953.32] 來回答
[955.36-958.94] 業務展望部分如同剛剛對
[958.94-964.58] 各位先進的報告我們目前看來我們會有逐劑成長
[964.82-966.36] 而且一季會比一季好
[966.62-968.16] 原因就在於我們
[968.42-969.94] 在新產品的
[970.20-972.00] 加入這個動能會
[972.76-973.54] 增加
[974.04-976.10] 下半年的營收
[976.34-980.18] 但不過因為的確是有關稅跟匯率的風險
[980.44-981.72] 那就
[982.24-984.28] 這個也是無可避免
[984.80-987.62] 就由我們財務來說明一下
[987.86-988.90] 關稅部分
[989.20-990.74] 是否有影響到
[990.98-991.50] 這個
[991.76-996.10] 好那針對關稅跟匯率這邊我統一做一個
[996.36-997.38] 匯整
[998.92-1003.28] 首先針對關稅就是目前台灣在跟美國還是在
[1003.54-1005.84] 談判還在持續進行中不過
[1006.60-1009.94] 我們集團內部是有討論就是從美國英國
[1010.18-1015.56] 跟英國還有中國達成的協議來看呢預測台灣可能會在20%上下
[1016.58-1018.90] 那另外在政府我們直接
[1019.20-1023.54] 銷售到美國的產品站合併營收大概三成左右
[1024.82-1026.62] 另外政府的產品站
[1026.88-1031.74] 美國就是客戶他整機的一個成本約30%到40%
[1032.00-1036.60] 如果關稅在20%的話那對整機的成本影響
[1037.88-1039.68] 僅6%到8%
[1040.18-1047.10] 那公司的因應主要就是首先還是要看客戶的一個反應那短期內
[1048.12-1048.90] 我們的因應方式
[1049.20-1049.96] 應該會
[1050.22-1054.06] 降價的方式來分攤客戶的一個關稅成本
[1055.08-1057.90] 那維持原來的客戶的佔有率
[1058.42-1059.18] 那另外
[1059.44-1065.58] 第二點就是會評估關稅比較低的國家來進行最終的一個組裝或者採取
[1065.84-1067.62] 部分外包的製造策略
[1068.14-1071.46] 那目前公司已經有規劃在越南的產線
[1073.00-1076.08] 那預計在Q4應該可以開始
[1076.84-1077.62] 來生產
[1077.62-1083.76] 那另外也公司也會持續強化公司的營運效率然後來降低整個的一個成本
[1084.02-1084.78] 還有費用
[1086.06-1088.38] 那針對匯率的問題就是
[1088.88-1089.66] 公司
[1089.90-1094.00] 我們主要還是採取自然的一個避險那因為我們的
[1094.26-1097.58] 美金採購的原物料從之前的大概6
[1097.84-1100.40] 6成那現在已經提高到七八成了
[1101.18-1104.50] 那另外公司也持續在降低美金的一個部位
[1105.26-1105.78] 那
[1106.30-1106.80] 而且有
[1107.06-1107.58] 都有做過
[1107.88-1108.38] 避險
[1108.64-1110.44] 所以雖然在
[1110.94-1111.46] 在
[1112.22-1114.54] 5月份有匯兌損失但是影響
[1114.78-1115.56] 並不重大
[1116.32-1122.46] 那另外接著就是公司的訂單都是用美元在報價所以台幣的營收肯定會
[1122.72-1123.50] 會受到影響的
[1124.00-1127.58] 那加上初期的一個救料成本是比較高的
[1128.10-1134.24] 所以初期呢就是在影響毛利率的部分會有2-3%的一個毛利率的一個影響
[1137.88-1140.18] 那以上是針對
[1140.44-1143.00] 關稅還有匯率的部分做說明
[1145.04-1149.90] 感謝財務長的說明那接下來是台中銀投信林靜祥的
[1150.42-1150.94] 提問
[1151.18-1153.50] 請問五月營收下滑主要
[1154.00-1155.02] 原因是為何
[1155.80-1157.58] 那我請煉處長來回答
[1159.38-1163.48] 關於五月營收下滑其實重複在五月的營收
[1163.98-1166.80] 原本是應該算是成長可是由於匯率的過程中
[1166.80-1167.58] 重複在五月的營收原本是應該算是成長可是由於匯率的過程中
[1167.58-1168.34] 重複在五月的營收原本是應該算是成長可是由於匯率的過程中
[1170.14-1172.18] 就影響了我們在
[1172.44-1173.98] 這是在匯兌部分
[1174.24-1175.52] 產生的影響
[1183.46-1184.48] 下面是
[1185.50-1188.32] 馬格的投資先進在詢問
[1189.08-1190.62] 重複科目前
[1190.88-1192.42] 除了戶外顯示器外
[1192.66-1195.22] 公司在無人機如何佈局
[1195.74-1197.02] 另外第二點是
[1197.02-1199.84] 公司產品有沒有機會在半導體
[1200.10-1201.38] 設備導入
[1201.88-1204.18] 那首先回答重複
[1204.44-1208.02] 我們是加斯達集團的子公司
[1209.30-1210.08] 加斯達
[1210.34-1211.36] 本身有
[1211.62-1212.38] 做
[1212.64-1214.68] 生產無人機的部分
[1215.46-1217.76] 重複是專門提供
[1218.02-1219.30] 無人機的顯示器
[1219.80-1221.34] 這個部分給集團使用
[1222.10-1226.46] 那這個無人機的顯示器就是需要一個高樣戶外能夠顯示
[1227.02-1231.12] 另外就是要做一些防水跟觸控的
[1231.38-1232.14] 一些內容
[1232.90-1236.74] 那公司產品現在目前在半導體設備上的導入是沒有
[1244.68-1245.70] 接下來是
[1245.96-1248.52] 華南投顧的陳一鳴
[1249.04-1250.06] 研究經理
[1251.08-1255.18] 他對2025年H2的展望我們請列印處長回覆
[1257.02-1259.06] 下半年部分
[1260.10-1262.14] 我們其實第二季已經
[1262.40-1264.18] 確定會比第一季優
[1264.70-1266.74] 那第三季第四季的部分
[1267.00-1268.02] 由於
[1268.28-1269.30] 新產品
[1269.56-1270.34] 開發
[1270.58-1272.38] 在特殊車輛部分
[1272.90-1273.92] 還有工
[1274.18-1277.24] 工業控制部分都有新產品要一組所以
[1278.52-1280.06] 目前下半年的動能
[1280.32-1282.10] 會優於上半年
[1287.02-1289.02] 想elin
[1297.52-1299.54] 皇一證券陸宏明
[1301.68-1302.58] 接tro
[1310.58-1312.36] 那
[1313.60-1315.74] 那這種股在 q1 delle relief
[1315.98-1317.00] 25.5
[1317.02-1322.34] 那另外在盈利率的部分是8.9%
[1322.34-1327.00] 那整个受到台币升值的影响
[1327.00-1329.60] 那初期因为美金的购料
[1329.60-1331.38] 就是旧料成本会比较高
[1331.38-1335.06] 那前面有提到会影响毛利率2到3%
[1335.06-1339.14] 那在我们那个旧料都去化之后
[1339.14-1340.84] 就是回归正常
[1340.84-1343.32] 基本上会影响毛利率大概1%
[1343.32-1347.00] 但是因为整个
[1347.02-1349.62] 政府他都是用美金在接单
[1349.62-1352.58] 那整个换算成台币营收是下滑的
[1352.58-1355.90] 所以估计后面的盈利率
[1355.90-1358.34] 大概会下降1到2%左右
[1358.34-1359.58] 那以上报告
[1359.58-1366.54] 来信快报张家伟记者
[1366.54-1369.96] 提问关税及汇率冲击影响
[1369.96-1374.84] 目前接单能见度跟下半年的展望
[1374.84-1378.32] 我们请练处长回答
[1378.32-1381.08] 在接单的部分
[1381.08-1384.52] 各应用面
[1384.52-1388.56] 政府在各应用面都有新产品
[1388.56-1390.68] 要进行量产
[1390.68-1396.72] 而且在大概是会在Q3 Q4部分
[1396.72-1399.28] 那我们修行航海的部分
[1399.28-1402.68] 主要还是刚刚跟大家报告的
[1402.68-1403.92] 就是大型尺寸
[1403.92-1404.82] 已经在大型尺寸上
[1404.84-1406.34] 已经经过客户认证
[1406.34-1410.08] 那会开始有小数量的试产
[1410.08-1411.98] 那在公控部分
[1411.98-1415.66] 从21.5寸到55寸
[1415.66-1418.62] 那这些户外强固的显示器
[1418.62-1421.34] 也小量在试产
[1421.34-1425.70] 那Q4现在正与客户在商谈
[1425.70-1428.76] 准备它量产的时间
[1428.76-1431.74] 那这就是可能会成为
[1431.74-1434.82] 我们在下半年的成长动能
[1434.84-1437.00] 这么一个比抽轮 thread
[1437.00-1438.54] 就是上面
[1438.54-1441.76] � megaphone Aqua
[1441.76-1443.76] 那就继续
[1443.76-1445.06] 平 Rush
[1445.06-1446.54] 上一言
[1446.54-1449.78] 了 bits
[1449.78-1450.68] 过来
[1450.68-1451.72] 但是我们看
[1451.72-1454.56] 其实 prevention
[1454.56-1456.60] 有与UFO
[1456.60-1457.52] 关系
[1457.52-1458.46] 枪
[1458.46-1459.06] 怎样
[1459.06-1460.12] 其实说
[1460.12-1460.72] 取代立维
[1460.72-1461.60] 和
[1461.60-1462.42] 也不是
[1462.42-1463.20] 或者已经开股了
[1463.20-1464.18] chair
[1464.18-1465.72] 工工產業在使用
[1465.98-1468.54] 不過這部分在公司的運營報告裡面
[1468.54-1470.32] 我們不會太強調
[1474.42-1478.78] 台中銀投信林靜祥先生的提問
[1478.78-1483.64] 請問航海大型顯示器是用於哪類船型
[1484.14-1486.20] 是戶外還是室內用
[1486.46-1490.30] 毛利比原本航海毛利高還是毛利低
[1490.80-1492.60] 這部分我來回答
[1492.60-1494.90] 大型顯示器是用於大型船
[1495.42-1497.98] 大部分也都是在海圖上所使用
[1498.48-1501.56] 目前的一個是屬於
[1501.82-1503.36] 其實也算是半戶外
[1503.86-1505.40] 半戶外可是因為
[1505.66-1507.20] 它在海上需要
[1507.44-1510.00] 面對的是整個延誤非常
[1510.26-1511.28] 嚴苛的一個要求
[1512.06-1514.88] 毛利的部分因為它毛利是高沒有錯
[1514.88-1516.16] 可是數量也相對
[1516.40-1517.68] 少非常多
[1517.94-1520.24] 所以實際對整個獲利貢獻
[1520.50-1522.56] 是有還是有限
[1522.86-1526.96] 好那如果各位投資先進還有問題想要做提問的話可以持續的做在聊天室這邊
[1533.86-1543.84] 持續的輸入你的問題或是直接開啟麥克風都可以做提問喔
[1552.86-1559.00] 請問還有投資先進想要做提問的嗎
[1571.80-1578.46] 請問還有投資先進想要做提問的嗎
[1582.60-1589.28] 好 我這邊有投資先進提問到說
[1589.28-1592.78] 這個MCU Embedded是怎麼樣的系統產品
[1592.78-1596.22] 可以請公司這邊幫我們做詳細的說明嗎
[1596.22-1601.46] 我們請我們的研發主管葉處長回覆
[1601.46-1606.64] 那MCU Embedded的意思其實就是嵌入式系統
[1606.64-1609.36] 那由於政府一直以來
[1609.36-1614.42] 都是提供高品質耐厚的戶外顯示器
[1614.42-1618.76] 那有一些客戶 尤其有一些EV Charger的客戶
[1618.76-1624.12] 那他們自己有自己的Hardware的專業
[1624.12-1631.56] 但對於整個系統是欠缺這些研發的能力
[1631.56-1635.90] 那政府這邊在過去幾年逐漸累積
[1635.90-1639.34] 能夠幫客戶設計MCU
[1639.36-1641.92] 再加上顯示器模組
[1641.92-1645.00] 這樣一個完整的系統給客戶
[1645.00-1650.50] 那也包含了裡面的分位 軟體
[1650.50-1653.66] 那客戶只要提供它的設計
[1653.66-1658.56] 那政府就可以幫客戶把這些顯示器
[1658.56-1663.30] 加上MCU 加上這些UI的這些Display
[1663.30-1666.72] 把它一起完整的設計好
[1666.72-1668.34] 那再提供給客戶
[1668.34-1669.36] 所以這一部分
[1669.36-1673.72] 就是我們所謂的MCU Embedded的一個產品
[1673.72-1675.00] 那以上的說明
[1685.48-1687.12] 好 這邊有先進持續提問
[1687.12-1691.38] 所以這個MCU Embedded系統產品算是工業電腦嗎
[1693.42-1696.24] 那我就繼續回答
[1696.24-1699.22] 它與工業電腦還是有算力上的
[1699.22-1700.50] 一些差異
[1700.50-1705.10] 工業電腦通常比較專注在算力上的要求
[1705.10-1706.38] 要比較高的算力
[1706.38-1709.20] 處理比較複雜的一些事情
[1709.20-1712.54] 那像這種MCU Embedded的話
[1712.54-1715.86] 它的算力不需要很高的狀況下
[1715.86-1718.16] 它可以一些儀表
[1718.16-1719.70] 一些顯示
[1719.70-1723.28] 那它就可以足以符合客戶的需求
[1723.28-1725.84] 那這樣子把它整合在一起的話
[1725.84-1728.40] 它的成本會特別低
[1728.40-1729.18] 比工業電腦還要高一點點的話
[1729.22-1731.26] 它會在電腦等級的低很多
[1731.26-1735.62] 所以這是兩個不同等級的一個segment
[1735.62-1737.92] 不同segment的一個產品
[1737.92-1739.46] 但是一樣都是電腦
[1739.46-1741.50] 只是MCU Embedded的話
[1741.50-1743.30] 這種潛入式系統
[1743.30-1745.60] 它就是比較低的算力
[1745.60-1747.40] 很低的成本
[1747.40-1750.72] 完成客戶所需要的功能
[1750.72-1753.02] 這還是有一點不一樣的
[1756.86-1757.90] 以上的說明
[1759.22-1773.30] 那請問投資先進這邊還有要做提問的嗎
[1773.30-1779.70] 好那投資先進這邊持續提問
[1779.70-1782.26] 就是說該產品未來的成長性為何
[1782.26-1787.12] 那這裡我再繼續回答
[1787.12-1789.18] 其實我剛剛提到就是
[1789.22-1793.06] 過去比較少這種
[1793.06-1798.18] 比較少這種MCU Embedded的這種產品在政府出現
[1798.18-1800.22] 那現在越來越多
[1800.22-1804.32] 那這樣的產品的未來性其實是潛力蠻大的
[1804.32-1805.60] 尤其在
[1805.60-1809.70] 這一兩年在EV Charger的部分
[1809.70-1813.02] 還有一些戶外的廣告顯示的部分
[1813.02-1816.10] 其實都已經加入了一些智能化的功能
[1816.10-1819.18] 而這些功能其實它不需要很大的算力
[1819.22-1823.82] 反而這些MCU潛入式MCU的這種低成本
[1823.82-1824.86] 低算力
[1824.86-1827.92] 但是只要剛剛好符合客戶的需求
[1827.92-1829.46] 那這成為我們
[1829.46-1832.78] 政府可以為客戶量身定做
