[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-59.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[60.00-63.94] 我们将总结2024年第四季度的营运情况
[274.08-278.58] 那最後美國盈餘EPS來到11.28
[279.08-282.08] 那11.28的EPS也是智力科技
[282.88-286.08] 連續第七年創一個歷史新高
[289.88-294.08] 接下來針對資產負責表方面來做重點說明
[294.98-296.58] 那在去年年底
[296.58-299.08] 智力科技的一整個存貨進額
[300.08-302.08] 成功的一個消化
[303.08-306.58] 到只剩下111億3800萬元
[307.58-310.58] 那遠比前一個季度的約125億
[311.08-313.08] 與前一年度的約120億
[314.08-316.08] 都是呈現一個健康格下滑
[317.08-318.58] 那在整個存貨收益點數
[319.08-322.58] 在去年年底也呈現下滑是105天
[323.58-326.08] 跟一個上個季度相比的101天
[326.58-331.58] 也是看到一個滿幅度的一個健康的一個一個坐轉天數一個下降
[332.08-335.58] 那公司這邊沒有任何長期的整個負債
[336.08-338.58] 只有大約12億的一個短期負債
[339.08-342.58] 那公司的股本因為沒有做任何的一個現增
[343.08-344.58] 也沒有發行科短債
[345.08-347.08] 維持大約在現台幣22億
[347.58-349.58] 那最後整個每股淨值
[350.08-353.58] 提升到每股淨值72.32
[356.58-359.58] 那同時間呢在三個禮拜三
[360.08-362.58] 資易科技的董事會
[363.08-365.58] 我們也公布了整個現金鼓勵
[366.08-371.58] 預計會發出7塊半的一個整個現金鼓勵
[372.08-376.58] 那整個發放率呢大約是66%
[381.08-384.58] 總結資易科技去年的營運
[384.58-387.58] 在成本控制得以的一個情況下
[388.08-389.58] 每股的貨率EPS
[390.08-393.58] 連續第七年創下歷史新高
[397.08-400.58] 好那接下來跟各位分享未來營運的看法
[401.08-405.58] 全球的經濟仍然具有非常高的一個挑戰性
[406.08-409.58] 尤其在川普展開第二任任期後
[410.08-412.08] 那使用關稅的手段
[412.58-414.08] 將進一步加劇整個
[414.58-416.08] 經濟的不確定性
[417.08-420.58] 然而在今年度2025年整個網絡產業
[421.08-426.58] 將迎來整個技術創新與市場需求效益最大化的關鍵發展階段
[427.08-429.58] 尤其在Deep-Seek出台之後呢
[430.08-432.58] 整個第三本的AI模型運算
[433.08-437.58] 將擴大邊緣與終端高速傳輸的Wi-Fi應用場景
[438.08-443.08] 而資易科技在去年與客戶共同開發多項的Wi-Fi專案
[443.58-444.58] 也會展現
[445.08-448.08] 在今年看到成效也會如期的整個推出
[449.08-450.08] 那同時間呢
[451.08-453.58] 資易科技掌握非常多的關鍵技術
[454.58-458.08] 加上多年來累積的一個軟體還有AI實力
[458.58-462.08] 持續的掌握新的客戶與推出新產品
[463.08-466.08] 今年我們看到整個商機依然存在
[467.08-468.08] 那我們也會呢
[468.58-471.08] 在每個季度提供營運指引
[472.08-474.08] 讓投資先進們了解
[475.08-476.08] 最新的整個狀況
[477.08-480.08] 那現在開始整個Q&A時間
[480.58-483.08] 那歡迎各位投資先進提問
[484.08-485.08] 謝謝Walter的簡報
[485.58-487.08] 接下來是Q&A時間
[487.58-489.08] 那我們這邊看到
[489.58-491.08] 魏宇達有幾個問題
[491.58-496.58] 第一個問題是想請問公司對於今年三大產品線的看法
[497.08-497.58] 謝謝
[498.58-499.58] 好 謝謝
[500.08-502.58] 今年雖然整體的一個整個環境
[502.58-505.08] 依然人具有非常高的挑戰性
[505.58-509.58] 但是我們看到整個電信運營商的客戶呢
[510.08-511.58] 在整體的庫存
[512.58-515.58] 一個所謂人屬非常的一個健康
[516.08-516.58] 同時間呢
[517.08-519.58] 又即即推出新規格的一個產品
[520.08-523.58] 尤其是Wi-Fi 7還有像10GPo這些相關的產品
[524.08-528.58] 那加上低成本AI所帶來的一個邊緣傳輸的一個整個場景
[529.08-531.08] 我們預計我們三大產品線
[531.08-536.58] 都能收回到整個Wi-Fi 7的一個升級的一個整個週期
[537.58-538.58] 好的 謝謝您
[539.08-540.58] 那接下來第二個問題是
[541.08-545.58] 投資人想要詢問公司怎麼應對川普可能帶來的關稅議題
[546.08-546.58] 謝謝
[547.58-548.08] 好
[549.08-551.58] 針對整個關稅帶來一個議題
[552.08-555.08] 那當然我們現在主要的生產地域是在越南
[555.58-556.58] 但同時間呢
[557.08-560.58] 其實我們有許多的一些生產的一個備案
[561.08-562.58] 現在在評估當中
[563.08-564.08] 那同時間呢
[564.58-569.58] 我們也已經跟我們的客戶有做充分的一個溝通討論過
[570.08-575.08] 那我們會在成熟的時間會主動跟投資大眾各位說明
[576.08-577.08] 好的 謝謝您
[577.58-582.08] 接下來第三個問題是投資人想要詢問公司對於未來產能的規劃
[582.58-583.08] 謝謝
[584.08-584.58] 好
[585.08-587.08] 未來產能我們在現在這個階段
[587.58-591.08] 在還沒有其他關稅議題所在的
[591.58-593.08] 其他的規劃之前呢
[593.58-596.08] 越南還是會是我們主要一個生產基地
[596.58-597.08] 那未來呢
[597.58-601.08] 我們當然會優先提升我們在越南一個生產效率
[601.58-606.08] 包含AI整個生產的一個整個智慧化的一個建制
[606.58-609.08] 還有整個人員效率的一個生產提升
[609.58-612.08] 那其他區域這方面的一個生產呢
[612.58-615.08] 我們將試著試我們的客戶他們的需求
[615.58-617.08] 來做這方面的一個調配
[618.58-620.08] 好的謝謝您
[621.08-624.08] 那我看到魏語達的有第四個問題是
[624.58-629.08] 客戶想要投資人想要詢問說今年預計的資本支出
[629.58-630.08] 謝謝
[631.58-635.08] 我們今年的一個整個資本支出呢
[635.58-639.08] 預計會在新台幣8到12億之間
[640.08-643.58] 那主要會用於在三個方向
[644.08-647.08] 一個方向是我們研發設備的一個投資
[647.08-652.08] 那第一個是我們智慧產線AI的一個整個擴充
[652.58-657.08] 那另外呢第三個是來自於我們新竹總部的一個整個徵件
[657.58-663.08] 那因為其實我們公司的一個賬上的現金是非常一個充足
[663.58-667.08] 那每年度都有非常好的一個自由現金流進來
[667.58-672.08] 所以資金那個主要來源會來自於我們自由的一個營運資金
[672.58-676.08] 目前沒有要做任何的一個現金增資或發行
[676.08-678.08] 或發行可轉算的一些想法
[679.08-680.08] 好的謝謝您
[680.58-685.08] 那下一個問題是投資人想要詢問公司對於存貨的看法
[685.58-686.08] 謝謝
[687.08-690.08] 那剛剛在整個資產負債表上面有看到
[690.58-698.08] 我們在去年第四季的一個存貨已經降低到新台幣約111億美元
[698.58-704.08] 那比前一個季度的125億還有前一年度的120億
[704.58-706.08] 都是呈現非常多的
[706.58-709.08] 那現在我們看到的這個存貨的整個區塊
[709.58-712.08] 那尤其呢在整個存貨的一個組成裡面呢
[712.58-716.08] 我們看到整個區塊是原物料這方面持續的一個區塊
[716.58-720.08] 那這些原物料的一個整個區塊都是依照客戶的要求
[720.58-725.08] 所以我們認為我們現在一個存貨的水準是可控制的
[725.58-727.08] 好的謝謝您
[727.58-734.08] 接下來再問與答看到下一個問題是投資人想要詢問公司的鼓勵政策
[735.08-741.08] 那我們今年呢配發的現金鼓勵是每股7.5元7塊半
[741.58-747.08] 那跟前一年度相比的話是增加約6%左右
[747.58-751.08] 那也是創一個歷史的一個新高每股鼓勵7塊半
[751.58-754.08] 那配發率的話是66%
[754.58-757.08] 那其中呢整個營運分配呢會是6塊半
[757.58-761.08] 那加上一塊的一個整個資本公積
[761.58-763.08] 那我們長期的一個目標呢是保持
[764.08-768.08] 我們的一個現金鼓勵發放率在60%到80%之間
[768.58-774.08] 那當然公司有過濾我們這一方面是不會吝嗇的回饋給我們股東們
[774.58-776.08] 好的謝謝您
[776.58-783.08] 那再問與答看到接下來問題是投資人想要詢問公司的ESG政策
[783.58-784.08] 謝謝
[784.58-792.08] 好的我們公司是非常的一個注重整個ESG整個永續發展
[792.58-794.08] 那我們在去年
[794.58-799.08] 去年底大約12月的時候呢有獲得整個Time Magazine
[799.58-805.08] 就是時代雜誌評選為2025年全球最佳永續成長企業的整個輸入
[805.58-812.08] 那我們是以總分74.75分入選全球的500家等企業總分
[812.58-817.08] 所以展現之一科技我們在整個永續發展的一個領域主義的表現
[817.58-819.58] 還有堅定的一個承諾
[820.08-822.08] 那在簡態的目標當中呢
[822.58-830.08] 短期的目標我們預計在2030年我們的一個碳排會減50%
[830.58-835.08] 那長期的目標呢我們預計在2050年呢會淨零
[835.58-838.08] 那在我們的整個越南一個整個場區呢
[838.58-842.08] 也已經大量的導入整個太陽能發電系統
[842.58-845.08] 那現在大約有15%的一個電力
[845.58-849.58] 在整個越南的一個場區是由我們太陽能的一個電力所提供的
[849.58-853.58] 那在產品設計方面呢我們也全面導入整個生態化設計
[854.08-858.58] 包含可分解的一個植物的一個材料
[859.08-861.08] 還有排除整個污染環境的一個原料
[861.58-867.58] 那突然間呢我們會要求我們供應商要配合我們公司的一個整個ESG政策
[868.08-871.08] 提升整個供應鏈對於ESG的一個意識
[871.58-877.58] 讓公司整體能夠持續的向永續發展的一個方向給邁進
[879.58-880.58] 好的謝謝您
[881.08-883.58] 那感謝各位投資先進的參加
[884.08-887.58] 今天智益法說會因為時間的關係到此結束
[888.08-892.58] 若各位還有問題想要詢問可以email智益投資人的信箱
[893.08-896.58] 或是可以透過我們永豐金證券法人業務部幫忙詢問
[897.08-900.58] 再次感謝各位的參與謝謝大家謝謝
[901.08-902.58] 那謝謝各位投資先進
[903.08-907.58] 參加智益科技2024年第四季的法說會
[908.08-909.58] 如果之後有任何問題
[910.08-913.58] 歡迎隨時聯絡投資人關係或上我們的一個官網
[914.08-918.58] 我們的網址是www.arcadian.com
[919.08-923.58] arcadian是arcadyan.com
[924.08-925.58] 那我們下個季定見謝謝各位
