[0.00-13.48] 好那欢迎各位投资先进参加台湾聚合化学品股份有限公司
[621.12-624.18] 所以在第一季的时候它这些补库的买盘
[624.18-626.24] 还是推升了这个EVA的行情
[626.28-627.24] 持续的往上走
[627.24-632.18] 那也因为EVA的这个价格上扬
[632.18-635.46] 所以在今年第一季的EVA的毛利率
[635.46-638.12] 跟去年比起来是有比较明显的好转
[638.12-639.50] 那在这样的情况下
[639.50-642.52] 所以我们的生产线除了必要的减修之外
[642.52-644.62] 基本上是尽量生产
[644.62-646.82] 然后销售也都没什么太大问题
[646.82-648.82] 那除了这个之外
[648.82-652.20] 那我们也持续的继续拓展图复级EVA的市场
[652.20-655.28] 那图复级EVA是我们公司的强项
[655.28-656.04] 那目前
[656.28-659.32] 亚洲地区可以生产的厂家并不是太多
[659.32-663.04] 而且这个产品的技术难度比较高
[663.04-668.36] 那也是我们将来打算要长期发展的方向之一
[668.36-671.72] 因此虽然我们在第一季的时候
[671.72-675.26] EVA是减少生产是增加LDP的生产
[675.26-678.84] 但是图复级的EVA
[678.84-681.18] 我们不仅没有减少反而是增加
[681.18-685.48] 所以它第一季的销售量是在创同期的新高
[686.28-689.90] 那另外也因为这个转产LDP的部分
[689.90-692.20] 我们第一季的这个EVA的销售量
[692.20-695.20] 跟去年同期减少了14%
[695.20-700.58] 那我们来看一下那个第一季的销售数字
[700.58-703.42] 第一季的销售销售量是34000吨
[703.42-705.42] 跟去年同期其实差不多
[705.42-708.12] 但是销售组合确实有比较明显的不一样
[708.12-713.12] 主要是LDP的这个销售量明显的增加
[713.12-716.12] 那EVA的销售量是明显的减少
[716.28-721.54] 那其中EVA的部分
[721.54-727.14] 图复级的EVA的销售量是10124吨
[727.14-731.70] 那跟去年的第一季比起来还是增加了几百吨
[731.70-738.94] 那整个EVA减少的部分
[738.94-743.24] 其实主要是在光伏级的EVA跟发泡级的EVA
[743.24-745.14] 其中光伏级的EVA的话
[745.14-746.26] 是4000吨的EVA
[746.28-747.94] 所以是719吨
[747.94-750.28] 虽然还是比去年同期要高
[750.28-752.28] 因为去年的第一季的时候
[752.28-754.28] 光伏的情况其实是相
[754.28-756.28] 算蛮差的
[756.28-758.28] 但是我们平均一个月大概
[758.28-760.28] 会有大概五六千吨的这个
[760.28-762.28] 这个光伏级
[762.28-763.28] 对不起
[763.28-765.28] 一季大概是有五六千吨的光伏级销售量
[765.28-768.28] 但是在第一季的时候是只有4700吨
[770.28-773.28] 那产品应用来看的话
[773.28-775.28] 第一季的话它的光伏级部分是
[776.28-778.28] 大概是21%
[778.28-780.28] 那图伏级这边很明显看到
[780.28-782.28] 已经占了大概45%了
[782.28-783.28] 发泡级15%
[783.28-785.28] 其他的部分19%
[788.28-790.28] 这近五年的销售变化
[790.28-792.28] 在第一季的部分
[792.28-793.28] 从这边看
[793.28-794.28] 可以看得出来第一季
[794.28-796.28] 今年的第一季跟去年第一季
[796.28-798.28] 销售量其实是差不多的
[801.28-803.28] 那我们来看一下第二季
[803.28-804.28] 跟后面的这个营业的展望
[804.28-807.28] 首先我们还是从原有的这个角度来看一下
[807.28-810.28] 对等关税这边
[810.28-813.28] 美国的对等关税暂缓执行90天
[813.28-816.28] 那还有美中贸易战这边谈判
[816.28-818.28] 有比较好的结果
[818.28-821.28] 那最近的原有的也是有比较趋缓的
[821.28-823.28] 但是因为OPEC这边
[823.28-825.28] 五六月份它还是会增产
[825.28-828.28] 所以原有我们的看法认为
[828.28-832.28] 在第二季还是会有供货需求的压力
[832.28-833.28] 但是现在
[833.28-835.28] 虽然有这些变数
[835.28-836.28] 但是说真的
[836.28-838.28] 后面的这个经济情势
[838.28-843.28] 很可能会因为一些人为的影响
[843.28-845.28] 可能就会马上做转变
[845.28-849.28] 所以对于未来的这个原有的变数
[849.28-851.28] 其实还是相对来讲
[851.28-853.28] 变数还是比较多的
[853.28-855.28] 那乙烯的部分
[855.28-858.28] 3月底4月初乙烯的价格
[858.28-860.28] 刚从图片上可以看到
[860.28-861.28] 乙烯的价格有滑落
[861.28-862.28] 但是最近
[862.28-863.28] 近期
[863.28-864.28] 有下止跌
[864.28-869.28] 那另外就是中美贸易谈判的这个比预期的好
[869.28-871.28] 所以其实最近的乙烯的价格也有
[871.28-873.28] 也明显的止跌了
[873.28-877.28] 可是以目前的情况来看一下整个市场
[877.28-882.28] 乙烯的下游衍生物多半都是处于供购需求的情况
[882.28-885.28] 包含乙烯自己自身也是这个情况
[885.28-887.28] 所以我们可以预期未来
[887.28-890.28] 短期内亚洲的乙烯的价格
[890.28-892.28] 它还是很难摆脱
[892.28-895.28] 因为它是一个很强的产能投产
[895.28-896.28] 所以我们可以预期
[896.28-898.28] 乙烯的价格是在
[898.28-899.28] 在这个时候
[899.28-903.28] 跟轻油保持比较低利差的这个走势
[903.28-905.28] 那VM的部分
[905.28-908.28] 大多因为有一个新的产能投产
[908.28-911.28] 另外第一季有比较多厂商税休
[911.28-913.28] 那现在目前大概都已经结束了
[913.28-914.28] 预期第二季开始
[914.28-918.28] 它的整个供应会比较宽松
[918.28-921.28] 那我们看一下PE跟EV的市场方面
[921.28-923.28] 对我们的影响
[923.28-925.28] 包含亚具体的部分
[925.28-929.28] 它对直接输美的占比其实小于1%
[929.28-931.28] 但是它最大的影响
[931.28-933.28] 反而是因为市场的不确定性
[933.28-938.28] 即使是现在中美贸易谈判的结果出来之后
[938.28-942.28] 这个不确定性的因素消除了一部分
[942.28-944.28] 但还是没办法完全消除
[944.28-947.28] 所以市场的不确定性导致了下一个观望
[947.28-951.28] 那从4月初开始我们就很明显的
[951.28-953.28] 感觉得到外销客户
[953.28-956.28] 他买气有明显的缩手
[956.28-958.28] 订单有萎缩
[958.28-963.28] 那当然那一天美国跟中国的谈判结果出来之后
[963.28-964.28] 有稍微好转一点点
[964.28-969.28] 但是还是没有办法回到之前的状态
[969.28-971.28] 那第二个原因是
[971.28-976.28] 第二点是大陆的光伏的抢庄潮
[976.28-979.28] 大陆他这边在国内的政策
[979.28-981.28] 他在4月30日
[981.28-985.28] 跟5月31日各有一个光伏的政策
[985.28-989.28] 要求这些尤其是分布式的太阳能业者
[989.28-992.28] 要在这之前完成并网
[992.28-995.28] 否则的话会有一些限制跟费用的产生
[995.28-997.28] 因此在第一季的时候
[997.28-1000.28] 我们也看到很多光伏业者
[1000.28-1004.28] 他要尽量生产抢到这之前装机
[1004.28-1007.28] 那到这个时间点
[1007.28-1009.28] 光伏的抢庄潮即将进入尾声
[1009.28-1011.28] 另外新城市的光伏业者
[1011.28-1013.28] 在这个月底的产能部分
[1013.28-1014.28] 大陆的红井他在第一季
[1014.28-1017.28] 有一套20万吨的产能投产了
[1017.28-1020.28] 那另外这个月底到下个月初
[1020.28-1023.28] 预计还会有一套20万吨的人会投产
[1023.28-1027.28] 所以从需求面可能会稍微比较转弱
[1027.28-1030.28] 那供给面会有增加的情况下
[1030.28-1033.28] 我们看起来大陆的一月的供需压力
[1033.28-1036.28] 压力会渐渐的增加
[1036.28-1040.28] 那另外也是因过去协业的这个单季
[1041.28-1045.28] 基本上是差不多五月到甚至六月以后才会来
[1045.28-1048.28] 那今年主要是前面的这个
[1048.28-1051.28] 全球经济的不稳定性
[1051.28-1053.28] 造成业者
[1053.28-1054.28] 包含我们下游
[1054.28-1056.28] 包含我们下游客户的
[1056.28-1058.28] 他的客户的观望
[1058.28-1060.28] 所以导致了协业的单季期限到来
[1060.28-1064.28] 那对于目前的这样的经济情况
[1064.28-1066.28] 我们的应用方式
[1066.28-1069.28] 还是在继续拓展力吸引产品
[1069.28-1070.28] 比如说
[1070.28-1072.28] 刚提到的图夫姐LDP
[1072.28-1074.28] 将来如果说
[1074.28-1077.28] 我刚提到的大陆的这个石化厂
[1077.28-1081.28] 他的主力供应商没有办法恢复的话
[1081.28-1084.28] 那对我们来讲可能是一个利基
[1084.28-1086.28] 那另外
[1086.28-1087.28] 在图夫姐的一边
[1087.28-1090.28] 因为他这个技术比例比较高
[1090.28-1093.28] 那我们在这方面我们有优势
[1093.28-1098.28] 所以我们会持续的去扩展图夫姐一月的这个市占率
[1098.28-1099.28] 那另外
[1099.28-1102.28] 我们最近继续在开发了一些
[1102.28-1106.28] 比较特殊级别的发泡跟电缆的这个应用
[1106.28-1109.28] 这个也是我们持续去拓展的方向
[1109.28-1115.28] 那接下来由我们财务部的张经理
[1115.28-1116.28] 他来报告财务资讯
[1116.28-1127.28] 各位投资先进还有美女朋友大家好
[1127.28-1129.28] 那接下来由我为各位报告
[1129.28-1132.28] 雅旭公司的第一季的合并财务资讯
[1132.28-1135.28] 那这边看到的是合并的税率表
[1135.28-1139.28] 那第一季的合并营收是15.34亿
[1139.28-1144.28] 比去年同期的15.61亿大概少了2700万
[1144.28-1145.28] 那这个变化呢
[1145.28-1148.28] 主要是今年第一季的销售的销售量
[1148.28-1150.28] 大概比去年同期少了3%
[1150.28-1155.28] 那价格部分大概比去年平均价格大概上涨了2%
[1155.28-1156.28] 所以整个量比较少了3%
[1157.28-1159.28] 价格有多了一些
[1159.28-1164.28] 所以平均整个销售的金额比去年同期大概少了2700万
[1164.28-1166.28] 那再来看到毛利率的部分
[1166.28-1169.28] 今年第一季的毛利额是1亿零两百万
[1169.28-1171.28] 毛利率是7%
[1171.28-1173.28] 那比去年同期的毛利额800万
[1173.28-1176.28] 大概多了9400万的毛利额
[1176.28-1180.28] 那这个影响除了刚才提到的整个平均售价
[1180.28-1181.28] 大概上涨了2%
[1181.28-1184.28] 那平均的原料价格也大概跌了2%
[1184.28-1186.28] 所以是整个第一季的
[1186.28-1187.28] 今年第一季的
[1187.28-1192.28] 第一季的营业毛利额跟毛利率都比去年同期有一些增长
[1192.28-1194.28] 那再来在营业费用部分
[1194.28-1197.28] 今年第一季的营业费用是6500万
[1197.28-1200.28] 那比去年第一季大概多了400万
[1200.28-1203.28] 第一季的毛利是1.02亿
[1203.28-1205.28] 那扣掉营业费用6500万
[1205.28-1209.28] 所以第一季还有营业的经理大概是3600万
[1209.28-1211.28] 营业净利率是2%
[1211.28-1215.28] 不过扣掉营业外的支出2.6亿
[1215.28-1216.28] 那这2.6亿主要是来自
[1216.28-1220.28] 转投资股雷的损失2.5亿左右
[1220.28-1222.28] 那扣掉这个营业外支出之后
[1222.28-1225.28] 第一季的税前经理损失2亿2500万
[1225.28-1228.28] 然后再扣掉所得税费用
[1228.28-1231.28] 第一季的税后经理损失2亿3700万
[1231.28-1234.28] 那以59.4亿的估本来计算的话
[1234.28-1240.28] 第一季的每股亏损是0.4块钱
[1240.28-1243.28] 那再来看一下财务比例部分
[1243.28-1245.28] 那今年第一季刚有提到营业经理是3600万
[1245.28-1252.28] 所以营业利益率是2%
[1252.28-1256.28] 那扣掉营业外的支出时候的净损利是15%
[1256.28-1258.28] 那第三个负债战资产的比例
[1258.28-1261.28] 因为去年度的整个借款有增加
[1261.28-1264.28] 所以整个比率从2023年底的11
[1264.28-1266.28] 那增加到去年底的16
[1266.28-1268.28] 那第一季底也是16
[1268.28-1272.28] 那再来流动比率第一季是279
[1272.28-1274.28] 速动比例是203
[1274.28-1277.28] 那都比前一年度大概有微幅
[1277.28-1279.28] 去年底有微幅的一些下降
[1279.28-1282.28] 那平均收现之数是30
[1282.28-1284.28] 平均下坡之数是41
[1284.28-1287.28] 那这跟以往大概没有比较大的变化
[1287.28-1289.28] 以上是我的报告
[1304.28-1306.28] 谢谢大家
[1306.28-1308.28] 谢谢
[1334.28-1336.28] 那我们来看看第一季
[1336.28-1339.28] 合并是121.47亿
[1339.28-1342.28] 那相对于去年同期
[1342.28-1344.28] 增加了一些
[1344.28-1346.28] 这是在合并的部分
[1346.28-1349.28] 那在本业的部分事实上也是一样
[1349.28-1351.28] 大概今年就比去年
[1351.28-1354.28] 增加了大概6800万
[1354.28-1357.28] 那这个整个集团是这个趋势
[1357.28-1360.28] 大概个体的公司大概也都是这样
[1360.28-1362.28] 一个小额
[1362.28-1364.28] 一个差距
[1364.28-1366.04] 虽然营业额这个差不多
[1366.04-1368.26] 可是这里面还是有稍微
[1368.26-1369.76] 跟去年不一样
[1369.76-1372.48] 那简单讲就是我们的
[1372.48-1375.68] 今年的营业额里面
[1375.68-1378.14] 那是有跟去年销售量
[1378.14-1379.76] 我们是多了2200吨
[1379.76-1382.60] 那多了2200吨
[1382.60-1385.24] 但是售价是减少
[1385.24-1386.94] 今年的售价是减少
[1386.94-1390.38] 但是其中又有费率的不一样
[1390.38-1392.82] 今年的第一季的费率
[1392.82-1395.36] 那我们平均起来大概是32.9
[1395.36-1397.28] 当然跟现在是不一样
[1397.28-1398.34] 但第一季的时候
[1398.34-1401.48] 美金对台币还是算是比较高的
[1401.48-1404.72] 那今年的第一季费率是32.9
[1404.72-1407.48] 那去年就只有31.4
[1407.48-1410.54] 那整个这样一个交错的影响
[1410.54-1413.94] 那大概营业额是差不多
[1413.94-1415.00] 多一点点
[1415.00-1417.82] 我们再来看一下我们的
[1417.82-1420.22] 我这边介绍的台区
[1420.22-1422.24] 主要是
[1422.24-1422.80] 是
[1422.80-1424.24] 两个厂的部分
[1424.24-1426.72] 那主要就EVA高压法
[1426.72-1427.66] 所谓高压法
[1427.66-1429.94] 另外我们低压法
[1429.94-1430.90] PE的部分
[1430.90-1432.54] 另外一个CBC的部分
[1432.54-1433.42] 它量比较少
[1433.42-1435.52] 我今天不会讲到这个
[1435.52-1437.96] 那我们看一下产量的部分
[1437.96-1439.94] 产能跟产能是一样
[1439.94-1440.50] 没有变
[1440.50-1442.02] 那产量的部分
[1442.02-1444.24] 跟去年比较起来
[1444.24-1446.14] 就有明显的增加
[1446.14-1448.18] 那明显增加
[1448.18-1449.84] 那就主要是说
[1449.84-1451.50] 第一季的时候
[1451.50-1452.78] 那刚才在亚军的部分
[1452.80-1455.62] 也提到EVA的生意还算不错
[1455.62-1458.44] 光伏的需求价位也比较好
[1458.44-1461.74] 所以在今年第一季的时候
[1461.74-1463.68] 除了必要的维修之外
[1463.68-1466.08] 我们几乎就是开满了
[1466.08-1469.48] 那这个产能虽然是五万吨
[1469.48-1470.88] 如果讲EVA来讲的话
[1470.88-1474.24] 我们平均大概都是抓一万一个月
[1474.24-1476.68] 也就是说一季应该三万三
[1476.68-1478.48] 那如果是今年第一季
[1478.48-1480.10] 31919吨的话
[1480.10-1482.64] 这个开工率已经大概到达9万吨了
[1482.64-1482.78] 那如果是今年第一季31919吨的话 这个开工率已经大概到达9万吨了
[1482.80-1484.02] 有7个百分比
[1484.02-1486.42] 那相对于去年同期的时候
[1486.42-1487.48] 2万8
[1487.48-1489.58] 那时候只有8成5左右
[1489.58-1491.82] 所以今年的在第一季的时候
[1491.82-1494.20] EVA的表现相对于去年
[1494.20-1497.30] 在量的方面是比较好
[1497.30-1498.42] 但是价格是
[1498.42-1499.38] 等一下我们会介绍
[1499.38-1503.56] 价格自比去年相对是比较低了一些
[1503.56-1505.68] 我们来看一下我们另外一个厂
[1505.68-1507.04] 这个低压法
[1507.04-1508.96] 一样我们看最下面的部分
[1508.96-1509.96] 看产量
[1509.96-1510.82] 那产量
[1510.82-1512.64] 今年的产量是
[1512.64-1515.36] 22637吨
[1515.36-1516.78] 那相对于去年同期
[1516.78-1518.14] 我们增加了很多
[1518.14-1520.44] 那去年同期主要是在这个时候
[1520.44-1522.78] 第一季中油税缺的关系
[1522.78-1526.02] 他这个减供的幅度太大了
[1526.02-1529.86] 以至于说我们在去年同期的时候
[1529.86-1532.86] 只有11000多吨
[1532.86-1533.88] 那11000多吨
[1533.88-1537.50] 如果以13万吨的产能来看的话
[1537.50-1539.30] 就去年这个时候
[1539.30-1541.88] 第一季是开工率只有3成5
[1541.88-1544.04] 然后到了今年的时候
[1544.04-1546.28] 几乎就double大概就7成
[1546.28-1547.16] 那7成的话
[1547.16-1551.24] 对于我们今年相对于去年同期的时候
[1551.24-1553.76] 对于这个营收
[1553.76-1555.24] 还有获利等等
[1555.24-1557.36] 就有很大的帮助
[1557.36-1559.88] 后面我们还会再继续看这一块
[1561.64-1561.86] 好
[1561.86-1564.42] 我们看一下这个以西根原油的围顾
[1564.42-1566.56] 那这边在亚居的部分
[1566.56-1570.76] 刚刚在亚居的时候已经有说明过了
[1570.76-1571.64] 那我们这边直接看一下这个产量的部分
[1571.88-1577.04] 可以看一下后面这个最右边这个金链的部分
[1577.04-1578.92] 可以看了很明显
[1578.92-1581.48] 原油的部分下面这个蓝色的
[1581.48-1587.48] 那原油今年是有一个大幅度的比较下跌
[1587.48-1589.46] 那主要就是经济问题不好
[1589.46-1594.04] 还有川普这种关税这种问题
[1594.04-1595.16] 就造成今年
[1595.16-1599.72] 那去年的话最高都要将近高点的时候到90
[1599.72-1601.80] 那去年基本上是为止在70到80%的高点
[1601.80-1604.24] 那今年的话
[1604.24-1608.76] 那从这个七八十的时候就下来
[1608.76-1610.80] 瞬间的时候到59
[1610.80-1615.14] 那前期到第一季末的时候
[1615.14-1618.26] 几乎就剩下60块62块
[1618.26-1622.58] 那最近就是稍微再往上到五月之后到65块左右
[1622.58-1627.06] 基本上今年的油价就是会比去年会来的低
[1627.06-1629.04] 来的低这会造成说
[1629.04-1631.68] 这个以西的我们的成本也会降低
[1631.80-1634.96] 那如果如果这边来看
[1634.96-1637.00] 如果看这个紫色的一系的部分
[1637.00-1637.64] 看得出来
[1637.64-1640.62] 如果跟去年同期低机来比的话
[1640.62-1647.92] 我们今年的一系在第一季耗用的成本相对去年同期是减了44块美金
[1647.92-1649.74] 每顿44块美金
[1649.74-1655.56] 这个是对于我们今天那是比较相对去年是比较有利
[1655.56-1661.14] 那预估后面的一系也会为止在比较跟去年比起来比较低点
[1661.14-1661.34] 好
[1661.34-1664.28] 大概800块在上下左右
[1664.28-1667.60] 这样对我们是是蛮有帮助的
[1667.60-1671.32] 那这一块等一下还会在于以西的部分
[1671.32-1673.40] 那对我们后面有什么样的影响
[1673.40-1675.94] 我们等下再做进一步的说明
[1676.94-1677.14] 好
[1677.14-1678.62] 我们看一下EVA
[1678.62-1680.12] 那EVA这个趋势
[1680.12-1686.54] 那上面两条是高VA跟低VA的EVA的趋势
[1686.54-1687.78] 那下面是成本
[1687.78-1690.96] 是那个紫色的是以西
[1691.34-1692.78] 我们也看过了
[1692.78-1695.32] 那下面的是MEM
[1695.32-1699.52] 另外EVA里面的VAM这个成本
[1699.52-1701.58] 那台聚基本上是都做高VA
[1701.58-1704.58] 所以我们把那低VA的干扰掉之后
[1704.58-1707.48] 我们可以看得出来今年的第一季
[1707.48-1709.76] 那基本上他第一季价格是往上升
[1709.76-1710.78] 这个在亚聚的部分
[1710.78-1713.14] 我们也有说明过了
[1713.14-1715.84] 那但是这边是要跟去年来比
[1715.84-1718.22] 如果跟去年来比的话
[1718.22-1720.26] 我们这个我们先看
[1720.26-1721.22] 预计
[1721.34-1727.58] 我们台聚卖出去的EVA跟去年卖出去的EVA
[1727.58-1731.18] 大概一吨是下跌了97美金
[1731.18-1733.46] 这是在我们的售价的部分
[1733.46-1736.42] 那下面这两条刚才在紫色的这以西
[1736.42-1740.66] 我们刚才说明第一季我们耗用大概减了44块
[1740.66-1742.22] 每吨44块美金
[1742.22-1743.06] 这是在以西
[1743.06-1746.78] 那44块相对EVA的跌5 97块来讲
[1746.78-1748.58] 是不够
[1748.58-1749.94] 但是这个MEM
[1749.94-1751.34] 耗用我们EVA里面
[1751.34-1753.74] 台聚大概占30%是没有
[1753.74-1756.58] 这个里面就跌了121块
[1756.58-1760.34] 比EVA的跌幅是来的大
[1760.34-1764.54] 那这样一个结果加上我们的销售量
[1764.54-1767.54] 那整个结果事实上
