[0.00-1.90] 法人及媒体朋友午安
[168.40-170.96] 本公司114年
[170.96-172.08] 1至2月
[172.08-174.04] 日结合并税后净利为
[174.04-176.22] 30.99亿元
[176.22-178.26] 较113年同期
[178.26-178.88] 30.99亿元
[178.90-179.90] 减少4.69亿元
[179.90-180.90] 获利表现弱
[180.90-181.90] 排除去年度
[181.90-182.90] 合股银行认列的
[182.90-183.90] 台湾高铁补偿金一次性的收入
[183.90-184.90] 有8.45亿元后
[184.90-185.90] 获利较去年同期
[185.90-186.90] 还是成长的
[186.90-187.90] 成长13.81%
[187.90-188.90] 本公司已请各股各子公司
[188.90-189.90] 尽速调整经营体质
[189.90-190.90] 积极充斥业务营运量能
[190.90-191.90] 及多元化的收益来
[191.90-192.90] 提高货力的收益
[192.90-193.90] 本公司已请各股各子公司
[193.90-194.90] 尽速调整经营体质
[194.90-195.90] 积极充斥业务营运量能
[195.90-196.90] 及多元化的收益来源
[196.90-197.90] 希望今年度
[197.90-198.90] 获利能有好的表现
[198.90-199.90] 那我们核心的银行子公司
[199.90-200.90] 113年的营业状况
[200.90-201.90] 在集团获利贡献方面
[201.90-202.90] 主要获利还是在
[202.90-203.90] 银行子公司
[203.90-204.90] 113年水平
[204.90-205.90] 是在全球的
[205.90-206.90] 全球的
[206.90-207.90] 全球的
[207.90-208.90] 全球的
[208.90-209.90] 全球的
[209.90-210.90] 全球的
[210.90-211.90] 全球的
[211.90-212.90] 全球的
[212.90-213.90] 全球的
[213.90-214.90] 全球的
[214.90-215.90] 全球的
[215.90-216.90] 全球的
[216.90-217.90] 全球的
[217.90-218.90] 全球的
[218.90-219.90] 全球的
[219.90-220.90] 全球的
[220.90-221.90] 全球的
[221.90-222.90] 全球的
[222.90-223.90] 全球的
[223.90-224.90] 全球的
[224.90-225.90] 全球的
[225.90-226.90] 全球的
[226.90-227.90] 全球的
[227.90-228.90] 全球的
[228.90-229.90] 全球的
[229.90-230.90] 全球的
[230.90-231.90] 全球的
[231.90-232.90] 全球的
[232.90-233.90] 全球的
[233.90-234.90] 全球的
[234.90-235.90] 全球的
[235.90-236.90] 全球的
[236.90-237.90] 全球的
[237.90-238.90] 全球的
[238.90-239.90] 全球的
[239.90-240.90] 全球的
[240.90-241.90] 全球的
[241.90-242.90] 全球的
[242.90-243.90] 全球的
[243.90-244.90] 全球的
[244.90-245.90] 全球的
[245.90-246.90] 全球的
[246.90-247.90] 全球的
[247.90-248.90] 全球的
[248.90-249.90] 全球的
[249.90-250.90] 全球的
[250.90-251.90] 全球的
[251.90-252.90] 全球的
[252.90-253.90] 全球的
[253.90-254.90] 最았습니다
[254.90-255.90] 最 import
[255.90-259.56] 资本市主力达到14.94%
[259.56-263.62] 已符合金管会规定之113年底
[263.62-266.68] 第一任内部管理资本标准的要求
[266.68-271.28] 那么银行子公司办理六档合金战略产业
[271.28-274.86] 及中小企业放款皆位居第二名
[274.86-277.46] 也获得2020 Trust Award
[277.46-281.04] 多元信托创新奖之四大奖项
[281.04-283.52] 也获得经济部智慧财产局
[283.52-287.40] 本国法人专利申请百大排名肯定
[287.40-290.04] 详细我就不再赘述了
[290.04-293.10] 接下来有关何富金控集团
[293.10-294.78] 今年又再度入选
[294.78-297.18] 赵琼琼系主席
[297.18-300.60] 南瓜台湾永续能源研究基金会
[300.60-303.04] 台湾企业永续奖六大奖
[303.80-305.74] 银行子公司也获得内政部
[305.74-308.10] 静林碳建筑肯定
[308.10-312.04] 本公司推动永续经营发展成果亮眼
[312.04-314.22] 备受国内外肯定
[314.22-317.84] 113年再度入选赵琼永续指数
[317.84-321.12] 世界指数及新兴市场指数
[321.12-326.04] 也首度入选国际碳揭露专案组织
[326.04-331.88] 于2024年企业评比之最高A级企业名单
[331.88-335.80] 于享有台湾永续奥斯卡之称的
[335.80-337.74] 2020 TCSF
[337.74-339.84] 台湾企业永续奖或
[339.84-341.70] 台湾百大永续奖
[342.04-344.04] 永续报报百兴奖
[344.04-348.04] 及单项绩效奖四项大奖
[348.04-353.04] 在子公司和会议堂也积极推动静林利益生活政策
[353.04-356.04] 和副总行大楼除后评为
[356.04-360.04] 利益建筑之钻石及外113年再获
[360.04-366.04] 内政部可谓最高等级之一家体之静林碳建筑肯定
[366.04-371.04] 且全国也集共238处响应利涉办公政策
[371.04-372.04] 并且全国也集共238处响应利涉办公政策
[372.04-374.04] 为金融业之贯
[374.04-379.04] 展望未来本公司将持续关注国际经济金融情势
[379.04-381.04] 深耕核心业务
[381.04-384.04] 并秉持永续经营理念
[384.04-388.04] 于稳健经营之基础下必造佳绩
[388.04-391.04] 接下来请金控税处的潘助长
[391.04-396.04] 就本集台第113年第4季的经营概况做进一步简报说明
[396.04-398.04] 谢谢
[398.04-401.04] 各位投资华人媒体先进
[401.04-402.04] 大家好
[402.04-403.04] 以下报告
[403.04-407.04] 第113年度第4季华人说明会简报
[407.04-410.04] 第3页简报大纲
[410.04-412.04] 今日华社会将就本集团
[412.04-420.04] 第113年度第4季营运灾药营运概况及此公司营运成果独项产名
[420.04-425.04] 使投资人对本集团有更深入的了解
[425.04-426.04] 第8页
[426.04-428.04] 而沽金控营运概况
[428.04-430.04] 第113年合并最后建立为
[430.04-433.04] 198.09亿元
[433.04-436.04] 较112年成长10.8%
[436.04-437.04] 主要系
[437.04-440.04] 此公司和供应行获利增加所致
[440.04-444.04] 合并总资产为5.17兆元
[444.04-447.04] 较112年成长7.68%
[447.04-451.04] 合并净值为2568亿元
[451.04-455.04] 较112年成长5.69%
[455.04-459.04] 集团资本市足率为122.29%
[459.04-462.04] 以113年133.12%相较
[462.04-466.04] 减少0.83个百分点
[466.04-469.04] 主要系法定资本需求增入较
[469.04-473.04] 合格资本净额的增入更多所致
[473.04-474.04] 第9页
[474.04-478.04] 113年本公司合并最后建立为
[478.04-480.04] 198.09亿元
[480.04-485.04] 其中净收益为658.20亿元
[485.04-488.04] 较112年增加44.47亿元
[488.04-494.04] 主要系首讯会及佣金净收益增加22.60亿元
[494.04-499.04] 金融商品含兑换净准利增加24.78亿元所致
[499.04-504.04] 提存较110年减少6.15亿元
[504.04-508.04] 主要系该商货要承诺及保证责任准备
[508.04-511.04] 提存减少17.52亿元
[511.04-516.04] 其保证负债准备及变动增加11.37亿元所致
[516.04-519.04] 第10页
[519.04-522.04] 113年各本公司获利表现
[522.04-526.04] 其他本公司获利情形如下说明
[526.04-531.04] 子公银行合并的最后建立189.53亿元
[531.04-537.04] 较112年增加26.51亿元成长16.25%
[537.04-541.04] 主因金融商品含兑换净准利及
[541.04-544.04] 总需费净收益增加所致
[544.04-545.04] 子公产链最后建立2.6亿元所致
[546.04-548.04] 子公链最后建立2.16亿元
[548.04-553.04] 较112年增加0.14亿元成长6.93%
[553.04-558.04] 主因金融营量及承销手续费收入增加所致
[558.04-562.04] 子公链最后建立0.6亿元
[562.04-568.04] 较112年减少1.47亿元减少28.45%
[568.04-574.04] 主因主份低收益债券实现省吃所致
[574.04-577.04] 子公链最后建立3.59亿元
[577.04-583.04] 较112年增加0.16亿元成长4.96%
[583.04-586.04] 主因营业收入增加所致
[586.04-590.04] 子公链最后建立0.2亿元
[590.04-596.04] 较112年增加0.02亿元成长11.1%
[596.04-602.04] 主因一般基金平均规模减少与收入有关应用费用如
[602.04-603.04] 子公链最后建立3.59亿元较112年增加0.16亿元成长11.1%
[603.04-606.04] 主因中金费用相对减少14%
[606.04-610.04] 子公链最后建立1.83亿元
[610.04-616.04] 较112年增加0.56亿元成长44.09%
[616.04-620.04] 主因金融资产评价利益增加所致
[620.04-624.04] 子公链最后建立12.03亿元
[624.04-630.04] 较112年减少0.51亿元减少4.07%
[630.04-631.04] 主因中金费用7.1%
[631.04-658.84] 由子公链拥军费用遥控施则
[658.84-660.04] 公链最后建立13. brown
[660.04-661.72] 均控双引擎
[661.72-664.12] 宜党创始版方案2.0政策
[664.12-666.52] 强化集团子公司的
[666.52-667.28] 互利动能
[667.28-669.54] 整合集团资源
[669.54-671.82] 发挥整合形象的动效
[671.82-673.76] 健全经营体质
[673.76-676.00] 第13页
[676.00-677.16] 和平行
[677.16-679.28] 113年净收益为
[679.28-681.74] 574.34亿元
[681.74-683.56] 成长5.8%
[683.56-685.94] 与122年相较
[685.94-688.12] 总需费净收益增加
[688.12-690.02] 26.29亿元
[690.04-692.02] 成长34.5%
[692.02-694.62] 主因保险佣金收入
[694.62-696.72] 措金类所需费收入
[696.72-699.24] 及净收益增加
[699.24-699.74] 所致
[699.74-702.78] 这种商品还兑换净准益增加
[702.78-704.48] 21.59亿元
[704.48-706.78] 成长14.76%
[706.78-708.86] 主因换配交易
[708.86-711.06] 净准益增加所致
[711.06-712.72] 利息净收益减少
[712.72-714.28] 16.87亿元
[714.28-716.20] 减少5.31%
[716.20-717.28] 主要为
[717.28-719.96] 托团款利息的净收益减少
[719.96-720.02] 和净收益减少
[720.04-723.68] 及央行及同业主管利息费用增加
[723.68-724.36] 所致
[724.36-726.00] 第14页
[726.00-729.96] 托团款利息净收益净收益
[729.96-732.04] 102.51亿元
[732.04-734.16] 成长34.5%
[734.16-734.92] 其中
[734.92-736.32] 财务管理业务
[736.32-738.54] 较112年增加
[738.54-740.18] 15.59亿元
[740.18-741.28] 主因为
[741.28-744.16] 银行保险及信托理财业务的
[744.16-745.54] 总需费增加
[745.54-746.50] 所致
[746.50-748.62] 保团的金融业务
[748.62-749.96] 较122年增加
[749.96-751.44] 8.32亿元
[751.44-754.18] 成长40.64%
[754.18-755.60] 主因
[755.60-757.30] 年代手续费收入增加
[757.30-758.12] 所致
[758.12-759.50] 第15页
[759.50-760.52] 托团
[760.52-762.86] 113年财务管理业务
[762.86-763.90] 手续费收入
[763.90-766.16] 成长37.54%
[766.16-767.02] 其中
[767.02-768.68] 保险业务方面
[768.68-770.88] 较112年增加
[770.88-772.46] 7.21亿元
[772.46-775.24] 成长37.93%
[775.24-775.92] 主因
[775.92-777.84] 推出保险行销专案
[777.84-779.08] 有效提升
[779.08-779.88] 保险行销专案的
[779.88-781.92] 保险手续费收入
[781.92-783.68] 信托理财业务方面
[783.68-785.98] 较112年增加
[785.98-787.56] 7.67亿元
[787.56-790.76] 成长45.09%
[790.76-791.92] 主要是推出
[791.92-793.32] 基金的行销专案
[793.32-794.84] 及境外的
[794.84-796.52] 在线商品行销专案
[796.52-799.80] 带动销售动能上扬
[799.80-801.16] 第16页
[801.16-801.90] 托固银行
[801.90-803.78] 113年的营业费用
[803.78-805.56] 占净收益的比例
[805.56-807.60] 较112年增加
[807.60-809.56] 0.64%
[809.56-810.32] 主要为
[810.32-813.14] 净收益较112年增加
[813.14-814.56] 5.88%
[814.56-817.50] 营业费用较112年增加
[817.50-818.90] 7.2%
[818.90-821.76] 而在营业费用的项目当中
[821.76-823.64] 员工福利费用增加
[823.64-825.04] 10.25亿元
[825.04-827.26] 成长6.48%
[827.26-828.00] 主因
[828.00-831.52] 奖金酬劳提损及薪资增加
[831.52-833.24] 择业费用增加
[833.24-834.78] 1.96亿元
[834.78-836.96] 成长7.97%
[836.96-837.60] 主因
[837.60-839.40] 摊销电脑软体费用
[839.40-841.44] 及机械及电脑设备的
[841.44-842.48] 折旧费用增加
[842.48-845.30] 其他业务及管理费用增加
[845.30-846.64] 7.22亿元
[846.64-848.58] 成长8.47%
[848.58-849.42] 主因
[849.42-850.18] 营业费
[850.18-851.56] 电脑软体及
[851.56-853.98] 服务使用费等一个增加
[853.98-855.40] 第17页
[855.40-856.56] 托固银行
[856.56-857.90] 113年底
[857.90-859.10] 总换款预额
[859.10-861.42] 3.08兆元
[861.42-863.34] 与100月12年相较
[863.34-865.12] 成长9.31%
[865.12-866.16] 主要为
[866.16-867.70] 个人换款增加
[867.70-869.38] 1331亿元
[869.40-872.08] 成长13.79%
[872.08-873.80] 大型企业增加
[873.80-875.70] 859亿元
[875.70-878.52] 成长28.59%
[878.52-879.12] 正如其
[879.12-880.28] 公民世界增加
[880.28-881.62] 250亿元
[881.62-883.64] 成长5.27%
[883.64-885.64] 托固银行主要为
[885.64-886.88] 配合政府政策
[886.88-889.54] 积极推动各式的专案贷款
[889.54-891.54] 并致力拓展新客户
[891.54-893.44] 未来将持续地点
[893.44-895.08] 新创新技能产业
[895.08-897.12] 响应政府2050
[897.12-898.54] 净零排放的目标
[898.54-899.38] 促进
[899.40-901.20] 绿色融资
[901.20-903.44] 强强扶持中小企业发展
[903.44-904.78] 亦积极推动
[904.78-907.14] 中中纬老建筑重建贷款
[907.14-909.84] 六大核心的战略产业创款
[909.84-911.88] 及各项的股贵兴隆
[911.88-913.16] 政策性贷款
[913.16-916.02] 上进企业的社会责任
[916.02-917.58] 第18页
[917.58-918.42] 托固银行
[918.42-921.68] 113年底的总换款预额
[921.68-923.72] 4.09兆元
[923.72-925.72] 与100月12年相较
[925.72-927.92] 成长5.76%
[927.92-928.54] 主要为
[928.54-931.54] 新台币总换款预额增加
[931.54-933.70] 1660亿元
[933.70-935.44] 成长5.2%
[935.44-936.42] 其中
[936.42-939.16] 新台币国际性换款增加
[939.16-940.70] 223亿元
[940.70-942.58] 成长1.6%
[942.58-945.44] 将继续争取各种机关的
[945.44-946.36] 公库换款
[946.36-948.46] 企业团体的薪资涨账
[948.46-950.42] 再收上市购公司的
[950.42-951.42] 增资股款
[951.42-954.26] 及在花现金鼓励等业务
[954.26-955.82] 并将搭配优励专案
[955.82-958.16] 举实际借由各项
[958.54-960.20] 重款的激励措施
[960.20-961.80] 及优便用方式
[961.80-962.90] 引导营业单位
[962.90-965.64] 努力吸揽国内性重款
[965.64-967.82] 外币的总重款预额增加
[967.82-970.32] 新台币565亿元
[970.32-972.60] 成长8.32%
[972.60-974.00] 未来将持续优化
[974.00-976.14] 外汇的出位赔偿功能
[976.14-979.28] 并视金融市场的资金吸走情形
[979.28-982.34] 灵活应用国定存的优利专案
[982.34-984.90] 强化重款吸揽功能
[984.90-986.34] 进一步来引导客户
[986.34-988.50] 以Squina为外币资金的
[988.54-989.56] 教助银行
[989.56-991.62] 以力掌握客户金流
[991.62-993.92] 扩大外币资金池
[993.92-995.46] 19月
[995.46-1000.58] Squina113年底的存款比结构分析
[1000.58-1003.90] 全场存款比为75.11%
[1003.90-1007.74] 较112年底增加2.45个百分点
[1007.74-1010.82] 并较上季的96.1%
[1010.82-1013.38] 减少0.70个百分点
[1013.38-1014.66] 20月
[1014.66-1016.70] Squina113年
[1016.70-1018.50] 台外币的存款管理
[1018.54-1019.82] 和存款利益差分析
[1019.82-1023.40] 台币的存款利差为1.19%
[1023.40-1027.50] 较112年下降3.2个BPS
[1027.50-1031.34] 并较上季下降0.5个BPS
[1031.34-1035.70] 外币的存款利差为2.29%
[1035.70-1040.04] 较112年下降42.8个BPS
[1040.04-1043.88] 并较上季上升8.1个BPS
[1043.88-1045.42] 第21页
[1045.42-1047.46] 和孤银行113年
[1047.46-1048.50] 全行的利差
[1048.54-1050.34] 为1.053%
[1050.34-1053.66] 较112年减少13.7个BPS
[1053.66-1055.70] 并较112年下降13.7个BPS
[1055.70-1058.52] 近利息收益率为0.673%
[1058.52-1061.08] 较112年减少8.5个BPS
[1061.08-1062.62] 第22页
[1062.62-1066.72] 和孤银行113年的海外货列分析
[1066.72-1070.82] 113年境外单位税前盈余为新台币
[1070.82-1073.38] 并较112年减少13.7个BPS
[1073.38-1074.40] 第22页
[1074.40-1077.22] 和孤银行113年的海外货列分析
[1077.22-1078.50] 并较112年减少13.7个BPS
[1078.54-1082.90] 并较112年减少13.7个BPS
[1082.90-1085.96] 主因OBU及金边分支行的提列
[1085.96-1088.78] 并且带上费用减少手势
[1088.78-1092.36] 而孤银行将持续掌握海外的市场商机
[1092.36-1095.18] 并积极办理日本东京分行
[1095.18-1099.02] 及新台新加坡的分行投资进程
[1099.02-1102.86] 以串联亚太地区的金融股网络
[1102.86-1106.18] 扩增海外成长动能
[1106.18-1107.98] 孤银行将着重在
[1107.98-1109.26] 稳成长
[1109.26-1110.28] 重品质
[1110.28-1112.34] 增盈予的三大变项
[1112.34-1116.94] 以各所在地区的总经行事局区域发展情形
[1116.94-1118.74] 进行分区管理
[1118.74-1120.78] 并以稳固的基础下
[1120.78-1122.82] 追求货列成长
[1122.82-1127.94] 为客户提供最完善的金融服务
[1127.94-1130.00] 第33页
[1130.00-1132.82] 和孤银行113年
[1132.82-1136.90] 和孤银行113年
[1136.90-1137.94] 预划比例为
[1137.98-1139.52] 0.16%
[1139.52-1143.10] 灾降户口贷率709.92%
[1143.10-1146.18] 与112年比较的差异为
[1146.18-1150.78] 预划金额较112年减少1.34亿元
[1150.78-1155.38] 至总提存较112年减少8.74亿元
[1155.38-1158.98] 未来将持续提升受信资产品质
[1158.98-1161.78] 去强化风险扩张能力
[1161.78-1165.38] 灾降的一个短销金额较
[1165.38-1166.90] 112年减少
[1166.90-1167.94] 18.3亿元
[1167.98-1171.30] 除以灾降较166.6%
[1171.30-1173.10] 增加8.7亿元
[1173.10-1176.18] 主要是有大额灾降的一个收回
[1176.18-1177.70] 第24页
[1177.70-1179.76] 和孤银行113年
[1179.76-1181.80] 资本市足率为
[1181.80-1183.34] 14.4%
[1183.34-1185.38] 低类资本比例为
[1185.38-1187.18] 12.88%
[1187.18-1188.98] 与上半年的差异为
[1188.98-1192.56] 合格的49资本较上半年增加
[1192.56-1194.86] 135.13亿元
[1194.86-1196.90] 主要是本期成绩增加88.39亿元
[1196.90-1197.94] 主要是本期成绩增加88.39亿元
[1197.94-1201.26] WVOCI的权益工具本期处分利益增加16.19亿元
[1201.26-1204.60] WVOCI的权益工具本期处分利益增加16.19亿元
[1204.60-1207.66] 及行品次数位在线增加
[1207.66-1209.20] 14.1亿元
[1209.20-1209.98] 并资本等一个扩足项减少16.63亿元
[1209.98-1212.02] 并资本等一个扩足项减少16.63亿元
[1212.02-1213.82] 并资本等一个扩足项减少16.63亿元
[1213.82-1216.88] 在风险性资产较上半年增加311.56亿元
[1216.88-1218.94] 在风险性资产较上半年增加311.56亿元
[1218.94-1220.98] 主要性信用风险增加353.62亿元
[1220.98-1223.54] 主要性信用风险增加353.62亿元
[1223.54-1227.12] 社会风险增加72.82亿元
[1227.12-1228.66] 及市场风险减少114.88亿元
[1228.66-1230.96] 及市场风险减少114.88亿元
[1230.96-1233.02] 113年的资本自主利及低劣资本比例
[1233.02-1235.06] 113年的资本自主利及低劣资本比例
[1235.06-1236.08] 皆符合113年底的国内系统性中银行C-SHIFT
[1236.08-1239.92] 皆符合113年底的国内系统性中银行C-SHIFT
[1239.92-1242.74] 内部的管理资本调整要求
[1242.74-1244.78] 外亚端持续提升资本自主利及低劣资本比例
[1244.78-1248.36] 外亚端持续提升资本自主利及低劣资本比例
[1248.36-1251.18] 以强化资本结构
[1251.18-1252.46] 第36页
[1252.46-1254.76] 合乎人数的业务概划
[1254.76-1258.34] 113年初年度的保费收入为
[1258.34-1260.40] 18.97亿元
[1260.40-1263.72] 总保费收入为99.38亿元
[1263.72-1266.02] 接下来112年增加
[1266.02-1268.58] 主因政务贷款政策及
[1268.58-1271.40] 民众购物刚性需求支撑下
[1271.40-1273.96] 使得银行的换款量增加
[1273.96-1274.74] 有效带动
[1274.74-1274.76] 有效带动
[1274.76-1278.08] 房贷授权保费收入增加
[1278.08-1281.42] 外亚端持续举办交易清链并搭配
[1281.42-1283.72] 银行的保险实销专案
[1283.72-1286.80] 助力提升保险商品的销售动能
[1286.80-1289.86] 113年的总投资报酬率为
[1289.86-1291.14] 3.92%
[1291.14-1295.76] 与122年相较增加0.42%
[1295.76-1297.04] 第27页
[1297.04-1300.36] 可不仁社的投资组合上提分析
[1300.36-1302.16] 113年整体的
[1302.16-1303.44] 资产配置为
[1303.44-1304.72] 422.2%
[1304.72-1305.74] 2.2%
[1305.74-1308.82] 112年增加36.5
[1308.82-1309.32] 112年增加36.5
[1309.32-1310.10] 其中
[1310.10-1312.40] 现金领养存款部位上
[1312.40-1313.94] 2.9%
[1313.94-1315.22] 商业本票上
[1315.22-1316.76] 4.77%
[1316.76-1318.28] 国内在线占比
[1318.28-1319.82] 37.2%
[1319.82-1321.10] 外地的占比
[1321.10-1322.38] 在线占比是
[1322.38-1323.66] 41.8%
[1323.66-1324.44] 及
[1324.44-1325.72] 股票的占比是
[1325.72-1327.24] 7.0%
[1327.24-1328.02] 未来的
[1328.02-1329.80] 资产配置它的方向
[1329.80-1332.88] 为因应保单报期重新的资金
[1332.88-1334.68] 配置合理的流行资产
[1334.68-1339.28] 并逐步调整国外债券的地险比例
[1339.28-1342.10] 以分散地险合约的乘坐天级
[1342.10-1345.18] 并逐步逢低来增加
[1345.18-1349.28] 自执行配息型的ETF及基金的部位
[1349.28-1350.80] 以提升收益
[1350.80-1352.60] 第28页
[1352.60-1354.40] 可不证券的年龄概况
[1354.40-1355.68] 113年
[1355.68-1357.20] 税后净利为
[1357.20-1358.74] 2.16亿元
[1358.74-1360.28] 每股运营为
[1360.28-1363.10] 0.41元
[1363.10-1364.64] ROE及ROA
[1364.68-1365.70] 分别为
[1365.70-1366.98] 3.49%
[1366.98-1368.78] 及0.70%
[1368.78-1371.34] 获利的增加主因是
[1371.34-1374.66] 经济储蓄收入增加所致
[1374.66-1377.74] 113年的经济市占率为
[1377.74-1379.02] 0.83%
[1379.02-1380.80] 较113年减少
[1380.80-1382.86] 0.03个百分点
[1382.86-1384.64] 融资的市占率为
[1384.64-1385.92] 1.77%
[1385.92-1387.98] 较113年减少
[1387.98-1389.76] 0.04个百分点
[1389.76-1391.82] 将规划基地活动及
[1391.82-1393.86] 举办丢取交活动
[1393.86-1394.64] 以提高整体
[1394.64-1399.00] 的交易户数及经济融资市占率
[1399.00-1400.28] 可不证券未来将
[1400.28-1401.30] 积极强化
[1401.30-1402.32] 重基金
[1402.32-1403.34] 法轮客户
[1403.34-1405.64] 及专业独立机构的服务
[1405.64-1406.16] 举办
[1406.16-1407.44] 博主论坛
[1407.44-1408.98] 业务行商活动及
[1408.98-1410.00] 课桌会诊
[1410.00-1412.04] 增加客户的贫穷度
[1412.04-1413.08] 应将运用
[1413.08-1414.60] 投户的资源
[1414.60-1416.92] 提供差异化的研究资源
[1416.92-1418.70] 增起交易机会
[1418.70-1421.00] 提高整体交易量及
[1421.00-1422.54] 经济市占率
[1422.54-1424.34] 以上为可不监控
[1424.34-1427.16] 第113年第4季的华社会
[1427.16-1428.44] 简报的报告
[1428.44-1429.98] 谢谢您
[1429.98-1435.34] 我们谢谢这处潘处长的简报
[1435.34-1437.90] 接下来我们进行问答阶段
[1437.90-1441.74] 请各位投资人有没有提问
[1441.74-1443.28] 我们将会诊提问
[1443.28-1446.36] 并于三分钟后进行答补
[1454.34-1462.54] 请问
[1462.54-1465.34] 镜上媒体提问
[1465.34-1467.14] 以下有三个问题
[1467.14-1468.16] 第一
[1468.16-1470.98] 今年核库银全年房贷及
[1470.98-1473.02] 建农目标的成长率
[1473.02-1475.84] 以及增额分别设定多少
[1475.84-1478.40] 怎么看今年的房市
[1478.40-1479.18] 二
[1479.18-1483.02] 核库银响应雅兹中心高雄专区
[1483.02-1484.30] 会以当地现有的
[1484.30-1485.84] 分行来做或
[1485.84-1488.40] 评估新设的据点呢
[1488.40-1490.18] 就银行角度看
[1490.18-1494.80] 目前金管会针对资产管理专区设计的松绑措施
[1494.80-1498.90] 哪一项最有助于银行拓展高资产
[1498.90-1501.20] 财管业务
[1501.20-1502.48] 三
[1502.48-1510.16] 核库银对于今年财管手续费收入的展望如何
[1510.16-1511.70] 好谢谢提问
[1511.70-1513.74] 第一个问题我请
[1513.74-1514.26] 的
[1514.30-1519.42] 各经部
[1519.42-1521.98] 各经部来答复
[1521.98-1523.26] 各经部来审协议
[1523.26-1524.54] 第二个问题我请
[1524.54-1525.30] 私营部
[1525.30-1526.34] 一个协议
[1526.34-1527.62] 第三个我还是请
[1527.62-1528.38] 私营部
[1528.38-1529.66] 还有财管部
[1529.66-1530.42] 财管部
[1530.42-1531.96] 第三个问题财管
[1531.96-1537.60] 财管部请财管部来答复
[1537.60-1539.90] 那谢谢媒体的提问
[1539.90-1540.66] 那以
[1540.66-1544.26] 今年来看的话因为为了配合央行不动产管
[1544.30-1548.40] 那何故的房贷将呈现低度的成长
[1548.40-1552.50] 那对未来房市的看法的话
[1552.50-1558.38] 在113年的经货买卖移转动数大概只有35.05万栋
[1558.38-1560.94] 大概成长了14.33
[1560.94-1561.70] 但是
[1561.70-1565.04] 随着房市的管控政策持续发展
[1565.04-1567.60] 那目前房市的观望气氛
[1567.60-1568.62] 浓厚
[1568.62-1572.46] 在看坏未来房市比率上升的情况之下
[1572.46-1574.26] 应该对第二季房市的掌控
[1574.26-1576.56] 是相较较为悲观
[1576.56-1578.62] 但是因为从2021年开始
[1578.62-1580.92] 因为建商大量的推按
[1580.92-1583.74] 那今年将会进入交无潮
[1583.74-1588.34] 所以预期今年房贷市场没有一定的量能
[1588.34-1592.70] 但是因为各银行对于房贷持续沉税评估的态度
[1592.70-1595.50] 加上一键成本持续高涨
[1595.50-1600.38] 那成本面让房价下跌的空间其实是有受限的
[1600.38-1604.22] 所以预估第二季的房市将呈现量说
[1604.26-1607.84] 价上下盘整的态势
[1607.84-1614.76] 那另外建融目标的部分就麻烦我们法金部
[1614.76-1616.54] 法金部报告
[1616.54-1618.34] 我们今年的土建
[1618.34-1620.38] 土建的那个
[1620.38-1622.94] 去年年底1600年级来讲的话
[1622.94-1624.22] 那因为今年
