[0.00-3.84] 各位投資以及媒體先進大家好
[369.72-371.72] 在雲端網路產品
[371.72-375.72] 隨著AI伺服器機櫃量產情況越來越成熟
[375.72-379.72] 以及通用伺服器的強勁需求持續
[379.72-383.72] 預計這個產品可以達到強勁成長
[384.72-387.72] 電腦終端產品在第二季、第一季
[387.72-391.72] 以及去年同期都有新產品上市
[391.72-395.72] 預期這一季的表現將大致持平
[395.72-397.72] 在元件以及其他
[397.72-401.72] 主要業務相關的零組件出貨增加
[401.72-403.72] 所以這個產品類別
[403.72-408.72] 在季對季、年對年也都會顯著成長
[409.72-411.72] 在去年展望的部分
[411.72-413.72] 在全年展望的部分
[413.72-415.72] 我們看到的變數
[415.72-419.72] 比上次法說匯時又更多了
[419.72-422.72] 除了剛提到關稅、地緣政治
[422.72-425.72] 以及全球貨幣政策的變動
[425.72-428.72] 可能影響全球景氣表現之外
[428.72-432.72] 即使目前的銷量預估並沒有太大的變化
[432.72-434.72] 但是因為匯率的關係
[434.72-439.72] 可能會影響到轉換成台幣後的營收金額的表現
[440.72-443.72] 因此相較於3月份來看
[443.72-447.72] 我們對今年展望會比較審慎一些
[447.72-453.72] 所以我們略為調整今年的展望到顯著成長
[453.72-458.72] 至於四個主要產品的展望方向大致維持不變
[458.72-462.72] 雲端網路產品仍是主要的成長動能
[462.72-466.72] 尤其AI伺服器的產品能見路非常好
[467.72-471.72] 下一個部分我將說明近期的重要事業發展
[471.72-476.72] 最近全球的政經局勢和關稅政策變化很快
[476.72-480.72] 讓整個供應鏈面臨很大的挑戰
[480.72-486.72] 但其實我們早在四、五年前就已經看到區域製造會是一個趨勢
[486.72-492.72] 而且當時就開始著手把製造能力往各個區域去擴張
[492.72-495.72] 我們用靈活的供應鏈管理
[495.72-497.72] 加上在地生產的策略
[497.72-502.72] 現在已經在全球建立了233個穩固的據點
[502.72-507.72] 而我們在全球的這些生產據點橫跨了24個國家
[507.72-511.72] 除了亞洲是主要的基地之外
[511.72-515.72] 我們在美洲擁有超過50個據點
[515.72-520.72] 歐洲和印度也分別布局超過了10個據點
[520.72-525.72] 我們在各地更累積了多年的在地營運的經驗
[525.72-527.72] 和充沛的人力資源
[527.72-532.72] 這樣子的布局讓我們能夠快速回應客戶的需求
[532.72-539.72] 今年我們的雲端網路產品還是最主要的成長動能
[539.72-544.72] 回顧第一季AIA伺服器業務的表現相當亮眼
[544.72-549.72] 跟去年同期相比營收成長超過50%
[549.72-554.72] 這表示市場對算力的需求還是非常強勁
[554.72-558.72] 不管是AI伺服器還是通用型的伺服器
[558.72-561.72] 出貨量都明顯提升
[561.72-564.72] 從客戶的角度來看
[564.72-571.72] 今年北美各大CSP廠都宣布要持續擴大他們在AI基礎設施的投資
[571.72-576.72] 在訓練與推理型的AI的大幅成長的帶動下
[576.72-581.72] 對通用型伺服器的採購量也同步提升
[581.72-587.72] 這也是我們整體伺服器出貨量可以大幅成長的原因
[587.72-591.72] 隨著我們自動化程度不斷的提高
[591.72-594.72] 生產的良率也越來越好
[594.72-598.72] 所以如同上次法座會我跟大家提到的
[598.72-603.72] AI伺服器的表現應該會一季比一季更好
[603.72-605.72] 以目前的情況來看
[605.72-608.72] 我們預估第二季AI伺服器的營收
[608.72-613.72] 不管是跟上一季比還是跟去年同期比
[613.72-617.72] 預期都會有將近倍數的成長
[617.72-621.72] 隨著AI伺服器進入大量交貨期
[621.72-626.72] 預計它將為我們的營收帶來更顯著的貢獻
[626.72-635.72] AI伺服器的營收占比也有希望超過整體伺服器營收的五成的目標
[636.72-638.72] 接下來我想跟大家分享一下
[638.72-642.72] 我們在智慧製造以及數位健康方面的發展
[642.72-645.72] 3月份在GTC的大會上
[645.72-650.72] 我們展示了以AI Factory為核心的智慧製造應用的成果
[650.72-659.72] 並且第一次公開了可以安全協助運送醫院簡體的醫護機器人Neurabot
[659.72-664.72] 以及結合了自動搬運功能的半導體複合型機器人
[664.72-674.72] 另外在伺服器的產線機器人組裝以及電動巴士工廠的總裝模擬等專案中
[674.72-677.72] 我們也導入了數位暖身技術
[677.72-683.72] 這幫助我們提升了生產效率和設施規劃的能力
[683.72-690.72] 在建AI方面我們也積極導入了Agentic AI的智慧管理技術
[690.72-696.72] 希望能夠提升工廠的營運效率以及數據整合的能力
[696.72-704.72] 在EV的部分相信大家上週都收到了我們跟山林汽車正式展開合作的好消息
[704.72-714.72] 在未來我們也預計將協助他們在大洋洲銷售我們設計開發的車型
[714.72-722.72] 這也呼應了我之前提到的EV三大指標之一 取得傳統車廠的訂單
[722.72-726.72] 我們在一步一步地實現我們EV事業的目標
[726.72-734.72] 上個月我們在東京首都舉辦了電動車布局三大策略的發表會
[734.72-739.72] 吸引了數百位來自日本汽車產業的人士參與
[739.72-748.72] 他們對我們的委託製造服務CMS和委託設計製造服務CDMS的模式
[748.72-754.72] 以及垂直整合全球布局的策略都很感興趣
[754.72-761.72] 我們希望這次和山林的合作能夠引領我們未來跟更多的國際車廠
[761.72-765.72] 包括日本傳統車廠的合作機會
[766.72-771.72] 另外大家期待已久的Model B化解休旅車
[771.72-775.72] 也預計在今年下半年正式開始量產
[775.72-781.72] 而電池方面 合發廠已經具備有量產的能力
[781.72-785.72] 並且已經提供產品給客戶測試
[785.72-792.72] 後續我們會配合國內電動巴士和商用車客戶的計畫進度
[792.72-797.72] 協助他們完成電動車國產化的年度目標
[797.72-800.72] 在半導體的發展方面
[800.72-805.72] 車用產品正按照進度在第二季開始量產
[805.72-814.72] 同時我們在次世代SIC MOSFET這個領域擁有優於業界的技術規格
[814.72-817.72] 能夠顯著提高功率轉換效率
[817.72-820.72] 減少能源浪費
[820.72-826.72] 這個部分我們預計在今年下半年就可以進入量產
[826.72-830.72] 至於3DIC的設計服務
[830.72-834.72] 我們也已正式跨入了這個門檻很高的領域
[834.72-840.72] 成為台灣少數能夠提供這項服務的廠商之一
[840.72-846.72] 我們也預計在今年會跨入AI A6晶片的設計服務
[847.72-853.72] 並且逐步擴大在歐洲、美洲以及東南亞的業務佈局
[853.72-857.72] 前些時候大家應該有看到
[857.72-863.72] 我們取得了日本福山八寸晶圓廠的百分之百股權
[863.72-866.72] 接下來我們預期可以透過福山廠
[866.72-870.72] 來提升我們在半導體領域的佈局
[870.72-873.72] 增加垂直整合和供應鏈自主的能力
[873.72-878.72] 同時也達到分散生產基地的一個效果
[878.72-881.72] 在低軌衛星領域
[881.72-887.72] 我們正積極參與國家太空中心所主導的各項專案計畫
[887.72-892.72] 也在整合國內外頂尖技術與資源
[892.72-896.72] 逐步完善設計、製造以及測試
[896.72-900.72] 並加速我們在6G上的佈局
[900.72-905.72] 集團旗下負責半導體設備的經典
[905.72-909.72] 前陣子也宣布收購富蘭登科技
[909.72-914.72] 未來將有助我們在航太產業的發展
[914.72-918.72] 這也讓我們化足了無人機的產業
[918.72-924.72] 未來會結合現有的技術創造出更多的應用
[924.72-927.72] 接下來我請James跟大家來分享
[927.72-928.72] 謝謝董事長
[928.72-934.72] 接下來我針對幾個比較重要的近期事件來跟大家分享
[934.72-936.72] 在公司治理方面
[936.72-940.72] 我們的中央園區長楊秋瑾已經接任了輪值CEO
[940.72-943.72] 這也象徵著我們的集團接班人制度
[943.72-947.72] 邁向更永續以及更多元化的做法
[947.72-949.72] 再來就是剛剛董事長提到的
[949.72-953.72] 由策略長關潤在日本設立的一個專案
[953.72-955.72] 另外我們的產品黨蕭采佑
[955.72-959.72] 也獲選為美國全國製造商協會的董事會成員
[959.72-963.72] 這也凸顯出鴻海在全球製造業的地位
[963.72-967.72] 即使是在美國也是越來越受到重視
[967.72-969.72] 在智慧城市的推動方面
[969.72-972.72] 我們與台北市政府攜手合作
[972.72-976.72] 共同推動AI驅動電動車設備的設計
[976.72-978.72] 這也讓我們更加感激到
[978.72-980.72] 另外我們也獲得了
[980.72-984.72] 共同推動AI驅動未來台北的智慧城市方案
[984.72-989.72] 另外我們的智慧電動巴士廠商數位軟身解決方案
[989.72-993.72] 也獲得了2025年的智慧城市創新應用獎
[993.72-998.72] 這部分也顯示出我們在智慧交通的AI應用能力
[998.72-1001.72] 而在研究與創新方面
[1001.72-1006.72] 近期我們正式加入了全球專業聯盟Large Network
[1006.72-1011.72] 這個可以進一步強化鴻海在智慧財產的保護機制
[1011.72-1013.72] 此外我們連續8年
[1013.72-1016.72] 農登了全球百大創新機構
[1016.72-1020.72] 展現了我們在創新研發的長期投入成果
[1020.72-1023.72] 在前瞻技術的合作方面
[1023.72-1027.72] 鴻海研究院與台灣大學攜手日本的NICT
[1027.72-1031.72] 成功突破了新監光通訊的關鍵技術
[1031.72-1035.72] 同時研究院也在第四代半導體的應用上
[1035.72-1040.72] 透過跨國的合作成功掌握下一世代電晶體的關鍵技術
[1040.72-1046.72] 在ESG的實踐方面也有多項的成果來跟大家分享
[1046.72-1051.72] 首先我們首度被納入標普全球永續年鑑
[1051.72-1053.72] 並且獲得產業最佳進步獎
[1053.72-1057.72] 代表我們在ESG的領域有很大的進步
[1057.72-1062.72] 另外我們也擴大了第三方RBA VAP的一個集合範圍
[1062.72-1067.72] 耗時半年完成了橫跨全球九個主要園區的集合
[1067.72-1072.72] 全面提升的確信度也落實了業績的供應鏈管理
[1072.72-1077.72] 上個月我們也舉辦了第二屆鴻海富士岡的永續獎
[1077.72-1082.72] 透過這個獎項我們鼓勵來自於全球各場區的員工以及供應商
[1082.72-1087.72] 發揮創意以實際的行動來推動ESG
[1087.72-1090.72] 在近期的參展活動方面
[1090.72-1093.72] 今年的NVIDIA的GTC大會上面
[1093.72-1097.72] 我們發表了最新一代的GB300 AI伺服器
[1097.72-1101.72] 並且同步分享了三大智慧平台的最新應用
[1101.72-1106.72] 展現我們在AI基礎建設的研發能量、粉粉能力
[1106.72-1109.72] 此外我們也參加了台北國際車電展
[1109.72-1116.72] 並且展示在電動車、車用零組件以及國產化電池的最新進展
[1117.72-1120.72] 最後,在下一週的Computer Techs
[1120.72-1122.72] 我們也有參與展出
[1122.72-1124.72] 歡迎各位蒞臨參觀
[1124.72-1128.72] 一同欣賞最新一代的AI伺服器機構
[1128.72-1132.72] 以及機器人在三大智慧平台的應用
[1133.72-1134.72] 好,謝謝James
[1134.72-1139.72] 接下來我們進入法說會的第二個階段問答時間
[1139.72-1142.72] 我們先針對大家會前的提問會長跟各位報告
[1142.72-1144.72] 然後就會開放自由提問
[1145.72-1147.72] 那第一題有關關稅的議題
[1147.72-1149.72] 想要請教董事長
[1149.72-1152.72] 目前整個全球關稅的政策多變
[1152.72-1154.72] 那要如何評估對於公司的影響
[1154.72-1158.72] 包含像產能的調配、全球佈局等等
[1158.72-1160.72] 那公司有哪些因應的策略
[1160.72-1163.72] 對於我們又會帶來哪些機會與挑戰
[1163.72-1164.72] 謝謝
[1165.72-1168.72] 因為近期關稅政策的變化
[1168.72-1173.72] 現在對企業來講最大的課題就是全球化佈局的程度
[1173.72-1175.72] 以及供應鏈的韌性
[1175.72-1180.72] 所幸在很多年前我們就已經展開了更為區域化的佈局
[1180.72-1185.72] 可以彈性的來因應客戶的需求來做調整
[1185.72-1187.72] 影響相對較輕
[1187.72-1191.72] 現在為了搭配整體的供應鏈
[1191.72-1193.72] 因應地緣政治的風險
[1193.72-1197.72] 以及供應鏈的多元化的一個策略下
[1197.72-1201.72] 我們在全球持續進行了產能的佈局
[1201.72-1207.72] 也正在加速加快我們的佈局的腳步
[1207.72-1213.72] 以強化我們在區域製造、區域交付的能力
[1213.72-1217.72] 過去一年全球廠區與辦公室的數量
[1217.72-1220.72] 我們就增加了超過10%
[1220.72-1222.72] 來到了233個
[1222.72-1226.72] 這就是我們佈局更加完整的一個證明
[1227.72-1233.72] 目前我們在墨西哥、印度、越南、歐洲等地的產線
[1233.72-1235.72] 也逐步的到位
[1235.72-1240.72] 有效的提升公司靈活性與抗風險的能力
[1240.72-1245.72] 在台灣、美國、中國大陸、印度的新事業發展
[1245.72-1248.72] 也有很多的計畫正在進行
[1248.72-1253.72] 雖然關稅造成部分地區的原材料
[1253.72-1256.72] 或是物流的成本短期會上升
[1256.72-1261.72] 但我們透過垂直整合以及與客戶的協商
[1261.72-1266.72] 並以維持產品獲利性的穩定為我們的目標
[1266.72-1270.72] 我們也持續透過生產自動化
[1270.72-1275.72] 以及規模的效益來維持我們整體的競爭力
[1275.72-1278.72] 關稅政策會帶來一定的挑戰
[1278.72-1281.72] 但也會讓我們進一步的進一步的進一步的進
[1281.72-1284.72] 更會刺激集團加速轉型
[1284.72-1287.72] 對於未來新市場的擴展
[1287.72-1290.72] 以及服務多元化
[1290.72-1293.72] 這個服務多元客戶的角度來看
[1293.72-1297.72] 反而形成了一個長期的機會
[1297.72-1298.72] 謝謝董事長
[1298.72-1301.72] 那下一題是有關匯率的部分
[1301.72-1302.72] 那想要請教財務長
[1302.72-1305.72] 最近新台幣對美元快速的升值
[1305.72-1307.72] 對於新台幣的升值
[1307.72-1308.72] 那想要請教財務長
[1308.72-1311.72] 最近新台幣對美元快速的升值
[1311.72-1313.72] 那我們要怎麼看對於毛利率
[1313.72-1316.72] 還有帳上匯兌損益的影響
[1316.72-1320.72] 以公司目前營收跟成本的這個部位來看的話
[1320.72-1322.72] 美元的佔比大概是多少
[1322.72-1326.72] 那另外美元金融資產還有負債臭配的狀況
[1326.72-1329.72] 整體來說公司有哪些相對應的策略調整
[1329.72-1333.72] 來降低台幣升值的影響
[1334.72-1337.72] 我們是以美元作為主要的交易貨幣
[1337.72-1340.72] 所以營收和成本高比例為美元
[1340.72-1343.72] 大部分可以形成自然避險
[1343.72-1346.72] 但是財報的功能性貨幣是台幣
[1346.72-1347.72] 所以台幣對美元
[1347.72-1349.72] 任何重大不利的匯率波動
[1349.72-1353.72] 一定會影響到我們帳上台幣營收的表現
[1353.72-1355.72] 至於在貨幣方面
[1355.72-1358.72] 主要可能影響到業內的存貨成本
[1358.72-1360.72] 以及業外損益的部分
[1360.72-1362.72] 舉例來說
[1362.72-1366.72] 台幣對美元的年平均匯率升值1元時
[1366.72-1369.72] 會影響到鴻海的營收約3%
[1369.72-1372.72] 毛利率也會減少約0.1%
[1372.72-1374.72] 以目前來看
[1374.72-1377.72] 我們會持續透過存貨管理的機制
[1377.72-1381.72] 讓美元貶值對於毛利率的影響降到最低
[1381.72-1385.72] 業外的部分確實會受到匯率波動的影響
[1385.72-1388.72] 但是我們已經進行必要的避險
[1388.72-1391.72] 將風險降至可控的範圍
[1391.72-1396.72] 此外我們公司有一套因應匯率波動的政策指引
[1396.72-1400.72] 例如跟客戶合約中有訂定匯率的調整條款
[1400.72-1402.72] 以及增加報價的頻率
[1402.72-1405.72] 並以合適的金融避險工具
[1405.72-1410.72] 對沖營業投資以及融資活動產生的匯率風險
[1410.72-1415.72] 等多種舉措來降低匯率波動的相關風險
[1415.72-1417.72] 謝謝財務長
[1417.72-1419.72] 那接下來是最後一個問題
[1419.72-1424.72] 線上若想要提問的朋友現在可以點選舉手符號等候
[1424.72-1426.72] 我們在下一題問答結束之後
[1426.72-1430.72] 將會開放給線上的法人與媒體自由提問
[1430.72-1435.72] 最後一題想要請教董事長有關AI伺服器業務的狀況
[1435.72-1440.72] 那請說明一下在第一季整體的表現和原先預期的差異
[1440.72-1442.72] 以及目前對於第二季的看法
[1442.72-1446.72] 對於今年全年AI伺服器營收的展望是否有改變
[1446.72-1447.72] 謝謝
[1447.72-1454.72] 我們第一季受惠於算力需求持續的成長以及新平台的推動
[1454.72-1460.72] AI伺服器與通用型伺服器出貨表現皆顯著的提升
[1460.72-1465.72] 營收年增都超過了50%但是沒有達到一倍
[1465.72-1473.72] 主要是因為GB系列在第一季季底進入了大量生產的階段
[1473.72-1477.72] 所以大部分產品都是在第二季才交貨
[1477.72-1486.72] 以市場來看主要北美CSP客戶除了持續擴大AI伺服器部署外
[1486.72-1490.72] 也同步增加了通用型伺服器的採購
[1490.72-1493.72] 支撐了整體出貨的一個成長
[1493.72-1500.72] 展望第二季我們預期整體伺服器業務將持續成長
[1500.72-1506.72] 營收季增及年增都可望達到高雙位數增長
[1506.72-1512.72] 在AI伺服器方面GB系列量產能力持續改善
[1512.72-1521.72] 另外我們也已經跟幾家CSP客戶共同開發了ASIC架構的AI伺服器
[1521.72-1525.72] 並且也已經陸續的出貨
[1526.72-1530.72] 再加上HTX需求會進一步的擴張
[1530.72-1535.72] 所以AI伺服器的出貨量也已經在加速當中
[1535.72-1540.72] 預計會有將近倍數的成長
[1540.72-1545.72] 在大元模型持續更迭優化的帶動下
[1545.72-1553.72] 市場對於AI基礎設施以及本地部署解決方案的需求明顯的提升
[1553.72-1559.72] 基於目前訂單的能見度以及主要客戶對AI的需求的預測
[1559.72-1565.72] 2025年我們對AI伺服器營收成長非常有信心
[1565.72-1570.72] 將實現兆元以上的營收規模
[1570.72-1576.72] 佔整體伺服器比重將會超過50%
[1577.72-1579.72] 謝謝董事長
[1579.72-1583.72] 我們現在開放給線上的法人與媒體自由提問
[1583.72-1585.72] 現在我們會移到Q&A的時間
[1585.72-1587.72] 英文問題也歡迎
[1589.72-1595.72] 第一題我們請Morges Sengi分析師學任請
[1599.72-1601.72] 聲音嗎
[1601.72-1603.72] 有請說
[1603.72-1606.72] 劉董財務長James你們好
[1606.72-1607.72] 我是Sheren
[1607.72-1611.72] 我這裡有兩個問題想先請教一下
[1611.72-1620.72] 第一個問題是關於我們在印度生產旗艦手機的一些更新
[1620.72-1625.72] 我們的大客戶在最近的電話會議裡面也提到
[1625.72-1632.72] 印度生產的智能手機未來可以滿足美國市場的需求
[1632.72-1636.72] 所以不知道是不是可以請董事長跟我們提點一下
[1636.72-1643.72] 就是鴻海在印度組裝手機的三年的產能規劃
[1643.72-1650.72] 除了組裝之外是不是有一些零組件也會一併在印度就近供應
[1650.72-1657.72] 另外關於貨力就是組裝業務的這個在印度的貨力
[1657.72-1659.72] 是不是可以跟在中國相當
[1659.72-1664.72] 因為我們的了解在印度生產的效率還是有一些進步空間
[1664.72-1671.72] 那這個會不會對我們的智能手機的業務有一些貨力上的影響
[1671.72-1673.72] 這是第一個問題
[1673.72-1677.72] 第二個問題的話就是剛剛董事長也提過
[1677.72-1683.72] 其實我們一直都在做所謂的區域性生產的一個布局
[1683.72-1689.72] 包含各個不同的國家
[1689.72-1693.72] 那我大概想要了解一下是不是可以請財務長
[1693.72-1698.72] 跟我們更新一下就是今年的整個資本支出
[1698.72-1707.72] 是不是還是跟我們當初的就是預期大概會再比去年再多20%
[1707.72-1712.72] 那這多出來的CAPEX大概是怎麼樣的一個分配
[1712.72-1719.72] 尤其是對於主要的生產基地包含墨西哥、美國、印度
[1719.72-1724.72] 還有今天大家也很關注的就是中東
[1724.72-1730.72] 我們是不是會在中東也會有一些新增的AI產能的規劃
[1730.72-1736.72] 那這個CAPEX是不是會持續的維持在高檔
[1736.72-1742.72] 因為如果我們看到就是說我們的CAPEX還是持續的一個比較大的支出
[1742.72-1746.72] Working Capital看起來也是持續的增加
[1746.72-1750.72] 那我們除了做這個舉債來支應之外
[1750.72-1755.72] 我們最近會有可能會有做籌資的計畫嗎
[1755.72-1757.72] 這是我的兩個問題謝謝
[1757.72-1761.72] 好謝謝謝謝Sharon
[1761.72-1770.72] 那我們不會去評論單一客戶或是單一客戶的他的產品
[1770.72-1775.72] 所以我可以就整體我們在印度的狀況來做回答
[1775.72-1780.72] 整體來看每一個地方的佈局都需要長期的經營
[1780.72-1782.72] 尤其是技術能力
[1782.72-1787.72] 我們有很強的訓練體系及規模龐大的場域
[1787.72-1790.72] 可以很快的來培養同仁的能力
[1790.72-1795.72] 近幾年來我們的員工規模在高峰的時候可以達到90萬人
[1795.72-1802.72] 這就可以顯示鴻海在完整的管理體系跟訓練的能力
[1802.72-1809.72] 以印度來說我們從2006年就進入了這個市場
[1809.72-1814.72] 這段期間累積了管理當地的員工供應鏈和物流的能力
[1814.72-1818.72] 這些都是很重要的競爭優勢
[1818.72-1823.72] 也是我們近幾年可以快速擴充的非常重要的一個原因
[1823.72-1832.72] 那鴻海在全球化的佈局會緊貼著客戶的需求
[1832.72-1841.72] 包括未來產能的規劃以及組裝還有零組件的佈局都會配合客戶
[1841.72-1845.72] 只要客戶有需求我們一定會全力以赴
[1845.72-1850.72] 我們看到越來越多供應商在印度投資設廠
[1850.72-1854.72] 我們也預期在供應鏈越區完整的情況下
[1854.72-1860.72] 印度製造的競爭力應該會逐漸的顯現
[1864.72-1868.72] 那第二題我們是不是請財務長來回答
[1868.72-1870.72] 好 謝謝董事長
[1870.72-1873.72] 在上次的法書會我們有提到
[1873.72-1878.72] 今年因為看到更多的商機以及更多的合作機會
[1878.72-1882.72] 所以預期資本支出會持續增加20%以上
[1882.72-1885.72] 這樣的看法沒有改變
[1885.72-1889.72] 其中我們預計會有六到七成用於擴充產能
[1889.72-1891.72] 其他是有自動化了
[1891.72-1899.72] 那六到七成的擴充產能包含印度、越南、美國、墨西哥等地區
[1899.72-1901.72] 但剛剛您提到中東地區
[1901.72-1904.72] 在今年內應該是還沒有看到這個
[1904.72-1908.72] 那在新事業方面也將逐漸產生貢獻
[1908.72-1912.72] 我們會在中國大陸擴展新能源的相關業務
[1912.72-1917.72] 在美國、台灣、印度也會有新的事業投資
[1917.72-1920.72] 我們這幾年持續在全球多元的布局
[1920.72-1924.72] 也讓我們能因應目前國際政經情勢的變化
[1924.72-1928.72] 透過我們董事長剛剛提到的區域製造的能力
[1928.72-1932.72] 也可以快速且彈性的滿足客戶的需求
[1932.72-1934.72] 至於明年KPAC部分
[1934.72-1937.72] 因為目前外部環境的變數太多
[1937.72-1940.72] 所以我們還需要持續的觀察
[1940.72-1943.72] 等比較明朗的時候才會有能見度
[1943.72-1949.72] 另外因為我們財務管理的策略都是超前部署
[1949.72-1952.72] 加上我們與客戶的業務合作非常的緊密
[1952.72-1955.72] 所以我們對長短期資金的需求
[1955.72-1958.72] 就會提前進行規劃
[1958.72-1961.72] 並是外部環境及實際業務需求
[1961.72-1965.72] 搭配適合的籌資工具靈活調整
[1965.72-1967.72] 以滿足公司營運的需求
[1967.72-1970.72] 及確保財務結構的穩定性
[1970.72-1973.72] 事實上去年第四季到現在
[1973.72-1978.72] 我們已經完成的普通公司債新台幣298.5億元
[1978.72-1982.72] 以及海外可轉換公司債美金7億元的發行
