[0.00-12.32] 子公司就是我们有生鑫、金来还有群里这部分
[606.44-609.04] 我们这个算是已经是第二个标案
[609.04-610.68] 那在第一个标案的时候
[610.68-618.16] 我们刚初期大概有时候整个量率就还没有
[618.16-620.52] 整个需求曲线还没有稳定
[620.52-621.24] 所以在
[621.60-623.16] 第一个标案的时候
[623.16-626.20] 它的这个量率就稍微差一点
[626.20-631.32] 那除了这个第三个除了这个台电以外
[631.32-636.44] 我们也在注意一些新的商机跟新的客户
[636.44-639.00] 新的商机跟新的客户
[639.00-641.88] 不过这个目前来讲
[641.88-645.40] 如果说就整个台湾的市场来讲的话
[645.40-651.36] 台电目前还是算是我们的大客户就是Key Accounts
[651.60-655.44] 那要找到像台电量这么大的
[655.44-658.52] 可能也不是那么容易
[658.52-662.36] 有时候可能看看这个有时候不一定
[662.36-665.16] 那除非我是个人觉得
[665.16-667.72] 除非说你有海外的市场
[667.72-670.80] 海外的市场这个才有比较
[670.80-673.36] 还会量才会大
[673.36-675.92] 所以相对来讲的话
[675.92-681.56] 我们在整个电力能源的这个商机的合作伙伴也是蛮正常的
[681.60-683.40] 所以我们也要注意一下
[683.40-687.48] 这个重点在提一下就是在去年
[687.48-688.76] 应该是今年
[688.76-691.08] 像东元东元在变压期的时候
[691.08-695.16] 他也是他要整个如果说刚刚跟各位报告的
[695.16-698.24] 他如果要做取得台电的认证
[698.24-700.28] 可能要花个两年到三年的时间
[700.28-701.32] 所以他就用
[701.32-702.84] 用买的
[702.84-705.16] 他买老厂进来
[705.16-709.24] 然后拿到他的整个集团成为子公司
[709.24-711.56] 那营收就会进来获利也会进来
[711.60-714.16] 所以有些
[714.16-721.08] 好像有一些厂商也是用这样子的方式去做
[721.08-726.96] 那再来绿能的部分
[726.96-729.00] 绿能的部分目前就刚刚之前
[729.00-731.32] 跟各位有稍微提到
[731.32-733.88] 目前整个绿能的部分
[733.88-736.68] 就是市况算是
[736.68-739.76] 比较低迷一点
[739.76-741.30] 应该算是低迷一点
[741.30-742.58] 低迷一点
[742.58-744.88] 没有什么大的这个
[744.88-747.18] 暗赏
[747.18-748.98] 太阳能的话
[748.98-751.02] 是可能还好一点
[751.02-753.34] 还好一点因为太阳能就
[753.34-754.10] 发电
[754.10-756.14] 然后
[756.14-758.96] 明年发电以后就卖给台电
[758.96-760.76] 那在初能的话
[760.76-764.60] 在初能的话就比较
[764.60-765.88] 更不好一点
[765.88-768.18] 因为初能他是看
[768.18-770.22] 这个消风天谷嘛
[770.22-771.26] 就是说
[771.26-773.30] 台电他有缺的时候
[773.30-774.34] 你才可以
[774.34-776.38] 他去竞标
[776.38-777.66] 然后才卖出去
[777.66-781.50] 他比较不像太阳能的受电的
[781.50-783.04] 那个特性
[783.04-785.86] 反正我病年了我就是电就一直在卖
[785.86-788.42] 所以
[788.42-790.98] 初能是有这样子的一个特性
[790.98-793.54] 所以目前我们绿能这一块的话
[793.54-794.56] 我们就是把
[794.56-797.88] 刚刚之前报告过的我们的人德
[797.88-801.22] 还有南投休息站这两个
[801.26-803.30] 休息站的太阳能把它完成
[803.30-804.84] 那应该
[804.84-808.42] 大概太阳能的话如果在今年的话大概就是
[808.42-812.52] 希望我把这个两个完成就够了算是
[812.52-814.58] 维持目前的这个
[814.58-815.86] 整个营运的
[815.86-817.64] 情况
[817.64-819.44] 那有一个
[819.44-820.98] 再来
[820.98-823.54] 就是刚刚有提到我们这个
[823.54-826.10] 子公司万全的部分
[826.10-828.66] 那在我们
[828.66-831.22] 对他投资纳入我们啊
[831.26-833.06] 乐视的子公司
[833.06-838.94] 之后呢这家万全的营造他就变成一个甲级的营造厂
[838.94-840.48] 那
[840.48-843.54] 我各位也可以看到我们重训在今年的
[843.54-844.82] 2月
[844.82-848.66] 底的时候他有拿到恒春社会宅的一个标
[848.66-850.46] 大概将近6亿
[850.46-854.30] 那随着他拿到
[854.30-856.86] 第一个他资本呢还有在
[856.86-858.66] 整个工程的时机
[858.66-860.44] 达到
[860.44-861.22] 这个甲级的
[861.26-862.54] 营造厂的
[862.54-863.56] 这个
[863.56-864.84] 条件
[864.84-868.68] 以后呢就
[868.68-869.70] 在
[869.70-872.26] 营造的部分他就他的
[872.26-874.06] 贡献就会慢慢出来
[874.06-876.10] 就会慢慢出来
[876.10-879.70] 所以我们也是期待说因为在
[879.70-881.74] 万全我们应该也投了
[881.74-883.54] 应该有两年
[883.54-884.30] 多吧
[884.30-886.60] 那出不起他的
[886.60-888.40] 贡献是还没有
[888.40-891.22] 发小那觉得慢慢
[891.26-895.10] 有一些时机的累积以后
[895.10-898.68] 这一部分我们也希望他能够对整个
[898.68-902.02] 我们乐视
[902.02-905.08] 整个所谓集团来讲的话
[905.08-907.90] 会有一些更好的一些
[907.90-908.92] 注意
[908.92-910.46] 这个部分
[910.46-912.76] 这一次是没有做
[912.76-914.04] 投影片
[914.04-918.66] 在里面我下一次的话再会再把这个部分
[918.66-920.44] 再把它
[921.26-924.58] 补进来
[924.58-925.86] 那以上
[925.86-927.14] 就是我
[927.14-930.22] 这一期对
[930.22-935.08] 做的这个法说会的这个
[935.08-936.62] 简单的一个
[936.62-937.90] 说明报告
[937.90-940.20] 那不晓得
[940.20-942.76] 各位有什么样
[942.76-944.04] 要指教的
[944.04-945.06] 或者是在
[945.06-946.60] 让我在做
[946.60-950.96] 补充的
[950.96-952.76] 非常感谢财务长
[952.76-956.84] 那线上里会先进现在进入第二阶段的QA交流
[956.84-960.18] 如果有任何问题或是想法想要跟财务长这边
[960.18-964.28] 交流的话都欢迎自行解除经营提问谢谢
[980.96-992.22] 那如果都没有提问的话我们今天乐视绿能的线上法人说明会就到这边搞一个段落
[992.22-997.08] 那再次感谢财务长那也谢谢各位投资的与会先进谢谢
[997.08-999.40] 好谢谢大家谢谢
[999.40-1000.68] 谢谢谢谢财务长
