[0.00-2.00] 各位大家好
[237.00-239.00] 可以產生一個帶動的一個作用
[239.00-241.00] 那所以當然同步
[241.00-242.00] 除了產品文化以外
[242.00-244.00] 我們也在開發通路
[244.00-246.00] 那第三點呢
[246.00-248.00] 我們今年成立研發中心
[248.00-249.00] 伴隨著研發中心成立
[249.00-252.00] 我們同時會設立品質管制實驗室
[252.00-255.00] 那這邊就對我們在未來做一些高階
[255.00-256.00] 紡織品上面來講
[256.00-259.00] 或在機能性紡織品的一個
[259.00-262.00] 物性跟機能性的一個檢測上面來講
[262.00-263.00] 可以做得更徹底
[263.00-264.00] 那這也符合
[264.00-267.00] 世界各大品牌的一個要求
[267.00-269.00] 那另外當然我們在原料上面來講
[269.00-272.00] 也希望有一些更高層次的開發
[272.00-274.00] 那符合台灣在台灣紡織業一個
[274.00-275.00] 所謂少讓多
[275.00-278.00] 去差異化產品這樣的一個趨勢
[278.00-280.00] 那第四點當然在
[280.00-281.00] Illustrata
[281.00-282.00] 我們繼續去推廣
[282.00-284.00] 我們這樣的一個自由的品牌
[284.00-285.00] 那第五點
[285.00-287.00] 當然我們今年重點
[287.00-291.00] 特別會在業務形象重點上面來講
[291.00-294.00] 特別縮字部這邊會特別強調
[294.00-297.00] 強化在歐美市場這邊品牌客戶的開發
[297.00-299.00] 那當然因為我們現在成立
[299.00-301.00] 前兩年成立形象計畫部
[301.00-304.00] 那伴隨著我們今年度研發中的成立
[304.00-307.00] 那希望在我們產品力上面的一個轉變
[307.00-308.00] 還強化
[308.00-310.00] 讓我們在歐美市場品牌客戶這邊
[310.00-312.00] 有更好的一個產品力
[312.00-314.00] 可以去做更好的開發
[314.00-316.00] 那這些大概
[316.00-318.00] 這幾年大概是我們
[318.00-320.00] 未來這幾年
[320.00-322.00] 我們的一個發展的一個重點
[324.00-327.00] 那以上就是我們的一個整體的
[327.00-330.00] 進行狀況的一個緊要說明
[330.00-332.00] 那接下來請各位如果有什麼問題的話
[332.00-334.00] 歡迎各位提出來
