[0.00-12.76] 感谢各位博士先进今天来参加
[178.74-183.34] 那我们要创造一个我们后来的投资要做能源这个事业的部分
[183.34-185.66] 最主要是你要创造一个突破口
[185.66-189.50] 那为什么会选能源这个题目好了
[189.50-192.06] 其实他一开始我们选的叫电池
[192.06-194.36] 但是电池我们再投了一两次之后
[194.36-199.98] 我们大概就知道说电池的最后走的应该不能叫电池
[199.98-202.30] 因为电池是制造业电子业的概念
[202.30-203.32] 才叫电池
[203.62-206.44] 他到最后应该是能源业的概念
[206.44-210.28] 也就是说未来的年代不管你要用什么电子产品
[210.28-212.32] 你要用AIS电动车也好
[212.32-215.90] 然后生产工具做半导体也好
[215.90-217.44] 用的都是电子
[217.44-221.28] 那生活的时宜住取包括生产这些设备的时宜
[221.28-222.30] 就是用到的都是电子
[222.30-224.36] 所以电池需求越来越大
[224.36-226.14] 那电池需求越来越大的时候
[226.14-228.96] 实际上就是能源需求越来越大
[228.96-232.80] 那能源需求越大你不可能无止境的去盖发电厂
[232.80-233.58] 所以要
[233.62-235.42] 透过不同的
[235.42-238.74] 所谓的工具去平衡这个挖电系统
[238.74-242.84] 所以那时候我在博伦的领域也盖了一个市场这样子
[242.84-246.16] 那我们在电池这一套我们是希望可以做到
[246.16-248.72] 尽量全体向多位
[248.72-250.78] 从制造业一般超级型的产品
[250.78-254.62] 一直做到从门柜到电网等级的产品都可以做到
[254.62-257.42] 那纯线上来讲我们也
[257.42-259.48] 当然第一件事电芯我们不可能做
[259.48-262.54] 我们因为电芯是一个标准化制成的产品
[262.54-263.58] 所以电芯这种产品我们也不可能做到
[263.62-268.22] 我们从电芯以后的产品设计
[268.22-270.02] 一直到安全设计
[270.02-274.38] 那一直到安装的建制基本上后面我们都能做到
[274.38-280.00] 这就是我们在整个转型的进化中我们最主要的一个核心
[280.00-282.30] 然后接下来我们
[282.30-288.70] 直接先把过去的机箱跟各位说个简单的说明一下
[288.70-291.52] 最主要就是我们放在这两个地方
[291.52-293.58] 应该说就是防御的部分
[293.62-299.26] 以来跑这几年的转型来讲过去你知道遇到形式性低谱
[299.26-302.84] 因为上网利率就是各位喜欢算式性的
[302.84-307.70] 那我们在过去2024年一直到今年2025年已经低起来
[307.70-312.06] 我们来跑整体的所有产品线含能源含
[312.06-313.84] 刚刚的资产管理还有我们这些
[313.84-318.70] 其实我们大概会保持在17到25中间的这个数字
[318.70-320.24] 那
[320.24-323.32] 这个其实就是在告诉各位我们现在在帮你们
[323.62-324.90] 做的调整
[324.90-327.72] 当然这个调整不会
[327.72-329.00] 不会一直成长
[329.00-331.82] 我们坦白讲就是还是有高低峰的状态
[331.82-332.58] 但是
[332.58-334.38] 大方向是不会变的
[334.38-337.18] 会往相对好的一个面向去做
[337.18-337.96] 因为
[337.96-341.02] 再怎么样简直是一辈子都
[341.02-342.06] 趴在地上
[342.06-343.58] 我们还是回来讲这句话
[343.58-346.14] 再怎么烂的产业他也不会一辈子都趴在地上
[346.14-347.94] 总总会上来的时候
[347.94-351.02] 只是我们没有办法跟各位说明说他到底是什么时候
[351.02-353.06] 因为这是大文献的问题
[353.06-353.58] 那
[353.62-358.74] 一旦预告前期稍微好转之后这个数字当然就会再越来越好看
[358.74-359.50] 那
[359.50-364.62] 这个产品组的优化最主要一个点其实是因为我们2024年开始
[364.62-366.42] 在储能柜
[366.42-368.72] 比如说电腐等级的储能产品
[368.72-371.28] 已经开始慢慢在做出货
[371.28-372.56] 那
[372.56-378.20] 到2020年1月开始我们自己有一个暗场的
[378.20-379.74] 建制就开始入局
[379.74-381.02] 当然到第二期
[381.02-383.58] 各位如果看到我们中道营收数字的部分
[383.62-387.46] 营收还会在就是持续有保持在相对高档
[387.46-389.50] 那这整个案子大概
[389.50-391.30] 这种工程的东西比较特别
[391.30-396.16] 它就是一个建制期大概4到6个月左右的一个建制的周期
[396.16-399.50] 那这大概是我们过去一年里的营业的状况
[399.50-404.62] 所以可以看到营收其实跟趋势来看是慢慢也在回升的状态
[404.62-409.48] 那么绿域都可以维持在一个相对不错的一个水准
[409.48-411.52] 那接下来第一个我们先谈一下我们的能源业段想做什么的
[411.52-412.54] 接下来第一个我们先谈一下我们的能源业段想做什么的
[412.54-413.58] 接下来第一个我们先谈一下我们的能源业段想做什么的
[413.62-416.44] 首先第一个
[416.44-420.78] 我们基本上是少数在台湾有完整产线的公司
[420.78-425.14] 那这完整产线是我们有一个充能贵的主要工厂
[425.14-428.98] 我们有一些消费型产品的产线在台湾
[428.98-430.78] 那当然在大陆也有
[430.78-434.10] 那如果知道现在军动化的议题
[434.10-437.42] 所以台湾产线的增长比例是比正的
[437.42-440.24] 那我们在能源这一块我们想做的一些事情
[440.24-443.32] 就是先把一些逆境的产品先把围定下来
[443.32-446.40] 包括一些消费型的定型产品我们都先把围定下来
[446.40-452.02] 因为这个东西是可以让公司有长期围定的营收跟收入
[452.02-456.12] 那当然四五月比较尴尬一点那个
[456.12-462.00] 美国关税所以在美国的客人是有稍微delay一下下
[462.00-464.82] 没有砍单但是有delay一下下
[464.82-472.00] 那五月跟四季五月是那个台币瞬间就涨了一个10%下来
[472.00-473.28] 那这部分有什么变化呢
[473.28-476.10] 我们在这个领域的这个领域方面来讲
[476.10-481.48] 我们大概是做到接近自然平衡
[481.48-485.32] 因为能源分国内跟国外两个面向
[485.32-487.36] 说国外的话一定是报美金
[487.36-490.18] 但是我们因为在台湾建制案场
[490.18-492.48] 但是在台湾建制案场这边这边是付美金
[492.48-496.06] 所以它基本上是一个自然safety的状态
[496.06-500.68] 所以在一级型产品的部分我们尽量做到
[500.68-503.24] 我们的这个领域的这个负面性的状态
[503.28-504.56] 客人不同样
[504.56-506.86] 应用类别不同样
[506.86-510.70] 然后我们很少做比较相对大型的来指
[510.70-516.60] 那最主要最新介入的一些应用是在后期的这一块
[516.60-519.66] 因为最近大家其实比较能够接受一件事情
[519.66-524.52] 因为台电特别想要一直有一个议题是台电亏缩
[524.52-525.56] 亏缩电价调整
[525.56-527.86] 尤其是在经理风格电价差
[527.86-529.64] 业间大概两块
[529.64-533.24] 上次看到的数字业间大概两块左右
[533.28-534.82] 那日间尖峰
[534.82-537.38] 应该说尖峰大概会到八九块的数字
[537.38-541.72] 这是台电中级面向希望的数字
[541.72-544.04] 那如果有这个价差比较后期呢
[544.04-545.56] 就会开始发酵
[545.56-547.88] 那我们也比较发现是
[547.88-550.94] 以2025跟2024来看
[550.94-552.74] 这三年的状况来看
[552.74-554.02] 你跟客人
[554.02-558.62] 又是这些工厂这些所谓使用者来谈比较后期这件事情
[558.62-559.90] 大家接受度是比较高
[559.90-563.24] 所以这我们在表后期目前大概有三四
[563.28-565.84] 目前正在
[565.84-567.38] 在谈
[567.38-569.68] 那这些案子都不会这么大
[569.68-570.44] 因为
[570.44-571.98] 都是建立在自力工厂的
[571.98-573.52] 居内的表后出门
[573.52-575.06] 它是用自己的
[575.06-576.84] 厂内的消防电路
[576.84-578.38] 电力工家层来做
[578.38-580.68] 但是确实发酵会从这部分
[580.68-582.22] 才会发现
[582.22-583.76] 那另外我们
[583.76-585.80] 台湾市场跟我们比较小一点点
[585.80-587.60] 所以我们其实后面这一
[587.60-591.96] 大概从今年年初开始我们就一直在找海外的市场
[591.96-592.98] 那目前在日美
[592.98-597.34] 我们目前都有案子正在
[597.34-598.62] 在调查
[598.62-600.14] 那当然走的比较快的
[600.14-602.20] 会是像是
[602.20-603.74] 因为相对近一点点
[603.74-605.52] 那案子也比较明确一点
[605.52-610.14] 那美国后周期目前都有一到两个案子正在调查
[610.14-612.70] 那他什么时候会
[612.70-614.74] 这个就比较不好看
[614.74-620.12] 但是这些案子基本上我们都有相当深度的把握
[620.12-622.94] 那现在我们就来看这个
[622.98-626.06] 那这边我稍微介绍一下我们所做的大型
[626.06-628.10] 我们的什么过程分量
[628.10-630.14] 总共是六个大型
[630.14-634.76] 那另外一种其实是我们要特别的一百多多到两百多多的重点
[634.76-637.82] 这种可以用在大型
[637.82-640.14] 也可以用在表报
[640.14-643.20] 那这个就是我们在开发给客人
[643.20-648.06] 我们跟一些台湾的重电厂合作开发给这些客人用的
[648.06-651.14] 因为这个东西用在工厂里面才装得下去
[651.14-652.42] 像上面这种东西说是用在工厂里面装的
[652.98-654.26] 就是后柜型的产品
[654.26-657.34] 像这个第二个就是后柜型的产品
[657.34-660.40] 不是每个工厂他都有空间去
[660.40-663.22] 放一个后柜不要放在那边的
[663.22-666.54] 那有些公司他们就是用比较厉害的空间
[666.54-669.36] 那像这一个的话是超通站
[669.36-673.46] 是EBOS的超通站的电池
[673.46-676.54] 那我们也有做一些比较中型一点的
[676.54-679.10] 那个也是从B3也是超通站
[679.10-682.16] 那中间这个就是我们针对一些那个
[682.16-682.94] 重电厂商的
[682.98-684.78] 帮他们设计261部电
[684.78-691.18] 那刚刚在讲新营销的开发
[691.18-696.54] 中间那个针对号语就是我们下半年会出的一个新的营销
[696.54-701.66] 那这个也是会安装基本上安装在台湾
[701.66-703.72] 很多交通号语的路口上都会有
[703.72-705.76] 这也是我们跟客户合作开发的
[705.76-711.40] 那这一款是全台制连电芯都是用台厂的
[712.98-718.10] 那台湾这边的部分我们来谈一下显示性
[718.10-720.66] 那显示性各位应该都比较理解
[720.66-722.70] 那我们谈一个比较特别的地方
[722.70-729.10] 我们过去这几年来往来来想要做一些所谓客户化的产品
[729.10-735.26] 那最大的一个开发进度就是我们开始在出车用产品
[735.26-738.32] 那一个美美的
[738.32-740.62] 可能是我不认识这台车
[740.62-742.94] 这个就是右边这一台
[742.98-746.30] 是已经开始在出货我们第一季开始交货
[746.30-748.10] 那这是车用产品的出货
[748.10-750.66] 那车用产品的这个车也不像过后12
[750.66-752.46] 花费会相对好一点点
[752.46-755.52] 但是它量不会像消费型这样子真的好
[755.52-756.80] 但是其实它是很稳定
[756.80-760.38] 为了几年一个长生命周期的这样的稳定
[760.38-765.00] 那另外我们其实真的也给拿到个人的准备来出货了
[765.00-766.54] 我们先个人化产品
[766.54-771.14] 这个不是我们把它称为个人化产品不称为消费型是这样
[771.14-772.68] 其实它就是
[772.98-774.78] 讲白一点就是电动牙刷
[774.78-776.82] 刷牙刷是类型的东西
[776.82-779.12] 它属于长生命周期
[779.12-781.68] 跟着人口数走的项目
[781.68-785.78] 比如说各位知道我听了人口数就会
[785.78-788.08] 大家现在比较喜欢买电动牙刷
[788.08-789.62] 那男生会有刷牙刷
[789.62-791.92] 那一些个人化的一些电子产品
[791.92-794.74] 那这个我们是跟一个欧洲的
[794.74-795.76] 合作的
[795.76-797.56] 那
[797.56-799.34] 第二季左右就开始出货
[799.34-802.94] 想去出货实际上不确定但是基本上还是不确定
[802.98-806.30] 这整个产品主要那这些产品的
[806.30-808.10] 都是做品牌商
[808.10-810.66] 那是做一些个人化的设计
[810.66-813.74] 所以它相对性的评论会好一点点
[813.74-817.32] 那整个显示器目前最大的一个
[817.32-819.62] 缺口就是我们当初
[819.62-825.26] 来宝过去几年2015 16年挂新柜以来一直到上市柜
[825.26-830.12] 因为我们过去在中国大陆的市场上大概有四成到整个业
[830.12-832.94] 这种疫情之后
[832.98-834.52] 中国大陆就越来越少
[834.52-836.56] 那现在中国大陆基本上是
[836.56-838.10] 是提进于零的状态
[838.10-839.90] 那因为少了一块的命运
[839.90-841.68] 那个营收果是不复回来
[841.68-843.74] 就算靠着这些相对性的产品
[843.74-846.54] 营收相对性来讲是会偏弱一点点
[846.54-848.08] 那
[848.08-851.42] 我们目前就是要透过追击这些客户的客户群
[851.42-854.74] 把中国大陆当初缺少的那一块营收慢慢补回来
[854.74-858.58] 那可能还需要个半年一年的时间它慢慢就会开始发酵
[858.58-862.42] 因为这些产品都是长生命周期的一旦开发上去之后
[862.42-863.96] 它就是一个案子叠一个案子
[863.96-864.98] 一个案子叠一个案子
[864.98-866.26] 就加上去
[866.26-868.06] 那这是属于
[868.06-870.86] 形式气体的产品
[870.86-874.96] 最后第三个我们在讲的是工业收益的产品
[874.96-876.76] 我们要做转型计划之前
[876.76-878.80] 其实我们就先内部考虑过
[878.80-880.08] 因为转型计划
[880.08-881.36] 有一时候转型没有
[881.36-883.16] 一定成功的一件事情
[883.16-884.18] 所以要转型之前
[884.18-885.72] 其实我们先做一件事
[885.72-887.50] 要先开创一个
[887.50-890.84] 钻石资金的平台
[890.84-892.12] 所以我们创造一个这个
[892.12-897.50] 我们把我们厂内的
[897.50-899.54] 算是固定支撑吧
[899.54-901.34] 去做出租去做活用
[901.34-903.90] 所以到目前为止我们大概
[903.90-906.46] 2万4千平方米大概8千多平
[906.46-910.30] 是我们下控在做出租的不动产
[910.30-911.84] 的面积
[911.84-915.42] 那这个就是一个长期稳定的收益的产品
[915.42-919.00] 用这些钱来我们才有办法确保我们的转型计划
[919.00-920.54] 它会进口的走下去
[920.54-922.08] 因为不管是电池的
[922.08-924.90] 投入也好还是储存柜的投入也好
[924.90-926.18] 后面都需要钱
[926.18-927.72] 那往往这个
[927.72-929.76] 过去转租率之后我们在
[929.76-932.32] 2024年的时候
[932.32-933.86] 我们就拖建了这个
[933.86-935.90] 旱态的储存柜案的建制
[935.90-937.18] 那
[937.18-938.98] 这案场的建制和管理服务
[938.98-941.54] 大概预计新年底可以硬体完工
[941.54-943.58] 明年一季市期上限
[943.58-945.38] 那明年开始这个案台
[945.38-947.94] 这案场就可以再回来贡献来保一个稳定的
[947.94-948.70] 维修
[948.70-950.24] 那以这个
[950.24-951.52] 以当做评估案
[951.52-952.04] 这样的一个
[952.08-955.92] 案场大概预估一年大概2到4亿的营收
[955.92-958.48] 目前台电的状况
[958.48-960.28] 那最少2亿多以上
[960.28-962.58] 多的话会有3亿的营收
[962.58-963.86] 那这个案场
[963.86-967.18] 目前大概已经建制进步
[967.18-970.26] 截至到五月底大约接近一半
[970.26-972.04] 那
[972.04-975.88] 现在后面几个月就会把后面的硬体部续把它建完
[975.88-979.72] 那大预计年底左右可以整合兵手完成
[979.72-981.52] 那明年第一季不是市集跟上限的动作
[981.52-985.88] 好那
[985.88-987.16] 后面
[987.16-989.72] 后面这是我们今天很想要的东西
[989.72-990.74] 那
[990.74-991.50] 我想
[991.50-993.04] 讲的会比较
[993.04-994.32] 快一点点因为
[994.32-997.40] Lybal毕竟也不是一家
[997.40-999.70] 刚新上市柜的公司的
[999.70-1001.48] 那我想我们把时间留给QA
[1001.48-1003.28] 不知道各位投资先进们
[1003.28-1004.82] 有没有什么问题想要问的
[1004.82-1006.36] 我们可以
[1006.36-1008.66] 直接先问一个问题这样子
[1008.66-1011.48] 那我们直接用QA来回答会比较快
[1011.52-1015.88] 不知道各位有问题吗
[1015.88-1030.46] 那
[1030.46-1031.74] 没有的话
[1031.74-1036.36] 那没有的话我们今天把说到这边为止
[1036.36-1040.96] 刚那个
[1041.52-1043.56] 我能源的部分金融
[1043.56-1044.60] 或是
[1044.60-1047.16] 就把那些要忘了
[1047.16-1048.94] 是会在金融部罩
