[0.00-10.50] 各位投資先進,歡迎大家參加有空的群組舉辦的建立的線上發表說明會
[226.20-229.20] 所以也是成成了一個
[229.20-232.20] 所以這兩個
[232.20-235.20] 那它一個字來
[235.20-238.20] 還這樣的 cambiar
[238.20-239.20] 跟整個
[239.20-243.20] 范围
[243.20-244.20] 一個字來
[244.20-245.20] 有 PC
[245.20-246.20] quotidite
[246.20-248.20] 就是一上次就是
[248.20-251.20] 在共產公司還給 dim sexy
[251.20-253.20] 就是上次是有GPS
[253.20-254.20] 那如果他有這個
[254.20-255.20] 他會說
[255.20-256.20] 它現在 ugly
[256.20-257.20] 對 planet
[257.20-258.20] famously
[258.20-259.20] çalış
[259.20-260.20] í
[260.20-261.90] 現場
[262.20-264.20] 所以這邊也是很大數字
[264.20-267.20] 看起來好像是一張字
[267.20-270.20] 算是一個很重要的東西
[274.20-276.20] 再來是技術業的部分
[276.20-279.20] 剛剛提到的就是我們
[279.20-283.20] 在Q1、Q2、Q3、Q4
[283.20-286.20] 看起來是一個練成高的電器
[286.20-288.20] 主要就是這個東西
[288.20-292.20] 這個電器其實就是有這個
[294.20-295.20] 那在部分Q1
[295.20-296.20] 其實如果把它放在這裡的話
[296.20-299.20] 應該是在1.8、1.8
[299.20-302.20] 那Q4的話是把這個
[302.20-304.20] 業外的這個
[304.20-306.20] 從業外收入有1.9
[306.20-308.20] 大部分就夠高
[308.20-310.20] 分的
[311.20-313.20] 那Q4這個排除量
[313.20-315.20] 好像有點在1.4、1.5
[315.20-317.20] 基本上就是
[317.20-318.20] 排除量在這邊
[318.20-319.20] 然後我們就把它放在
[319.20-320.20] 這個大部分
[320.20-323.20] 就是技術業的一個狀況
[323.20-324.20] 那我們收進到
[324.20-327.20] 目前也計算說在12號
[327.20-329.20] 有這個
[329.20-330.20] 對
[330.20-333.20] 有技術業的一個狀況
[335.20-337.20] 那這兩個人的這數字
[337.20-338.20] 有點小
[338.20-341.20] 基本上沒有太重大的變化
[341.20-343.20] 那現金流量表現
[343.20-344.20] 後面會不會有些說明
[344.20-346.20] 那我們先講說
[346.20-348.20] 這個現金很高的一個狀況
[348.20-349.20] 所以我們來看
[349.20-351.20] 這個現金流量現金的部分
[351.20-353.20] 在Q1是大概20.5
[353.20-355.20] 就是我們的現金流量現金
[355.20-356.20] 標上的
[356.20-358.20] 這種整個的部分
[358.20-360.20] 那因為金融資產的部分
[360.20-362.20] 主要就是像是貨幣型的資金
[362.20-364.20] 在那些任何大的物業
[364.20-365.20] 等等的
[365.20-366.20] 流量現金的
[366.20-367.20] 這些
[367.20-369.20] 在那些群組的現金
[369.20-370.20] 可以接受
[370.20-371.20] 那這個部分
[371.20-372.20] 就是20.0
[372.20-374.20] 就是20.5
[374.20-376.20] 相較20.5
[376.20-377.20] 還有15.5
[377.20-379.20] 在這個地方就是
[379.20-380.20] 那主要的來源
[380.20-382.20] 是我們在2014年的時候
[382.20-384.20] 有辦了一個建設
[384.20-386.20] 還有發行的
[386.20-388.20] 會談有什麼
[388.20-391.20] 其中有大概3.8億
[391.20-393.20] 是把科學難道的一些
[393.20-395.20] 一些掉了
[395.20-396.20] 剩下的部分
[396.20-398.20] 還有包括我們已經有的
[398.20-399.20] 一些現金
[399.20-401.20] 我們已經做了一些
[401.20-403.20] 所以這種現金
[403.20-406.20] 就可能不會是在2014
[406.20-407.20] 2014年底
[407.20-408.20] 是有比較大的
[408.20-411.20] 那再來相差稍微
[411.20-412.20] 大概就在
[412.20-416.20] 從我們大概目前在
[416.20-417.20] 2014年底
[417.20-419.20] 大概五成而已
[419.20-422.20] 這個去年有23年
[422.20-423.20] 其實大概增加了
[423.20-424.20] 大概
[424.20-426.20] 那主要增加的部分
[426.20-427.20] 是在我們台灣的
[427.20-429.20] 整個汽車的運營
[429.20-432.20] 那台灣這邊其實在
[432.20-434.20] 這兩三年來
[434.20-435.20] 本身的好處是
[435.20-436.20] 一到半
[436.20-438.20] 所以就是相應的
[438.20-440.20] 包括這個
[440.20-442.20] 包括
[442.20-443.20] 特別
[443.20-445.20] 是一個
[445.20-446.20] 在
[446.20-447.20] 本身部分的
[447.20-448.20] 總共的增加
[448.20-450.20] 經過這個報告
[450.20-452.20] 就這點是照常的
[452.20-455.20] 結果也是
[455.20-457.20] 23年
[457.20-460.20] 那總之
[460.20-461.20] 除了
[461.20-462.20] 就是大致沒有
[462.20-464.20] 相應掉以2023
[464.20-466.20] 增加大概相近3%
[466.20-468.20] 那同學也會
[468.20-469.20] 換成增加的
[469.20-470.20] 換取
[470.20-471.20] 那主要是
[471.20-473.20] 就是在
[473.20-474.20] 這個
[474.20-475.20] 這個包括
[475.20-476.20] 先進增加的
[476.20-477.20] 自己的
[477.20-478.20] 那還有就是
[478.20-480.20] 240本身的這些運營
[480.20-482.20] 被利用的這些粉的
[482.20-484.20] 這些都可以獲利的
[484.20-485.20] 那水平
[485.20-488.20] 就有情況來說
[488.20-490.20] 那在限定流量的
[490.20-491.20] 重點
[491.20-492.20] 在這個比較大一點的
[492.20-493.20] 我們剛剛在
[493.20-495.20] 許得岸談銷成本
[495.20-497.20] 這個部分
[497.20-498.20] 其實我剛剛
[498.20-499.20] 就是
[499.20-500.20] 比較
[500.20-501.20] 一些
[501.20-502.20] 限定
[502.20-503.20] 先去做一些
[503.20-504.20] 產品的
[504.20-505.20] 這個運用
[505.20-507.20] 那基本上大部分就是
[507.20-508.20] 在
[508.20-509.20] 這個
[509.20-510.20] 這樣
[510.20-512.20] 就像這樣子
[512.20-514.20] 那在這個
[514.20-515.20] 這個
[515.20-516.20] 這個
[516.20-517.20] 資本支出的部分
[517.20-518.20] 24.7
[518.20-519.20] 大概1.4
[519.20-520.20] 過去
[520.20-521.20] 就是說過去的
[521.20-522.20] 稍微
[522.20-523.20] 一些
[523.20-524.20] 不過就是剛剛提到
[524.20-525.20] 那這個
[525.20-526.20] 我們在這個
[526.20-527.20] 這個
[527.20-528.20] 工廠
[528.20-529.20] 然後汽車的
[529.20-530.20] 這個
[530.20-531.20] 工廠這邊
[531.20-532.20] 這兩三年的成長
[532.20-533.20] 很不大
[533.20-535.20] 所以其實我們目前在
[535.20-536.20] 就現在這個時候
[536.20-537.20] 其實
[537.20-538.20] 這個
[538.20-539.20] 這個場區的
[539.20-540.20] 運用關係
[540.20-541.20] 幾乎是沒有了
[541.20-542.20] 那所以
[542.20-543.20] 我們會在
[543.20-544.20] 今年開始
[544.20-545.20] 陸續會有一些
[545.20-546.20] 這個
[546.20-547.20] 擴廠的
[547.20-548.20] 計畫
[548.20-549.20] 那除其
[549.20-550.20] 這些用
[550.20-551.20] 的方式
[551.20-552.20] 然後去增加一個新的
[552.20-553.20] 然後
[553.20-554.20] 後續
[554.20-555.20] 等於說
[555.20-556.20] 再去看
[556.20-557.20] 適合
[557.20-558.20] 所以在
[558.20-559.20] 目前的預估的話
[559.20-560.20] 所以
[560.20-561.20] 所以在
[561.20-562.20] 目前的預估的話
[562.20-563.20] 所以
[563.20-564.20] 所以
[564.20-565.20] 所以
[565.20-566.20] 所以
[566.20-567.20] 基本支出的
[567.20-568.20] 基本支出的
[568.20-569.20] 基本支出的
[569.20-570.20] 還是會有些
[570.20-571.20] 感燥
[571.20-572.20] 還有一些路線
[572.20-573.20] 相關的
[573.20-574.20] 達到
[574.20-575.20] 達到
[575.20-576.20] 更實用的
[576.20-577.20] 另外也是
[577.20-578.20] 對
[578.20-579.20] 所以
[579.20-580.20] 那就是
[580.20-581.20] 這樣子
[581.20-582.20] 那就是
[582.20-583.20] 那就是
[583.20-584.20] 這個
[584.20-586.20] 這幾天來說
[586.20-587.20] 我們的
[587.20-588.28] 成品的現金
[588.28-589.20] 因為
[589.20-590.20] 當然
[590.20-592.20] 在現金的
[592.20-593.20] 在現金的
[593.20-594.20] 時針和
[594.20-599.20] 在
[599.20-600.20] 大概
[600.20-601.20] 6.6億
[601.20-602.20] 那
[602.20-603.20] 我們也把
[603.20-604.20] 請
[604.20-605.20] 請
[605.20-606.20] 請
[606.20-607.20] 請
[607.20-608.20] 請
[608.20-609.20] 請
[609.20-610.20] 請
[610.20-611.20] 請
[611.20-612.20] 請
[612.20-613.20] 請
[613.20-620.20] 有限度包括大致24.4%
[620.20-623.20] 後續會提到的
[623.20-624.20] 這邊
[628.20-632.20] 我們今年的ETS其實調整到
[632.20-635.20] 一定大致來說是特別調整的
[635.20-638.20] 所以部分第一個主要的原因
[638.20-640.20] 就是比較比較有效的後續
[640.20-644.20] 會有一些要過場的一些
[644.20-647.20] 先做一些reserve
[647.20-651.20] 不管是說先在這個出品的
[651.20-654.20] 到後續是會
[654.20-657.20] 適合那個場地
[657.20-659.20] 做動作
[659.20-661.20] 會稍微有些
[661.20-664.20] 部分進行做改變
[664.20-666.20] 那第二個部分也不說
[666.20-667.20] 雖然EBIT是看廣告
[667.20-670.20] 但是像我們剛才提到的
[670.20-672.20] 它是一個很高的
[672.20-674.20] 它也是一個非限定的
[674.20-676.20] 市場有這樣子的
[676.20-677.20] 像我們剛才說的
[677.20-678.20] 也只是有點高
[678.20-679.20] 但是沒有什麼
[679.20-681.20] 真正導演不下
[681.20-682.20] 今年的
[682.20-683.20] 大量的
[683.20-684.20] 通常
[684.20-685.20] 都會
[685.20-687.20] 工具容易吃超過
[689.20-691.20] 這個是大概跟大家說
[691.20-692.20] 我們現在做的
[694.20-696.20] 然後再來是有關產物的
[696.20-698.20] 我們目前在20年
[698.20-699.20] 我們現在有
[700.20-701.20] 在
[701.20-702.20] 到
[702.20-704.20] 低到23.3
[704.20-706.20] 相較於過去的
[706.20-708.20] 是一個
[708.20-709.20] 在我們
[709.20-710.20] 就這樣做
[710.20-711.20] 然後
[711.20-714.20] 然後再
[714.20-715.20] 這個
[715.20-717.20] 做一些這個包裝
[717.20-718.20] 限定當自己
[718.20-720.20] 就把這個
[720.20-722.20] 其中一部分
[722.20-723.20] 先把有些
[723.20-724.20] 做
[724.20-725.20] 清理好
[725.20-726.20] 所以就是
[726.20-727.20] 不再
[727.20-728.20] 有
[728.20-729.20] 不去
[730.20-731.20] 就是
[731.20-732.20] 在
[732.20-733.20] 這個
[733.20-734.20] 流動資產
[734.20-735.20] 這個情況下
[735.20-736.20] 所以我們在
[736.20-737.20] 我們
[737.20-738.20] 我希望
[738.20-739.20] 我們再
[739.20-740.20] 一個
[740.20-741.20] 這樣
[741.20-743.20] 那在這個
[743.20-744.20] 以前
[744.20-745.20] 爆床
[745.20-746.20] 及著
[746.20-747.20] 這個
[747.20-748.20] 在
[748.20-750.20] 他要去
[750.20-751.20] 是
[751.20-752.20] 不自由
[752.20-753.20] 上升
[753.20-754.20] 你說剛有
[754.20-755.20] 24年
[755.20-756.20] 的這些
[756.20-757.20] 非營業
[757.20-758.20] 相關的
[758.20-759.20] 資金相對
[759.20-760.20] 的影響
[760.20-761.20] 那你怎麼把這個部分
[761.20-762.20] 完全的
[762.20-763.20] 所以是
[763.20-764.20] 你
[764.20-765.20] 基本上是
[765.20-766.20] 跟二
[766.20-767.20] 差不多是一個
[767.20-768.20] 這個
[768.20-769.20] 這個
[769.20-770.20] 是才會給
[770.20-773.20] 那接著是
[773.20-774.20] 這個
[774.20-775.20] 這個
[775.20-776.20] 收的一個
[776.20-777.20] 檢查
[777.20-778.20] 這邊可以看到我們
[778.20-779.20] 兩個
[779.20-780.20] 這個
[780.20-781.20] 一些
[781.20-783.20] 那何記
[783.20-784.20] 也不是
[784.20-785.20] 其中
[785.20-786.20] 表達
[786.20-787.20] 這個
[787.20-788.20] 方式
[788.20-789.20] 在
[789.20-790.20] 這個
[790.20-791.20] 那相較於
[791.20-792.20] 二零二三
[792.20-793.20] 大概
[793.20-794.20] 一點
[794.20-795.20] 四
[795.20-796.20] 五
[796.20-797.20] 大小
[797.20-798.20] 這樣會
[798.20-799.20] 這樣
[799.20-800.20] 現場
[800.20-801.20] 一
[801.20-802.20] 點
[802.20-803.20] 兩千五百萬
[803.20-804.20] 所以
[804.20-805.20] 這樣
[805.20-806.20] 這樣
[806.20-807.20] 四點
[807.20-808.20] 四點
[808.20-809.20] 四點
[809.20-810.20] 四點
[810.20-811.20] 四點
[811.20-812.20] 四點
[812.20-813.20] 四點
[813.20-814.20] 四點
[814.20-815.20] 四點
[815.20-816.20] 四點
[816.20-817.20] 四點
[817.20-818.20] 四點
[818.20-819.20] 四點
[819.20-820.20] 四點
[820.20-821.20] 四點
[821.20-822.20] 四點
[822.20-823.20] 四點
[823.20-824.20] 四點
[824.20-827.20] 四點
[827.20-828.20] zor
[828.20-829.20] cái
[829.20-830.20] lly
[830.20-831.20] k
[831.20-832.20] 納
[832.20-833.20] intellectual
[833.20-838.80] 大
[838.80-841.20] 皮
[841.20-843.20] 腮
[843.20-844.20] 耳
[844.20-845.20] 白
[845.20-846.20] 麥
[850.20-868.80] 这边是正常的数字
[868.80-869.76] 通常是下载
[869.76-880.76] 每一期的点点就在上
[880.76-883.00] 那个上面也没有
[883.00-885.36] 下载的时候
[885.36-887.02] 现在看到这个也没有
[887.02-888.84] 以前都有
[888.84-890.66] 也没有
[890.66-897.78] 那就是我们从
[897.78-899.74] 现实中央趋势来看
[899.74-901.18] 这种现实来说的话
[901.18-903.76] 基本上我们这个最高的
[903.76-906.22] 是在这个安全带路上
[906.22-907.36] 就是上面这条线
[907.36-909.58] 这是记录片
[909.58-911.46] 基本上我们在
[911.46-914.60] 这一两年来说
[914.60-916.06] 都是维持在较高的
[916.06-919.26] 那我们现在主要安全带生态
[919.26-921.94] 一直在大陆的
[921.94-923.50] 基层里面
[923.50-925.86] 也就有过来的困难
[925.86-926.98] 那经常都是
[926.98-929.10] 过来是百灾
[929.10-929.32] 是
[929.74-931.10] 基本上我们是维持一个
[931.10-933.70] 还相对的高度
[933.70-935.62] 那再来就是
[935.62-937.86] 中间蓝色的部分是我们
[937.86-938.82] 最近的部分
[938.82-941.62] 这个部分是在
[941.62-942.80] 实际上
[942.80-943.50] 那你可以看到
[943.50-945.84] 其实在最近这一年中
[945.84-946.88] 其实在
[946.88-948.18] 2014年
[948.18-949.58] 在上市的时候
[949.58-952.68] 就是你上了很多
[952.68-954.54] 那这部分主要是在
[954.54-956.86] 包括在
[956.86-957.98] 真的
[957.98-959.58] 有没有使用到一些
[959.58-960.58] 上来
[960.58-961.70] 那所以这也是我刚刚
[961.70-963.06] 要说的
[963.06-964.18] 现在都想
[964.18-966.82] 这个是
[966.82-967.58] 线
[967.58-969.90] 所以
[969.90-972.38] 这个点在
[972.38-973.06] 的气囊
[973.06-975.58] 这个
[975.58-977.50] 线
[977.50-980.10] 就是大概
[980.10-982.30] 那其他在这个
[982.30-984.50] 线的部分是
[984.50-988.54] 他也像发一些疫症相关的
[989.58-992.14] 一些然后一些散热
[992.14-996.74] 目前
[996.74-997.78] 发现是
[997.78-998.80] 大概在
[998.80-999.82] 1800万
[999.82-1005.96] 这个整体内
[1005.96-1008.02] 是可以看到
[1008.02-1010.06] 红色跟关系
[1010.06-1011.60] 人带部分
[1011.60-1012.62] 目前在
[1012.62-1014.42] 是
[1014.42-1015.18] 在
[1015.18-1019.02] 那这个安全
[1019.02-1020.30] 气囊的部分
[1020.30-1022.34] 是
[1022.34-1024.14] 那跟气囊刚才在
[1024.14-1025.94] 就是在
[1025.94-1027.22] 接近我的话
[1027.22-1027.98] 但是我刚刚
[1027.98-1029.78] 因为我们二次
[1029.78-1030.54] 更加了
[1030.54-1031.06] 然后铭解的
[1031.06-1034.12] 加了
[1034.12-1037.70] 安全气囊
[1037.70-1038.98] 其他上面就是
[1038.98-1040.78] 要想
[1040.78-1042.82] 认识
[1042.82-1044.62] 这样
[1044.62-1046.16] 也是
[1046.16-1048.72] 这样
[1048.72-1053.84] Rosie
[1053.84-1054.92] 您 forth
[1054.92-1055.36] 其实
[1055.36-1055.54] 其实
[1055.54-1077.32] 这�
[1077.32-1078.08] tief
[1078.08-1078.42] 北
[1078.42-1078.62] 西
[1078.62-1078.66] retained
[1078.66-1081.42] 也都是到外面的会员
[1081.42-1084.06] 会有这些事物的展现
[1084.06-1086.22] 做一个增加
[1086.22-1087.90] 同时也会有些人就
[1087.90-1092.06] 然后所以这个动态
[1092.06-1095.50] 汽车的命案是一个房屋增加的一个变化
[1095.50-1097.34] 现在这边的话
[1097.34-1098.94] 基本上就是可能就比较
[1098.94-1102.14] 比较慢的下滑
[1102.14-1104.78] 然后汽车的服务应该是会增加的
[1104.78-1110.94] 这个进口线
[1110.94-1112.82] 那再来说一下我们的散热
[1112.82-1114.50] 散热我们刚刚提到的
[1114.50-1119.10] 是在12月底下在放
[1119.10-1120.74] 然后出去有三次
[1120.74-1123.46] 而且这个散热下降的情形
[1123.46-1127.06] 是在4月份上天开始
[1127.06-1129.06] 做一些量
[1129.06-1131.98] 这部分进口路线的收大一点
[1131.98-1134.78] 不是太快就有了
[1134.78-1136.58] 那基本上也说
[1136.58-1138.30] 用这种网站的功能
[1138.30-1140.54] 去做一个增加
[1140.54-1141.90] 那因为这个地方也
[1141.90-1144.42] 相当的超稳
[1144.42-1145.30] 因为这个部分
[1145.30-1147.94] 主要在表现高能电这个
[1147.94-1151.26] 那在美国来说
[1151.26-1152.58] 问题是比较激烈
[1152.58-1154.46] 所以我们现在说的部分
[1154.46-1156.38] 成长应该是这样的线
[1156.38-1159.34] 然后当然是在新变化的散热
[1159.34-1161.34] 整理两个好点的线
[1161.34-1163.10] 然后除了车种
[1163.10-1164.50] 这种其他的一个项目
[1164.50-1166.98] 在过后
[1166.98-1168.28] 之后去保安
[1168.28-1170.98] 中国在
[1170.98-1172.00] 这是
[1172.00-1173.46] 那到去
[1173.46-1174.86] 我
[1174.86-1176.46] 那是前期的一些审美
[1176.46-1178.82] 那里的保安
[1178.82-1180.82] 有些
[1181.42-1182.30] 吉斯
[1182.30-1184.30] 费散热
[1184.30-1185.30] 是取材
[1186.78-1188.62] 进口
[1188.62-1189.12] 还有就是
[1189.12-1189.66] 接着刷
[1189.66-1192.38] 是安排暗
[1193.38-1194.34] aments
[1194.50-1199.88] 所以这部分后面会有一些比较感觉的小时的回转
[1199.88-1206.28] 最后面是关于波澜的草民
[1206.28-1214.72] 波澜草民目前来说平均额大概是3.1亿左右
[1214.72-1220.86] 这个产业基本上是我们在20年代的产业
[1220.86-1224.36] 那个时候的这些产业大概是
[1224.36-1230.70] 后续就是说我们会在上个年年底
[1230.70-1233.62] 进行有新的这个
[1233.62-1236.54] 会加上
[1236.54-1240.32] 那目前的建议是应该一设
[1240.32-1245.70] 那陆续再做一些装甲变成
[1245.70-1249.28] 那目前看来会在2013年起
[1249.28-1250.64] 2014年起开始
[1250.64-1252.36] 会有部分
[1252.36-1254.64] 新产品的
[1254.64-1255.76] 不要等
[1255.76-1258.72] 不过那但是对整体波澜草这个
[1258.72-1260.44] 这样叫明显
[1260.44-1263.44] 日益的反省
[1263.44-1265.30] 那这个部分那不然还得
[1265.30-1266.88] 目前进入去的
[1266.88-1273.20] 那
[1273.20-1275.36] 今年会
[1275.36-1278.80] 下半年会
[1278.80-1280.10] 后面的
[1280.10-1280.64] 第二条
[1280.64-1292.10] 再也没有了
[1292.10-1296.86] 那这一点
[1296.86-1300.52] 既然这个ystem
[1300.52-1302.98] 再后去
[1302.98-1305.34] 原因是
[1305.34-1307.78] 对不修改新的
[1307.78-1308.48] 啊
[1308.48-1309.64] 当然是的
[1309.64-1310.52] 有什么不同 lógico
[1310.64-1332.64] 在20年我開始就說出一個這個條件去投入以後
[1332.64-1336.64] 那其實目標就是希望能夠讓新的動物產地
[1336.64-1340.64] 如果在前幾年的時候我們在這個體制能夠
[1340.64-1343.64] 不像包含這個設備的這個
[1343.64-1345.64] 可以互相保護性
[1345.64-1348.64] 有這些這個戰略的
[1348.64-1352.64] 所以其實是當時的條件做一個
[1352.64-1356.64] 那基本上經過這幾年的這個運行
[1356.64-1359.64] 在當中基本上也有一個操作
[1359.64-1362.64] 所以我們其實在去年開始
[1362.64-1364.64] 20年開始就有公布決定在
[1364.64-1366.64] 去年跟動物市場
[1366.64-1368.64] 爭取的市場的能力量
[1368.64-1370.64] 然後在波蘭
[1370.64-1372.64] 再來在波蘭這個
[1372.64-1375.64] 也是爭取的
[1375.64-1378.64] 當然就是在波蘭
[1378.64-1381.64] 因為講到最前頭就是說
[1381.64-1383.64] 我們在波蘭的生態
[1383.64-1386.64] 然後一些都需要在波蘭
[1386.64-1390.64] 在歐洲那邊的市場是在波蘭的
[1390.64-1391.64] 以往過往來說
[1391.64-1394.64] 其實是
[1394.64-1395.64] 其實是
[1395.64-1396.64] 呃
[1396.64-1398.64] 外銷的
[1398.64-1399.64] 就是
[1399.64-1401.64] 用一個市場的擅長
[1401.64-1402.64] 我們要來去
[1402.64-1404.64] 歐洲
[1404.64-1406.64] 網路
[1406.64-1408.64] 歐洲
[1408.64-1410.64] 的
[1410.64-1412.64] 所以在過往的
[1412.64-1416.64] 所以其實都在波蘭的市場
[1416.64-1418.64] 都需要在歐洲市場
[1418.64-1420.64] 更多的
[1420.64-1421.64] 但是雖然
[1421.64-1425.64] 所以我們也是
[1425.64-1426.64] 呃
[1433.64-1434.64] 呃
[1434.64-1435.64] 現在是在那邊
[1435.64-1436.64] 我們是在波蘭
[1436.64-1437.64] 更多的這個
[1437.64-1438.64] 這個
[1438.64-1439.64] 那目前看起來是也有
[1439.64-1440.64] 進展
[1440.64-1441.64] 那也會在
[1441.64-1442.64] 那希望
[1442.64-1443.64] 也有這樣的一個方式
[1443.64-1445.64] 去指導我們這個
[1445.64-1446.64] 多一步新技的一個
[1446.64-1447.64] 運動
[1447.64-1448.64] 啊
[1448.64-1449.64] 進化一個讓我們
[1449.64-1450.64] 到水平
[1450.64-1451.64] 就是
[1451.64-1452.64] 所以說
[1452.64-1453.64] 所以除了剛提到的
[1453.64-1454.64] 這個
[1454.64-1456.64] 進展的產業之外
[1456.64-1457.64] 那我們
[1457.64-1458.64] 目前是
[1458.64-1459.64] 在
[1459.64-1460.64] 額
[1460.64-1461.64] 額
[1461.64-1463.64] 去增加更多的產品
[1463.64-1466.64] 那波蘭的行業是說
[1466.64-1468.64] 剩的空間
[1468.64-1469.64] 還很大
[1469.64-1471.64] 尤其是對於增加那個
[1471.64-1473.64] 後續的這個
[1473.64-1474.64] 業餘的
[1474.64-1475.64] 場面
[1475.64-1476.64] 那來說是完美的
[1476.64-1479.64] 那後面還是要談說
[1479.64-1480.64] 說
[1480.64-1483.64] 這些生意上的一些
[1483.64-1484.64] 戰爭合作
[1484.64-1486.64] 那進化的導致這個
[1486.64-1487.64] 跟
[1487.64-1488.64] 繼續
[1488.64-1489.64] 擴散
[1489.64-1491.64] 所以這大概是
[1491.64-1492.64] 波蘭長的
[1492.64-1493.64] 這個
[1493.64-1494.64] 情形
[1494.64-1495.64] 那最後
[1495.64-1496.64] 所以這就是
[1496.64-1497.64] 這樣是大概我
[1497.64-1498.64] 簡單的更新
[1498.64-1499.64] 這樣說
[1499.64-1500.64] 在24年
[1500.64-1501.64] 的
[1501.64-1502.64] 其他的一個狀況
[1502.64-1503.64] 還有就是
[1503.64-1504.64] 目前對於
[1504.64-1505.64] 那
[1505.64-1507.64] 所以那時間就給大家
[1507.64-1508.64] 一些
[1508.64-1509.64] 這個
[1509.64-1510.64] 問
[1510.64-1511.64] 那請問一下波蘭
[1511.64-1512.64] 因為之前
[1512.64-1514.64] 就是現在蠻
[1514.64-1515.64] 就是現在是
[1515.64-1516.64] 兩季是之前
[1516.64-1518.64] 設的產線蠻多的
[1518.64-1519.64] 可是
[1519.64-1520.64] 那去年咱是推選
[1520.64-1521.64] 那因為你有比較多
[1521.64-1522.64] 就可能
[1522.64-1523.64] 跟我們只有幾道工具
[1523.64-1524.64] 會成本比較多
[1524.64-1525.64] 那
[1525.64-1526.64] 那現階段
[1526.64-1528.64] 你在家三條產線的話
[1528.64-1530.64] 你在當地生產的話
[1530.64-1531.64] 你覺得
[1531.64-1532.64] 要怎麼樣去克服
[1532.64-1533.64] 這些東西
[1533.64-1534.64] 因為你
[1534.64-1535.64] 你上面就是
[1535.64-1536.64] 一直在增加產線
[1536.64-1538.64] 那成本的生產
[1538.64-1539.64] 還是一樣的
[1539.64-1540.64] OK
[1540.64-1541.64] 可以
[1541.64-1542.64] 第一個
[1542.64-1543.64] 我們先講現在的
[1543.64-1544.64] 這個年齡
[1544.64-1545.64] 其實沒有吧
[1545.64-1546.64] 我們當初那種
[1546.64-1547.64] 表現蠻窄的話
[1547.64-1548.64] 應該是在三年多
[1548.64-1549.64] 如果真的蠻窄
[1549.64-1550.64] 就很窄
[1550.64-1551.64] 哇
[1551.64-1552.64] 好像覺得
[1552.64-1553.64] 這個期間
[1553.64-1554.64] 對
[1554.64-1555.64] 對
[1555.64-1556.64] 那再來就是說
[1556.64-1557.64] 我們去
[1557.64-1558.64] 增加產線
[1558.64-1559.64] 這件事情
[1559.64-1560.64] 其實因為
[1560.64-1561.64] 我們在波蘭
