[0.00-16.64] 各位貴賓午安
[501.38-505.74] 所以當你的量增加那個量成以價你增加
[505.74-507.28] 大概就是會成長的
[507.58-509.12] 幾%而已
[509.12-510.40] 那這
[510.40-514.74] 應該是說也不是投資大眾或者是說那個公司想要看到的
[514.74-516.80] 我們就說公司能夠比較大幅的成長
[516.80-520.90] 所以我們這邊所定的策略就是從台灣要國際化
[520.90-524.48] 從學名藥要走到比學名藥還要再更高階
[524.48-527.04] 那這樣子才會有更大的發展機會
[527.04-529.86] 所以我們這邊給我們自己的那個
[529.86-533.94] 挑戰就是說我們要從台灣到國際
[533.94-537.02] 要從那個學名藥到Better than Genetics
[537.02-537.54] BTE
[537.54-538.56] BG
[538.56-540.62] 那這是剛剛有提到的
[540.62-541.90] 那個生達底下
[541.90-543.42] 包括生達的三家
[543.42-545.22] 那個公司生達
[545.22-550.60] 去年是4.93生態是8.82生產是8.86
[550.60-553.42] 那生產當然那個COVID事實上是
[553.42-555.98] 到那個最高峰啦去年因為有
[555.98-557.26] 有那個
[557.26-558.54] 雲科的
[558.54-559.56] 膠囊廠
[559.56-563.90] 開始投入然後那個因為它畢竟還是屬於TFDA
[563.90-567.50] 所認定它是屬於那個原料
[567.54-571.64] 的這一塊所以它需要的時間就比較久所以它的固定資產
[571.64-574.96] 它的營運費用都會比較增加所以它這邊就
[574.96-578.04] 沒有像以前的獲利那麼高不過
[578.04-584.18] 那個也算是不錯啦就那個生態跟生產都有那個八塊的EPS
[585.46-591.60] 那這是我們目前比較大的focus啊大概就是在台灣在那個大陸在日本
[591.86-592.38] 這邊
[592.38-597.50] 那台灣的話我們今年會有那個四個品項上市那最近也是
[597.54-598.56] 因為有那個
[598.82-602.66] TAF的關係嘛就是有那個關稅所以原先
[602.66-607.26] 那個健保署有提到說那個對於台灣的學名藥廠
[607.52-611.10] 如果你有那個前兩家上市的如果你是
[611.36-614.44] 有挑戰專利的如果你是有用
[614.70-617.00] 台灣的原料藥
[617.50-619.56] 原料藥廠的原料藥的時候
[619.82-622.38] 他都會有比較好的那個
[622.62-623.14] 鼓勵
[623.40-624.16] 不過
[624.42-626.46] 雖然說他是一月份有
[626.98-627.50] 有
[627.80-628.30] 提出來
[628.82-632.14] 然後但是到現在還沒有公告所以
[632.40-636.76] 這些優惠還沒有實施但是以目前的關稅來講
[637.02-640.60] 可能我們看得到的大概就是不會提出來的
[640.86-641.36] 所以這個
[641.62-642.38] 優惠
[642.64-644.18] 那個大概對於學名藥廠
[644.70-645.72] 不會存在
[645.98-648.28] 這個可能也是
[648.54-649.56] 一樣為了
[649.82-653.66] 為了不要美國對我們那個關稅課太重課太嚴重
[653.90-655.18] 所以我們這邊雖然說
[655.96-656.46] 不是很願意
[656.72-659.28] 但是要接受說那個這個優惠是
[659.54-660.56] 不會存在的
[661.06-662.34] 所以我們這邊預計
[662.60-665.42] 能夠上市的其中有一個是那個P4
[665.68-667.72] 就是Paragraph 4就是挑戰專利的
[667.98-670.02] 那他也可以有一年的獨脈期
[670.80-672.58] 跟那個高血壓
[672.84-673.86] 糖尿病事實上是
[674.12-674.64] 那個
[674.90-675.66] 未來
[675.92-678.98] 能夠有專利過期那個最多的
[679.50-680.52] 疾病
[680.78-682.32] 那個糖尿病的
[682.58-683.86] 原廠的專利期
[684.36-685.64] 從2025年今年一直到2030年來
[685.64-686.42] 從2025年今年一直到2030年來
[686.68-688.22] 大概每年都會有那個專利期過
[688.46-689.74] 所以我們這邊大概每年也都
[690.26-691.02] 產品出來
[691.80-693.84] 這個優惠他影響會是什麼樣子
[694.86-697.94] 那個我們到時候再看不過以今年我們所預估
[698.20-700.50] 本來是那個營收
[700.76-702.30] 比如說可以成長到這麼高的
[702.54-704.08] 因為有這個
[704.60-705.88] 那個沒有這個優惠
[706.64-707.16] 不會
[707.92-709.46] 不會像我們想像的那麼高的啦
[710.48-711.00] 那
[711.26-712.78] 再來就是那個大陸這一塊
[713.04-716.12] 大陸畢竟要他是那個時間要很久
[716.42-717.96] 所以從開發一直到後面的
[718.22-719.24] 能夠上市
[719.50-720.78] 三年啊四年有時候跑不掉
[721.02-721.80] 所以大陸這邊
[722.06-723.08] 那個之前是
[723.34-725.12] COVID那三年有慢下來
[725.38-726.40] 也不是慢下來
[726.92-727.94] 就事實上是停了啦
[728.20-729.48] 那時候再陸陸續續的話
[729.74-730.24] 所以我們這邊
[730.76-734.60] 這一年內我們領證有那個有多了
[735.10-736.38] 所以這個算起來還不錯
[736.64-737.66] 其中兩項應該
[737.92-738.94] 營業額是可以幫得上嘛
[739.20-741.50] 其中一個糖尿病那一塊那個可能
[742.02-743.30] 就手手而已啦
[743.56-744.58] 不會增加太多
[744.84-745.86] 然後我們這邊計轉
[745.86-748.42] 因為之前在COVID之前我們是用計轉的方式
[748.68-752.00] 那時候大陸的技術不是說那麼好所以現在可以
[752.52-754.06] 計轉跟他收計
[754.30-755.58] 計轉的費用不過
[755.84-757.64] 他們也算是很快啦
[758.66-761.22] 那個電子啊然後現在有的比
[761.74-765.32] 比美國的都還都還厲害的我說他的那個電動車
[765.58-767.62] 比那個Tesla
[767.88-769.16] 那個麥還要更多
[769.42-772.48] 所以他大陸的技術也是算算快不過我們這邊
[772.74-774.02] 也不差啦我們還是
[774.28-775.82] 有像那個可以
[776.12-778.42] 去去申請也可以去領證
[778.68-781.50] 所以這是大陸的這一塊
[782.00-784.56] 那接下來是日本我們這邊出貨
[784.82-786.10] 大概就跨入第
[786.62-787.38] 跨到第六年了
[787.64-788.66] 大陸他大概就是
[788.92-790.20] 日本他大概就是說
[790.46-791.48] 當你領證以後你要
[791.74-795.82] Guarantee你要保證說你五年之內不能缺貨所以這邊
[796.08-799.92] 那個所約又在續約了所以我們這邊還是會陸續去出貨啦
[800.18-801.20] 只是說這是
[801.46-805.82] 那個有時候時間過得蠻快的五年現在就那個從那時候講講講他已經講過了
[806.12-807.40] 五年了說我們日本出貨
[807.66-808.68] 那個出兩項
[808.94-811.74] 那另外有簽約進行的是兩項然後在
[812.00-813.02] 在眼中意思就是說
[813.80-815.08] 那個你要先Propose
[815.84-821.98] 那你是要有些數字給人家看不然他說好這個不錯啊但是啊我怎麼知道說你做得出來做不出來
[822.24-822.76] 這邊要有一些
[823.02-823.78] 技術的文件
[824.80-829.92] 有去做Formulation有去做那個Pilot然後數字跟他講其實差不多啦做個第一就好
[830.18-830.70] 所以這是
[830.94-835.82] 那個在眼中的意義在這裡另外一個代理訊號那個時間會更久所以
[836.12-838.68] 這個代理訊號大概講三年所以現在還是
[839.18-839.70] On going
[839.96-840.46] 其實
[840.72-842.78] 台灣對於訊號他還是用
[843.02-849.18] 他不是說你在哪一個國家在美國上市在日本上市他就在你上市他是用審查訊號的方式去看
[849.42-852.76] 所以有些在國外上市的是在台灣還是不能上市
[853.26-854.54] 因為他審查都是
[854.80-855.58] 他是Independent
[855.82-856.60] 他是獨立
[857.10-859.66] 不會因為說美國上市而會讓你上市
[859.92-860.44] 所以這個
[860.70-864.02] 這三個地方我們那個這幾年來
[864.28-865.56] 比較重大的那個
[865.86-866.62] 這個
[866.88-868.94] 我們這邊主要的還是在這裡就是說
[869.18-870.46] 第一個要怎麼擴大
[870.72-871.50] 在東南
[872.00-872.52] 經
[873.02-873.54] 我們的
[874.06-876.62] 在大概20幾年
[877.64-879.18] 從那個越南
[879.42-879.94] 到
[880.20-880.70] 那個
[880.96-885.32] 我們今年會在泰國在成立子公司在推廣東南亞
[885.58-888.64] 那其他當然就是還是在日本啊在大陸這邊
[888.90-890.70] 那在就是那個授權的
[891.20-895.56] 就其實這個大概都差不多在做那個國際化的時候大概就是做這些事情
[895.86-900.22] 那日本的話我們會看得到就是說日本他這邊在做CDMO是會
[900.72-905.84] 比較有那個機會在CDMO就是說他委託你研發然後他委託你生產
[906.10-908.66] 但是最後面銷售是由他那邊負責的畢竟他是在地
[908.92-915.32] 那我們這邊沒有銷售團隊的話那個銷售只能由備方來做但是我們這邊可以賺得到一個是研發的錢另外一個是
[915.58-916.08] 製造
[916.34-916.86] 的錢
[917.10-918.90] 所以這叫做CDMO
[919.16-921.20] 那日本是我們看到說那個
[922.48-924.78] 那個也是一樣要控制要價所以
[925.04-925.82] 日本政府
[926.12-927.14] 比較會強
[927.66-928.68] 制的要求
[929.18-931.24] 那個學名藥廠當你原廠
[931.50-933.28] 過期了以後你要趕快上來
[934.56-938.40] 量要在很短的時間裡面要佔到80%有時候以前
[938.66-940.96] 原廠他是那個100顆的到後來
[941.22-943.26] 那個學名藥廠就是要賣80顆
[943.52-946.08] 所以他那個產能就需要那另外他能夠
[946.34-950.18] 研發品項也就會比較多出來那這是我們的機會因為我們
[950.44-953.00] 之前在日本做的就比較多嘛所以
[953.26-954.54] 有那個reputation在
[954.78-955.82] 那日本那邊他們是
[956.12-956.88] 通常是會
[957.14-961.50] 互相問的說你覺得這家怎麼樣覺得這家怎麼樣他也看到說我們是在
[961.74-962.26] 那個幫
[962.78-963.28] 哪一些
[963.80-966.36] 有做這個因為他上面會寫這個
[966.86-970.20] 這個品項是在哪一個地方生產的
[970.70-972.24] 我以我們來講
[973.26-974.54] 生產還算是比較
[974.80-978.38] 有那個對日本來講還算是那個reputation算不錯
[978.64-981.72] 所以這邊對我們來講是那個比較大的幫助
[983.26-984.02] 那在
[984.28-985.82] 大陸這裡就是
[986.12-989.70] 剛有提到的他原先是要做一致性評價也就是說
[989.96-995.58] 他們要求的品質要拉高那之後他他們現在在做的就是要去降低他們的要價
[996.10-998.66] 所以有些要價那個是可以降到
[998.92-999.68] 原廠的
[1000.46-1000.96] 6%
[1001.22-1003.02] 也就是說原廠本來賣100塊
[1003.26-1004.04] 他可以6塊錢
[1004.30-1006.60] 這個還算是用100塊跟6塊
[1006.86-1011.98] 另外一個方式來講就是說他們大陸有時候去標一致性評價標完以後
[1012.22-1013.26] 那個以台灣
[1013.50-1014.78] 以台幣來講
[1015.04-1015.82] 他有時候一顆
[1016.06-1016.88] 是不到一毛錢的
[1017.40-1020.72] 所以後來陸陸續續都會看到一些報紙在說那個
[1020.98-1022.26] 大陸那邊那個沒有效
[1022.52-1023.80] 然後他們對於
[1024.06-1024.56] 他們自己
[1024.82-1026.86] 我坦的當你一顆只剩下零
[1027.12-1028.14] 零幾的時候
[1028.40-1028.92] 台幣啦
[1029.42-1033.26] 然後他就說啊那我幹嘛這樣所以就反而是你能夠去
[1033.52-1035.32] 類似那個那個外
[1035.58-1038.14] 我們能夠外銷也就是說他們是進口的話雖然說
[1038.38-1041.46] 那個我們不是像那個什麼美國的學名鑰但是
[1041.72-1044.78] 你是台灣進去了但他們對於台灣所知道學名鑰
[1044.98-1047.60] 他們覺得還是有機會所以剛剛有提到說我們這邊
[1047.86-1052.72] 有三個品項拿到許可證那其中一個扛藥變成扛災OK但是另外
[1052.98-1056.04] 另外一個我們覺得還是應該算是不錯因為他
[1056.30-1056.82] 雖然說
[1057.58-1060.40] 那個價格是會比較高不過那個在在
[1060.66-1064.24] 大陸的銷售覺得說這個量應該是可以起來的
[1064.50-1065.52] 好所以這是
[1065.78-1066.80] 在大陸這一塊
[1067.06-1072.94] 那剛提到的就是他品項多然後我們的機會reputation算不錯所以這邊就除了我們會去積極的再找客戶
[1074.78-1077.08] 以外有些客戶他也是會
[1077.34-1079.64] 會來問當然一開始的時候都會比較慢
[1079.90-1082.20] 日本本來就是會比較慢但是當你有了
[1082.46-1086.30] 合作機會以後他很多那個關係都是比較長遠的
[1086.56-1087.58] 所以他這邊
[1088.10-1089.12] 那個我們
[1089.38-1089.88] 跟
[1090.14-1091.16] 日本跟台灣
[1091.42-1095.78] 比較不一樣地方就是因為他畢竟每一個國家還是不一樣所以他的要價
[1096.02-1098.84] 他的合價原廠是多少日本他那邊
[1099.10-1102.18] 是40%到50%的原廠台灣這邊是
[1102.42-1103.96] 當你上市的時候啦
[1103.96-1109.84] 剛你拿到license拿去合價的時候80%到90%那邊剛提到的那些優惠
[1110.36-1116.50] 有些優惠你可以比如說前兩家啦或是說你是用挑戰專利的話你可以跟原廠同樣價格
[1116.76-1122.90] 也就是100%但這個現在還沒有所以現在還是在80%到90%那其實那10%就
[1123.16-1123.68] 那個
[1124.70-1125.72] 他的優勢是
[1125.98-1130.08] 是有的所以沒有這個優勢的話其實對台灣的學名藥廠不是
[1130.58-1131.86] 不是那麼好那這邊
[1132.12-1133.66] 那個最近也有提到報紙有講到
[1133.96-1135.50] 會缺藥
[1136.00-1138.06] 其實應該還好啦台灣還不會
[1138.32-1139.84] 還不會嚴重
[1140.10-1142.66] 到那樣子說缺藥應該還不會
[1142.92-1145.48] 還不會有像報紙那樣子講的那麼嚴重
[1146.50-1147.52] 所以這是
[1147.78-1150.34] 在大陸這邊我們的策略就是除了
[1150.86-1152.64] 自由品牌以外另外就是
[1152.90-1156.48] 那個做計轉計轉陸陸續續大概都已經快完成了
[1157.00-1158.28] 然後再來的話就是
[1158.54-1163.92] 就變成是自由的品項就在我們中期現在在做就是在這做這一塊
[1164.22-1167.54] 那到時候會有license的話這可能會在兩年三年以後出來
[1168.32-1169.34] 那這個是
[1169.60-1171.38] 剛剛有提到的我們有三項計轉經理
[1171.64-1174.46] 他們會去上市那我們這邊就拿那個profit sharing
[1174.96-1177.52] 那另外有三件那個最近一年裡面領的
[1178.56-1180.60] 然後我們有一件在送件
[1180.86-1182.90] 審查當中另外一個
[1183.16-1184.96] 剛講的那個在演中就是
[1185.20-1187.26] 你要有一些資料到時候才可以給
[1187.52-1192.38] 客戶看說看他是不是需要這個叫那個就是做那個
[1192.88-1193.92] Business development
[1194.22-1195.76] 就是做那個商推廣
[1196.78-1197.54] 那日本
[1197.80-1202.66] 就是CDMO剛提到的那這個都是由他們日本公司銷售
[1202.92-1207.28] 那個日本的藥證那我們這邊是做研發就是contract
[1207.52-1208.80] development就是研究
[1209.06-1214.18] manufacturing就是生產所以我們是做研發跟生產那日本公司他們是做銷售
[1214.44-1219.82] 那我們這邊就有兩件是持續出貨然後兩件簽了合約然後三件再演
[1220.08-1221.10] 那另外一個就是
[1221.36-1222.64] 那個代理日本的那個新藥
[1222.88-1223.92] 之前我們有講過
[1224.22-1224.98] 我們就代理有一個
[1225.24-1225.76] 品牆
[1226.00-1227.28] 應該是再進行第二個代理
[1227.80-1228.32] OK
[1229.84-1234.46] 那這邊是那個國際化的有一些挑戰所以大概是
[1234.72-1236.00] 應該每家
[1236.50-1238.56] 那個學名藥廠的公司在
[1238.80-1240.08] 做國際化的時候
[1240.34-1243.16] 也是同樣的會碰到這個這個地方
[1243.42-1243.92] OK
[1244.44-1245.72] 那大概
[1245.98-1246.74] 有關那個
[1247.00-1249.04] 策略啦國際化啦
[1249.56-1251.36] 到這邊那接下來是我們
[1251.60-1253.14] 所做的那個ESG
[1253.40-1254.42] 包括社會的
[1254.68-1255.44] 企業責任
[1255.70-1257.24] 第一個是那個
[1257.50-1258.00] 能源
[1258.26-1261.08] 能源水之源廢棄物啊
[1261.34-1262.86] 這個我們就
[1263.12-1267.98] 那個陸陸續續都有在做怎麼樣能夠那個節能減碳是以前講的現在是
[1268.24-1271.06] 怎麼樣子能有那個綠的
[1272.34-1273.88] 能源或是那個
[1274.90-1276.18] reduce recycle
[1276.44-1278.74] 這些事情所以這個大概就
[1279.00-1280.54] 請各位看一下
[1281.04-1282.58] 那這個是那個
[1282.58-1285.40] 台南市政府我們這邊有那個綠色採購
[1285.66-1288.72] 同樣的不是只有我們這邊在做綠而已我們
[1288.98-1292.06] 跟別的廠商站買的話我們是希望說他也是有
[1292.30-1293.34] 有這個綠色的
[1293.58-1294.10] 那個
[1294.62-1296.40] 有有有所謂綠色的作為
[1297.42-1298.70] 那這是那個
[1299.74-1300.50] 那個兩年
[1300.76-1303.58] 去年人比較少來今年就比較多了所以他們
[1303.82-1306.14] 那個清了清了垃圾
[1306.90-1308.94] 那個126公斤所以
[1309.20-1309.72] 那個
[1309.98-1311.00] 算是蠻多的
[1311.50-1312.54] 他們說最多就是
[1312.84-1313.34] 保利龍
[1313.60-1314.12] 那種
[1314.62-1316.68] 塑膠瓶喝水啊飲料啊
[1316.94-1317.44] 那些
[1318.72-1324.62] 那這是我們做的就從1987年成立直到現在37年了所以之前
[1324.86-1331.02] 還沒有所謂的一G的時候我父親就成立了泛泰文教基金會因為他小時候算是
[1331.52-1332.30] 算是
[1332.80-1335.10] 善善那個貧窮人家啦
[1335.36-1341.50] 他常跟我講就是說他那時候就是我阿公然後他跟那個他弟弟就是三個
[1341.76-1342.28] 男生
[1342.58-1344.12] 然後有五件內褲
[1345.90-1348.22] 意思是什麼就是第二天的時候
[1348.46-1348.98] 那個
[1350.26-1352.30] 其中一個人是要把內褲翻起來然後
[1352.56-1354.86] 那個裡面穿外面這樣子穿的
[1355.12-1355.90] 因為
[1356.14-1358.70] 六件就ok啊就你換三件
[1358.96-1362.54] 然後隔天就是三件啊但就只有五件內褲而已
[1363.06-1366.38] 然後他小時候就那個由他國教老師
[1366.64-1367.66] 那個幫他補習
[1368.18-1369.46] 他可以到
[1369.98-1372.54] 到那個南宇宙啊然後到那個台大
[1372.78-1373.60] 所以他對於
[1373.86-1375.66] 那個小孩子教育就很care
[1376.94-1379.24] 那我們這邊基金規模那個
[1379.74-1380.52] 1億9
[1380.78-1384.86] 今年超過兩億了因為後來我父親有再捐一些進去所以他這邊
[1385.12-1391.26] 那個我們的基金規模就兩億我們這邊一年的支出那個1300萬等一下就會跟大家講一下
[1391.52-1395.62] 不過最主要就是在小孩子就是小孩子的教育跟他的快樂
[1396.38-1398.70] 就是兩個小孩子的教育跟快樂
[1398.94-1401.76] 因為發現就我父親他覺得說那個
[1401.96-1403.16] 教育是能夠讓
[1403.40-1403.90] 那個
[1404.16-1404.66] 破平
[1405.16-1405.66] 當你
[1405.92-1406.76] 貧窮的時候
[1407.56-1408.06] ok
[1409.16-1414.82] 所以我們這邊是加起來就說獎助學金獎學金加應該說沒有什麼
[1415.36-1421.48] 獎學金啊獎學金要品質你要那個品學兼優啊你要好成績我們這邊沒有你知道
[1421.72-1423.00] 你知道需要
[1423.26-1424.04] 我們就會給
[1424.56-1428.12] 所以這邊那個助學金我們這邊加起來大概就1000萬
[1428.36-1429.72] 然後再來快樂就在
[1429.96-1430.36] 那個
[1430.60-1431.32] 右下面這邊
[1431.32-1434.64] 寫生比賽跟那個桌球比賽大概就是200
[1434.90-1435.68] 250幾
[1435.92-1439.26] 所以全部加起來是1300萬助學金是在
[1439.52-1440.02] 那個
[1440.28-1443.36] 1000萬那邊另外這個剛有提到的公益
[1443.60-1444.12] 也就是說
[1444.38-1450.00] 那個公益我們沒有辦法做到所有的好事情但是我們可以幫我們可以
[1450.26-1450.78] 幫助
[1451.04-1456.92] 基金去做好事情所以後來那個今年那個去年有
[1457.18-1459.48] 通過今年就開始捐了就那個齊柏林
[1460.00-1461.28] 那個可能
[1461.58-1464.64] 那個之前有那個新聞報導了看了覺得說其實
[1464.90-1467.20] 那個他爸是為了那個台灣
[1467.46-1472.08] 因為他小孩子那個他也可以好好工作啊為什麼要去做這個
[1472.32-1478.48] 那個基金會的事情所以我們這邊以後美妮也是會那個捐10萬塊給那個齊柏林的基金會
[1479.50-1481.80] OK那這個是那個寫生比賽
[1482.32-1483.84] 我後來看一看那個
[1484.88-1488.72] 如果畫的話大概中年級的金牌獎畫的比我還漂亮
[1488.96-1489.74] 我大概
[1490.24-1491.02] 能夠
[1491.58-1494.40] 大概能夠畫到第一年級的金牌獎那種水準而已
[1494.64-1495.68] 所以小孩子
[1495.92-1498.24] 我們他們這一次是去頑皮世界啦
[1498.48-1503.60] 後來我們大概都會到那個小孩子可以玩的快樂地盤不然的話有些風景區小孩子覺得很無聊
[1504.12-1504.88] 那這邊
[1505.40-1506.68] 可以順便去玩
[1506.94-1508.22] 所以有很多小孩子
[1508.48-1508.98] 就
[1509.24-1510.78] 壞話就結束了就趕快去玩
[1511.28-1512.56] 不會也還不錯啦
[1514.36-1517.68] 這是我們的那個桌球比賽那個第39屆
[1519.74-1521.02] 那這是後來
[1521.32-1522.86] 再多一個就是那個
[1523.36-1525.16] 比較年紀大的
[1525.42-1526.18] 年紀大
[1526.44-1528.48] 後來才知道說就是
[1529.52-1530.28] 如果你
[1530.54-1532.08] 年紀大的如果你那個
[1532.84-1538.48] 跌倒啊然後你握病在床的時候大概很難再爬得起來了所以要怎麼樣子在
[1538.98-1543.84] 有積少症怎麼樣子在你開始已經感覺到說其實你爬樓梯有點酸啊你要
[1544.10-1547.18] 你要跳啊你要跑啊比如說現在過馬路
[1547.68-1548.46] 當然你可以
[1548.72-1549.48] 慢慢走啦
[1549.74-1551.02] 那個車子可能不敢
[1551.32-1552.08] 不敢怎麼樣但是
[1552.34-1553.88] 之前你要過馬路都要很快跑
[1554.40-1555.92] 所以當你跑的時候你會覺得說
[1556.18-1557.72] 你在跑不一定是會跑得那麼快
[1558.48-1559.52] 所以這邊我們就是
[1559.76-1563.10] 會有那個叫那個達康運動
[1563.36-1565.14] 那個保健中心就是
[1565.40-1566.42] 讓那個
[1566.68-1567.44] 大概是
[1567.70-1569.76] 五六十歲啦然後大概70歲也歡迎
[1570.00-1571.54] 來這邊能夠教你
[1581.32-1581.72] 第三個 mittlerweile也不知道
[1611.32-1629.58] 每年都有捐血
