[0.00-5.76] 各位白人朋友午安
[254.00-255.00] 表現其實相當不錯
[255.00-256.00] 所以去年
[256.00-257.00] 才到三、四公千
[257.00-258.00] 那
[258.00-259.00] 除了英雄以外
[259.00-260.00] 跟各位報導一下
[260.00-261.00] 公司呢
[261.00-262.00] 這幾年來
[262.00-263.00] 一直在建議
[263.00-264.00] 電競的
[264.00-265.00] 所以環繞電競
[265.00-266.00] 相關的產品
[266.00-271.00] 設計出非常多的產品類別
[271.00-278.00] 這幾年來,有我們Nomuk帶動這整個電信理念的一個試驗
[278.00-281.00] 這還是我們目前的一個主力
[281.00-287.00] 除了這以外,慢慢帶動像JOSY,JOSY近年來成長也相當瘦
[287.00-293.00] Henry Monk的去年,這成長也相當可觀
[293.00-302.00] 尤其去年中開始推出Henry Monk,感覺這個在消費者獲得非常平穩
[302.00-307.00] 很多消費者每次看到,都會感受到,大概也不氣餒
[307.00-309.00] 這非常非常好
[309.00-318.00] 那JOSY,除了傳統的遊戲之外,包括CINCAR、MASPOR
[318.00-322.00] 去年推出一個掌機
[322.00-323.00] JOSY,JOSY推出一個掌機
[323.00-326.00] 這個掌機第一代並不出一期
[326.00-333.00] 其實第一代的教訓,在第二代我們做了非常多的改良
[333.00-339.00] 目前第二代的掌機,看起來的反應相當不錯
[339.00-344.00] 因為我們也是用了很誇張的XPU
[344.00-347.00] 它的Prompt,還有Battery-line都非常非常好
[347.00-352.00] 所以第一波出機,大部分扣得非常好的一個成長
[352.00-354.00] 除了這個以外,我們大概也推出一系列的作業品
[354.00-362.00] 像是PowerSprite、Mouse,等等這些類
[362.00-370.00] 近幾年來,在這種經驗箱的部分,大概在營收也有一些貢獻
[370.00-377.00] 所以對我們的一個產品的Retio,提供更多的產品
[377.00-381.00] 對我們整體的競爭力,實在帶來一個非常好的提升
[382.00-388.00] 所以我們在安卡內,目前的世界占領力也足夠在
[388.00-392.00] 已經破了相當大的一個提升
[392.00-401.00] 那除了我們代表公司整個電競這個品牌之外
[401.00-404.00] 近幾年來,我們也開始陸陸續續推出
[404.00-408.00] 這個跟創造者,還有三部方面的一個產品
[408.00-410.00] 因為前十年呢
[412.00-417.00] 以筆電來看,大概歸紋大概一億九千萬台左右
[417.00-421.00] 那擴掉Chromebook的三千多萬台
[421.00-423.00] 大概有一億六千多萬台
[423.00-427.00] 那商務筆電呢,大概占了一半以上
[427.00-434.00] 所以事實上,這個商務,這商務類的也是公司未來
[434.00-438.00] 要化成一個非常重要的一個產品
[438.00-440.00] 所以我們經過這幾年
[440.00-443.00] 然後產品的開發,業務的開發
[443.00-447.00] 那行銷方面的投資,也幫忙來投資了資源
[447.00-450.00] 那看起來目前也幫忙有一些進展的
[450.00-454.00] 那除了這個以外呢
[454.00-461.00] 我想今天大家對我們的社會方面
[461.00-464.00] 可能會有一些興趣,我們等一下可以再討論
[464.00-470.00] 我們這幾年大概投資除了傳統PC方面的產品的產業以外
[470.00-475.00] 我們都是在跟您非PC方面的產業
[475.00-478.00] 那這裡呢
[478.00-482.00] 整個全球TEMP最大的其實還是SERVO
[482.00-484.00] 所以我們在這幾年
[484.00-487.00] 從2022年開始
[487.00-489.00] 如果是可以投資成立
[489.00-491.00] 好,這會再大力發展
[491.00-494.00] 那除此以外呢
[494.00-498.00] 可能像Hotel Hila
[498.00-500.00] 這個很高的企業用
[500.00-502.00] 還有工業用的
[502.00-504.00] 那盲鏡
[504.00-505.00] 這個叫
[505.00-508.00] 那個盲鏡管制
[508.00-510.00] 那強硬性的平板
[510.00-512.00] 也沒有一點小
[512.00-515.00] 那最近在推出一些窗面窗
[515.00-519.00] 還有一些工業用的一個機器
[519.00-522.00] 不過我想這些可能都要在60年才能夠發行
[522.00-524.00] 這會有短期
[524.00-528.00] 基本上還是集中在我們的社會部分
[528.00-530.00] 那除了
[530.00-532.00] 我們在這幾年長以外呢
[532.00-533.00] 應該要介紹一下
[533.00-535.00] 我們微星呢
[535.00-537.00] 從2011年開始轉型
[537.00-539.00] 做HOMEPLANE
[539.00-541.00] 早期微星機家
[541.00-543.00] 其實是以OTA為主
[543.00-547.00] 早期大概佔了近80%以上的儀列
[547.00-550.00] 那進2011年開始呢
[550.00-551.00] 也開始轉型
[551.00-552.00] 做HOMEPLANE
[552.00-553.00] 到目前的現代
[553.00-555.00] HOMEPLANE大概已經佔了公司營業額
[555.00-557.00] 應該有差不多98億張
[557.00-559.00] 所以在經營HOMEPLANE最重要的
[560.00-562.00] 就是在2011年開始行銷
[562.00-564.00] 所以我們在行銷之旅呢
[564.00-565.00] 陸續在投入
[565.00-567.00] 我們要持續的進來
[567.00-570.00] 那近期我們希望打上一個
[570.00-571.00] Premium的一個Premium
[571.00-573.00] 所以我們找來合作對象的
[573.00-575.00] 一般都是世界之旅的一個企業
[575.00-577.00] 所以各位可以看得到
[577.00-578.00] 我們大概4年前
[578.00-581.00] 跟女士聯名叫Bis
[581.00-582.00] 早前她叫Bis
[582.00-584.00] 後來叫Aziz
[584.00-585.00] 她的AGM
[585.00-587.00] 她的一個AGM
[587.00-588.00] 她的一個那個
[588.00-589.00] 跑車的一個飛行機
[589.00-594.00] 這在全球應該具有非常廣泛的一個規模
[594.00-596.00] 那跟她們合作以後呢
[596.00-599.00] 實際上對我們的Premium的提升
[599.00-601.00] 實際上有帶來非常大的增益
[601.00-603.00] 所以我們切人也在
[603.00-605.00] 一起大概三年
[605.00-607.00] 然後我們在
[607.00-609.00] 前一陣子我們再跟她切三年後
[609.00-612.00] 所以我們是感恩
[612.00-615.00] 這對我們整體的形象提升不錯
[615.00-616.00] 那除了這樣以外呢
[616.00-617.00] 電競部門
[617.00-618.00] 跟那個一些
[618.00-620.00] Gaming
[620.00-621.00] 相關的合作
[621.00-623.00] 那我們也找一些
[623.00-625.00] 像VR
[625.00-626.00] 報紙
[626.00-627.00] CopCat
[627.00-628.00] Cone
[628.00-630.00] 這支名的遊戲發行商
[630.00-631.00] 一起聯名
[631.00-634.00] 發展了一些聯名款
[634.00-635.00] 那這
[635.00-638.00] 這對我們那個
[638.00-641.00] 一些筆電的銷售
[641.00-643.00] 對我們顯卡銷售
[643.00-646.00] 對我們電競週期的銷售
[646.00-648.00] 其實都帶來很大的幫助
[648.00-650.00] 因為幫助這個
[650.00-652.00] 這個Gaming
[652.00-653.00] 對User的CVT
[653.00-657.00] 那除了這以外呢
[657.00-660.00] 我們也參加非常多的一個媒體的
[660.00-662.00] 一些行銷
[662.00-665.00] 所以現在是有自我媒體的一個曝光
[665.00-667.00] 對我們的Premium
[667.00-668.00] 跟產品的曝光
[668.00-671.00] 是相當帶來非常大的效益
[671.00-672.00] 所以我們近期的
[672.00-674.00] 我們公司有很多領導者的資源
[674.00-675.00] 就是在那裡
[675.00-676.00] 那各位也可以看到
[676.00-677.00] 我們在領導的地方呢
[677.00-680.00] 都可以得到非常大的一個
[680.00-684.00] 像一個choice啊等等
[684.00-688.00] 那我們也參加很多的產品
[688.00-689.00] 那這些帶動
[689.00-691.00] 我們的整個微星
[691.00-693.00] 在定性這一類
[693.00-695.00] 品牌的一個支援度
[695.00-696.00] 是帶來的
[696.00-699.00] 帶來的就是一個效益
[699.00-702.00] 那去年呢
[702.00-703.00] 我們也知道
[703.00-705.00] 這PC的革新
[705.00-707.00] 這在美國一個非常知名的一個
[707.00-709.00] 一個雜誌
[709.00-710.00] 那透過
[710.00-712.00] 透過user去票選
[712.00-715.00] 這不是我們跟媒體的關係
[715.00-718.00] 這user自己去投票
[718.00-720.00] 那我們媒體是有沒有
[720.00-722.00] 我們大概在這媒體
[722.00-724.00] 我們都是獲得第一名
[724.00-725.00] 各位可以看到
[725.00-727.00] 我們在很多的分市評語
[727.00-729.00] 跟他們對手
[729.00-731.00] 這是美大公司
[731.00-732.00] 銀行公司
[732.00-734.00] 我想我們在這個媒體
[734.00-736.00] 在美國user的心目中呢
[737.00-739.00] 我們還是一個非常輝煉的一個
[739.00-740.00] 一個輝煉
[740.00-742.00] 這個對我們在
[742.00-744.00] 帶動這種高級行銷
[744.00-746.00] 其實是帶來很大的一個助力
[746.00-748.00] 那這些除了在notebook以外
[748.00-750.00] 在我們的微協
[750.00-752.00] 跟桌子
[752.00-754.00] 也都帶來一些
[754.00-756.00] 作用的一些效果
[756.00-759.00] 那除了
[759.00-761.00] 那這些
[761.00-762.00] 那大家呢
[762.00-764.00] 好像我們這邊呢
[764.00-766.00] 除了剛才的影片以外
[766.00-768.00] 所以也可以看得到
[768.00-770.00] 像OLED
[770.00-771.00] 其實一推出
[771.00-773.00] 因為這個品質是非常非常好
[773.00-775.00] 各位如果有興趣
[775.00-777.00] 可以來我們店面去看
[777.00-779.00] 那我們一推出
[779.00-781.00] 這非常高階的一個桌子
[781.00-783.00] 那現在
[783.00-784.00] 電競玩家呢
[784.00-786.00] 希望看到的
[786.00-788.00] 就是酷 性
[788.00-789.00] 那這個呢
[789.00-790.00] 它一個表演的是一個
[790.00-793.00] 可以看到裡面的一個設備
[793.00-795.00] 包括muzzle ball
[795.00-796.00] 包括這個
[796.00-798.00] 然後VA的一些佈局
[798.00-800.00] 我想這個對我們
[800.00-802.00] 在這種高階的一個形象
[802.00-804.00] 都帶來一些很好的
[804.00-806.00] 那顯示卡這邊呢
[806.00-807.00] 事實上我們今年
[807.00-809.00] 大概五年之內
[809.00-810.00] 一推出
[810.00-812.00] 我們大概獲得非常多的一個想像
[812.00-813.00] 我們在評比
[813.00-815.00] 包括噪音
[815.00-816.00] 包括表現
[816.00-817.00] 包括重量
[817.00-818.00] 我們通比
[818.00-820.00] 重量大概比較對手
[820.00-821.00] 大概少一公斤
[821.00-823.00] 一公斤這代表什麼意思呢
[823.00-825.00] 你在插卡的時候
[825.00-826.00] 那一個重量的評
[826.00-828.00] 那就比較不會發表
[828.00-830.00] 那藝術費用
[830.00-831.00] 卡其他的
[831.00-832.00] 各位可以看到的
[832.00-833.00] 空音費用
[833.00-834.00] 從上海
[834.00-836.00] 從大陸回到美國
[836.00-837.00] 都回到歐洲用金
[837.00-838.00] 就都發現了
[838.00-839.00] 這對我們來講
[839.00-840.00] 成本也都回來了
[840.00-842.00] 其他的也有效應
[845.00-846.00] 那我在這裡
[846.00-847.00] 簡單的報告
[847.00-849.00] 謝謝各位
[849.00-850.00] 謝謝我們今天來的節目
[850.00-851.00] 謝謝
[855.00-857.00] 各位好友朋友
[857.00-858.00] 各位媒體朋友
[858.00-859.00] 大家午安
[859.00-863.00] 接下來我來跟各位來簡單的報告一下
[863.00-866.00] 我們公司的一些財務狀況
[866.00-868.00] 那去年
[868.00-870.00] 我們整體的營收
[870.00-871.00] 一千九百七十八億
[871.00-873.00] 大概比2023年
[873.00-875.00] 大概多了八個百分比
[875.00-877.00] 如果以足跡來看
[877.00-881.00] 我們的營收成長
[881.00-884.00] 那個大概就相對的比較十分
[884.00-885.00] 大概就相對的比較十分
[885.00-887.00] 不過在第四季的時候
[887.00-890.00] 我們的第三季第四季
[890.00-892.00] 開始就有一點趨緩
[892.00-893.00] 我們做Gaming的
[893.00-894.00] 跟NVIDIA的Gaming
[894.00-895.00] 大概有比較深度的結合
[895.00-896.00] 它大概是兩年左右
[896.00-897.00] 我們推出一個新產品
[897.00-898.00] 結果去年
[898.00-899.00] 本來大概Q3 Q4的時候
[899.00-900.00] 這些新產品有一些疲累
[900.00-901.00] 所以我們就開始
[901.00-902.00] 在Q3 Q4的時候
[902.00-903.00] 我們就開始
[903.00-904.00] 在Q3 Q4的時候
[904.00-905.00] 我們就開始
[905.00-906.00] 在Q3 Q4的時候
[906.00-907.00] 我們就開始
[907.00-908.00] 在Q3 Q4的時候
[908.00-909.00] 我們就開始
[909.00-910.00] 在Q3 Q4的時候
[910.00-911.00] 我們就開始
[911.00-912.00] 在Q3 Q4的時候
[912.00-913.00] 我們就開始
[913.00-914.00] 在Q3 Q4的時候
[914.00-919.00] 所以說造成
[919.00-920.00] 我們在第三季第四季的時候
[920.00-922.00] 尤其在第四季
[922.00-923.00] 幾乎高一些產品
[923.00-925.00] 像我們4.70以上
[925.00-928.00] 80 90幾乎是沒有破
[928.00-930.00] 完全沒有破
[930.00-933.00] 中間的產品如果有一點吃緊
[933.00-935.00] 然後整體來講的話
[935.00-938.00] 就造成我們的營收成長
[938.00-939.00] 會受到一些限制
[939.00-940.00] 同時
[940.00-942.00] 真的也壓抑到我們的麻利率
[942.00-944.00] 我想一個新產品出來
[944.00-946.82] 它的價格可以推高不少
[946.82-954.20] 像我們初期的低坡的像顯卡或是我們的向東不可
[954.20-960.38] 初期來講可能比後期的產品至少毛利要多個五個歲以上
[960.38-963.18] 慢慢就足跡可能會降低了
[963.18-966.78] 因為產品的普及還有價格的進升等等因素
[966.78-969.98] 所以說整體來講相當抱歉
[969.98-975.60] 我們在去年第四季毛利從12.7掉到只有10.3
[975.60-979.70] 這也是我們這幾年來算是一個低點
[979.70-986.94] 我想主要我們公司來講大概百分之七八十以上都是以Gaming為主
[986.94-988.82] Gaming一個沒有新產品
[988.82-994.60] 一個就是說產品在供貨上面會有一些困難
[994.60-999.94] 所以說造成我們營收了還有整體的那個
[999.94-999.96] 那個產品的供貨上面會有一些困難
[999.96-1002.00] 毛利率有一些影響
[1002.00-1005.08] 那另外在費用上面
[1005.08-1008.92] 我們來看我們費用來講2023年只有7.78
[1008.92-1010.96] 2022年只有8.38
[1010.96-1014.30] 然後呢2024年降到8.68
[1014.30-1016.60] 中間大概有多了
[1016.60-1019.42] 費用大概有多了170億
[1019.42-1020.70] 這邊140億
[1020.70-1022.24] 大概有多了30億
[1022.24-1024.54] 我們從這邊看起來
[1024.54-1027.36] 就是費用率大概從
[1027.36-1029.92] 第二季第三季第四季開始逐步走
[1029.92-1034.52] 其中一個比較大的原因就是去年第二季
[1034.52-1036.06] 第一季開始有移壓上升
[1036.06-1037.08] 等等
[1037.08-1038.12] 所以說呢
[1038.12-1041.18] 這些造成了整個的運費
[1041.18-1043.74] 一下子跳了50%100%上來
[1043.74-1046.56] 尤其我們整體的運輸
[1046.56-1050.92] 尤其歐洲上我們大概快系統內大概快40%以上
[1050.92-1052.44] 到達好望角
[1052.44-1056.04] 一個是時間大概多了大概兩三個禮拜
[1056.04-1058.60] 一個是價格漲了56%
[1058.60-1059.88] 加上去年
[1059.92-1062.74] Q3 Q4沒有新產品的推出
[1062.74-1065.04] 所以說我們講的中端售價
[1065.04-1066.06] 你沒有辦法
[1066.06-1066.84] 提升
[1066.84-1068.12] 這些費用
[1068.12-1069.64] 大部分就是由
[1069.64-1071.70] 供應商來自行吸收
[1071.70-1073.74] 所以說這個運費
[1073.74-1076.04] 你看看就是逐步這樣跳上來
[1076.04-1079.12] 本來我們大部分都會在8%上下
[1079.12-1080.14] 然後上來
[1080.14-1082.20] 去年光運費這種影響
[1082.20-1084.50] 對公司的費用大概有11億
[1084.50-1086.54] 11億2億左右的影響
[1086.54-1087.56] 那這部分
[1087.56-1089.88] 因為沒有新產品推出
[1089.92-1091.72] 所以說沒有辦法轉價
[1091.72-1095.80] 等新產品推出以後我們會考慮到這運費的影響因素
[1095.80-1097.34] 那再來我們該有的
[1097.34-1098.36] 售價
[1098.36-1100.42] 做一些進一步的調整
[1100.42-1103.24] 那另外一部分我想就是我們的
[1103.24-1104.00] 費用
[1104.00-1105.02] 大概我們的
[1105.02-1107.84] RD費用大概多了快10億左右
[1107.84-1110.40] 主要是這幾年
[1110.40-1111.94] 剛剛我們總經理有報告
[1111.94-1114.24] 我們投資在SERVO的部分
[1114.24-1116.04] 還有一些AIOT
[1116.04-1117.32] 還有一些
[1117.32-1118.84] 車載的部分
[1118.84-1119.88] 還有一些那個
[1119.92-1121.72] 像充電樁等等
[1121.72-1123.50] 這些都是需要
[1123.50-1125.80] 需要時間的
[1125.80-1127.34] 比如說一個AI SERVO
[1127.34-1129.40] 他從開發到成品
[1129.40-1130.42] 到經過
[1130.42-1131.70] 不一定的認證
[1131.70-1133.74] 大概前後一年半的時間
[1133.74-1135.02] 然後要經過
[1135.02-1137.84] 那個客戶的認證等等
[1137.84-1139.64] 再出貨
[1139.64-1141.94] 大概差不多一到兩年的時間
[1141.94-1144.50] 所以說我們這些像SERVO的產品
[1144.50-1146.54] 大概我們開發了差不多兩年的
[1146.54-1149.88] 下半年度就會陸陸續續開始出貨
[1149.92-1151.46] 創造一些營收
[1151.46-1153.50] 像我們開發充電樁
[1153.50-1156.32] 那個時間可能拖得更久
[1156.32-1158.62] 像它不只是一個充電樁
[1158.62-1159.90] 它很多跟
[1159.90-1160.92] 一個金流
[1160.92-1162.20] 系統要結合
[1162.20-1163.74] 還有跟車牌電視
[1163.74-1165.28] 還有當地有一些
[1165.28-1168.36] 那個法定規裝要通過它的認證
[1168.36-1170.92] 這個需要花很長的時間
[1170.92-1171.68] 去更改
[1171.68-1174.76] 這個可能要到明年後年
[1174.76-1176.80] 它的這些營收
[1176.80-1179.36] 等等才會陸陸續續的展現
[1179.92-1181.72] 這是公司的一個長期布局
[1181.72-1183.00] 我想這個
[1183.00-1184.28] 像充電樁等等
[1184.28-1189.90] 車用的這些東西大概未來會慢慢變成一個主流
[1189.90-1192.46] 所以說另外就是去年
[1192.46-1193.74] 因為沒有新產品
[1193.74-1195.54] 所以就這些舊產品
[1195.54-1196.82] 我們的友商
[1196.82-1198.10] 就是大家
[1198.10-1199.64] 有一些在輕貨
[1199.64-1201.16] 做一些價格競爭
[1201.16-1204.50] 所以說公司也提撥了比較多的行銷資源
[1204.50-1205.78] 在支援這一些
[1205.78-1207.32] 它整體會把
[1207.32-1208.34] 一個費用拉高
[1208.34-1209.88] 一個是毛利降低
[1209.92-1211.72] 這一部分就很抱歉
[1211.72-1213.76] 這個是算是一個
[1213.76-1215.56] 比較突發的狀況
[1215.56-1218.36] 那去年整體的經濟狀況來看
[1218.36-1220.68] 我們兩個大市場
[1220.68-1221.70] 都是在表現
[1221.70-1222.72] 不盡一想
[1222.72-1223.74] 一個是美國
[1223.74-1226.30] 美國在系統變得有一些衰退
[1226.30-1227.84] 我看主要的原因
[1227.84-1229.12] 一個是沒有新產品
[1229.12-1232.20] 第二個就是高同盤還有高利率
[1232.20-1233.98] 讓美國的這些
[1233.98-1235.52] end user
[1235.52-1237.06] 那個翻譯套
[1237.06-1238.84] 有點縮小有點不穩
[1238.84-1239.88] 我看我們的
[1239.92-1241.20] 友商
[1241.20-1242.74] 像HP的DALE
[1242.74-1244.78] 它在Consumo P1這一塊
[1244.78-1246.84] 平均也衰退了十幾八
[1246.84-1249.40] 所以說大家在價格上面的競爭
[1249.40-1252.46] Consumo這一塊相對就比較競爭
[1252.46-1254.00] 那一塊就是
[1254.00-1257.84] 中國也我想內需的市場也不是很理想
[1257.84-1259.64] 那個整體的
[1259.64-1260.66] 消費市場
[1260.66-1262.70] 還是算是有一點萎縮
[1262.70-1264.76] 所以說這兩大市場造成
[1264.76-1265.78] 我們去年
[1265.78-1268.08] Compore的生意其實都有
[1268.08-1269.62] 十幾八二十幾八
[1269.92-1272.22] 甚至都有三五十八以上的成長
[1272.22-1274.28] 而是系統面的部分
[1274.28-1275.30] 就是
[1275.30-1277.34] 維持平坦一點點的成長
[1277.34-1278.88] 沒有很大的成長
[1278.88-1280.42] 不過在APEC的地方
[1280.42-1282.46] 或是說在歐洲的部分
[1282.46-1285.80] 兩位輸出的成長還表現不錯
[1285.80-1289.88] 不過由於BRC還有USA這兩個大市場
[1289.88-1291.94] 它有一些狀況
[1291.94-1295.52] 所以說整體幫我們的成長力脫下來
[1295.52-1298.08] 那經驗來講我想展望這種
[1298.08-1299.88] 整體的美國的經濟啊
[1299.92-1300.94] 降息
[1300.94-1302.22] 然後等等啦
[1302.22-1304.52] 我想對新產品的推出
[1304.52-1306.06] 對這種重要的市場
[1306.06-1307.34] 美國啦歐洲啦
[1307.34-1310.42] 我想是一個很好的一個刺激的因素
[1310.42-1312.72] 一般慢慢就會恢復成長
[1312.72-1315.28] 我們看到MVDA在前三季
[1315.28-1316.82] 它大概還有十幾發
[1316.82-1317.84] 便利這一塊
[1317.84-1319.64] 還有十幾發的營收的成長
[1319.64-1321.16] 到第一世紀因為缺火
[1321.16-1322.44] 它也是
[1322.44-1323.72] 復復成長
[1323.72-1325.52] 所以說這個就是
[1325.52-1328.34] 一個是供貨的問題一個是新產品推出
[1328.34-1329.36] 有點
[1329.92-1330.94] 很慢
[1330.94-1331.96] 這個就是
[1331.96-1334.52] 很抱歉在今年Q4的時候
[1334.52-1336.58] 我們整體沒有表現得很好
[1336.58-1339.90] 所以說整體營業經濟力都是1.08
[1339.90-1343.24] 在過去幾年你看我們的營業經濟
[1343.24-1346.30] 大概都維持在15%左右
[1346.30-1350.40] 當然22年它有一些疫情的好處
[1350.40-1353.72] 不過公司的目標還是希望這一塊能夠維持在
[1353.72-1354.76] 15%
[1354.76-1356.28] 甚至5%以上
[1356.28-1359.10] 像新產品推出來講像我們VGA
[1359.10-1360.38] 這波推出來
[1360.38-1362.18] 還有夏娥Koer
[1362.18-1364.74] 整個Nordic的主力推出來
[1364.74-1366.02] 大概營業經濟力
[1366.02-1367.80] 唯獨是在45%以上
[1367.80-1369.60] 應該都是還正常的
[1369.60-1372.16] 這個我們也會朝這個方向來努力
[1372.16-1373.70] 所以說稅前經濟
[1373.70-1374.72] 大概我們
[1374.72-1377.28] 從91衰退到85%
[1377.28-1379.06] 主要也是在Q3 Q4
[1379.06-1381.38] 受到運費受到我們RB
[1381.38-1383.42] 投入的資源的影響
[1383.42-1384.70] 所以說這一部分
[1384.70-1388.80] 有一些可能未來的營收會有一些避淫效果
[1389.10-1390.12] 那稅前
[1390.12-1391.14] 淨利率
[1391.14-1392.68] 大概我們就
[1392.68-1394.74] 差不多403%左右
[1394.74-1396.78] 那稅後大概3.48%
[1396.78-1397.80] 比以前
[1397.80-1400.88] 前一年大概低了差不多快90%
[1400.88-1401.90] 這個就是
[1401.90-1404.72] 新產品推出還有我們營運的一些
[1404.72-1407.54] 措施慢慢這部分會來改善
[1407.54-1412.66] 那美股盈餘大概就在8.04左右
[1412.66-1415.72] 那如果說看我們的
[1415.72-1416.74] 純弱
[1416.74-1419.06] 那我們純弱來講的話
[1419.10-1423.20] 大概2030大概330幾億
[1423.20-1424.74] 因為我們有
[1424.74-1428.32] 2022年2030那個純弱有一點偏高
[1428.32-1430.62] 所以說我們現在對純弱的控管
[1430.62-1431.64] 都很積極
[1431.64-1433.94] 純弱就是預計大概
[1433.94-1435.48] 70天上下
[1435.48-1437.28] 因為我們會有一些
[1437.28-1440.60] compound的安全庫存大概至少兩三個禮拜
[1440.60-1442.40] 至少大概一兩個禮拜
[1442.40-1445.72] 然後呢大部分的像系統產品都要走航運
[1445.72-1449.06] 到歐洲現在要70天在美國大概要30 40天
[1449.10-1451.14] 那你在
[1451.14-1457.04] 一部分的話就是我們自有產品的話就是我們要自有參庫
[1457.04-1458.06] 做一些庫存
[1458.06-1459.86] 來因這個
[1459.86-1461.64] 產品的需求上上下下
[1461.64-1465.74] 所以說一般啦大概就是六七十天的
[1465.74-1470.10] 品牌的這種庫存算是一個比較合理健康的
[1470.10-1475.46] 那我們現在來兩三百六十八億大概一二月我們的營收也大概差不多
[1475.46-1479.06] 接近330 340大概就是兩三個月的時間
[1479.10-1481.92] 一方面就是今年的過年有一點提早
[1481.92-1482.94] 所以說我們
[1482.94-1484.22] 去年有一點
[1484.22-1485.24] 提早備貨
[1485.24-1487.04] 現在的庫存我們
[1487.04-1489.34] 超過90天的以上也很少
[1489.34-1490.36] 大概都有
[1490.36-1492.16] 想辦法去年再
