[0.00-3.22] 友达光电2025年第一季法人说明会
[392.10-393.10] 谢谢David
[393.10-397.10] 接下来我们请董事长跟各位做一个Opening Remarks
[397.10-400.10] 各位投资先进媒体朋友们大家好
[400.10-404.10] 非常欢迎参加我们这一季的说会
[404.10-407.10] 回顾我们第一季除了Display的需求
[407.10-411.10] 还有货动能的回升
[411.10-413.10] 出货时期增加以外
[413.10-418.10] Mobility跟Vertical的营收也持续稳健地增长
[418.10-423.10] 整体营收继增5%
[423.10-426.10] 较去年同期更是大幅增长21%
[426.10-430.10] 所以优于过往第一季三季的表现
[430.10-433.10] 获利方面受惠于营收的增长
[433.10-435.10] 产品组合优化
[435.10-439.10] 各单位成本控制跟效率改善的努力
[439.10-441.10] 本季毛利较畅移
[441.10-442.10] 大幅改善
[442.10-446.10] 营业费用金额及比率下降
[446.10-448.10] 房租业内转亏为盈
[448.10-450.10] 来到了11.4亿
[450.10-457.10] 再加上本季出售台中友达竞财厂房的获利益助
[457.10-460.10] Q1的最后经历来到33亿
[460.10-463.10] EPS是新台币的0.13元
[463.10-467.10] 公司的整体财务结构算稳健
[467.10-469.10] 存货坚硕是18天
[469.10-472.10] 进步占比34.5%
[472.10-474.10] 维持在相对健康的水位
[474.10-479.10] 接下来我来谈一下大家很关注的对等关税的相关议题
[479.10-482.10] 面板是零组件
[482.10-484.10] 关税时间影响有限
[484.10-488.10] 但是对于做中端产品的客户影响比较大
[488.10-490.10] 目前盘点下来
[490.10-492.10] 以今年全年来看
[492.10-495.10] 由它直接与间接销往美国市场
[495.10-498.10] 可能受影响的营收占比大概10-15%
[499.10-503.10] 如果是直统计直接出货到美国的部分
[503.10-507.10] 今年受到关税可能冲击的营收不到2亿
[507.10-511.10] 不过其中大部分的出货我们采取都是FOP的模式
[511.10-515.10] 关税由进口方的客户承担
[515.10-518.10] 所以对友达的时间影响有限
[518.10-525.10] 不过以美国占全球消费约25-30%的比重来看
[525.10-528.10] 友达的直接与间接消美的营收占比是大
[529.10-531.10] 比于行业的平均
[531.10-537.10] 而且近期美国的陆续宣布对等关税宽限90天
[537.10-541.10] 对中国制造的税率再降为10%
[541.10-544.10] 部分的产品对等关税也被豁免
[544.10-551.10] 这些措施再加上墨西哥和加拿大享有USMCA的协定
[551.10-553.10] 所以目前来看对友达的影响
[553.10-559.10] 应该会比4月初宣布时的影响会降低蛮多的
[559.10-561.10] 但是后续还有很多的不确定
[561.10-564.10] 我们还要继续的观察
[564.10-570.10] 但是我们比较关心的是关税的提高
[570.10-574.10] 最后有很大的机率会转嫁到美国的消费者身上
[574.10-577.10] 美国是全球最大的消费者
[577.10-580.10] 而且许多的民生必需品都要仰待进口
[580.10-585.10] 一旦关税被转嫁到中端产品的售价上的话
[585.10-587.10] 就会影响到美国民众的消费力
[587.10-589.10] 而且有很多的民生必需品都要仰待进口
[589.10-591.10] 这可知被所得的排行效应
[591.10-595.10] 所以近期在谈的美国的民众消费降低
[595.10-597.10] 就是一个明显的例子
[597.10-602.10] 这会间接影响到其他国家的制造跟购买力
[602.10-605.10] 在总体需求降低的情况下
[605.10-608.10] 最终将要反映到全球的成长率的下修
[608.10-614.10] 所以IMF近期对2025年全球GDP成长率不下调
[614.10-617.10] 其实就是在反映关税的影响
[617.10-619.10] 所以公司原先在年初
[619.10-622.10] 在计算的方式中预估今年整体市场
[622.10-624.10] 供需会相对的平衡
[624.10-626.10] 往健康的方向走
[626.10-629.10] 而且会回到正常的季节循环
[629.10-633.10] 不过近期受到关税带来的不确定的影响
[633.10-637.10] 那有可能打乱今年的季节性的需求
[637.10-640.10] 所以去年第四季到今年第一季
[640.10-643.10] 确实我们看到有部分的拉货动能
[643.10-647.10] 是在反映捷径促销后的库存水位降低的恢复需求
[647.10-650.10] 以及大陆的已就换新的补贴
[650.10-654.10] 但是我们也看到部分的客户为了因应关税
[654.10-656.10] 而提前拉货
[656.10-662.10] 对考量关税一级对全球经济带来的高度不确定性
[662.10-666.10] 那我们对第二季的业务展望会真的太多的因应
[666.10-669.10] 至于对下半年的影响
[669.10-672.10] 那客户端也还需要一些时间观察给应变
[672.10-675.10] 那我们会密切的跟客户进行讨论
[675.10-677.10] 并且谈判
[677.10-680.10] 并且进行更新的调配产能来降低影响
[680.10-683.10] 那关税的时事细则每天都在变化
[683.10-689.10] 所以我们在内部也有应变的对策
[689.10-692.10] 那内部的应变平台方面
[692.10-697.10] 公司内部启动关税冲击跟营运风险的应变平台
[697.10-699.10] 那定期会召开会议
[699.10-703.10] 收集所有的市场跟客户的信息
[703.10-705.10] 密切注意可能的变化
[705.10-707.10] 准备我们的应应措施
[707.10-709.10] 在生产布局的方面
[709.10-714.10] 那友达本身尤其是在并入BSE之后
[714.10-717.10] 在全球各地均有制造基地的布局
[717.10-721.10] 那除了原来台湾大陆越南之外
[721.10-725.10] 还增加了墨西哥印度保加利亚德国
[725.10-731.10] 所以未来我们也可以视政策和客户需求的强性的调配产能
[731.10-734.10] 在等待关税政策确定
[734.10-737.10] 我们也不排除与供应链伙伴合作
[737.10-739.10] 在关税较优惠地区
[739.10-742.10] 来评估最恰当最合适的生产方式
[742.10-745.10] 当然美国也会是一个考虑的选项
[745.10-748.10] 不过我们还是选择最恰当的应用方式
[748.10-753.10] 另外我们认为在分散市场跟产品的应用
[753.10-756.10] 会是一个另外一个议题
[756.10-759.10] 那关税议题跟中美之争看来
[759.10-762.10] 短期内落幕的机会还不大
[762.10-764.10] 所以除了在生产方面
[764.10-766.10] 我们找替代方案
[766.10-771.10] 也应该同时思考如何分散市场跟产品的应用领域
[771.10-775.10] 那有它近年来积极地往解决方案布局
[775.10-777.10] 客户也已经较为多元
[777.10-780.10] 而且分散全球各地
[780.10-783.10] 比如说东南亚、欧洲这些地方
[783.10-787.10] 所以我们并没有倚靠像美国这样的单一市场
[787.10-792.10] 而且大陆也很可能会以更大的力度
[792.10-796.10] 来做刺激内需的方案
[796.10-800.10] 那另外他们也会扩大对外的贸易
[800.10-803.10] 这是我们可以把握的机会
[803.10-806.10] 当然强化经营韧性方面
[806.10-810.10] 我们面对市场高度不确定性的时期
[810.10-812.10] 我们透过谨慎的备料
[812.10-815.10] 避免单只库存的产生
[815.10-819.10] 另外也会严格控制资本支出及营运的费用
[819.10-821.10] 持续努力降低成本
[821.10-824.10] 也保留中足的现金水位来因应市场的变化
[824.10-825.10] 那为了保证市场的财务费用
[825.10-828.10] 我们也关注财务的风险
[828.10-832.10] 所以关税议题也会带来金融市场的不稳定
[832.10-836.10] 我们也会密切的关注客户跟供应商的财务状况
[836.10-838.10] 以及汇率的变化
[838.10-842.10] 来降低对公司营运成果的冲击
[842.10-845.10] 所以接下来我们也希望关税议题
[845.10-847.10] 能够尽快的成来落定
[847.10-851.10] 因为企业的经营是需要一个比较确定性
[851.10-853.10] 才能够有效的基础营运的措施
[853.10-857.10] 外部的局势变化很大
[857.10-860.10] 所以我们要谨慎的应变之外
[860.10-863.10] 转型跟改善还是要持续的推动
[863.10-866.10] 所以持续聚焦在Mobility Solution
[866.10-869.10] 跟Vertical Solution两大支柱的成长
[869.10-873.10] 那我们也会改善Disgrace事业的产品组合
[873.10-876.10] 以达到摆脱面板景气循环的目标
[876.10-881.10] 追求长期获利的稳定以及持续改善
[881.10-882.10] 让我们的体质
[882.10-884.10] 能够更强健
[884.10-886.10] 更有能力来因应外部的冲击
[886.10-889.10] 那接下来我们就把时间交给Frank
[889.10-892.10] 请他帮大家说明一下
[892.10-895.10] 友达在三个营运支柱的营运状况
[895.10-896.10] 谢谢
[896.10-898.10] 好 谢谢Paul
[898.10-900.10] 那各位投资先进各位媒体朋友
[900.10-901.10] 大家午安
[901.10-902.10] 那我是Frank
[902.10-905.10] 那刚刚Paul已经就关税
[905.10-909.10] 还有友达对友达的整体影响
[909.10-911.10] 还有我们因应的一些做法做了说明
[911.10-915.10] 那我接下来这边就针对公司最近的发展
[915.10-919.10] 以及我们三个营运支柱的营运概况
[919.10-921.10] 来跟大家做说明
[921.10-925.10] 那首先呢我一开始先从这个我们两周前
[925.10-930.10] 在Touch Taiwan的展览的一些亮点跟大家说明
[930.10-934.10] 那我想延续Q1跟大家报告的
[934.10-937.10] 我们整个友达接下来的营运发展的架构
[937.10-941.10] 就是以三支支柱来作为发展的方向
[941.10-944.10] 那我们在这次的Touch Taiwan的展览中
[944.10-948.10] 那今年的Touch Taiwan我们不只展示我们最新的显示技术
[948.10-952.10] 我们其实也是在展示我们整个转型的架构
[952.10-956.10] 那协同我们集团的公司
[956.10-959.10] 以及我们内外的生态圈伙伴
[959.10-962.10] 那展示我们在这个显示科技
[962.10-963.10] 智慧移动
[963.10-967.10] 在造垂直场域相关的一些技术创新
[967.10-969.10] 产品应用的新想法
[969.10-971.10] 以及我们转型的成果
[971.10-975.10] 那在展场可以看到我们在智慧移动的部分
[975.10-979.10] 我们把我们今年在CES参展
[979.10-984.10] 然后惊艳全球的这样的一台智慧座舱的概念车
[984.10-987.10] 也在我们Touch Taiwan作为目标的展示
[987.10-991.10] 那这台车结合了友达的显示技术能力
[991.10-994.10] 跟BHTC的T21设计概念
[994.10-996.10] 我们来共同打造
[996.10-999.10] 那全车都是用Micro LED
[999.10-1002.10] 结合我们的车用的运转方案
[1002.10-1005.10] 那打造一个智慧座舱的概念
[1005.10-1008.10] 那这次在Touch Taiwan除了这台车转
[1008.10-1013.10] 我们重点展示的是Micro LED在座舱里的一些应用情形
[1013.10-1017.10] 包含高亮度、透明、可饶的特性
[1017.10-1019.10] 但是怎么用,用在哪里
[1019.10-1023.10] 所以这个座舱里包含了天窗、车侧窗
[1023.10-1026.10] 以及中控扶手、方向盘
[1026.10-1028.10] 我们都用Micro LED来打造一个
[1028.10-1033.10] 未来人们使用自驾车的情境下
[1033.10-1036.10] 在座舱里面会有的新体验
[1036.10-1040.10] 那当然这里头除了Micro LED本身的技术创新之外
[1040.10-1044.10] 也结合了BHTC在车用HMI的技术能力
[1044.10-1046.10] 来打造解决方案
[1046.10-1050.10] 包含像是机构、外形、人机界面等等
[1050.10-1052.10] 那这些开发的新应用
[1052.10-1055.10] 其实我们从CS得到很好的回响之后
[1055.10-1058.10] 我们从CS到Touch Taiwan这两个月
[1058.10-1063.10] 我们这台车也安排进到美系跟欧系的各大车厂
[1063.10-1067.10] 进行Tech Day的巡回roze
[1067.10-1072.10] 吸引了我们每个客户的非常大的眼光的关注
[1072.10-1076.10] 还有他们高层的关注的了解
[1076.10-1081.10] 重要的是开启我们后续很多产品
[1081.10-1083.10] 或者新的合作方案的讨论
[1083.10-1087.10] 那第二个部分我想在显示科技的部分
[1088.10-1097.10] 我们这一次除了展示我们跟全球领导品牌三星的114寸的Micro LED TV之外
[1097.10-1105.10] 那也把我们在去年龙潭装机完成的4.5代线的Micro LED聚转线
[1105.10-1109.10] 所生产的全球最大的单屏模组
[1109.10-1111.10] 就是42寸的单屏模组
[1111.10-1115.10] 然后跟品牌、客户来合作品装成超大电池
[1115.10-1117.10] 那这个还有包含了透明的形态
[1118.10-1120.10] 以及并拨准备
[1120.10-1122.10] 那更有道理来说呢
[1122.10-1124.10] 我们从2023年底
[1124.10-1128.10] 启动这个Micro LED在窗带装置上面的一个生产准备
[1128.10-1130.10] 那接着又开始
[1130.10-1133.10] 突破这个TV跟大屏显示器
[1133.10-1139.10] 那这个都在今年的CES也可以看到一些跟客户合作的产品应用
[1139.10-1141.10] 那我们今年呢
[1141.10-1145.10] 针对Micro LED在透明显示的情境上面
[1145.10-1148.10] 分别展示了我们跟客户合作的透明笔电
[1148.10-1151.10] 或者是我们自己跟客户正在对谈中
[1151.10-1155.10] 应用在飞机上的这种透明互动的一些信息
[1155.10-1157.10] 双面的一个应用情境
[1157.10-1159.10] 以及在车用的部分
[1159.10-1164.10] 我们除了明年将开始出货给Sony Home的Mobility的这一台
[1164.10-1167.10] 车用的车前的MediaBar之外
[1167.10-1171.10] 后续我们也开始design in跟掌握其他的订单
[1171.10-1174.10] 那这些累加的这些design win
[1174.10-1178.10] 以及持续的这些后面的量产
[1178.10-1180.10] 然后也有一个很大的变化
[1180.10-1183.10] 然后Micro LED成本降低的这些优化动作呢
[1183.10-1186.10] 都预期会让我们的Micro LED在未来几年
[1186.10-1189.10] 可以对公司的领域产生正面
[1189.10-1192.10] 而且越来越明显的一些帮助
[1192.10-1196.10] 那另外除了Micro LED的技术之外
[1196.10-1201.10] 在L系列部分我们这一次也展示了全球第一台
[1201.10-1205.10] 大尺寸高解析度以及广色域的VL-Sequential的Color-Color
[1208.10-1210.10] 这样的一个显示器
[1210.10-1213.10] 那这是一个65寸的VL-Sequential
[1213.10-1219.10] 那所谓的VL-Sequential其实是利用持续显示的方式
[1219.10-1222.10] 然后配合RGB的LED背光
[1222.10-1227.10] 然后靠人眼的视觉战略产生一个全彩的影像
[1227.10-1229.10] 那这个技术本质上简单来说
[1229.10-1234.10] 就是它不需要在面板的制程上去做彩色滤光片
[1234.10-1236.10] 去做Color-Color-Color
[1236.10-1241.10] 那这一切都可以节省了制造的成本跟提升效率
[1241.10-1245.10] 更重要的是它提升了第一线显示器的传统率
[1245.10-1248.10] 然后让整个背光的使用效率越好
[1248.10-1252.10] 所以可以大幅降低显示器的能耗
[1252.10-1254.10] 而且是尺寸越大越省电
[1254.10-1256.10] 所以除了消费性产品之外
[1256.10-1259.10] 我们更看好它在工商领域上面
[1259.10-1263.10] 这种产品之间显示的Banning的需求
[1263.10-1264.10] 好
[1264.10-1266.10] 那第三个支柱的部分
[1266.10-1268.10] 就是垂直场域这一块
[1268.10-1271.10] 那友达是由我们集团的子公司Dachiu
[1271.10-1273.10] 来作为领先的平台
[1273.10-1277.10] 然后把旗下各个子品牌子公司
[1277.10-1279.10] 以及集团伙伴的资源
[1279.10-1282.10] 展现我们在几个不同场域
[1282.10-1286.10] 从显示为核心走向软硬体整合的
[1286.10-1288.10] 这样的一个解决方案
[1288.10-1290.10] 那包含在智慧医疗的部分
[1290.10-1293.10] 我们的手术室的解决方案
[1293.10-1295.10] 那以及更重要的
[1295.10-1299.10] 我们看到在这个领受场域
[1299.10-1301.10] 现在因为这个缺工
[1301.10-1305.10] 然后或者非接触的这样的一个
[1305.10-1307.10] 采购的这样的一个环境需求
[1307.10-1311.10] 我们配合这个超大型的
[1311.10-1315.10] 超大型的LED显示
[1315.10-1317.10] 或者是我们自己的这些
[1317.10-1320.10] 智慧领受节能的看板
[1320.10-1324.10] 然后来创造一个智慧领受的解决方案
[1324.10-1327.10] 那同时间在Enterprise的部分
[1327.10-1329.10] 我们也把互动白板
[1329.10-1331.10] 跟大型LED显示统结合
[1331.10-1334.10] 那作为智慧会议室的解决方案
[1334.10-1337.10] 那当然除了我们主展区之外
[1337.10-1340.10] 我们还有一个EHG的展区
[1340.10-1342.10] 那这个展区里面也展示了
[1342.10-1345.10] 我们在WinSolutions的事业单位
[1345.10-1347.10] 他们在碳中和碳管理
[1347.10-1349.10] 以及再生能源服务
[1349.10-1351.10] 这样的一个智慧建筑
[1351.10-1354.10] 或者是碳中和建筑的方案
[1354.10-1356.10] 那当然也有我们有打本身
[1356.10-1360.10] 内外在这个塑胶减量上的一个成功的展示
[1360.10-1364.10] 那以上是我对台湾的一些补充
[1364.10-1366.10] 那让大家再理解一下
[1366.10-1369.10] 我们借由它去台湾展现的最新的进展
[1369.10-1371.10] 那接下来呢
[1371.10-1373.10] 我来跟各位报告一下
[1373.10-1376.10] 公司三个营运指数的营运概况
[1376.10-1378.10] 那首先在Bitway的部分
[1378.10-1380.10] Bitway第一季的营运
[1380.10-1384.10] 因为TV在去年底解禁的销售场合
[1384.10-1386.10] 那存货是持续下降
[1386.10-1390.10] 那供应链因此进行了这个库存的恢复
[1390.10-1395.10] 那同时间配合大陆区的这些太旧换新的股票
[1395.10-1398.10] 所以整个TV的第一季表现是又逾期
[1398.10-1401.10] 那IT的产品
[1401.10-1404.10] 我们看到虽然传统来讲Q1是暂期
[1404.10-1408.10] 但是因为受到关税的这个不确定影响
[1408.10-1410.10] 客户有一些提前备货
[1410.10-1412.10] 所以在我们第一季看到这个IT产品
[1412.10-1414.10] 需求减少的幅度
[1414.10-1418.10] 低于过往的这个季节性的一个表现
[1418.10-1420.10] 那整体而言
[1420.10-1425.10] 第一季的IT是有看到一些因应可能的关税
[1425.10-1427.10] 产生的提早拉拨的情形
[1427.10-1432.10] 那4月初这个美国宣布的关税的措施之后
[1432.10-1437.10] 其实是一开始是对IT的需求是有产生的一个冲击
[1437.10-1440.10] 我们中间看到一些政策的调整
[1440.10-1443.10] 以及客户还有ODM生产基地的调配
[1443.10-1447.10] 目前看起来第二季对我们的影响应该也会减少很多
[1447.10-1450.10] 那甚至有一些部分产品出现一些挤单
[1450.10-1452.10] 我们也需要应对
[1452.10-1454.10] 那所以总体来看
[1454.10-1457.10] 在第一季这样的一个比较高的基期情况下
[1457.10-1461.10] 以及我们持续优化产品线的这样一个策略
[1461.10-1464.10] 我们对比特别第二季的营收的看法
[1464.10-1467.10] 相较第一季会略微的下滑
[1467.10-1471.10] 那当然关税后续还是有一些不确定性
[1471.10-1473.10] 那我们会配合客户
[1473.10-1479.10] 在各个生产据点的需求弹性调度我们的各个厂区的产能
[1479.10-1485.10] 然后按照一贯的汉区生产这样的一个策略来作为供给
[1485.10-1491.10] 那当然最重要还是要观察关税对于美国还有全球中端消费的影响
[1491.10-1497.10] 那在于第二个部分在于这个Mobility扯入群的部分
[1497.10-1502.10] 那我们第一季整体的需求是稳定中
[1503.10-1505.10] 持续成长
[1505.10-1509.10] 那在这个高顾价价值专案的占比持续提升
[1509.10-1513.10] 以及我们看到大陆市场受到这个补贴的刺激
[1513.10-1516.10] 以及大陆车海外销量增加的带动
[1516.10-1521.10] 带动我们整个Mobility solution的营收的成长是优于预期
[1521.10-1528.10] 那往后看我们看到关税效应对第一季Mobility的出货没有什么影响
[1528.10-1532.10] 那第二季之后我们也看到友达的生产基地
[1533.10-1536.10] 刚刚Poyer提到我们在并购BATC之后
[1536.10-1542.10] 其实在两岸之外全球各个主要市场都有相应的制造配套
[1542.10-1548.10] 所以有更多的资源可以协助客户来面对这些关税的冲击
[1548.10-1552.10] 尤其是我们这个销往美国的这些车用产品
[1552.10-1555.10] 目前大部分都是通过新加坡出货
[1555.10-1558.10] 那在这个对不起通过墨西哥出货
[1558.10-1563.10] 那在墨西哥有这个USMCA的架构之下
[1563.10-1568.10] 目前来看车用是享有零关税的这样一个优势
[1568.10-1571.10] 所以对第二季的出货并没有太大的影响
[1571.10-1578.10] 所以接下来我们也希望藉由这种前后段产的多元布局
[1578.10-1581.10] 那以及全球的这样一个制造的能力
[1581.10-1584.10] 来争取未来更多中长期的订单
[1584.10-1586.10] 因为在这样多变的情况下
[1586.10-1588.10] 其实车用客户更在意
[1588.10-1591.10] 越来越在意整个供应链的韧性
[1593.10-1595.10] 那展望第二季
[1595.10-1599.10] 我们第二季Mobility Solutions的营收估计
[1599.10-1603.10] 会比第一季大概少Loading Godages
[1603.10-1606.10] 那这个大概是由于第一季机器稍微高
[1606.10-1610.10] 以及客户专案行程的一些差异所造成的
[1610.10-1614.10] 那回顾我们并购BSTC
[1614.10-1617.10] 到现在大概刚好一年多一点点
[1617.10-1621.10] 那我们双方结合的动效也在过去这几个季度
[1621.10-1623.10] 那双方共同努力下
[1623.10-1626.10] 已经开始出现展现出来
[1626.10-1632.10] 那我这里也跟大家报告一个很开心的成果
[1632.10-1638.10] 就是我们最近结合了BSTC这个非常优异的Tier1的
[1638.10-1640.10] 这样的一个实际跟能力
[1640.10-1643.10] 以我们友达在车用显示面板的技术
[1643.10-1645.10] 跟整体的资源
[1645.10-1648.10] 那我们最近取得了一个全新的
[1648.10-1651.10] 全球的大型车厂Distract HMI的订单
[1651.10-1654.10] 那这个是为什么说很高兴呢
[1654.10-1657.10] 因为这是之前我们双方各自单打独斗的时候
[1657.10-1659.10] 都想争取的新客户
[1659.10-1662.10] 那不过过去因为资源的限制
[1662.10-1665.10] 或者软硬体整合能力的这个差异呢
[1665.10-1668.10] 我们过去就没有这样的很好的成果
[1668.10-1670.10] 那这一次终于在双方结合之下
[1670.10-1673.10] 成功取得这个客户的新订单
[1673.10-1676.10] 那后续我想也以这个基础呢
[1676.10-1680.10] 积极争取我们其他车款的更大的订单
[1681.10-1684.10] 然后持续朝向双位数
[1684.10-1687.10] 我们所定下的这个Mobility Solution
[1687.10-1691.10] 双位数年符合成长率的目标持续往前行
[1691.10-1696.10] 那第三在这个垂直市场这一块
[1696.10-1697.10] Vertical Solution这一块
[1697.10-1701.10] 第一季在工商用的面板
[1701.10-1702.10] 跟智慧场域的应用
[1702.10-1705.10] 我们可以看到的是需求是回升的
[1705.10-1707.10] 所以整体的盈余符合预期
[1707.10-1711.10] 那第二季我们虽然看到有一小部分的客户的
[1711.10-1713.10] 新订单受到关税的影响
[1713.10-1716.10] 不过我们评估起来Vertical Solution的
[1716.10-1720.10] 这一块受到影响的大概
[1720.10-1723.10] 大概只有low single digit
[1723.10-1729.10] 那整体来看第二季Vertical Solution
[1729.10-1732.10] 应该相对第一季还会有
[1732.10-1735.10] mid to high single digit的成长
[1735.10-1739.10] 那我想补充一下这些刚刚说到的
[1739.10-1741.10] 受到关税影响的这些Vertical Solution
[1741.10-1742.10] 的客户
