[0.00-3.00] 各位來賓大家好
[340.00-343.00] 國際整個貿易的一個不確定性
[343.00-345.00] 到目前為止相當高
[345.00-346.00] 所以今年度來講
[346.00-348.00] 可能在變化會比較大一點
[348.00-349.00] 下一頁
[350.00-352.00] 好
[352.00-354.00] 那我想接下來說明一下
[354.00-357.00] 我們副總公司對未來的一個展望
[357.00-359.00] 下一頁
[359.00-365.00] 我們今年成立研發中心
[365.00-369.00] 當然你們也有可能會認識我們的產品
[369.00-370.00] 我們製作製品的部分
[370.00-375.00] 我們要去大量的往工作坊這個方向去增加
[375.00-376.00] 做轉移
[376.00-379.00] 那另外在產業用也是我們
[379.00-381.00] 更長遠的計畫
[381.00-383.00] 那因為這些產品
[383.00-386.00] 事實上它從原料製造到染成到後加工
[386.00-388.00] 它本身來講都有相當嚴格的規範
[388.00-389.00] 特別是在說
[389.00-394.00] 特別是針對一些比較安全性相關的工作的部分
[394.00-396.00] 像它在各種任何認證
[396.00-398.00] 在各種工法的一個
[398.00-400.00] 事實上都有相當嚴格的規範
[400.00-403.00] 那這些當我們可以去
[403.00-406.00] 當我們研發中心可以去做這樣的一個研發
[406.00-408.00] 讓整體工業可以做這樣的一個開發的時候
[408.00-411.00] 實際上這個表示說我們在整個的營業
[411.00-413.00] 我們在整個產品跟技術與生產
[413.00-414.00] 整體上面來講
[414.00-417.00] 有一個很大的提升
[417.00-419.00] 那這也讓公司在整體上來講
[419.00-421.00] 可以有一個更進的發展
[421.00-423.00] 那另外第二點
[423.00-425.00] 配合研發中心
[425.00-427.00] 我們也成立了管制之夜市
[427.00-429.00] 然後我們希望從
[429.00-432.00] 在研發中心裡面有一個很重要的功能
[432.00-434.00] 就是我們希望從原料商來講
[434.00-436.00] 做一個多一發的產品
[436.00-437.00] 那這對我們在
[437.00-439.00] 不管在我們交工資
[439.00-442.00] 或者說在資品上面來講的一個
[442.00-443.00] 開發發展的
[443.00-445.00] 都具有相當重要的一個作用
[445.00-446.00] 那第三點
[446.00-449.00] 我們自創的設計品牌
[449.00-450.00] 叫Sennara
[450.00-451.00] 那這部我們繼續在
[451.00-454.00] 在已經不同的事業在做推廣
[454.00-455.00] 那第四點
[455.00-457.00] 因為今年四月初
[457.00-458.00] 美國關稅
[458.00-460.00] 美國宣布它不同的關稅政策
[460.00-462.00] 那當然目前是漲反
[462.00-464.00] 但是到7月8號
[464.00-466.00] 就是它所謂的一個反中期
[467.00-469.00] 就是漲反到7月8號
[469.00-470.00] 那所以目前來講
[470.00-472.00] 整體客戶
[472.00-474.00] 全世界在三星品牌客戶
[474.00-476.00] 跟美國相關品牌客戶
[476.00-478.00] 大概都呈現一個觀望的狀況
[478.00-479.00] 那當然這個
[479.00-481.00] 這樣的一個狀況
[481.00-484.00] 那我想等到這些不同的關稅
[484.00-485.00] 等待落地之後
[485.00-487.00] 勢必會引起整個工業的重組
[487.00-490.00] 那這也是我們必須要去面對的特性
[490.00-492.00] 那今年在五月部分
[492.00-493.00] 五月初的時候
[493.00-495.00] 台幣強勢升值
[495.00-497.00] 那升值超過10%
[497.00-500.00] 那事實上以那段時間只有台幣
[500.00-501.00] 相對其他亞洲貨幣來講
[501.00-502.00] 只有台幣升值
[502.00-504.00] 而且因為升值過快
[504.00-508.00] 所以這對於我們出口為主這樣的場合來講
[508.00-509.00] 實際上相當獨立
[509.00-511.00] 那所以以今年度來講
[511.00-514.00] 整體的補血利益性因素還相當的高
[514.00-516.00] 不管是在關稅這邊
[516.00-520.00] 或者說在整個匯率的升值
[520.00-521.00] 台幣匯率的升值來講
[521.00-523.00] 我想在下半年度
[523.00-525.00] 當然有相當多的一個變化
[525.00-526.00] 那這也是
[526.00-528.00] 公司在整體來講
[528.00-529.00] 我們必須要
[529.00-531.00] 可能成所一步步去應對
[531.00-533.00] 那當然就整個長期上來講
[533.00-535.00] 轉型期間之內
[535.00-536.00] 我們所面對的
[536.00-539.00] 是這些國際整個貿易跟供應鏈
[539.00-541.00] 還有整個匯率是個不確定的狀況
[541.00-544.00] 那這些當然我們在整體的一個
[544.00-545.00] 營運跟貨幣上來講
[545.00-547.00] 世界會受到相當程度的影響
[547.00-549.00] 但是就整個長遠發展來講
[549.00-551.00] 我們所集結的幾個計畫
[551.00-553.00] 包含在整個產品的關係
[553.00-555.00] 然後到整個的一個
[556.00-558.00] 研發中心的一個持續的一個推廣
[558.00-559.00] 到到我們品牌推廣
[559.00-561.00] 這些仍然是我們不變的計畫
[561.00-565.00] 因為對公司的發展來講
[565.00-568.00] 它是對公司發展的一個轉型非常重要
[568.00-569.00] 所以轉型期間之內
[569.00-572.00] 我們面對的是關稅跟匯率在變化
[572.00-573.00] 那長期來講
[573.00-574.00] 我們持續發展
[574.00-576.00] 我們的目標好一點發展
[576.00-579.00] 也希望持續推動公司的一個
[579.00-581.00] 整個營運模式一個轉機
[581.00-585.00] 那以上就是我們對整個未來的狀況
[586.00-589.00] 以上就是整個臺灣副總公司
[589.00-591.00] 對過去這段時間來
[591.00-593.00] 還有在未來的一個
[593.00-594.00] 我們對外的展望
[594.00-596.00] 那所有的請教說明
[596.00-599.00] 那以上就謝謝大家的一個影響
