[0.00-5.40] 主持人我們就先介紹今天的與會嘉賓
[262.70-264.70] 台灣佔45%
[264.70-267.70] 另外澳洲跟美國這邊的合約客戶
[267.70-270.70] 大概分別佔30%跟24%
[273.70-276.70] 接下來是第三個產品HDP的部分
[276.70-279.70] 營業額看得出來比較明顯的下降
[279.70-281.70] 大概掉了超過20%
[281.70-284.70] 最主要是量比較明顯的下來
[284.70-286.70] 從去年第四季的大概
[286.70-289.70] 一季賣7萬4千噸
[289.70-292.70] 現在掉到第一季的5萬7千噸
[292.70-294.70] 量掉的原因的話
[294.70-296.70] 最主要原因就是需求比較疲弱
[296.70-299.70] 剛好第一季是從農曆春節的關係
[301.70-304.70] 價格部分反而是有微幅上漲2.3%
[304.70-307.70] 最主要是我們減少了一些比較
[307.70-309.70] 低價的外銷訂單
[309.70-311.70] 因為PE產品大家應該都知道
[311.70-313.70] 現在供貴求的狀況比較嚴重
[313.70-315.70] 如果你在銷售的時候
[315.70-318.70] 連邊際貢獻、Cashmach都沒有的話
[318.70-320.70] 基本上我們這些訂單也沒有辦法賣
[320.70-322.70] 所以我們有一些比較低價的訂單
[322.70-324.70] 這邊就把它取消掉
[324.70-326.70] 所以感覺上量是少的
[326.70-330.70] 但是平均單價的部分反而是稍微提高的
[332.70-334.70] 交動率的部分的話
[334.70-338.70] 因為PE的供貴求狀況很嚴重
[338.70-340.70] 所以現在交動率到今年第一季
[340.70-343.70] 大概只剩下35.5%左右而已
[343.70-345.70] 因為需求也是很疲弱
[347.70-348.70] 在Market的部分
[348.70-351.70] 反而是有稍微比較改善一點
[351.70-354.70] 就如同剛跟大家報告的
[354.70-356.70] 我們減少了一些比較低價
[356.70-358.70] 而且沒有利潤的訂單
[358.70-360.70] 所以雖然交動率有低一點
[360.70-364.70] 但是整個毛利跟營業利益率趨勢是往上
[364.70-366.70] 這一頁可以看得出來說
[366.70-368.70] 其實以銷售地區來講
[368.70-371.70] 基本上還是以台灣為主占613%
[371.70-375.70] 大陸跟東南亞這兩個分別占25%跟7%
[378.70-380.70] 接下來是EVA這個產品
[380.70-383.70] 這個產品看得出來營業額是稍微增加
[383.70-385.70] 增加了大概11.7%
[385.70-387.70] 從右邊的柱狀圖來看的話
[387.70-390.70] 就是銷售的量跟價都是往上漲的
[390.70-392.70] 量會增加的原因是
[392.70-396.70] 大陸針對太陽能封裝模需求是有增加
[396.70-398.70] 在第一季增加的
[398.70-401.70] 這個原因其實就是在今年2月初的時候
[401.70-405.70] 大陸有宣布一個光伏的新能源政策
[405.70-408.70] 就是你在5月底之前
[408.70-410.70] 這些太陽能必須要安裝發電
[410.70-412.70] 才可以享有店家的補貼優惠
[412.70-414.70] 5月底之前沒有辦法完成的話
[414.70-416.70] 就沒有這個補貼優惠
[416.70-418.70] 所以那時候政策一宣布出來的時候
[418.70-420.70] 價跟量都明顯的稍微增加了
[420.70-422.70] 最下面價的增加
[422.70-426.70] 跟去年第四季比也是大概增加了4.6%
[426.70-428.70] 那加動率的部分的話
[428.70-430.70] 因為這個狀況比較好
[430.70-434.70] 所以加動率現在在今年第1季是超過100%
[434.70-438.70] 跟去年第四季比大概足足多了10%
[438.70-440.70] 那馬總部分的話
[440.70-442.70] 也有提到加動率的部分
[442.70-444.70] 就是在今年第四季的增加
[444.70-446.70] 那馬總部分的話
[446.70-448.70] 也是因為剛剛提到的價跟量都是增加的
[448.70-452.70] 所以無論是毛利還是營業利率的部分
[452.70-454.70] 在今年第1季都轉成正的
[454.70-456.70] 毛利是4.6%
[456.70-458.70] 那OP部分的話是0.9%
[460.70-462.70] 那以銷售地區來講的話
[462.70-464.70] 因為剛剛提到就是大陸這邊的一個新能源政策
[464.70-466.70] 所以現在以EVA來講的話
[466.70-468.70] 台灣的銷售其實現在比重非常低
[468.70-470.70] 大概只有2%
[470.70-472.70] 那最主要還是蠻大的
[472.70-474.70] 那東安陽的部分也有佔28%
[474.70-476.70] 那其實以這兩個主要地點加起來的話
[476.70-478.70] 就是超過9成都是以外銷為主
[480.70-482.70] 那接下來是LLDP的部分
[484.70-486.70] 那營業額看起來是往下掉了超過2成
[486.70-488.70] 減少了20.5%
[488.70-490.70] 那最主要是量的減少
[490.70-492.70] 那量的減少的話就是因為現在
[492.70-494.70] 真的是需求比較疲弱
[494.70-496.70] 而且如同跟大陸的銷售地區
[496.70-498.70] 其實是有一點點差
[498.70-500.70] 那現在是有一點點差
[500.70-502.70] 那其實也是稍微拉上來
[502.70-504.70] 那其實這個原因跟剛剛HDP一樣
[504.70-506.70] 我們就是減少一些比較低價
[506.70-508.70] 沒有獲利的外銷的訂單
[510.70-512.70] 那生產量的部分的話
[512.70-514.70] 因為剛剛提到是整個市場是
[514.70-516.70] 第一市場供過於求
[516.70-518.70] 所以這個在第一季的時候
[518.70-520.70] 這個LLDP的產品的價動率
[520.70-522.70] 已經降到大概50%左右了
[524.70-526.70] 那跟確實的市場供過於求
[526.70-528.70] 那其實是比較低價
[528.70-530.70] 那跟去年第四季比
[530.70-532.70] 大概已經掉了20%了
[532.70-534.70] 那最主要還是因為
[534.70-536.70] 庫存如果偏高的話
[536.70-538.70] 我們必須減產來調整一下庫存
[538.70-540.70] 避免庫存的擠壓
[540.70-542.70] 那再過來是毛利跟
[542.70-544.70] OP Margin的部分
[544.70-546.70] 這個狀況還是不好的
[546.70-548.70] 那最主要是現在整個
[548.70-550.70] 價動率的部分是低於5成的
[550.70-552.70] 那以銷售地區來講的話
[552.70-554.70] 其實
[554.70-556.70] 美國這邊占43%
[556.70-558.70] 那最主要是我們在美國那邊有一家
[558.70-560.70] 子公司FIC
[560.70-562.70] 那邊最主要是
[562.70-564.70] 生產LLDP為主
[564.70-566.70] 那他在當地的銷售蠻多的
[566.70-568.70] 所以USA的部分大概
[568.70-570.70] 是占43%
[570.70-572.70] 那台灣還有占21%
[572.70-574.70] 那歐洲部分的話
[574.70-576.70] 大部分都是美國那邊的生產
[576.70-578.70] 然後賣到歐洲去
[578.70-580.70] 那再過來像這邊還有看到中南美洲
[580.70-582.70] 那也是美國廠那邊的生產
[582.70-584.70] 然後賣到中南美洲去
[586.70-588.70] 那再過來的產品是A1的部分
[588.70-590.70] 營業額跟去年第四季相比
[590.70-592.70] 只有微幅的衰退
[592.70-594.70] 4.4%
[594.70-596.70] 那最主要看起來是量的減少
[596.70-598.70] 那量的減少的原因就是跟剛之前某個產品一樣
[598.70-600.70] 還是因為農曆過年的關係
[600.70-602.70] 不過價格的部分
[602.70-604.70] 是有點往上漲的
[604.70-606.70] 那價格會漲的原因是因為在
[606.70-608.70] 大陸這邊因為有些同業
[608.70-610.70] 他有這個臨時的
[610.70-612.70] 意外的狀況
[612.70-614.70] 非預期性的
[614.70-616.70] 那就是因為有一個停車
[616.70-618.70] 所以價格有微幅的上漲
[618.70-620.70] 2.9%
[620.70-622.70] 那在駕動力的部分的話
[622.70-624.70] 大概跟去年第四季差不多
[624.70-626.70] 都維持在大概84%上下
[628.70-630.70] 那
[630.70-632.70] 毛利跟營業利率的部分
[632.70-634.70] 看起來是都跟去年第四季
[634.70-636.70] 比較明顯的改善
[636.70-638.70] 尤其是OP的部分
[638.70-640.70] 在今年第一季是轉到正的
[640.70-642.70] 跟去年第四季-1.7%比起來
[642.70-644.70] 在今年第一季有正的3.1%
[644.70-646.70] 那最主要就是剛剛提到這個價格是上漲的
[648.70-650.70] 那在銷售地區的話
[650.70-652.70] 因為這個產品我們在寧波跟台灣都有產
[652.70-654.70] 所以基本上
[654.70-656.70] 無論是寧波當地的做內銷
[656.70-658.70] 或是台灣這邊賣到那邊做
[658.70-660.70] 交通公司的外銷
[660.70-662.70] 那基本上這個銷售地區的占比
[662.70-664.70] 大陸是占了56%
[664.70-666.70] 那台灣有25%
[666.70-668.70] 那第三個部分
[668.70-670.70] 南亞12%這最主要都是賣到印度去的
[672.70-674.70] 那再過來是
[674.70-676.70] SAP高吸水性數值的部分
[676.70-678.70] 那營業額往下掉了8.2%
[678.70-680.70] 那最主要從右邊的柱狀圖
[680.70-682.70] 看得出來最主要是
[682.70-684.70] 量的減少
[684.70-686.70] 那量減少原因一樣遇到第一季是農曆過年的關係
[686.70-688.70] 那價格為福樂上漲
[688.70-690.70] 最主要是上流的原料AA
[690.70-692.70] 是供應比較吃緊的
[692.70-694.70] 那成本推升的關係
[694.70-696.70] 那在加動率的部分
[696.70-698.70] 大概在90%上下
[698.70-700.70] 那它今年第一季
[700.70-702.70] 稍微低一點
[702.70-704.70] 是因為我們在這個
[704.70-706.70] 無論是興康廠或是賣藥廠這邊
[706.70-708.70] 都有安排一些
[708.70-710.70] 停車稅休
[710.70-712.70] 那有些部分其實是要生產一些
[712.70-714.70] 特殊規格的
[714.70-716.70] 那是for客戶的需求的
[716.70-718.70] 所以第一季的加動率稍微比較低一點
[720.70-722.70] 那Margin部分的話
[722.70-724.70] 稍微往下走
[724.70-726.70] 其實以OP來講的話
[726.70-728.70] 去年第四季跟今年第一季都
[728.70-730.70] 大概是負1%左右的虧損
[730.70-732.70] 那最主要是因為加動率稍微低一點的關係
[734.70-736.70] 那以銷售地區來講的話
[736.70-738.70] 因為一樣SAP我們是在明波跟台灣都有差
[738.70-740.70] 所以大陸的銷售大概占35%
[742.70-744.70] 那美國那邊
[744.70-746.70] 最主要是賣到墨西哥這邊
[746.70-748.70] 所以這邊有占了26%
[748.70-750.70] 那也就是最主要是
[750.70-752.70] 我們把我們的SAP賣到這個
[754.70-756.70] 國際的這個紙尿褲的大廠這邊
[756.70-758.70] 那東南亞11%
[758.70-760.70] 歐洲10%
[760.70-762.70] 其實這個區域算是滿分散的
[764.70-766.70] 那再過來是正丁醇NBA這個產品
[766.70-768.70] 那以營業來講的話
[768.70-770.70] 可以看到一個明顯的成長
[770.70-772.70] 大概是接近翻倍的成長
[772.70-774.70] 那最主要是量跟價
[774.70-776.70] 都是往上走的
[776.70-778.70] 那量會增加的原因是因為我們在去年
[778.70-780.70] 11月25號到12月11號
[780.70-782.70] 是有做一個
[782.70-784.70] 停車稅修的動作
[784.70-786.70] 所以去年第四季的整個量
[786.70-788.70] 是比較少的
[788.70-790.70] 那價格是微幅上漲2.4%
[790.70-792.70] 那加動率的部分
[792.70-794.70] 那如同上一頁跟大家報告的
[794.70-796.70] 我們第一季的加動率比去年第四季高
[796.70-798.70] 那最主要是去年第四季有安排
[798.70-800.70] 停車稅修
[800.70-802.70] 那Margin的部分的話
[802.70-804.70] 有稍微改善
[804.70-806.70] 不過這個產品目前的狀況
[806.70-808.70] 還是不好
[808.70-810.70] 無論是毛利還是營業利率都還是負的
[810.70-812.70] 不過改善的原因就是剛
[812.70-814.70] 前面兩頁看到了
[814.70-816.70] 我的加動率跟ASP都是比較高的
[816.70-818.70] 那以銷售地區來講的話
[818.70-820.70] 我們有
[820.70-822.70] 37%是賣到大陸去
[822.70-824.70] 那台灣有26%
[824.70-826.70] 那東北亞部分這邊有20%
[826.70-828.70] 那南亞有8%
[828.70-830.70] 那南亞的話一樣是賣到印度為主
[832.70-834.70] 那再過來是碳纖的部分
[834.70-836.70] 營業額的部分往下走
[836.70-838.70] 那其實看起來應該是量
[838.70-840.70] 最主要是量是往下走的
[840.70-842.70] 那量往下走的原因就是
[842.70-844.70] 大陸這邊同業的新產能擴建非常多
[844.70-846.70] 那整個市場是供過於求的
[846.70-848.70] 那不過價格部分往上漲的話
[848.70-850.70] 跟剛前面PE的產品一樣是
[850.70-852.70] 我們減少一些比較低價的
[852.70-854.70] 這個低價的
[854.70-856.70] 這些規格的訂單
[858.70-860.70] 那加動率的部分的話
[860.70-862.70] 這個是比較低一點
[862.70-864.70] 今天第一季大概只剩下58.6%
[864.70-866.70] 是比較低於
[866.70-868.70] 去年第四季的73.9%
[868.70-870.70] 那最主要因為也是剛前一頁所提到的
[870.70-872.70] 大陸這邊有新產能的投產
[872.70-874.70] 市場的競爭是比較激烈
[876.70-878.70] 那Module部分的話
[878.70-880.70] 第一季跟去年第四季是比較明顯的下滑
[880.70-882.70] 除了剛提到的比較低的加動率之外
[882.70-884.70] AN這個產品
[884.70-886.70] 就是它的原料
[886.70-888.70] 在第一季的狀況算是比較好
[888.70-890.70] 反而是因為AN成本的增加
[890.70-892.70] 讓它的Module變得比較差一點
[894.70-896.70] 那以銷售地區來講的話
[896.70-898.70] 基本上還是有六成是賣到大陸的
[898.70-900.70] 那台灣只有佔兩成
[900.70-902.70] 那歐洲有法輪功9%
[902.70-904.70] 那再過來就東南亞5%
[908.70-910.70] 那再過來是AN的部分
[910.70-912.70] 那以銷售的狀況來講的話
[912.70-914.70] 跟去年第四季比
[914.70-916.70] 營業額是增加了快7%
[916.70-918.70] 那最主要是剛剛提到價格上漲
[918.70-920.70] 那這個價格上漲也是因為剛剛提到
[920.70-922.70] 那個AN的這個狀況會變得不好
[922.70-924.70] 容易的原因
[924.70-926.70] 那量的部分是微幅下跌了2.6%
[926.70-928.70] 那價格漲的原因
[928.70-930.70] 最主要是
[930.70-932.70] 大陸這邊有一些同業的稅休
[932.70-934.70] 稅休的量還比較大
[934.70-936.70] 所以整個市場供應比較吃緊價格上漲
[938.70-940.70] 那加動率的部分的話
[940.70-942.70] 我們現在這個
[942.70-944.70] 因為去年的在
[944.70-946.70] 12月12到今年的1月4號
[946.70-948.70] 有做一個停車稅休的動作
[948.70-950.70] 所以它在去年第四季加動率比較低
[950.70-952.70] 只有87.3%
[952.70-954.70] 所以稅休完恢復正常生產
[954.70-956.70] 那整個加動率就可以超過100多赫色
[958.70-960.70] 那也是因為在第一季的狀況比較好
[960.70-962.70] 而且這樣我們稅休結束
[962.70-964.70] 所以因為你的價格高
[964.70-966.70] 加動率也高所以在第一季的時候
[966.70-968.70] 我們的無論是毛利還是
[968.70-970.70] 營業利率的部分都比去年第四季
[970.70-972.70] 看起來比較明顯的
[972.70-974.70] 明顯的改善甚至是
[974.70-976.70] 這個都是賺錢的
[976.70-978.70] 那以銷售地區來講的話
[978.70-980.70] 我們現在大概超過一半是
[980.70-982.70] 賣到南亞主要是賣到印度那邊去
[982.70-984.70] 但是台灣還是有維持一個
[984.70-986.70] 基本盤大概有37%
[990.70-992.70] 那MMA這個產品的話
[994.70-996.70] 看這個柱狀圖感覺上就是
[996.70-998.70] 營業額下降
[998.70-1000.70] 那右邊的話其實最主要線往下走
[1000.70-1002.70] 就是價格是往下跌了
[1002.70-1004.70] 那量其實還是有稍微增加的
[1004.70-1006.70] 那價格比較明顯的
[1006.70-1008.70] 下跌大概跟
[1008.70-1010.70] 去年第四季的價格比大概別了11.5%
[1010.70-1012.70] 那最主要是大陸這邊
[1012.70-1014.70] 一些新產能有持續的
[1014.70-1016.70] 投入然後
[1016.70-1018.70] 整個市場是供過於求的狀況
[1020.70-1022.70] 那加動率的部分的話
[1022.70-1024.70] 因為這個製程是跟AN搭配的
[1024.70-1026.70] 所以他
[1026.70-1028.70] 一樣在去年第四季
[1028.70-1030.70] 去年12月12到今年1月7號有安排稅休
[1030.70-1032.70] 所以去年
[1032.70-1034.70] 第四季的加動率比較低
[1034.70-1036.70] 那今年第一季就
[1036.70-1038.70] 回復到全能生產有超過100%
[1040.70-1042.70] 那以他的毛利率
[1042.70-1044.70] 或營業利率來講
[1044.70-1046.70] 雖然說狀況
[1046.70-1048.70] 開始變差了但是現在這個產品
[1048.70-1050.70] 還是有獲利的所以
[1050.70-1052.70] 毛利還有大概18%
[1052.70-1054.70] 那營業利率也有12.6%
[1054.70-1056.70] 不過下降的原因最主要是因為
[1056.70-1058.70] 這個同業的新產能
[1058.70-1060.70] 增加那價格趨勢再往下
[1062.70-1064.70] 那以銷售地區別來看的話
[1064.70-1066.70] 台灣跟東南亞銷售差不多
[1066.70-1068.70] 台灣39%
[1068.70-1070.70] 東南亞35%
[1070.70-1072.70] 那有部分是賣到美國那邊去
[1072.70-1074.70] 那南亞就是印度那邊
[1074.70-1076.70] 也有7%
[1078.70-1080.70] 那特化的最後一個產品MTBE的部分
[1080.70-1082.70] 營業額看起來比較明顯的
[1082.70-1084.70] 增加
[1084.70-1086.70] 那最主要是量的增加
[1086.70-1088.70] 那量的增加的原因最主要是去年第四季
[1088.70-1090.70] 的時候
[1090.70-1092.70] 從台多石化那邊來的原料
[1092.70-1094.70] 就是那個電源氣脆油的供應
[1094.70-1096.70] 去年第四季比較不足
[1096.70-1098.70] 那今年第一季供應比較多
[1098.70-1100.70] 所以我們的整個
[1100.70-1102.70] 銷售量或是
[1102.70-1104.70] 都是上來的那價格上漲的原因
[1104.70-1106.70] 最主要是跟隨著這個原油價格的波動
[1108.70-1110.70] 那生產量
[1110.70-1112.70] 增加就是剛剛提到
[1112.70-1114.70] 台多石化在第一季的時候
[1114.70-1116.70] 這個原料BPR的供應是增加的
[1118.70-1120.70] 那Margin部分的話呢因為整個
[1120.70-1122.70] 產品是提高而且價格也往上漲了
[1122.70-1124.70] 所以在以OP的角度來講的話
[1124.70-1126.70] 去年第四季是虧的
[1126.70-1128.70] 但是今年第一季已經
[1128.70-1130.70] 有虧轉贏
[1132.70-1134.70] 那銷售部分的話
[1134.70-1136.70] 那這個就全部100%賣給台多石化做汽油的添加劑
[1138.70-1140.70] 那最後一個產品是PP的部分
[1140.70-1142.70] 營業額比較明顯的
[1142.70-1144.70] 下降大概
[1144.70-1146.70] 掉了18.5%
[1146.70-1148.70] 那最主要是銷售量的減少
[1148.70-1150.70] 那在第一季的時候呢
[1150.70-1152.70] 這個因為農曆過年的關係
[1152.70-1154.70] 需要比較疲弱
[1154.70-1156.70] 所以量的話現在一季只剩下大概
[1156.70-1158.70] 賣18萬噸
[1158.70-1160.70] 那價格的部分的話呢是大概
[1160.70-1162.70] 微幅上漲了1.6%
[1164.70-1166.70] 那交通率的部分的話
[1166.70-1168.70] 現在大概都在八成上下
[1168.70-1170.70] 那
[1170.70-1172.70] 第一季有一個比較特殊的
[1172.70-1174.70] 應該是說我們在2月24到3月8號
[1174.70-1176.70] 林園廠那邊有做一個
[1176.70-1178.70] 零售的部分
[1178.70-1180.70] 那最主要還是因為下午需求不好
[1180.70-1182.70] 也是要控制顧存
[1182.70-1184.70] 那在Margin部分的話呢
[1184.70-1186.70] 跟第四
[1186.70-1188.70] 跟去年第四比都有一點點的微幅改善
[1188.70-1190.70] 那最主要就是剛剛提到
[1190.70-1192.70] 價格部分有稍微高一點點
[1194.70-1196.70] 那最後這個銷售地區的話
[1196.70-1198.70] 因為我們在台灣寧波都有廠
[1198.70-1200.70] 那所以
[1200.70-1202.70] 整個大陸大概占比現在高達七成
[1202.70-1204.70] 那台灣只剩下20%
[1204.70-1206.70] 那剩下有少量的部分是賣到
[1206.70-1208.70] 東南亞跟南亞
[1210.70-1212.70] 那以上呢就是我們這個
[1212.70-1214.70] 產品部分的一些
[1214.70-1216.70] 說明
[1216.70-1218.70] 那接下來呢就看
[1218.70-1220.70] 各位投資人這邊有什麼問題
[1220.70-1222.70] 然後讓大家提問我們直接進入
[1222.70-1224.70] 所謂的Q&A的環節
[1224.70-1226.70] 那感謝劉敬宇為
[1226.70-1228.70] 各位做的簡報說明
[1228.70-1230.70] 那接下來我們Q&A的時間
[1230.70-1232.70] 歡迎各位投資法人直接線上提問
[1232.70-1234.70] 那如果不方便直接提問也可以在
[1234.70-1236.70] 留言板以訊息方式提問謝謝
[1262.70-1264.70] 謝謝
[1292.70-1294.70] 留言板有人發問嗎
[1294.70-1296.70] 你這邊看得到嗎
[1296.70-1298.70] 是的
[1298.70-1300.70] 那誰問什麼
[1300.70-1302.70] 等一下我再看一下
[1302.70-1304.70] 這個剛問的是
[1310.70-1312.70] 這邊看不到
[1312.70-1314.70] 聊天
[1314.70-1316.70] OK
[1316.70-1318.70] 這個第一項這個
[1318.70-1320.70] 油價的走勢
[1320.70-1322.70] 現在這個
[1322.70-1324.70] 就看那個以一的戰爭
[1324.70-1326.70] 會不會在進一步的
[1326.70-1328.70] 惡化現在看起來油價
[1328.70-1330.70] 已經跌到像年初了
[1330.70-1332.70] 比他年初的價格更低
[1332.70-1334.70] 不過我想再下去的
[1334.70-1336.70] 的那個應該是有限
[1336.70-1338.70] 那另外最近這個台幣的
[1338.70-1340.70] 強生當然對我們的影響
[1340.70-1342.70] 蠻大因為我們現在
[1342.70-1344.70] 6成以上是外銷的
[1344.70-1346.70] 而且我們有
[1346.70-1348.70] 有一些美元的定存
[1348.70-1350.70] 所以這個
[1350.70-1352.70] 每升值1%
[1352.70-1354.70] 對我們的營業
[1354.70-1356.70] 大概會影響0.6%
[1356.70-1358.70] 左右毛利大概會降了
[1358.70-1360.70] 0.10%
[1362.70-1364.70] 第二像這個
[1364.70-1366.70] 虧損的第二劑
[1366.70-1368.70] 本業虧損的情況
[1368.70-1370.70] 第二劑本業的話
[1370.70-1372.70] 我們之前在股東會
[1372.70-1374.70] 也有報告過
[1374.70-1376.70] 因為學著這個對等關稅
[1376.70-1378.70] 以及這個
[1378.70-1380.70] 台幣升值第二劑
[1380.70-1382.70] 升值那個將近有4
[1382.70-1384.70] 蠻多的對我們的
[1384.70-1386.70] 營業額以及對損
[1386.70-1388.70] 的情況會蠻嚴重的
[1388.70-1390.70] 所以本業
[1390.70-1392.70] 應該虧損會比
[1392.70-1394.70] 第一劑還更
[1394.70-1396.70] 差啦
[1396.70-1398.70] 第三劑跟第四劑
[1398.70-1400.70] 雖然第三劑是忘記
[1400.70-1402.70] 不過這個都要看
[1402.70-1404.70] 油價以及
[1404.70-1406.70] 台幣的走勢
[1406.70-1408.70] 以及這個
[1408.70-1410.70] 對等關稅最後7月9號
[1410.70-1412.70] 之後看川普最後
[1412.70-1414.70] 的決定
[1414.70-1416.70] 是怎樣這蠻多變數的
[1416.70-1418.70] 所以在這裡
[1418.70-1420.70] 講因為油價
[1420.70-1422.70] 下跌對我們來講是
[1422.70-1424.70] 成本降低對我們是
[1424.70-1426.70] 有利的還有一點跟
[1426.70-1428.70] 現在中國大陸
[1428.70-1430.70] 的魚丸最近
[1430.70-1432.70] 6月4號的時候
[1432.70-1434.70] 美國他有
[1434.70-1436.70] 管制他的魚丸出口
[1436.70-1438.70] 這個部分
[1438.70-1440.70] 中國大陸有魚丸
[1440.70-1442.70] 裂解廠的乙烯
[1442.70-1444.70] 大概一年有800萬噸
[1444.70-1446.70] 他佔中國大陸
[1446.70-1448.70] 乙烯的產能大概有15%
[1448.70-1450.70] 所以他一年要進口
[1450.70-1452.70] 大概1000萬噸的
[1452.70-1454.70] 魚丸其中
[1454.70-1456.70] 大概有70%的魚丸是來自
[1456.70-1458.70] 來自美國
[1458.70-1460.70] 剩下30%
[1460.70-1462.70] 是依賴中國大陸的資產
[1462.70-1464.70] 以及中東進口
[1464.70-1466.70] 最主要
[1466.70-1468.70] 中國大陸最主要的廠家
[1468.70-1470.70] 主要的有三家
[1470.70-1472.70] 一個是新浦化工一個是萬華化學
[1472.70-1474.70] 最嚴重就是
[1474.70-1476.70] 有一家是衛星石化
[1476.70-1478.70] 這幾家當然都有
[1478.70-1480.70] 從美國來進口魚丸
[1480.70-1482.70] 如果這個管制
[1482.70-1484.70] 原廠對
[1484.70-1486.70] 魚丸
[1486.70-1488.70] 為原料的
[1488.70-1490.70] 清流裂解廠商
