[0.00-4.16] 各位投资线 建议大家午安
[4.16-9.04] 欢迎参加敦泰电子股份有限公司线上法人说明会
[478.02-482.02] 在去年第四季公司是一个汇兑利益的一个关系
[482.02-484.02] 所以汇率养出还蛮大的
[484.02-488.02] 税前经历是年成长154%
[488.02-492.02] 税后经历是成长140.9%
[492.02-496.02] 2023年EPS是0.37元
[496.02-499.02] 去年第四季来到0.86元
[499.02-502.02] 这边大幅成长将近是0.49元
[502.02-503.02] 下一页
[504.02-506.02] 我们看一下全年的表现
[506.02-512.02] 2024年全年的营业收入对比2023年是年成长7.2%
[512.02-517.02] 在毛利率的部分我们是成长了20.3%
[517.02-520.02] 主要就是我营业成长了7.2%
[520.02-528.02] 我这毛利率也从2023年的20%增加了2.4%到22.4%
[528.02-531.02] 所以两个都是有利益因素的情况影响
[531.02-532.02] 营业费用
[532.02-538.02] 2024年比2023年成长了19.6%
[538.02-542.02] 我想是随着公司的营业增加以及投入研发费用的增加
[542.02-545.02] 所以这个部分有增加一部分
[545.02-549.02] 营业的净利来讲我们年度成长是36%
[549.02-556.02] 业外收入2024年跟2023年比增加的将近是1亿1000万台币左右的金额
[556.02-558.02] 年成长是36.6%
[558.02-561.02] 主要受惠就是2023年有些货币的损失
[561.02-563.02] 2020年是汇兑利益
[563.02-567.02] 再加上我们的其他转投资方面的一些利息收入等等
[567.02-569.02] 有比较好的一个表现
[569.02-571.02] 税后净利
[571.02-576.02] 2020年是5亿8千1对比2023年的4亿2千6
[576.02-578.02] 年成长是36%
[578.02-582.02] 税后净利是成长了61%增加比较多
[582.02-587.02] EPS在2020年全年的EPS是2.71元
[587.02-589.02] 对比2023年的1.74元是增加了0.9%
[589.02-591.02] 对比2023年的1.74元是增加了0.9%
[591.02-593.02] 对比2023年的1.74元是增加了0.9%
[593.02-597.02] 接下来我们看一下资产负债表
[597.02-601.02] 我在去年第四季的现金余额是99亿
[601.02-605.02] 对比第三季的部分是有微幅的下滑了4.3%
[605.02-612.02] 这边最主要我想是我们在非流动负债的长期负债方面
[612.02-615.02] 我们把一些房贷的部分还掉了7亿多
[615.02-617.02] 所以使得我现金余额变少
[617.02-621.02] 那应收账款的部分增加了8个元
[621.02-627.02] 这边主要是因为我第四季的营收跟第三季来讲成长的将近是10个元的一个关系
[627.02-629.02] 那存货的变化不大
[629.02-635.02] 那非流动资产这个也就是退税款的部分时间差异也可以退回来
[635.02-638.02] 那非流动资产第四季是45亿
[638.02-641.02] 对比第三季是继减了4.1个元
[641.02-647.02] 这边主要是我从这个金银元厂这边收回了之前付给他们的保证金
[647.02-649.02] 所以我的非流动资产有降一些下来
[649.02-650.02] 所以我的非流动资产有降一些下来
[651.02-655.02] 在流动负债方面来讲第四季流动负债是58亿左右
[655.02-659.02] 对比第四季的5414季成长6.5%
[659.02-667.02] 这边最主要是我在去年第四季针对今年的一些新产品的部分有下一些新的订单
[667.02-669.02] 那这个刚好应付账款贴集
[669.02-672.02] 就刚好在去年底
[672.02-675.02] 那所以这些账款还没有付出去
[675.02-679.02] 那非流动负债去年第四季是27亿4300
[679.02-681.02] 对比第三季的39亿
[681.02-685.02] 那这边最主要原因是因为其实我们在去年第四季针对之前
[685.02-689.02] 那这边最主要原因是因为其实我们在去年第四季针对之前
[689.02-691.02] 客户付给我们的这个产品的保证金
[691.02-693.02] 我们有退还一部分给这个客户的部分
[693.02-695.02] 我们有退还一部分给这个客户的部分
[695.02-697.02] 那整个股东权益来讲去年第四季是101亿
[697.02-699.02] 那整个股东权益来讲去年第四季是101亿
[699.02-701.02] 对比第三季97亿6是继承涨3.6%
[701.02-703.02] 对比第三季97亿6是继承涨3.6%
[703.02-705.02] 那每股净值去年第四季来到45.9%
[705.02-707.02] 那每股净值去年第四季来到45.9%
[707.02-709.02] 那每股净值去年第四季来到45.9%
[709.02-711.02] 那对比去年第三季的44.28%
[711.02-713.02] 那对比去年第三季的44.28%
[713.02-715.02] 增加了1.62元
[715.02-717.02] 那跟2023年同期相比
[717.02-719.02] 那跟2023年同期相比
[719.02-721.02] 我们的现金于是年成长23.3%
[721.02-723.02] 增加了19亿
[723.02-725.02] 那这边其实我想一方面是2024年全年这个公司获利的贡献
[725.02-727.02] 那这边其实我想一方面是2024年全年这个公司获利的贡献
[727.02-729.02] 那这边其实我想一方面是2024年全年这个公司获利的贡献
[729.02-737.02] 那一方面是我们在2024年针对一些旧的一些存货有销售出去收进来的一些现金
[737.02-739.02] 那应收账款余额是年减18.8%
[739.02-741.02] 那应收账款余额是年减18.8%
[741.02-743.02] 事实上我们在2024年的这个营收是比2023年成长了十几个百分比
[743.02-745.02] 事实上我们在2024年的这个营收是比2023年成长了十几个百分比
[745.02-747.02] 可是因为这个客户收盘组合比较好的关系
[747.02-749.02] 可是因为这个客户收盘组合比较好的关系
[749.02-751.02] 所以我们的应收账款余额是减少的
[751.02-753.02] 那存货余额变化不大
[753.02-755.02] 那存货余额变化不大
[759.02-765.02] 但是绝对金额增加五千万,这是退税款只是在一个月的时间差
[765.02-769.02] 那非流动资产来讲是年减22个百分比
[769.02-771.02] 这边绝对金额少了十三亿
[771.02-777.02] 就是我们去年全年从这个金元奖收到的退回给我们的产业保证金
[777.02-779.02] 那流动负债来讲
[779.02-785.02] 去年2023年第四季YY成长了30个百分比
[785.02-789.02] 这边绝对金额增加了十几十三亿左右
[789.02-793.02] 那主要就是我们在去年第四季针对今年预计要消货的部分
[793.02-797.02] 有些新的订单给供应商有应付账款应付费用
[797.02-799.02] 刚好时间点落在去年第四季
[799.02-807.02] 那相比2023年第四季我们刚好没有应付账款的切点的关系
[807.02-811.02] 那非流动负债去年第四季是27亿十三亿
[811.02-816.02] 对比2023年第四季的46亿8年减41.4个百分比
[816.02-819.02] 那这边少了19亿左右
[819.02-821.02] 那两大因素
[821.02-825.02] 第一大因素就是刚刚报告过的就是我们在去年第四季把这个
[825.02-829.02] 竹北这边办公室的长期借款将近715我们全部还掉
[829.02-833.02] 第二个部分就是在去年整年度来讲
[833.02-840.02] 我们大概还掉了12亿多的一个客户这边之前付给我们的一个保证金
[840.02-843.02] 那整个股东权益的部分
[843.02-848.02] 去年第四季对比2023年是年成长8.7个百分比
[848.02-851.02] 大概增加了是9亿左右
[851.02-855.02] 那在每股净值的部分
[855.02-864.02] 2024年是45.9对比2023年的42.47增加了将近是3.5元左右
[864.02-870.02] 那另外跟各位同志先进报告就是说
[870.02-874.02] 端菜电子我们在今天早上的董事会已经通过决议
[874.02-876.02] 2024年的股利分配案
[876.02-880.02] 将发放现金股利总额是新台币3.78亿元
[880.02-885.02] 那如果以我们去年全年的税后经济5.68亿元计算
[885.02-891.02] 约当于这个每股配发现金是1.7元
[891.02-896.02] 那另外我们在今天的董事会决议也通过另外一个计划
[896.02-903.02] 就是说端菜将于未来两个月从公开交易市场里面买回公司
[903.02-906.02] 已经发行的互衡股300万股
[906.02-913.02] 那预定买回日期从2025年的2月24至2025年的4月23日
[913.02-918.02] 好再往下
[918.02-923.02] 那接下来我们请董事长为我们说明一下公司未来的一个展望
[923.02-932.02] 好各位同事大家好
[932.02-933.02] 好我们在这里
[933.02-939.02] 这边就是谈一下我们公司对未来的一个看法
[939.02-946.02] 那个今年第一季我们已经走了差不多一半
[946.02-948.02] 你可以看得出来基本上
[948.02-956.02] 与我们当时预估的情况是相当稳格
[956.02-959.02] 因为第一季就是所谓传统淡季
[959.02-962.02] 主要还有因为工厂
[962.02-963.02] 因为
[963.02-964.02] 中国联的关系
[964.02-966.02] 很多工厂都停工
[966.02-970.02] 大家也知道这个特别是大陆的工厂
[970.02-973.02] 基本上经济情况并不是那么好
[973.02-976.02] 所以大陆的工厂很多都停工
[976.02-980.02] 因此很多货走的就比较慢一点
[980.02-990.02] 再加上即使准备要在春节期间要继续开工的工厂
[990.02-992.02] 大概都在第四季有提前备货
[992.02-997.02] 所以整个我们发现在一月份
[997.02-1005.02] 还包括二月份整个的市场上的流动性比较差一点
[1005.02-1008.02] 所以但是符合我们预期的
[1008.02-1010.02] 所以这是我们现在看到的现象
[1010.02-1013.02] 特别在手机上面是比较明显的
[1013.02-1018.02] 非手机应用没有看到这么大的季节性影响
[1018.02-1021.02] 基本上看起来是持平的
[1021.02-1024.02] 所以总共加在一起
[1024.02-1027.02] 我们来看不管手机跟非手机合在一起
[1027.02-1032.02] 我们认为第一季的出货量会减少
[1032.02-1035.02] 但是产品组合会变好
[1035.02-1038.02] 因此毛利率应该会有所提升
[1038.02-1041.02] 这是我们现在对第一季的看法
[1041.02-1045.02] 在我们产品线方面
[1045.02-1048.02] LCD这一产品线
[1048.02-1050.02] 虽然在这个
[1050.02-1053.02] 手机的应用上
[1053.02-1059.02] 基本上遇到很大的可以讲是密封了
[1059.02-1063.02] 因为是基本上出货的情况
[1063.02-1065.02] 并没有什么显著的成长
[1065.02-1068.02] 同时价格持续的下跌
[1068.02-1071.02] 但是在非手机的应用市场上
[1071.02-1075.02] 我们倒是觉得说还是有相当大的一个成长空间
[1075.02-1078.02] 特别是在平板还有汽车的应用上面
[1078.02-1087.02] 我们在过去这一两季度新推出的产品
[1087.02-1090.02] 在市场上接受的程度也相当不错
[1090.02-1093.02] 我们预计他们在第二季都应该可以开始爬升
[1093.02-1098.02] 那么对于下半年的毛利率应该会有些贡献
[1098.02-1101.02] 这是在LCD方面
[1101.02-1103.02] 那么在AMOLED方面
[1103.02-1105.02] 我们主要的出货还是在TOUCH
[1105.02-1107.02] 在TOUCH这方面我们持续不断的
[1107.02-1114.02] 延续在去年在手机上面成长的是相当的快速
[1114.02-1119.02] 今年我们认为手机还会持续扩大它的市占率
[1119.02-1122.02] 好的消息是在非手机方面
[1122.02-1125.02] 我们也看到有很多的机会
[1125.02-1130.02] 也是从折叠式手机到平板到Notebook
[1130.02-1131.02] 一直到车载
[1131.02-1134.02] 这方面的话我们都觉得
[1134.02-1137.02] 在AMOLED Touch IC的领域
[1137.02-1143.02] 也会有相当大的一个好的成果
[1143.02-1145.02] 我们认为在下半年
[1145.02-1148.02] 它会对公司不仅是营收
[1148.02-1152.02] 而且对毛利率方面都会有相当大的一个提升
[1152.02-1160.02] 这是我们对于未来的展望
[1160.02-1164.02] 那么如同以往我们还是跟大家介绍一下
[1164.02-1167.02] 我们在过去这一季度有些什么新的产品
[1167.02-1173.02] 或者说我们的产品进入什么新的应用的终端产品
[1173.02-1175.02] 在最上面大家可以看出来
[1175.02-1181.02] 在国内现在成长是非常快速的
[1181.02-1184.02] 就是叫做传音这家手机公司
[1184.02-1190.02] 我们这边就有四款产品是提供给他们的
[1190.02-1192.02] 下面有三星的手机
[1192.02-1194.02] 小米的手机
[1194.02-1196.02] 还有Realme是OPPO
[1196.02-1201.02] 再加上OPPO这边还有本身的主体也有两款
[1201.02-1205.02] 所以我们在手机方面的进展跟以往是一样
[1205.02-1209.02] 还是相当的快速的
[1209.02-1211.02] 再下一页
[1211.02-1215.02] 这边的话除了左上角手机是NORO 2手机
[1215.02-1217.02] 其他都是非手机
[1217.02-1220.02] 给大家介绍一下
[1220.02-1223.02] 特别提醒大家注意在中间
[1223.02-1225.02] 我们指到这个
[1226.02-1228.02] 是亚马逊的电子书
[1228.02-1235.02] 这个是我们这一两年来一个比较大的成长
[1235.02-1239.02] 以及扩张我们的产品的应用
[1239.02-1241.02] 大家都知道亚马逊的电子书
[1241.02-1244.02] 在世界上的占有率是非常高的
[1244.02-1246.02] 而且是口碑很好
[1246.02-1249.02] 从上一个季度开始
[1249.02-1251.02] 我们已经正式的出货
[1251.02-1254.02] 成为亚马逊手机的
[1256.02-1258.02] 不是手机对不起亚马逊
[1258.02-1259.02] 电子书的
[1259.02-1262.02] 下去IC的供应商
[1262.02-1265.02] 再往右边去是小米的平板
[1265.02-1269.02] 小米现在也从手机开始步入到其他的领域
[1269.02-1273.02] 它的平板的成长速度非常快
[1273.02-1275.02] 市占率也节节上升
[1275.02-1279.02] 这也是我们对于小米的一些贡献
[1279.02-1284.02] 再下来也是一个比较新的应用
[1284.02-1285.02] 就是在Notebook上
[1286.02-1288.02] 我们的联想的笔电
[1288.02-1291.02] 这个里面也用了我们的Touchpad
[1291.02-1292.02] 在这方面的话
[1292.02-1296.02] 我们在联想的拓展
[1296.02-1301.02] 经过了差不多四年左右的一个耕耘
[1301.02-1305.02] 从去年开始有一个比较显著的成长
[1305.02-1307.02] 再过来就是GoPro
[1307.02-1311.02] GoPro是我们一个长期的合作伙伴
[1311.02-1313.02] 它的产品到目前为止
[1313.02-1316.02] 我们是它的独家供应商
[1316.02-1322.02] 它所有产品使用的全部都是我们Touch的IC
[1322.02-1325.02] 这个是它两个最新的产品
[1325.02-1328.02] Hero11跟Hero13
[1328.02-1338.02] 基本上也是持续了它们在市场上快速的响应的产品
[1338.02-1341.02] 再下来回到汽车
[1341.02-1343.02] 这里在汽车方面
[1343.02-1345.02] 我们秀出来的是
[1346.02-1348.02] 并不是全部
[1348.02-1350.02] 就是我们现在因为汽车发展很快
[1350.02-1353.02] 我们选了一些比较
[1353.02-1357.02] 比较可以想象是抢眼的一些产品放在这边
[1357.02-1361.02] 包括了Toyota Corolla的这个系列
[1361.02-1363.02] 以及在大陆这边
[1363.02-1367.02] 中国厂商的这个江淮汽车
[1367.02-1369.02] 还有小铜汽车
[1369.02-1372.02] 在这边都使用我们的这个产品
[1372.02-1374.02] 我们这都是我们这一个Quarter
[1376.02-1381.02] 因为我们同时能介绍一些我们这个新产品的应用
[1381.02-1386.02] 我们现在去开放看大家有没有什么问题
[1386.02-1388.02] 可以提出来
[1388.02-1390.02] 会有什么议题我们可以讨论
[1395.02-1398.02] 好的 这边非常谢谢云云团队的分享
[1398.02-1399.02] 我们接下来进行Q&A
[1399.02-1401.02] 以及交流时间的部分
[1401.02-1403.02] 那请线上的投资先进
[1403.02-1404.02] 如果有问题
[1404.02-1406.02] 请帮我们将问题打在聊天室
[1406.02-1409.02] 那这边会一并回答
[1409.02-1411.02] 那这边请云云团队稍后一下
[1411.02-1412.02] 谢谢
[1436.02-1437.02] 谢谢
[1466.02-1496.02] 
[1496.02-1526.02] 
[1526.02-1556.02] 
[1556.02-1586.02] 
[1586.02-1616.02] 
[1616.02-1646.02] 
[1646.02-1676.02] 
[1676.02-1706.02] 
[1706.02-1736.02] 
[1736.02-1766.02] 
[1766.02-1796.02] 
[1796.02-1826.02] 
[1826.02-1856.02] 
[1856.02-1886.02] 
[1886.02-1916.02] 
[1916.02-1946.02] 
[1946.02-1976.02] 
[1976.02-1987.73] 
