[0.00-3.04] 营业费用的部分是9.46亿
[611.66-614.66] 不過這個還是有值得觀察的
[614.66-616.66] 至少見一下目前在Q2來講的話
[616.66-617.66] 這個
[617.66-622.66] IT這個族群來講應該是比較屬於相對正向的
[622.66-624.66] 那另外一個當然就是因為
[624.66-626.66] 也是因為關稅的影響
[626.66-630.66] 那從去年的下半年度我們從在
[630.66-633.66] 這個不論是東南亞或歐洲的這些產能
[633.66-634.66] 都積極在佈局
[634.66-637.66] 但這個佈局的整個速度的快慢
[637.66-640.66] 跟策略的這個實施還是要看
[640.66-643.66] 實際的這個關稅的這個狀況
[643.66-646.66] 但是基本上Site都準備好了
[646.66-648.66] 可能是一些設備的移轉這些
[648.66-651.66] 不會說到時候他要去找廠房之類的
[651.66-653.66] 我們先ready在那邊
[653.66-655.66] 然後一旦有一些客人的需求的時候
[655.66-658.66] 我們可以比較快的去做因應
[658.66-661.66] 那整個下半年度來看的話
[661.66-663.66] 其實這個第二季會是一個觀察的重點
[663.66-666.66] 包含這個腳踏車Law還IT的成長
[666.66-668.66] 當然我們是審慎樂觀
[668.66-671.66] 因為我們今年跟去年的季期相對比較
[671.66-673.66] 去年季期已經算相對低了
[673.66-675.66] 所以今年在營收的成長應該
[675.66-679.66] 相對是沒有什麼太大的疑慮
[679.66-683.66] 當然希望能夠有兩位數理商的成長在今年
[683.66-685.66] 那獲利還是我們現在比較
[685.66-687.66] 第一季來看是比較挑戰的
[687.66-690.66] 那我們希望主機的第二季第三季
[690.66-693.66] 主機能夠把這個獲利能夠再pick up上來
[693.66-697.66] 我想這個是整個這個今年從第一季
[697.66-699.66] 我們還有展望到年底的一些
[699.66-702.66] 一些看法
[702.66-703.66] 好以上
[703.66-704.66] 謝謝蔡總
[704.66-705.66] 謝謝蔡總
[705.66-707.66] 謝謝蔡總經理與林財務長的簡報
[707.66-710.66] 接下來是線上提問時間
[710.66-712.66] 將由蔡耀坤總經理主持
[712.66-715.66] 如果各位先進對公司有任何問題
[715.66-717.66] 歡迎在線上發論
[717.66-719.66] 好開始提問
[719.66-722.66] 好
[722.66-726.66] 那我想我這邊已經有一些這個
[726.66-729.66] 投資先進有一些問題
[729.66-731.66] 就我手上看到一些問題
[731.66-734.66] 我這邊可能先來做一下回覆
[734.66-737.66] 好那大家關心的這個第一季的狀況
[737.66-739.66] 剛才已經講過了嘛
[739.66-742.66] PCNB這邊基本上我們看到我們手上的客人
[742.66-747.66] 基本上還是還是有一些這個這個極端的效應
[747.66-751.66] 所以在Q1目前看來是成長的
[751.66-755.66] 那Q2就是剛才講的這個關稅的這個極端效應
[755.66-757.66] 所以目前看來是往上
[757.66-760.66] 那MCC狀態是差不多
[760.66-763.66] 因為這個比較
[763.66-768.66] 我們NBC在IG的佔比例也有一定的一定的比例
[768.66-771.66] 所以趨勢上來講的話是一樣的
[771.66-778.66] 那最近的一般品跟特惠品的那個價格是差不多的
[778.66-781.66] 並沒有太大的這個浮動的趨勢
[781.66-785.66] 那eBike在另外一個第三個問題是綠能
[785.66-790.66] eBike在跟Bike在市場EQ所看到的狀況
[790.66-793.66] 這個目前看來
[793.66-796.66] 腳踏車這個還是在suffer在整個高庫層
[796.66-798.66] 其實這個這一段並沒有過去
[798.66-802.66] 但一般來講期待會今年會逐步落地的
[802.66-805.66] 那明年這個反彈其實還是要看客人下單
[805.66-809.66] 不過我們從這個台北展示看到有些客人開始在
[809.66-812.66] 在開一些新案比過去去年的這個時候
[812.66-814.66] 開新案的積極度看來是相對有的
[814.66-818.66] 但是基本上這個開案的這個力道呢
[818.66-820.66] 還沒有回到疫情前的狀態
[820.66-822.66] 不過比起去年客人願意開案
[822.66-825.66] 我想這個就是一個比較好的一個訊號
[825.66-831.66] 這邊有那個投資先去問到台幣升值的影響評估
[831.66-833.66] 那我們請財務長回答一下
[833.66-839.66] 因為這幾天整個新台幣的確是升值升得蠻快的
[839.66-841.66] 不過這邊應該是分兩個部分來看
[841.66-846.66] 一個是從收入的角度來看
[846.66-850.66] 當然我們大部分的收入都是美元報價
[850.66-851.66] 所以當然
[852.66-855.66] 升多少基本上在美元的部分就會減少
[855.66-858.66] 但是另外有一部分我們的在材料部分
[858.66-860.66] 基本上我們都是用自然中銷
[860.66-865.66] 所以基本上只要是材料部分我們都是用美元在做處理
[865.66-867.66] 另外一部分是在工廠端
[867.66-872.66] 因為達巴邦有兩塊蠻大的工廠是在中國大陸跟在那個越南
[872.66-874.66] 那大家可以仔細去看
[874.66-878.66] 在這一週整個台幣升值的過程當中
[878.66-880.66] 大家可以仔細去看
[880.66-882.66] 人民幣其實相對美元其實都很高
[882.66-886.66] 但是它並沒有同步的升值
[886.66-887.66] 同樣道理
[887.66-888.66] 越頓也是一樣
[888.66-890.66] 越頓其實不升反而還貶
[890.66-895.66] 所以這是比較可以把這個新台幣升值的影響會往下拉
[895.66-897.66] 所以這個我們還在評估
[897.66-899.66] 如果正常來講的話
[899.66-903.66] 坦白講就是說扣掉材料成本之外
[903.66-906.66] 一般來講這個影響我估計應該有
[906.66-910.66] 如果每升一趴對達邦的影響應該0.2%
[910.66-911.66] 正負應該是有的啦
[911.66-913.66] 不過這個東西會透過
[913.66-914.66] 剛剛講的
[914.66-917.66] 還是有一些機會就是說有一些
[917.66-919.66] 因為我們工廠是在
[919.66-922.66] 有很大部分是在大陸跟越南
[922.66-925.66] 那這邊這兩個幣別其實它相對是貶值的
[925.66-927.66] 所以這位影響應該是會再減輕一些
[927.66-929.66] 以上是我們
[931.66-932.66] 好
[933.66-938.66] 那我們謝謝這個財務長對這個台幣升值的影響的說明
[938.66-940.66] 那接下來是
[940.66-944.66] 有些投資先進問到第二季以後的事情
[944.66-946.66] 那其中問題問到是
[946.66-950.66] 這個2Q對產品線的營收毛利率跟變容展望
[950.66-955.66] 各位看到1Q我們的這個毛利大概會在17.8塊到18%
[955.66-958.66] 那目前來看
[958.66-960.66] 武裝列的營收當然上次有跟各位解釋過
[960.66-962.66] 已經這個毛利相對低
[962.66-967.66] 那比如說像這個世統它的這個武裝列營收率在今年不高
[967.66-968.66] 那基本上來講毛利的營收率是在10.8%以下
[968.66-969.66] 那基本上來講毛利的營收率是在10.8%以下
[969.66-972.66] 那基本上來講毛利大家都維持的還算可以
[972.66-974.66] 那目前其實獲利的問題就是來
[974.66-977.66] 除了來的庫存之外
[977.66-979.66] 另外一個還是一個經濟規模
[979.66-982.66] 因為這個受到這個需求面的影響
[982.66-984.66] 前端的庫存還是太多
[984.66-987.66] 如果沒有再有這個生產的經濟規模
[987.66-991.66] 對我們的這個獲利其實相對影響都是比較大
[991.66-996.66] 那當然我們希望在像現在的這個營運的規模之下
[996.66-999.66] 財品組合毛利的提升還是一個比較大的問題
[999.66-1003.66] 那從這個AOT這邊來看的話
[1003.66-1007.66] 其實Keyboard這邊還是維持相對不錯的毛利率
[1007.66-1010.66] 都是在整個公司的水準稍微之上下
[1010.66-1015.66] 那永業它上市公司各位稍微可以去了解一下
[1015.66-1018.66] 當然就相對的算相當好
[1018.66-1021.66] 那所以在整個IG的族群來講
[1021.66-1024.66] 對我們來講整個毛利目前是往上
[1024.66-1027.66] 那也高於我們整個集團的
[1027.66-1028.66] 也高於我們整個集團的平均值的毛利率
[1029.66-1031.66] 那綠燃的部分其實就是挑戰
[1031.66-1034.66] 因為現在整個庫存跟經濟規模沒有到
[1034.66-1036.66] 所以相對來講像
[1036.66-1039.66] 像組裝的來看的話應該會稍微比集團低
[1039.66-1042.66] 那component類的像這種車架啦電池
[1042.66-1044.66] 基本上都還是算高毛利
[1044.66-1045.66] 比集團平均值高
[1045.66-1049.66] 但是問題還是現在整個經濟規模還是需要
[1049.66-1053.66] 需要在接下來的這個二三四季要把它拉抬上來
[1053.66-1056.66] 來看的話我們應該還是展望
[1056.66-1059.66] 經濟應該是算相對是低的
[1059.66-1062.66] 我們希望伏地還是能夠改善這種毛利率
[1062.66-1065.66] 那另外一個是AIPC
[1065.66-1069.66] 也能問到AIPC對NP4棚的影響
[1069.66-1072.66] 這個問題上次我大概解釋過
[1072.66-1077.66] 因為Keyboard在整個AIPC上面基本上沒有太變
[1077.66-1080.66] 倒是有一個對周邊來講的話
[1080.66-1084.66] 一個比較正向是因為相對這些AIPC的單價
[1084.66-1085.66] 產品單價都高
[1085.66-1087.66] 所以呢這個所配置的這些周邊的產品
[1087.66-1089.66] 所以這個所配置的這些周邊的產品
[1089.66-1092.66] 基本上都會以高規格的這個產品去配置
[1092.66-1094.66] 比如說它一定是背光鍵盤
[1094.66-1097.66] 那對我們產品組合來講基本上都有很大的注意
[1097.66-1099.66] 從這個低級來講的話
[1099.66-1102.66] 我們在鍵盤尤其在筆電的部分
[1102.66-1104.66] 背光比例還是跟過去一樣
[1104.66-1106.66] 維持一個相對不錯的比例
[1106.66-1108.66] 這也是為什麼我們在這個
[1108.66-1112.66] 在這個這個事業部來看的話
[1112.66-1114.66] 低級的這個不論從營收
[1114.66-1118.66] 或者從這個利潤率毛利來看的話都還
[1118.66-1121.66] 比去年來講都稍微還有成長力
[1121.66-1125.66] 所以這個高附加價值產品我們還是繼續做
[1125.66-1126.66] 還是繼續往前走
[1126.66-1128.66] 那另外一個當然就跟各位報告
[1128.66-1132.66] 因為因應這個匯率的關係
[1132.66-1136.66] 有一些直出美國的也陸續有在東南亞做一些佈局
[1136.66-1140.66] 然後像這些stand alone的這些accessories的部分
[1140.66-1142.66] 然後目前也都是配合的客人
[1142.66-1146.66] 那應該在今年上半年度應該大概大致上會佈局完整
[1146.66-1148.66] 那下半年就看整個
[1148.66-1152.66] 整個整個這個關稅的政策是不是有一些調整
[1152.66-1155.66] 目前配合客人儲款應該都是在
[1155.66-1159.66] 在第二季應該就會把它做完
[1159.66-1165.66] 然後看到螢幕上有這個投資先進問到這個
[1165.66-1166.66] 升值的問題
[1166.66-1168.66] 那這個還是請那個
[1168.66-1170.66] 臺務長回答一下
[1170.66-1174.66] 剛才有提到說大概每升值臺幣升值1%
[1174.66-1176.66] 對答方影響大概0.2
[1176.66-1177.66] 這個應該
[1177.66-1178.66] 講
[1178.66-1181.66] 因為這裡面的還是有些變數在裡面
[1181.66-1182.66] 譬如說
[1182.66-1183.66] 我剛提到的時候
[1183.66-1188.66] 因為我們有些工廠的費用是在
[1188.66-1191.66] 材料或者是說他的
[1191.66-1193.66] 他的那個用人成本
[1193.66-1195.66] 他是在當地用當地的幣給支付的
[1195.66-1198.66] 比如說人民幣在中國就是人民幣
[1198.66-1200.66] 那在越南就是月頓
[1200.66-1206.66] 那這邊基本上他會去降低這個臺幣升值的影響
[1206.66-1207.66] 那第二個部分是
[1207.66-1208.66] 一般來講
[1208.66-1212.66] 我們有一些客人他們在做一些季度報價的時候
[1212.66-1217.66] 他其實這個報價會取決於當就是那個會
[1217.66-1220.66] 台幣美金匯率的那個數字
[1220.66-1222.66] 會做有一些彈性調整
[1222.66-1224.66] 像我們我知道就是像我們有一些
[1224.66-1225.66] 綠能產品
[1225.66-1227.66] 他基本上他們在談報價的時候
[1227.66-1229.66] 他是考慮說今天你的
[1229.66-1233.66] 台幣對美金的匯率是比如說在33塊的時候
[1233.66-1234.66] 那他的報價是怎麼樣
[1234.66-1235.66] 30塊的時候是怎麼樣
[1235.66-1236.66] 30塊是什麼樣
[1236.66-1237.66] 30塊是什麼樣
[1237.66-1241.66] 所以這邊講的0.2的部分是講所有條件都不變的情況下
[1241.66-1242.66] 當然是這樣子
[1242.66-1245.66] 但是因為這東西還是有切到一些變數
[1245.66-1249.66] 所以基本上我們還是希望說會讓這個整個影響數會再降低
[1249.66-1252.66] 會低於這個0.2%以上說明
[1252.66-1256.66] 好我們謝謝這個林財務長的說明
[1256.66-1263.66] 那這個還有接下來再回答其他這個投資先進問出來問的問題
[1263.66-1264.66] 那這些問題剛才回答了很多人
[1264.66-1268.66] 那這些問題剛回答過這個BiG的庫存調整
[1268.66-1273.66] 那基本上今年還是調整還是調整年
[1273.66-1276.66] 這個我相信是比較中性的講法
[1276.66-1280.66] 那明年就看這個等會勝狀況還是要看
[1280.66-1284.66] 我接下來新一年度的機種
[1284.66-1285.66] 客人下單的狀況
[1285.66-1288.66] 不過還是比較好一點的消息是
[1288.66-1292.66] 現在客人對開新的意願相對比去年很高
[1292.66-1293.66] 在觀察這些開新的意願相對比去年很高
[1293.66-1294.66] 在觀察這些開新的意願相對比去年很高
[1294.66-1298.66] 現在的所能夠發酵出來的這個數量到底有多少
[1298.66-1310.66] 那這個接下來還有問到這個北越的這個營運跟泰國營運
[1310.66-1312.66] 還有東南亞的產能調整
[1312.66-1314.66] 那這分兩部分來談
[1314.66-1318.66] 北越跟泰國當然就比較偏向這個ID的部分
[1318.66-1322.66] 那今年來看的話整個產能應該都是提升的
[1322.66-1324.66] 這個本來就是在去年的規劃當中
[1324.66-1328.66] 但是能夠提升的部分是不是將來會持續提升
[1328.66-1332.66] 還是要看整個匯率的政策跟客人的走向
[1332.66-1336.66] 不過基本上今年比起去年來講的話
[1336.66-1338.66] 產能是有一定的提升
[1338.66-1342.66] 當然都是兩位數甚至50%以上到一倍的提升
[1342.66-1345.66] 這個是在去年就看到的趨勢
[1345.66-1350.66] 那綠能的部分在東南亞
[1350.66-1353.66] 那這個部分其實我們在去年包含四桶的新廠
[1353.66-1359.66] 那應該會在今年的第二季末第三季初會ready
[1359.66-1363.66] 那泰宇也有在整個越南有在佈局新的產能
[1363.66-1369.66] 所以綠能應該是大舉在今年會有一些比較多的產能開出來
[1369.66-1373.66] 因為整個腳踏車產業它開產的其實需要時間
[1373.66-1376.66] 那不可能市場需求來了我們再去開
[1376.66-1378.66] 所以這個有點提前佈局
[1378.66-1381.66] 那接下來講整個綠能的這個重症呢除了台灣的這個重症之外呢
[1381.66-1389.66] 整個生產的重症慢慢逐漸會引到這個越南越南為重
[1389.66-1394.66] 將來不排除在跟各位報告排除在我們歐洲
[1394.66-1401.66] 設置一些局部的產線因應當地客人的需求
[1401.66-1409.66] 所以這個部分不論從這個IT的角度或者是這個綠能的角度
[1409.66-1411.66] 我們在產能的佈局基本上是沒有的
[1411.66-1413.66] 沒有停下來的
[1413.66-1416.66] 那這當然呼籲到今年談的這個資本支出
[1416.66-1422.66] 所以我們今年資本支出會是這個客人的狀況會去逐步的增加
[1422.66-1428.66] 從趨勢來看的話應該會比去年的狀況會再稍微再提升
[1428.66-1434.66] 那這個大概我想是長線我們在廠房那設備上面來講的話
[1434.66-1440.66] 今年尤其在綠能的部分可能相對於這個IT來講會高一些
[1440.66-1441.66] OK
[1441.66-1448.66] 那這個有人問到說這個2025年產品線能建築
[1448.66-1454.66] 那基本上綠能跟IT今年應該兩個都是成長的
[1454.66-1457.66] 那綠能會比較多的關係是因為在Grow
[1457.66-1463.66] 那Grow法來講的話大概就增加不少
[1463.66-1470.66] 但稍微稍微增加了這個綠能在一些輕庫存中
[1470.66-1472.66] 輕庫存中的一些下降
[1472.66-1474.66] 那Grow法這邊補上來
[1474.66-1479.66] 所以整個來看今年整個兩個黨大族群的產品比例來講的話
[1479.66-1482.66] 大概就是可能到最後面我們再看
[1482.66-1485.66] 當然有機會綠能可以回到30到40週前
[1485.66-1488.66] 那其他的就是所謂的IT族群的貢獻
[1488.66-1492.66] 包含這個電腦周邊跟MC的部分
[1492.66-1496.66] 這大概是整個今年在產品組合的一個態勢
[1496.66-1499.66] 然後有人問到這個
[1499.66-1502.66] Grow法的營收貢獻例如
[1502.66-1505.66] 因為Grow法我們去年第四季並進來
[1505.66-1510.66] 然後第一季是傳統的這個通路的戰季
[1510.66-1513.66] 所以第一季應該還
[1513.66-1516.66] 就它的財報上面看還可以
[1516.66-1518.66] 那當然就是對我們來講
[1518.66-1523.66] 我們的營收也算了一定的一定比例的貢獻
[1523.66-1526.66] 那目前看來還不錯
[1526.66-1529.66] 大概上次我跟Grow有拍照的時候
[1529.66-1531.66] 我已經有報告過這Grow法整年的營收
[1531.66-1533.66] 在上次的法說會
[1533.66-1535.66] 各位大家應該去查一下
[1535.66-1536.66] 上次講那個數字
[1536.66-1540.66] 大概那個數字在第一季大概發生了一個部分
[1540.66-1542.66] 所以目前看來還不錯
[1542.66-1546.66] 那當然它的毛利來講的話
[1546.66-1549.66] 從通路來講還是維持在一定的比例
[1549.66-1552.66] 比較明顯的貢獻應該會是在第二季
[1552.66-1555.66] 因為第二季是傳統的通路的旺季
[1555.66-1558.66] 我們期待第二季除了在營收之外
[1558.66-1563.66] 還有在毛利上能夠對集團有比較明顯的貢獻
[1563.66-1565.66] 然後還有一個問題是
[1565.66-1568.66] 目前各地區產品分佈的比例
[1568.66-1571.66] 這個問題我不太清楚
[1571.66-1573.66] 不過嘗試回答一下
[1573.66-1576.66] 基本上中國大陸地區的話
[1576.66-1579.66] 應該還是以這個周邊
[1579.66-1583.66] 這個電腦周邊還有MCC這個為主
[1583.66-1588.66] 那我們今年的話整個看來的話
[1588.66-1590.66] 這個部分大概就是我剛講到
[1590.66-1592.66] 如果扣除綠能的話大概就是
[1592.66-1595.66] 應該是60到65
[1595.66-1598.66] 如果綠能是35到40的落點的話
[1598.66-1599.66] 大概是這樣子
[1599.66-1603.66] 那東南亞那當然就是除了北越是搭方的工廠
[1603.66-1605.66] 有部分是這個周邊在那邊生產
[1605.66-1607.66] 其實整個東南亞地區還是
[1607.66-1611.66] 還是與綠能的產品比重比較重
[1611.66-1615.66] 雖然有一些IT的已經移到這個越南跟這個泰國
[1615.66-1617.66] 但是比例上來講占整個
[1618.66-1621.66] 整個電腦周邊來講還有占一點點比
[1621.66-1625.66] 但是整個絕對值來講沒有像綠能那麼高
[1625.66-1629.66] 那歐洲呢其實我們也有一些產品的生產
