[0.00-3.36] 好,各位投資朋友大家午安
[881.26-883.26] 那最後就是說整個發展趨勢
[883.26-885.26] 我想除了事業的部分
[885.26-887.26] 我們也繼續維持表前
[887.26-889.26] 在台灣的這個領先地位
[889.26-890.26] 那表後的部分呢
[890.26-891.26] 我們的應用場景多元
[891.26-895.26] 高度客製化跟在地的售後服務
[895.26-898.26] 那另外我們也跟Exco還有資金幫來合作
[898.26-900.26] 積極擴大整個案場的規模
[900.26-902.26] 那在供應鏈跟製造能力的部分
[902.26-906.26] 剛剛提到就是台中廠成瑞還有銀幹廠聖達
[906.26-908.26] 已經完成這個藝人電磁模組
[908.26-910.26] 破壞電磁櫃的一個生產
[910.26-913.26] 那我們也希望就是說透過這個MIT來搶攻
[913.26-914.26] 台灣電信基站的OEM跟BIG電視機的生產
[915.26-917.26] 然後也希望我們可以繼續在EMS的資安的商機
[917.26-919.26] 那軟體跟價值的部分
[919.26-923.26] 剛剛也提到我們剛剛有大型的光儲的整合的這個案例
[923.26-928.26] 那我們也希望繼續加強在EMS跟軟體附加價值的能力
[928.26-930.26] 那營運跟維運的話
[930.26-933.26] 剛剛看到我們整個台灣的營運的資產規模
[933.26-937.26] 事實上已經到連太陽能加存已經到90億的規模
[937.26-938.26] 所以我們這個部分呢
[938.26-940.26] 其實未來也希望可以逐步再提升
[940.26-942.26] 我們的人均產值跟技術的效益
[942.26-945.26] 那最後海外市場的部分就是日本跟澳洲
[945.26-947.26] 那這個部分我先報告到這裡
[956.26-957.26] 謝謝
[957.26-959.26] 那各位投資先進大家好
[959.26-962.26] 那接下來的話會由我來為各位介紹
[962.26-965.26] 聖達集團海外能源事業的佈局
[965.26-968.26] 跟國際的綠能趨勢與產業的展望
[968.26-971.26] 那大家可以看到這張簡報呢
[971.26-973.26] 其實我們大家可以發現說
[973.26-974.26] 全球的能源結構呢
[974.26-977.26] 是在發生一個劇烈的變化
[977.26-981.26] 從2020年我們主要的能源資源呢
[981.26-984.26] 都是依賴燃油天然氣跟燃煤
[984.26-986.26] 那你可以看到說從燃油每天呢
[986.26-991.26] 必須要用到9170噸的這樣的一個石油呢
[991.26-994.26] 已經下降到只有5500噸了
[994.26-997.26] 在2050年的這樣的一個目標
[997.26-1003.26] 那隨著這樣的一個對石化燃料的比例的下降的情況下
[1005.26-1006.26] 兩邊的我們的科技策略
[1006.26-1007.26] 是同 Modi truck ね
[1007.26-1009.26] 還有igena 是第一芬斯營 сожалению
[1009.26-1010.26] 面對這個不一臘的 чтобы
[1010.26-1011.26] 第二是我們把我們想看到的
[1011.26-1033.26] 最後公司就是最高級的一個
[1034.26-1036.56] 從一直到CODE28
[1036.56-1039.96] 在這樣的一個政策趨勢的引導下
[1039.96-1045.26] 必須要建置將近1200GW的儲能系統
[1045.26-1049.16] 搭配的是因為要去延緩再生能源的不確定跟間接性
[1049.16-1055.56] 在2029年要把這樣的一個儲能系統進步到提升到1500GW
[1055.56-1060.06] 所以儲能在這樣的一個能源轉型的時空背景下面
[1060.06-1062.16] 扮演了一個非常重要的角色
[1062.16-1068.56] 我們加根台灣放眼海外主要是瞄準這五個國家
[1068.56-1073.86] 包含剛才提到的日本、澳洲、菲律賓跟中東
[1073.86-1076.26] 特別要提的是澳洲
[1076.26-1078.86] 因為它已經有非常明確的能源政策
[1078.86-1083.46] 是要在2030年達到至少83%的再生能源的滲透率
[1083.46-1089.86] 這個國家到2050年會需要49GW、646GW的儲能
[1089.86-1092.06] 日本目前的話
[1092.06-1094.36] 它目前的再生能源
[1094.36-1096.66] 太陽能的部分是80GW
[1096.66-1098.46] 台灣的話是還沒有20G
[1098.46-1102.96] 預計的話也是要在五年內蓋到20GW的儲能設備
[1102.96-1106.76] 去延緩這些因為太陽能下山
[1106.76-1108.56] 所導致的夜間風不夠用
[1108.56-1111.46] 跟電力不穩的一個狀況
[1111.46-1113.06] 中東的話也是
[1113.06-1116.06] 因為中東它其實全這樣的一個
[1116.06-1119.46] 包含沙烏地阿拉伯的主要出口的產品是石油
[1119.46-1121.46] 石油的出口站
[1121.46-1125.26] 沙烏地阿拉伯的GDP總共是40%
[1125.26-1127.66] 你可以想像說如果大家都不用油了
[1127.66-1131.26] 那它要靠什麼來支持它國家的營收
[1131.26-1134.46] 現在的話它有非常多的政策是要鼓勵
[1134.46-1139.46] 像太陽能或者是電子廠商到中東去設廠製造出口
[1139.46-1141.76] 與其像以前的出口石油
[1141.76-1144.86] 它以後就可以出口這樣的太陽能的電子的產品
[1144.86-1147.06] 菲律賓的話也是一個非常有趣的地方
[1147.06-1150.96] 它是全亞洲的話電力基礎最不穩定
[1151.46-1153.26] 它非常高的一個國家
[1153.26-1156.66] 它每一度電是可以到7到8塊錢的台幣
[1156.66-1158.06] 尤其在民生用電
[1158.06-1161.86] 那台灣的話民生用電的話大概是4塊這樣的一個基礎
[1161.86-1165.06] 那接下來它的電網不穩定
[1165.06-1168.26] 所以必須要發展這樣的一個破碎的微電網系統
[1168.26-1169.86] 讓它可以自發自用
[1169.86-1172.86] 建置太陽能儲能加上柴油發電機
[1172.86-1175.26] 來達到它的區域電網的穩定
[1175.26-1180.46] 那我們再看到在台灣日本澳洲跟其他國家
[1181.46-1182.66] 台灣的合作夥伴
[1182.66-1184.06] 那我們的合作夥伴的話
[1184.06-1188.66] 台灣主要是以玉龍新興像剛才提到的這個64MW
[1188.66-1191.66] 262MW的案廠的話
[1191.66-1195.66] 是由新興五分有限公司作為主要的投資方
[1195.66-1198.66] 那再者的話是我們的中美金
[1198.66-1200.86] 這樣的一個還手金的平台
[1200.86-1203.06] 可以去幫我們帶動再生能源
[1203.06-1207.46] 不管是設備銷售建置跟維運的一個網路跟規模
[1207.46-1210.46] 那日本的話呢Toshiba是我們
[1211.46-1216.46] 它是以參加一次調整力三次調整力跟備用容量市場
[1216.46-1218.66] 那Toshiba是我們的代鈔業者
[1218.66-1220.46] 它會去幫我們競價投標
[1220.46-1224.46] 去增強我們儲能的一個案廠的收入
[1224.46-1228.26] 那Chiyoda呢是我們在日本的一個EPC的contractor
[1228.26-1231.06] 那也是因為像日本它的狀況很特別
[1231.06-1234.06] 它只有EPC有持有公司的牌照
[1234.06-1235.46] 才可以做工程的建置
[1235.46-1237.86] 所以需要找到這樣的一個subcontractor
[1237.86-1241.26] 去承接工程的才有辦法讓銀行做認可
[1241.46-1243.46] 和融資以及保險的部分
[1243.46-1246.66] 那BioNed Energy在澳洲呢其實我們的案廠
[1246.66-1250.46] 預計的話三到五年的計畫是在澳洲建置
[1250.46-1254.46] 70MW的光電50MW儲能
[1254.46-1256.46] 那澳洲的話它非常流行光儲
[1256.46-1260.46] 因為澳洲目前的光電生產過剩
[1260.46-1263.46] 那中午的這段時間會有負電價
[1263.46-1267.46] 那做的事情呢就是我們在負電價的時候充電
[1267.46-1271.46] 那晚上傍晚的時候太陽下山的時候放電來做個電能套領
[1271.46-1274.46] 那澳洲的話我們的Diamond Energy它也是有收電業的執照
[1274.46-1276.46] 那也會是我們案廠的投資方
[1276.46-1279.46] 那在其他地區呢您可以看到大同志能
[1279.46-1283.46] 包含說剛才我們總經理提到了這些太平洋的群島
[1283.46-1285.46] 以及各個台灣的友邦案
[1285.46-1288.46] 其實大同志能算是我們非常重要的一個合作夥伴
[1288.46-1293.46] 在各個區域呢可以一起的把將台灣生產MIT的產品
[1293.46-1296.46] 外銷到各國
[1296.46-1299.46] 那海外佈局的策略主要是這四方
[1299.46-1301.46] 比方說我們會搭配
[1301.46-1305.46] 有明確淨零碳排目標跟政策支持的國家
[1305.46-1308.46] 然後組這樣的一個能源的資產平台
[1308.46-1314.46] 那搭配策略夥伴然後銷售我們具有國際認證的設備以及解決方案
[1314.46-1317.46] 那這樣的一個合作架構呢
[1317.46-1319.46] 剛才提到日本跟澳洲啊
[1319.46-1323.46] 日本的話我們是參加它的調整力市場跟它的容量市場
[1323.46-1327.46] 那在澳洲的話呢我們是做電能套利跟它的調平
[1327.46-1330.46] 那通常都會透過這樣的一個項目公司
[1330.46-1333.46] 然後面對通知方去持有我們的案場
[1333.46-1337.46] 那相關的一些工程啊採購啊代操啊都會
[1337.46-1342.46] 不管是透過盛行或者是售電業者再回到它當地的交易平台
[1342.46-1344.46] 像澳洲的話是AMO
[1344.46-1347.46] 那日本的話呢是OCCTO
[1347.46-1355.46] 那這個頁面的話有提到說我們在2025年2026年跟2027年的三個成長目標
[1355.46-1359.46] 那今年第三季的話我們會正式出貨日本工商儲能
[1360.46-1365.46] 那日本的話它是走一個虛擬電廠Virtual Power Plant的一個商務模式
[1365.46-1368.46] 所以必須要把這些表厚的工商儲能做聚合
[1368.46-1371.46] 才能夠參加電力市場的投標
[1371.46-1377.46] 那另外的話呢現在日本也蠻流行這種2MW的調平的一個儲能電站
[1377.46-1381.46] 所以我們也會在前端跟開發商負責開發
[1381.46-1384.46] 那把這樣的一個權利呢放到SPV底下
[1384.46-1389.46] 那SPV再去跟比方說有興趣的投資方進行一個合資
[1390.46-1395.46] 那之後呢我們也是從這樣的一個SURFIVE這樣的一個光儲市場開始
[1395.46-1402.46] 那瞄準的地區是在它的維多利亞州Victoria跟New South Wales這兩個州
[1402.46-1406.46] 那後續的話呢會先從小的光儲到大的光儲
[1406.46-1409.46] 那再切入到它的工商市場
[1409.46-1414.46] 那工商市場蠻有趣的是它可以同時參加表錢的競標
[1414.46-1418.46] 那同時再幫工廠去降低需量然後減省電費
[1418.46-1420.46] 它可以做一個雙向的一個模式
[1420.46-1423.46] 那這個就是我們在台灣的技術架構
[1423.46-1426.46] 那我們再回到台灣的話
[1426.46-1432.46] 其實台灣到2050年呢也有一個三層次的階段策略
[1432.46-1434.46] 包含說儲能要蓋到5.5G高啊
[1434.46-1439.46] 這是在它的淨零碳排的路徑裡面有公告的數據
[1439.46-1442.46] 那在2040年呢電動車必須要達到100%的市售
[1442.46-1446.46] 那再生能源的話必須要發電超過60%
[1446.46-1449.46] 那目前的話再生能源發電僅佔我們國家的12%
[1450.46-1452.46] 其實還有一個非常大的成長空間
[1452.46-1455.46] 那在這樣的一個藍圖底下呢
[1455.46-1458.46] 太陽光電預計蓋到40到80G高啊
[1458.46-1460.46] 那日本的話現在已經有80G高啊
[1460.46-1464.46] 那離岸風電的話呢則是到40到55G高啊
[1464.46-1468.46] 那相陪伴的是海洋能啊生殖能啊跟儲能
[1468.46-1473.46] 那我們也看到說在這樣的時空背景底下呢
[1473.46-1477.46] 其實海電還有不管是在去年已經漲了25%的電價
[1477.46-1480.46] 然後加上這樣的一個用電大戶條款
[1480.46-1482.46] 那這個就是我們現在的一個長治
[1482.46-1485.46] 如果您的工廠有超過一定負載必須要裝儲能或太陽能
[1485.46-1491.46] 那電力市場的話呢上個禮拜的電業法已經正式修正了
[1491.46-1494.46] 受電業跟受電業可以中間交易綠電
[1494.46-1500.46] 然後儲能的話也有這樣的一個特定電業可以加入我們的電力交易市場
[1500.46-1504.46] 那也許之後也可以進入到儲能暗廠中間的轉工
[1504.46-1508.46] 那這樣的一個架構下面其實盛行搭配中美金集團
[1508.46-1510.46] 但是也有這樣的一個興趣跟意願
[1510.46-1514.46] 也是加入受電的這樣的一個合作規劃裡面
[1514.46-1521.46] 那目前的話台電的時間電價差呢其實已經差到6.86塊
[1521.46-1526.46] 那很可惜的是說原本預計4月會漲電價嘛
[1526.46-1528.46] 但是目前的話是還動漲這樣
[1528.46-1531.46] 所以今天重電股的跌幅都蠻大的
[1531.46-1538.46] 對但是我們看到的是說其實台電的虧損接近是5100元
[1538.46-1542.46] 那它目前的規劃還是跟經濟部繼續取得這樣的一個預算
[1542.46-1544.46] 但是也不是長久之計
[1544.46-1547.46] 那我們看到說如果它不漲電價
[1547.46-1549.46] 那這個虧損也會持續存在
[1549.46-1554.46] 所以我們還是對這樣的一個漲電價的一個未來的發展會持續的觀望
[1554.46-1561.46] 那最後的話是提到說其實我們集團主要是做垂直跟橫向的整合
[1561.46-1567.46] 在生產製造端呢我們提供了儲能的設備跟代工組裝
