[0.00-25.64] 各位贵宾午安
[996.52-999.60] Maintaining stable pH levels over time without degradation
[1000.12-1000.88] CLGM
[1001.14-1003.96] Finds wide applications in green building materials
[1004.46-1007.80] From floor and wall tiles to fire resistant fiber cement boards
[1008.04-1010.36] All produced through environmentally friendly
[1010.60-1011.88] Low carbon processes
[1013.68-1015.22] With 3D printing technology
[1015.48-1016.76] It can even be customized to a 3D printing machine
[1017.06-1019.36] To create products that meet environmental standards
[1019.62-1024.48] The first product in this line is the CLGM business card holder
[1024.74-1027.30] Which also functions as a coaster and paperweight
[1028.84-1033.18] Its triangular design represents the collaborative partnership between SDTI
[1033.44-1035.24] Research partner Taipei Tech
[1035.48-1037.02] And all stakeholders
[1037.28-1040.60] Embodying CLGM's core values of waste regeneration
[1041.12-1042.40] Green circular sourcing
[1042.66-1044.96] And functional green building materials
[1045.48-1046.76] After 20 years of research
[1047.06-1049.10] SDTI is committed to promoting a green circular economy
[1049.36-1050.64] Giving new life to waste materials
[1050.90-1052.94] We now invite you to join us in shaping a greener future with CLGM
[1066.26-1068.30] 我想這個
[1068.56-1069.84] CLGM的一個
[1070.10-1073.16] 佳龍的一個新環保綠彩的研發它其實
[1073.42-1075.98] 所謂的四星跟四化的思維
[1076.24-1077.00] 當然就是說
[1077.26-1078.80] 四星的部分包括新環保
[1079.06-1080.08] 從新環保開始
[1080.34-1083.14] 到一個新材料的一個產出
[1083.92-1090.06] 那到後面我們做一個所謂的新的應用就會有所謂的新的環境因為我們希望可以用這些
[1090.32-1096.20] 綠色的一個建這個綠色材料那當使用在所謂的碳中和的建築
[1096.46-1100.30] 事實上是對我們的一個環境是有一些保護的作用的
[1100.56-1105.94] 那在這個所謂的多從事的一個循環經濟架構之下我們也會帶來所謂的四化
[1106.24-1108.28] 包括一開始將我們的一個
[1108.54-1111.86] 這個廢棄物先處理到無毒跟無害化
[1112.12-1113.92] 最後把它變成一個資源
[1114.18-1115.96] 最後能夠創造它一個價值
[1116.22-1119.04] 所以帶來一個四星跟四化的部分
[1119.80-1122.62] 另外在這個我們CLGM的部分
[1122.88-1124.92] 那它的學名叫無機聚合物
[1125.18-1129.78] 當然這是跟北科大我們的一個產學合作那目前這一個技術也計轉了
[1130.04-1132.86] 給佳龍所以佳龍目前是持有這樣的一個
[1133.12-1135.42] 這個專有的一個技術
[1135.68-1135.94] 他不只
[1136.24-1139.30] 不只是除了三廢了等一下會講它是三種材料
[1139.56-1140.08] 我們把它
[1140.34-1142.38] 廢棄的廢棄物的材料
[1142.64-1143.92] 來做一個重新的一個組合
[1144.18-1144.94] 再利用
[1145.20-1146.98] 事實上它的生產的過程呢
[1147.24-1148.52] 他也不需要去燒解
[1148.78-1151.34] 他有快乾跟減碳排的一些
[1151.60-1152.62] 特性的部分
[1152.88-1154.66] 那最主要就是我們
[1154.92-1159.78] 在電子廢棄物所得到的主機板這邊的一個波纖粉的部分
[1160.04-1161.32] 再加上我們鋼鐵
[1161.84-1162.34] 液
[1162.60-1163.38] 水碎膏乳
[1163.62-1165.94] 裡面會產生的一些爐濕粉再加上
[1166.24-1167.26] 灰飛
[1167.52-1169.82] 透過我們的專利性的這個所謂的
[1170.08-1170.58] 配方
[1170.84-1172.90] 也就是北科大幫我們研發的部分
[1173.14-1177.76] 做一個混合均勻的一個攪拌事實上它是一個常溫製成
[1178.02-1178.52] 也就提到
[1178.78-1182.88] 他是不需要再燒解等他而且他是很快速就可以
[1183.14-1185.70] 乾燥乾燥之後他的硬度呢
[1185.94-1187.74] 是比我們傳統的水泥
[1188.00-1194.14] 強度還要更強的部分所以他運用在我們的建材上面是非常的一個適合的一個材料
[1195.16-1195.94] 那他也是
[1196.24-1197.52] 全世界呢
[1197.78-1202.64] 首創是用波纖粉為主機材所做的一個5G聚合物的一個材料
[1204.42-1206.48] 那他有一些他的一些
[1206.74-1208.26] 功能性跟應用
[1208.52-1213.38] 他不只剛剛講的可以用在建材上所有耐火耐高溫的一個材料
[1213.64-1221.06] 他也是一個很好的一個絕緣材料可以去吸隔熱跟這個降低能耗跟吸陰的一些性能
[1221.32-1225.94] 那同時他也可以作為一個吸附的材料當他的一些配方
[1226.24-1229.56] 比如說這個需要做一些多孔系的部分
[1229.82-1232.90] 他做一個配方調整也可以做所謂的
[1233.14-1235.46] 在廢水中的一些金屬離死
[1235.70-1236.98] 吸附的部分
[1237.24-1242.88] 同時他也可以作為催化劑他是一個優異的光催化劑可以減少工業的污染
[1243.14-1245.18] 那同時他也可以調節PH
[1245.44-1247.22] 這個PH的一個
[1247.48-1255.42] 緩衝的一個能力所以這個部分事實上在我們加農這個新環保材料的開發上面有多重的一個應用的部分
[1256.50-1262.64] 剛剛有提到他採用所謂的常溫快乾製程他的減碳效益比一般我們講水泥的
[1262.90-1266.98] 製品的部分超過50%的一個節碳的一個效益
[1269.30-1275.44] 那這是他的一些應用的一些場景包括我們現在可能主要還是以建材為主包括一些
[1275.70-1281.84] 地磚紙草磚3D列印的一些可能企業logo像一些戶外
[1282.10-1283.12] 的一些桌椅
[1283.38-1285.68] 3D列印的一些這個
[1285.98-1287.26] 這個產品的部分
[1287.52-1293.92] 那同時他也可以變成壁磚那透過水轉印上面可以透過賦予他不同的一些紋路
[1294.18-1295.70] 跟後面的一些應用
[1295.96-1300.06] 那還有複合材料就是上面也許是一般我們原來的一些
[1300.32-1302.62] 建材比如說大理石或瓷磚的部分
[1302.88-1310.30] 那他底下的部分呢是用我們西友基院去做一個複合黏貼他同時也可以達到所謂綠色建材的一些要求
[1310.56-1313.38] 那他現在目前也可以做的一些文創的一些
[1313.62-1314.90] 工藝品的部分
[1315.98-1322.12] 接下來跟大家再報告一下就是這個財務的一些相關的資訊
[1322.38-1326.74] 我想這個是我們就用這個
[1327.24-1334.42] 3月份董事會剛通過的一些去年的一些年報資訊來做一些比較那第一張這個投影片的部分
[1334.66-1342.86] 各位可以看到就是佳榮科技的一些營收去年的營收大概是11.95億啦我想大概比2023 2022
[1343.12-1344.14] 稍微增加一點點
[1344.40-1345.42] 不過他的一些組成呢
[1345.98-1347.78] 事實上是不太一樣
[1348.28-1350.08] 各位可以看到過去
[1350.34-1352.12] 右邊這個表的部分
[1352.38-1355.46] 過去我們佳榮的一個營收裡面呢
[1355.70-1360.58] 其實貴金屬的比重不管貴金屬的材料的銷售跟貴金屬的經驗的部分
[1360.82-1365.18] 他的佔比大概都佔到我們營收的95%以上
[1365.44-1369.54] 那事實上到去年我們在做一些轉型的部分
[1369.78-1371.06] 特別是我們講
[1371.32-1371.84] 非貴
[1372.10-1375.94] 這個這個像電子廢棄物廢物金的部分他的一個銷售部分
[1376.24-1377.78] 比重呢已經大到10%
[1379.06-1382.38] 那下方的一個圖表也可以看得蠻清楚的從
[1382.64-1385.20] 大概從去年的大概第二季開始
[1385.70-1390.58] 我們的非貴的營收比重呢大概就從8% 16%到19%
[1390.82-1393.38] 所以去年的一個平均大概是12%
[1393.64-1396.72] 那今年的一個預計在非貴金屬的一個
[1396.98-1400.56] 營收佔比大概會介於大概15到20左右
[1401.06-1403.38] 那為什麼要來講這件事情事實上
[1403.62-1405.94] 這個也是蠻重要的因為他是影響
[1406.24-1408.28] 我們毛利的一個重要的一個因素
[1408.54-1410.58] 因為貴金屬的一些
[1410.84-1416.74] margin呢事實上在我們的這個產業的特性上他的margin呢可能
[1416.98-1417.50] 在
[1417.76-1418.26] 這個
[1418.52-1420.32] 1到5%之間
[1420.58-1422.10] 但是呢非貴金屬
[1422.36-1427.48] 就是像剛剛講的一些我們的一些電子廢棄物的一些回收處理
[1427.74-1431.06] 那包括一些我們所提供的一些
[1431.58-1435.68] 這個回收或者是精煉服務或其他的相關的一些服務
[1436.24-1441.10] 他的margin rate反而是可以到大概三成到五成
[1441.36-1444.68] 所以事實上這些非貴金屬
[1444.94-1451.34] 非貴的一個營收的提升是有利於我們的一些獲利的能力的一些改進的部分
[1453.64-1457.48] 那這邊是這個去年應該說
[1458.00-1462.60] 連續幾個年度跟去年四個季度我們的一個這個
[1463.12-1464.66] 這個損益表的部分
[1464.90-1465.94] 但去年的一個
[1466.24-1467.52] 這個表現我想
[1467.78-1469.82] 或許大家看到最後的一個數字
[1470.08-1471.10] 看到好像
[1471.36-1476.48] 為什麼去年的一個虧損還比前面幾個年度要來的增加我想這邊最主要
[1476.74-1480.82] 其實在前面三季度的一些虧損事實上有
[1481.08-1485.70] 大概逐步的在縮小了那到了那個去年的第四季我想
[1485.94-1488.76] 這個也是我們近兩年在轉型的過程中
[1489.02-1489.78] 其實我們
[1490.82-1492.10] 把過去
[1492.60-1494.66] 事實上有一些所謂的歷史
[1494.90-1495.94] 所產生的一些
[1496.24-1499.56] 比如說像做低品位的庫存或者是高成本的庫存
[1499.82-1502.64] 我們一次性的做了一些去化跟打消
[1502.90-1506.48] 然後再包括所謂的一些我們轉投資包括子公司
[1506.74-1510.32] 也是我們針對了一些所謂減損的一次性的提列
[1510.58-1514.66] 所以第四季的部分的一些影響可能他是一次性在第四季的
[1514.92-1515.44] 我希望
[1515.70-1516.20] 不要再
[1516.46-1518.76] 再影響到後面年度了
[1519.02-1520.30] 因為畢竟我們
[1520.56-1523.38] 在這兩年的一個轉型的部分我們也希望
[1523.62-1525.68] 能夠在2025年能夠正式有一個
[1525.98-1528.28] 比較好的一個成績所以這邊的話
[1528.54-1532.38] 在2024的第四季我想叫做先蹲先蹲後跳了
[1532.64-1534.18] 有很多一次性的一些
[1534.42-1536.74] 虧損或損失的陣列的部分
[1541.34-1546.98] 那這是我們的一些毛利跟睡前經歷還有EBITDA的一個比較我想
[1547.22-1555.42] 這邊剛剛也提到在去年第四季我想這邊的一些數字看起來是不盡理想不過在EBITDA的部分從去年的第二季到
[1555.98-1559.56] 第三季老實講都是一個轉正
[1559.82-1561.62] 那如果沒有這個一次性的調整
[1561.86-1566.74] 事實上大概我們的EBITDA應該能夠達成所謂轉正的部分在今年度還是
[1566.98-1570.06] 一樣我們先會達成所謂的EBITDA轉正
[1570.32-1574.66] 那未來還是往所謂的能夠達到break even的一個目標來往
[1574.92-1575.44] 前進
[1578.00-1581.58] 那這是我們的一個資產的一個變化我想
[1581.84-1585.94] 這邊可以看到我們的一個資產的部分大概是26.8%
[1586.24-1587.52] 8.4億的一個總資產
[1587.78-1595.96] 不過在流動資產跟非流動資產的部分在這幾年事實上有比較大的變化第一個是在我們的流動資產裡面的一個存貨的部分
[1596.48-1601.08] 那存貨的部分可以看到從大概112年的第一季大概有4億
[1601.34-1604.92] 往前大概是更高到5億到6億
[1605.18-1606.46] 不過持續一直往
[1606.98-1608.26] 下到現在
[1608.50-1609.78] 去年的第四季
[1610.04-1610.56] 這個總
[1611.06-1612.60] 這個存貨的一個資產的
[1612.86-1614.90] 進額大概下降到1.7
[1615.16-1615.68] 1.7億
[1616.24-1620.34] 跟我們在過去兩年持續在做一些庫存的一個去化
[1620.58-1626.74] 來提升我們的一個周轉的速度把裡面的資金也釋放出來可以增加我們後續在不管
[1626.98-1628.02] 是在一些
[1628.26-1631.34] 這個資本支出或者是對外投資的一些資金的運用
[1632.36-1633.90] 那另外在這個非
[1634.16-1637.74] 流動資產的部分其實增加了比較多的也就是這個
[1638.00-1639.54] 轉投資就是我們權益
