[0.00-3.00] 各位投資先進朋友們,大家午安
[223.54-226.24] 培训优秀技术人才
[226.24-230.08] 为各位爱护华融的股东大众
[230.08-233.30] 创建下一个辉煌
[233.32-235.32] 展新的年代
[235.32-237.32] 再来
[237.32-242.12] 那我们今天的三大主题
[242.12-248.36] 一个第一项就是2025年Q1合并综合损益的报告
[248.36-252.64] 再来就是同价的期市
[252.64-260.04] 再来就是整个华融营业的市场分析
[260.04-261.94] 好 接下来一项
[263.32-267.52] 合并综合报表在114年
[267.52-269.32] 就是一到三月
[269.32-271.32] 这次报告大概一到三月
[271.32-273.32] 今年一到三月一Q
[273.32-276.32] 跟去年同期的比较
[276.32-280.32] 那整个营业收入在今年第一季
[280.32-284.32] 是28亿2487万
[284.32-289.32] 去年同期是26亿2132万
[289.32-293.32] 大概是增加了两亿多的这个
[293.32-295.32] 这个金额营业额
[295.32-296.32] 大概两亿多
[296.32-299.32] 那整体的营业毛利
[299.32-304.32] 今年的低季是4亿03千
[304.32-306.32] 348万
[306.32-307.32] 去年同期
[307.32-311.32] 1亿6201万
[311.32-315.32] 那这个增加的营业毛利
[315.32-316.32] 更大
[316.32-320.32] 还增加了2.3或2.4亿
[320.32-322.32] 营业额增加2点多亿
[322.32-325.32] 那营业毛利也增加2点多亿
[325.32-327.32] 那扩除的费用
[327.32-333.32] 营业净利是3亿4766万
[333.32-337.32] 那去年同期1亿0936万
[337.32-340.32] 所以这整体的净利
[340.32-343.32] 就扩除营业费用
[343.32-346.32] 整体的净利也是增加了两亿多
[346.32-349.32] 这样看是大概增加了两亿三
[349.32-351.32] 这是业内整体
[351.32-353.32] 整体看起来
[353.32-355.32] 今年的低季
[355.32-356.32] 低季
[356.32-358.32] 比去年的低季
[358.32-360.32] 那量力的非常多
[360.32-364.32] 那营业外收入跟支出
[364.32-366.32] 也就是营业外的部分是
[366.32-370.32] 亏损了1亿3162万
[370.32-375.32] 去年同期是赚了2亿497万
[375.32-379.32] 那这个因为业外的投资
[379.32-380.32] 跟业外
[380.32-383.32] 应该是说股票的情况
[383.32-385.32] 投资跟股票的情况
[385.32-389.32] 那这个部分因为是刚第一季而已
[389.32-392.32] 可能后面会再回来
[392.32-395.32] 那再来就是税前净利
[395.32-398.32] 那到第一季是
[398.32-401.32] 2亿1604万
[401.32-405.32] 那去年同期是3亿1434万
[405.32-407.32] 那业内加业外
[407.32-409.32] 其实在今年的第一季
[410.32-413.32] 税前净利其实是缩小了
[413.32-415.32] 就是差异
[415.32-417.32] 那这个不是实质的损失
[417.32-421.32] 是业外投资可能是账面
[421.32-424.32] 那再来就是本期净利
[424.32-428.32] 大概EQ是1亿5248万
[428.32-432.32] 去年同期是2亿9275万
[432.32-437.32] 那本期净利归属于整体的
[437.32-440.32] 华融这个公司的业主是
[440.32-443.32] 1亿5606万
[443.32-448.32] 那去年同期是2亿9198万
[448.32-451.32] 那第一季这样算起来的EPS
[451.32-453.32] 大概0.37
[453.32-456.32] 去年这个时候大概0.69
[456.32-457.32] 那应该这样讲
[457.32-460.32] 整个业内是成长
[460.32-463.32] 那业外部分是
[463.32-465.32] 差异比较大
[465.32-466.32] 其实亏损
[466.32-468.32] 那整体到第一季
[468.32-470.32] 还是希望努力
[470.32-472.32] 就像上去年
[472.32-474.32] 在下一页
[474.32-478.32] 那合并的公司营运部分的损益
[478.32-479.32] 我们大概看一下
[479.32-480.32] 就会知道说
[480.32-482.32] 今年第一季
[482.32-486.32] 你看有的大概都底下
[486.32-489.32] 那这个是特别突出
[489.32-491.32] 而且是多很多
[491.32-493.32] 应该是整体的失益
[493.32-495.32] 大概都集中在这边
[495.32-496.32] 那我们看一下
[496.32-498.32] 第一项是吴晏彤
[498.32-499.32] 也就是现材部门是
[499.32-502.32] 1460万
[502.32-504.32] 1640万
[504.32-508.32] 然后整体的都集中在
[508.32-510.32] 电力电缆的部门
[510.32-512.32] 3亿7999万
[512.32-514.32] 那这一个
[514.32-519.32] 另外一个是铜品部门
[519.32-521.32] 这一个是
[521.32-524.32] 我们转投之后一铜
[524.32-527.32] 那它是一个铜片
[527.32-529.32] 它大概也是
[529.32-530.32] 到目前来讲是
[530.32-533.32] 1047万
[533.32-534.32] 所以铜
[534.32-537.32] 这个是铜片
[537.32-540.32] 那整体工程跟其他
[540.32-543.32] 是1452万
[543.32-545.32] 所以整体整个
[545.32-547.32] 这样看起来就是说
[547.32-551.32] 其实这个电力电
[551.32-553.32] 今年成为主力
[553.32-555.32] 也是主力的获利
[555.32-557.32] 好接下来
[557.32-559.32] 那我们看一下
[559.32-561.32] 就是铜的平均
[561.32-562.32] 大概看一下
[562.32-563.32] 看去年
[563.32-564.32] 先看去年
[564.32-566.32] 去年是
[566.32-568.32] 这一条
[568.32-570.32] 看起来是
[570.32-572.32] 这一条是比较暗紫色的
[572.32-574.32] 去年有两波
[574.32-575.32] 第一个就是
[575.32-577.32] 一到我们业大上来
[577.32-578.32] 然后下来
[578.32-581.32] 然后再八到十业上来
[581.32-583.32] 那去年我们有赚到
[583.32-585.32] 这一波的钱
[585.32-587.32] 有赚到这一波
[587.32-588.32] 就是上涨
[588.32-590.32] 这一波走到这边的钱
[590.32-592.32] 所以去年的铜线的获利
[592.32-594.32] 也赚了这一波
[594.32-595.32] 然后今年
[595.32-598.32] 今年本来已经准备好了
[598.32-599.32] 要大赚
[599.32-600.32] 已经走走走
[600.32-602.32] 走到9700
[602.32-605.32] 然后因为4月2号
[605.32-607.32] 对等关税
[607.32-609.32] 然后就开始下来
[609.32-612.32] 那这一个上一期是9100
[612.32-614.32] 现在有回复了
[614.32-616.32] 回复到大概5月
[616.32-618.32] 应该会漏到9500
[618.32-620.32] 大概是
[620.32-622.32] 目前是这样子
[622.32-624.32] 也就是铜
[624.32-626.32] 如果你有准备好
[626.32-628.32] 大概一年如果两波
[628.32-631.32] 上涨波你能够赚到
[631.32-634.32] 下涨波就希望你避开要
[634.32-637.32] 那今年第一波
[637.32-638.32] 有赚到一个月
[638.32-642.32] 然后马上被拉下来
[642.32-644.32] 现在又回复
[644.32-646.32] 因为铜占了
[646.32-648.32] 本身不管是
[648.32-650.32] 铜线铜片
[650.32-652.32] 还是所有电力电缆
[652.32-654.32] 电力电缆里面的铜
[654.32-656.32] 是主要的
[656.32-658.32] 好接下来
[658.32-660.32] 那我们把整个
[660.32-662.32] 整体华融的营业
[662.32-665.32] 把商品分开来看
[665.32-667.32] 看那个我们当初
[667.32-670.32] 第一季营业额多了2亿
[670.32-673.32] 然后营业利益多了2亿
[673.32-676.32] 到底多在哪一些项目
[676.32-678.32] 然后在这个
[678.32-680.32] 整个铜的商品
[680.32-684.32] 今年1到3月LMV是9345
[684.32-686.32] 那整个铜线
[686.32-691.32] 铜商品是4亿4203万
[691.32-696.32] 那去年同期是8亿2722万
[696.32-699.32] 几乎整个量是衰退一半
[699.32-701.32] 整个是衰退一半
[701.32-702.32] 那为什么会这样
[702.32-703.32] 就是在去年
[703.32-706.32] 其实我没有抓到那一波
[706.32-708.32] 那个ECWA之前
[708.32-710.32] 那个大陆的市场
[710.32-712.32] 那自从其中以后
[712.32-714.32] ECWA停了以后
[714.32-716.32] 我们大概损失了四百多
[716.32-719.32] 那所以这样看起来
[719.32-721.32] 看起来就是说
[721.32-723.32] 应该是说去年特别好
[723.32-725.32] 今年持平
[725.32-727.32] 但是是希望
[727.32-729.32] 希望能够
[729.32-731.32] 我们后面有想了
[731.32-732.32] 大概两个方法
[732.32-734.32] 一个就是说
[734.32-737.32] TOTO所有的铜
[737.32-740.32] 大概维持一样的量
[740.32-742.32] 但是铜线少的
[742.32-745.32] 要把它移转到电力电缆
[745.32-748.32] 就是电力电缆要多接
[748.32-750.32] 就是如果这边损失4亿
[750.32-753.32] 应该从电力电缆多出4亿
[753.32-756.32] 这是你营业额的想法
[756.32-758.32] 那如果能够这样执行
[758.32-759.32] 其实这样是好的
[759.32-762.32] 因为铜线的毛利是比较低的
[762.32-764.32] 它的加工程式是比较低
[764.32-766.32] 然后如果你转成
[766.32-768.32] 任何一个电线
[768.32-770.32] 大概的毛利都应该附加价值
[770.32-776.32] 会超过铜的原来铜的商品
[776.32-779.32] 那当然市场上有它的一定难度
[779.32-781.32] 还有LMV
[781.32-783.32] 跟那个国际市场有一定的难度
[783.32-786.32] 但是有这样在做
[786.32-789.32] 所以这边看起来
[789.32-790.32] 看起来增加
[790.32-793.32] 但是同时反而减少
[793.32-795.32] 好接下来
[795.32-798.32] 那我们在这团再描述一下
[798.32-800.32] 在整个LMV受到美国
[800.32-802.32] 全球对等的这个关税
[802.32-805.32] 以后你时常会听到这个
[805.32-807.32] Payless
[807.32-811.32] 就是它这个整个的关税
[811.32-813.32] 那前面加了这一个
[813.32-815.32] 好像付费跟对等
[815.32-817.32] 其实完全没有对等
[817.32-821.32] 就是这个T可能是川普的
[821.32-824.32] 然后导致不确定性
[825.32-827.32] 非常非常的迷茫
[827.32-829.32] 即使到现在还是一样
[829.32-831.32] 因为这样子等于说
[831.32-833.32] 全球的经贸
[833.32-837.32] 就是全球的制造跟供应链
[837.32-840.32] 现在在等它哪一条线的
[840.32-841.32] 关税比较少
[841.32-843.32] 要从哪一条线制造进去
[843.32-845.32] 那这个也是不确定
[845.32-850.32] 然后整个影响到整个金融的市场
[850.32-854.32] 那不管从美债美银的汇率
[854.32-855.32] 然后从美债美银的汇率
[855.32-857.32] 或者从美金的汇率
[857.32-859.32] 这个通通大乱
[859.32-861.32] 那通通大乱以后
[861.32-863.32] 这个通膨率一定是会上升
[863.32-865.32] 那失业率也上升
[865.32-870.32] 那整个消费者的信心指数也一直在下降
[870.32-872.32] 那全球
[872.32-876.32] 全球整个经济成长应该是下滑
[876.32-879.32] 看只是谁下滑的比较严重
[879.32-882.32] 或哪一些商品下滑的比较严重
[882.32-884.32] 那在这样的情况下
[884.32-888.32] 在3月本来已经来到9731
[888.32-890.32] 就4月2号4月3号就急跌
[890.32-894.32] 急跌到从9700 9300 8600
[894.32-898.32] 到那一天来上班其实是8100
[898.32-903.32] 那目前缓和回来到上个月平均是91700
[903.32-907.32] 那现在又缓和回到大概9500
[907.32-909.32] 但是现在红包又来
[909.32-912.32] 9500它汇率一下子两天就给你掉两块
[912.32-914.32] 就掉了10%
[914.32-920.32] 所以等于一个是其实是真正的金属期货商品
[920.32-924.32] 一个是金融汇率的市场商品
[924.32-930.32] 那这两个好像悄悄板就是一下子这边一下子这边
[930.32-933.32] 所以变得很难去去臆测
[933.32-936.32] 这个也无法臆测
[936.32-939.32] 那随着同级数的下跌
[939.32-943.32] 跟外销市场的需求减少以不确定性
[944.32-949.32] 那这边的公司其实在4月初就开了两块紧急会议
[949.32-954.32] 第一个就是我们要优先稳住我们长期
[954.32-959.32] 就是应该叫做长约 同的长约
[959.32-961.32] 以前如果出现这个情况
[961.32-963.32] 同的长约可能已经毁约了
[963.32-966.32] 大家都跑掉了 所以没有了
[966.32-968.32] 然后目前看起来还好
[968.32-972.32] 就是同的长约有继续这样稳定的出
[972.32-974.32] 还有后面
[974.32-979.32] 后面出货跟调整整个的库存
[979.32-982.32] 以前是都会抓住它的托段
[982.32-985.32] 库存水位高一点让它涨上去
[985.32-987.32] 这样你会赚到
[987.32-990.32] 现在如果看到大概也不太敢说
[990.32-992.32] 因为这一个月涨下一个月很可能
[992.32-994.32] 马上又跌到让你叫不敢
[994.32-997.32] 所以就以这边看起来就是
[997.32-1000.32] 这边只要不损伤太大
[1000.32-1004.32] 我们靠其他的调整成本
[1004.32-1009.32] 其他的产品来营业来获利
[1009.32-1011.32] 大概今年看起来是这样
[1011.32-1013.32] 但是整个同
[1013.32-1020.32] 其实在我们整个同小组的报告跟顾问的见
[1020.32-1024.32] 同的矿砂真的是切的
[1024.32-1027.32] TCRC一直付 付到70几
[1027.32-1032.32] 那这一个景性已经告诉你一年多了
[1032.32-1034.32] 同是切的 同是切的
[1034.32-1036.32] 没有人听得进去
[1036.32-1037.32] 就是说同是切的
[1037.32-1040.32] 我更不切 我更不买
[1040.32-1041.32] 我希望它A
[1041.32-1044.32] 但是如果哪一天是反向
[1044.32-1047.32] 那一涨可能就又回到1万以上
[1047.32-1051.32] 大概是一个是这样子
[1051.32-1053.32] 所以这个市场上
[1053.32-1058.32] 大概就是一直猜来猜去
[1058.32-1062.32] 那所以我们还是以稳定
[1062.32-1064.32] 把同转向
[1064.32-1067.32] 电力电缆来多做一些
[1067.32-1069.32] 那我来看电力电缆
[1069.32-1071.32] 电力电缆我们现在把它分开成
[1071.32-1075.32] 橡胶 低压 中压跟超高压
[1075.32-1076.32] 那橡胶的部分
[1076.32-1080.32] 今年的第一季是1476萬
[1080.32-1084.32] 去年的同期是3,531万
[1084.32-1086.32] 看起来是衰退
[1086.32-1088.32] 大概2,054万
[1088.32-1090.32] 那等一下我会再补充
[1090.32-1091.32] 其实这个是
[1091.32-1093.32] 我没有先调整
[1094.32-1095.34] 有先調整
[1095.60-1099.18] 最精彩是後面低壓中壓跟超高壓
[1099.70-1102.76] 在今年的第一季因為前面已經設定好
[1103.54-1108.40] 所以我們的低壓今年第一季是6億1679萬
[1108.66-1111.98] 去年同期是4億3622萬
[1112.50-1115.06] 在低壓裡面增加了1億8
[1115.56-1117.10] 大概增加了1億8
[1117.62-1120.18] 增加了大概40幾%
[1120.68-1122.48] 那再來就是中壓
[1122.48-1128.62] 中壓大概是低劑是3億4165萬
[1128.88-1130.16] 營業額
[1130.68-1134.52] 去年的同期是1億6317萬
[1135.02-1137.84] 增加的是1億7800萬
[1138.60-1139.38] 其實
[1139.64-1140.40] 其實
[1140.66-1143.22] 應該說今年的DQ
[1143.98-1145.26] 中壓特別好
[1145.78-1149.62] 相反的去年的DQ中壓特別爛
[1150.12-1152.44] 我們中壓大概希望
[1152.74-1154.02] 希望都是
[1154.52-1157.08] 能夠有8千萬一個月
[1157.34-1159.14] 不管什麼全部加起來
[1159.64-1162.20] 所以應該停在2.4是比較正常的
[1166.30-1169.64] 所以這個也增加很多也增加了1億7
[1169.88-1171.42] 低壓增加1億8
[1171.94-1172.96] 中壓這樣也增加1億8
[1173.48-1176.54] 那再來就是超高壓
[1177.06-1178.60] 超高壓大概第一季
[1179.10-1180.64] 4億9466萬
[1182.74-1185.56] 去年同期是2億5986萬
[1185.80-1186.84] 是增加了
[1187.08-1190.42] 2億3484萬
[1191.18-1194.26] 那這個也是有兩個理由
[1194.52-1195.54] 也就是說
[1196.04-1197.58] 我們在
[1197.84-1198.86] 那個
[1199.38-1204.50] 超高壓裡面我們今年的DG345做的比較多
[1204.76-1205.52] 345
[1205.78-1207.82] 那它的進度本來就會大
[1208.08-1209.36] 它的獲利本來就會好
[1209.62-1211.40] 同樣的比數來講
[1211.66-1212.18] 所以
[1212.48-1213.24] 這樣子
[1213.50-1216.06] 那今年的DG
[1216.32-1217.60] 超高壓特別好
[1218.12-1220.16] 因為1到3月
[1220.42-1221.70] 其中有兩個月
[1221.96-1222.98] 兩個月
[1223.24-1225.54] 有345KV的大批的
[1226.30-1228.60] 所以三個月裡面有兩個月是
[1229.64-1231.16] 都是35而且是大批的
[1231.68-1232.96] 所以是特別好
[1233.48-1235.26] 那所以我們在整個
[1235.78-1236.80] 電力電纜
[1237.06-1237.56] 這個
[1238.08-1238.84] 這樣看就是
[1239.10-1242.18] 低壓增加1億8中壓增加1億8
[1242.48-1244.28] 這個高壓也增加了2億3
[1244.52-1246.32] 這樣加起來應該有6億
[1246.84-1249.40] 剛剛同有損失大概4億
[1249.64-1250.16] 所以整體
[1250.68-1251.96] 整體還是carver過去
[1252.20-1253.24] 整體的用途
[1254.26-1258.36] 甚至應該說整體的產量跟用途是超過去年的DG
[1260.14-1261.68] 這樣就會比較安心一點
[1261.94-1262.44] 就是說
[1262.70-1263.98] 不是算的
[1264.24-1265.78] 而是另外另有用途
[1266.54-1267.82] 那接下來
[1269.36-1272.18] 在這邊看起來就是說我們
[1272.48-1275.30] 整個電力電纜
[1275.56-1277.34] 那個三分天下
[1277.86-1280.92] 以前現在是高壓
[1281.70-1283.74] 中壓跟低壓是三分天下
[1284.00-1285.80] 大概看起來就是這樣子
[1286.30-1287.84] 所以我們希望
[1288.10-1290.14] 當然高壓會大一點
[1291.42-1293.48] 那我們希望說
[1293.72-1295.26] 這個這樣是會平衡
[1296.04-1298.60] 這樣平衡就是說低壓至少
[1299.10-1301.92] 能夠有競爭力量也放開
[1302.48-1304.02] 這是好的事情
[1304.52-1305.30] 接下來
[1305.80-1309.90] 各縣來再描述一下就是整個橡膠
[1310.16-1311.96] 電力公司是持續
[1312.20-1315.54] 在新建燃氣的發電機組
[1315.80-1317.08] 你只要聽到
[1317.32-1319.12] 二階三階四階
[1319.64-1321.68] 就是要接天然氣的
[1322.20-1323.72] 從基隆的
[1323.98-1324.76] 四階
[1325.26-1326.28] 然後
[1326.80-1328.08] 三階然後二階
[1328.60-1329.10] 到
[1329.62-1330.64] 三階
[1330.90-1331.40] 到
[1331.66-1332.44] 三階
[1332.74-1334.02] 新檔應該是一階
[1334.52-1335.80] 這個都是天然氣
[1336.84-1339.14] 工廠所以這樣子
[1339.64-1341.96] 為什麼會講說他的發電機組
[1342.20-1342.72] 因為
[1342.98-1346.04] 發電機組要配線要用橡膠
[1347.08-1348.86] 它才柔軟才可以配線
[1349.12-1354.50] 那發電機組出去以後發電廠出去以後就會接上我們那個高壓
[1354.76-1356.04] 345或161
[1356.80-1359.88] 那這邊工廠也趁這個時候
[1360.12-1361.40] 有更新
[1361.92-1362.44] 橡膠
[1362.74-1364.02] 的壓除機
[1364.78-1366.06] 目前的訂單
[1366.32-1366.84] 訂單
[1367.08-1368.12] 是還有
[1368.36-1368.88] 一億
[1369.64-1371.18] 下半年
[1372.46-1374.26] 應該會開始入溪
[1374.76-1375.54] 在焦
[1376.56-1379.38] 這個合約裡面的三入之一或三入之二
[1380.14-1381.68] 所以這個是像焦的情況
[1381.94-1382.44] 怎樣
[1382.70-1385.26] 不是說沒有訂單把它停工換
[1385.52-1386.04] 壓除機
[1386.28-1387.82] 其實都還在很趕
[1389.36-1390.64] 再來就是
[1390.90-1392.44] 那這個值得一提就是
[1392.74-1394.02] 橡膠從很爛
[1394.52-1395.56] 然後慢慢變成
[1396.32-1397.34] 公司
[1397.86-1399.40] 華龍公司的
[1400.16-1401.70] 又恢復以前的競爭力
[1402.46-1404.52] 所以我們把人家除機再換完
[1405.02-1406.82] 那個競爭力應該會更強
[1408.36-1409.38] 這個是橡膠的部分
[1409.88-1410.92] 那再來
[1411.16-1412.70] 低壓電力電纜
[1412.96-1416.28] 我們在製造設備入溪
[1416.54-1417.56] 這個電控更新
[1417.82-1419.62] 現在還在更新
[1421.16-1421.92] 那
[1423.00-1424.28] 不是一直更新不好
[1424.52-1425.80] 就是已經更新好多台
[1426.06-1427.60] 那後面還有一兩台
[1428.88-1430.16] 這是電控更新
[1430.68-1433.24] 那再來就是也有買新的
[1433.74-1434.76] 智能自動化
[1435.28-1436.82] 機台的投入
[1437.32-1439.12] 所以像我們這些
[1439.38-1440.66] 自動化投入以後
[1441.16-1442.44] 所以我們那個
[1443.22-1444.24] 那個產能
[1444.76-1446.28] 尤其像2.0的
[1446.54-1447.82] 他們產能才會提升
[1450.38-1452.44] 那提升的技術跟生產效能
[1452.74-1454.02] 那就是我們在這個
[1454.28-1456.58] 同價集疊加劑的市場的
[1457.34-1458.12] 低價競爭
[1458.36-1460.42] 也就是說我們也想起這塊
[1460.68-1462.46] 那其實別人可能也想到這一塊
[1463.74-1466.04] 那尤其這一次又同疊
[1466.56-1467.32] 跟那個
[1467.58-1468.86] 台幣匯率是升的
[1469.12-1471.42] 也就是美金疊的
[1471.68-1473.72] 那這樣子以後
[1473.98-1475.26] 這樣子成起來
[1475.78-1477.82] 市場的議題就是你價格要低的
[1479.10-1482.18] 價格要低所以同價這樣給市場
[1482.74-1484.28] 就很怕
[1484.52-1487.86] 很怕又回到以前閉著眼睛亂接單
[1488.62-1489.14] 就是
[1489.64-1492.20] 為了不讓他工廠停
[1492.46-1493.74] 為了這個面子
[1494.52-1498.10] 整體為了營業額這個又是
[1498.60-1500.14] 回到負的毛利
[1500.40-1501.16] 那就不好
[1502.20-1504.76] 我們希望不會我們現在已經很聰明了
[1505.26-1506.04] 目前
[1506.28-1508.08] 累計訂單有14億
[1508.84-1510.90] 也就是說我們前面在
[1511.40-1512.44] 去年底定好
[1512.74-1513.76] 這個策略的時候
[1514.28-1515.56] 我們就
[1515.80-1517.60] 開始沖其實從
[1518.12-1519.64] 第一季不是第一季啊
[1519.90-1521.96] 第一個月第二個月第三個月
[1522.20-1523.74] 現在還持續在沖
[1524.52-1526.30] 所以現在手上的
[1526.56-1528.86] 有14億的這樣的訂單
[1529.64-1532.70] 這樣的訂單好像可以持續了30個月
[1533.22-1533.98] 30個月
[1535.26-1537.06] 好那接下來
[1538.08-1538.84] 中壓
[1539.36-1540.12] 這個電
[1540.64-1542.18] 基台下半年
[1542.74-1544.02] 進入電控更新
[1545.04-1548.12] 也就是說前面小台的電控更新大概沒什麼影響
[1548.88-1551.96] 那這一台大台的電控更新就要很
[1552.20-1552.72] 慎重
[1553.24-1556.04] 因為他電控更新一下子要半年
[1557.58-1560.92] 那這樣子我們以計劃性半成品庫存來應驗
[1561.68-1563.22] 目前在製造中的有2億
[1563.72-1567.32] 合約合約合計還有4.72億
[1568.34-1569.36] 所以我們
[1569.88-1570.90] 中壓是
[1571.40-1571.92] 希望敢
[1572.18-1572.44] 敢來上台
[1572.74-1574.02] 上班年把該做的
[1574.28-1574.78] 全部做好
[1575.04-1576.32] 然後去電工更新
[1577.86-1580.68] 接下來就是超高壓電力電纜
[1580.92-1583.74] 我們目前加速35kV高壓器材的
[1584.00-1584.76] 第二公英山
[1585.28-1586.30] 來做認證
[1586.82-1589.12] 現在也積極在爭取
[1589.38-1590.92] 新年度的標案
[1591.16-1593.98] 來增加工程的施工費用
[1594.76-1596.28] 因為去年跟今年
[1596.80-1598.34] 其實這個施工費用
[1598.84-1599.62] 增加很多
[1600.12-1600.90] 也就是說
[1601.40-1602.44] 現在外面施工
[1602.74-1603.24] 的
[1603.50-1604.28] 不管是
[1604.52-1607.08] 技術人員或是有執照的施工的人員
[1607.86-1609.40] 那樣的
[1609.64-1610.92] 每一天的薪水
[1611.96-1612.72] 是很重
[1612.98-1615.02] 那如果順利是很好
[1615.80-1616.82] 那如果不順利
[1617.08-1618.86] 光是人員的idol
[1619.12-1620.92] 就會很可怕
[1621.42-1622.96] 那我們希望說
[1623.22-1625.52] 業主能夠體會到這一點
[1626.80-1629.10] 那今年的生產計劃排程
[1629.62-1630.12] 今年
[1630.64-1631.40] 已經
[1631.66-1632.44] 確定排程了
[1632.74-1633.24] 排到年底
[1634.02-1636.06] 那甚至排不進去
[1636.32-1637.60] 就是
[1637.86-1639.64] 這個業主這邊也要那邊也要
[1639.90-1640.92] 那目前來講
[1641.96-1643.24] 持續就是
[1643.48-1644.52] 去應對
[1645.28-1647.58] 那整個合約現在製造中
[1647.84-1649.88] 4.41億
[1650.40-1651.42] 4.41億
[1651.68-1652.70] 這個
[1653.48-1655.52] 這是這樣講就是說這個
[1656.04-1657.32] 會變成往後
[1657.82-1659.62] 第二Q的業績
[1660.12-1661.16] 可能是這樣
[1661.40-1662.44] 所以第二Q的業績
[1662.74-1663.50] 看這邊的
[1663.76-1664.78] 就可以加上去
[1665.04-1668.12] 那目前合約累計還有69億
[1669.40-1670.42] 69億
[1670.68-1672.46] 其實是一個蠻大的數字
[1676.04-1678.36] 也就是說如果要把這個合約執行完
[1680.14-1682.70] 陸陸續續這個合約要完全執行完
[1682.96-1683.72] 可能
[1684.76-1686.54] 一年如果做15億的話
[1687.32-1688.84] 可能要四年都還排不完
[1691.16-1691.92] 這個觀念
[1691.92-1693.46] 但是沒有那麼好啦
[1693.72-1694.22] 就是說
[1694.74-1695.24] 那個
[1695.76-1698.06] 整體來講是從
[1698.32-1699.34] 土木
[1700.12-1701.40] 到我們的
[1701.90-1702.42] 電纜
[1702.92-1704.72] 到機電的施工
[1705.24-1706.26] 才算完成
[1706.76-1708.30] 那我們是在中間
[1708.56-1710.60] 如果前面的土木一直delay
[1711.12-1713.68] 那你即使有這個合約可能也要等一等
[1714.20-1714.96] 完全是
[1715.48-1716.24] 要配合
[1717.26-1717.78] 大概是
[1718.04-1719.06] 這個高壓的
[1719.56-1720.08] 情況
[1720.60-1721.88] 那今年就是靠的
[1722.18-1722.68] 低壓
[1722.94-1725.00] 那第一季就靠的低壓中壓跟高壓
[1725.76-1726.52] 接下來
[1727.80-1729.60] 我們看我們的通信光纜
[1730.12-1732.16] 那整個通信跟光纜
[1732.42-1735.74] 今年第一季是3253萬
[1736.00-1738.82] 去年同期是4556萬
[1739.32-1743.68] 那我記得一直講我們這連續三年在通信跟光纜
[1744.44-1746.76] 每一年大概是15%的衰退
[1747.00-1749.32] 已經連續衰退了大概的
[1749.82-1750.34] 三年
[1751.10-1752.38] 看看會不會有轉換
[1753.42-1754.44] 那近年來
[1754.70-1755.98] 全球行動
[1756.48-1757.00] 或
[1757.26-1758.54] 固網寬頻
[1758.78-1760.32] 及AI人工智慧
