[0.00-7.28] 跟各位先进报一下
[535.32-538.32] 我们的营收款项周转率
[538.32-540.32] 以及存货周转率
[540.32-544.32] 还是呃呈现一个下降的趋势
[544.32-546.32] 那这个部分刚刚有说明到
[546.32-550.32] 主要是受到我们这个客户的工程进度影响
[550.32-554.32] 导致我们的营收还有存货的增加
[554.32-555.32] 那这个部分
[555.32-558.32] 我们后续也会再持续的努力
[558.32-563.32] 尽快把我们的营收还有存货的水准再把它降低
[565.32-570.32] 那以上是关于我们财务的说明
[570.32-572.32] 那接下来
[572.32-574.32] 进入到我们本业的部分
[574.32-577.32] 因为可能有些先进
[577.32-579.32] 对于我们公司不是那么熟悉
[579.32-582.32] 那我还是针对我们的电力事业
[582.32-586.32] 先做一个简单的介绍
[586.32-589.32] 首先是我们电力事业
[589.32-592.32] 在市场上面的一个竞争优势
[592.32-594.32] 那第一点是我们在
[595.32-598.32] 600伏到161kV
[598.32-600.32] 这个
[600.32-602.32] 这个
[602.32-604.32] 中压高压特高压的部分
[604.32-606.32] 我们都算是
[606.32-608.32] 非常专业的电线电缆厂
[608.32-610.32] 我们的产品线也相当完整
[610.32-613.32] 那我们在民间的中间工程
[613.32-615.32] 还有特高压的
[615.32-616.32] 电缆
[616.32-618.32] 还有包括像
[618.32-620.32] 火力水力风力各种
[620.32-622.32] 各类的电厂
[622.32-624.32] 我们的施展率都
[624.32-626.32] 也算有一席之地
[626.32-628.32] 那我们的品质
[628.32-631.32] 也是有受到客户的肯定跟支持
[631.32-632.32] 那另外我们也是
[632.32-635.32] 可以提供一个完整的技术规划
[635.32-637.32] 以及员工带药的服务
[637.32-639.32] 那另外我们目前在
[639.32-641.32] 从南到北
[641.32-644.32] 包括台北桃园台中台南高雄
[644.32-646.32] 我们都有
[646.32-647.32] 不同的据点
[647.32-649.32] 可以来服务我们的客户
[649.32-653.32] 让我们的服务的网路更为的紧密
[654.32-656.32] 这方面我希望
[656.32-657.32] 大家发到所欲的感觉
[657.32-676.76] 也能跟我们驾驶
[676.76-677.72] 感觉
[677.72-679.84] 会非常有机 Deborah
[679.84-682.96] 您是一小型买家
[682.96-683.32] 您应该害怕人
[683.32-684.32] 还不是
[684.32-687.64] 也是持續的去研發創新
[687.64-691.62] 包括像是我們的防輸椅電纜
[691.62-694.00] 我們目前是可以提供這個
[694.00-697.08] 中效合一的防暑防雨的電纜
[697.08-703.26] 那另外在像是我們的耐熱耐燃電纜
[703.26-704.80] PPC5000電纜
[704.80-707.10] 我們也算是最早在市面上
[707.10-710.68] 推出5000電纜的廠商之一
[710.68-713.34] 我們的TT耐熱電纜
[713.34-717.32] 也是有取得四大國際的規範認證
[717.32-720.04] 包括像ULTUV等等
[723.72-726.52] 剛剛有提到這個特高壓的部分
[726.52-729.78] 我們特高壓電纜在從
[729.78-733.00] 我們一開始生產到目前為止
[733.00-736.00] 包括到今年的第一季為止
[736.00-738.34] 包括69.161kV
[738.34-739.92] 我們總共是有
[739.92-740.62] 這個
[740.62-744.58] 呈至了263萬公尺的長度
[744.58-749.38] 剛剛提到的這個防輸椅和雙效電纜
[749.38-753.68] 目前也是有64萬公尺的時值
[757.64-761.06] 電力電纜這邊在說明下
[761.06-763.86] 我們去年跟今年第一季的
[763.86-766.38] 這個銷售產品組合
[766.38-770.50] 我們可以看到那個最大塊的這塊插流P
[770.50-772.04] Giant PE的部分
[772.04-777.80] 是我們大概600伏以上的電力電纜的產品
[777.80-781.50] 就會用到這個Giant PE
[781.50-784.84] 目前它是算是我們的銷售
[784.84-786.12] 以金額來看
[786.12-788.42] 這個銷售佔比是最大的
[788.42-791.24] 去年一整年是佔大概67%
[791.24-794.56] 今年第一季是大概70%
[794.56-800.34] 第二個佔比排行第二名的就是PVC
[800.34-801.62] PVC的部分
[801.62-804.44] 在去年一整年是大概20%
[804.44-808.78] 今年第一季是大概18%左右
[808.78-812.12] 其他的部分就是佔比比較小
[812.12-815.70] 包括像這個FRLSNH
[815.70-818.78] 就是耐爾耐爾DN5的部分
[818.78-821.08] 去年是一整年3%
[821.08-824.40] 今年第一季是1%
[824.40-826.20] 這個
[826.20-830.30] 同腳線SILSTRAN的部分大概是3到4%的水準
[830.34-834.44] 通信的部分目前佔比就比較小
[834.44-837.50] 其他還有包括一些
[837.50-839.30] 原料工程等等
[839.30-842.12] 這個佔比大概7%左右
[842.12-845.18] 那這個就是我們
[845.18-851.84] 近年的一個銷售產品的組合
[851.84-856.20] 最後跟各位報告一下我們這個
[856.20-860.30] 各事業未來的展望
[860.34-862.90] 首先在電力電力的部分
[862.90-864.94] 第一個還是
[864.94-867.50] 配合政府的這個
[867.50-870.32] 能源轉型政策推動
[870.32-871.86] 還有包括這個
[871.86-873.40] 強韌電網
[873.40-876.46] 計畫的這個時程提前
[876.46-880.56] 另外以及台電能源的開發計畫
[880.56-883.64] 還有我們目前看到是
[883.64-887.48] 各行各業包括這個
[887.48-890.04] 科技業的建廠或是
[890.04-891.58] 其他的
[891.58-893.62] 工業的建廠都也在
[893.62-896.18] 持續的進行推進當中
[896.18-898.74] 我們目前是看到這個
[898.74-900.80] 國內的電力電力的需求
[900.80-903.36] 的可見度是還不錯的
[903.36-904.88] 那我們
[904.88-908.22] 剛有報告過就是我們原本通過基板的事業
[908.22-911.80] 場地的這個改建我們目前已經在進行當中
[911.80-913.34] 那我們後續也是會
[913.34-917.94] 積極的在開發我們新的技術新的產品
[917.94-920.00] 並且提升我們的生產
[920.04-921.06] 技術
[921.06-922.08] 還有
[922.08-924.14] 範圍它的縱小
[924.14-927.20] 也會持續的在
[927.20-928.48] 參加
[928.48-931.04] 不同種類的展覽來
[931.04-934.88] 提升我們鴻南電工的能見度以及去
[934.88-936.42] 拓展我們的客源
[936.42-938.22] 這是我們電線電纜
[938.22-940.00] 未來的一個
[940.00-941.54] 展望的一種向
[941.54-944.88] 開發事業這邊我們開發事業主要
[944.88-946.40] 分兩個方向
[946.40-949.74] 第一個是因應公司的事業發展
[949.74-954.10] 那協助來開發那個我們可能在
[954.10-956.40] 製造事業這邊所需要的
[956.40-958.70] 土地
[958.70-960.50] 那另外就是
[960.50-963.82] 投資進股動產的部分我們還是會評估
[963.82-966.64] 包括我們目前手上持有的
[966.64-967.66] 還有
[967.66-971.24] 市場上的一些物件評估它未來的發展性
[971.24-973.80] 還有投資報酬率等等
[973.80-975.86] 那設定短中期
[975.86-977.90] 短中長期的目標
[977.90-979.70] 來進行這個出售
[979.74-984.86] 就是我們開發
[984.86-988.44] 那另外投資事業的部分
[988.44-992.02] 投資事業今年
[992.02-995.36] 目前第一季是
[995.36-997.40] 我們策略包括
[997.40-1000.22] 包括第二季是會聚焦在
[1000.22-1004.06] 觀察這個經濟衰退的風險
[1004.06-1009.18] 包括像是聯準會的降息節奏還有停滯性通膨這些可能
[1009.18-1009.70] 帶來的
[1009.70-1010.98] 潛在衝擊
[1010.98-1013.28] 那在中短期的配置上
[1013.28-1016.10] 我們會逐步回收我們比較一些
[1016.10-1017.90] 高風險的資產
[1017.90-1019.94] 那優先佈局是
[1019.94-1021.74] 具有基本面支撐
[1021.74-1023.02] 而且
[1023.02-1027.88] 可能評價比較好的一些低基期的標的
[1027.88-1031.72] 那在長期策略我們會持續去關注這個
[1031.72-1033.76] 結構性的
[1033.76-1034.54] 成長
[1034.54-1035.56] 具有這個
[1035.56-1038.62] 結構性成長前立的產業的趨勢
[1038.62-1039.66] 那在這個部分
[1039.70-1040.72] 我們會在
[1040.72-1042.52] 提升我們的資產配置
[1042.52-1046.62] 那整體的部分我們還是會盡量以比較一個靈活的策略
[1046.62-1047.38] 但是
[1047.38-1049.42] 同時注重風險控管
[1049.42-1050.46] 這個
[1050.46-1051.98] 專門旗下的原則
[1051.98-1053.78] 希望在這個
[1053.78-1058.14] 今年比較不確定性的國際環境中可以
[1058.14-1060.18] 謀求我們穩健的收益
[1060.18-1062.74] 跟這個我們比較長期的
[1062.74-1067.60] 資本成長的平衡
[1067.60-1069.14] 最後的總結
[1069.14-1071.18] 是
[1071.18-1072.22] 今年
[1072.22-1073.74] 今年
[1073.74-1076.56] 到目前為止其實整個
[1076.56-1079.38] 國際經濟
[1079.38-1081.68] 在政治上面的變化都
[1081.68-1082.70] 蠻大的
[1082.70-1084.24] 包括像是
[1084.24-1087.32] 關稅還有地緣政治等等的因素
[1087.32-1088.60] 所以我們的
[1088.60-1090.90] 整體經濟目前看起來
[1090.90-1093.72] 不確定性還是蠻高的
[1093.72-1096.54] 那在電線電纜市場這一塊
[1096.54-1099.10] 剛有報告到政策以及
[1099.14-1100.42] 這個需求
[1100.42-1102.22] 的帶動之下
[1102.22-1104.52] 電線電纜市場我們目前
[1104.52-1106.82] 在今年度看起來還是
[1106.82-1109.90] 它的展望還是偏省聲樂觀
[1109.90-1112.20] 那
[1112.20-1115.26] 公司我們這邊將持續的在
[1115.26-1116.80] 控管我們的庫存
[1116.80-1117.82] 盡量去
[1117.82-1119.62] 降低我們的存貨
[1119.62-1120.64] 然後也會
[1120.64-1123.98] 密切的去關注銅價的變動
[1123.98-1125.00] 因為畢竟
[1125.00-1127.04] 電線電纜產業這個銅
[1127.04-1128.84] 在我們的成本戰
[1129.14-1131.44] 裡面是相當大的一塊
[1131.44-1134.78] 那我們會持續的
[1134.78-1140.66] 在這方面多注意然後來降低我們的一定風險
[1140.66-1142.20] 以上報告
[1142.20-1146.54] 那接下來
[1146.54-1150.14] 不知道各位有沒有什麼
[1150.14-1151.92] 要提出的問題
[1151.92-1159.10] 如果沒有問題的話那我們今天的這個
[1159.10-1162.42] 訪問會就到此告一段落謝謝大家謝謝
