[0.00-4.00] 我們在座我們有總經理我們紀先生在這邊
[714.00-716.00] 那目前都已經在運作當中
[716.00-721.00] 那我們就會變成是從亞太這邊跨到整個北美這邊的市場上面的Regulatrix
[721.00-723.00] Sport的一個建立的部分
[723.00-727.00] 這邊也讓各位有一個了解
[727.00-733.00] 那主要的部分其實我想從4月一直到現在
[733.00-736.00] 我們一直在關心的就是關稅
[736.00-738.00] 關稅的不確定性的問題
[738.00-741.00] 那因為關稅的部分中國也一直在發展他們所Local的品牌
[741.00-743.00] Local的品牌
[744.00-748.00] 那關稅的這個部分造成的所謂的經濟的不確定性這個部分
[748.00-751.00] 會不會影響到整個一個市場上面的一個消費需求
[751.00-753.00] 也是我們要關切的
[753.00-755.00] 那目前我們分享各位可以了解是說
[755.00-757.00] 即使在美國的市場上面來講
[757.00-762.00] 不管從桌上型的電腦、平行型的電腦到智慧型的手機到伺服器
[762.00-765.00] 即使美國這個市場都是非常重要的市場
[765.00-769.00] 那這個部分會不會影響整個一個所謂的兩大經濟體這個部分
[769.00-771.00] 在整個市場上面的一個Demand的部分
[771.00-772.00] 會不會有下行的風險
[772.00-773.00] 這個都是我們在觀察的部分
[774.00-778.00] 那我們很關心的一點當然就是匯率
[778.00-779.00] 匯率我們剛才講
[779.00-782.00] 我剛才那兩張的財務的資訊
[782.00-787.00] 從那個水利表我們平均的匯率在水利表上面32點多
[787.00-792.00] 到3月底它的資產負債表的匯率是33.1
[792.00-793.00] 那目前多少
[793.00-795.00] 目前已經升破30
[795.00-801.00] 那升破30對通路上來講對營收獲利上面來一定會有壓抑
[801.00-802.00] 那這個部分
[802.00-804.00] 所以整個部分
[804.00-808.00] 整個各位可以看到是說在上半年的Q1 Q2的展望上面來講
[808.00-811.00] 因為關稅的不簽訂性還有一個混免期的問題
[811.00-817.00] 所以在Q2這邊大概都有提前在拉貨的效率都已經跑出來了
[817.00-821.00] 那未來Q3 Q4這一個部分等到它關稅混免期7月
[821.00-822.00] 目前看來7月
[822.00-828.00] 那中國這邊因為301關稅的部分它不是又轉移到8月底
[828.00-832.00] 那整個Q3 Q4這一個部分在面對這個高關稅的挑戰跟景氣會不會因為頂面下行的風險
[832.00-833.00] 整個Q3 Q4這一個部分在面對這個高關稅的挑戰跟景氣會不會因為頂面下行的風險
[833.00-835.00] 這個東西也都是我們在關心著
[835.00-840.00] 所以這個部分我們也只能夠隨時去看待它一個狀況是怎麼樣
[840.00-847.00] 所以這個大概是我們列出來就是說這個挑戰跟機會跟景氣的看法
[847.00-850.00] 大概是我們把它做一個簡單的summarize
[850.00-854.00] 那接下來我們重點就是在Q&A這個部分
[854.00-857.00] 那這邊的時間我就交給我們總經理這邊
[857.00-862.00] 還有各位好朋友這邊你們有什麼問題我們要拿出來做一些溝通跟討論是這樣子
[862.00-863.00] 謝謝
[863.00-865.00] 謝謝
[865.00-867.00] 謝謝
[867.00-870.00] OK我想這個
[870.00-872.00] 對不起
[872.00-875.00] 那這簡報基本上也滿簡短的啦
[875.00-879.00] 但是基本上大概整個公司的一個picture
[879.00-884.00] 我想大概就這種很短的時間我相信大概也滿清楚的啦
[884.00-885.00] 滿清楚的啦
[885.00-892.00] 那麼這一次我特別發現就是可能參加人比較比我們之前都比較多
[892.00-900.00] 那當然我也很好奇就是說為什麼這一次大家會那麼熱烈
[900.00-902.00] 那麼再來我想很多的時間
[902.00-908.00] 那麼我們可以就這個裡面的看法或者是我們公司這邊的看法
[908.00-910.00] 大家能夠有一些互動
[910.00-913.00] 我想大概簡單就是這樣
[913.00-916.00] 那不曉得我們就可以開始了
[916.00-920.00] 總經理我先請教一下這個第一季產品這個結構出來
[920.00-921.00] 這個因為我們第一季的時候YY在市場上是一個產品的結構出來的
[921.00-927.00] 那有沒有各項產品線它是在第一季的YY的一個表現數據
[927.00-932.00] 然後第二個問題就是我們看到今年度的這個PC和IPCYY
[932.00-934.00] 我們目標是29%成長
[934.00-940.00] 這比我們想到看到的一些資料就是包括你們剛呈現的成長幅度要大
[940.00-944.00] 這個是就你們看是你們的content value增加還是代理線增加
[944.00-945.00] 還是怎麼樣的原因
[945.00-946.00] 謝謝
[946.00-950.00] OK各個產品線可能不是很方便
[950.00-951.00] 方便
[951.00-953.00] 在這個地方跟你們報告
[953.00-957.00] 但是針對這個尤其你提到這個PC這邊的問題
[957.00-960.00] 其實我們產品線並沒有特別的增加
[960.00-964.00] 其實我們主要是我們主要的產品線
[964.00-967.00] 那麼其實就是A公司
[967.00-971.00] A公司其實就是它產品的強勢
[971.00-974.00] 所以我們因為有這個代理線
[974.00-978.00] 所以我們整個在market上面整個在這個
[978.00-980.00] 我們可以講是主要就是在game share
[980.00-983.00] 我們的market share一直在增加
[983.00-987.00] 所以主要是這個部分讓我們整個這個PC這個
[987.00-991.00] 你看到我們是29%將近30%的一個
[991.00-992.00] 這樣一個growth
[992.00-995.00] 你比較整個PC市場其實這是兩件事情
[995.00-996.00] 這是兩件事情
[996.00-1000.00] 所以我們主要是從另外的competitor那一邊
[1000.00-1003.00] 我們拿到比較多的一個市場的份額
[1003.00-1006.00] 所以大概大概是這個原因
[1006.00-1007.00] 那總結給你講
[1007.00-1009.00] 所以我們這個AXD的東西
[1009.00-1012.00] 對我們現在在代理的這一塊
[1012.00-1015.00] 去年度和今年度DG這個成長性
[1015.00-1017.00] 可不可以稍微提一下
[1017.00-1021.00] 它可能maybe equal DG的成長
[1021.00-1023.00] 我看我給你一個reference
[1023.00-1025.00] 大概去年
[1025.00-1029.00] 從去年第三季來講
[1029.00-1031.00] 如果以大中國地區這一邊
[1031.00-1034.00] 這一邊CPU上面的market share
[1034.00-1038.00] 那個時候應當差不多20%
[1039.00-1041.00] 25上下
[1041.00-1044.00] 那經過這三個季度來講
[1044.00-1047.00] 現在的market share應當快接近
[1047.00-1049.00] 可能45%到50%
[1049.00-1052.00] 幾乎是double
[1052.00-1054.00] 所以這一塊對我們營業的貢獻
[1054.00-1056.00] 其實是非常的可觀
[1056.00-1058.00] 非常的可觀
[1058.00-1063.00] 因為這個是在它的server還是desktop
[1063.00-1064.00] 這個在desktop上面
[1064.00-1065.00] 然後在server上面
[1065.00-1066.00] 事實上server上面
[1066.00-1067.00] 你可以看到現在
[1067.00-1069.00] 我們不是在進行這個
[1069.00-1070.00] 我們不是在講AI那一塊
[1070.00-1071.00] 我們在講這個general
[1071.00-1072.00] general server
[1072.00-1074.00] general purpose server這一塊
[1074.00-1076.00] 其實它在主要在中高階
[1076.00-1079.00] 你會發現這個AMD這個市場的share
[1079.00-1080.00] 因為我知道
[1080.00-1084.00] 大概這個高階大概百分之七八十個percent的share
[1084.00-1085.00] 幾乎都是它的
[1085.00-1088.00] 那中低階當然主要還是在中低階
[1088.00-1090.00] 那中低階這邊當然
[1090.00-1093.00] 因為可能AMD基本上
[1093.00-1095.00] 它現在主要是focus在這一塊
[1095.00-1096.00] 所以那低階的
[1096.00-1097.00] 可能是
[1097.00-1099.00] 可能下一步的策略
[1099.00-1101.00] 可能會往這邊去
[1101.00-1103.00] 就很像現在的CPU一樣
[1103.00-1104.00] 它主要都是在中高階
[1104.00-1105.00] 那DBA這邊
[1105.00-1107.00] 依然是價格比較低
[1107.00-1109.00] 或者是它整個供應的問題
[1109.00-1112.00] 所以它現在主要包括server的CPU
[1112.00-1114.00] 跟這個PC上面的CPU
[1114.00-1116.00] 主要都是在中高階
[1116.00-1121.00] 那如果就我們這個54%的比重的話
[1121.00-1123.00] server包括就general server
[1123.00-1126.00] 和AI server的比重
[1126.00-1129.00] 大概是佔怎麼樣的一個數字
[1129.00-1131.00] 按這個來看
[1147.00-1149.00] 應當PC的部分
[1149.00-1151.00] 應當大概有7成
[1156.00-1158.00] 7成以上
[1159.00-1171.32] 請教我們怎麼看MD在AI Server的成長性
[1171.32-1177.98] AI Server最大面臨的當然就是MU
[1177.98-1182.02] 而且MU這次在Commutates
[1182.02-1187.36] 感覺上提供的手錄型越來越完整
[1187.36-1190.80] 包括連PC大概他也都在手裡
[1190.80-1193.56] 甚至於資料中心各方面
[1193.56-1198.30] 感覺是一個滿大的計畫
[1198.30-1203.28] 就AMD來講當然它在MI這一塊
[1203.28-1205.22] 就是在AI Server這一塊
[1205.22-1211.96] MI300的部分其實就美國的CSP
[1211.96-1214.62] 跟大陸的Mega Data Center
[1214.62-1217.16] 事實上還是有
[1217.16-1217.36] 還是有一個很大的成長性
[1217.36-1219.66] 還是有它的Support
[1219.66-1221.76] 比如說像現在大家都知道的Meta
[1221.76-1223.80] Microsoft跟Oracle事實上
[1223.80-1226.44] 在AMD的MI這一塊其實都還不錯
[1226.44-1229.14] 那大陸之前MI308在做的時候
[1229.14-1231.60] 包括BuyDance 騰訊大概也都有
[1231.60-1233.24] 都是他們個人
[1233.24-1234.38] 那當然現在大陸這一塊
[1234.38-1236.84] 現在就沒有了
[1236.84-1239.38] 那你現在在未來這一邊
[1239.38-1241.88] 那我想AMD還是會
[1241.88-1245.16] 它有它繼續產品上面的Rollmap
[1245.16-1247.16] MI300 325
[1247.16-1250.56] 350很像是 據我知道很像是這一季大概
[1250.56-1251.90] 350要有了
[1251.90-1256.24] 然後它MI400 450大概它都會有一個Rollmap會出來
[1256.24-1260.50] 所以然後它自己的這個Rollcom
[1260.50-1264.04] 就是所謂的這個NVLink這一邊
[1264.04-1265.52] 這個Rollcom自己本身
[1265.52-1267.42] 它帶動一個建了一個軟體
[1267.42-1270.42] 然後這個UA Link現在也是
[1270.42-1272.98] 它是主要的一個Leader的角色
[1272.98-1274.76] 所以我想在這個部分
[1274.76-1276.96] 我想AMD大概一定會持續嘛
[1276.96-1281.60] 一定會持續它的一個方向
[1281.60-1283.34] 所以這一塊我認為就是
[1283.34-1284.74] 可能需要時間嘛
[1284.74-1285.60] 對
[1285.60-1286.60] 所以因為大家都知道
[1286.60-1288.74] 可能NV的Equalsystem做得比較好
[1288.74-1288.98] 對
[1288.98-1290.04] 所以你覺得
[1290.04-1291.74] 但是相對的你現在它
[1291.74-1292.74] 你看它現在
[1292.74-1294.74] 你說NVLink它Open以後
[1294.74-1295.88] 那事實上你做
[1295.88-1297.34] 有一些做A-SIG Company
[1297.34-1298.58] 你說做了以後
[1298.58-1299.92] 那你是不是
[1299.92-1302.18] 即使Open Source跟這個NVLink
[1302.18-1304.76] 在我看來是兩邊世界
[1304.76-1306.96] 那你是不是所有人
[1306.96-1308.62] 真的都
[1308.62-1309.66] 都
[1309.66-1310.10] 對不對
[1310.10-1311.36] 都願意走這一條路
[1311.36-1312.10] 到最後都
[1312.10-1313.70] 整個都綁死在這個上面
[1313.70-1315.60] 所以這是一個很大的Question
[1315.60-1316.84] 但是問題是它現在
[1316.84-1318.44] 它真的是夠強嘛
[1318.44-1319.28] 它真的是夠強
[1319.28-1322.70] 大家很多大部分的應用是離不開它
[1322.70-1323.80] 所以這個也是
[1323.80-1325.64] Long NV陣營這一邊
[1325.64-1327.98] 事實上面臨到了一個比較
[1327.98-1328.74] 比較
[1328.74-1330.62] 比較大的一個主流性的問題
[1330.62-1331.28] 所以這個
[1331.28-1332.42] 這個就是需要時間啦
[1332.42-1333.52] 我覺得
[1336.96-1340.06] 總於讓我們再問
[1340.06-1341.86] 你可以把所有的問題讓他問
[1341.86-1343.00] 我看到都沒有
[1343.00-1344.26] 我看得很像
[1344.26-1346.24] 這個所以像它的
[1346.24-1349.30] 這A公司的這個GPU
[1349.30-1350.44] 也是我們代理
[1350.44-1352.00] 或者說它是WACOM
[1352.00-1353.20] 現在MI
[1353.20-1354.18] 現在MI的部分
[1354.18-1355.14] 就是它AI的部分
[1355.14-1357.52] 大部分都基本上它自己做
[1357.52-1358.58] 它自己W代理
[1358.58-1359.22] 所以我們還是
[1359.22-1360.38] 它是唯一的
[1360.38-1362.06] 一些都是他們直接在出
[1362.06-1363.22] 但是大陸的部分
[1363.22-1366.12] 事實上是有透過代理的
[1366.12-1366.70] 大陸的部分
[1366.70-1368.20] 但是現在大陸都沒有
[1368.20-1368.70] 對
[1368.70-1369.30] 當然沒有
[1369.30-1370.64] 所以這一塊對AMD來講
[1370.64-1372.14] 其實就像MV一樣
[1372.14-1372.90] 他說
[1372.90-1374.10] 這一塊對MV來講
[1374.10-1376.68] 他說大陸這一塊的聲音是
[1376.68-1376.98] 多少
[1376.98-1379.68] 15個B還16個B的
[1379.68-1381.68] 長期聲音上面的影響
[1381.68-1384.18] 那對AMD來講
[1384.18-1386.48] 沒有一點多個B
[1386.48-1388.02] 大概八九百個mini
[1388.02-1390.02] 到一個B裡面大概
[1390.02-1391.36] 大概也是有吧
[1391.36-1392.70] 所以這一塊大概基本上
[1392.70-1393.52] 大家都
[1393.52-1395.06] 都是有受到影響
[1395.06-1396.70] 不過我想這個
[1396.70-1399.70] 現在常常在變
[1399.70-1401.58] 這個什麼時候會再變回來
[1401.58-1404.70] 這個也很難說
[1404.70-1407.08] 所以我們主要是代理它的CPU
[1407.08-1408.98] 我們主要就是MI的
[1408.98-1410.78] 除了MI以外的東西
[1410.78-1411.94] 其實我們都是
[1411.94-1412.58] 它的會讀卡
[1412.58-1413.28] 都是CPU
[1413.28-1414.62] 全部
[1414.62-1415.72] 它的顯示卡
[1415.72-1417.66] 它的chipset
[1417.66-1419.46] 它的CPU
[1419.46-1420.56] 它的embedded
[1420.56-1421.74] 就是那種
[1421.74-1422.70] 卡路式的
[1422.70-1425.46] 這個工業電腦在用的這個東西
[1425.46-1426.70] 甚至於它的
[1426.70-1429.70] 它買過來這個FPGA-C15
[1429.70-1430.70] 我們也都有在做
[1430.70-1433.70] 所以我們基本上是全線在做
[1433.70-1434.70] 那當然主要的營業額
[1434.70-1436.70] 還是主要是來自於PC這個部分
[1436.70-1437.70] 就AMD來講
[1437.70-1438.70] 他們是講Kai
[1438.70-1440.70] 就是Kai這個部分
[1440.70-1445.70] 那目前營業額主要還是來自在這個塊
[1445.70-1446.70] 總體請問一下
[1446.70-1450.70] 我們現在FAE的人數大概是多少
[1450.70-1452.70] 我們FAE現在的比重還是蠻高的
[1452.70-1454.70] 我們大概應當是
[1454.70-1455.70] 大陸台灣大概是
[1455.70-1456.70] 大概是
[1456.70-1457.70] 大概每兩個業務
[1457.70-1460.70] 大概應當就有一個技術人員
[1460.70-1461.70] 對
[1461.70-1462.70] 就一個FAE或者是AE吧
[1462.70-1466.70] 所以去年這個時間帶是怎麼樣的
[1466.70-1467.70] 多少人數
[1467.70-1468.70] 現在是多少
[1468.70-1472.70] 那規劃到年底會是怎麼樣
