[0.00-6.00] 大家好,智盛的功力,由我這邊開始
[896.00-898.00] 目前的確我看價格都很高
[898.00-902.00] 但是我們去年開始
[902.00-904.00] 跟我們討論說
[904.00-906.00] 我們看到的百本的狀態
[906.00-907.00] 目前有逐漸拉高
[907.00-909.00] 可是還是比較集中化
[909.00-911.00] 比較客戶在往上拉
[911.00-912.00] 所以在PCB產業
[912.00-914.00] 我們看到的是這個狀況
[914.00-918.00] 用這張圖來跟各位分享
[918.00-923.00] 現在從2023年開始
[923.00-925.00] 我們看到的是Face1的AI的一個
[925.00-928.00] 核心技術建設的發展
[928.00-931.00] 比如說我們現在的CSP廠的資本支出
[931.00-935.00] 都在第一階段的AI的基礎架構
[935.00-937.00] 但是從DipSeq開始
[937.00-939.00] 就蠻多的變化了
[939.00-940.00] 我們自己也看到到這個現象
[940.00-944.00] 在市場上跟客戶在討論新的規格
[944.00-945.00] 新的訂單的時候
[945.00-952.00] 我們就發現HDI的訂用開始在動
[952.00-958.00] 雖然現在沒有一個大的一個鏈
[958.00-963.00] 但是我們覺得在HDI的訂用
[963.00-965.00] 會開始會增長
[965.00-967.00] 尤其在2025到2020年
[967.00-969.00] 我們看到的這個新的AI的應用
[969.00-970.00] 我覺得會陸續開始
[970.00-971.00] Mobile device
[971.00-973.00] 我們也看到在我們的交通設備
[973.00-975.00] 對應客戶的資本支出
[975.00-977.00] 有一些的智能是在對應
[977.00-979.00] 這種行動導致的
[979.00-981.00] 我們也看到這個現象
[981.00-984.00] 所以可以期待這件事情
[984.00-986.00] 然後我們也看到AI的應用
[986.00-988.00] 也開始變多
[988.00-990.00] 因為從去年第四季開始
[990.00-992.00] 我們看到有一些B2B的AI的應用
[992.00-993.00] 開始在應用出來
[993.00-995.00] 那B2B的應用不管再加上
[995.00-997.00] 我們今年第一季的時候
[997.00-998.00] 用Sync的一個狀態
[998.00-1000.00] 延伸這個速度會加快
[1000.00-1001.00] 所以我會
[1001.00-1002.00] 因為我們角度
[1002.00-1005.00] 我們會很高興看到這個事情
[1005.00-1007.00] 因為這是一個加速的另外一個東西
[1007.00-1010.00] 就是製程的多元化會開始
[1010.00-1012.00] 製程多元化開始之後
[1012.00-1016.00] 就會讓各種不同的設備的需求會更出來
[1016.00-1019.00] 因為貴賓公務議案
[1019.00-1024.00] 我會把頭挑起來
[1025.00-1027.00] 我會把頭挑起來
[1027.00-1028.00] 我會把頭挑起來
[1028.00-1029.00] 我會把頭挑起來
[1029.00-1030.00] 我會把頭挑起來
[1030.00-1032.00] 那這個是
[1032.00-1036.00] 這個是針對OS的一個產品
[1036.00-1037.00] 我剛才跟各位分享
[1037.00-1040.00] 我們看到現象
[1040.00-1042.00] 就是因為Deep Seeker的
[1042.00-1045.00] 把這畫面縮下來
[1045.00-1047.00] 不行
[1047.00-1049.00] 那我畫面好嗎
[1052.00-1054.00] 好 我放這裡
[1054.00-1055.00] 好
[1055.00-1058.40] 我们看到是因为这个Sync的问题
[1058.40-1060.40] 这个其实蛮快的
[1060.40-1061.84] 还没讲我们看到蛮快
[1061.84-1064.48] 但是现在不仅是Covas
[1064.48-1065.60] 我们看到Triplet
[1065.60-1067.52] Triplet的应用软件
[1067.52-1070.96] 原本的分到网多层数的RBL
[1070.96-1073.84] 制程技术应用也开始起来
[1073.84-1075.96] 因为它应用的点都会在属于
[1075.96-1077.64] 比较PC类的
[1077.64-1080.14] 或者是Mobile Device类的应用
[1080.14-1083.76] 所以我会觉得Covas当时主要
[1083.76-1084.92] 这两点主要没错
[1084.92-1085.96] 但是其他的不会太少
[1085.96-1088.18] 那我们先谈Covas
[1088.18-1090.60] Covas是当前AI的一个
[1090.60-1092.62] 主要的一个生产制度
[1092.62-1094.98] 我们回去看
[1094.98-1097.58] 我们的龙头T公司
[1097.58-1099.74] 它的3D Fabric
[1099.74-1101.68] 里面其中一个最重要的就是
[1101.68-1102.98] Covas的平台
[1102.98-1103.58] DX的硬件
[1103.58-1105.46] 我们可以看到这两件事情
[1105.46-1108.26] 那Covas平台就很明确的
[1108.26-1111.90] 如魏同台所提的
[1111.90-1113.74] 在2025年
[1113.76-1116.52] 它的供应源源需求
[1116.52-1118.16] 这个逻辑还在
[1118.16-1119.72] 其实还在
[1119.72-1120.42] 只是说
[1120.42-1123.46] 大家会认为说去年这种爆发实践
[1123.46-1125.00] 可能今年还会继续爆发吗
[1125.00-1126.52] 明年还会继续爆发吗
[1126.52-1128.92] 那今年我觉得看起来应该
[1128.92-1131.08] 不太担心
[1131.08-1132.72] 我还觉得是明确的
[1132.72-1133.72] 我觉得是明确的
[1133.72-1135.32] 但明年我觉得要持续观察
[1135.32-1137.96] 因为当然以Covas这个平台来说
[1137.96-1140.88] 它的应用的Triple的晶片准备多元
[1140.88-1143.74] 只是各位现在看到台面上的
[1143.76-1145.76] 这几家比如说NVIDIA
[1145.76-1146.52] Mafia
[1146.52-1149.26] Vokam等等的公司在应用而已
[1149.26-1150.42] 但其实会越来越多
[1150.42-1152.20] 所以我会觉得
[1152.20-1154.52] 龙头客户带动你的设备需求
[1154.52-1156.04] 这块应该是肯定
[1156.04-1158.86] 对我来说是一个很应该要做到的事情
[1158.86-1162.44] 那我们从去年第四季开始
[1162.44-1166.54] 客户把上纯质层下放到Posix
[1166.54-1170.38] 我们在去年第二季就看到这个现象
[1170.38-1172.44] 然后到第四季就更明显
[1172.44-1173.46] 更明显
[1173.76-1175.04] 然后越来越多
[1175.04-1177.60] 所以这点对于我们来说
[1177.60-1180.42] 也是一个很值得高兴的事情
[1180.42-1182.98] 是因为这些都是我们的客户
[1182.98-1187.58] 我们除了跟P公司是一个长期合作伙伴之外
[1187.58-1190.40] 我们跟Oxane的厂合作了三四十年
[1190.40-1194.50] 所以现在它的SumTrain的设备需求
[1194.50-1197.56] 基本上跟鸦铁思考有关的技术
[1197.56-1200.64] 基本上会从我们这边去做一个教育
[1200.64-1203.56] 这本身出道我们也会尽可能满足客户的需求
[1203.76-1208.36] 所以在今年尤其在今年整体的LungsubTrain
[1208.36-1210.16] LungsubTrain现在发展下
[1210.16-1212.72] 还有另外一种B3面部的制程
[1212.72-1217.08] 也是在Posix开始大量的在建设
[1217.08-1221.16] 这个我可以跟各位报告是制程也有挑战
[1221.16-1232.44] 这都应该是比较稳定的一个状态
[1233.76-1237.60] 所以我希望能够进一步的进一步的进行这个设计
[1237.60-1240.92] 那我现在就想跟各位分享的是
[1240.92-1244.52] 刚才你跟各位讲我们聚焦在AI这方面
[1244.52-1249.64] Super Level就有所谓的SOC、SYC这一群的业务
[1249.64-1253.72] 那我们在SYC主要是从2018年跟客户而做
[1253.72-1258.08] 2018年跟客户而做我们觉得在去年开始陆续有些发酵
[1258.08-1260.12] 到今年应该会更明确了
[1260.12-1263.20] 我们有一些设备是在在里面的
[1263.20-1263.74] 当然我们也有很多的发酵在里面的
[1263.76-1268.36] 那我们也期待SYC的制程能渐渐被定义下来
[1268.36-1270.68] 我们把它回答成Covas
[1270.68-1273.24] Covas从Covas S再L再R
[1273.24-1274.52] 那是一个过程
[1274.52-1278.60] S也在生产L也在生产R也在生产
[1278.60-1281.42] 只是不过对应的晶片形态不一样而已
[1281.42-1284.24] 那SYC里面也有分好多制程
[1284.24-1286.80] 我们主要是在Hybridmon制程里面
[1286.80-1291.66] Hybridmon制程下一站的一个Prior near的技术
[1291.66-1293.20] 我们主要是增加
[1293.20-1293.72] 整个制程的技术
[1293.72-1295.76] 我们主要是增加整个制程的技术
[1295.76-1299.10] 因为Hybridmon我们是专项把它压紧实
[1299.10-1301.66] 你把它想紧实就压得更紧实
[1301.66-1304.98] 用压力跟温度帮它做了一个更明确的打击
[1304.98-1310.36] 所以我们在观察的是SYC的趋势是不会持续变
[1310.36-1312.16] 但是以现在来看
[1312.16-1315.22] 我们要长期的进入技术赛坎的话
[1315.22-1319.06] 刚好有分享到Covas平台跟Info平台
[1319.06-1322.90] Covas跟Info平台里面的SOC置换成了受害型
[1323.72-1326.54] 所以它们是加成的关系
[1326.54-1328.08] 它不是取代的关系
[1328.08-1331.40] 当SYC大量成本降低之后
[1331.40-1336.26] 它就极有可能去把SOC替换成SYC
[1336.26-1338.32] 因为它是生力堆叠
[1338.32-1340.88] 它的传输速度更快效率更高
[1340.88-1343.94] 而且能源的节省更好
[1343.94-1348.04] 这是我们看到的在有所SYC制程
[1348.04-1350.86] 这也是为什么我们在一般人都在投资的产品
[1350.86-1351.88] 或者是实行
[1351.88-1353.68] 那当然除了SYC之外
[1353.72-1357.56] 现在其实很多投资朋友在问我们说
[1357.56-1359.60] 那PLP呢?
[1359.60-1361.40] PLP状况怎么样?
[1361.40-1365.76] 我们去年之前都跟很多朋友分享
[1365.76-1369.84] 当时的PLP只有做MIC跟RF竞争
[1369.84-1371.90] 都是比较重低阶的PLP
[1371.90-1373.94] 顶多两成的而DL都成了一
[1373.94-1376.00] 以制胜来说的话
[1376.00-1378.80] 我们是台湾少数几家
[1378.80-1382.40] 专攻也有转工设备的PLP产品上的
[1382.40-1386.24] 我们工具的设备也是ERP-C的技术
[1386.24-1388.80] 都在比如说MTI
[1388.80-1390.34] 比如说InnoLux
[1390.34-1392.64] 里面很多设备都是我们主导的
[1392.64-1393.92] 那我们
[1393.92-1397.50] 我们比较想看到的是
[1397.50-1400.58] 哪一天AI晶片可以用PLP技术去发展
[1400.58-1402.36] 那果不其然在今年
[1402.36-1404.42] 我们的客户
[1404.42-1409.02] 也提到了他要往PLP发展
[1409.02-1412.10] 在今年之前尺寸的位置一直变得变缺
[1412.40-1415.22] 这一次MTU也告诉我们
[1415.22-1416.76] 就310乘310
[1416.76-1418.80] 大产业绩为这边继续发展
[1418.80-1421.88] 这点是现在的一个现况
[1421.88-1424.68] 我们也期待跟着我们的客户
[1424.68-1427.76] 在制绳开发过程当中
[1427.76-1429.80] 客户可以投入更多的资源
[1429.80-1432.36] 来引导材料和设备商
[1432.36-1435.44] 往面板及缝红这条路去走
[1435.44-1438.00] 这条路去走目前我们看到的是
[1438.00-1441.32] 我们客户应该会比较偏向这样扣划宅楼的技术
[1441.32-1442.36] 应用在PLP
[1442.40-1444.70] 目前看到现象是这样子
[1444.70-1447.00] 当然主要还是必须要
[1447.00-1449.06] 用客户的技术罗曼可维修
[1449.06-1451.36] 所以我们是需观察的
[1451.36-1454.68] 但是不管是CoreOS S或CoreOS L
[1454.68-1457.76] 转成Panel Level Package
[1457.76-1459.04] 我们的角色会存在
[1459.04-1460.84] 别太担心
[1460.84-1462.88] 我们就会紧紧跟着
[1462.88-1467.24] 客户往这边发展
[1467.24-1469.02] 我刚才谈到了
[1469.02-1471.32] Triple的状态
[1471.32-1472.86] 那我来分享一下
[1472.86-1474.90] 目前我们在Old Set的状态
[1474.90-1476.70] 我们刚才谈的是属于
[1476.70-1479.76] 农农产业商的状态
[1479.76-1481.82] 那这里Old Set的状态
[1481.82-1482.84] 刚才有分享
[1482.84-1484.64] 它的扩展的
[1484.64-1486.16] 进度是明确的
[1486.16-1488.72] 从去年第四季开始
[1488.72-1490.78] 我们看到很明确的
[1490.78-1491.54] 讯号
[1491.54-1492.56] 告诉我们
[1492.56-1495.12] 必须要跟着他做这件事情
[1495.12-1496.40] 所以我们也都去
[1496.40-1497.94] 有一些新的站点
[1497.94-1498.96] 逐渐的出来
[1498.96-1501.28] 因为原理是这样子的
[1501.32-1502.34] 只是因为
[1502.34-1505.42] 当我在T公司里面的展现
[1505.42-1507.72] 其实以T公司的角色来看
[1507.72-1510.02] 尤其是Triple Unwavered
[1510.02-1511.30] 我们的CoreOS切成两大段
[1511.30-1512.58] 一个叫Triple Unwavered
[1512.58-1513.60] 一个叫Assault Train
[1513.60-1514.64] Triple Unwavered
[1514.64-1517.20] 这边的制程
[1517.20-1519.24] 以
[1519.24-1521.04] 农农产业商开发出来的制程
[1521.04-1522.06] 它都不会变了
[1522.06-1524.10] 因为MoneyShare
[1524.10-1525.12] 因为为了两立
[1525.12-1526.40] 因为大家太高了
[1526.40-1527.94] 为了两立的问题
[1527.94-1531.28] 被引进的设备商进到Triple Unwavered而断
[1531.32-1533.12] 基本上都不会再变了
[1533.12-1535.92] 除非新的比如说CoreOS L,CoreOS R
[1535.92-1538.24] 或者是CoreOS Dash型号
[1538.24-1540.80] 这样才会有选择新的一个
[1540.80-1541.82] 制程技术进来
[1541.82-1543.10] 新的制程掌握进来
[1543.10-1544.12] 除此之外呢
[1544.12-1545.14] Assault Train
[1545.14-1547.70] Assault Train其实是很多台湾设备商
[1547.70-1548.72] 在
[1548.72-1550.52] 在关注的
