[0.00-29.98] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00-32.62] 问题结束后也将开放现场提问
[497.32-499.32] LinePay的交易量成长
[499.32-501.32] 我们认为主要来自几个关键因素
[501.32-503.32] 首先是用户数
[503.32-505.32] 我们的用户数已经超过1310万人
[505.32-507.32] 我们的用户数已经超过1310万人
[507.32-509.32] 我们的用户数已经超过1310万人
[509.32-511.32] 用户绑定到我们App里面的卡片数
[511.32-513.32] 用户绑定到我们App里面的卡片数
[513.32-515.32] 超过1950万张
[515.32-517.32] 这个数字约占台湾流通卡数的三分之一
[517.32-519.32] 这个数字约占台湾流通卡数的三分之一
[519.32-521.32] 我们的合作链加已经超过61万家
[521.32-523.32] 我们的合作链加已经超过61万家
[523.32-525.32] 而这个数字是台湾最大收单机构的3.5倍
[525.32-527.32] 而这个数字是台湾最大收单机构的3.5倍
[527.32-529.32] 有这样的基底支持
[529.32-531.32] 我们相信也预期我们的交易量
[531.32-533.32] 今年会持续成长
[533.32-535.32] 超过去年的表现
[535.32-537.32] 超过去年的表现
[537.32-539.32] 这将说明我们几项关键的财务指标
[539.32-541.32] 并从营收获利及成本结构切入
[541.32-543.32] 并从营收获利及成本结构切入
[543.32-545.32] 说明在财报中的展现
[545.32-547.32] 首先是我们的营业收入与营业毛利
[547.32-549.32] 首先是我们的营业收入与营业毛利
[549.32-551.32] 我们的营业收入自2021年以来
[551.32-553.32] 我们的营业收入自2021年以来
[553.32-555.32] 是全年21亿
[555.32-557.32] 到了2024年我们的全年营收超过60亿
[557.32-559.32] 达到了新台币63亿元
[559.32-561.32] 达到了新台币63亿元
[561.32-563.32] 这样的成长动能展现我们在竞争激烈的行动支付市场
[563.32-565.32] 这样的成长动能展现我们在竞争激烈的行动支付市场
[565.32-567.32] 能仍稳健扩大业务规模与收入来源
[567.32-569.32] 能仍稳健扩大业务规模与收入来源
[569.32-571.32] 我们的主要收入是来自第三方支付的手续费支出收入
[571.32-573.32] 我们的主要收入是来自第三方支付的手续费支出收入
[573.32-575.32] 虽然这类服务其实属于比较低毛利的产品
[575.32-577.32] 虽然这类服务其实属于比较低毛利的产品
[577.32-579.32] 但我们透过打造丰富的来配生态圈
[579.32-581.32] 加上多项事业并进
[581.32-583.32] 使得手续费收入在持续成长的同时
[583.32-585.32] 使得手续费收入在持续成长的同时
[585.32-587.32] 我们整体的毛利率也稳定维持在30-32%的区间
[587.32-589.32] 我们整体的毛利率也稳定维持在30-32%的区间
[589.32-591.32] 2024年我们的营业毛利达到了新台币20亿元
[591.32-593.32] 2024年我们的营业毛利达到了新台币20亿元
[593.32-595.32] 2024年我们的营业毛利达到了新台币20亿元
[595.32-597.32] 接下来想要从营收组成的
[597.32-599.32] 接下来想要从营收组成的
[599.32-601.32] 接下来想要从营收组成的
[601.32-603.32] 大家再详细的看一下我们的收入模式
[603.32-605.32] 大家再详细的看一下我们的收入模式
[605.32-607.32] 首先是我们的手续费收入事业
[607.32-609.32] 第三方支付是我们目前营运模式的核心
[609.32-611.32] 第三方支付是我们目前营运模式的核心
[611.32-613.32] 消费者将信用卡绑定到LiPay App并进行交易
[613.32-615.32] 消费者将信用卡绑定到LiPay App并进行交易
[615.32-617.32] 我们负责处理消费者跟商店之间的金流
[617.32-619.32] 我们负责处理消费者跟商店之间的金流
[619.32-621.32] 并向商店收取服务费
[621.32-623.32] 这项收入我们在财报里面是列为手续费收入第三方支付
[631.32-633.32] 这项收入我们在财报里面是列为手续费收入第三方支付
[633.32-635.32] 这部分的收入来自于银行发行的联名卡或点数回馈卡
[635.32-637.32] 这部分的收入来自于银行发行的联名卡或点数回馈卡
[637.32-639.32] 消费者在实体通路或使用LiPay支付的时候
[639.32-641.32] 消费者在实体通路或使用LiPay支付的时候
[641.32-643.32] 只要使用我们与银行合作的信用卡
[643.32-645.32] 只要使用我们与银行合作的信用卡
[645.32-647.32] 就能获得LiPoint
[647.32-649.32] 我们协助银行发放点数建构LiPoint生态圈
[649.32-651.32] 我们协助银行发放点数建构LiPoint生态圈
[651.32-653.32] 同时我们也会依照交易量向银行收取服务费
[653.32-655.32] 同时我们也会依照交易量向银行收取服务费
[655.32-657.32] 这项收入在财报中列为金融推广合作
[657.32-659.32] 这项收入在财报中列为金融推广合作
[659.32-661.32] 占2024年的营收12%
[661.32-663.32] 占2024年的营收12%
[663.32-665.32] 接下来是行销产品销售
[665.32-667.32] 接下来是行销产品销售
[667.32-669.32] 这部分来自我们的广告事业
[669.32-671.32] 我们提供数位解决广告方案
[671.32-673.32] 我们提供数位解决广告方案
[673.32-675.32] 合作行销LiPoint点数活动
[675.32-677.32] 广告曝光等
[677.32-679.32] 我们也逐步导入AI技术
[679.32-681.32] 提升效率及成效
[681.32-683.32] 该收入在财报中列为其他
[683.32-685.32] 该收入在财报中列为其他
[685.32-687.32] 占2024年的营收3%
[687.32-689.32] 占2024年的营收3%
[689.32-691.32] 接下来我们从产品别毛利来看看我们的盈利模式
[691.32-693.32] 接下来我们从产品别毛利来看看我们的盈利模式
[693.32-695.32] 刚刚提到的手续费收入事业的毛利率约为20%
[695.32-697.32] 刚刚提到的手续费收入事业的毛利率约为20%
[697.32-699.32] 主要原因是我们需要为每笔交易支付收单银行的手续费
[703.32-705.32] 主要原因是我们需要为每笔交易支付收单银行的手续费
[705.32-707.32] 但因为我们的交易量庞大
[707.32-709.32] 即使毛利率不高
[709.32-711.32] 手续费收入事业在2024年
[711.32-713.32] 仍然为我们带来了10亿元的毛利
[713.32-715.32] 仍然为我们带来了10亿元的毛利
[715.32-717.32] 贡献了整体毛利的一半
[717.32-719.32] 金融推广合作与行销产品销售的毛利率
[719.32-721.32] 金融推广合作与行销产品销售的毛利率
[721.32-723.32] 都超过90%
[723.32-725.32] 主要是这个成本其实是固定平台的维运
[725.32-727.32] 主要是这个成本其实是固定平台的维运
[727.32-729.32] 在2024年这两项事业分别贡献了7亿以及1.8亿的毛利
[729.32-731.32] 在2024年这两项事业分别贡献了7亿以及1.8亿的毛利
[731.32-733.32] 在2024年这两项事业分别贡献了7亿以及1.8亿的毛利
[733.32-735.32] 其实许多投资人会关心我们未来毛利率的走势
[735.32-737.32] 其实许多投资人会关心我们未来毛利率的走势
[737.32-739.32] 其实以结论来说
[739.32-741.32] 我们会持续推动我们的高毛利事业
[741.32-743.32] 但我们不会预期整体的毛利率在短时间会有大幅的变化
[743.32-745.32] 但我们不会预期整体的毛利率在短时间会有大幅的变化
[757.32-759.32] 而且彼此之间是有协同效益的
[759.32-761.32] 而且彼此之间是有协同效益的
[761.32-763.32] 举例来说
[763.32-765.32] 如果有个消费者在我们合作商店
[765.32-767.32] 他使用了一张LivePoints点数回馈卡
[767.32-769.32] 并透过LivePay App消费
[769.32-771.32] 那么这笔交易对我们公司来说
[771.32-773.32] 那么这笔交易对我们公司来说
[773.32-775.32] 首先我们会跟商店收取交易手续费
[775.32-777.32] 我们也会跟发卡银行收取金融推广服务费
[777.32-779.32] 我们也会跟发卡银行收取金融推广服务费
[779.32-781.32] 那我们也会发放LivePoints给消费者作为回馈
[781.32-783.32] 那我们也会跟发卡银行收取交易手续费
[783.32-785.32] 那我们也会跟发卡银行收取交易手续费
[785.32-787.32] 也会为我们带来下一次有来配交易的机会
[787.32-789.32] 那如果这个消费者
[789.32-791.32] 他其实看到了我们的广告合作方案而去
[791.32-793.32] 那其实在这个交易中
[793.32-795.32] 我们也会有广告收入
[795.32-797.32] 那从这个例子我们想要表达的是
[797.32-799.32] 那从这个例子我们想要表达的是
[799.32-801.32] 第三方支付是我们的基础
[801.32-803.32] 所以我们会持续强化以手续费为核心的基础收入
[803.32-805.32] 所以我们会持续强化以手续费为核心的基础收入
[805.32-807.32] 作为支撑高毛利事业成长的根本
[807.32-809.32] 为公司创造稳定的毛利
[809.32-811.32] 为公司创造稳定的毛利
[811.32-813.32] 接下来是
[813.32-815.32] 接下来是
[815.32-817.32] 营业经历及税后经历
[817.32-819.32] 这两者在2024年都维持稳定的成长趋势
[819.32-821.32] 2024年的营业经历为4.7亿
[821.32-823.32] 2024年的营业经历为4.7亿
[823.32-825.32] 税后经历为6.5亿元
[825.32-827.32] 而我们的成本以及营业费用的结构包含
[827.32-829.32] 税后经历为6.5亿元
[829.32-831.32] 首先是收贷银行手续费
[831.32-833.32] 是每笔交易产生的变动成本
[833.32-835.32] 占我们整体成本费用的大概70%
[835.32-837.32] 占我们整体成本费用的大概70%
[837.32-839.32] 这块也是第三方支付的必要支出
[839.32-841.32] 这块也是第三方支付的必要支出
[841.32-843.32] 接下来是系统管理及维运
[843.32-845.32] 是包含维护我们核心支付平台的人力成本
[845.32-847.32] 是包含维护我们核心支付平台的人力成本
[847.32-849.32] 以及软硬体支出
[849.32-851.32] 占比约9%
[851.32-853.32] 营业费用小管研
[853.32-855.32] 营业费用小管研
[855.32-857.32] 销售费用
[857.32-859.32] 我们并不依赖大量的行销预算来拉升交易量
[859.32-861.32] 而是与银行商店建立共同行销的合作模式
[861.32-863.32] 而是与银行商店建立共同行销的合作模式
[863.32-865.32] 有效控管行销支出
[865.32-867.32] 并提供用户持续交消费的诱因
[867.32-869.32] 并提供用户持续交消费的诱因
[869.32-871.32] 而研发费用
[871.32-873.32] 我们认为研发是创新的关键
[873.32-875.32] 我们会在稳健获利的前提下
[875.32-877.32] 持续投入资源
[877.32-879.32] 支持我们的未来成长
[879.32-881.32] 支付产业的竞争激烈
[881.32-883.32] 支付产业的竞争激烈
[883.32-885.32] 要维持稳定的获利其实是一项挑战
[885.32-887.32] 但我们不仅持续创造高的营收
[887.32-889.32] 也维持了稳定并且成长中的获利
[889.32-891.32] 也维持了稳定并且成长中的获利
[891.32-893.32] 显示我们的营运模式正确
[893.32-895.32] 而且是具有潜力的
[895.32-897.32] 未来我们也会延续这样的方向继续前进
[897.32-899.32] 未来我们也会延续这样的方向继续前进
[899.32-901.32] 接下来是ROE
[901.32-903.32] 股东权益报酬率
[903.32-905.32] 由于去年基本公司办理上次前的现金增资
[905.32-907.32] 由于去年基本公司办理上次前的现金增资
[907.32-909.32] 股东权益增加导致本期的ROE有技术性的下滑
[909.32-911.32] 股东权益报酬率由于去年基本公司办理上次前的现金增加导致本期的ROE有技术性的下滑
[911.32-913.32] 相关的资金我们会持续投入营运计划以及新事业的布局
[913.32-915.32] 相关的资金我们会持续投入营运计划以及新事业的布局
[915.32-917.32] 相关的资金我们会持续投入营运计划以及新事业的布局
[917.32-919.32] 包含我们已经在进行的持续研发新技术
[919.32-921.32] 包含我们已经在进行的持续研发新技术
[921.32-923.32] 优化服务以及拓展全球市场
[923.32-925.32] 而这些长期的持续投入
[925.32-927.32] 将会随资金的使用程度以及我们的发展策略
[927.32-929.32] 将会随资金的使用程度以及我们的发展策略
[929.32-931.32] 逐步反映在我们的营运成果上
[931.32-933.32] 进而带动ROE的表现
[933.32-935.32] 至于新事业的展望以及整体策略
[935.32-937.32] 至于新事业的展望以及整体策略
[937.32-939.32] 我们会在后段简报进一步说明
[939.32-941.32] 最后这一页是我们的资产负债表摘要
[941.32-943.32] 最后这一页是我们的资产负债表摘要
[943.32-945.32] 截至2024年年底
[945.32-947.32] 截至2024年年底
[947.32-949.32] 我们的总资产达到167亿元
[949.32-951.32] 年增约31%
[951.32-953.32] 这主要来自现金增资的流入以及营运资金的稳定流入
[953.32-955.32] 这主要来自现金增资的流入以及营运资金的稳定流入
[955.32-957.32] 使我们的流动资产稳定成长
[957.32-959.32] 使我们的流动资产稳定成长
[959.32-961.32] 同时我们的负债总额下降至64亿
[961.32-963.32] 同时我们的负债总额下降至64亿
[963.32-965.32] 负债比进一步降至38%
[965.32-967.32] 反映公司财务结构更加稳健
[967.32-969.32] 反映公司财务结构更加稳健
[969.32-971.32] 目前我们的流动比例为274%
[971.32-973.32] 代表公司短期常债能力充足
[973.32-975.32] 也有足够的余裕
[975.32-977.32] 支应未来的营运及研发投入
[977.32-979.32] 支应未来的营运及研发投入
[979.32-981.32] 整体而言我们的资产负债表结构展现出良好的经营成果
[981.32-983.32] 整体而言我们的资产负债表结构展现出良好的经营成果
[983.32-985.32] 也为我们未来的成长奠定坚实的财务基础
[985.32-987.32] 也为我们未来的成长奠定坚实的财务基础
[987.32-989.32] 那以上是营运成果的部分
[989.32-991.32] 接下来将继续由Gloria为我们说明我们的事业展望
[991.32-993.32] 接下来将继续由Gloria为我们说明我们的事业展望
[993.32-995.32] 那谢谢各位投资人的聆听
[1005.32-1007.32] 好那谢谢Rafi的分享
[1007.32-1009.32] 接下来让我跟大家报告一下我们LINEPay的未来事业展望
[1009.32-1011.32] 接下来让我跟大家报告一下我们LINEPay的未来事业展望
[1011.32-1013.32] 首先
[1013.32-1015.32] 我们想HIGHLIGHT一下企业的愿景
[1015.32-1017.32] 成为人们生活中的一部分
[1017.32-1019.32] 成为人们生活中的一部分
[1019.32-1021.32] 是我们LINEPay的企业愿景
[1021.32-1023.32] 因为消费无处不在
[1023.32-1025.28] 透过我们LinePay的生态圈
[1025.28-1028.72] 让用户可以有每次消费体验
[1028.72-1030.40] 都是便利安全的
[1030.40-1033.28] 也同时希望我们的商户呢
[1033.28-1035.08] 可以透过我们的平台
[1035.08-1037.30] 获取更多的商业机会
[1037.30-1039.86] 一起让生活变得更美好
[1039.86-1042.98] 从2015年以来
[1042.98-1046.84] LinePay不仅仅单纯提供支付服务
[1046.84-1049.34] 我们以支付功能为基础呢
[1049.34-1051.64] 一步一步将业务扩展至
[1051.64-1053.28] 点数回馈卡平台
[1053.28-1054.98] 票券发行平台
[1054.98-1056.76] 金融产业合作平台
[1056.76-1058.58] 以及广告行销平台
[1058.58-1061.40] 也成功实现了多角化的
[1061.40-1062.68] 一个经营模式
[1062.68-1065.32] 持续创造一些稳定的
[1065.32-1066.68] 营收和获利
[1066.68-1069.34] 最终2021年我们达成了
[1069.34-1070.68] 年度损益平衡
[1070.68-1073.24] 且每年持续创造盈利
[1073.24-1075.94] 从2023年开始
[1075.94-1078.70] 我们也为中小型店家
[1078.70-1080.92] 打造了一个专属的行销平台
[1080.92-1083.16] 让他们可以提供
[1083.16-1084.46] 可以享受
[1084.46-1087.10] 可以客制化的行销广告方案
[1087.10-1089.02] 那这样的话呢
[1089.02-1091.80] 就可以给这些中小型店家呢
[1091.80-1093.38] 带来一些商业的机会
[1093.38-1097.28] 2024年我们除了成功上市以外呢
[1097.28-1101.62] 也启动了Outbound和的跨境支付业务
[1101.62-1104.58] 积极开拓了韩国的市场
[1104.58-1106.20] 总结来说
[1106.20-1108.60] 我们现在是正前往
[1108.60-1110.34] 深化国内市场
[1110.34-1112.04] 与拓展海外市场
[1112.04-1113.12] 两个核心
[1113.16-1115.46] 我们的企业的企业战略
[1115.46-1118.14] 持续让我们的公司的业务呢
[1118.14-1120.34] 整体扩大
[1120.34-1121.98] 那先跟大家报告一下
[1121.98-1124.04] 我们的国内市场方面
[1124.04-1125.58] 国内市场方面的话
[1125.58-1128.06] 我们是以引领整个支付的市场
[1128.06-1129.68] 发展为目标
[1129.68-1131.60] 不断的优化我们的服务
[1131.60-1133.18] 然后带动我们的成长
[1133.18-1135.18] 拓展获利的模式
[1135.18-1137.08] 那第二个部分是
[1137.08-1139.48] 我们的海外市场方面
[1139.48-1141.84] 因为在台湾我们已经有
[1141.84-1143.14] 一个成功的经验
[1143.16-1145.14] 所以我们想把成功的模式
[1145.14-1146.74] 复制到海外
[1146.74-1148.16] 透过实现跨境的
[1148.16-1150.58] inbound和outbound的服务呢
[1150.58-1153.66] 提升LinePay整体的交易量
[1153.66-1155.44] 那我们现在详细的看一下
[1155.44-1157.76] 怎么深化国内的市场
[1157.76-1159.04] 我们的目标就是
[1159.04-1161.34] 持续优化相关的功能
[1161.34-1163.38] 来推动既有的事业
[1163.38-1165.44] 以及新的事业发展
[1165.44-1168.24] 以第三方支付业务为例呢
[1168.24-1171.06] 现在我们已经在这个业务上呢
[1171.06-1173.12] 达到了一个一定的成果
[1173.16-1176.74] 但是透过深化LinePay的功能的
[1176.74-1177.76] 这种方式呢
[1177.76-1180.58] 我们想持续扩大我们的事业版图
[1180.58-1185.20] 近期我们计划申请电子支付执照
[1185.20-1188.26] 来进一步扩展支付业务范围
[1188.26-1192.10] 并创造出一个新的交易量
[1192.10-1194.16] 此外呢
[1194.16-1198.24] 我们金融推广和产业合作这一块呢
[1198.24-1201.16] 是要持续扩大我们金融合作伙伴
[1201.16-1202.94] 推动事业的发展
[1203.16-1206.48] 那希望为了避免大家搞混呢
[1206.48-1208.80] 这里也想再highlight一下
[1208.80-1213.14] 金融推广的合作是指我们的点数卡
[1213.14-1215.44] 然后金融产业合作呢
[1215.44-1217.24] 是指我们中介保险
[1217.24-1219.54] 贷款等的金融产品
[1219.54-1223.38] 所以LinePay想在这个金融产业的合作业务上呢
[1223.38-1227.22] 除了现有的保险信用卡和贷款以外呢
[1227.22-1229.52] 想把这个计划
[1229.52-1230.80] 这个服务呢
[1230.80-1233.12] 再进一步延伸至银行和
[1233.12-1236.20] 证券呢等领域
[1236.20-1239.52] 与金融合作伙伴展开一个更新的
[1239.52-1242.34] 一些合作模式
[1242.34-1245.92] 那为了推动这上述的事业的发展呢
[1245.92-1247.72] 我们也要持续优化
[1247.72-1249.76] 关键功能和技术
[1249.76-1251.04] 例如我们的
[1251.04-1252.84] 官方账号啊
[1252.84-1253.86] 好钢地图啊
[1253.86-1254.88] AI啊
[1254.88-1256.68] 内容曝光等等
[1256.68-1258.46] 那其中2025年
[1258.46-1262.56] 我们会把重点放在强化AI的技术应用
[1262.56-1265.64] 把它套用在行销广告等的平台
[1265.64-1269.98] 以及提升业务营运效率上
[1269.98-1274.34] LinePay呢正在全面推动AI的技术应用
[1274.34-1277.92] 不仅会扩大至我们用户与商务的服务
[1277.92-1281.00] 而且也会积极应用在公司内部的
[1281.00-1284.06] 业务营运流程上
[1284.06-1288.92] 目前呢我们已经把AI的技术套用在了我们的
[1288.92-1289.96] 行销上
[1289.96-1292.52] 然后实现我们精准行销
[1292.56-1296.92] 未来希望可以持续完善我们的AI技术
[1296.92-1301.00] 那一方面呢是要创新我们新的商业模式
[1301.00-1305.10] 同时现实全方位的AI工作环境
[1305.10-1306.12] 例如说
[1306.12-1307.66] 在技术应用上
[1307.66-1309.72] 自动化客服系统
[1309.72-1312.28] 数据分析报告等领域
[1312.28-1315.86] 提升公司的营运效率和服务的满意度
[1315.86-1319.96] 进而达到节省营运成本的目的
[1319.96-1322.52] 那接下来呢我也想跟大家分享
[1322.56-1324.86] 一下我们另外一个核心的业务
[1324.86-1327.16] 跨境支付事业
[1327.16-1328.96] 我们计划把
[1328.96-1330.50] 台湾成功的这个模式
[1330.50-1333.56] 矿制到这个海外的市场
[1333.56-1335.10] 那扩大用户
[1335.10-1336.90] 扩大支付据点
[1336.90-1340.74] 然后串联各国的商户与用户
[1340.74-1345.60] 来进行提供内容的行销服务
[1345.60-1348.16] 那藉由扩大用户规模呢
[1348.16-1351.74] 我们想让台湾的商店呢
[1351.74-1352.52] 能有更多的行销服务
[1352.56-1354.86] 让更多的商户和商业
[1354.86-1357.16] 和商业的消费者进来
[1357.16-1358.20] 然后创造出
[1358.20-1359.72] 更多的营收
[1359.72-1363.32] 而且创造出一个更多的成长机会
[1363.32-1369.20] 那同时也能为海外的用户提供一些Line Pay的支付体验
[1369.20-1375.86] 让他们可以在国外呢享受更加安全便利的支付服务
[1375.86-1379.70] 此外我们也会将透过Line Pay的平台
[1379.70-1381.74] 内的内容行销服务呢
[1381.74-1383.02] 把我们的商品与服务
[1383.02-1385.32] 推荐给不同国家的
[1385.32-1387.12] 不同地区的用户
[1387.12-1388.90] 实现用户
[1388.90-1389.94] 商户
[1389.94-1390.70] 金融
[1390.70-1391.46] 伙伴
[1391.46-1395.56] 三营的全球支付行销模式
[1395.56-1400.18] 那接下来呢我也会一个一个的跟大家详细介绍一下
[1400.18-1403.76] 我们是如何拓展海外的支付业务
[1403.76-1407.60] 那第一个是扩大我们的用户规模
[1407.60-1411.44] 扩大用户规模这个部分主要是透过
[1411.74-1414.04] 我们的网络货币设计设计的
[1414.04-1416.34] 我们的网络货币设计设计设计的
[1416.34-1418.14] 我们的网络货币的支付
[1418.14-1419.94] 我们的网络货币的支付
[1419.94-1421.34] 我非常希望
[1421.34-1422.74] 我们可以在这个时候
[1422.74-1424.28] 可以在这个时候
[1424.28-1426.58] 可以用到我们的网络货币
[1426.58-1428.90] 来用到我们的网络货币
[1428.90-1431.46] 实现我们的网络货币的质素
[1431.46-1435.30] 我们需要让更多来台的外国游客呢
[1435.30-1438.62] 可以使用我们Line Pay服务
[1438.62-1441.70] 对既有使用Line Pay信用卡支付的
[1441.70-1443.80] 以韩国为例
[1443.80-1446.02] 我们的策略是
[1446.02-1449.08] 跟韩国当地的发卡行合作
[1449.08-1453.48] 这个画面是新韩APP的付款页面
[1453.48-1455.20] 和好康地图页面
[1455.20-1458.52] 新昂卡用户来台湾旅游的话
[1458.52-1461.62] 他们不用再下载另外一个APP
[1461.62-1464.60] 他们就可以轻松地做支付
[1464.60-1468.20] 然后也可以看到好康地图的韩文版
