[0.28-5.72] 长荣航太科技股份有限公司法人说明会会议开始
[233.04-235.34] 各位投資先進還有媒體朋友大家好
[235.60-236.88] 那我是
[236.88-241.48] 我是財務部陳祺銘
[241.74-247.88] 今天來這邊跟各位報告我們公司在第一季的一個財務的狀況
[248.66-253.26] 那這邊這張表這邊我們是看的是今年度的第一季的一個損益表
[254.04-257.10] 那我們第一季的營收來到
[257.62-260.18] 41億9千萬元
[260.44-264.28] 那營業成本的話是31億9千100萬
[264.52-266.84] 那扣掉的話毛利是
[267.14-268.16] 5億9千900萬
[268.92-269.96] 那整個
[270.20-274.82] 那在接下來是到營業淨利是8億3千300萬
[275.08-280.20] 那扣掉業外收支之後的話呢本期淨利是5億5千800萬
[280.44-280.96] 那
[281.22-285.32] 第一季的這樣的營運成果下來的話呢每股營餘1.49元
[286.60-290.94] 那這邊右邊的部分的話呢就是有針對
[291.20-294.28] 就是整個營收的部分那我想這個
[294.52-296.84] 就是我們就分為維修跟製造
[297.14-299.70] 那他的佔比來講還是就是跟
[299.96-302.52] 跟以往大概差不多就是八成兩成
[303.54-305.32] 維修的業務在營收
[305.58-306.86] 佔比的話是在八成左右
[308.92-315.06] 那底下兩個的一個餅圖這邊的話呢是針對維修業務還有製造業務這邊他的一個
[315.32-317.36] 各項類別的一個收入的一個佔比
[317.88-319.40] 那在
[319.66-325.80] 製造業務這邊的話呢那以第一季來看的話引擎業務這個營收佔比就有
[326.06-326.58] 拉高到
[327.14-327.64] 85%
[327.90-329.96] 那機體的部分是10%
[330.98-337.12] 那在維修業務的部分的話呢機體中大維修這個部分機體維修這個部分的話呢就來到有
[337.38-337.88] 6成
[338.14-339.16] 那
[339.42-343.78] 那線上維修這個部分的話呢來到13%
[344.04-347.36] 這個的營收在維修業務的營收佔比
[347.88-351.72] 那零件零件的維修這個部分呢就有到10%
[351.96-353.24] 那這個是
[355.56-356.06] 就
[356.06-360.16] 低級的一個營收的一個一個狀況那我想在
[360.42-364.50] 很多投資人這個部分也有提到在問到相關的這些問題
[366.04-374.24] 那下一頁這邊的話呢就是我們的一個比較重要的一個財務比例那這邊可以看到從2022年到2025年的
[374.50-375.26] 那大概
[375.52-378.58] 我們公司的一個負債比例那從
[378.84-379.36] 22年
[379.62-385.50] 第一季的56%那現在目前是為到今年第一季是在49%
[386.06-393.22] 那這個大概在近這一兩年的話也大概是一直就是負債比這個我們
[393.48-394.00] 在
[394.26-398.34] 會是待維持在40到50之間那大概是
[398.60-399.88] 最近的一個趨勢
[400.40-403.98] 那流動比率的話呢這個部分的話就從
[404.24-410.38] 2022年的第一季的275%那到今年第一到今年
[410.64-412.68] 第一季的一個240%
[413.20-416.02] 那大概這邊各位可以看到像在
[416.32-417.86] 去年的
[418.10-420.16] 2023年的第1
[420.42-426.56] 第4季跟2024年的第4季這邊有就有到有到345跟357%
[426.82-427.58] 那
[427.84-432.18] 這個主要就是在年底的一個效益那通常到第一季的部分因為
[432.70-438.84] 在3月份這邊會有一個現金股利的提列所以會那個在流動負債這邊會增加所以那
[439.10-440.64] 流動比例這邊會往下降
[440.90-441.66] 大概這幾年的
[441.92-442.68] 趨勢是這樣
[443.70-446.02] 那在下一頁這邊的話呢我們把
[446.32-448.62] 就是過去這三年的
[450.16-455.02] 一個個季的一個營收做了一個一個比較那這邊就
[455.54-456.82] 很就是也
[457.84-461.42] 也可以看到就是說每一季的這個營收其實在
[461.68-464.50] 從逐年這邊都有逐步的往上拉
[464.74-468.84] 那當然最高的最高峰的是來到
[469.10-472.94] 單季營收最高的是來到2024年的第4季
[473.20-473.70] 來到
[474.22-476.02] 45億7500萬
[476.32-479.14] 那這個部分我想這邊解釋一下是說
[480.16-486.30] 這個在上一次的去上一次的法術會這邊我們有解釋是說
[486.56-490.66] 像去年在下半年我們有針對價格的部分有做調整
[491.68-497.82] 那另外是在去年年底的部分那就是也有一些像就是製造廠那邊
[498.08-498.58] 沒有
[498.84-499.62] 就是
[500.12-506.02] 有客戶有拉貨的這個因素所以造成去年的這個第4季這個營收
[506.32-508.36] 有單季的這個營收比較高的一個狀況
[508.88-509.38] 產生
[510.16-511.94] 那回到今年的
[512.20-515.78] 第一季跟去年同期來比的話那這個部分
[516.04-520.40] 就是也是整個成長的不少
[520.66-523.22] 那這個部分我想就是
[523.46-525.78] 也有就是
[526.02-527.82] 除了剛剛提到的一個
[528.08-534.22] 調價的一個影響之外那其實今年第一季跟去年第一季這樣來比較的話整個那個
[534.98-535.76] 我們
[536.32-540.66] 我們的那個產出這個相對的這個產出這個也比較高
[541.18-542.46] 價量都有影響到
[542.72-545.78] 那所以這個這個部分是今年第一季的一個
[546.04-547.06] 跟
[547.32-550.40] 跟去年第一季這樣的一個就是變化
[550.66-551.68] 那這個部分
[551.94-553.98] 在這邊也是跟大家做個說明
[559.62-565.76] 那接下來這一頁的話呢就是我們針對各季的一個營收毛利率跟存益率這邊做一個
[565.76-566.78] 一個圖
[567.30-568.84] 可以看到一個
[569.08-572.68] 每一季的一個營收跟毛利率跟存益率的一個變化
[573.44-579.08] 那這邊來到那也就是以今年第一季的話毛利率有來到
[579.32-580.60] 24%
[580.86-581.64] 這個相對
[582.14-584.96] 從這個圖上來看是與目前是
[586.24-590.08] 從2022年到現在是算是新高啊
[590.34-590.84] 那
[591.10-594.94] 那這個部分我想就是主要就是像剛剛有解釋到的就是
[595.20-595.72] 除了
[596.02-600.12] 除了條價之外那今年的第一季的量比去年這個部分也比較高
[600.36-601.64] 那所以這個部分
[601.90-604.72] 所以造成這個毛利率的拉升的
[604.98-609.08] 一個一個主要的因素是在價量這邊都有都有貢獻
[610.10-612.66] 那這邊也我想回到就是說
[612.92-617.52] 也再看一下就是說在去年的第4季那第4季的話呢
[617.78-622.64] 他的毛利率到16%那他的整個存益率是9%那我想
[623.16-625.72] 這個這邊我也再一次做個說明
[626.02-631.90] 解釋就是說這個回到就是可以跟2023年的第4季跟2022年第4季
[632.16-632.68] 就是有
[632.92-635.24] 同樣的這樣的一個狀況
[635.74-640.60] 這邊解釋一下就還是主要就是說第4季的部分還是就是
[641.12-644.44] 給員工的年終獎金那個加碼的部分
[645.48-648.04] 所以他會單季的部分就會比較
[648.28-649.32] 就會掉下來
[649.56-655.72] 那這邊也再說明一下就是員工的年終獎金其實我們在
[656.02-659.86] 在章務處理上面是每個月都有在都有做一個預估
[660.62-664.46] 那在第4季的話是原本的預估之外會在做
[664.72-670.36] 會看當年的一個營運狀況那大概前兩年都營運狀況都還不錯那
[670.86-677.00] 航太這邊主要的其實主要也是靠員工這邊大家的努力因為維修跟
[677.26-680.34] 製造這邊的員工大的努力貢獻所以
[680.60-683.92] 針對員工這個部分有在做年終獎金有在做加碼
[684.18-685.72] 所以是在第4季這個部分
[686.02-687.30] 會有比較下來的
[687.56-689.86] 因素這邊也在做個說明
[690.12-694.98] 那以上是就是我們公司在第1季的一個整個財務的一個狀況
[695.48-696.76] 那以上謝謝
[697.28-698.82] 那接下來是由我們
[699.08-703.94] 王首席這邊來針對一個公司一個產業展望這個部分跟大家說說明
[704.20-704.70] 謝謝
[705.22-705.98] 大家好
[706.24-707.78] 向各位報告
[708.28-709.56] 航空業的展望
[710.08-711.10] 有兩點
[712.12-714.18] 美國開啟關稅戰
[714.68-715.72] 讓航空業
[716.02-718.06] 營運增添了不確定性
[719.60-721.14] 貨運短期因
[721.90-723.44] 關稅豁免期
[723.70-724.98] 湧現的急單
[725.48-727.02] 下半年可能會
[727.54-728.04] 放緩
[729.08-730.86] 客運方面的短期穩定
[731.38-732.66] 景氣變化
[732.92-733.68] 能需要
[734.20-735.22] 持續來觀察
[737.00-739.32] 客貨運景氣的循環通常
[740.08-741.10] 9到12個月
[741.36-741.88] 後呢
[742.12-744.94] 才會反映到實際維修的需求
[746.02-748.06] 所以今年的產能提升以及
[748.32-749.34] 維修需求
[749.60-750.62] 長榮航太
[750.88-751.90] 能保持
[752.16-753.18] 審慎樂觀
[754.20-754.98] 第二點
[755.48-756.26] 由於
[756.52-758.82] 原廠新機交機的延遲
[759.32-761.64] 航空公司未維持運能
[762.14-764.44] 需延租或推遲
[764.70-766.24] 飛機退役的時程
[767.00-768.54] 2024年來講
[769.06-774.18] 整個退役的飛機數那比2023年的減少了大概兩成
[774.18-776.74] 那退役的機領
[777.00-780.06] 2023年平均是24年
[780.32-783.90] 在2024年是26年所以大概是增加了兩年
[785.18-788.52] 整個航空業市場上維修的需求是增加的
[794.66-796.20] 好那接下來
[796.46-798.76] 報告航太產業的近期展望
[799.52-800.54] 那也是有兩點
[801.06-802.60] 一個商用飛機
[802.86-804.14] 需求呢持續
[804.44-804.94] 增加
[806.22-809.56] 飛機製造商努力提升產能
[809.82-811.86] 以消化積壓的新訂單
[813.40-816.46] 製造商的持續要求供應鏈提高產能
[817.24-819.02] 來解決供需不平衡的問題
[820.56-823.12] 但是呢短期呢受原物料
[823.38-824.92] 供應短缺的問題
[825.42-828.24] 訂單遞延仍持續發生
[830.04-830.80] 第二點
[831.06-833.36] 國防及太空擴大需求
[834.44-838.78] 那這個呢在國防工業基集投入開發及增加預算
[839.30-844.16] 那對國內航太製造業增加了很多的競爭機會
[845.44-847.50] 那太空零組件製造
[847.74-849.02] 需求也是增加
[849.54-850.30] 那推動了
[850.56-853.12] 航太製造業的能量的發展
[857.48-861.06] 接下來跟各位報告維修的營運策略
[861.58-862.86] 那本公司在
[863.10-863.88] 7477677777
[864.18-866.22] 等機型的
[866.48-867.76] 廣體客機呢
[868.02-871.10] 領先全球的維修廠
[871.34-873.66] 我們是全球的
[873.90-875.44] 全十大維修廠
[875.96-878.52] 那2025年跟2026年呢
[878.78-882.36] 在現有的基礎上也持續導入新的客戶
[883.38-884.14] 我們以
[885.18-886.96] 亞洲來看呢
[887.22-890.54] 747呢我們在2025年也增加了一個新的客戶
[891.32-893.62] 787也新增客戶
[894.18-895.46] 歐洲呢
[895.72-896.48] 2025年
[896.74-899.04] 2026年都有客戶的新增
[901.34-901.86] 那
[902.38-905.18] 新機型的能量開發呢我們預計在
[905.44-908.26] 今年度會完成A350的認證
[908.52-910.82] 所以我們也積極在做
[911.08-912.10] 客戶的拓展
[912.86-914.14] 那我們的母公司
[914.40-918.24] 長榮航空預計在2027年導入
[918.50-919.26] A350
[921.06-922.86] 屆時我們已經有擁有
[923.10-924.14] 維修的能量
[924.44-925.20] 跟維修的經驗
[925.72-929.82] 那在亞洲方面呢我們也希望在今年跟明年
[930.06-932.62] 拓展新的A350的客戶
[936.22-939.02] 接下來跟各位報告一下製造
[939.80-941.08] 的營運策略
[941.84-945.94] 那今年呢完成了與空中巴士的合作的簽署
[946.46-949.26] 我們成為空中巴士的
[949.52-950.54] T21的
[950.80-951.82] 供應廠商
[952.08-954.14] 直接供應組件
[954.44-955.46] 給空巴產線
[956.22-959.30] 第二點呢我們持續發展整個IC
[959.56-961.10] 設備的製造業務
[961.60-964.16] 那今年也取得多項的產品訂單
[964.42-968.52] 那首件開發及量產都按照計劃在進行中
[970.30-972.36] 那國防部軍用商規
[972.62-973.38] 建載
[973.64-974.40] 偵測
[974.66-977.48] 偵偵型的無人機標案那我們也
[977.74-980.04] 實成了在進行量產跟交際
[980.54-981.32] 以上報告
[981.58-982.08] 謝謝
[984.44-985.72] 謝謝經營團隊的簡報
[986.48-988.54] 接下來進行Q&A時間
[988.78-993.14] 經營團隊將為各位貴賓就先前所提之問題做說明
[993.66-996.72] 首先請總經理回覆投資者的提問
[996.98-999.02] 那在這裡我們
[999.80-1002.10] 針對報名
[1002.36-1004.40] 參加法人說明會時
[1004.92-1007.48] 投資先進有提了幾個問題
[1007.74-1009.26] 我們挑出了
[1009.52-1010.54] 幾個問題
[1010.80-1012.08] 我們挑出了
[1012.34-1013.36] 幾個問題
[1013.36-1013.88] 我們挑出了
[1014.12-1014.64] 幾個
[1014.90-1019.24] 較多人提問的部分在這裡做一個回覆
[1021.04-1023.08] 首先第一個就是說
[1024.12-1028.98] 美國波音公司近期對外說明該公司的交機數量
[1029.48-1031.02] 已逐步提升
[1031.80-1036.92] 預計到今年下半年每月交機數會到38架
[1038.20-1042.28] 請問是否代表航太製造廠的出貨量
[1042.54-1043.32] 可以隨時提升
[1043.62-1044.38] 以下的問題
[1044.64-1045.92] 您的收入
[1046.18-1046.94] 會拉高
[1047.20-1048.48] 這個部分我請那個
[1048.74-1051.04] 首席副總來做一個答覆
[1052.58-1056.42] 波音公司代消化的訂單的能持續在增加
[1056.92-1059.74] 那最近的生產目標的調整
[1060.26-1064.86] 短期對我們的製造廠的出貨量是不會有太大的變動
[1065.38-1066.40] 主要因為是
[1066.66-1067.16] 波音
[1067.42-1069.98] 短期人已消化其庫存為主
[1070.76-1073.06] 但是長期訂單的需求
[1073.36-1076.94] 將如市場的預估也會持續的成長
[1080.52-1085.40] 那第二個問題是美國政府提高各國進口到
[1085.64-1090.00] 美國商品的關稅這對公司的業務是否有影響
[1091.02-1092.82] 那美國政府在
[1093.08-1094.36] 4月9號
[1094.86-1096.40] 宣布對各國
[1098.20-1099.72] 科徵進口關稅
[1100.76-1102.28] 後來又宣布暫緩
[1102.54-1103.32] 90天
[1103.62-1106.18] 那航太的維修
[1106.94-1110.02] 及製造業務來自美國的客戶
[1110.78-1113.86] 分別佔了22%跟95%
[1115.14-1118.72] 經評估業務合約及交易特性後
[1119.24-1120.52] 確認目前
[1121.80-1123.84] 出貨及營收不受影響
[1124.86-1127.16] 那說明如下
[1128.20-1128.70] 第一
[1129.22-1130.76] 維修廠的部分
[1131.52-1133.32] 美國及航空公司的飛機
[1133.62-1134.12] 及零
[1134.64-1135.66] 組件的維修
[1135.92-1140.52] 依據合約都是在桃園機場場區完工後交貨
[1141.56-1143.86] 後續運送及相關稅務問題
[1144.12-1144.62] 由
[1144.88-1146.16] 客戶端負責
[1147.44-1148.46] 那航才
[1148.72-1149.74] 採購方面
[1151.02-1153.32] 未來來自美國的項目可能
[1153.58-1154.36] 因為
[1154.86-1156.40] 關稅而導致
[1157.42-1158.70] 採購成本增加
[1160.24-1162.80] 那公司跟客戶的
[1162.80-1164.08] 維修合約
[1164.34-1165.10] 材料
[1165.62-1167.92] 替匯大部分是以採購價
[1168.68-1170.48] 再加上額外的
[1170.74-1172.28] 服務費計算
[1173.56-1176.36] 如有材料漲價也不影響公司的
[1176.62-1177.40] 利潤
[1178.68-1180.72] 那少部分的維修項目
[1182.00-1184.30] 採定價同胞用料方式
[1184.56-1185.08] 將
[1185.58-1187.88] 是後續價格浮動
[1189.16-1191.72] 是否超出合約約定的比例
[1191.98-1192.76] 再另行
[1193.06-1193.56] 秀業
[1195.36-1197.16] 那製造廠的部分
[1197.40-1199.20] 目前主要的客戶是
[1199.46-1201.76] 奇異公司跟波音公司
[1202.28-1204.06] 那他的交貨方式都是
[1204.32-1206.36] 客戶到場提貨後
[1206.62-1209.18] 客戶自行辦理運送出口
[1210.72-1213.28] 我方不涉及產品進入
[1213.54-1214.82] 美國的報關問題
[1217.38-1220.96] 製造材料價格未來如有變動過大
[1221.22-1222.76] 可以依據合約條款
[1223.06-1226.38] 向客戶立案要求
[1226.64-1227.40] 價差補償
[1231.50-1232.52] 那第三個
[1232.78-1235.34] 問題是近期台幣兌換
[1235.60-1236.88] 美元的匯率
[1237.14-1237.90] 強勢升值
[1238.42-1240.98] 對公司的損益方面有何影響
[1241.24-1243.02] 這個部分我請那個財務
[1243.54-1245.84] 財務部陳啟明協議來做一個回答
[1247.12-1252.50] 各位好那有關於就是最近台幣升值的這個議題呢那
[1253.06-1254.08] 也是很多投資人在問
[1254.34-1254.84] 那
[1255.10-1257.66] 對公司這邊的一個影響的話呢是
[1259.96-1260.48] 會有
[1261.00-1265.34] 對公司的損益其實以台幣升值來講對我們是有比較負面的影響
[1265.60-1267.14] 總結來講
[1267.40-1269.18] 那這邊主要說我這邊
[1269.44-1274.04] 大概跟各位說明是因為我我們目前的像剛剛有提到我
[1274.56-1276.60] 我在維修跟製造這邊其實
[1277.12-1279.94] 我大部分都是國外的客戶
[1280.20-1281.98] 那國外客戶是跟他收美金
[1282.80-1287.66] 那所以我大概在營業收入裡面大概有將近七成是美金
[1287.92-1288.68] 是美元
[1289.72-1295.86] 但是呢但是同樣我在購買航空相關行財的話我也是這個在支付的
[1296.12-1297.90] 部分也是付的是美金
[1298.42-1304.56] 那所以這邊有一個程度是用自然避險的方式那但是我的收款
[1304.82-1305.84] 部位是大於付款部位
[1306.36-1306.86] 那
[1307.12-1312.50] 所以這個這個部分對公司來講的話呢還是就在損益上面是有一些是
[1312.80-1316.38] 就台幣升值來講對我們的損益來講是比較負面的
[1317.16-1317.92] 那這
[1318.18-1324.32] 就是受到美元貶值這樣的一個影響如果對公司的一個損益狀況來講的話
[1324.58-1326.12] 那這個部分我可以請
[1326.62-1328.42] 就是請各位投資人參與
[1328.68-1332.76] 可以參考一下我們剛就是上禮拜公佈的第一季季報
[1333.02-1336.36] 那第一季季報裡面第27頁這裡面有關於
[1336.60-1340.96] 公司對於針對匯率的一個敏感性分析來講那
[1341.22-1342.76] 以2025年第一季
[1343.06-1344.34] 這個順利表為基礎
[1344.60-1345.10] 那在
[1345.62-1351.76] 當然就是說假設其他其他的一個條件不變的情況之下那美元貶值一個%大概對
[1352.02-1354.84] 稅前經濟大概減少的是4100萬左右
[1356.36-1359.44] 那當然這裡面大家就是說後續我想
[1360.72-1366.86] 台幣跟美元這樣的一個變化我想還是就要後面還是要主要看就是整個
[1367.12-1372.76] 國際市場還有台灣這邊整個整個外幣市場這邊的一個變化
[1373.06-1375.88] 這個後面還是要繼續再做觀察
[1376.90-1378.18] 以上說明謝謝
[1379.46-1381.76] 那第4個問題是
[1382.02-1385.60] 日前公司已公告今年第一季的財報
[1385.86-1389.96] 轉投資的長益公司虧損金額仍然相當大
[1390.46-1396.60] 這個部分我請那個財務部陳啟明協理來說明一下長益目前的營運狀況
[1400.20-1402.50] 那各位好那接下來這一題也是
[1403.06-1409.20] 很多人問到的那就是長益在我想這個去年也在法說會上也做了一番說明
[1409.46-1415.60] 那這邊我想針對但是第一季的部分他其實整個數字還不是很理想
[1415.86-1419.18] 那這邊也是在跟大家做個說明
[1420.20-1425.84] 那當然就是說去年他因為是品質的問題那有做有曾經一度停工
[1426.10-1431.22] 那但是停工的部分的話呢其實在去年的12月他已經就是復工了
[1431.98-1432.76] 那只是因為是
[1433.06-1435.62] 品質事件的關係那所以他們在
[1436.12-1442.28] 就是相關主管機關對於這樣的相關的就是說你要復工那後面是因為這個品質事件
[1442.52-1444.58] 那你這些品質作業是不是都能夠
[1444.84-1447.90] 按照規定去做去完成所以
[1448.42-1454.56] 這個部分主管機關是會持續針對他的一個工作改善的一個成效的他會逐步
[1454.82-1456.10] 在做檢視
[1456.36-1459.16] 那今天這個主管機關也不是只有台灣的
[1459.42-1460.44] 民航局一家
[1460.70-1462.24] 你還有他比如說
[1463.06-1465.10] 美國的FAA然後
[1465.36-1466.90] 歐盟對面的
[1467.16-1470.48] IASA那這邊還有日本的
[1470.74-1474.58] CAB然後像英國的UKCA這些
[1474.84-1476.62] 其實他也會有各國的民航
[1476.88-1479.18] 主管機關他都需要主一去
[1479.44-1480.46] 去
[1480.72-1482.26] 呈報他們的改善作業
[1482.52-1485.58] 那除了民航主管機關之外呢還有客戶
[1485.84-1491.48] 那客戶這邊他也要主一跟客戶他們客戶來會來也會來場裡面去做相關的
[1491.98-1492.50] 檢驗
[1492.80-1494.34] 來看看就是說
[1494.60-1496.90] 常議他的整個工作改善是不是
[1497.40-1497.92] 都有
[1498.44-1502.28] 整個改善計畫是不是都有按照他們的這個計畫進行
[1502.52-1507.64] 實際的改善成效是不是都像他們所說的這樣子來來來做
[1508.16-1508.68] 那
[1508.92-1514.30] 所以到目前為止到4月底來我們到4月底這樣來看的話其實
[1514.56-1518.14] 就是他都有達到這些作業只是因為
[1518.40-1522.76] 就是逐個客戶然後逐個民航局這邊的主管機關他要去
[1523.06-1527.40] 逐項去把這些改善作業要主一做一個檢討
[1527.66-1529.96] 然後呈報的一個情況之下所以他的
[1530.22-1531.24] 出
[1532.02-1537.90] 他的每個月的出貨量這個部分的話呢就沒有辦法達到像在
[1538.68-1540.20] 前年的那樣的一個狀況
[1540.46-1540.98] 那所以
[1541.24-1545.58] 他的一個改善狀況會是逐步的一個在慢慢的在恢復
[1546.10-1547.64] 那這個部分就是
[1547.88-1551.22] 也是造成就是說他第一季這個部分他的一個
[1551.48-1552.50] 損益狀況還不是那樣
[1553.06-1554.84] 那麼理想的一個主要原因
[1555.36-1556.90] 那另外一個是
[1557.16-1558.18] 現在還在
[1558.68-1564.84] 還在跟他們在work out的一個部分其實就是因為去年的一個品質作業的問題
[1565.08-1569.44] 然後還有停工然後有些發動機就是會變成是沒有出廠
[1570.72-1576.86] 那這個部分就就會造成有一個一個作業的一個當時會產生有一些部分
[1577.12-1581.98] 行財無法使用然後你另外是影響到客戶那邊飛機的一個
[1582.24-1582.76] 運行
[1583.06-1586.38] 那這個是另外就是今年在第一季開始
[1586.64-1590.74] 我們另外在這邊會再跟他在work out的一個狀況
[1591.00-1592.02] 那這個部分
[1593.56-1599.70] 整個相關的行財這些的成本還有客戶的一些損失這個部分呢我們也在
[1600.46-1606.60] 用我目前就是以股東的這個身份來跟他就是跟另外一家股東這邊
[1606.86-1612.76] 也是要一起來來去協商一個可行的一些解決方案所以這個部分就是還在進行
[1613.06-1618.68] 那以上針對長益的一個狀況來這邊跟大家做說明謝謝
[1621.00-1626.12] 那以上就各位投資先進在會前提出的問題
[1626.36-1627.14] 那我們以
[1627.40-1630.20] 長榮航太的立場所做的一些答覆
[1630.72-1634.82] 希望能夠讓各位對航太這個產業有更多的了解
[1635.58-1640.44] 但是礙於時間有限今天的法人說明會就在此結束
[1641.22-1642.50] 如果各位還有問題
[1642.80-1645.62] 問題要問喔可以撥打公司的IR專線
[1645.88-1647.92] 或發信件到IR信箱
[1648.44-1650.74] 會安排人員做答覆
[1651.24-1653.30] 再次謝謝各位的蒞臨
[1653.56-1654.84] 祝各位身體健康
[1655.08-1655.60] 萬事如意
