[0.00-7.76] 大家午安,我是艾普科技财务长明玉馨,欢迎各位投资先进参与艾普科技法人说明会。
[219.04-226.04] 兑换利益来自于第一季顶美元对新台币汇率升值1.3%的影响。
[226.04-233.04] 本公司有2.5亿美元的资金部位,其中1.8亿元来自于GDR募资资金。
[233.04-233.20] 因本公司GDR募资资金,本公司有2.5亿美元的资金部位,其中1.8亿元来自于GDR募资资金。
[235.04-239.04] 因本公司GDR募资资金,本公司GDR募资资金,除了研发投入之外尚未大幅动波。
[239.04-246.04] 加上既有的外地资金,应收付款等性外地部位,持续会受到汇率波动的影响。
[246.04-253.04] 尚未动的部位主要乘坐定期存款,美元利率期间约在4-4.5%上下。
[253.04-259.04] 每季可有9000万至1亿元左右的利息收入,平衡可能的汇率波动。
[259.04-263.04] 排除GDR相关兑换损益及所得税影响数的拟制涉算资料,
[263.04-266.04] 一样会在下一页做说明。
[266.04-270.04] 本公司目前没有采用外汇主动避险手段。
[270.04-276.04] 主要的考量是美元和新台币的利差已经提供了一部分的自然避险。
[276.04-283.04] 此外,考量地缘政治风险,本公司将持续进行集团资金的区域分散配置。
[283.04-287.04] 同时我们也将扩展海外投资。
[287.04-292.04] 董事会已经在5月2日同意扩大投资美国的研发中心,
[292.04-293.04] 强化美国的投资领域,
[293.04-296.04] 并扩大中要区域的营运布局。
[296.04-299.04] 第一季税前净利为10.3亿元,
[299.04-302.04] 所得税费用8,900万元。
[302.04-307.04] 排除第一季认列未分配盈余税额约1,400万元的影响,
[307.04-310.04] 所得税有效税率约为17%,
[310.04-313.04] 税后净利金额为3.47亿元,
[313.04-319.04] 其中归属于本公司业主的税后净利为3.3亿元。
[319.04-322.04] QOQYY分别减少30%及10%,
[322.04-327.04] 归属于本公司业主之税后净利率为30%,
[327.04-330.04] 单季每股盈余为2.04元。
[330.04-336.04] 如果排除GDR为只用资金所产生的兑换损益,
[336.04-340.04] 2025年第一季业外净收入为1.8亿元,
[340.04-343.04] 指搜来自于利息收入9,200万元,
[343.04-349.04] 兑换利益3,100万元及金融资产评价利益6,000万元的净影响数。
[349.04-351.04] 排除GDR相关汇率影响,
[351.04-356.04] 第一季净利金额将为2.85亿元,
[356.04-361.04] 其中归属于本公司业主之税后净利为2.7亿元。
[361.04-365.04] QOQ減少20%,YY则增加52%,
[365.04-369.04] 归属于本公司业主之税后净利率为28%,
[369.04-373.04] 拟制调整后每股盈余为1.67元。
[373.04-376.04] 合并资产负债表部分,
[376.04-379.04] 季底总资产为137亿元,
[379.04-382.04] 较去年底增加7.2亿元。
[382.04-386.04] 其中现金及约当现金为51亿元,
[386.04-390.04] 按摊销后成本衡量至金融资产为18亿元,
[390.04-393.04] 总计金额为99亿元,
[393.04-396.04] 合计占总资产约72%。
[396.04-399.04] 按摊销后成本衡量至金融资产,
[399.04-402.04] 是本公司乘坐值3个月以上的净期存款,
[402.04-407.04] 与去年底现金及按摊销后成本衡量至金融资产,
[407.04-410.04] 这两个科目合计数相较,
[410.04-413.04] 净增加约9.7亿元。
[413.04-416.04] 指标来自于营业活动应收账款的回收,
[416.04-419.04] 定存利息带来的现金流入,
[419.04-421.04] 合约负债预收的货款,
[421.04-426.04] 存出保证金到期返还及其他相对营业项目支出的现金流出,
[426.04-429.04] 付抵后的净影响数。
[429.04-432.04] 第一季底应收账款5.4亿元,
[432.04-435.04] 较去年底增加1800万元。
[435.04-436.04] 收款天期,
[436.04-438.04] 维持在两个月内,
[438.04-441.04] 整体应收账款回收状况良好。
[441.04-444.04] 存货金额为11亿元,
[444.04-446.04] 较去年底减少9000万元,
[446.04-448.04] 下降7%。
[448.04-452.04] 目前库存维持在7个月左右的合理水位,
[452.04-456.04] 将持续依据阶段状况来动态管理。
[456.04-457.04] 本季底,
[457.04-460.04] 透过审议案供应价值和良知金融资产,
[460.04-462.04] 增加约1亿元,
[462.04-464.04] 包括海宁长盟公司投资估值,
[464.04-465.04] 提高约6000万元。
[466.04-469.04] 本公司对美国新创公司PowerLatest
[469.04-472.04] 税加投资金额约4000万元。
[472.04-475.04] 本公司自3月起,
[475.04-477.04] 在实质控制力认定下,
[477.04-481.04] 将持股28%的RFID晶片设计公司
[481.04-483.04] OneStand Technology
[483.04-485.04] 列入合并财务报表,
[485.04-489.04] 采用权益法之投资金额因此相应减少。
[489.04-492.04] 年底的总负债为24亿元,
[492.04-494.04] 负债比率为18%,
[494.04-496.04] 较去年底增加1亿元。
[496.04-502.04] 主要为增加11.4亿元的应付股利,
[502.04-505.04] 合约负债增加1亿元,
[505.04-509.04] 以及应付所的税增加7100万元的影响数。
[509.04-512.04] YY负债比率增加了一个百分点,
[512.04-514.04] 主要是合约负债的增加。
[514.04-518.04] 公司把客户的预付款列为合约负债。
[518.04-522.04] 股东权益总金额为113亿元。
[522.04-524.04] 前面有提到,
[524.04-527.04] 公司对OneSend并非百分之百持股,
[527.04-532.04] 因此权益项目在本季相对产生了非控制权益1.8亿元。
[532.04-535.04] 减除该项非控制权益后,
[535.04-539.04] 属于本公司业组织权益金额为111亿元。
[539.04-544.04] 因第一季决议盈余分配现金股利11.4亿元,
[544.04-548.04] 因而较去年底权益净值119亿元减少,
[548.04-552.04] 每股净值为68.49元。
[552.04-555.04] 以上是就财务资讯的相关说明,
[555.04-560.04] 接下来时间由洪志勋总经理说明营运状况,谢谢。
[560.04-562.04] 好的,谢谢财务长。
[562.04-564.04] 各位投资先进大家好。
[564.04-570.04] 接下来由我为大家报告第一季的营运状况。
[570.04-574.04] 我们在上一季的法说会有和各位先进报告过,
[574.04-578.04] 细电容产品对公司业务的重要性越来越高。
[578.04-581.04] 为了能向各位先进更清楚的呈现爱护,
[581.04-584.04] 在这几个应用领域的表现。
[584.04-592.04] 我们今年起会以IoT RAM,VHM以及SC-CAP三个产品线的形式,
[592.04-595.04] 来分别向各位报告业绩状况。
[595.04-599.04] 首先我们看营收与毛利。
[599.04-603.04] 2025年第一季的营收为9.75亿元,
[603.04-606.04] 相较前季减少了20%。
[606.04-609.04] YYY则增加30%。
[609.04-616.04] 其中IoT RAM营收8.55亿元,占营收的88%。
[616.04-621.04] QoQ减少了2.7%,YYY则是增加了37%。
[621.04-628.04] VHM产品线本季营收为5400万,占比5.5%。
[628.04-633.04] QoQ减少了78%,YYY减少了36%。
[633.04-638.04] 在QoQ,在VHM的WaverSales以及IP Licensing,
[638.04-641.04] 在本季都有减少。
[641.04-644.04] 另外在SC-CAP产品线的部分,
[644.04-649.04] 本季营收6600万元,相较前季减少了36%,
[649.04-652.04] YYY则增加了65%。
[652.04-656.04] 主要是因为SC-CAP Interposer产品
[656.04-659.04] 陆续于去年下半年进入量产。
[659.04-662.04] 针对各产品线的营运状况,
[662.04-665.04] 在稍后会进一步的说明。
[665.04-666.04] QoQ减少了36%。
[666.04-671.04] 本季的毛利率较前季下降了7个百分点,
[671.04-675.04] 这主要是来自于产品组合的变化。
[675.04-681.04] 其中高毛利的VHM营收减少贡献的5个百分点是主要的原因。
[681.04-687.04] 其他是YOT RAN以及SC-CAP的产品组合不利变化的影响。
[687.04-692.04] 毛利率的部分会随着产品组合的变化而波动。
[692.04-693.04] 接下来我说明一下,
[693.04-694.04] 在X-CAP产品线中,
[694.04-697.04] 接下来我说明盈利的状况。
[697.04-698.04] 在这一页上,
[698.04-702.04] 左边浅色的部分是营业利益。
[702.04-706.04] 第一季的营业利益较前季减少了50个百分点,
[706.04-710.04] 主要是因为本季营收较前季减少,
[710.04-714.04] 以及第一季的奖金费用增加的因素。
[714.04-718.04] YY则是增加了66%。
[718.04-720.04] 营业利益18%,
[720.04-722.04] YY增加了4个百分点。
[722.04-723.04] 公司的业务,
[723.04-724.04] 公司的业务,
[724.04-726.04] 特别是IoT RAN的业务,
[726.04-730.04] 呈现比较明显的季节性因素的影响。
[730.04-732.04] YY的对比,
[732.04-737.04] 比较能够呈现公司表现。
[737.04-739.04] 右手边是业外收支,
[739.04-743.04] 这部分主要来自于金融资产评价损益,
[743.04-747.04] 外汇兑换损益和利息收入。
[747.04-749.04] 本季为2.6亿元,
[749.04-751.04] 较前季减少了约1亿元。
[751.04-753.04] 刚才财务长有报告过,
[753.04-756.04] 主要是汇兑利益的减少。
[756.04-760.04] 业外收支这部分有比较多的不可控因素。
[760.04-765.04] 在第一季总体,
[765.04-767.04] 净利为3.46亿元,
[767.04-770.04] 较前季减少了1.56亿元。
[770.04-774.04] 主要是第一季的营收较前季为低,
[774.04-777.04] 以及汇兑利益的影响。
[777.04-780.04] 净利率为35%。
[780.04-781.04] 接下来,
[781.04-785.04] 我就三个产品线在今年第一季的营运状况,
[785.04-787.04] 分别为各位先进说明。
[787.04-788.04] 首先,
[788.04-791.04] 我们来看IoT产品线。
[791.04-794.04] 本季营收为8.55亿元,
[794.04-797.04] QoQ较前季减少了3%,
[797.04-800.04] YY则是增加了37%。
[800.04-805.04] IoT RAN主要的应用领域分为三块,
[805.04-807.04] 分别是Connectivity,
[807.04-808.04] Wearable,
[808.04-809.04] 以及Video,
[809.04-810.04] Audio,
[810.04-812.04] 和Smartphone。
[812.04-815.04] Connectivity的主要应用是通讯模组,
[815.04-816.04] Wi-Fi,
[816.04-818.04] Bluetooth等。
[818.04-824.04] Connectivity的应用在本季IoT RAN营收中占比约52%,
[824.04-828.04] 这部分营收较前季增加了42%,
[828.04-831.04] 较去年同期增加了大约一倍。
[831.04-836.04] 主要是通讯模组的需求较去年有所回升。
[836.04-839.04] 我们之前向各位先进也报告过,
[839.04-842.04] 通讯模组这个市场比较集中,
[842.04-844.04] 竞争也比较激烈,
[844.04-847.04] 毛利相对会比较低。
[847.04-854.04] 通讯模组营收的增加对本季总体毛利率的影响大概是1个百分点。
[854.04-859.04] 在穿戴装置的部分,
[859.04-862.04] 本季金额较上季减少了36%,
[862.04-866.04] 主要是季节性的需求的影响,
[866.04-868.04] 其中也包括了第四季客户提供的服务,
[868.04-871.04] 客户提前拉货的影响。
[871.04-874.04] YY差不多持平。
[874.04-880.04] 穿戴装置在本季IoT润营收的占比为26%,
[880.04-887.04] 本季在Video、Audio、Other应用的营收较前季减少约10%,
[887.04-890.04] 也主要是季节性因素的影响。
[890.04-892.04] YY差不多持平。
[892.04-897.04] 这块业务在本季IoT润营收占比为22%。
[898.04-903.04] 本季产品线是我们最成熟的产品线,
[903.04-906.04] 也是一直以来的营收主轴。
[906.04-908.04] 我想在这里进一步为各位说明。
[908.04-913.04] 穿戴装置是一个蓬勃发展的应用市场,
[913.04-916.04] 这个市场很重视使用者的体验,
[916.04-919.04] 有越来越多的各式装置,
[919.04-923.04] 规格也越复杂、多样。
[923.04-927.04] 再加上AI,On-device AI功能的导入,
[927.04-932.04] 对记忆体的容量以及频宽的需求也都在成长。
[932.04-937.04] 随着Virable产品的多样化以及各种新功能的导入,
[937.04-939.04] 特别是AI功能的导入,
[939.04-944.04] 使得销量和单机记忆体容量同时提升,
[944.04-947.04] 带来很大的成长空间。
[947.04-950.04] Connectivity是一个很大的市场,
[950.04-952.04] 价格竞争也非常激烈。
[952.04-956.04] 尽管如此,客户对APP的产品仍是最有信心的,
[956.04-961.04] 在这个市场,我们持续投入与客户密切合作,
[961.04-966.04] 推出更高性能、更好性价比的记忆体解决方案,
[966.04-968.04] 来提升客户的产品竞争力,
[968.04-971.04] 继续提升我们的竞争优势。
[971.04-975.04] 在Display的部分,
[975.04-979.04] 客户有看到我们RT-RAN相较于传统DRAN,
[979.04-983.04] 不管是效能或是整体成本的优势,
[983.04-984.04] 有越来越多的客户在新一代的产品上,
[984.04-985.04] 在新一代的产品上,
[985.04-987.04] 在新一代的产品上,
[987.04-988.04] 采用RT-RAN。
[988.04-991.04] 我们对于RT-RAN在这个应用里的持续成长,
[991.04-994.04] 深具信心。
[994.04-999.04] 另外,我们的RT-RAN在今年推出了一个新世代的规格,
[999.04-1002.04] 也就是APS-RAN。
[1002.04-1006.04] APS-RAN提供了数倍于目前产品的评官,
[1006.04-1009.04] 满足了客户对效能的渴求,
[1009.04-1012.04] 并且在功耗上面也降低了数倍。
[1012.04-1013.04] 对穿戴装置这类的产品,
[1013.04-1014.04] 对穿戴装置这类的产品,
[1014.04-1017.04] 追求高效能以及长待机的应用,
[1017.04-1018.04] 追求高效能以及长待机的应用,
[1018.04-1020.04] APS-RAN是最佳的解决方案。
[1020.04-1023.04] 目前已经有许多的客户采用,
[1023.04-1028.04] 预计在明年会对营收有贡献。
[1028.04-1032.04] 接下来,我们来看SC-CAP。
[1032.04-1036.04] SC-CAP产品线的营收主要分为IPC,
[1036.04-1039.04] 也就是我们的细电容中介层,
[1039.04-1042.04] SC-CAP Interposer,
[1042.04-1044.04] 以及分离式的SC-CAP Interposer。
[1044.04-1046.04] 我们叫做IPD。
[1046.04-1050.04] SC-CAP产品线本季营收为6600万,
[1050.04-1053.04] 较前季减少了36%,
[1053.04-1057.04] 这主要是因为本季IPC出货较少,
[1057.04-1060.04] YY则成长了65%。
[1060.04-1065.04] IPC从去年第三季开始进入量产,
[1065.04-1067.04] 营收持续成长。
[1067.04-1069.04] 第一季营收较前季低,
[1069.04-1072.04] 是由于客户在量产的初期供应链产能波动的影响,
[1072.04-1073.04] 是由于客户在量产的初期供应链产能波动的影响,
[1073.04-1075.04] 是由于客户在量产的初期供应链产能波动的影响,
[1075.04-1078.04] 目前我们看到客户持续积极下单,
[1078.04-1084.04] 今年IPC营收会有逐季显著的成长。
[1084.04-1087.04] 另外在IPD的部分,
[1087.04-1092.04] 嵌入Substrate的应用目前在制程验证市场的阶段,
[1092.04-1094.04] 本季营收较前季减少,
[1094.04-1097.04] 主要是因为客户样片在本季采购的量比较少的原因。
[1097.04-1101.04] 主要是因为客户样片在本季采购的量比较少的原因。
[1101.04-1108.04] 接下来,我想用这三张图来说明我们SC-CAP在2.5D封装的应用。
[1108.04-1113.04] 首先是矽中介层,也就是Silicon Interfoser,
[1113.04-1118.04] 也就是以矽晶圆来作为中介层。
[1118.04-1127.04] 这个用矽中介层的2.5D封装技术在业内经常被称作是COVAX-S,
[1127.04-1129.04] 应用于4个Radical Size以下的产品。
[1129.04-1131.04] 应用于4个Radical Size以下的产品。
[1131.04-1136.04] 由于AI HPC耗能高,运算速度快,
[1136.04-1139.04] 对SIPI的要求也越来越严苛。
[1139.04-1143.04] 矽中介层需要嵌入大量的电容,
[1143.04-1149.04] 我们的解决方案是市场上少数符合客户规格要求的产品。
[1149.04-1155.04] 去年第三季已经进入量产,今年已经开始有显著的营收贡献,
[1155.04-1159.04] 第二季开始将会有加速的Rainout。
[1159.04-1165.04] 当2.5D封装需要更大的面积的时候,
[1165.04-1168.04] Modding Base Interposer,
[1168.04-1172.04] 就是如我们左图中间的这个部分,
[1172.04-1174.04] 也就是另外一个选项。
[1174.04-1180.04] SOC与其他的记忆体等元件,
[1180.04-1184.04] 以重步线程,
[1184.04-1187.04] 就是RDL Redistribution Layer,
[1187.04-1193.04] 来连接,再以封装,也就是Modding的方式来把它结合起来。
[1193.04-1199.04] 这种Modding Base Interposer的2.5D经常被称作Core as Air,
[1199.04-1204.04] 这个封装形式需要等和更多的分离式电容。
[1204.04-1209.04] 我们高电容密度的IPD就是非常适配的解决方案,
[1209.04-1212.04] 目前还在开发当中。
[1212.04-1215.04] 另外在第三种应用是,
[1215.04-1218.04] 迁在封装基板,
[1218.04-1220.04] Embedded Subtrade的应用,
[1220.04-1222.04] 如左图下。
[1222.04-1223.04] 不管是Core as Air,
[1223.04-1225.04] 还是Core as Air,
[1225.04-1227.04] 未来都需要在基板中,
[1227.04-1229.04] 迁入数十颗的IPD,
[1229.04-1231.04] 这个市场是非常大的。
[1231.04-1234.04] 我们已经经营了一段时间,
[1234.04-1236.04] 目前与客户一起,
[1236.04-1239.04] 和多家的Tier1基板厂,
[1239.04-1241.04] 合作制程开发以及验证,
[1241.04-1243.04] 已经接近成熟。
[1243.04-1244.04] 制程验证,
[1244.04-1246.04] 预计在今年的年底,
[1246.04-1248.04] 明年的年初会完成。
[1248.04-1250.04] 量产开始后,
[1250.04-1251.04] 起量的速度,
[1251.04-1254.04] 则要看客户的专案需求。
[1254.04-1257.04] 接下来,
[1257.04-1260.04] 我们来看VHN产品线。
[1260.04-1264.04] 本季营收台币5400万元,
[1264.04-1266.04] 较前季减少了78%,
[1266.04-1269.04] 主要是因为矿机的Walfer Sales,
[1269.04-1271.04] 较前季减少。
[1271.04-1273.04] 矿机Walfer Sales的减少,
[1273.04-1276.04] 是市场需求的因素。
[1276.04-1277.04] 另外,
[1277.04-1281.04] 本季IP Licensing认列的营收也减少,
[1281.04-1286.04] 主要是因为落在本季认列的Milestone比较少。
[1286.04-1297.04] 那VHN营收YY减少了36%。
[1297.04-1299.04] 我想利用这个机会,
[1299.04-1302.04] 向各位报告我们的VHN几个阶段。
[1302.04-1305.04] 每个阶段都差不多是三年。
[1305.04-1312.04] 第一个阶段是VHN产品架构的早期设计验证。
[1312.04-1316.04] 我们从2018年就开始进行3D记忆体的开发。
[1316.04-1317.04] 这个阶段,
[1317.04-1320.04] 我们经营的重点是与早期采用客户,
[1320.04-1323.04] 合作验证VHN的效能,
[1323.04-1330.04] 以及和业界合作3D memory供应链生态系的建立。
[1330.04-1332.04] 我们第一个采用VHN架构的效能,
[1332.04-1334.04] 是以太矿机。
[1334.04-1335.04] 以一片逻辑,
[1335.04-1337.04] 再加上一片memory,
[1337.04-1339.04] 也就是1加1。
[1339.04-1343.04] 我们顺利的在2021年第二季进入量产。
[1343.04-1346.04] 目前累计出货约2万片。
[1346.04-1352.04] 我们在矿机的市场证明了VHN的价值。
[1352.04-1355.04] 利用比较成熟的制程,
[1355.04-1360.04] 而且达到了效能大幅超过先进制程GPU的数倍。
[1360.04-1363.04] 主流客户也开始注意到了VHN。
[1363.04-1370.04] 我们开始与客户讨论VHN在AI以及HPC应用的导入。
[1370.04-1373.04] 从2022年开始,
[1373.04-1377.04] VHN除了持续经营矿机市场以外,
[1377.04-1386.04] 我们的主轴已经转向与客户讨论VHN架构在主流应用POC专案的规格定义与执行。
[1386.04-1387.04] 这个阶段,
[1387.04-1389.04] 除了1加1的VHN架构外,
[1389.04-1395.04] 我们也开始与主流客户进行多层堆叠的设计开发,
[1395.04-1398.04] 也就是我们的VHN stack。
[1398.04-1404.04] 这些专案在去年年底有完成阶段性的验证,
[1404.04-1409.04] 进一步加深了客户对VHN以及VHN stack的信心,
[1409.04-1416.04] 开始和我们进入量产产品规格讨论阶段。
[1416.04-1418.04] 我们今年的重点,
[1418.04-1421.04] 专注在主流应用的产品实现。
[1421.04-1427.04] 现在和客户有几个产品在规格讨论当中,
[1427.04-1431.04] 预计今年会有设计定案开始执行。
[1431.04-1436.04] 产品开发到量产的时间通常会需要2到3年,
[1436.04-1440.04] 我们预期在这些量产专案进入量产之后,
[1440.04-1445.04] VHN产品线将会有爆发性的成长。
[1445.04-1446.04] 另外,
[1446.04-1447.04] 从市场的角度来看,
[1447.04-1453.04] 过去因为AI软体的迭代远远快于硬体的迭代,
[1453.04-1462.04] 主流通用GPU绘图晶片搭配HVM是AI训练主要的一个硬体架构。
[1462.04-1468.04] 自从深层式AI模型带来的AI推论演算的需求爆发,
[1468.04-1475.04] 我们发现越来越多客户开始自研ASIC作为AI推论的运算核心,
[1475.04-1476.04] 同时搭配VHN,
[1476.04-1478.04] 客制化3D记忆体,
[1478.04-1484.04] 达到系统效能、功耗以及成本的整体优势。
[1484.04-1489.04] 这就像当初矿机晶片由GPU转换成ASIC一样,
[1489.04-1494.04] 我们认为在AI推论这样的趋势已经开始,
[1494.04-1496.04] 在类似的经济推动力下,
[1496.04-1500.04] 发展将会非常快速。
[1500.04-1504.04] 以上是三个产品线在第四季的安备。
[1506.04-1508.04] 整体来说,
[1508.04-1512.04] APP今年延续去年下半年趋势,
[1512.04-1517.04] 今年在SC-CAP的IPC业绩大幅成长,
[1517.04-1520.04] 以及IOC-RAN市场需求扩大的带动下,
[1520.04-1524.04] 我们预期业绩会有显著的增长。
[1524.04-1529.04] VHN产品线已经进入主流产品的设计导入阶段,
[1529.04-1532.04] 包括了单层以及多层的堆叠。
[1532.04-1533.04] 有进展,
[1533.04-1534.04] 我们会在每一季的法说会向各位报告。
[1534.04-1535.04] 有进展,
[1535.04-1537.04] 我们会在每一季的法说会向各位报告。
[1537.04-1541.04] 现在的整体经济环境有很多的不确定性,
[1541.04-1545.04] 其中包括了美国高科技的管制以及关税战,
[1545.04-1548.04] 特别是汇率的变动风险,
[1548.04-1552.04] 这都让经营环境增添了许多的变数。
[1552.04-1556.04] 我们一直与客户保持密切沟通,
[1556.04-1561.04] 以因应变化满足客户的需求。
[1561.04-1562.04] 另一方面,
[1562.04-1563.04] 我们也扩大海外据点的经营,
[1563.04-1564.04] 我们也扩大海外据点的经营,
[1564.04-1566.04] 以降低经营风险。
[1566.04-1567.04] 以降低经营风险。
[1567.04-1568.04] 以上是我的报告,
[1568.04-1569.04] 谢谢。
[1569.04-1570.04] 以上是我的报告,
[1570.04-1571.04] 谢谢。
[1571.04-1572.04] 谢谢总经理。
[1572.04-1573.04] 本次的简报到这里告一个段落。
[1573.04-1574.04] 本次的简报到这里告一个段落。
[1574.04-1575.04] 接下来进入问答阶段。
[1575.04-1576.04] 接下来进入问答阶段。
[1576.04-1577.04] 请各位投资朋友,
[1577.04-1578.04] 请各位投资朋友,
[1578.04-1579.04] 于画面右下角栏位输入您的问题。
[1579.04-1580.04] 于画面右下角栏位输入您的问题。
[1580.04-1581.04] 我们将于整理后,
[1581.04-1582.04] 同一回复。
[1582.04-1583.04] 我们将于整理后,
[1583.04-1584.04] 同一回复。
[1584.04-1585.04] 谢谢。
[1585.04-1586.04] 谢谢。
[1586.04-1587.04] 谢谢。
[1587.04-1588.04] 谢谢。
[1588.04-1589.04] 谢谢。
[1590.04-1590.92] те
[1590.92-1592.04] 阿
[1592.04-1595.04] 现在第一个提问的问题是,
[1595.04-1597.04] 请问目前对于2025 年整体营运的预期
[1597.04-1598.04] 提问的问题是,
[1598.04-1599.04] 现在第一个提问的问题是,
[1600.04-1602.04] 请问目前对于2025 年整体营运的预期
[1602.04-1603.04] 提问的问题是,
[1603.04-1604.04] 请问目前对于2025 年整体营运的预期
[1604.04-1605.04] 早前有提到会比去年好,
[1605.04-1606.04] 早前有提到会比去年好,
[1606.04-1607.04] 从现在的看法是否会因为美国关税而有改变。
[1607.04-1608.04] 从现在的看法是否会因为美国关税而有改变。
[1608.04-1609.04] 从現在的看法是否会因为美国关税而有改变。
[1609.04-1611.04] 从现在的看法是否会因为美国关税而有改变。
[1611.04-1613.50] JT由我来回答
[1613.50-1617.22] 今年的营收较去年会有显著的成长
[1617.22-1619.88] 那主要的结构性变化是
[1619.88-1623.36] IPC在整个需求增加
[1623.36-1626.32] 然后会有营收有显著的贡献
[1626.32-1628.64] 另外在关税影响的部分
[1628.64-1631.78] 现在我们没有看到太明显的影响
[1631.78-1632.66] 谢谢
[1632.66-1636.52] 下一个提问的问题
[1636.52-1638.86] 第一季毛利率降低
[1638.86-1642.54] 请问公司对于后续毛利率的趋势看法
[1642.54-1647.20] 方便提供三个产品线的预期毛利率区间吗
[1647.20-1648.60] 好的
[1648.60-1652.84] 第一季毛利降低是因为产品组合的影响
[1652.84-1657.20] 那我们预期整体的毛利率的区间
[1657.20-1661.68] 会落在大概40到50之间上下
[1661.68-1664.32] 那随着产品组合会有一些波动
[1664.32-1668.44] 那刚才有问到就是三个产品线预期的毛利率区间
[1668.44-1668.70] 我想
[1668.70-1671.94] VHM会高于我们的平均
[1671.94-1674.38] 那IoT以及SC-CAP
[1674.38-1677.90] 大概会在我们毛利预期区间的平均点
[1677.90-1678.78] 平均附近
[1678.78-1681.54] 请问
[1681.54-1686.34] 2025年各个产品线的营收走势与占比
[1686.34-1691.56] 像在今年IoT-RAN还是我们营收的一个主力
[1691.56-1695.34] 全年我们预期会占六成以上
[1695.34-1698.44] SC-CAP这部分成长快速
[1698.44-1699.52] 尤其是IPC
[1699.52-1701.14] 有望超过两成
[1701.14-1705.04] 那VHM则大概是在一到两成之间
[1705.04-1708.58] 下一个问题
[1708.58-1711.96] 请教美国加深关税政策
[1711.96-1714.44] 对于爱普营运的影响程度
[1714.44-1719.08] 我想这一题是请我们业务卿副总来回答
[1719.08-1720.36] 好的
[1720.36-1724.96] 我们没有直接出口美国的货物
[1724.96-1727.16] 所以没有直接的影响
[1727.16-1728.42] 而我们的货物是在美国的货物上
[1728.44-1730.24] 而间接的影响
[1730.24-1734.56] 也就是我们的客户出口美国的商品的部分
[1734.56-1737.76] 我们已经做了初步的盘点
[1737.76-1744.16] 会间接影响到营收的比例不大
[1744.16-1746.00] 下一个问题
[1746.00-1748.28] 近期台币升值剧烈
[1748.28-1753.00] 刚刚提到公司账上美金现金约有2.5亿美元
